AT3G09720	Ddx52
AT2G26710	Cyp4f37
AT2G26710	Cyp4f13
AT2G26710	Cyp4f13
AT2G26710	Cyp4f13
AT2G26710	Cyp4f17
AT2G26710	Cyp4f39
AT2G26710	Cyp4f18
AT2G26710	Cyp4f18
AT2G26710	Cyp4x1
AT2G26710	Cyp4x1
AT2G26710	Cyp4a29
AT2G26710	Cyp4a12b
AT2G26710	Cyp4a12a
AT2G26710	Cyp4a30b
AT2G26710	Cyp4a14
AT2G26710	Cyp4b1
AT3G14630	Gm45753
AT3G14630	Cyp4v3
AT3G14630	Cyp4f40
AT3G14630	Cyp4f40
AT3G14630	Cyp4f15
AT3G14630	Cyp4f15
AT3G14630	Cyp4f14
AT3G14630	Cyp4f14
AT3G14630	Cyp4f14
AT3G14630	Cyp4f14
AT3G14630	Cyp4f16
AT3G14630	Cyp4f16
AT3G14630	Cyp4f37
AT3G14630	Cyp4f13
AT3G14630	Cyp4f13
AT3G14630	Cyp4f13
AT3G14630	Cyp4f17
AT3G14630	Cyp4f39
AT3G14630	Cyp4f18
AT3G14630	Cyp4f18
AT3G14630	Cyp4x1
AT3G14630	Cyp4x1
AT3G14630	Cyp4a29
AT3G14630	Cyp4a12b
AT3G14630	Cyp4a12a
AT3G14630	Cyp4a30b
AT3G14630	Cyp4a14
AT3G14630	Cyp4b1
AT3G14690	Gm45753
AT3G14690	Cyp4v3
AT3G14690	Cyp4f40
AT3G14690	Cyp4f40
AT3G14690	Cyp4f15
AT3G14690	Cyp4f15
AT3G14690	Cyp4f14
AT3G14690	Cyp4f14
AT3G14690	Cyp4f14
AT3G14690	Cyp4f14
AT3G14690	Cyp4f16
AT3G14690	Cyp4f16
AT3G14690	Cyp4f37
AT3G14690	Cyp4f13
AT3G14690	Cyp4f13
AT3G14690	Cyp4f13
AT3G14690	Cyp4f17
AT3G14690	Cyp4f39
AT3G14690	Cyp4f18
AT3G14690	Cyp4f18
AT3G14690	Cyp4x1
AT3G14690	Cyp4x1
AT3G14690	Cyp4a29
AT3G14690	Cyp4a12b
AT3G14690	Cyp4a12a
AT3G14690	Cyp4a30b
AT3G14690	Cyp4a14
AT3G14690	Cyp4b1
AT3G14660	Gm45753
AT3G14660	Cyp4v3
AT3G14660	Cyp4f40
AT3G14660	Cyp4f40
AT3G14660	Cyp4f15
AT3G14660	Cyp4f15
AT3G14660	Cyp4f14
AT3G14660	Cyp4f14
AT3G14660	Cyp4f14
AT3G14660	Cyp4f14
AT3G14660	Cyp4f16
AT3G14660	Cyp4f16
AT3G14660	Cyp4f37
AT3G14660	Cyp4f13
AT3G14660	Cyp4f13
AT3G14660	Cyp4f13
AT3G14660	Cyp4f17
AT3G14660	Cyp4f39
AT3G14660	Cyp4f18
AT3G14660	Cyp4f18
AT3G14660	Cyp4x1
AT3G14660	Cyp4x1
AT3G14660	Cyp4a29
AT3G14660	Cyp4a12b
AT3G14660	Cyp4a12a
AT3G14660	Cyp4a30b
AT3G14660	Cyp4a14
AT3G14660	Cyp4b1
AT3G14650	Gm45753
AT3G14650	Cyp4v3
AT3G14650	Cyp4f40
AT3G14650	Cyp4f40
AT3G14650	Cyp4f15
AT3G14650	Cyp4f15
AT3G14650	Cyp4f14
AT3G14650	Cyp4f14
AT3G14650	Cyp4f14
AT3G14650	Cyp4f14
AT3G14650	Cyp4f16
AT3G14650	Cyp4f16
AT3G14650	Cyp4f37
AT3G14650	Cyp4f13
AT3G14650	Cyp4f13
AT3G14650	Cyp4f13
AT3G14650	Cyp4f17
AT3G14650	Cyp4f39
AT3G14650	Cyp4f18
AT3G14650	Cyp4f18
AT3G14650	Cyp4x1
AT3G14650	Cyp4x1
AT3G14650	Cyp4a29
AT3G14650	Cyp4a12b
AT3G14650	Cyp4a12a
AT3G14650	Cyp4a30b
AT3G14650	Cyp4a14
AT3G14650	Cyp4b1
AT3G14680	Gm45753
AT3G14680	Cyp4v3
AT3G14680	Cyp4f40
AT3G14680	Cyp4f40
AT3G14680	Cyp4f15
AT3G14680	Cyp4f15
AT3G14680	Cyp4f14
AT3G14680	Cyp4f14
AT3G14680	Cyp4f14
AT3G14680	Cyp4f14
AT3G14680	Cyp4f16
AT3G14680	Cyp4f16
AT3G14680	Cyp4f37
AT3G14680	Cyp4f13
AT3G14680	Cyp4f13
AT3G14680	Cyp4f13
AT3G14680	Cyp4f17
AT3G14680	Cyp4f39
AT3G14680	Cyp4f18
AT3G14680	Cyp4f18
AT3G14680	Cyp4x1
AT3G14680	Cyp4x1
AT3G14680	Cyp4a29
AT3G14680	Cyp4a12b
AT3G14680	Cyp4a12a
AT3G14680	Cyp4a30b
AT3G14680	Cyp4a14
AT3G14680	Cyp4b1
AT3G14640	Gm45753
AT3G14640	Cyp4v3
AT3G14640	Cyp4f40
AT3G14640	Cyp4f40
AT3G14640	Cyp4f15
AT3G14640	Cyp4f15
AT3G14640	Cyp4f14
AT3G14640	Cyp4f14
AT3G14640	Cyp4f14
AT3G14640	Cyp4f14
AT3G14640	Cyp4f16
AT3G14640	Cyp4f16
AT3G14640	Cyp4f37
AT3G14640	Cyp4f13
AT3G14640	Cyp4f13
AT3G14640	Cyp4f13
AT3G14640	Cyp4f17
AT3G14640	Cyp4f39
AT3G14640	Cyp4f18
AT3G14640	Cyp4f18
AT3G14640	Cyp4x1
AT3G14640	Cyp4x1
AT3G14640	Cyp4a29
AT3G14640	Cyp4a12b
AT3G14640	Cyp4a12a
AT3G14640	Cyp4a30b
AT3G14640	Cyp4a14
AT3G14640	Cyp4b1
AT3G14610	Gm45753
AT3G14610	Cyp4v3
AT3G14610	Cyp4f40
AT3G14610	Cyp4f40
AT3G14610	Cyp4f15
AT3G14610	Cyp4f15
AT3G14610	Cyp4f14
AT3G14610	Cyp4f14
AT3G14610	Cyp4f14
AT3G14610	Cyp4f14
AT3G14610	Cyp4f16
AT3G14610	Cyp4f16
AT3G14610	Cyp4f37
AT3G14610	Cyp4f13
AT3G14610	Cyp4f13
AT3G14610	Cyp4f13
AT3G14610	Cyp4f17
AT3G14610	Cyp4f39
AT3G14610	Cyp4f18
AT3G14610	Cyp4f18
AT3G14610	Cyp4x1
AT3G14610	Cyp4x1
AT3G14610	Cyp4a29
AT3G14610	Cyp4a12b
AT3G14610	Cyp4a12a
AT3G14610	Cyp4a30b
AT3G14610	Cyp4a14
AT3G14610	Cyp4b1
AT3G14620	Gm45753
AT3G14620	Cyp4v3
AT3G14620	Cyp4f40
AT3G14620	Cyp4f40
AT3G14620	Cyp4f15
AT3G14620	Cyp4f15
AT3G14620	Cyp4f14
AT3G14620	Cyp4f14
AT3G14620	Cyp4f14
AT3G14620	Cyp4f14
AT3G14620	Cyp4f16
AT3G14620	Cyp4f16
AT3G14620	Cyp4f37
AT3G14620	Cyp4f13
AT3G14620	Cyp4f13
AT3G14620	Cyp4f13
AT3G14620	Cyp4f17
AT3G14620	Cyp4f39
AT3G14620	Cyp4f18
AT3G14620	Cyp4f18
AT3G14620	Cyp4x1
AT3G14620	Cyp4x1
AT3G14620	Cyp4a29
AT3G14620	Cyp4a12b
AT3G14620	Cyp4a12a
AT3G14620	Cyp4a30b
AT3G14620	Cyp4a14
AT3G14620	Cyp4b1
AT1G17060	Gm45753
AT1G17060	Cyp4v3
AT1G17060	Cyp4f40
AT1G17060	Cyp4f40
AT1G17060	Cyp4f15
AT1G17060	Cyp4f15
AT1G17060	Cyp4f14
AT1G17060	Cyp4f14
AT1G17060	Cyp4f14
AT1G17060	Cyp4f14
AT1G17060	Cyp4f16
AT1G17060	Cyp4f16
AT1G17060	Cyp4f37
AT1G17060	Cyp4f13
AT1G17060	Cyp4f13
AT1G17060	Cyp4f13
AT1G17060	Cyp4f17
AT1G17060	Cyp4f39
AT1G17060	Cyp4f18
AT1G17060	Cyp4f18
AT1G17060	Cyp4x1
AT1G17060	Cyp4x1
AT1G17060	Cyp4a29
AT1G17060	Cyp4a12b
AT1G17060	Cyp4a12a
AT1G17060	Cyp4a30b
AT1G17060	Cyp4a14
AT1G17060	Cyp4b1
AT1G31800	Gm45753
AT1G31800	Cyp4v3
AT1G31800	Cyp4f40
AT1G31800	Cyp4f40
AT1G31800	Cyp4f15
AT1G31800	Cyp4f15
AT1G31800	Cyp4f14
AT1G31800	Cyp4f14
AT1G31800	Cyp4f14
AT1G31800	Cyp4f14
AT1G31800	Cyp4f16
AT1G31800	Cyp4f16
AT1G31800	Cyp4f37
AT1G31800	Cyp4f13
AT1G31800	Cyp4f13
AT1G31800	Cyp4f13
AT1G31800	Cyp4f17
AT1G31800	Cyp4f39
AT1G31800	Cyp4f18
AT1G31800	Cyp4f18
AT1G31800	Cyp4x1
AT1G31800	Cyp4x1
AT1G31800	Cyp4a29
AT1G31800	Cyp4a12b
AT1G31800	Cyp4a12a
AT1G31800	Cyp4a30b
AT1G31800	Cyp4a14
AT1G31800	Cyp4b1
AT3G53130	Gm45753
AT3G53130	Cyp4v3
AT3G53130	Cyp4f40
AT3G53130	Cyp4f40
AT3G53130	Cyp4f15
AT3G53130	Cyp4f15
AT3G53130	Cyp4f14
AT3G53130	Cyp4f14
AT3G53130	Cyp4f14
AT3G53130	Cyp4f14
AT3G53130	Cyp4f16
AT3G53130	Cyp4f16
AT3G53130	Cyp4f37
AT3G53130	Cyp4f13
AT3G53130	Cyp4f13
AT3G53130	Cyp4f13
AT3G53130	Cyp4f17
AT3G53130	Cyp4f39
AT3G53130	Cyp4f18
AT3G53130	Cyp4f18
AT3G53130	Cyp4x1
AT3G53130	Cyp4x1
AT3G53130	Cyp4a29
AT3G53130	Cyp4a12b
AT3G53130	Cyp4a12a
AT3G53130	Cyp4a30b
AT3G53130	Cyp4a14
AT3G53130	Cyp4b1
AT4G15110	Gm45753
AT4G15110	Cyp4v3
AT4G15110	Cyp4f40
AT4G15110	Cyp4f40
AT4G15110	Cyp4f15
AT4G15110	Cyp4f15
AT4G15110	Cyp4f14
AT4G15110	Cyp4f14
AT4G15110	Cyp4f14
AT4G15110	Cyp4f14
AT4G15110	Cyp4f16
AT4G15110	Cyp4f16
AT4G15110	Cyp4f37
AT4G15110	Cyp4f13
AT4G15110	Cyp4f13
AT4G15110	Cyp4f13
AT4G15110	Cyp4f17
AT4G15110	Cyp4f39
AT4G15110	Cyp4f18
AT4G15110	Cyp4f18
AT4G15110	Cyp4x1
AT4G15110	Cyp4x1
AT4G15110	Cyp4a29
AT4G15110	Cyp4a12b
AT4G15110	Cyp4a12a
AT4G15110	Cyp4a30b
AT4G15110	Cyp4a14
AT4G15110	Cyp4b1
AT2G45810	Ddx6
AT2G45810	Ddx6
AT3G61240	Ddx6
AT3G61240	Ddx6
AT4G00660	Ddx6
AT4G00660	Ddx6
AT3G19760	Eif4a3
AT3G19760	Gm8994
AT3G19760	Gm8994
AT3G19760	Gm8994
AT3G19760	Gm5580
AT3G19760	Eif4a3
AT1G51380	Eif4a3
AT1G51380	Gm8994
AT1G51380	Gm8994
AT1G51380	Gm8994
AT1G51380	Gm5580
AT1G51380	Eif4a3
AT3G13920	Eif4a2
AT3G13920	Eif4a2
AT3G13920	Eif4a2
AT3G13920	Eif4a2
AT3G13920	Eif4a2
AT3G13920	Eif4a2
AT3G13920	Eif4a2
AT3G13920	Eif4a1
AT1G54270	Eif4a2
AT1G54270	Eif4a2
AT1G54270	Eif4a2
AT1G54270	Eif4a2
AT1G54270	Eif4a2
AT1G54270	Eif4a2
AT1G54270	Eif4a2
AT1G54270	Eif4a1
AT1G72730	Eif4a2
AT1G72730	Eif4a2
AT1G72730	Eif4a2
AT1G72730	Eif4a2
AT1G72730	Eif4a2
AT1G72730	Eif4a2
AT1G72730	Eif4a2
AT1G72730	Eif4a1
AT3G53110	Ddx19b
AT3G53110	Ddx19b
AT3G53110	Ddx19a
AT3G53110	Ddx25
AT4G14340	Csnk1g3
AT4G14340	Csnk1g2
AT4G14340	Csnk1g2
AT4G14340	Csnk1g1
AT4G14340	Csnk1g1
AT4G14340	Csnk1g1
AT4G14340	Csnk1g1
AT4G14340	Csnk1g1
AT4G14340	Csnk1g1
AT4G14340	Csnk1g1
AT4G14340	Csnk1e
AT4G14340	Csnk1e
AT4G14340	Csnk1d
AT4G14340	Csnk1d
AT4G14340	Csnk1e
AT4G14340	Csnk1d
AT4G14340	Csnk1e
AT4G14340	Csnk1a1
AT4G14340	Csnk1a1
AT4G14340	Csnk1a1
AT4G14340	Csnk1a1
AT4G14340	Csnk1a1
AT4G14340	Csnk1a1
AT4G14340	Csnk1a1
AT3G23340	Csnk1g3
AT3G23340	Csnk1g2
AT3G23340	Csnk1g2
AT3G23340	Csnk1g1
AT3G23340	Csnk1g1
AT3G23340	Csnk1g1
AT3G23340	Csnk1g1
AT3G23340	Csnk1g1
AT3G23340	Csnk1g1
AT3G23340	Csnk1g1
AT3G23340	Csnk1e
AT3G23340	Csnk1e
AT3G23340	Csnk1d
AT3G23340	Csnk1d
AT3G23340	Csnk1e
AT3G23340	Csnk1d
AT3G23340	Csnk1e
AT3G23340	Csnk1a1
AT3G23340	Csnk1a1
AT3G23340	Csnk1a1
AT3G23340	Csnk1a1
AT3G23340	Csnk1a1
AT3G23340	Csnk1a1
AT3G23340	Csnk1a1
AT1G04440	Csnk1g3
AT1G04440	Csnk1g2
AT1G04440	Csnk1g2
AT1G04440	Csnk1g1
AT1G04440	Csnk1g1
AT1G04440	Csnk1g1
AT1G04440	Csnk1g1
AT1G04440	Csnk1g1
AT1G04440	Csnk1g1
AT1G04440	Csnk1g1
AT1G04440	Csnk1e
AT1G04440	Csnk1e
AT1G04440	Csnk1d
AT1G04440	Csnk1d
AT1G04440	Csnk1e
AT1G04440	Csnk1d
AT1G04440	Csnk1e
AT1G04440	Csnk1a1
AT1G04440	Csnk1a1
AT1G04440	Csnk1a1
AT1G04440	Csnk1a1
AT1G04440	Csnk1a1
AT1G04440	Csnk1a1
AT1G04440	Csnk1a1
AT5G43320	Csnk1g3
AT5G43320	Csnk1g2
AT5G43320	Csnk1g2
AT5G43320	Csnk1g1
AT5G43320	Csnk1g1
AT5G43320	Csnk1g1
AT5G43320	Csnk1g1
AT5G43320	Csnk1g1
AT5G43320	Csnk1g1
AT5G43320	Csnk1g1
AT5G43320	Csnk1e
