Ddx52	YGL171W
Eif4a2	YKR059W
Eif4a2	YJL138C
Eif4a2	YKR059W
Eif4a2	YJL138C
Eif4a2	YKR059W
Eif4a2	YJL138C
Eif4a2	YKR059W
Eif4a2	YJL138C
Eif4a2	YKR059W
Eif4a2	YJL138C
Eif4a2	YKR059W
Eif4a2	YJL138C
Eif4a2	YKR059W
Eif4a2	YJL138C
Eif4a1	YKR059W
Eif4a1	YJL138C
Ddx19b	YOR046C
Ddx19b	YOR046C
Ddx19a	YOR046C
Ddx25	YOR046C
Csnk1g3	YNL154C
Csnk1g3	YHR135C
Csnk1g2	YNL154C
Csnk1g2	YHR135C
Csnk1g2	YNL154C
Csnk1g2	YHR135C
Csnk1g1	YNL154C
Csnk1g1	YHR135C
Csnk1g1	YNL154C
Csnk1g1	YHR135C
Csnk1g1	YNL154C
Csnk1g1	YHR135C
Csnk1g1	YNL154C
Csnk1g1	YHR135C
Csnk1g1	YNL154C
Csnk1g1	YHR135C
Csnk1g1	YNL154C
Csnk1g1	YHR135C
Csnk1g1	YNL154C
Csnk1g1	YHR135C
Csnk1e	YPL204W
Csnk1e	YPL204W
Csnk1d	YPL204W
Csnk1d	YPL204W
Csnk1e	YPL204W
Csnk1d	YPL204W
Csnk1e	YPL204W
Csnk1a1	YPL204W
Csnk1a1	YPL204W
Csnk1a1	YPL204W
Csnk1a1	YPL204W
Csnk1a1	YPL204W
Csnk1a1	YPL204W
Csnk1a1	YPL204W
Rps6kb2	YMR104C
Rps6kb2	YKL126W
Rps6kb2	YMR104C
Rps6kb2	YKL126W
Rps6kb1	YMR104C
Rps6kb1	YKL126W
Sgk1	YMR104C
Sgk1	YKL126W
Sgk1	YMR104C
Sgk1	YKL126W
Sgk3	YMR104C
Sgk3	YKL126W
Sgk3	YMR104C
Sgk3	YKL126W
Sgk3	YMR104C
Sgk3	YKL126W
Sgk3	YMR104C
Sgk3	YKL126W
Sgk2	YMR104C
Sgk2	YKL126W
Sgk2	YMR104C
Sgk2	YKL126W
Sgk1	YMR104C
Sgk1	YKL126W
Sgk1	YMR104C
Sgk1	YKL126W
Sgk1	YMR104C
Sgk1	YKL126W
Sgk1	YMR104C
Sgk1	YKL126W
Sgk1	YMR104C
Sgk1	YKL126W
Sgk1	YMR104C
Sgk1	YKL126W
Akt2	YMR104C
Akt2	YKL126W
Akt1	YMR104C
Akt1	YKL126W
Akt1	YMR104C
Akt1	YKL126W
Akt2	YMR104C
Akt2	YKL126W
Akt2	YMR104C
Akt2	YKL126W
Akt2	YMR104C
Akt2	YKL126W
Akt2	YMR104C
Akt2	YKL126W
Akt2	YMR104C
Akt2	YKL126W
Akt1	YMR104C
Akt1	YKL126W
Akt1	YMR104C
Akt1	YKL126W
Akt3	YMR104C
Akt3	YKL126W
Akt3	YMR104C
Akt3	YKL126W
Akt3	YMR104C
Akt3	YKL126W
Akt2	YMR104C
Akt2	YKL126W
Akt2	YMR104C
Akt2	YKL126W
Rdh12	YOR246C
Rdh11	YOR246C
Rdh11	YOR246C
Rdh12	YOR246C
Rdh12	YOR246C
Rdh13	YOR246C
Rdh13	YOR246C
Rdh13	YOR246C
Dhrs13	YOR246C
Dhrs13	YOR246C
Rdh14	YOR246C
Wwox	YOR246C
Wwox	YOR246C
Wwox	YOR246C
Hspa9	YEL030W
Hspa9	YJR045C
Hspa5	YJL034W
Hspa5	YJL034W
Hspa2	YLL024C
Hspa2	YAL005C
Hspa2	YER103W
Hspa2	YBL075C
Hspa2	YLL024C
Hspa2	YAL005C
Hspa2	YER103W
Hspa2	YBL075C
Hspa8	YLL024C
Hspa8	YAL005C
Hspa8	YER103W
Hspa8	YBL075C
Hspa8	YLL024C
Hspa8	YAL005C
Hspa8	YER103W
Hspa8	YBL075C
Hspa1l	YLL024C
Hspa1l	YAL005C
Hspa1l	YER103W
Hspa1l	YBL075C
Hspa1a	YLL024C
Hspa1a	YAL005C
Hspa1a	YER103W
Hspa1a	YBL075C
Hspa1b	YLL024C
Hspa1b	YAL005C
Hspa1b	YER103W
Hspa1b	YBL075C
Abcg2	YCR011C
Abcg2	YCR011C
Abcg2	YCR011C
Abcg2	YCR011C
Abcg4	YOL075C
Abcg4	YOL075C
Abcg5	YOL075C
Abcg5	YOL075C
Abcg4	YOL075C
Abcg4	YOL075C
Abcg1	YOL075C
Atp11b	YAL026C
Atp11a	YAL026C
Atp11a	YAL026C
Atp11c	YAL026C
Atp11c	YAL026C
Atp11c	YAL026C
Atp11c	YAL026C
Atp8a1	YAL026C
Atp8a1	YAL026C
Atp8a1	YAL026C
Atp8a2	YAL026C
Atp10a	YDR093W
Atp10a	YER166W
Atp10b	YDR093W
Atp10b	YER166W
Atp10d	YDR093W
Atp10d	YER166W
Atp10d	YDR093W
Atp10d	YER166W
Hist1h3g	YBR010W
Hist1h3g	YNL031C
Hist1h3a	YBR010W
Hist1h3a	YNL031C
Hist1h3h	YBR010W
Hist1h3h	YNL031C
Hist1h3i	YBR010W
Hist1h3i	YNL031C
Hist2h3c1	YBR010W
Hist2h3c1	YNL031C
Hist1h3b	YBR010W
Hist1h3b	YNL031C
Hist2h3c1	YBR010W
Hist2h3c1	YNL031C
Hist2h3c2	YBR010W
Hist2h3c2	YNL031C
Hist1h3c	YBR010W
Hist1h3c	YNL031C
Hist1h3e	YBR010W
Hist1h3e	YNL031C
Hist2h3b	YBR010W
Hist2h3b	YNL031C
Hist1h3d	YBR010W
Hist1h3d	YNL031C
Hist1h3f	YBR010W
Hist1h3f	YNL031C
H3f3b	YBR010W
H3f3b	YNL031C
H3f3b	YBR010W
H3f3b	YNL031C
H3f3a	YBR010W
H3f3a	YNL031C
H3f3a	YBR010W
H3f3a	YNL031C
H3f3a	YBR010W
H3f3a	YNL031C
H3f3a	YBR010W
H3f3a	YNL031C
Hecw2	YER125W
Hecw2	YER125W
Hecw1	YER125W
Hecw1	YER125W
Smurf1	YER125W
Smurf1	YER125W
Smurf1	YER125W
Smurf2	YER125W
Smurf2	YER125W
Smurf2	YER125W
Wwp2	YER125W
Wwp2	YER125W
Wwp2	YER125W
Wwp1	YER125W
Wwp1	YER125W
Itch	YER125W
Itch	YER125W
Nedd4l	YER125W
Nedd4l	YER125W
Nedd4l	YER125W
Nedd4l	YER125W
Nedd4	YER125W
Hist3h2ba	YDR224C
Hist3h2ba	YBL002W
Hist1h2ba	YDR224C
Hist1h2ba	YBL002W
Hist2h2bb	YDR224C
Hist2h2bb	YBL002W
Hist1h2bp	YDR224C
Hist1h2bp	YBL002W
Hist1h2bp	YDR224C
Hist1h2bp	YBL002W
Hist1h2bm	YDR224C
Hist1h2bm	YBL002W
Hist1h2bc	YDR224C
Hist1h2bc	YBL002W
Hist1h2be	YDR224C
Hist1h2be	YBL002W
Hist1h2br	YDR224C
Hist1h2br	YBL002W
Hist1h2bq	YDR224C
Hist1h2bq	YBL002W
Hist1h2bb	YDR224C
Hist1h2bb	YBL002W
Hist1h2bj	YDR224C
Hist1h2bj	YBL002W
Hist1h2bl	YDR224C
Hist1h2bl	YBL002W
Hist1h2bq	YDR224C
Hist1h2bq	YBL002W
Hist1h2bn	YDR224C
Hist1h2bn	YBL002W
Hist1h2bf	YDR224C
Hist1h2bf	YBL002W
Hist1h2br	YDR224C
Hist1h2br	YBL002W
Hist1h2bq	YDR224C
Hist1h2bq	YBL002W
Hist1h2br	YDR224C
Hist1h2br	YBL002W
Hist2h2be	YDR224C
Hist2h2be	YBL002W
Hist1h2bk	YDR224C
Hist1h2bk	YBL002W
Hist1h2bh	YDR224C
Hist1h2bh	YBL002W
Hist1h2be	YDR224C
Hist1h2be	YBL002W
Hist1h2bg	YDR224C
Hist1h2bg	YBL002W
Acsl4	YMR246W
Acsl4	YIL009W
Acsl4	YOR317W
Acsl4	YMR246W
Acsl4	YIL009W
Acsl4	YOR317W
Acsl4	YMR246W
Acsl4	YIL009W
Acsl4	YOR317W
Acsl4	YMR246W
Acsl4	YIL009W
Acsl4	YOR317W
Acsl3	YMR246W
Acsl3	YIL009W
Acsl3	YOR317W
Acsl3	YMR246W
Acsl3	YIL009W
Acsl3	YOR317W
Acsl3	YMR246W
Acsl3	YIL009W
Acsl3	YOR317W
Acsl5	YER015W
Acsl6	YER015W
Acsl6	YER015W
Acsl6	YER015W
Acsl6	YER015W
Acsl6	YER015W
Acsl6	YER015W
Acsl6	YER015W
Acsl6	YER015W
Acsl6	YER015W
Acsl6	YER015W
Acsl6	YER015W
Acsl1	YER015W
Acsl1	YER015W
Acsl1	YER015W
Arf4	YDL137W
Arf4	YDL192W
Arf4	YDL137W
Arf4	YDL192W
Arf4	YDL137W
Arf4	YDL192W
Arf4	YDL137W
Arf4	YDL192W
Arf5	YDL137W
Arf5	YDL192W
Arf5	YDL137W
Arf5	YDL192W
Arf2	YDL137W
Arf2	YDL192W
Arf2	YDL137W
Arf2	YDL192W
Arf3	YDL137W
Arf3	YDL192W
Arf1	YDL137W
Arf1	YDL192W
Arf1	YDL137W
Arf1	YDL192W
Arl1	YBR164C
Arl1	YBR164C
Arl2	YMR138W
Trim23	YOR094W
Trim23	YOR094W
Arl4d	YOR094W
Arl4a	YOR094W
Arl4a	YOR094W
Arl4c	YOR094W
Arl4c	YOR094W
Arl4c	YOR094W
Actl7a	YHR129C
Actl7b	YHR129C
Actl9	YHR129C
Actrt2	YHR129C
Actrt3	YHR129C
Actr1b	YHR129C
Actr1a	YHR129C
Actbl2	YFL039C
Actb	YFL039C
Actg1	YFL039C
Actg1	YFL039C
Actg2	YFL039C
Actb	YFL039C
Actb	YFL039C
Acta1	YFL039C
Actg2	YFL039C
Acta2	YFL039C
Acta1	YFL039C
Actc1	YFL039C
Actg2	YFL039C
Actg2	YFL039C
Abcc12	YGR281W
Abcc12	YGR281W
Abcc5	YGR281W
Abcc5	YGR281W
Abcc4	YGR281W
Abcc4	YGR281W
Abcc2	YLL015W
Abcc2	YDR135C
Abcc3	YLL015W
Abcc3	YDR135C
Abcc3	YLL015W
Abcc3	YDR135C
Abcc6	YLL015W
Abcc6	YDR135C
Abcc1	YLL015W
Abcc1	YDR135C
Abcc10	YLL048C
Abcc10	YHL035C
Abcc10	YLL048C
Abcc10	YHL035C
Abcc10	YLL048C
Abcc10	YHL035C
Abcc10	YLL048C
Abcc10	YHL035C
Mip	YLL053C
Mip	YPR192W
Mip	YLL052C
Aqp5	YLL053C
Aqp5	YPR192W
Aqp5	YLL052C
Aqp5	YLL053C
Aqp5	YPR192W
Aqp5	YLL052C
Aqp5	YLL053C
Aqp5	YPR192W
Aqp5	YLL052C
Aqp6	YLL053C
Aqp6	YPR192W
Aqp6	YLL052C
Aqp6	YLL053C
Aqp6	YPR192W
Aqp6	YLL052C
Aqp5	YLL053C
Aqp5	YPR192W
Aqp5	YLL052C
Aqp2	YLL053C
Aqp2	YPR192W
Aqp2	YLL052C
Aqp4	YLL053C
Aqp4	YPR192W
Aqp4	YLL052C
Aqp4	YLL053C
Aqp4	YPR192W
Aqp4	YLL052C
Aqp4	YLL053C
Aqp4	YPR192W
Aqp4	YLL052C
Aqp4	YLL053C
Aqp4	YPR192W
Aqp4	YLL052C
Aqp4	YLL053C
Aqp4	YPR192W
Aqp4	YLL052C
Aqp4	YLL053C
Aqp4	YPR192W
Aqp4	YLL052C
Aqp4	YLL053C
Aqp4	YPR192W
Aqp4	YLL052C
Aqp4	YLL053C
Aqp4	YPR192W
Aqp4	YLL052C
Aqp1	YLL053C
Aqp1	YPR192W
Aqp1	YLL052C
Cdk4	YPR161C
Cdk4	YPR161C
Cdk4	YPR161C
Cdk6	YPR161C
Cdk6	YPR161C
Cdk10	YPR161C
Cdk10	YPR161C
Cdk11b	YPR161C
Cdk11b	YPR161C
Cdk11b	YPR161C
Cdk20	YPR161C
Cdk20	YPR161C
Cdk18	YPR161C
Cdk5	YPL031C
Cdk17	YPL031C
Cdk16	YPL031C
Cdk16	YPL031C
Cdk18	YPL031C
Cdk18	YPL031C
Cdk2	YBR160W
Cdk2	YBR160W
Cdk3	YBR160W
Mef2c	YBR182C
Mef2c	YBR182C
Mef2c	YBR182C
Mef2c	YBR182C
Mef2c	YBR182C
Mef2c	YBR182C
Mef2c	YBR182C
Mef2c	YBR182C
Mef2c	YBR182C
Mef2c	YBR182C
Mef2c	YBR182C
Mef2c	YBR182C
Mef2c	YBR182C
Mef2d	YBR182C
Mef2a	YBR182C
Mef2a	YBR182C
Mef2a	YBR182C
Mef2a	YBR182C
Dhx38	YKR086W
Dhx15	YGL120C
Dhx15	YGL120C
Dhx15	YGL120C
Dhx15	YGL120C
Dhx32	YGL120C
Dhx32	YGL120C
Dhx32	YGL120C
Dhx8	YER013W
Dhx8	YER013W
Dhx16	YNR011C
Dhx16	YNR011C
Akr1c19	YDL124W
Akr1a1	YBR149W
Akr1a1	YOR120W
Akr1a1	YDR368W
Akr1a1	YHR104W
Akr1d1	YBR149W
Akr1d1	YOR120W
Akr1d1	YDR368W
Akr1d1	YHR104W
Akr1c19	YBR149W
Akr1c19	YOR120W
Akr1c19	YDR368W
Akr1c19	YHR104W
Akr1c19	YBR149W
Akr1c19	YOR120W
Akr1c19	YDR368W
Akr1c19	YHR104W
Akr1c12	YBR149W
Akr1c12	YOR120W
Akr1c12	YDR368W
Akr1c12	YHR104W
Akr1c13	YBR149W
Akr1c13	YOR120W
Akr1c13	YDR368W
Akr1c13	YHR104W
Akr1c14	YBR149W
Akr1c14	YOR120W
Akr1c14	YDR368W
Akr1c14	YHR104W
Akr1c14	YBR149W
Akr1c14	YOR120W
Akr1c14	YDR368W
Akr1c14	YHR104W
Akr1c20	YBR149W
Akr1c20	YOR120W
Akr1c20	YDR368W
Akr1c20	YHR104W
Akr1c20	YBR149W
Akr1c20	YOR120W
Akr1c20	YDR368W
Akr1c20	YHR104W
Akr1c20	YBR149W
Akr1c20	YOR120W
Akr1c20	YDR368W
Akr1c20	YHR104W
Akr1c6	YBR149W
Akr1c6	YOR120W
Akr1c6	YDR368W
Akr1c6	YHR104W
Akr1c6	YBR149W
Akr1c6	YOR120W
Akr1c6	YDR368W
Akr1c6	YHR104W
Akr1c21	YBR149W
Akr1c21	YOR120W
Akr1c21	YDR368W
Akr1c21	YHR104W
Akr1c18	YBR149W
Akr1c18	YOR120W
Akr1c18	YDR368W
Akr1c18	YHR104W
Akr1c18	YBR149W
Akr1c18	YOR120W
Akr1c18	YDR368W
Akr1c18	YHR104W
Akr1cl	YBR149W
Akr1cl	YOR120W
Akr1cl	YDR368W
Akr1cl	YHR104W
Akr1cl	YBR149W
Akr1cl	YOR120W
Akr1cl	YDR368W
Akr1cl	YHR104W
Akr1b8	YBR149W
Akr1b8	YOR120W
Akr1b8	YDR368W
Akr1b8	YHR104W
Akr1b7	YBR149W
Akr1b7	YOR120W
Akr1b7	YDR368W
Akr1b7	YHR104W
Akr1b10	YBR149W
Akr1b10	YOR120W
Akr1b10	YDR368W
Akr1b10	YHR104W
Akr1b10	YBR149W
Akr1b10	YOR120W
Akr1b10	YDR368W
Akr1b10	YHR104W
Akr1b3	YBR149W
Akr1b3	YOR120W
Akr1b3	YDR368W
Akr1b3	YHR104W
Akr1e1	YBR149W
Akr1e1	YOR120W
Akr1e1	YDR368W
Akr1e1	YHR104W
Akr1e1	YBR149W
Akr1e1	YOR120W
Akr1e1	YDR368W
Akr1e1	YHR104W
Gna11	YER020W
Gnaq	YER020W
Gna14	YER020W
Gnai3	YHR005C
Gnai1	YHR005C
Gnai2	YHR005C
Gnai2	YHR005C
Gnaz	YHR005C
Gnaz	YHR005C
Gnao1	YHR005C
Gnao1	YHR005C
Gnao1	YHR005C
Gnao1	YHR005C
Rap2b	YGR152C
Rap2a	YGR152C
Rap2c	YGR152C
Rap1a	YGR152C
Rap1b	YGR152C
Rap1a	YGR152C
Kras	YOR101W
Kras	YOR101W
Hras	YOR101W
Hras	YOR101W
Nras	YOR101W
Nras	YOR101W
Nras	YOR101W
Nras	YOR101W
Nras	YOR101W
Hras	YOR101W
Nras	YOR101W
Hras	YOR101W
Hras	YOR101W
Mras	YOR101W
Mras	YOR101W
Mras	YOR101W
Rras2	YOR101W
Mapk13	YLR113W
Mapk12	YLR113W
Mapk14	YLR113W
Mapk14	YLR113W
Mapk14	YLR113W
Mapk14	YLR113W
Mapk14	YLR113W
Mapk14	YLR113W
Mapk14	YLR113W
Mapk11	YLR113W
Mapk3	YBL016W
Mapk3	YGR040W
Mapk1	YBL016W
Mapk1	YGR040W
Mapk1	YBL016W
Mapk1	YGR040W
Mapk1	YBL016W
Mapk1	YGR040W
Mapk3	YBL016W
Mapk3	YGR040W
Mapk3	YBL016W
Mapk3	YGR040W
Mapk3	YBL016W
Mapk3	YGR040W
Mapk3	YBL016W
Mapk3	YGR040W
Mapk7	YHR030C
Mapk7	YHR030C
Mapk7	YHR030C
Mapk15	YHR030C
Mapk15	YHR030C
Pfkfb4	YIL107C
Pfkfb4	YJL155C
Pfkfb4	YIL107C
Pfkfb4	YJL155C
Pfkfb4	YIL107C
Pfkfb4	YJL155C
Pfkfb1	YIL107C
Pfkfb1	YJL155C
Pfkfb1	YIL107C
Pfkfb1	YJL155C
Pfkfb2	YIL107C
Pfkfb2	YJL155C
Pfkfb2	YIL107C
Pfkfb2	YJL155C
Pfkfb2	YIL107C
Pfkfb2	YJL155C
Pfkfb2	YIL107C
Pfkfb2	YJL155C
Gm29427	YIL107C
Gm29427	YJL155C
Pfkfb2	YIL107C
Pfkfb2	YJL155C
Pfkfb2	YIL107C
Pfkfb2	YJL155C
Pfkfb2	YIL107C
Pfkfb2	YJL155C
Pfkfb2	YIL107C
Pfkfb2	YJL155C
Pfkfb2	YIL107C
Pfkfb2	YJL155C
Pfkfb3	YIL107C
Pfkfb3	YJL155C
Pfkfb3	YIL107C
Pfkfb3	YJL155C
Pfkfb3	YIL107C
Pfkfb3	YJL155C
Pfkfb3	YIL107C
Pfkfb3	YJL155C
Pfkfb3	YIL107C
Pfkfb3	YJL155C
Pfkfb3	YIL107C
Pfkfb3	YJL155C
Pfkfb3	YIL107C
Pfkfb3	YJL155C
Pfkfb3	YIL107C
Pfkfb3	YJL155C
Pfkfb3	YIL107C
Pfkfb3	YJL155C
Pfkfb3	YIL107C
Pfkfb3	YJL155C
Pfkfb3	YIL107C
Pfkfb3	YJL155C
Pfkfb3	YIL107C
Pfkfb3	YJL155C
Pfkfb3	YIL107C
Pfkfb3	YJL155C
Pcbp4	YBL032W
Pcbp4	YBR233W
Pcbp4	YBR233W
Pcbp3	YBR233W
Pcbp3	YBR233W
Pcbp3	YBR233W
Pcbp3	YBR233W
Pcbp2	YBR233W
Pcbp2	YBR233W
Pcbp2	YBR233W
Pcbp2	YBR233W
Pcbp2	YBR233W
Pcbp2	YBR233W
Pcbp2	YBR233W
Pcbp1	YBR233W
Pcbp2	YBR233W
Pcbp2	YBR233W
Pcbp2	YBR233W
Pcbp2	YBR233W
Pcbp2	YBR233W
Pcbp2	YBR233W
Pcbp2	YBR233W
Pcbp2	YBR233W
Pcbp2	YBR233W
Pcbp2	YBR233W
Pcbp2	YBR233W
Pcbp2	YBR233W
Pcbp2	YBR233W
Pcbp2	YBR233W
Pcbp2	YBR233W
Hist1h4m	YNL030W
Hist1h4m	YBR009C
Hist1h4a	YNL030W
Hist1h4a	YBR009C
Hist1h4j	YNL030W
Hist1h4j	YBR009C
Hist1h4i	YNL030W
Hist1h4i	YBR009C
Hist1h4f	YNL030W
Hist1h4f	YBR009C
Hist1h4h	YNL030W
Hist1h4h	YBR009C
Hist2h4	YNL030W
Hist2h4	YBR009C
Hist1h4k	YNL030W
Hist1h4k	YBR009C
Hist1h4d	YNL030W
Hist1h4d	YBR009C
Hist1h4b	YNL030W
Hist1h4b	YBR009C
Hist1h4n	YNL030W
Hist1h4n	YBR009C
Hist1h4c	YNL030W
Hist1h4c	YBR009C
Hist4h4	YNL030W
Hist4h4	YBR009C
H2afx	YDR225W
H2afx	YBL003C
Hist1h2af	YDR225W
Hist1h2af	YBL003C
Hist1h2an	YDR225W
Hist1h2an	YBL003C
Hist1h2ae	YDR225W
Hist1h2ae	YBL003C
Hist1h2ac	YDR225W
Hist1h2ac	YBL003C
Hist1h2ab	YDR225W
Hist1h2ab	YBL003C
Hist1h2ao	YDR225W
Hist1h2ao	YBL003C
Hist1h2ag	YDR225W
Hist1h2ag	YBL003C
Hist1h2ad	YDR225W
Hist1h2ad	YBL003C
Hist1h2ap	YDR225W
Hist1h2ap	YBL003C
Hist1h2ai	YDR225W
Hist1h2ai	YBL003C
Hist1h2ak	YDR225W
Hist1h2ak	YBL003C
Hist1h2ah	YDR225W
Hist1h2ah	YBL003C
Hist3h2a	YDR225W
Hist3h2a	YBL003C
Hist2h2aa2	YDR225W
Hist2h2aa2	YBL003C
Hist2h2aa1	YDR225W
Hist2h2aa1	YBL003C
Hist2h2ab	YDR225W
Hist2h2ab	YBL003C
Hist2h2ac	YDR225W
Hist2h2ac	YBL003C
Hist1h2aa	YDR225W
Hist1h2aa	YBL003C
H2afj	YDR225W
H2afj	YBL003C
H2afj	YDR225W
H2afj	YBL003C
Lvrn	YKL157W
Lvrn	YHR047C
Lvrn	YKL157W
Lvrn	YHR047C
Trhde	YKL157W
Trhde	YHR047C
Lnpep	YKL157W
Lnpep	YHR047C
Erap1	YKL157W
Erap1	YHR047C
Erap1	YKL157W
Erap1	YHR047C
Erap1	YKL157W
Erap1	YHR047C
Enpep	YKL157W
Enpep	YHR047C
Enpep	YKL157W
Enpep	YHR047C
Npepps	YKL157W
Npepps	YHR047C
Npepps	YKL157W
Npepps	YHR047C
Npepps	YKL157W
Npepps	YHR047C
Npepps	YKL157W
Npepps	YHR047C
Npepps	YKL157W
Npepps	YHR047C
Npepps	YKL157W
Npepps	YHR047C
Spata13	YAL041W
Spata13	YAL041W
Spata13	YAL041W
Spata13	YAL041W
Arhgef4	YAL041W
Arhgef4	YAL041W
Arhgef4	YAL041W
Arhgef4	YAL041W
Arhgef4	YAL041W
Arhgef9	YAL041W
Arhgef9	YAL041W
Arhgef9	YAL041W
Arhgef9	YAL041W
Arhgef9	YAL041W
Arhgef9	YAL041W
Arhgef9	YAL041W
Arhgef9	YAL041W
Arhgef9	YAL041W
Arhgef9	YAL041W
Arhgef9	YAL041W
Arhgef9	YAL041W
Arhgef9	YAL041W
Arhgef9	YAL041W
Arhgef9	YAL041W
Arhgef9	YAL041W
Arhgef9	YAL041W
Aurka	YPL209C
Aurka	YPL209C
Aurka	YPL209C
Aurkb	YPL209C
Aurkb	YPL209C
Aurkc	YPL209C
Aurkc	YPL209C
Aurkc	YPL209C
Aurkc	YPL209C
