NCU00919	YGL171W
NCU03815	YHL036W
NCU01809	YLL034C
NCU00018	YDL126C
NCU08373	YNL329C
NCU08118	YKL197C
NCU07060	YBR062C
NCU03117	YML056C
NCU03117	YAR073W
NCU03117	YHR216W
NCU03117	YLR432W
NCU01786	YOL061W
NCU01270	YOL061W
NCU05254	YKL181W
NCU06970	YER099C
NCU06970	YBL068W
NCU06970	YHL011C
NCU02586	YGR241C
NCU02586	YHR161C
NCU07069	YDR432W
NCU00168	YDL052C
NCU02806	YDR099W
NCU02806	YER177W
NCU03300	YDR099W
NCU03300	YER177W
NCU05154	YGL006W
NCU04736	YGL006W
NCU00378	YMR169C
NCU00378	YMR170C
NCU03415	YOR374W
NCU03415	YER073W
NCU03415	YPL061W
NCU08512	YGL073W
NCU02413	YJR147W
NCU08480	YOR140W
NCU05485	YGL019W
NCU02754	YOR039W
NCU04790	YDR172W
NCU02003	YPR080W
NCU02003	YBR118W
NCU01242	YDL155W
NCU01242	YLR210W
NCU02758	YPR120C
NCU02758	YGR109C
NCU02758	YGR108W
NCU02758	YPR119W
NCU03786	YOR014W
NCU00043	YER133W
NCU07489	YPL179W
NCU07489	YDR436W
NCU07489	YML016C
NCU00121	YJR040W
NCU06444	YJR040W
NCU06624	YJR040W
NCU01753	YLR299W
NCU00440	YOR212W
NCU00523	YPL015C
NCU04737	YDL042C
NCU04737	YOL068C
NCU04859	YOR025W
NCU02286	YPL190C
NCU01471	YGL115W
NCU06454	YLR229C
NCU03466	YDR006C
NCU01446	YHR128W
NCU05224	YNR012W
NCU00726	YML078W
NCU00726	YDR155C
NCU03853	YLR216C
NCU01200	YHR057C
NCU01200	YDR304C
NCU03026	YDR371W
NCU03209	YDR371W
NCU04883	YDR371W
NCU04554	YDR371W
NCU10907	YIL015W
NCU02273	YPL154C
NCU03339	YPL091W
NCU01464	YHR132C
NCU06976	YKR054C
NCU09142	YDR488C
NCU06652	YDL168W
NCU07693	YBL034C
NCU01459	YNL167C
NCU01345	YNL167C
NCU03852	YKL092C
NCU09139	YER007W
NCU02015	YDR126W
NCU02015	YLR246W
NCU00356	YAL022C
NCU09443	YKL209C
NCU15835	YFR040W
NCU15835	YGL229C
NCU15835	YKR028W
NCU15835	YJL098W
NCU01238	YMR176W
NCU04414	YOR117W
NCU07367	YOR259C
NCU01224	YDL007W
NCU02260	YDR394W
NCU00579	YAR042W
NCU00579	YDL019C
NCU02289	YDR059C
NCU02289	YBR082C
NCU02636	YGR133W
NCU04513	YDR177W
NCU15829	YKR034W
NCU15829	YJL110C
NCU09068	YFL021W
NCU09068	YER040W
NCU07931	YNL274C
NCU01078	YPL113C
NCU04244	YPL232W
NCU04244	YMR183C
NCU02460	YPL232W
NCU02460	YMR183C
NCU04783	YLR206W
NCU04783	YDL161W
NCU01760	YLL013C
NCU06511	YLL013C
NCU01949	YPL081W
NCU01949	YBR189W
NCU11289	YPL088W
NCU02887	YPL088W
NCU06009	YPL088W
NCU04054	YFL037W
NCU04013	YMR110C
NCU07169	YBR241C
NCU07169	YGL104C
NCU06617	YGL106W
NCU00598	YCR083W
NCU00598	YGR209C
NCU00598	YLR043C
NCU05731	YCR083W
NCU05731	YGR209C
NCU05731	YLR043C
NCU06556	YCR083W
NCU06556	YGR209C
NCU06556	YLR043C
NCU17030	YOL123W
NCU04117	YPL270W
NCU04117	YLR188W
NCU05029	YMR301C
NCU03359	YPR024W
NCU01479	YER017C
NCU01479	YMR089C
NCU03436	YDL047W
NCU08301	YDR075W
NCU06563	YNR032W
NCU06419	YPL140C
NCU06419	YOR231W
NCU00587	YJL128C
NCU04612	YDL159W
NCU00230	YLL019C
NCU01335	YAR019C
NCU04096	YDR523C
NCU00772	YDR523C
NCU11235	YDR523C
NCU01438	YKR048C
NCU03796	YGL059W
NCU16821	YIL042C
NCU04672	YHR032W
NCU04672	YDR338C
NCU00755	YHR032W
NCU00755	YDR338C
NCU07720	YHR032W
NCU07720	YDR338C
NCU08895	YOR161C
NCU04051	YFR009W
NCU08920	YER036C
NCU03651	YKL029C
NCU02906	YKL029C
NCU02148	YKL140W
NCU03463	YMR054W
NCU03463	YOR270C
NCU09265	YAL058W
NCU06471	YER023W
NCU01249	YNL189W
NCU06105	YDR358W
NCU06105	YHR108W
NCU00629	YMR205C
NCU00629	YGR240C
NCU08180	YDL138W
NCU08180	YDL194W
NCU04963	YDL138W
NCU04963	YDL194W
NCU02582	YDL138W
NCU02582	YDL194W
NCU05627	YJL219W
NCU05627	YOL156W
NCU05627	YHR094C
NCU05627	YDR345C
NCU05627	YHR096C
NCU05627	YLR081W
NCU05627	YJL214W
NCU05627	YDR342C
NCU05627	YDR343C
NCU05627	YHR092C
NCU05627	YFL011W
NCU05627	YMR011W
NCU05627	YEL069C
NCU05627	YNR072W
NCU05627	YJR158W
NCU05627	YDL245C
NCU05627	YNL318C
NCU01633	YJL219W
NCU01633	YOL156W
NCU01633	YHR094C
NCU01633	YDR345C
NCU01633	YHR096C
NCU01633	YLR081W
NCU01633	YJL214W
NCU01633	YDR342C
NCU01633	YDR343C
NCU01633	YHR092C
NCU01633	YFL011W
NCU01633	YMR011W
NCU01633	YEL069C
NCU01633	YNR072W
NCU01633	YJR158W
NCU01633	YDL245C
NCU01633	YNL318C
NCU06026	YDR536W
NCU00988	YDR536W
NCU05585	YDR536W
NCU06138	YDR536W
NCU08152	YDR536W
NCU02188	YDR536W
NCU05350	YDR536W
NCU06384	YDR536W
NCU05597	YDR536W
NCU00801	YDR536W
NCU00809	YDR536W
NCU08114	YDR536W
NCU11342	YDR536W
NCU05853	YDR536W
NCU07199	YDR536W
NCU01813	YDR536W
NCU01132	YDR536W
NCU09358	YDR536W
NCU00821	YDR536W
NCU08012	YJL085W
NCU08991	YDR328C
NCU01965	YGR094W
NCU02819	YPR052C
NCU09995	YPR052C
NCU00775	YNL037C
NCU07697	YOR136W
NCU02954	YIL094C
NCU06668	YKR090W
NCU09132	YML085C
NCU09132	YML124C
NCU09468	YML085C
NCU09468	YML124C
NCU10467	YOL094C
NCU08427	YNL290W
NCU02687	YJR068W
NCU01333	YGL012W
NCU08762	YNL280C
NCU00024	YBL049W
NCU02960	YMR018W
NCU02960	YDR244W
NCU08946	YGR132C
NCU03310	YGR231C
NCU05716	YLR128W
NCU03498	YMR058W
NCU03498	YFL041W
NCU04593	YDR506C
NCU07989	YJR058C
NCU10618	YLR170C
NCU02394	YPL196W
NCU01247	YIL026C
NCU02455	YDR519W
NCU04140	YDR519W
NCU04371	YNL135C
NCU03855	YIL038C
NCU03855	YPR072W
NCU00553	YDR379W
NCU00553	YOR127W
NCU01161	YDR379W
NCU01161	YOR127W
NCU07688	YDR379W
NCU07688	YOR127W
NCU03505	YER169W
NCU03505	YDR096W
NCU02515	YOR219C
NCU02515	YHR028C
NCU06701	YLR176C
NCU06999	YLR072W
NCU06999	YFL042C
NCU06763	YIL030C
NCU00480	YJL197W
NCU06948	YBR109C
NCU07710	YJR138W
NCU02463	YNL305C
NCU04292	YHR208W
NCU04292	YJR148W
NCU04754	YHR208W
NCU04754	YJR148W
NCU09813	YDR510W
NCU02741	YER095W
NCU06914	YPR033C
NCU01376	YDR481C
NCU08997	YDR481C
NCU02354	YGR056W
NCU02354	YLR357W
NCU02470	YKR013W
NCU02470	YJL079C
NCU02470	YJL078C
NCU05618	YKR013W
NCU05618	YJL079C
NCU05618	YJL078C
NCU05251	YJR063W
NCU06987	YKR051W
NCU07701	YKR051W
NCU06380	YIL023C
NCU01870	YMR323W
NCU01870	YOR393W
NCU01870	YPL281C
NCU01870	YHR174W
NCU01870	YGR254W
NCU10042	YMR323W
NCU10042	YOR393W
NCU10042	YPL281C
NCU10042	YHR174W
NCU10042	YGR254W
NCU03124	YOR061W
NCU03124	YIL035C
NCU04202	YKL067W
NCU07937	YOR171C
NCU07937	YLR260W
NCU02111	YKL129C
NCU02111	YMR109W
NCU07181	YJR129C
NCU02689	YDL240W
NCU09492	YLR422W
NCU01587	YLL050C
NCU06213	YOR156C
NCU06213	YDR409W
NCU03732	YNL007C
NCU07530	YOL122C
NCU07530	YLR034C
NCU07530	YHR050W
NCU08489	YOL122C
NCU08489	YLR034C
NCU08489	YHR050W
NCU10477	YGL087C
NCU02693	YGL001C
NCU04943	YLR078C
NCU11185	YJR110W
NCU00045	YPR031W
NCU01605	YIL106W
NCU04304	YIL114C
NCU04304	YNL055C
NCU03219	YNL238W
NCU03749	YDR272W
NCU03749	YOR040W
NCU08598	YMR190C
NCU09309	YPR103W
NCU09001	YNR052C
NCU04799	YER165W
NCU03891	YCL033C
NCU04600	YER089C
NCU04600	YBL056W
NCU08925	YMR020W
NCU05525	YGR127W
NCU07872	YJL141C
NCU00517	YER173W
NCU03246	YFR028C
NCU03894	YHL007C
NCU00406	YNL298W
NCU06787	YPR023C
NCU00116	YOR358W
NCU06922	YGL054C
NCU06922	YBR210W
NCU07874	YNL016W
NCU06022	YHR046C
NCU06022	YDR287W
NCU06348	YHR046C
NCU06348	YDR287W
NCU02796	YNL097C
NCU02796	YHR090C
NCU02796	YOR064C
NCU00070	YNL097C
NCU00070	YHR090C
NCU00070	YOR064C
NCU09327	YMR287C
NCU03065	YOL021C
NCU01197	YDR293C
NCU04142	YMR186W
NCU04142	YPL240C
NCU08811	YER122C
NCU00243	YER016W
NCU07281	YBR196C
NCU08408	YJL059W
NCU08032	YAR008W
NCU02498	YGR003W
NCU01625	YER171W
NCU04185	YDL079C
NCU04185	YMR139W
NCU05269	YPL106C
NCU05269	YBR169C
NCU08616	YPR010C
NCU01772	YOR207C
NCU05120	YOR151C
NCU07741	YBR042C
NCU07741	YDR018C
NCU03176	YDR147W
NCU03176	YLR133W
NCU06518	YKL150W
NCU03112	YKL150W
NCU00216	YIL043C
NCU08060	YIL043C
NCU09317	YPL169C
NCU10143	YOR291W
NCU09688	YPL259C
NCU09673	YOL062C
NCU09377	YGL190C
NCU00275	YER116C
NCU00453	YDR456W
NCU02564	YGR012W
NCU08216	YGR155W
NCU16466	YGR159C
NCU03092	YGR159C
NCU02716	YGR091W
NCU00081	YLR234W
NCU02466	YGR223C
NCU07010	YLR410W
NCU07999	YKL165C
NCU09432	YPR032W
NCU09432	YBL106C
NCU02720	YDR515W
NCU02720	YCL037C
NCU06240	YPL203W
NCU06240	YKL166C
NCU06240	YJL164C
NCU07860	YIL172C
NCU07860	YJL221C
NCU07860	YOL157C
NCU07860	YGR287C
NCU07860	YBR299W
NCU07860	YGR292W
NCU07860	YJL216C
NCU06523	YIL172C
NCU06523	YJL221C
NCU06523	YOL157C
NCU06523	YGR287C
NCU06523	YBR299W
NCU06523	YGR292W
NCU06523	YJL216C
NCU07620	YCR028C
NCU07820	YAL067C
NCU07820	YGR065C
NCU05884	YAL067C
NCU05884	YGR065C
NCU09039	YIL166C
NCU09831	YIL166C
NCU07609	YOL162W
NCU09654	YLL055W
NCU09654	YLR004C
NCU09654	YJR152W
NCU02653	YLL055W
NCU02653	YLR004C
NCU02653	YJR152W
NCU00782	YGR260W
NCU09698	YGR260W
NCU09678	YGR260W
NCU00195	YGR260W
NCU08715	YGR260W
NCU05519	YGR260W
NCU06159	YGR260W
NCU04374	YGR260W
NCU08407	YGR260W
NCU01523	YER031C
NCU01523	YGL210W
NCU08271	YER031C
NCU08271	YGL210W
NCU11372	YDL165W
NCU06700	YKL094W
NCU06561	YDL135C
NCU05274	YEL034W
NCU05274	YJR047C
NCU06941	YLR200W
NCU16027	Q0130
NCU10029	YER042W
NCU02936	YLR142W
NCU08917	YIL125W
NCU05425	YIL125W
NCU08309	YMR167W
NCU06189	YDR232W
NCU10292	YDL205C
NCU08477	YFL038C
NCU06404	YFL005W
NCU04581	YPR141C
NCU09251	YJR085C
NCU08382	YPL147W
NCU01751	YKL188C
NCU03479	YLR277C
NCU09534	YKL026C
NCU09534	YIR037W
NCU09534	YBR244W
NCU04259	YLR253W
NCU00104	YLL026W
NCU02630	YDR258C
NCU03460	YMR101C
NCU03460	YBR002C
NCU02482	YPR001W
NCU01692	YNR001C
NCU01692	YCR005C
NCU09727	YPR048W
NCU03697	YFR030W
NCU04077	YFR030W
NCU09741	YHR042W
NCU06075	YAL038W
NCU06075	YOR347C
NCU00824	YNL330C
NCU02795	YGL194C
NCU03482	YDR190C
NCU06854	YPL235W
NCU00146	YBR201W
NCU00146	YDR411C
NCU04191	YGL246C
NCU06332	YGR110W
NCU01564	YNL083W
NCU05218	YOR244W
NCU09076	YDL084W
NCU09657	YBR172C
NCU03804	YLR433C
NCU03804	YML057W
NCU03407	YPR165W
NCU01484	YNL090W
NCU08683	YNL090W
NCU16559	YNL090W
NCU06698	YJL137C
NCU06698	YKR058W
NCU06182	YLR362W
NCU03071	YNR031C
NCU03071	YCR073C
NCU02234	YHR102W
NCU00434	YDL006W
NCU02299	YML131W
NCU02778	YJR131W
NCU00261	YBL039C
NCU00261	YJR103W
NCU00366	YPR041W
NCU02549	YLR163C
NCU02549	YBL045C
NCU06270	YHR024C
NCU07437	YMR260C
NCU09202	YMR216C
NCU02175	YPL268W
NCU06245	YPL268W
NCU11415	YPL268W
NCU02665	YOR245C
NCU02255	YGR216C
NCU05232	YJR005W
NCU09721	YKL135C
NCU17108	YGL047W
NCU04443	YBR046C
NCU03216	YER170W
NCU01550	YDR226W
NCU03292	YGL167C
NCU02347	YBL060W
NCU01465	YPR095C
NCU00202	YLR429W
NCU03366	YPR129W
NCU12114	YOR022C
NCU06812	YOR022C
NCU03396	YOR310C
NCU06943	YLR197W
NCU03572	YNR023W
NCU03572	YCR052W
NCU11300	YDL008W
NCU05644	YHR188C
NCU04124	YKL179C
NCU00465	YMR214W
NCU11102	YMR214W
NCU07414	YPR061C
NCU07414	YNL064C
NCU07868	YGR162W
NCU03258	YKR003W
NCU09740	YIL129C
NCU08319	YLR452C
NCU02217	YHR116W
NCU02657	YLR180W
NCU02657	YDR502C
NCU05261	YBL022C
NCU04602	YNL024C
NCU03708	YBR271W
NCU02608	YBR271W
NCU03309	YDR139C
NCU01528	YGR192C
NCU01528	YJR009C
NCU01528	YJL052W
NCU03950	YDR089W
NCU03278	YDR414C
NCU04201	YIL047C
NCU07991	YNL265C
NCU03703	YJL177W
NCU03703	YKL180W
NCU06346	YGR037C
NCU02538	YPL010W
NCU08341	YDR270W
NCU06005	YHL032C
NCU02414	YDR211W
NCU06586	YNL155W
NCU07478	YGR257C
NCU07930	YER043C
NCU00895	YOR089C
NCU06410	YOR089C
NCU01776	YMR121C
NCU01776	YLR029C
NCU07153	YFR044C
NCU05622	YBR281C
NCU08380	YLL010C
NCU08380	YLR019W
NCU02395	YOR278W
NCU08999	YJR060W
NCU08312	YDR164C
NCU02727	YDR019C
NCU06738	YDL195W
NCU03741	YJR049C
NCU03741	YEL041W
NCU03267	YJR049C
NCU03267	YEL041W
NCU07742	YPL188W
NCU09489	YKL152C
NCU09489	YDL021W
NCU09489	YOL056W
NCU09489	YOR283W
NCU06741	YLR038C
NCU00624	YNL263C
NCU02955	YLR069C
NCU07021	YJL102W
NCU03138	YMR236W
NCU04133	YBR074W
NCU07576	YPR140W
NCU05276	YGL161C
NCU06389	YNL201C
NCU08031	YPL101W
NCU09838	YPR147C
NCU06285	YJR126C
NCU03108	YJR126C
NCU06743	YOR293W
NCU06743	YMR230W
NCU08008	YNL138W
NCU03298	YNL106C
NCU03298	YOR109W
NCU03298	YIL002C
NCU09469	YBL047C
NCU00239	YOR093C
NCU04115	YGR167W
NCU02027	YLR118C
NCU02404	YCL011C
NCU02404	YNL004W
NCU11109	YLR350W
NCU11109	YGR038W
NCU00902	YMR136W
NCU00902	YLR013W
NCU00902	YIR013C
NCU01154	YMR136W
NCU01154	YLR013W
NCU01154	YIR013C
NCU02733	YDR084C
NCU03033	YGL237C
NCU08935	YBR222C
NCU04615	YIL147C
NCU05837	YLL040C
NCU07839	YNL112W
NCU00269	YJL168C
NCU03347	YJL060W
NCU05196	YFL016C
NCU08944	YHR013C
NCU02433	YNL223W
NCU01895	YLR006C
NCU06252	YIL113W
NCU06252	YNL053W
NCU06177	YER129W
NCU06177	YGL179C
NCU03523	YER129W
NCU03523	YGL179C
NCU10346	YCR033W
NCU00951	YBR011C
NCU08703	YMR267W
NCU06845	YLR426W
NCU06845	YDL114W
NCU03115	YLR313C
NCU06942	YPR173C
NCU02420	YER047C
NCU07542	YEL037C
NCU03148	YPL037C
NCU03148	YDR252W
NCU05805	YBR263W
NCU02274	YLR058C
NCU00870	YPL165C
NCU10039	YHR207C
NCU09495	YHR207C
NCU00296	YHR207C
NCU08790	YHR207C
NCU00635	YHR193C
NCU00232	YKR079C
NCU03992	YDR129C
NCU08471	YGR244C
NCU04073	YER068W
NCU10309	YMR192W
NCU10309	YPL249C
NCU06362	YMR192W
NCU06362	YPL249C
NCU08499	YMR192W
NCU08499	YPL249C
NCU08919	YGL150C
NCU09993	YDR334W
NCU03565	YLR344W
NCU03565	YGR034W
NCU02610	YDR424C
NCU03440	YBL037W
NCU06191	YOL049W
NCU00057	YPL215W
NCU06187	YLR359W
NCU09332	YJR143C
NCU01912	YDL095W
NCU01912	YDL093W
NCU01648	YAL023C
NCU01648	YOR321W
NCU01648	YGR199W
NCU00277	YOR367W
NCU10987	YMR221C
NCU00721	YOR348C
NCU02783	YOL020W
NCU02783	YBR069C
NCU02783	YBR068C
NCU02783	YDR046C
NCU02783	YDR508C
NCU02783	YCL025C
NCU02783	YGR191W
NCU02783	YKR039W
NCU02783	YLL061W
NCU02783	YPL274W
NCU05830	YOL020W
NCU05830	YBR069C
NCU05830	YBR068C
NCU05830	YDR046C
NCU05830	YDR508C
NCU05830	YCL025C
NCU05830	YGR191W
NCU05830	YKR039W
NCU05830	YLL061W
NCU05830	YPL274W
NCU03509	YOL020W
NCU03509	YBR069C
NCU03509	YBR068C
NCU03509	YDR046C
NCU03509	YDR508C
NCU03509	YCL025C
NCU03509	YGR191W
NCU03509	YKR039W
NCU03509	YLL061W
NCU03509	YPL274W
NCU04435	YFL055W
NCU05168	YNL270C
NCU05168	YEL063C
NCU05168	YNL268W
NCU10276	YPL265W
NCU07129	YDR160W
NCU05198	YBR132C
NCU04814	YOL060C
NCU02755	YDR284C
NCU05941	YDR284C
NCU09692	YDR503C
NCU07986	YDR105C
NCU07926	YOR168W
NCU01589	YLR259C
NCU11371	YNR029C
NCU03024	YJL029C
NCU01435	YKL139W
NCU07906	YKR056W
NCU06780	YKR056W
NCU07734	YDL226C
NCU07384	YGR096W
NCU02979	YML035C
NCU02563	YGL043W
NCU07408	YLR340W
NCU05645	YDL087C
NCU04119	YOL018C
NCU07004	YOR349W
NCU01269	YGL003C
NCU01572	YGL116W
NCU02616	YGL116W
NCU06054	YHR190W
NCU03946	YIR001C
NCU08070	YNL200C
NCU08269	YBR035C
NCU07681	YCL005W-A
NCU10777	YDR063W
NCU00455	YCL032W
NCU07702	YLR087C
NCU07400	YPL174C
NCU06882	YKR017C
NCU01143	YLR419W
NCU00477	YMR297W
NCU05980	YBR139W
NCU06720	YGL203C
NCU04316	YGL203C
NCU06017	YOR251C
NCU09896	YKL001C
NCU08287	YJL130C
NCU02677	YJR109C
NCU01302	YBR177C
NCU01302	YPL095C
NCU01302	YMR210W
NCU04856	YPR035W
NCU06724	YPR035W
NCU01179	YMR203W
NCU06047	YGL123W
NCU01545	YBL078C
NCU02322	YER003C
NCU07165	YER003C
NCU00066	YGR278W
NCU03129	YKL194C
NCU02380	YIL078W
NCU05275	YKR094C
NCU05275	YIL148W
NCU05032	YKR094C
NCU05032	YIL148W
NCU01328	YBR117C
NCU01328	YPR074C
NCU09477	YBL030C
NCU09477	YBR085W
NCU09477	YMR056C
NCU01213	YHR008C
NCU09560	YHR008C
NCU01084	YIL003W
NCU09757	YPL175W
NCU11209	YPL065W
NCU06726	YLR351C
NCU05757	YJL126W
NCU01571	YJL031C
NCU09871	YOR257W
NCU06836	YAL054C
NCU06836	YLR153C
NCU00227	YOR271C
NCU08346	YBR274W
NCU03897	YJL080C
NCU12126	YDR034C
NCU07392	YDR207C
NCU05767	YDR207C
NCU05414	YML099C
NCU05414	YBR240C
NCU03728	YDL170W
NCU00017	YDL170W
NCU09739	YDL170W
NCU05294	YDL170W
NCU02307	YDL170W
NCU07575	YDL170W
NCU09615	YDL170W
NCU02386	YDL170W
NCU00180	YDL170W
NCU06443	YDL170W
NCU09529	YDL170W
NCU00971	YOL040C
NCU03892	YML127W
NCU01318	YPR181C
NCU06431	YLR367W
NCU06431	YJL190C
NCU02826	YJR106W
NCU02826	YDL206W
NCU00177	YGL234W
NCU02830	YDR524C
NCU00488	YAL016W
NCU01112	YLR179C
NCU01112	YLR178C
NCU07775	YML015C
NCU03910	YNL111C
NCU08897	YLR378C
NCU07483	YDR182W
NCU09256	YGR178C
NCU05400	YGR178C
NCU03576	YKL189W
NCU03690	YBR017C
NCU08344	YDL075W
NCU08344	YLR406C
NCU04281	YNL006W
NCU05234	YLR262C
NCU04987	YOL002C
NCU04987	YDR492W
NCU05642	YNL247W
NCU04289	YGR007W
NCU09545	YPL023C
NCU07690	YGL125W
NCU00618	YKL156W
NCU00618	YHR021C
NCU07826	YOL121C
NCU07826	YNL302C
NCU00421	YBR289W
NCU07915	YOR292C
NCU06533	YLR251W
NCU04116	YDR289C
NCU00962	YCR081W
NCU09866	YKL010C
NCU04307	YDR185C
NCU04307	YLR168C
NCU04433	YLR092W
NCU04433	YBR294W
NCU03235	YLR092W
NCU03235	YBR294W
NCU05588	YOL115W
NCU05588	YNL299W
NCU01929	YKL025C
NCU01871	YOR032C
NCU04731	YOR032C
NCU02496	YMR036C
NCU00311	YOR359W
NCU09581	YHL039W
NCU09581	YPL208W
NCU08964	YLR075W
NCU07665	YGL058W
NCU09731	YGL058W
NCU03769	YNL246W
NCU00475	YML026C
NCU00475	YDR450W
NCU03870	YNL173C
NCU03870	YHR146W
NCU03870	YDR422C
NCU03837	YER027C
NCU03837	YGL208W
NCU04523	YGR246C
NCU04509	YDL125C
NCU06876	YDL125C
NCU01779	YKL040C
NCU03857	YLR174W
NCU03857	YNL009W
NCU03857	YDL066W
NCU05850	YNR074C
NCU02514	YBL099W
NCU01282	YLR025W
NCU00742	YOL059W
NCU00742	YDL022W
NCU03988	YNL301C
NCU03988	YOL120C
NCU05309	YMR262W
NCU03966	YAL048C
NCU00315	YFR032C-A
NCU04459	YDR448W
NCU02450	YER086W
NCU03607	YKL218C
NCU00893	YOR241W
NCU00892	YOR241W
NCU01337	YKL132C
NCU01337	YMR113W
NCU05515	YJL104W
NCU01498	YJL106W
NCU02076	YOL139C
NCU03441	YFR021W
NCU01935	YNL326C
NCU01206	YHR119W
NCU00964	YIL128W
NCU04019	YGR010W
NCU04019	YLR328W
NCU00299	YLR284C
NCU00299	YOR180C
NCU01427	YPL069C
NCU00681	YGR100W
NCU09543	YMR010W
NCU03231	YDR375C
NCU05204	YDL132W
NCU02578	YOL004W
NCU00668	YGR070W
NCU00668	YLR371W
NCU08626	YOR386W
NCU05558	YIL160C
NCU04796	YIL160C
NCU09646	YIL160C
NCU07700	YOR133W
NCU07700	YDR385W
NCU02572	YKL173W
NCU02780	YIR009W
NCU02965	YLR442C
NCU02965	YML065W
NCU02776	YJL194W
NCU01525	YNL021W
NCU00182	YHL017W
NCU00182	YKL039W
NCU03973	YDR111C
NCU03973	YLR089C
NCU07528	YPL212C
NCU07528	YGL063W
NCU04121	YPR029C
NCU07857	YIL052C
NCU07857	YER056C-A
NCU01199	YDR468C
NCU08877	YAL044C
NCU02744	YGL147C
NCU02744	YNL067W
NCU04237	YKL088W
NCU01468	YGR083C
NCU04519	YIR022W
NCU03363	YJL050W
NCU01857	YLR398C
NCU06679	YEL056W
NCU02422	YDL149W
NCU00489	YNL178W
NCU01452	YLR441C
NCU01452	YML063W
NCU03571	YOL100W
NCU03571	YDR490C
NCU03283	YNL168C
NCU03833	YKL190W
NCU07887	YJL026W
