CG5589	YGL171W
gish	YHR135C
gish	YNL154C
gish	YHR135C
gish	YNL154C
gish	YHR135C
gish	YNL154C
gish	YHR135C
gish	YNL154C
gish	YHR135C
gish	YNL154C
gish	YHR135C
gish	YNL154C
gish	YHR135C
gish	YNL154C
gish	YHR135C
gish	YNL154C
gish	YHR135C
gish	YNL154C
gish	YHR135C
gish	YNL154C
gish	YHR135C
gish	YNL154C
gish	YHR135C
dco	YPL204W
dco	YPL204W
dco	YPL204W
dco	YPL204W
dco	YPL204W
CkIalpha	YPL204W
CkIalpha	YPL204W
CkIalpha	YPL204W
CkIalpha	YPL204W
CkIalpha	YPL204W
CkIalpha	YPL204W
S6k	YMR104C
S6k	YKL126W
S6k	YMR104C
S6k	YKL126W
Akt1	YMR104C
Akt1	YKL126W
Akt1	YMR104C
Akt1	YKL126W
Akt1	YMR104C
Akt1	YKL126W
Akt1	YMR104C
Akt1	YKL126W
Akt1	YMR104C
Akt1	YKL126W
CG31235	YOR246C
CG31235	YOR246C
CG2064	YOR246C
CG2065	YOR246C
CG2065	YOR246C
CG30495	YOR246C
CG30495	YOR246C
CG30491	YOR246C
CG30491	YOR246C
CG2070	YOR246C
CG2070	YOR246C
CG3842	YOR246C
CG3842	YOR246C
CG3842	YOR246C
CG3842	YOR246C
CG7675	YOR246C
CG7675	YOR246C
CG7675	YOR246C
CG7675	YOR246C
CG7675	YOR246C
Wwox	YOR246C
Wwox	YOR246C
Hsc70-5	YEL030W
Hsc70-5	YJR045C
Hsc70-5	YEL030W
Hsc70-5	YJR045C
Hsc70-3	YJL034W
Hsc70-3	YJL034W
Hsc70-3	YJL034W
Hsc70-3	YJL034W
Hsc70-3	YJL034W
Hsp70Ab	YLL024C
Hsp70Ab	YAL005C
Hsp70Ab	YER103W
Hsp70Ab	YBL075C
Hsp70Aa	YLL024C
Hsp70Aa	YAL005C
Hsp70Aa	YER103W
Hsp70Aa	YBL075C
Hsp70Ba	YLL024C
Hsp70Ba	YAL005C
Hsp70Ba	YER103W
Hsp70Ba	YBL075C
Hsp70Bbb	YLL024C
Hsp70Bbb	YAL005C
Hsp70Bbb	YER103W
Hsp70Bbb	YBL075C
Hsp70Bb	YLL024C
Hsp70Bb	YAL005C
Hsp70Bb	YER103W
Hsp70Bb	YBL075C
Hsp70Bc	YLL024C
Hsp70Bc	YAL005C
Hsp70Bc	YER103W
Hsp70Bc	YBL075C
Hsp68	YLL024C
Hsp68	YAL005C
Hsp68	YER103W
Hsp68	YBL075C
Hsc70-2	YLL024C
Hsc70-2	YAL005C
Hsc70-2	YER103W
Hsc70-2	YBL075C
Hsc70-1	YLL024C
Hsc70-1	YAL005C
Hsc70-1	YER103W
Hsc70-1	YBL075C
Hsc70-1	YLL024C
Hsc70-1	YAL005C
Hsc70-1	YER103W
Hsc70-1	YBL075C
Hsc70-1	YLL024C
Hsc70-1	YAL005C
Hsc70-1	YER103W
Hsc70-1	YBL075C
Hsc70-4	YLL024C
Hsc70-4	YAL005C
Hsc70-4	YER103W
Hsc70-4	YBL075C
Hsc70-4	YLL024C
Hsc70-4	YAL005C
Hsc70-4	YER103W
Hsc70-4	YBL075C
Hsc70-4	YLL024C
Hsc70-4	YAL005C
Hsc70-4	YER103W
Hsc70-4	YBL075C
Hsc70-4	YLL024C
Hsc70-4	YAL005C
Hsc70-4	YER103W
Hsc70-4	YBL075C
Hsc70-4	YLL024C
Hsc70-4	YAL005C
Hsc70-4	YER103W
Hsc70-4	YBL075C
Hsc70-4	YLL024C
Hsc70-4	YAL005C
Hsc70-4	YER103W
Hsc70-4	YBL075C
Hsc70-4	YLL024C
Hsc70-4	YAL005C
Hsc70-4	YER103W
Hsc70-4	YBL075C
w	YCR011C
E23	YCR011C
E23	YCR011C
E23	YCR011C
CG11069	YOL075C
CG9664	YOL075C
CG9664	YOL075C
CG9664	YOL075C
CG9664	YOL075C
CG4822	YOL075C
CG4822	YOL075C
CG4822	YOL075C
CG4822	YOL075C
CG4822	YOL075C
CG4822	YOL075C
CG4822	YOL075C
CG4822	YOL075C
CG4822	YOL075C
CG17646	YOL075C
CG17646	YOL075C
CG9663	YOL075C
Atet	YOL075C
Atet	YOL075C
Atet	YOL075C
Atet	YOL075C
CG31689	YOL075C
CG31689	YOL075C
CG31689	YOL075C
CG31689	YOL075C
CG31689	YOL075C
CG31689	YOL075C
CG31689	YOL075C
CG31689	YOL075C
CG3164	YOL075C
CG3164	YOL075C
CG3164	YOL075C
CG3164	YOL075C
CG5853	YOL075C
CG5853	YOL075C
CG5853	YOL075C
CG42321	YAL026C
CG42321	YAL026C
CG42321	YAL026C
CG42321	YAL026C
CG42321	YAL026C
CG42321	YAL026C
CG42321	YAL026C
CG42321	YAL026C
CG42321	YAL026C
CG42321	YAL026C
CG42321	YAL026C
CG42321	YAL026C
CG42321	YAL026C
CG42321	YAL026C
CG33298	YDR093W
CG33298	YER166W
CG33298	YDR093W
CG33298	YER166W
CG33298	YDR093W
CG33298	YER166W
CG33298	YDR093W
CG33298	YER166W
His3:CG33827	YBR010W
His3:CG33827	YNL031C
His3:CG33824	YBR010W
His3:CG33824	YNL031C
His3:CG33812	YBR010W
His3:CG33812	YNL031C
His3:CG33809	YBR010W
His3:CG33809	YNL031C
His3:CG31613	YBR010W
His3:CG31613	YNL031C
His3:CG33821	YBR010W
His3:CG33821	YNL031C
His3:CG33815	YBR010W
His3:CG33815	YNL031C
His3:CG33848	YBR010W
His3:CG33848	YNL031C
His3:CG33842	YBR010W
His3:CG33842	YNL031C
His3:CG33839	YBR010W
His3:CG33839	YNL031C
His3:CG33836	YBR010W
His3:CG33836	YNL031C
His3:CG33857	YBR010W
His3:CG33857	YNL031C
His3:CG33860	YBR010W
His3:CG33860	YNL031C
His3:CG33854	YBR010W
His3:CG33854	YNL031C
His3:CG33866	YBR010W
His3:CG33866	YNL031C
His3:CG33863	YBR010W
His3:CG33863	YNL031C
His3:CG33851	YBR010W
His3:CG33851	YNL031C
His3:CG33833	YBR010W
His3:CG33833	YNL031C
His3:CG33845	YBR010W
His3:CG33845	YNL031C
His3:CG33818	YBR010W
His3:CG33818	YNL031C
His3:CG33806	YBR010W
His3:CG33806	YNL031C
His3:CG33803	YBR010W
His3:CG33803	YNL031C
His3:CG33830	YBR010W
His3:CG33830	YNL031C
His3.3B	YBR010W
His3.3B	YNL031C
His3.3B	YBR010W
His3.3B	YNL031C
His3.3A	YBR010W
His3.3A	YNL031C
His3.3A	YBR010W
His3.3A	YNL031C
His3.3A	YBR010W
His3.3A	YNL031C
His3.3B	YBR010W
His3.3B	YNL031C
His3.3B	YBR010W
His3.3B	YNL031C
CG42797	YER125W
CG42797	YER125W
CG42797	YER125W
CG42797	YER125W
Smurf	YER125W
Smurf	YER125W
Su(dx)	YER125W
Su(dx)	YER125W
Su(dx)	YER125W
Su(dx)	YER125W
Su(dx)	YER125W
Nedd4	YER125W
Nedd4	YER125W
Nedd4	YER125W
Nedd4	YER125W
Nedd4	YER125W
Nedd4	YER125W
Nedd4	YER125W
Nedd4	YER125W
Nedd4	YER125W
His2B:CG33882	YDR224C
His2B:CG33882	YBL002W
His2B:CG33878	YDR224C
His2B:CG33878	YBL002W
His2B:CG17949	YDR224C
His2B:CG17949	YBL002W
His2B:CG33874	YDR224C
His2B:CG33874	YBL002W
His2B:CG33876	YDR224C
His2B:CG33876	YBL002W
His2B:CG33904	YDR224C
His2B:CG33904	YBL002W
His2B:CG33910	YDR224C
His2B:CG33910	YBL002W
His2B:CG33908	YDR224C
His2B:CG33908	YBL002W
His2B:CG33888	YDR224C
His2B:CG33888	YBL002W
His2B:CG33890	YDR224C
His2B:CG33890	YBL002W
His2B:CG33884	YDR224C
His2B:CG33884	YBL002W
His2B:CG33886	YDR224C
His2B:CG33886	YBL002W
His2B:CG33906	YDR224C
His2B:CG33906	YBL002W
His2B:CG33892	YDR224C
His2B:CG33892	YBL002W
His2B:CG33896	YDR224C
His2B:CG33896	YBL002W
His2B:CG33894	YDR224C
His2B:CG33894	YBL002W
His2B:CG33900	YDR224C
His2B:CG33900	YBL002W
His2B:CG33898	YDR224C
His2B:CG33898	YBL002W
His2B:CG33902	YDR224C
His2B:CG33902	YBL002W
His2B:CG33880	YDR224C
His2B:CG33880	YBL002W
His2B:CG33872	YDR224C
His2B:CG33872	YBL002W
His2B:CG33870	YDR224C
His2B:CG33870	YBL002W
His2B:CG33868	YDR224C
His2B:CG33868	YBL002W
Acsl	YMR246W
Acsl	YIL009W
Acsl	YOR317W
Acsl	YMR246W
Acsl	YIL009W
Acsl	YOR317W
Acsl	YMR246W
Acsl	YIL009W
Acsl	YOR317W
Acsl	YMR246W
Acsl	YIL009W
Acsl	YOR317W
Acsl	YMR246W
Acsl	YIL009W
Acsl	YOR317W
Acsl	YMR246W
Acsl	YIL009W
Acsl	YOR317W
Acsl	YMR246W
Acsl	YIL009W
Acsl	YOR317W
Acsl	YMR246W
Acsl	YIL009W
Acsl	YOR317W
Acsl	YMR246W
Acsl	YIL009W
Acsl	YOR317W
Acsl	YMR246W
Acsl	YIL009W
Acsl	YOR317W
CG3961	YER015W
CG3961	YER015W
CG3961	YER015W
CG3961	YER015W
Arf102F	YDL137W
Arf102F	YDL192W
Arf102F	YDL137W
Arf102F	YDL192W
Arf79F	YDL137W
Arf79F	YDL192W
Arf79F	YDL137W
Arf79F	YDL192W
Arf79F	YDL137W
Arf79F	YDL192W
Arf79F	YDL137W
Arf79F	YDL192W
Arf79F	YDL137W
Arf79F	YDL192W
Arf79F	YDL137W
Arf79F	YDL192W
Arf79F	YDL137W
Arf79F	YDL192W
Arf79F	YDL137W
Arf79F	YDL192W
Arl1	YBR164C
Arl2	YMR138W
Arl4	YOR094W
Arl4	YOR094W
Arl4	YOR094W
Arp53D	YHR129C
Arp1	YHR129C
Act79B	YFL039C
Act79B	YFL039C
Act88F	YFL039C
Act87E	YFL039C
Act87E	YFL039C
Act87E	YFL039C
Act57B	YFL039C
Act5C	YFL039C
Act5C	YFL039C
Act5C	YFL039C
Act5C	YFL039C
Act5C	YFL039C
Act42A	YFL039C
CG7627	YGR281W
CG7627	YGR281W
CG9270	YGR281W
CG31793	YGR281W
MRP	YLL015W
MRP	YDR135C
MRP	YLL015W
MRP	YDR135C
MRP	YLL015W
MRP	YDR135C
MRP	YLL015W
MRP	YDR135C
MRP	YLL015W
MRP	YDR135C
MRP	YLL015W
MRP	YDR135C
MRP	YLL015W
MRP	YDR135C
MRP	YLL015W
MRP	YDR135C
MRP	YLL015W
MRP	YDR135C
MRP	YLL015W
MRP	YDR135C
MRP	YLL015W
MRP	YDR135C
MRP	YLL015W
MRP	YDR135C
MRP	YLL015W
MRP	YDR135C
MRP	YLL015W
MRP	YDR135C
MRP	YLL015W
MRP	YDR135C
MRP	YLL015W
MRP	YDR135C
MRP	YLL015W
MRP	YDR135C
MRP	YLL015W
MRP	YDR135C
CG7806	YLL048C
CG7806	YHL035C
Drip	YLL053C
Drip	YPR192W
Drip	YLL052C
Drip	YLL053C
Drip	YPR192W
Drip	YLL052C
Drip	YLL053C
Drip	YPR192W
Drip	YLL052C
Drip	YLL053C
Drip	YPR192W
Drip	YLL052C
Drip	YLL053C
Drip	YPR192W
Drip	YLL052C
Drip	YLL053C
Drip	YPR192W
Drip	YLL052C
Drip	YLL053C
Drip	YPR192W
Drip	YLL052C
Prip	YLL053C
Prip	YPR192W
Prip	YLL052C
Prip	YLL053C
Prip	YPR192W
Prip	YLL052C
Prip	YLL053C
Prip	YPR192W
Prip	YLL052C
Prip	YLL053C
Prip	YPR192W
Prip	YLL052C
Eglp3	YLL053C
Eglp3	YPR192W
Eglp3	YLL052C
Cdk4	YPR161C
Cdk4	YPR161C
Cdk4	YPR161C
Cdk4	YPR161C
Cdk4	YPR161C
Cdc2rk	YPR161C
Pitslre	YPR161C
Pitslre	YPR161C
Pitslre	YPR161C
Pitslre	YPR161C
Pitslre	YPR161C
Cdk2	YBR160W
Cdk2	YBR160W
Cdk2	YBR160W
Mef2	YBR182C
Mef2	YBR182C
Mef2	YBR182C
Mef2	YBR182C
Mef2	YBR182C
Mef2	YBR182C
Mef2	YBR182C
l(1)G0007	YKR086W
l(1)G0007	YKR086W
Dhx15	YGL120C
Dhx15	YGL120C
pea	YER013W
l(2)37Cb	YNR011C
CG6083	YBR149W
CG6083	YOR120W
CG6083	YDR368W
CG6083	YHR104W
CG6084	YBR149W
CG6084	YOR120W
CG6084	YDR368W
CG6084	YHR104W
CG6084	YBR149W
CG6084	YOR120W
CG6084	YDR368W
CG6084	YHR104W
CG6084	YBR149W
CG6084	YOR120W
CG6084	YDR368W
CG6084	YHR104W
CG6084	YBR149W
CG6084	YOR120W
CG6084	YDR368W
CG6084	YHR104W
CG10638	YBR149W
CG10638	YOR120W
CG10638	YDR368W
CG10638	YHR104W
CG9436	YBR149W
CG9436	YOR120W
CG9436	YDR368W
CG9436	YHR104W
CG10863	YBR149W
CG10863	YOR120W
CG10863	YDR368W
CG10863	YHR104W
CG12766	YBR149W
CG12766	YOR120W
CG12766	YDR368W
CG12766	YHR104W
CG2767	YBR149W
CG2767	YOR120W
CG2767	YDR368W
CG2767	YHR104W
CG17760	YER020W
CG30054	YER020W
CG30054	YER020W
Galphaq	YER020W
Galphaq	YER020W
Galphaq	YER020W
Galphaq	YER020W
Galphaq	YER020W
Galphaq	YER020W
Galphaq	YER020W
Galphai	YHR005C
Galphao	YHR005C
Galphao	YHR005C
Galphao	YHR005C
Galphao	YHR005C
Galphao	YHR005C
Galphao	YHR005C
Galphao	YHR005C
Galphao	YHR005C
Galphao	YHR005C
Rap2l	YGR152C
Rap1	YGR152C
Rap1	YGR152C
Rap1	YGR152C
Ras85D	YOR101W
Ras64B	YOR101W
p38a	YLR113W
p38a	YLR113W
p38a	YLR113W
p38b	YLR113W
rl	YBL016W
rl	YGR040W
rl	YBL016W
rl	YGR040W
rl	YBL016W
rl	YGR040W
rl	YBL016W
rl	YGR040W
rl	YBL016W
rl	YGR040W
rl	YBL016W
rl	YGR040W
Pfrx	YIL107C
Pfrx	YJL155C
Pfrx	YIL107C
Pfrx	YJL155C
Pfrx	YIL107C
Pfrx	YJL155C
Pfrx	YIL107C
Pfrx	YJL155C
Pfrx	YIL107C
Pfrx	YJL155C
Pfrx	YIL107C
Pfrx	YJL155C
Pfrx	YIL107C
Pfrx	YJL155C
Pfrx	YIL107C
Pfrx	YJL155C
Pfrx	YIL107C
Pfrx	YJL155C
Pfrx	YIL107C
Pfrx	YJL155C
Pfrx	YIL107C
Pfrx	YJL155C
Pfrx	YIL107C
Pfrx	YJL155C
Pfrx	YIL107C
Pfrx	YJL155C
mub	YBR233W
mub	YBR233W
mub	YBR233W
mub	YBR233W
mub	YBR233W
mub	YBR233W
mub	YBR233W
mub	YBR233W
mub	YBR233W
mub	YBR233W
mub	YBR233W
mub	YBR233W
His4r	YNL030W
His4r	YBR009C
His4r	YNL030W
His4r	YBR009C
His4:CG33883	YNL030W
His4:CG33883	YBR009C
His4:CG31611	YNL030W
His4:CG31611	YBR009C
His4:CG33893	YNL030W
His4:CG33893	YBR009C
His4:CG33907	YNL030W
His4:CG33907	YBR009C
His4:CG33905	YNL030W
His4:CG33905	YBR009C
His4:CG33909	YNL030W
His4:CG33909	YBR009C
His4:CG33889	YNL030W
His4:CG33889	YBR009C
His4:CG33891	YNL030W
His4:CG33891	YBR009C
His4:CG33885	YNL030W
His4:CG33885	YBR009C
His4:CG33887	YNL030W
His4:CG33887	YBR009C
His4r	YNL030W
His4r	YBR009C
His4:CG33871	YNL030W
His4:CG33871	YBR009C
His4:CG33873	YNL030W
His4:CG33873	YBR009C
His4:CG33875	YNL030W
His4:CG33875	YBR009C
His4:CG33903	YNL030W
His4:CG33903	YBR009C
His4:CG33899	YNL030W
His4:CG33899	YBR009C
His4:CG33901	YNL030W
His4:CG33901	YBR009C
His4:CG33895	YNL030W
His4:CG33895	YBR009C
His4:CG33897	YNL030W
His4:CG33897	YBR009C
His4r	YNL030W
His4r	YBR009C
His4:CG33879	YNL030W
His4:CG33879	YBR009C
His4:CG33877	YNL030W
His4:CG33877	YBR009C
His4:CG33881	YNL030W
His4:CG33881	YBR009C
His4:CG33869	YNL030W
His4:CG33869	YBR009C
His2A:CG33859	YDR225W
His2A:CG33859	YBL003C
His2A:CG33856	YDR225W
His2A:CG33856	YBL003C
His2A:CG33853	YDR225W
His2A:CG33853	YBL003C
His2A:CG33838	YDR225W
His2A:CG33838	YBL003C
His2A:CG33841	YDR225W
His2A:CG33841	YBL003C
His2A:CG33850	YDR225W
His2A:CG33850	YBL003C
His2A:CG33844	YDR225W
His2A:CG33844	YBL003C
His2A:CG33847	YDR225W
His2A:CG33847	YBL003C
His2A:CG33820	YDR225W
His2A:CG33820	YBL003C
His2A:CG33817	YDR225W
His2A:CG33817	YBL003C
His2A:CG33814	YDR225W
His2A:CG33814	YBL003C
His2A:CG31618	YDR225W
His2A:CG31618	YBL003C
His2A:CG33862	YDR225W
His2A:CG33862	YBL003C
His2A:CG33808	YDR225W
His2A:CG33808	YBL003C
His2A:CG33826	YDR225W
His2A:CG33826	YBL003C
His2A:CG33823	YDR225W
His2A:CG33823	YBL003C
His2A:CG33829	YDR225W
His2A:CG33829	YBL003C
His2A:CG33832	YDR225W
His2A:CG33832	YBL003C
His2A:CG33865	YDR225W
His2A:CG33865	YBL003C
His2A:CG33835	YDR225W
His2A:CG33835	YBL003C
CG3502	YKL157W
CG3502	YHR047C
CG11951	YKL157W
CG11951	YHR047C
SP1029	YKL157W
SP1029	YHR047C
SP1029	YKL157W
SP1029	YHR047C
SP1029	YKL157W
SP1029	YHR047C
SP1029	YKL157W
SP1029	YHR047C
SP1029	YKL157W
SP1029	YHR047C
CG31445	YKL157W
CG31445	YHR047C
CG31445	YKL157W
CG31445	YHR047C
CG14516	YKL157W
CG14516	YHR047C
CG14516	YKL157W
CG14516	YHR047C
CG14516	YKL157W
CG14516	YHR047C
CG31198	YKL157W
CG31198	YHR047C
CG8774	YKL157W
CG8774	YHR047C
CG8774	YKL157W
CG8774	YHR047C
CG8773	YKL157W
CG8773	YHR047C
CG32473	YKL157W
CG32473	YHR047C
CG32473	YKL157W
CG32473	YHR047C
CG32473	YKL157W
CG32473	YHR047C
Psa	YKL157W
Psa	YHR047C
Psa	YKL157W
Psa	YHR047C
Psa	YKL157W
Psa	YHR047C
Psa	YKL157W
Psa	YHR047C
Psa	YKL157W
Psa	YHR047C
Psa	YKL157W
Psa	YHR047C
Psa	YKL157W
Psa	YHR047C
Psa	YKL157W
Psa	YHR047C
aurA	YPL209C
aurB	YPL209C
Pkg21D	YDR466W
Pka-C3	YDR466W
fs(1)h	YLR399C
fs(1)h	YDL070W
fs(1)h	YLR399C
fs(1)h	YDL070W
fs(1)h	YLR399C
fs(1)h	YDL070W
fs(1)h	YLR399C
fs(1)h	YDL070W
fs(1)h	YLR399C
fs(1)h	YDL070W
fs(1)h	YLR399C
fs(1)h	YDL070W
fs(1)h	YLR399C
fs(1)h	YDL070W
fs(1)h	YLR399C
fs(1)h	YDL070W
fs(1)h	YLR399C
fs(1)h	YDL070W
Pka-R1	YIL033C
Pka-R1	YIL033C
Pka-R1	YIL033C
Pka-R1	YIL033C
Pka-R1	YIL033C
Pka-R1	YIL033C
Pka-R1	YIL033C
Pka-R1	YIL033C
Pka-R1	YIL033C
Pka-R1	YIL033C
Pka-R1	YIL033C
Pka-R1	YIL033C
Pka-R1	YIL033C
Pka-R1	YIL033C
Pka-R1	YIL033C
Pka-R1	YIL033C
Pka-R1	YIL033C
Pka-R1	YIL033C
sd	YBR083W
sd	YBR083W
sd	YBR083W
sd	YBR083W
sd	YBR083W
sd	YBR083W
sd	YBR083W
sd	YBR083W
sd	YBR083W
sd	YBR083W
sd	YBR083W
sd	YBR083W
sd	YBR083W
sd	YBR083W
sd	YBR083W
sd	YBR083W
sd	YBR083W
sd	YBR083W
sd	YBR083W
sd	YBR083W
sd	YBR083W
Frq1	YDR373W
Frq1	YDR373W
Frq1	YDR373W
Frq1	YDR373W
Frq2	YDR373W
Frq2	YDR373W
Frq2	YDR373W
Frq2	YDR373W
CG44422	YDR373W
CG44422	YDR373W
CG44422	YDR373W
CG44422	YDR373W
CG44422	YDR373W
CG44422	YDR373W
Sep4	YLR314C
Sep4	YLR314C
Sep4	YLR314C
Sep4	YLR314C
Sep4	YLR314C
Sep4	YLR314C
Sep4	YLR314C
Sep1	YLR314C
pnut	YLR314C
pnut	YLR314C
Fmo-2	YHR176W
Fmo-1	YHR176W
JIL-1	YBR028C
JIL-1	YBR028C
JIL-1	YBR028C
S6kII	YBR028C
S6kII	YBR028C
CG9413	YHL036W
CG9413	YHL036W
CG9413	YHL036W
CG9413	YHL036W
gb	YHL036W
gb	YHL036W
gb	YHL036W
mnd	YHL036W
mnd	YHL036W
mnd	YHL036W
CG1607	YHL036W
CG1607	YHL036W
CG1607	YHL036W
CG1607	YHL036W
JhI-21	YHL036W
JhI-21	YHL036W
JhI-21	YHL036W
JhI-21	YHL036W
JhI-21	YHL036W
smid	YLL034C
smid	YLL034C
smid	YLL034C
smid	YLL034C
smid	YLL034C
TER94	YDL126C
TER94	YDL126C
TER94	YDL126C
TER94	YDL126C
Pex6	YNL329C
Pex6	YNL329C
Pex1	YKL197C
CG11982	YBR062C
ras	YML056C
ras	YAR073W
ras	YHR216W
ras	YLR432W
ras	YML056C
ras	YAR073W
ras	YHR216W
ras	YLR432W
ras	YML056C
ras	YAR073W
ras	YHR216W
ras	YLR432W
ras	YML056C
ras	YAR073W
ras	YHR216W
ras	YLR432W
CG2246	YOL061W
CG2246	YKL181W
CG2246	YOL061W
CG2246	YKL181W
CG2246	YOL061W
CG2246	YKL181W
CG2246	YOL061W
CG2246	YKL181W
CG2246	YOL061W
CG2246	YKL181W
CG2246	YOL061W
CG2246	YKL181W
CG2246	YOL061W
CG2246	YKL181W
CG2246	YOL061W
CG2246	YKL181W
CG2246	YOL061W
CG2246	YKL181W
CG2246	YOL061W
CG2246	YKL181W
CG2246	YOL061W
CG2246	YKL181W
CG2246	YOL061W
CG2246	YKL181W
CG2246	YOL061W
CG2246	YKL181W
CG2246	YOL061W
CG2246	YKL181W
CG2246	YOL061W
CG2246	YKL181W
CG2246	YOL061W
CG2246	YKL181W
CG6767	YER099C
CG6767	YBL068W
CG6767	YHL011C
CG6767	YER099C
CG6767	YBL068W
CG6767	YHL011C
CG6767	YER099C
CG6767	YBL068W
CG6767	YHL011C
CG6767	YER099C
CG6767	YBL068W
CG6767	YHL011C
CG6767	YER099C
CG6767	YBL068W
CG6767	YHL011C
CG6767	YER099C
CG6767	YBL068W
CG6767	YHL011C
CG6767	YER099C
CG6767	YBL068W
CG6767	YHL011C
CG6767	YER099C
CG6767	YBL068W
CG6767	YHL011C
CG6767	YER099C
CG6767	YBL068W
CG6767	YHL011C
lap	YGR241C
lap	YHR161C
lap	YGR241C
lap	YHR161C
lap	YGR241C
lap	YHR161C
lap	YGR241C
lap	YHR161C
lap	YGR241C
lap	YHR161C
lap	YGR241C
lap	YHR161C
lap	YGR241C
lap	YHR161C
lap	YGR241C
lap	YHR161C
lap	YGR241C
lap	YHR161C
B52	YDR432W
B52	YDR432W
B52	YDR432W
B52	YDR432W
B52	YDR432W
B52	YDR432W
B52	YDR432W
B52	YDR432W
B52	YDR432W
B52	YDR432W
fu12	YDL052C
fu12	YDL052C
fu12	YDL052C
fu12	YDL052C
CG3812	YDL052C
CG3812	YDL052C
CG3812	YDL052C
14-3-3epsilon	YDR099W
14-3-3epsilon	YER177W
14-3-3epsilon	YDR099W
14-3-3epsilon	YER177W
14-3-3epsilon	YDR099W
14-3-3epsilon	YER177W
14-3-3epsilon	YDR099W
14-3-3epsilon	YER177W
14-3-3zeta	YDR099W
14-3-3zeta	YER177W
14-3-3zeta	YDR099W
14-3-3zeta	YER177W
14-3-3zeta	YDR099W
14-3-3zeta	YER177W
14-3-3zeta	YDR099W
14-3-3zeta	YER177W
14-3-3zeta	YDR099W
14-3-3zeta	YER177W
14-3-3zeta	YDR099W
14-3-3zeta	YER177W
14-3-3zeta	YDR099W
14-3-3zeta	YER177W
14-3-3zeta	YDR099W
14-3-3zeta	YER177W
14-3-3zeta	YDR099W
14-3-3zeta	YER177W
14-3-3zeta	YDR099W
14-3-3zeta	YER177W
14-3-3zeta	YDR099W
14-3-3zeta	YER177W
