AT3G09720	CG5589
AT5G54280	Mhc
AT5G54280	Mhc
AT5G54280	Mhc
AT5G54280	Mhc
AT5G54280	Mhc
AT5G54280	Mhc
AT5G54280	Mhc
AT5G54280	Mhc
AT5G54280	Mhc
AT5G54280	Mhc
AT5G54280	Mhc
AT5G54280	Mhc
AT5G54280	zip
AT5G54280	zip
AT5G54280	zip
AT5G54280	zip
AT5G54280	zip
AT5G54280	zip
AT5G54280	zip
AT5G54280	zip
AT5G54280	zip
AT2G13370	Chd1
AT2G13370	Chd1
AT2G13370	Chd1
AT2G02090	Etl1
AT3G06400	Iswi
AT3G06400	Iswi
AT3G06400	Iswi
AT5G18620	Iswi
AT5G18620	Iswi
AT5G18620	Iswi
AT2G46020	brm
AT2G46020	brm
AT2G46020	brm
AT2G46020	brm
AT2G46020	brm
AT2G46020	brm
AT2G28290	brm
AT2G28290	brm
AT2G28290	brm
AT2G28290	brm
AT2G28290	brm
AT2G28290	brm
AT3G06010	brm
AT3G06010	brm
AT3G06010	brm
AT3G06010	brm
AT3G06010	brm
AT3G06010	brm
AT5G19310	brm
AT5G19310	brm
AT5G19310	brm
AT5G19310	brm
AT5G19310	brm
AT5G19310	brm
AT5G10050	CG40486
AT5G10050	CG40486
AT5G10050	CG40485
AT5G10050	CG40485
AT5G10050	CG40485
AT5G10050	CG10962
AT5G10050	CG8757
AT5G10050	CG9150
AT5G10050	antdh
AT5G65205	CG40486
AT5G65205	CG40486
AT5G65205	CG40485
AT5G65205	CG40485
AT5G65205	CG40485
AT5G65205	CG10962
AT5G65205	CG8757
AT5G65205	CG9150
AT5G65205	antdh
AT1G24360	CG3603
AT1G24360	CG3603
AT4G27710	Cyp4d2
AT4G27710	Cyp4d2
AT4G27710	Cyp4d14
AT4G27710	Cyp4d14
AT4G27710	Cyp4ae1
AT4G27710	Cyp316a1
AT4G27710	Cyp4d8
AT4G27710	Cyp4d21
AT4G27710	Cyp4d20
AT4G27710	Cyp4d1
AT4G27710	Cyp4d1
AT4G27710	Cyp4e1
AT4G27710	Cyp4e2
AT4G27710	Cyp4e2
AT4G27710	Cyp4e3
AT4G27710	Cyp4s3
AT4G27710	Cyp4g1
AT4G27710	Cyp4g15
AT4G27710	Cyp4g15
AT4G27710	Cyp4c3
AT4G27710	Cyp4aa1
AT4G27710	Cyp4ac3
AT4G27710	Cyp4ac1
AT4G27710	Cyp4ac2
AT4G27710	Cyp4p2
AT4G27710	Cyp4p3
AT4G27710	Cyp4p1
AT2G46950	Cyp4d2
AT2G46950	Cyp4d2
AT2G46950	Cyp4d14
AT2G46950	Cyp4d14
AT2G46950	Cyp4ae1
AT2G46950	Cyp316a1
AT2G46950	Cyp4d8
AT2G46950	Cyp4d21
AT2G46950	Cyp4d20
AT2G46950	Cyp4d1
AT2G46950	Cyp4d1
AT2G46950	Cyp4e1
AT2G46950	Cyp4e2
AT2G46950	Cyp4e2
AT2G46950	Cyp4e3
AT2G46950	Cyp4s3
AT2G46950	Cyp4g1
AT2G46950	Cyp4g15
AT2G46950	Cyp4g15
AT2G46950	Cyp4c3
AT2G46950	Cyp4aa1
AT2G46950	Cyp4ac3
AT2G46950	Cyp4ac1
AT2G46950	Cyp4ac2
AT2G46950	Cyp4p2
AT2G46950	Cyp4p3
AT2G46950	Cyp4p1
AT2G46960	Cyp4d2
AT2G46960	Cyp4d2
AT2G46960	Cyp4d14
AT2G46960	Cyp4d14
AT2G46960	Cyp4ae1
AT2G46960	Cyp316a1
AT2G46960	Cyp4d8
AT2G46960	Cyp4d21
AT2G46960	Cyp4d20
AT2G46960	Cyp4d1
AT2G46960	Cyp4d1
AT2G46960	Cyp4e1
AT2G46960	Cyp4e2
AT2G46960	Cyp4e2
AT2G46960	Cyp4e3
AT2G46960	Cyp4s3
AT2G46960	Cyp4g1
AT2G46960	Cyp4g15
AT2G46960	Cyp4g15
AT2G46960	Cyp4c3
AT2G46960	Cyp4aa1
AT2G46960	Cyp4ac3
AT2G46960	Cyp4ac1
AT2G46960	Cyp4ac2
AT2G46960	Cyp4p2
AT2G46960	Cyp4p3
AT2G46960	Cyp4p1
AT5G52400	Cyp4d2
AT5G52400	Cyp4d2
AT5G52400	Cyp4d14
AT5G52400	Cyp4d14
AT5G52400	Cyp4ae1
AT5G52400	Cyp316a1
AT5G52400	Cyp4d8
AT5G52400	Cyp4d21
AT5G52400	Cyp4d20
AT5G52400	Cyp4d1
AT5G52400	Cyp4d1
AT5G52400	Cyp4e1
AT5G52400	Cyp4e2
AT5G52400	Cyp4e2
AT5G52400	Cyp4e3
AT5G52400	Cyp4s3
AT5G52400	Cyp4g1
AT5G52400	Cyp4g15
AT5G52400	Cyp4g15
AT5G52400	Cyp4c3
AT5G52400	Cyp4aa1
AT5G52400	Cyp4ac3
AT5G52400	Cyp4ac1
AT5G52400	Cyp4ac2
AT5G52400	Cyp4p2
AT5G52400	Cyp4p3
AT5G52400	Cyp4p1
AT5G38450	Cyp4d2
AT5G38450	Cyp4d2
AT5G38450	Cyp4d14
AT5G38450	Cyp4d14
AT5G38450	Cyp4ae1
AT5G38450	Cyp316a1
AT5G38450	Cyp4d8
AT5G38450	Cyp4d21
AT5G38450	Cyp4d20
AT5G38450	Cyp4d1
AT5G38450	Cyp4d1
AT5G38450	Cyp4e1
AT5G38450	Cyp4e2
AT5G38450	Cyp4e2
AT5G38450	Cyp4e3
AT5G38450	Cyp4s3
AT5G38450	Cyp4g1
AT5G38450	Cyp4g15
AT5G38450	Cyp4g15
AT5G38450	Cyp4c3
AT5G38450	Cyp4aa1
AT5G38450	Cyp4ac3
AT5G38450	Cyp4ac1
AT5G38450	Cyp4ac2
AT5G38450	Cyp4p2
AT5G38450	Cyp4p3
AT5G38450	Cyp4p1
AT1G67110	Cyp4d2
AT1G67110	Cyp4d2
AT1G67110	Cyp4d14
AT1G67110	Cyp4d14
AT1G67110	Cyp4ae1
AT1G67110	Cyp316a1
AT1G67110	Cyp4d8
AT1G67110	Cyp4d21
AT1G67110	Cyp4d20
AT1G67110	Cyp4d1
AT1G67110	Cyp4d1
AT1G67110	Cyp4e1
AT1G67110	Cyp4e2
AT1G67110	Cyp4e2
AT1G67110	Cyp4e3
AT1G67110	Cyp4s3
AT1G67110	Cyp4g1
AT1G67110	Cyp4g15
AT1G67110	Cyp4g15
AT1G67110	Cyp4c3
AT1G67110	Cyp4aa1
AT1G67110	Cyp4ac3
AT1G67110	Cyp4ac1
AT1G67110	Cyp4ac2
AT1G67110	Cyp4p2
AT1G67110	Cyp4p3
AT1G67110	Cyp4p1
AT1G75130	Cyp4d2
AT1G75130	Cyp4d2
AT1G75130	Cyp4d14
AT1G75130	Cyp4d14
AT1G75130	Cyp4ae1
AT1G75130	Cyp316a1
AT1G75130	Cyp4d8
AT1G75130	Cyp4d21
AT1G75130	Cyp4d20
AT1G75130	Cyp4d1
AT1G75130	Cyp4d1
AT1G75130	Cyp4e1
AT1G75130	Cyp4e2
AT1G75130	Cyp4e2
AT1G75130	Cyp4e3
AT1G75130	Cyp4s3
AT1G75130	Cyp4g1
AT1G75130	Cyp4g15
AT1G75130	Cyp4g15
AT1G75130	Cyp4c3
AT1G75130	Cyp4aa1
AT1G75130	Cyp4ac3
AT1G75130	Cyp4ac1
AT1G75130	Cyp4ac2
AT1G75130	Cyp4p2
AT1G75130	Cyp4p3
AT1G75130	Cyp4p1
AT2G26710	Cyp4d2
AT2G26710	Cyp4d2
AT2G26710	Cyp4d14
AT2G26710	Cyp4d14
AT2G26710	Cyp4ae1
AT2G26710	Cyp316a1
AT2G26710	Cyp4d8
AT2G26710	Cyp4d21
AT2G26710	Cyp4d20
AT2G26710	Cyp4d1
AT2G26710	Cyp4d1
AT2G26710	Cyp4e1
AT2G26710	Cyp4e2
AT2G26710	Cyp4e2
AT2G26710	Cyp4e3
AT2G26710	Cyp4s3
AT2G26710	Cyp4g1
AT2G26710	Cyp4g15
AT2G26710	Cyp4g15
AT2G26710	Cyp4c3
AT2G26710	Cyp4aa1
AT2G26710	Cyp4ac3
AT2G26710	Cyp4ac1
AT2G26710	Cyp4ac2
AT2G26710	Cyp4p2
AT2G26710	Cyp4p3
AT2G26710	Cyp4p1
AT3G14630	Cyp4d2
AT3G14630	Cyp4d2
AT3G14630	Cyp4d14
AT3G14630	Cyp4d14
AT3G14630	Cyp4ae1
AT3G14630	Cyp316a1
AT3G14630	Cyp4d8
AT3G14630	Cyp4d21
AT3G14630	Cyp4d20
AT3G14630	Cyp4d1
AT3G14630	Cyp4d1
AT3G14630	Cyp4e1
AT3G14630	Cyp4e2
AT3G14630	Cyp4e2
AT3G14630	Cyp4e3
AT3G14630	Cyp4s3
AT3G14630	Cyp4g1
AT3G14630	Cyp4g15
AT3G14630	Cyp4g15
AT3G14630	Cyp4c3
AT3G14630	Cyp4aa1
AT3G14630	Cyp4ac3
AT3G14630	Cyp4ac1
AT3G14630	Cyp4ac2
AT3G14630	Cyp4p2
AT3G14630	Cyp4p3
AT3G14630	Cyp4p1
AT3G14690	Cyp4d2
AT3G14690	Cyp4d2
AT3G14690	Cyp4d14
AT3G14690	Cyp4d14
AT3G14690	Cyp4ae1
AT3G14690	Cyp316a1
AT3G14690	Cyp4d8
AT3G14690	Cyp4d21
AT3G14690	Cyp4d20
AT3G14690	Cyp4d1
AT3G14690	Cyp4d1
AT3G14690	Cyp4e1
AT3G14690	Cyp4e2
AT3G14690	Cyp4e2
AT3G14690	Cyp4e3
AT3G14690	Cyp4s3
AT3G14690	Cyp4g1
AT3G14690	Cyp4g15
AT3G14690	Cyp4g15
AT3G14690	Cyp4c3
AT3G14690	Cyp4aa1
AT3G14690	Cyp4ac3
AT3G14690	Cyp4ac1
AT3G14690	Cyp4ac2
AT3G14690	Cyp4p2
AT3G14690	Cyp4p3
AT3G14690	Cyp4p1
AT3G14660	Cyp4d2
AT3G14660	Cyp4d2
AT3G14660	Cyp4d14
AT3G14660	Cyp4d14
AT3G14660	Cyp4ae1
AT3G14660	Cyp316a1
AT3G14660	Cyp4d8
AT3G14660	Cyp4d21
AT3G14660	Cyp4d20
AT3G14660	Cyp4d1
AT3G14660	Cyp4d1
AT3G14660	Cyp4e1
AT3G14660	Cyp4e2
AT3G14660	Cyp4e2
AT3G14660	Cyp4e3
AT3G14660	Cyp4s3
AT3G14660	Cyp4g1
AT3G14660	Cyp4g15
AT3G14660	Cyp4g15
AT3G14660	Cyp4c3
AT3G14660	Cyp4aa1
AT3G14660	Cyp4ac3
AT3G14660	Cyp4ac1
AT3G14660	Cyp4ac2
AT3G14660	Cyp4p2
AT3G14660	Cyp4p3
AT3G14660	Cyp4p1
AT3G14650	Cyp4d2
AT3G14650	Cyp4d2
AT3G14650	Cyp4d14
AT3G14650	Cyp4d14
AT3G14650	Cyp4ae1
AT3G14650	Cyp316a1
AT3G14650	Cyp4d8
AT3G14650	Cyp4d21
AT3G14650	Cyp4d20
AT3G14650	Cyp4d1
AT3G14650	Cyp4d1
AT3G14650	Cyp4e1
AT3G14650	Cyp4e2
AT3G14650	Cyp4e2
AT3G14650	Cyp4e3
AT3G14650	Cyp4s3
AT3G14650	Cyp4g1
AT3G14650	Cyp4g15
AT3G14650	Cyp4g15
AT3G14650	Cyp4c3
AT3G14650	Cyp4aa1
AT3G14650	Cyp4ac3
AT3G14650	Cyp4ac1
AT3G14650	Cyp4ac2
AT3G14650	Cyp4p2
AT3G14650	Cyp4p3
AT3G14650	Cyp4p1
AT3G14680	Cyp4d2
AT3G14680	Cyp4d2
AT3G14680	Cyp4d14
AT3G14680	Cyp4d14
AT3G14680	Cyp4ae1
AT3G14680	Cyp316a1
AT3G14680	Cyp4d8
AT3G14680	Cyp4d21
AT3G14680	Cyp4d20
AT3G14680	Cyp4d1
AT3G14680	Cyp4d1
AT3G14680	Cyp4e1
AT3G14680	Cyp4e2
AT3G14680	Cyp4e2
AT3G14680	Cyp4e3
AT3G14680	Cyp4s3
AT3G14680	Cyp4g1
AT3G14680	Cyp4g15
AT3G14680	Cyp4g15
AT3G14680	Cyp4c3
AT3G14680	Cyp4aa1
AT3G14680	Cyp4ac3
AT3G14680	Cyp4ac1
AT3G14680	Cyp4ac2
AT3G14680	Cyp4p2
AT3G14680	Cyp4p3
AT3G14680	Cyp4p1
AT3G14640	Cyp4d2
AT3G14640	Cyp4d2
AT3G14640	Cyp4d14
AT3G14640	Cyp4d14
AT3G14640	Cyp4ae1
AT3G14640	Cyp316a1
AT3G14640	Cyp4d8
AT3G14640	Cyp4d21
AT3G14640	Cyp4d20
AT3G14640	Cyp4d1
AT3G14640	Cyp4d1
AT3G14640	Cyp4e1
AT3G14640	Cyp4e2
AT3G14640	Cyp4e2
AT3G14640	Cyp4e3
AT3G14640	Cyp4s3
AT3G14640	Cyp4g1
AT3G14640	Cyp4g15
AT3G14640	Cyp4g15
AT3G14640	Cyp4c3
AT3G14640	Cyp4aa1
AT3G14640	Cyp4ac3
AT3G14640	Cyp4ac1
AT3G14640	Cyp4ac2
AT3G14640	Cyp4p2
AT3G14640	Cyp4p3
AT3G14640	Cyp4p1
AT3G14610	Cyp4d2
AT3G14610	Cyp4d2
AT3G14610	Cyp4d14
AT3G14610	Cyp4d14
AT3G14610	Cyp4ae1
AT3G14610	Cyp316a1
AT3G14610	Cyp4d8
AT3G14610	Cyp4d21
AT3G14610	Cyp4d20
AT3G14610	Cyp4d1
AT3G14610	Cyp4d1
AT3G14610	Cyp4e1
AT3G14610	Cyp4e2
AT3G14610	Cyp4e2
AT3G14610	Cyp4e3
AT3G14610	Cyp4s3
AT3G14610	Cyp4g1
AT3G14610	Cyp4g15
AT3G14610	Cyp4g15
AT3G14610	Cyp4c3
AT3G14610	Cyp4aa1
AT3G14610	Cyp4ac3
AT3G14610	Cyp4ac1
AT3G14610	Cyp4ac2
AT3G14610	Cyp4p2
AT3G14610	Cyp4p3
AT3G14610	Cyp4p1
AT3G14620	Cyp4d2
AT3G14620	Cyp4d2
AT3G14620	Cyp4d14
AT3G14620	Cyp4d14
AT3G14620	Cyp4ae1
AT3G14620	Cyp316a1
AT3G14620	Cyp4d8
AT3G14620	Cyp4d21
AT3G14620	Cyp4d20
AT3G14620	Cyp4d1
AT3G14620	Cyp4d1
AT3G14620	Cyp4e1
AT3G14620	Cyp4e2
AT3G14620	Cyp4e2
AT3G14620	Cyp4e3
AT3G14620	Cyp4s3
AT3G14620	Cyp4g1
AT3G14620	Cyp4g15
AT3G14620	Cyp4g15
AT3G14620	Cyp4c3
AT3G14620	Cyp4aa1
AT3G14620	Cyp4ac3
AT3G14620	Cyp4ac1
AT3G14620	Cyp4ac2
AT3G14620	Cyp4p2
AT3G14620	Cyp4p3
AT3G14620	Cyp4p1
AT1G17060	Cyp4d2
AT1G17060	Cyp4d2
AT1G17060	Cyp4d14
AT1G17060	Cyp4d14
AT1G17060	Cyp4ae1
AT1G17060	Cyp316a1
AT1G17060	Cyp4d8
AT1G17060	Cyp4d21
AT1G17060	Cyp4d20
AT1G17060	Cyp4d1
AT1G17060	Cyp4d1
AT1G17060	Cyp4e1
AT1G17060	Cyp4e2
AT1G17060	Cyp4e2
AT1G17060	Cyp4e3
AT1G17060	Cyp4s3
AT1G17060	Cyp4g1
AT1G17060	Cyp4g15
AT1G17060	Cyp4g15
AT1G17060	Cyp4c3
AT1G17060	Cyp4aa1
AT1G17060	Cyp4ac3
AT1G17060	Cyp4ac1
AT1G17060	Cyp4ac2
AT1G17060	Cyp4p2
AT1G17060	Cyp4p3
AT1G17060	Cyp4p1
AT1G31800	Cyp4d2
AT1G31800	Cyp4d2
AT1G31800	Cyp4d14
AT1G31800	Cyp4d14
AT1G31800	Cyp4ae1
AT1G31800	Cyp316a1
AT1G31800	Cyp4d8
AT1G31800	Cyp4d21
AT1G31800	Cyp4d20
AT1G31800	Cyp4d1
AT1G31800	Cyp4d1
AT1G31800	Cyp4e1
AT1G31800	Cyp4e2
AT1G31800	Cyp4e2
AT1G31800	Cyp4e3
AT1G31800	Cyp4s3
AT1G31800	Cyp4g1
AT1G31800	Cyp4g15
AT1G31800	Cyp4g15
AT1G31800	Cyp4c3
AT1G31800	Cyp4aa1
AT1G31800	Cyp4ac3
AT1G31800	Cyp4ac1
AT1G31800	Cyp4ac2
AT1G31800	Cyp4p2
AT1G31800	Cyp4p3
AT1G31800	Cyp4p1
AT3G53130	Cyp4d2
AT3G53130	Cyp4d2
AT3G53130	Cyp4d14
AT3G53130	Cyp4d14
AT3G53130	Cyp4ae1
AT3G53130	Cyp316a1
AT3G53130	Cyp4d8
AT3G53130	Cyp4d21
AT3G53130	Cyp4d20
AT3G53130	Cyp4d1
AT3G53130	Cyp4d1
AT3G53130	Cyp4e1
AT3G53130	Cyp4e2
AT3G53130	Cyp4e2
AT3G53130	Cyp4e3
AT3G53130	Cyp4s3
AT3G53130	Cyp4g1
AT3G53130	Cyp4g15
AT3G53130	Cyp4g15
AT3G53130	Cyp4c3
AT3G53130	Cyp4aa1
AT3G53130	Cyp4ac3
AT3G53130	Cyp4ac1
AT3G53130	Cyp4ac2
AT3G53130	Cyp4p2
AT3G53130	Cyp4p3
AT3G53130	Cyp4p1
AT4G15110	Cyp4d2
AT4G15110	Cyp4d2
AT4G15110	Cyp4d14
AT4G15110	Cyp4d14
AT4G15110	Cyp4ae1
AT4G15110	Cyp316a1
AT4G15110	Cyp4d8
AT4G15110	Cyp4d21
AT4G15110	Cyp4d20
AT4G15110	Cyp4d1
AT4G15110	Cyp4d1
AT4G15110	Cyp4e1
AT4G15110	Cyp4e2
AT4G15110	Cyp4e2
AT4G15110	Cyp4e3
AT4G15110	Cyp4s3
AT4G15110	Cyp4g1
AT4G15110	Cyp4g15
AT4G15110	Cyp4g15
AT4G15110	Cyp4c3
AT4G15110	Cyp4aa1
AT4G15110	Cyp4ac3
AT4G15110	Cyp4ac1
AT4G15110	Cyp4ac2
AT4G15110	Cyp4p2
AT4G15110	Cyp4p3
AT4G15110	Cyp4p1
AT2G45510	Cyp311a1
AT5G26742	CG10077
AT5G26742	CG10077
AT5G26742	Rm62
AT5G26742	mahe
AT5G26742	mahe
AT3G22310	CG10077
AT3G22310	CG10077
AT3G22310	Rm62
AT3G22310	mahe
AT3G22310	mahe
AT3G22330	CG10077
AT3G22330	CG10077
AT3G22330	Rm62
AT3G22330	mahe
AT3G22330	mahe
AT5G14610	CG10077
AT5G14610	CG10077
AT5G14610	Rm62
AT5G14610	mahe
AT5G14610	mahe
AT3G06480	CG10077
AT3G06480	CG10077
AT3G06480	Rm62
AT3G06480	mahe
AT3G06480	mahe
AT2G45810	me31B
AT2G45810	me31B
AT3G61240	me31B
AT3G61240	me31B
AT4G00660	me31B
AT4G00660	me31B
AT3G19760	CG7483
AT1G51380	CG7483
AT3G13920	eIF4A
AT3G13920	eIF4A
AT3G13920	eIF4A
AT3G13920	eIF4A
AT3G13920	eIF4A
AT3G13920	eIF4A
AT1G54270	eIF4A
AT1G54270	eIF4A
AT1G54270	eIF4A
AT1G54270	eIF4A
AT1G54270	eIF4A
AT1G54270	eIF4A
AT1G72730	eIF4A
AT1G72730	eIF4A
AT1G72730	eIF4A
AT1G72730	eIF4A
AT1G72730	eIF4A
AT1G72730	eIF4A
AT3G53110	Dbp80
AT3G53110	Dbp80
AT3G53110	Dbp80
AT3G53110	Dbp80
AT4G14340	gish
AT4G14340	gish
AT4G14340	gish
AT4G14340	gish
AT4G14340	gish
AT4G14340	gish
AT4G14340	gish
AT4G14340	gish
AT4G14340	gish
AT4G14340	gish
AT4G14340	gish
AT4G14340	gish
AT4G14340	gish
AT4G14340	dco
AT4G14340	dco
AT4G14340	dco
AT4G14340	dco
AT4G14340	dco
AT4G14340	CkIalpha
AT4G14340	CkIalpha
AT4G14340	CkIalpha
AT4G14340	CkIalpha
AT4G14340	CkIalpha
AT4G14340	CkIalpha
AT3G23340	gish
AT3G23340	gish
AT3G23340	gish
AT3G23340	gish
AT3G23340	gish
AT3G23340	gish
AT3G23340	gish
AT3G23340	gish
AT3G23340	gish
AT3G23340	gish
AT3G23340	gish
AT3G23340	gish
AT3G23340	gish
AT3G23340	dco
AT3G23340	dco
AT3G23340	dco
AT3G23340	dco
AT3G23340	dco
AT3G23340	CkIalpha
AT3G23340	CkIalpha
AT3G23340	CkIalpha
AT3G23340	CkIalpha
AT3G23340	CkIalpha
AT3G23340	CkIalpha
AT1G04440	gish
AT1G04440	gish
AT1G04440	gish
AT1G04440	gish
AT1G04440	gish
AT1G04440	gish
AT1G04440	gish
AT1G04440	gish
AT1G04440	gish
AT1G04440	gish
AT1G04440	gish
AT1G04440	gish
AT1G04440	gish
AT1G04440	dco
AT1G04440	dco
AT1G04440	dco
AT1G04440	dco
AT1G04440	dco
AT1G04440	CkIalpha
AT1G04440	CkIalpha
AT1G04440	CkIalpha
AT1G04440	CkIalpha
AT1G04440	CkIalpha
AT1G04440	CkIalpha
AT5G43320	gish
AT5G43320	gish
AT5G43320	gish
AT5G43320	gish
AT5G43320	gish
AT5G43320	gish
AT5G43320	gish
AT5G43320	gish
AT5G43320	gish
AT5G43320	gish
AT5G43320	gish
AT5G43320	gish
AT5G43320	gish
AT5G43320	dco
AT5G43320	dco
AT5G43320	dco
AT5G43320	dco
AT5G43320	dco
AT5G43320	CkIalpha
AT5G43320	CkIalpha
AT5G43320	CkIalpha
AT5G43320	CkIalpha
AT5G43320	CkIalpha
AT5G43320	CkIalpha
AT4G28540	gish
AT4G28540	gish
AT4G28540	gish
AT4G28540	gish
AT4G28540	gish
AT4G28540	gish
AT4G28540	gish
AT4G28540	gish
AT4G28540	gish
AT4G28540	gish
AT4G28540	gish
AT4G28540	gish
AT4G28540	gish
AT4G28540	dco
AT4G28540	dco
AT4G28540	dco
AT4G28540	dco
AT4G28540	dco
AT4G28540	CkIalpha
AT4G28540	CkIalpha
AT4G28540	CkIalpha
AT4G28540	CkIalpha
AT4G28540	CkIalpha
AT4G28540	CkIalpha
AT5G44100	gish
AT5G44100	gish
AT5G44100	gish
AT5G44100	gish
AT5G44100	gish
AT5G44100	gish
AT5G44100	gish
AT5G44100	gish
AT5G44100	gish
AT5G44100	gish
AT5G44100	gish
AT5G44100	gish
AT5G44100	gish
AT5G44100	dco
AT5G44100	dco
AT5G44100	dco
AT5G44100	dco
AT5G44100	dco
AT5G44100	CkIalpha
AT5G44100	CkIalpha
AT5G44100	CkIalpha
AT5G44100	CkIalpha
AT5G44100	CkIalpha
AT5G44100	CkIalpha
AT1G03930	gish
AT1G03930	gish
AT1G03930	gish
AT1G03930	gish
AT1G03930	gish
AT1G03930	gish
AT1G03930	gish
AT1G03930	gish
AT1G03930	gish
AT1G03930	gish
AT1G03930	gish
AT1G03930	gish
AT1G03930	gish
AT1G03930	dco
AT1G03930	dco
AT1G03930	dco
AT1G03930	dco
AT1G03930	dco
AT1G03930	CkIalpha
AT1G03930	CkIalpha
AT1G03930	CkIalpha
AT1G03930	CkIalpha
AT1G03930	CkIalpha
AT1G03930	CkIalpha
AT4G28860	gish
AT4G28860	gish
AT4G28860	gish
AT4G28860	gish
AT4G28860	gish
AT4G28860	gish
AT4G28860	gish
AT4G28860	gish
AT4G28860	gish
AT4G28860	gish
AT4G28860	gish
AT4G28860	gish
AT4G28860	gish
AT4G28860	dco
AT4G28860	dco
AT4G28860	dco
AT4G28860	dco
AT4G28860	dco
AT4G28860	CkIalpha
AT4G28860	CkIalpha
AT4G28860	CkIalpha
AT4G28860	CkIalpha
AT4G28860	CkIalpha
AT4G28860	CkIalpha
AT4G28880	gish
AT4G28880	gish
AT4G28880	gish
AT4G28880	gish
AT4G28880	gish
AT4G28880	gish
AT4G28880	gish
AT4G28880	gish
AT4G28880	gish
AT4G28880	gish
AT4G28880	gish
AT4G28880	gish
AT4G28880	gish
AT4G28880	dco
AT4G28880	dco
AT4G28880	dco
AT4G28880	dco
AT4G28880	dco
AT4G28880	CkIalpha
AT4G28880	CkIalpha
AT4G28880	CkIalpha
AT4G28880	CkIalpha
AT4G28880	CkIalpha
AT4G28880	CkIalpha
AT2G19470	gish
AT2G19470	gish
AT2G19470	gish
