AT3G09720	YGL171W
AT4G26100	YNL154C
AT4G26100	YHR135C
AT4G26100	YPL204W
AT5G57015	YNL154C
AT5G57015	YHR135C
AT5G57015	YPL204W
AT3G08720	YMR104C
AT3G08720	YKL126W
AT2G29700	YMR104C
AT2G29700	YKL126W
AT5G05710	YMR104C
AT5G05710	YKL126W
AT4G11410	YOR246C
AT4G23430	YOR246C
AT4G23420	YOR246C
AT5G02540	YOR246C
AT2G37540	YOR246C
AT4G24050	YOR246C
AT1G64590	YOR246C
AT5G50130	YOR246C
AT5G53090	YOR246C
AT4G27760	YOR246C
AT5G53100	YOR246C
AT1G03630	YOR246C
AT5G42020	YJL034W
AT5G28540	YJL034W
AT1G09080	YJL034W
AT5G02490	YLL024C
AT5G02490	YAL005C
AT5G02490	YER103W
AT5G02490	YBL075C
AT5G02500	YLL024C
AT5G02500	YAL005C
AT5G02500	YER103W
AT5G02500	YBL075C
AT3G09440	YLL024C
AT3G09440	YAL005C
AT3G09440	YER103W
AT3G09440	YBL075C
AT3G12580	YLL024C
AT3G12580	YAL005C
AT3G12580	YER103W
AT3G12580	YBL075C
AT1G56410	YLL024C
AT1G56410	YAL005C
AT1G56410	YER103W
AT1G56410	YBL075C
AT1G16030	YLL024C
AT1G16030	YAL005C
AT1G16030	YER103W
AT1G16030	YBL075C
AT3G13220	YCR011C
AT5G06530	YCR011C
AT4G27420	YCR011C
AT3G25620	YCR011C
AT1G31770	YCR011C
AT1G71960	YCR011C
AT3G21080	YOL075C
AT5G13580	YOL075C
AT2G39350	YOL075C
AT3G55090	YOL075C
AT3G53510	YOL075C
AT2G37360	YOL075C
AT3G55100	YOL075C
AT3G55110	YOL075C
AT3G55130	YOL075C
AT2G13610	YOL075C
AT4G25750	YOL075C
AT5G52860	YOL075C
AT5G19410	YOL075C
AT1G53270	YOL075C
AT1G51460	YOL075C
AT1G51500	YOL075C
AT3G21090	YOL075C
AT2G28070	YOL075C
AT1G17840	YOL075C
AT5G44240	YAL026C
AT3G18700	YDR093W
AT3G18700	YER166W
AT1G13370	YBR010W
AT1G13370	YNL031C
AT1G75600	YBR010W
AT1G75600	YNL031C
AT5G10980	YBR010W
AT5G10980	YNL031C
AT4G40040	YBR010W
AT4G40040	YNL031C
AT4G40030	YBR010W
AT4G40030	YNL031C
AT1G19890	YBR010W
AT1G19890	YNL031C
AT1G09200	YBR010W
AT1G09200	YNL031C
AT3G27360	YBR010W
AT3G27360	YNL031C
AT5G65360	YBR010W
AT5G65360	YNL031C
AT5G65350	YBR010W
AT5G65350	YNL031C
AT5G10390	YBR010W
AT5G10390	YNL031C
AT5G10400	YBR010W
AT5G10400	YNL031C
AT1G70320	YDR457W
AT1G70320	YER125W
AT1G55860	YDR457W
AT1G55860	YER125W
AT3G45980	YDR224C
AT3G45980	YBL002W
AT3G46030	YDR224C
AT3G46030	YBL002W
AT5G59910	YDR224C
AT5G59910	YBL002W
AT2G28720	YDR224C
AT2G28720	YBL002W
AT5G22880	YDR224C
AT5G22880	YBL002W
AT1G07790	YDR224C
AT1G07790	YBL002W
AT2G37470	YDR224C
AT2G37470	YBL002W
AT3G53650	YDR224C
AT3G53650	YBL002W
AT5G02570	YDR224C
AT5G02570	YBL002W
AT3G09480	YDR224C
AT3G09480	YBL002W
AT2G04350	YMR246W
AT2G04350	YIL009W
AT2G04350	YOR317W
AT1G77590	YMR246W
AT1G77590	YIL009W
AT1G77590	YOR317W
AT5G27600	YER015W
AT3G05970	YER015W
AT2G47170	YDL137W
AT2G47170	YDL192W
AT3G62290	YDL137W
AT3G62290	YDL192W
AT1G70490	YDL137W
AT1G70490	YDL192W
AT1G23490	YDL137W
AT1G23490	YDL192W
AT1G10630	YDL137W
AT1G10630	YDL192W
AT5G14670	YDL137W
AT5G14670	YDL192W
AT2G24765	YBR164C
AT2G18390	YMR138W
AT2G42170	YHR129C
AT2G42090	YHR129C
AT2G42100	YHR129C
AT3G18780	YFL039C
AT1G49240	YFL039C
AT3G53750	YFL039C
AT2G37620	YFL039C
AT5G59370	YFL039C
AT3G46520	YFL039C
AT5G09810	YFL039C
AT3G12110	YFL039C
AT1G30400	YGR281W
AT2G34660	YGR281W
AT1G30410	YGR281W
AT1G30420	YGR281W
AT3G59140	YLL015W
AT3G59140	YDR135C
AT3G21250	YLL015W
AT3G21250	YDR135C
AT1G04120	YLL015W
AT1G04120	YDR135C
AT3G13090	YLL015W
AT3G13090	YDR135C
AT3G13100	YLL015W
AT3G13100	YDR135C
AT3G13080	YLL015W
AT3G13080	YDR135C
AT1G71330	YLL015W
AT1G71330	YDR135C
AT3G60970	YLL015W
AT3G60970	YDR135C
AT3G60160	YLL015W
AT3G60160	YDR135C
AT2G47800	YLL015W
AT2G47800	YDR135C
AT3G62700	YLL015W
AT3G62700	YDR135C
AT2G07680	YLL048C
AT2G07680	YHL035C
AT4G17340	YLL053C
AT4G17340	YPR192W
AT4G17340	YLL052C
AT5G47450	YLL053C
AT5G47450	YPR192W
AT5G47450	YLL052C
AT3G16240	YLL053C
AT3G16240	YPR192W
AT3G16240	YLL052C
AT3G47440	YLL053C
AT3G47440	YPR192W
AT3G47440	YLL052C
AT2G36830	YLL053C
AT2G36830	YPR192W
AT2G36830	YLL052C
AT3G26520	YLL053C
AT3G26520	YPR192W
AT3G26520	YLL052C
AT4G01470	YLL053C
AT4G01470	YPR192W
AT4G01470	YLL052C
AT1G17810	YLL053C
AT1G17810	YPR192W
AT1G17810	YLL052C
AT1G73190	YLL053C
AT1G73190	YPR192W
AT1G73190	YLL052C
AT2G25810	YLL053C
AT2G25810	YPR192W
AT2G25810	YLL052C
AT1G52180	YLL053C
AT1G52180	YPR192W
AT1G52180	YLL052C
AT4G00430	YLL053C
AT4G00430	YPR192W
AT4G00430	YLL052C
AT1G01620	YLL053C
AT1G01620	YPR192W
AT1G01620	YLL052C
AT3G61430	YLL053C
AT3G61430	YPR192W
AT3G61430	YLL052C
AT2G45960	YLL053C
AT2G45960	YPR192W
AT2G45960	YLL052C
AT4G23400	YLL053C
AT4G23400	YPR192W
AT4G23400	YLL052C
AT2G16850	YLL053C
AT2G16850	YPR192W
AT2G16850	YLL052C
AT4G35100	YLL053C
AT4G35100	YPR192W
AT4G35100	YLL052C
AT3G53420	YLL053C
AT3G53420	YPR192W
AT3G53420	YLL052C
AT2G37170	YLL053C
AT2G37170	YPR192W
AT2G37170	YLL052C
AT2G37180	YLL053C
AT2G37180	YPR192W
AT2G37180	YLL052C
AT5G60660	YLL053C
AT5G60660	YPR192W
AT5G60660	YLL052C
AT2G39010	YLL053C
AT2G39010	YPR192W
AT2G39010	YLL052C
AT3G54820	YLL053C
AT3G54820	YPR192W
AT3G54820	YLL052C
AT3G06100	YLL053C
AT3G06100	YPR192W
AT3G06100	YLL052C
AT1G67580	YPR161C
AT5G63370	YPR161C
AT5G20240	YBR182C
AT3G54340	YBR182C
AT5G23260	YBR182C
AT1G71692	YBR182C
AT1G26310	YBR182C
AT1G69120	YBR182C
AT5G60910	YBR182C
AT3G30260	YBR182C
AT2G03710	YBR182C
AT3G02310	YBR182C
AT5G15800	YBR182C
AT1G24260	YBR182C
AT3G61120	YBR182C
AT2G45650	YBR182C
AT4G11880	YBR182C
AT4G22950	YBR182C
AT5G51860	YBR182C
AT5G51870	YBR182C
AT5G62165	YBR182C
AT2G45660	YBR182C
AT3G58780	YBR182C
AT2G42830	YBR182C
AT4G18960	YBR182C
AT4G09960	YBR182C
AT4G37940	YBR182C
AT2G22630	YBR182C
AT2G14210	YBR182C
AT3G57230	YBR182C
AT3G57390	YBR182C
AT5G13790	YBR182C
AT4G24540	YBR182C
AT2G22540	YBR182C
AT2G47680	YKL078W
AT5G13010	YKR086W
AT5G14900	YGL120C
AT2G47250	YGL120C
AT3G62310	YGL120C
AT3G26560	YER013W
AT4G16680	YNR011C
AT2G35340	YNR011C
AT1G32490	YNR011C
AT5G01670	YBR149W
AT5G01670	YOR120W
AT5G01670	YDR368W
AT2G37790	YBR149W
AT2G37790	YOR120W
AT2G37790	YDR368W
AT2G37770	YBR149W
AT2G37770	YOR120W
AT2G37770	YDR368W
AT3G53880	YBR149W
AT3G53880	YOR120W
AT3G53880	YDR368W
AT2G37760	YBR149W
AT2G37760	YOR120W
AT2G37760	YDR368W
AT5G62420	YBR149W
AT5G62420	YOR120W
AT5G62420	YDR368W
AT2G21250	YHR104W
AT2G21260	YHR104W
AT2G26300	YER020W
AT2G26300	YHR005C
AT4G01370	YLR113W
AT4G01370	YBL016W
AT4G01370	YGR040W
AT4G01370	YHR030C
AT1G01560	YLR113W
AT1G01560	YBL016W
AT1G01560	YGR040W
AT1G01560	YHR030C
AT2G46070	YLR113W
AT2G46070	YBL016W
AT2G46070	YGR040W
AT2G46070	YHR030C
AT4G11330	YLR113W
AT4G11330	YBL016W
AT4G11330	YGR040W
AT4G11330	YHR030C
AT1G07880	YLR113W
AT1G07880	YBL016W
AT1G07880	YGR040W
AT1G07880	YHR030C
AT2G43790	YLR113W
AT2G43790	YBL016W
AT2G43790	YGR040W
AT2G43790	YHR030C
AT3G59790	YLR113W
AT3G59790	YBL016W
AT3G59790	YGR040W
AT3G59790	YHR030C
AT3G45640	YLR113W
AT3G45640	YBL016W
AT3G45640	YGR040W
AT3G45640	YHR030C
AT1G59580	YLR113W
AT1G59580	YBL016W
AT1G59580	YGR040W
AT1G59580	YHR030C
AT1G10210	YLR113W
AT1G10210	YBL016W
AT1G10210	YGR040W
AT1G10210	YHR030C
AT4G36450	YLR113W
AT4G36450	YBL016W
AT4G36450	YGR040W
AT4G36450	YHR030C
AT2G18170	YLR113W
AT2G18170	YBL016W
AT2G18170	YGR040W
AT2G18170	YHR030C
AT1G07110	YIL107C
AT1G07110	YJL155C
AT5G04430	YBL032W
AT5G04430	YBR233W
AT1G07820	YNL030W
AT1G07820	YBR009C
AT3G46320	YNL030W
AT3G46320	YBR009C
AT3G45930	YNL030W
AT3G45930	YBR009C
AT1G07660	YNL030W
AT1G07660	YBR009C
AT5G59970	YNL030W
AT5G59970	YBR009C
AT2G28740	YNL030W
AT2G28740	YBR009C
AT3G53730	YNL030W
AT3G53730	YBR009C
AT5G59690	YNL030W
AT5G59690	YBR009C
AT1G51060	YDR225W
AT1G51060	YBL003C
AT3G20670	YDR225W
AT3G20670	YBL003C
AT5G54640	YDR225W
AT5G54640	YBL003C
AT4G27230	YDR225W
AT4G27230	YBL003C
AT5G59870	YDR225W
AT5G59870	YBL003C
AT4G33090	YKL157W
AT4G33090	YHR047C
AT5G52260	YKR099W
AT2G25880	YPL209C
AT4G32830	YPL209C
AT2G45490	YPL209C
AT1G45160	YDR466W
AT3G52280	YLR399C
AT3G52280	YDL070W
AT2G34900	YLR399C
AT2G34900	YDL070W
AT5G46550	YLR399C
AT5G46550	YDL070W
AT1G12200	YHR176W
AT1G63340	YHR176W
AT1G62580	YHR176W
AT1G62570	YHR176W
AT1G62560	YHR176W
AT1G65860	YHR176W
AT1G62540	YHR176W
AT1G12140	YHR176W
AT1G12160	YHR176W
AT1G12130	YHR176W
AT1G63370	YHR176W
AT1G62620	YHR176W
AT1G63390	YHR176W
AT1G62600	YHR176W
AT5G07800	YHR176W
AT5G61290	YHR176W
AT5G58140	YNR047W
AT5G58140	YGR092W
AT5G58140	YPR111W
AT3G45780	YNR047W
AT3G45780	YGR092W
AT3G45780	YPR111W
AT3G12690	YNR047W
AT3G12690	YGR092W
AT3G12690	YPR111W
AT3G27580	YNR047W
AT3G27580	YGR092W
AT3G27580	YPR111W
AT3G08730	YBR028C
AT2G03670	YLR397C
AT3G01610	YLL034C
AT5G03340	YDL126C
AT3G09840	YDL126C
AT3G53230	YDL126C
AT1G03000	YNL329C
AT5G08470	YKL197C
AT5G53910	YBR062C
AT3G13228	YBR062C
AT1G18760	YBR062C
AT2G29840	YBR062C
AT1G18780	YBR062C
AT1G18770	YBR062C
AT1G21960	YBR062C
AT1G74620	YBR062C
AT1G50350	YBR062C
AT1G79470	YML056C
AT1G79470	YAR073W
AT1G79470	YHR216W
AT1G79470	YLR432W
AT1G79470	YAR075W
AT1G16350	YML056C
AT1G16350	YAR073W
AT1G16350	YHR216W
AT1G16350	YLR432W
AT1G16350	YAR075W
AT2G35390	YOL061W
AT2G35390	YKL181W
AT2G35390	YER099C
AT2G35390	YBL068W
AT2G35390	YHL011C
AT1G32380	YOL061W
AT1G32380	YKL181W
AT1G32380	YER099C
AT1G32380	YBL068W
AT1G32380	YHL011C
AT2G44530	YOL061W
AT2G44530	YKL181W
AT2G44530	YER099C
AT2G44530	YBL068W
AT2G44530	YHL011C
AT1G09140	YDR432W
AT1G02840	YDR432W
AT4G02430	YDR432W
AT3G49430	YDR432W
AT1G22300	YDR099W
AT1G22300	YER177W
AT1G34760	YDR099W
AT1G34760	YER177W
AT2G42590	YDR099W
AT2G42590	YER177W
AT1G26480	YDR099W
AT1G26480	YER177W
AT5G65430	YDR099W
AT5G65430	YER177W
AT5G10450	YDR099W
AT5G10450	YER177W
AT3G02520	YDR099W
AT3G02520	YER177W
AT5G16050	YDR099W
AT5G16050	YER177W
AT5G38480	YDR099W
AT5G38480	YER177W
AT1G78300	YDR099W
AT1G78300	YER177W
AT1G35160	YDR099W
AT1G35160	YER177W
AT4G09000	YDR099W
AT4G09000	YER177W
AT2G22950	YGL006W
AT4G37640	YGL006W
AT1G27770	YGL006W
AT3G57330	YGL006W
AT2G41560	YGL006W
AT3G22910	YGL006W
AT3G63380	YGL006W
AT3G21180	YGL006W
AT5G57110	YGL006W
AT4G29900	YGL006W
AT3G48000	YMR169C
AT3G48000	YMR170C
AT3G48000	YOR374W
AT3G48000	YER073W
AT3G48000	YPL061W
AT1G23800	YMR169C
AT1G23800	YMR170C
AT1G23800	YOR374W
AT1G23800	YER073W
AT1G23800	YPL061W
AT3G24503	YMR169C
AT3G24503	YMR170C
AT3G24503	YOR374W
AT3G24503	YER073W
AT3G24503	YPL061W
AT1G32330	YGL073W
AT1G32330	YJR147W
AT1G32330	YOR140W
AT3G02990	YGL073W
AT3G02990	YJR147W
AT3G02990	YOR140W
AT5G16820	YGL073W
AT5G16820	YJR147W
AT5G16820	YOR140W
AT4G17750	YGL073W
AT4G17750	YJR147W
AT4G17750	YOR140W
AT2G26150	YGL073W
AT2G26150	YJR147W
AT2G26150	YOR140W
AT3G51910	YGL073W
AT3G51910	YJR147W
AT3G51910	YOR140W
AT3G63350	YGL073W
AT3G63350	YJR147W
AT3G63350	YOR140W
AT3G22830	YGL073W
AT3G22830	YJR147W
AT3G22830	YOR140W
AT5G43840	YGL073W
AT5G43840	YJR147W
AT5G43840	YOR140W
AT5G03720	YGL073W
AT5G03720	YJR147W
AT5G03720	YOR140W
AT1G67970	YGL073W
AT1G67970	YJR147W
AT1G67970	YOR140W
AT5G45710	YGL073W
AT5G45710	YJR147W
AT5G45710	YOR140W
AT4G18880	YGL073W
AT4G18880	YJR147W
AT4G18880	YOR140W
AT4G13980	YGL073W
AT4G13980	YJR147W
AT4G13980	YOR140W
AT3G24520	YGL073W
AT3G24520	YJR147W
AT3G24520	YOR140W
AT5G54070	YGL073W
AT5G54070	YJR147W
AT5G54070	YOR140W
AT5G62020	YGL073W
AT5G62020	YJR147W
AT5G62020	YOR140W
AT4G36990	YGL073W
AT4G36990	YJR147W
AT4G36990	YOR140W
AT1G46264	YGL073W
AT1G46264	YJR147W
AT1G46264	YOR140W
AT4G11660	YGL073W
AT4G11660	YJR147W
AT4G11660	YOR140W
AT2G41690	YGL073W
AT2G41690	YJR147W
AT2G41690	YOR140W
AT3G60250	YGL019W
AT3G60250	YOR039W
AT2G44680	YGL019W
AT2G44680	YOR039W
AT5G47080	YGL019W
AT5G47080	YOR039W
AT4G17640	YGL019W
AT4G17640	YOR039W
AT1G18070	YDR172W
AT1G07920	YPR080W
AT1G07920	YBR118W
AT1G07930	YPR080W
AT1G07930	YBR118W
AT5G60390	YPR080W
AT5G60390	YBR118W
AT1G07940	YPR080W
AT1G07940	YBR118W
AT1G47210	YDL155W
AT1G47210	YLR210W
AT1G47210	YPR120C
AT1G47210	YGR109C
AT1G47210	YGR108W
AT1G47210	YPR119W
AT1G47230	YDL155W
AT1G47230	YLR210W
AT1G47230	YPR120C
AT1G47230	YGR109C
AT1G47230	YGR108W
AT1G47230	YPR119W
AT5G43080	YDL155W
AT5G43080	YLR210W
AT5G43080	YPR120C
AT5G43080	YGR109C
AT5G43080	YGR108W
AT5G43080	YPR119W
AT1G47220	YDL155W
AT1G47220	YLR210W
AT1G47220	YPR120C
AT1G47220	YGR109C
AT1G47220	YGR108W
AT1G47220	YPR119W
AT1G15570	YDL155W
AT1G15570	YLR210W
AT1G15570	YPR120C
AT1G15570	YGR109C
AT1G15570	YGR108W
AT1G15570	YPR119W
AT1G80370	YDL155W
AT1G80370	YLR210W
AT1G80370	YPR120C
AT1G80370	YGR109C
AT1G80370	YGR108W
AT1G80370	YPR119W
AT5G11300	YDL155W
AT5G11300	YLR210W
AT5G11300	YPR120C
AT5G11300	YGR109C
AT5G11300	YGR108W
AT5G11300	YPR119W
AT5G25380	YDL155W
AT5G25380	YLR210W
AT5G25380	YPR120C
AT5G25380	YGR109C
AT5G25380	YGR108W
AT5G25380	YPR119W
AT1G77390	YDL155W
AT1G77390	YLR210W
AT1G77390	YPR120C
AT1G77390	YGR109C
AT1G77390	YGR108W
AT1G77390	YPR119W
AT1G44110	YDL155W
AT1G44110	YLR210W
AT1G44110	YPR120C
AT1G44110	YGR109C
AT1G44110	YGR108W
AT1G44110	YPR119W
AT3G21650	YOR014W
AT4G15415	YOR014W
AT1G13460	YOR014W
AT3G26030	YOR014W
AT3G54930	YOR014W
AT5G03470	YOR014W
AT3G09880	YOR014W
AT5G25510	YOR014W
AT4G11240	YER133W
AT1G64040	YER133W
AT5G27840	YER133W
AT3G05580	YER133W
AT5G59160	YER133W
AT3G46820	YER133W
AT2G29400	YER133W
AT2G39840	YER133W
AT5G43380	YER133W
AT5G63870	YNL217W
AT5G10900	YNL217W
AT5G49890	YJR040W
AT5G33280	YJR040W
AT5G40890	YJR040W
AT3G27170	YJR040W
AT5G26240	YJR040W
AT4G29210	YLR299W
AT4G39650	YLR299W
AT4G39640	YLR299W
AT1G69820	YLR299W
AT4G34460	YOR212W
AT1G09020	YGL115W
AT5G45970	YLR229C
AT1G75840	YLR229C
AT1G20090	YLR229C
AT4G35020	YLR229C
AT2G17800	YLR229C
AT4G35950	YLR229C
AT3G51300	YLR229C
AT3G48040	YLR229C
AT5G62880	YLR229C
AT4G28950	YLR229C
AT2G44690	YLR229C
AT4G09150	YDR006C
AT1G22930	YDR006C
AT3G27440	YHR128W
AT4G26510	YHR128W
AT1G55810	YHR128W
AT5G40870	YHR128W
AT3G27190	YHR128W
AT2G15790	YLR216C
AT5G58710	YHR057C
AT5G58710	YDR304C
AT2G29960	YHR057C
AT2G29960	YDR304C
AT3G55920	YHR057C
AT3G55920	YDR304C
AT4G34960	YHR057C
AT4G34960	YDR304C
AT5G13120	YHR057C
AT5G13120	YDR304C
AT3G62030	YHR057C
AT3G62030	YDR304C
AT4G19800	YDR371W
AT4G19770	YDR371W
AT4G19810	YDR371W
AT4G19820	YDR371W
AT4G19750	YDR371W
AT4G19760	YDR371W
AT4G19730	YDR371W
AT4G19720	YDR371W
AT4G19740	YDR371W
AT1G11910	YIL015W
AT1G11910	YPL154C
AT1G62290	YIL015W
AT1G62290	YPL154C
AT4G04460	YIL015W
AT4G04460	YPL154C
AT3G24170	YPL091W
AT3G54660	YPL091W
AT5G43940	YDL168W
AT1G77120	YDL168W
AT5G24760	YDL168W
AT1G64710	YDL168W
AT1G32780	YDL168W
AT1G22430	YDL168W
AT4G22110	YDL168W
AT1G22440	YDL168W
AT5G42250	YDL168W
AT2G20190	YBL034C
AT3G17609	YNL167C
AT5G11260	YNL167C
AT1G71440	YER007W
AT3G51390	YDR126W
AT5G05070	YLR246W
AT3G56920	YLR246W
AT2G40990	YLR246W
AT3G56930	YLR246W
AT3G26935	YLR246W
AT5G41060	YLR246W
AT3G48760	YLR246W
AT5G50020	YLR246W
AT4G24630	YLR246W
AT1G10680	YKL209C
AT4G25960	YKL209C
AT1G28010	YKL209C
AT1G27940	YKL209C
AT3G28860	YKL209C
AT2G36910	YKL209C
AT3G55320	YKL209C
AT2G39480	YKL209C
AT3G28415	YKL209C
AT3G28390	YKL209C
AT3G28360	YKL209C
AT3G28380	YKL209C
AT3G28345	YKL209C
AT3G62150	YKL209C
AT2G47000	YKL209C
AT1G02520	YKL209C
AT1G02530	YKL209C
AT4G01830	YKL209C
AT4G01820	YKL209C
AT5G46540	YKL209C
AT4G18050	YKL209C
AT1G08005	YFR040W
AT1G08005	YGL229C
AT1G08005	YKR028W
AT1G08005	YJL098W
AT1G08620	YMR176W
AT4G20400	YMR176W
AT1G30810	YMR176W
AT2G34880	YMR176W
AT5G46910	YMR176W
AT1G63490	YJR119C
AT1G09100	YOR117W
AT3G05530	YOR117W
AT5G43010	YOR259C
AT1G45000	YOR259C
AT2G20140	YDL007W
AT4G29040	YDL007W
AT5G58290	YDR394W
AT2G04940	YJR100C
AT2G16740	YDR059C
AT2G16740	YBR082C
AT5G53300	YDR059C
AT5G53300	YBR082C
AT4G27960	YDR059C
AT4G27960	YBR082C
AT5G41700	YDR059C
AT5G41700	YBR082C
AT3G08690	YDR059C
AT3G08690	YBR082C
AT5G56150	YDR059C
AT5G56150	YBR082C
AT5G25760	YGR133W
AT1G12550	YNL274C
AT1G12550	YPL113C
AT5G28310	YNL274C
AT5G28310	YPL113C
AT2G45630	YNL274C
AT2G45630	YPL113C
AT1G11250	YPL232W
AT1G11250	YMR183C
AT1G61290	YPL232W
AT1G61290	YMR183C
AT4G03330	YPL232W
AT4G03330	YMR183C
AT3G11820	YPL232W
AT3G11820	YMR183C
AT3G52400	YPL232W
AT3G52400	YMR183C
AT5G08080	YPL232W
AT5G08080	YMR183C
AT3G03800	YPL232W
AT3G03800	YMR183C
AT2G18260	YPL232W
AT2G18260	YMR183C
AT1G08560	YPL232W
AT1G08560	YMR183C
AT3G59290	YLR206W
AT3G59290	YDL161W
AT2G43160	YLR206W
AT2G43160	YDL161W
AT5G11710	YLR206W
AT5G11710	YDL161W
AT3G20250	YLL013C
AT4G25880	YLL013C
AT5G39850	YPL081W
AT5G39850	YBR189W
AT5G15200	YPL081W
AT5G15200	YBR189W
AT5G53580	YPL088W
AT1G04420	YPL088W
AT1G04690	YPL088W
AT1G75780	YFL037W
AT1G20010	YFL037W
AT2G29550	YFL037W
AT5G23860	YFL037W
AT5G62700	YFL037W
AT5G62690	YFL037W
AT5G12250	YFL037W
AT4G20890	YFL037W
AT5G44340	YFL037W
AT4G34240	YMR110C
AT1G44170	YMR110C
AT4G36250	YMR110C
AT5G16150	YDR387C
AT5G16150	YBR241C
AT5G16150	YGL104C
AT3G51030	YCR083W
AT3G51030	YGR209C
AT3G51030	YLR043C
AT5G42980	YCR083W
AT5G42980	YGR209C
AT5G42980	YLR043C
AT1G45145	YCR083W
AT1G45145	YGR209C
AT1G45145	YLR043C
AT1G19730	YCR083W
AT1G19730	YGR209C
AT1G19730	YLR043C
AT1G11530	YCR083W
AT1G11530	YGR209C
AT1G11530	YLR043C
AT1G59730	YCR083W
AT1G59730	YGR209C
AT1G59730	YLR043C
AT1G69880	YCR083W
AT1G69880	YGR209C
AT1G69880	YLR043C
AT5G39950	YCR083W
AT5G39950	YGR209C
AT5G39950	YLR043C
AT4G14300	YOL123W
AT2G33410	YOL123W
AT5G47620	YOL123W
AT5G39040	YPL270W
AT5G39040	YLR188W
AT5G58270	YMR301C
AT4G28630	YMR301C
AT4G28620	YMR301C
AT2G26140	YPR024W
AT5G53170	YPR024W
AT1G07510	YER017C
AT1G07510	YMR089C
AT2G29080	YER017C
AT2G29080	YMR089C
AT3G19980	YDL047W
AT1G50370	YDL047W
AT5G55260	YDR075W
AT4G26720	YDR075W
AT3G58500	YDL134C
AT3G58500	YDL188C
AT2G42500	YDL134C
AT2G42500	YDL188C
AT1G59830	YNR032W
AT1G10430	YNR032W
AT1G69960	YNR032W
AT1G51660	YPL140C
AT1G51660	YOR231W
AT1G51660	YJL128C
AT1G51660	YDL159W
AT3G21220	YPL140C
AT3G21220	YOR231W
AT3G21220	YJL128C
AT3G21220	YDL159W
AT3G06230	YPL140C
AT3G06230	YOR231W
AT3G06230	YJL128C
AT3G06230	YDL159W
AT1G73500	YPL140C
AT1G73500	YOR231W
AT1G73500	YJL128C
AT1G73500	YDL159W
AT1G18350	YPL140C
AT1G18350	YOR231W
