CG5589	NCU00919
Ugt86Di	NCU09977
Ugt86Di	NCU09977
Ugt86Da	NCU09977
Ugt86Dc	NCU09977
CG3797	NCU09977
CG3797	NCU09977
Btk29A	NCU00696
Btk29A	NCU00696
Btk29A	NCU00696
Btk29A	NCU00696
Btk29A	NCU00696
Btk29A	NCU00696
Btk29A	NCU00696
Btk29A	NCU00696
Src42A	NCU00696
Src42A	NCU00696
CG7627	NCU04161
CG7627	NCU04161
CG9270	NCU04161
CG31793	NCU04161
MRP	NCU09012
MRP	NCU09012
MRP	NCU09012
MRP	NCU09012
MRP	NCU09012
MRP	NCU09012
MRP	NCU09012
MRP	NCU09012
MRP	NCU09012
MRP	NCU09012
MRP	NCU09012
MRP	NCU09012
MRP	NCU09012
MRP	NCU09012
MRP	NCU09012
MRP	NCU09012
MRP	NCU09012
MRP	NCU09012
CG7806	NCU06382
CG7806	NCU07276
CG7806	NCU08358
CG7806	NCU09820
CG7806	NCU03591
Drip	NCU08052
Drip	NCU08052
Drip	NCU08052
Drip	NCU08052
Drip	NCU08052
Drip	NCU08052
Drip	NCU08052
Prip	NCU08052
Prip	NCU08052
Prip	NCU08052
Prip	NCU08052
Eglp3	NCU08052
Cdc2rk	NCU07880
Pitslre	NCU07880
Pitslre	NCU07880
Pitslre	NCU07880
Pitslre	NCU07880
Pitslre	NCU07880
Cdk2	NCU09778
Cdk2	NCU09778
Cdk2	NCU09778
AnxB11	NCU02139
AnxB11	NCU04421
AnxB11	NCU02139
AnxB11	NCU04421
AnxB11	NCU02139
AnxB11	NCU04421
AnxB11	NCU02139
AnxB11	NCU04421
AnxB11	NCU02139
AnxB11	NCU04421
AnxB11	NCU02139
AnxB11	NCU04421
AnxB11	NCU02139
AnxB11	NCU04421
AnxB9	NCU02139
AnxB9	NCU04421
AnxB9	NCU02139
AnxB9	NCU04421
AnxB9	NCU02139
AnxB9	NCU04421
AnxB9	NCU02139
AnxB9	NCU04421
AnxB9	NCU02139
AnxB9	NCU04421
AnxB9	NCU02139
AnxB9	NCU04421
AnxB10	NCU02139
AnxB10	NCU04421
AnxB10	NCU02139
AnxB10	NCU04421
Mef2	NCU02558
Mef2	NCU02558
Mef2	NCU02558
Mef2	NCU02558
Mef2	NCU02558
Mef2	NCU02558
Mef2	NCU02558
CG4901	NCU06735
CG4901	NCU06735
CG4901	NCU06735
CG3225	NCU06735
l(1)G0007	NCU02728
l(1)G0007	NCU02728
Dhx15	NCU01612
Dhx15	NCU01612
pea	NCU06318
l(2)37Cb	NCU08928
CG6083	NCU04923
CG6083	NCU01906
CG6083	NCU04510
CG6083	NCU08384
CG6084	NCU04923
CG6084	NCU01906
CG6084	NCU04510
CG6084	NCU08384
CG6084	NCU04923
CG6084	NCU01906
CG6084	NCU04510
CG6084	NCU08384
CG6084	NCU04923
CG6084	NCU01906
CG6084	NCU04510
CG6084	NCU08384
CG6084	NCU04923
CG6084	NCU01906
CG6084	NCU04510
CG6084	NCU08384
CG10638	NCU04923
CG10638	NCU01906
CG10638	NCU04510
CG10638	NCU08384
CG9436	NCU04923
CG9436	NCU01906
CG9436	NCU04510
CG9436	NCU08384
CG10863	NCU04923
CG10863	NCU01906
CG10863	NCU04510
CG10863	NCU08384
CG12766	NCU04923
CG12766	NCU01906
CG12766	NCU04510
CG12766	NCU08384
CG2767	NCU04923
CG2767	NCU01906
CG2767	NCU04510
CG2767	NCU08384
CG17760	NCU05206
CG30054	NCU05206
CG30054	NCU05206
Galphaq	NCU05206
Galphaq	NCU05206
Galphaq	NCU05206
Galphaq	NCU05206
Galphaq	NCU05206
Galphaq	NCU05206
Galphaq	NCU05206
Galphai	NCU06729
Galphai	NCU06493
Galphao	NCU06729
Galphao	NCU06493
Galphao	NCU06729
Galphao	NCU06493
Galphao	NCU06729
Galphao	NCU06493
Galphao	NCU06729
Galphao	NCU06493
Galphao	NCU06729
Galphao	NCU06493
Galphao	NCU06729
Galphao	NCU06493
Galphao	NCU06729
Galphao	NCU06493
Galphao	NCU06729
Galphao	NCU06493
Galphao	NCU06729
Galphao	NCU06493
Rap2l	NCU02167
Rap1	NCU02167
Rap1	NCU02167
Rap1	NCU02167
Ras85D	NCU08823
Ras64B	NCU08823
p38a	NCU07024
p38a	NCU07024
p38a	NCU07024
p38b	NCU07024
rl	NCU02393
rl	NCU02393
rl	NCU02393
rl	NCU02393
rl	NCU02393
rl	NCU02393
Pfrx	NCU01728
Pfrx	NCU09347
Pfrx	NCU01728
Pfrx	NCU09347
Pfrx	NCU01728
Pfrx	NCU09347
Pfrx	NCU01728
Pfrx	NCU09347
Pfrx	NCU01728
Pfrx	NCU09347
Pfrx	NCU01728
Pfrx	NCU09347
Pfrx	NCU01728
Pfrx	NCU09347
Pfrx	NCU01728
Pfrx	NCU09347
Pfrx	NCU01728
Pfrx	NCU09347
Pfrx	NCU01728
Pfrx	NCU09347
Pfrx	NCU01728
Pfrx	NCU09347
Pfrx	NCU01728
Pfrx	NCU09347
Pfrx	NCU01728
Pfrx	NCU09347
mub	NCU06251
mub	NCU09237
mub	NCU06251
mub	NCU09237
mub	NCU06251
mub	NCU09237
mub	NCU06251
mub	NCU09237
mub	NCU06251
mub	NCU09237
mub	NCU06251
mub	NCU09237
mub	NCU06251
mub	NCU09237
mub	NCU06251
mub	NCU09237
mub	NCU06251
mub	NCU09237
mub	NCU06251
mub	NCU09237
mub	NCU06251
mub	NCU09237
mub	NCU06251
mub	NCU09237
dnc	NCU00478
dnc	NCU00478
dnc	NCU00478
dnc	NCU00478
dnc	NCU00478
dnc	NCU00478
dnc	NCU00478
dnc	NCU00478
dnc	NCU00478
dnc	NCU00478
dnc	NCU00478
dnc	NCU00478
dnc	NCU00478
dnc	NCU00478
dnc	NCU00478
dnc	NCU00478
dnc	NCU00478
His4r	NCU01634
His4r	NCU00212
His4r	NCU04338
His4r	NCU01634
His4r	NCU00212
His4r	NCU04338
His4:CG33883	NCU01634
His4:CG33883	NCU00212
His4:CG33883	NCU04338
His4:CG31611	NCU01634
His4:CG31611	NCU00212
His4:CG31611	NCU04338
His4:CG33893	NCU01634
His4:CG33893	NCU00212
His4:CG33893	NCU04338
His4:CG33907	NCU01634
His4:CG33907	NCU00212
His4:CG33907	NCU04338
His4:CG33905	NCU01634
His4:CG33905	NCU00212
His4:CG33905	NCU04338
His4:CG33909	NCU01634
His4:CG33909	NCU00212
His4:CG33909	NCU04338
His4:CG33889	NCU01634
His4:CG33889	NCU00212
His4:CG33889	NCU04338
His4:CG33891	NCU01634
His4:CG33891	NCU00212
His4:CG33891	NCU04338
His4:CG33885	NCU01634
His4:CG33885	NCU00212
His4:CG33885	NCU04338
His4:CG33887	NCU01634
His4:CG33887	NCU00212
His4:CG33887	NCU04338
His4r	NCU01634
His4r	NCU00212
His4r	NCU04338
His4:CG33871	NCU01634
His4:CG33871	NCU00212
His4:CG33871	NCU04338
His4:CG33873	NCU01634
His4:CG33873	NCU00212
His4:CG33873	NCU04338
His4:CG33875	NCU01634
His4:CG33875	NCU00212
His4:CG33875	NCU04338
His4:CG33903	NCU01634
His4:CG33903	NCU00212
His4:CG33903	NCU04338
His4:CG33899	NCU01634
His4:CG33899	NCU00212
His4:CG33899	NCU04338
His4:CG33901	NCU01634
His4:CG33901	NCU00212
His4:CG33901	NCU04338
His4:CG33895	NCU01634
His4:CG33895	NCU00212
His4:CG33895	NCU04338
His4:CG33897	NCU01634
His4:CG33897	NCU00212
His4:CG33897	NCU04338
His4r	NCU01634
His4r	NCU00212
His4r	NCU04338
His4:CG33879	NCU01634
His4:CG33879	NCU00212
His4:CG33879	NCU04338
His4:CG33877	NCU01634
His4:CG33877	NCU00212
His4:CG33877	NCU04338
His4:CG33881	NCU01634
His4:CG33881	NCU00212
His4:CG33881	NCU04338
His4:CG33869	NCU01634
His4:CG33869	NCU00212
His4:CG33869	NCU04338
His2A:CG33859	NCU02437
His2A:CG33856	NCU02437
His2A:CG33853	NCU02437
His2A:CG33838	NCU02437
His2A:CG33841	NCU02437
His2A:CG33850	NCU02437
His2A:CG33844	NCU02437
His2A:CG33847	NCU02437
His2A:CG33820	NCU02437
His2A:CG33817	NCU02437
His2A:CG33814	NCU02437
His2A:CG31618	NCU02437
His2A:CG33862	NCU02437
His2A:CG33808	NCU02437
His2A:CG33826	NCU02437
His2A:CG33823	NCU02437
His2A:CG33829	NCU02437
His2A:CG33832	NCU02437
His2A:CG33865	NCU02437
His2A:CG33835	NCU02437
CG3502	NCU02319
CG3502	NCU09228
CG11951	NCU02319
CG11951	NCU09228
SP1029	NCU02319
SP1029	NCU09228
SP1029	NCU02319
SP1029	NCU09228
SP1029	NCU02319
SP1029	NCU09228
SP1029	NCU02319
SP1029	NCU09228
SP1029	NCU02319
SP1029	NCU09228
CG31445	NCU02319
CG31445	NCU09228
CG31445	NCU02319
CG31445	NCU09228
CG14516	NCU02319
CG14516	NCU09228
CG14516	NCU02319
CG14516	NCU09228
CG14516	NCU02319
CG14516	NCU09228
CG31198	NCU02319
CG31198	NCU09228
CG8774	NCU02319
CG8774	NCU09228
CG8774	NCU02319
CG8774	NCU09228
CG8773	NCU02319
CG8773	NCU09228
CG32473	NCU02319
CG32473	NCU09228
CG32473	NCU02319
CG32473	NCU09228
CG32473	NCU02319
CG32473	NCU09228
Psa	NCU02319
Psa	NCU09228
Psa	NCU02319
Psa	NCU09228
Psa	NCU02319
Psa	NCU09228
Psa	NCU02319
Psa	NCU09228
Psa	NCU02319
Psa	NCU09228
Psa	NCU02319
Psa	NCU09228
Psa	NCU02319
Psa	NCU09228
Psa	NCU02319
Psa	NCU09228
Myb	NCU01312
Myb	NCU01312
Myb	NCU01312
Myb	NCU01312
aurA	NCU00108
aurB	NCU00108
Sik2	NCU02885
KP78a	NCU02885
par-1	NCU02885
par-1	NCU02885
par-1	NCU02885
par-1	NCU02885
par-1	NCU02885
par-1	NCU02885
fs(1)h	NCU08423
fs(1)h	NCU08423
fs(1)h	NCU08423
fs(1)h	NCU08423
fs(1)h	NCU08423
fs(1)h	NCU08423
fs(1)h	NCU08423
fs(1)h	NCU08423
fs(1)h	NCU08423
tbrd-3	NCU08809
Pka-R1	NCU01166
Pka-R1	NCU01166
Pka-R1	NCU01166
Pka-R1	NCU01166
Pka-R1	NCU01166
Pka-R1	NCU01166
Pka-R1	NCU01166
Pka-R1	NCU01166
Pka-R1	NCU01166
Pka-R1	NCU01166
Pka-R1	NCU01166
Pka-R1	NCU01166
Pka-R1	NCU01166
Pka-R1	NCU01166
Pka-R1	NCU01166
Pka-R1	NCU01166
Pka-R1	NCU01166
Pka-R1	NCU01166
Frq1	NCU02115
Frq1	NCU02115
Frq1	NCU02115
Frq1	NCU02115
Frq2	NCU02115
Frq2	NCU02115
Frq2	NCU02115
Frq2	NCU02115
CG44422	NCU02115
CG44422	NCU02115
CG44422	NCU02115
CG44422	NCU02115
CG44422	NCU02115
CG44422	NCU02115
Nca	NCU04379
Sep4	NCU08297
Sep4	NCU08297
Sep4	NCU08297
Sep4	NCU08297
Sep4	NCU08297
Sep4	NCU08297
Sep4	NCU08297
Sep1	NCU08297
pnut	NCU08297
pnut	NCU08297
Fmo-2	NCU09456
Fmo-2	NCU07821
Fmo-2	NCU03755
Fmo-1	NCU09456
Fmo-1	NCU07821
Fmo-1	NCU03755
CG7461	NCU10016
CG7461	NCU10016
CG9547	NCU02291
CG4860	NCU06543
Arc42	NCU06543
CG3902	NCU06543
CG6638	NCU02126
JIL-1	NCU03197
JIL-1	NCU03197
JIL-1	NCU03197
S6kII	NCU03197
S6kII	NCU03197
CG9413	NCU03815
CG9413	NCU03815
CG9413	NCU03815
CG9413	NCU03815
gb	NCU03815
gb	NCU03815
gb	NCU03815
mnd	NCU03815
mnd	NCU03815
mnd	NCU03815
CG1607	NCU03815
CG1607	NCU03815
CG1607	NCU03815
CG1607	NCU03815
JhI-21	NCU03815
JhI-21	NCU03815
JhI-21	NCU03815
JhI-21	NCU03815
JhI-21	NCU03815
smid	NCU01809
smid	NCU01809
smid	NCU01809
smid	NCU01809
smid	NCU01809
TER94	NCU00018
TER94	NCU00018
TER94	NCU00018
TER94	NCU00018
Pex6	NCU08373
Pex6	NCU08373
Pex1	NCU08118
CG11982	NCU07060
CG7694	NCU05314
CG7694	NCU06815
CG7694	NCU05314
CG7694	NCU06815
CG7694	NCU05314
CG7694	NCU06815
ras	NCU03117
ras	NCU03117
ras	NCU03117
ras	NCU03117
CG2246	NCU01786
CG2246	NCU01270
CG2246	NCU05254
CG2246	NCU01786
CG2246	NCU01270
CG2246	NCU05254
CG2246	NCU01786
CG2246	NCU01270
CG2246	NCU05254
CG2246	NCU01786
CG2246	NCU01270
CG2246	NCU05254
CG2246	NCU01786
CG2246	NCU01270
CG2246	NCU05254
CG2246	NCU01786
CG2246	NCU01270
CG2246	NCU05254
CG2246	NCU01786
CG2246	NCU01270
CG2246	NCU05254
CG2246	NCU01786
CG2246	NCU01270
CG2246	NCU05254
CG2246	NCU01786
CG2246	NCU01270
CG2246	NCU05254
CG2246	NCU01786
CG2246	NCU01270
CG2246	NCU05254
CG2246	NCU01786
CG2246	NCU01270
CG2246	NCU05254
CG2246	NCU01786
CG2246	NCU01270
CG2246	NCU05254
CG2246	NCU01786
CG2246	NCU01270
CG2246	NCU05254
CG2246	NCU01786
CG2246	NCU01270
CG2246	NCU05254
CG2246	NCU01786
CG2246	NCU01270
CG2246	NCU05254
CG2246	NCU01786
CG2246	NCU01270
CG2246	NCU05254
CG6767	NCU06970
CG6767	NCU06970
CG6767	NCU06970
CG6767	NCU06970
CG6767	NCU06970
CG6767	NCU06970
CG6767	NCU06970
CG6767	NCU06970
CG6767	NCU06970
lap	NCU02586
lap	NCU02586
lap	NCU02586
lap	NCU02586
lap	NCU02586
lap	NCU02586
lap	NCU02586
lap	NCU02586
lap	NCU02586
B52	NCU07069
B52	NCU07069
B52	NCU07069
B52	NCU07069
B52	NCU07069
B52	NCU07069
B52	NCU07069
B52	NCU07069
B52	NCU07069
B52	NCU07069
fu12	NCU00168
fu12	NCU00168
fu12	NCU00168
fu12	NCU00168
CG3812	NCU00168
CG3812	NCU00168
CG3812	NCU00168
14-3-3epsilon	NCU02806
14-3-3epsilon	NCU03300
14-3-3epsilon	NCU02806
14-3-3epsilon	NCU03300
14-3-3epsilon	NCU02806
14-3-3epsilon	NCU03300
14-3-3epsilon	NCU02806
14-3-3epsilon	NCU03300
14-3-3zeta	NCU02806
14-3-3zeta	NCU03300
14-3-3zeta	NCU02806
14-3-3zeta	NCU03300
14-3-3zeta	NCU02806
14-3-3zeta	NCU03300
14-3-3zeta	NCU02806
14-3-3zeta	NCU03300
14-3-3zeta	NCU02806
14-3-3zeta	NCU03300
14-3-3zeta	NCU02806
14-3-3zeta	NCU03300
14-3-3zeta	NCU02806
14-3-3zeta	NCU03300
14-3-3zeta	NCU02806
14-3-3zeta	NCU03300
14-3-3zeta	NCU02806
14-3-3zeta	NCU03300
14-3-3zeta	NCU02806
14-3-3zeta	NCU03300
14-3-3zeta	NCU02806
14-3-3zeta	NCU03300
14-3-3zeta	NCU02806
14-3-3zeta	NCU03300
PMCA	NCU05154
PMCA	NCU04736
PMCA	NCU05154
PMCA	NCU04736
PMCA	NCU05154
PMCA	NCU04736
PMCA	NCU05154
PMCA	NCU04736
PMCA	NCU05154
PMCA	NCU04736
PMCA	NCU05154
PMCA	NCU04736
PMCA	NCU05154
PMCA	NCU04736
PMCA	NCU05154
PMCA	NCU04736
PMCA	NCU05154
PMCA	NCU04736
PMCA	NCU05154
PMCA	NCU04736
PMCA	NCU05154
PMCA	NCU04736
CG8665	NCU00378
CG8665	NCU03415
Aldh	NCU00378
Aldh	NCU03415
Aldh	NCU00378
Aldh	NCU03415
CG31075	NCU00378
