Ddx52	NCU00919
Eif4a2	NCU07420
Eif4a2	NCU07420
Eif4a2	NCU07420
Eif4a1	NCU07420
Ddx19b	NCU01160
Ddx19b	NCU01160
Ddx19a	NCU01160
Ddx25	NCU01160
Csnk1g3	NCU04005
Csnk1g2	NCU04005
Csnk1g2	NCU04005
Csnk1g1	NCU04005
Csnk1g1	NCU04005
Csnk1g1	NCU04005
Csnk1g1	NCU04005
Csnk1g1	NCU04005
Csnk1g1	NCU04005
Csnk1g1	NCU04005
Csnk1e	NCU00685
Csnk1e	NCU00685
Csnk1d	NCU00685
Csnk1d	NCU00685
Csnk1e	NCU00685
Csnk1d	NCU00685
Csnk1e	NCU00685
Csnk1a1	NCU00685
Csnk1a1	NCU00685
Csnk1a1	NCU00685
Csnk1a1	NCU00685
Csnk1a1	NCU00685
Csnk1a1	NCU00685
Csnk1a1	NCU00685
Rps6kb2	NCU07280
Rps6kb2	NCU07280
Rps6kb1	NCU07280
Sgk1	NCU07280
Sgk1	NCU07280
Sgk3	NCU07280
Sgk3	NCU07280
Sgk3	NCU07280
Sgk3	NCU07280
Sgk2	NCU07280
Sgk2	NCU07280
Sgk1	NCU07280
Sgk1	NCU07280
Sgk1	NCU07280
Sgk1	NCU07280
Sgk1	NCU07280
Sgk1	NCU07280
Akt2	NCU07280
Akt1	NCU07280
Akt1	NCU07280
Akt2	NCU07280
Akt2	NCU07280
Akt2	NCU07280
Akt2	NCU07280
Akt2	NCU07280
Akt1	NCU07280
Akt1	NCU07280
Akt3	NCU07280
Akt3	NCU07280
Akt3	NCU07280
Akt2	NCU07280
Akt2	NCU07280
Rdh12	NCU09735
Rdh12	NCU08164
Rdh12	NCU09278
Rdh12	NCU09579
Rdh11	NCU09735
Rdh11	NCU08164
Rdh11	NCU09278
Rdh11	NCU09579
Rdh11	NCU09735
Rdh11	NCU08164
Rdh11	NCU09278
Rdh11	NCU09579
Rdh12	NCU09735
Rdh12	NCU08164
Rdh12	NCU09278
Rdh12	NCU09579
Rdh12	NCU09735
Rdh12	NCU08164
Rdh12	NCU09278
Rdh12	NCU09579
Rdh13	NCU09735
Rdh13	NCU08164
Rdh13	NCU09278
Rdh13	NCU09579
Rdh13	NCU09735
Rdh13	NCU08164
Rdh13	NCU09278
Rdh13	NCU09579
Rdh13	NCU09735
Rdh13	NCU08164
Rdh13	NCU09278
Rdh13	NCU09579
Dhrs13	NCU09735
Dhrs13	NCU08164
Dhrs13	NCU09278
Dhrs13	NCU09579
Dhrs13	NCU09735
Dhrs13	NCU08164
Dhrs13	NCU09278
Dhrs13	NCU09579
Rdh14	NCU09735
Rdh14	NCU08164
Rdh14	NCU09278
Rdh14	NCU09579
Wwox	NCU09735
Wwox	NCU08164
Wwox	NCU09278
Wwox	NCU09579
Wwox	NCU09735
Wwox	NCU08164
Wwox	NCU09278
Wwox	NCU09579
Wwox	NCU09735
Wwox	NCU08164
Wwox	NCU09278
Wwox	NCU09579
CAAA01118383.1	NCU08699
CAAA01118383.1	NCU01107
Hspa9	NCU08693
Hspa5	NCU03982
Hspa5	NCU03982
Hspa2	NCU09602
Hspa2	NCU09602
Hspa8	NCU09602
Hspa8	NCU09602
Hspa1l	NCU09602
Hspa1a	NCU09602
Hspa1b	NCU09602
Abcg2	NCU02544
Abcg2	NCU02544
Abcg2	NCU02544
Abcg2	NCU02544
Abcg4	NCU00290
Abcg4	NCU00290
Abcg1	NCU00290
Atp11b	NCU00352
Atp11a	NCU00352
Atp11a	NCU00352
Atp11c	NCU00352
Atp11c	NCU00352
Atp11c	NCU00352
Atp11c	NCU00352
Atp8a1	NCU00352
Atp8a1	NCU00352
Atp8a1	NCU00352
Atp8a2	NCU00352
Atp10a	NCU07443
Atp10b	NCU07443
Atp10d	NCU07443
Atp10d	NCU07443
Hist1h3g	NCU01635
Hist1h3a	NCU01635
Hist1h3h	NCU01635
Hist1h3i	NCU01635
Hist2h3c1	NCU01635
Hist1h3b	NCU01635
Hist2h3c1	NCU01635
Hist2h3c2	NCU01635
Hist1h3c	NCU01635
Hist1h3e	NCU01635
Hist2h3b	NCU01635
Hist1h3d	NCU01635
Hist1h3f	NCU01635
H3f3b	NCU01635
H3f3b	NCU01635
H3f3a	NCU01635
H3f3a	NCU01635
H3f3a	NCU01635
H3f3a	NCU01635
Hecw2	NCU03947
Hecw2	NCU03947
Hecw1	NCU03947
Hecw1	NCU03947
Smurf1	NCU03947
Smurf1	NCU03947
Smurf1	NCU03947
Smurf2	NCU03947
Smurf2	NCU03947
Smurf2	NCU03947
Wwp2	NCU03947
Wwp2	NCU03947
Wwp2	NCU03947
Wwp1	NCU03947
Wwp1	NCU03947
Itch	NCU03947
Itch	NCU03947
Nedd4l	NCU03947
Nedd4l	NCU03947
Nedd4l	NCU03947
Nedd4l	NCU03947
Nedd4	NCU03947
Hist3h2ba	NCU02435
Hist1h2ba	NCU02435
Hist2h2bb	NCU02435
Hist1h2bp	NCU02435
Hist1h2bp	NCU02435
Hist1h2bm	NCU02435
Hist1h2bc	NCU02435
Hist1h2be	NCU02435
Hist1h2br	NCU02435
Hist1h2bq	NCU02435
Hist1h2bb	NCU02435
Hist1h2bj	NCU02435
Hist1h2bl	NCU02435
Hist1h2bq	NCU02435
Hist1h2bn	NCU02435
Hist1h2bf	NCU02435
Hist1h2br	NCU02435
Hist1h2bq	NCU02435
Hist1h2br	NCU02435
Hist2h2be	NCU02435
Hist1h2bk	NCU02435
Hist1h2bh	NCU02435
Hist1h2be	NCU02435
Hist1h2bg	NCU02435
Acsl4	NCU03929
Acsl4	NCU04380
Acsl4	NCU03929
Acsl4	NCU04380
Acsl4	NCU03929
Acsl4	NCU04380
Acsl4	NCU03929
Acsl4	NCU04380
Acsl3	NCU03929
Acsl3	NCU04380
Acsl3	NCU03929
Acsl3	NCU04380
Acsl3	NCU03929
Acsl3	NCU04380
Acsl5	NCU01654
Acsl6	NCU01654
Acsl6	NCU01654
Acsl6	NCU01654
Acsl6	NCU01654
Acsl6	NCU01654
Acsl6	NCU01654
Acsl6	NCU01654
Acsl6	NCU01654
Acsl6	NCU01654
Acsl6	NCU01654
Acsl6	NCU01654
Acsl1	NCU01654
Acsl1	NCU01654
Acsl1	NCU01654
Arf4	NCU08340
Arf4	NCU08340
Arf4	NCU08340
Arf4	NCU08340
Arf5	NCU08340
Arf5	NCU08340
Arf2	NCU08340
Arf2	NCU08340
Arf3	NCU08340
Arf1	NCU08340
Arf1	NCU08340
Arl1	NCU08989
Arl1	NCU08989
Arl2	NCU00218
Actl7a	NCU04247
Actl7b	NCU04247
Actl9	NCU04247
Actrt2	NCU04247
Actrt3	NCU04247
Actr1b	NCU04247
Actr1a	NCU04247
Actbl2	NCU04173
Actb	NCU04173
Actg1	NCU04173
Actg1	NCU04173
Actg2	NCU04173
Actb	NCU04173
Actb	NCU04173
Acta1	NCU04173
Actg2	NCU04173
Acta2	NCU04173
Acta1	NCU04173
Actc1	NCU04173
Actg2	NCU04173
Actg2	NCU04173
Ugt1a7c	NCU09977
Ugt1a10	NCU09977
Ugt1a10	NCU09977
Ugt1a6a	NCU09977
Ugt1a5	NCU09977
Ugt1a1	NCU09977
Ugt1a6b	NCU09977
Ugt1a6b	NCU09977
Ugt1a6a	NCU09977
Ugt1a6a	NCU09977
Ugt1a7c	NCU09977
Ugt1a7c	NCU09977
Ugt1a8	NCU09977
Ugt1a9	NCU09977
Ugt1a10	NCU09977
Ugt2a3	NCU09977
Ugt2a2	NCU09977
Ugt2b1	NCU09977
Ugt2b5	NCU09977
Ugt2b38	NCU09977
Ugt2b37	NCU09977
Ugt2b36	NCU09977
Ugt2b36	NCU09977
Ugt2b36	NCU09977
Ugt2b35	NCU09977
Ugt2a2	NCU09977
Ugt1a7c	NCU09977
Yes1	NCU00696
Fyn	NCU00696
Fyn	NCU00696
Fyn	NCU00696
Fyn	NCU00696
Fyn	NCU00696
Tec	NCU00696
Txk	NCU00696
Txk	NCU00696
Txk	NCU00696
Txk	NCU00696
Frk	NCU00696
Frk	NCU00696
Yes1	NCU00696
Yes1	NCU00696
Yes1	NCU00696
Lck	NCU00696
Hck	NCU00696
Hck	NCU00696
Hck	NCU00696
Hck	NCU00696
Src	NCU00696
Src	NCU00696
Src	NCU00696
Src	NCU00696
Src	NCU00696
Fgr	NCU00696
Fgr	NCU00696
Fyn	NCU00696
Abcc12	NCU04161
Abcc12	NCU04161
Abcc5	NCU04161
Abcc5	NCU04161
Abcc4	NCU04161
Abcc4	NCU04161
Abcc2	NCU09012
Abcc3	NCU09012
Abcc3	NCU09012
Abcc6	NCU09012
Abcc1	NCU09012
Abcc10	NCU06382
Abcc10	NCU07276
Abcc10	NCU08358
Abcc10	NCU09820
Abcc10	NCU03591
Abcc10	NCU06382
Abcc10	NCU07276
Abcc10	NCU08358
Abcc10	NCU09820
Abcc10	NCU03591
Abcc10	NCU06382
Abcc10	NCU07276
Abcc10	NCU08358
Abcc10	NCU09820
Abcc10	NCU03591
Abcc10	NCU06382
Abcc10	NCU07276
Abcc10	NCU08358
Abcc10	NCU09820
Abcc10	NCU03591
Mip	NCU08052
Aqp5	NCU08052
Aqp5	NCU08052
Aqp5	NCU08052
Aqp6	NCU08052
Aqp6	NCU08052
Aqp5	NCU08052
Aqp2	NCU08052
Aqp4	NCU08052
Aqp4	NCU08052
Aqp4	NCU08052
Aqp4	NCU08052
Aqp4	NCU08052
Aqp4	NCU08052
Aqp4	NCU08052
Aqp4	NCU08052
Aqp1	NCU08052
Cdk10	NCU07880
Cdk10	NCU07880
Cdk11b	NCU07880
Cdk11b	NCU07880
Cdk11b	NCU07880
Cdk20	NCU06685
Cdk20	NCU06685
Cdk18	NCU06685
Cdk5	NCU07580
Cdk17	NCU07580
Cdk16	NCU07580
Cdk16	NCU07580
Cdk18	NCU07580
Cdk18	NCU07580
Cdk2	NCU09778
Cdk2	NCU09778
Cdk3	NCU09778
Anxa7	NCU02139
Anxa3	NCU04421
Cirbp	NCU02736
Cirbp	NCU02736
Cirbp	NCU02736
Rbm3	NCU02736
Rbm3	NCU02736
Rbm3	NCU02736
Rbm3	NCU02736
Rbm3	NCU02736
Rbm3	NCU02736
Rbm3	NCU02736
Rbm3	NCU02736
Rbmxl1	NCU02736
Rbmxl1	NCU02736
Gm7324	NCU02736
Mef2c	NCU02558
Mef2c	NCU02558
Mef2c	NCU02558
Mef2c	NCU02558
Mef2c	NCU02558
Mef2c	NCU02558
Mef2c	NCU02558
Mef2c	NCU02558
Mef2c	NCU02558
Mef2c	NCU02558
Mef2c	NCU02558
Mef2c	NCU02558
Mef2c	NCU02558
Mef2d	NCU02558
Mef2a	NCU02558
Mef2a	NCU02558
Mef2a	NCU02558
Mef2a	NCU02558
Dhx33	NCU06735
Dhx35	NCU06735
Dhx35	NCU06735
Dhx38	NCU02728
Dhx15	NCU01612
Dhx15	NCU01612
Dhx15	NCU01612
Dhx15	NCU01612
Dhx32	NCU01612
Dhx32	NCU01612
Dhx32	NCU01612
Dhx8	NCU06318
Dhx8	NCU06318
Dhx16	NCU08928
Dhx16	NCU08928
Akr1c19	NCU01759
Akr1c19	NCU01703
Akr1a1	NCU04923
Akr1a1	NCU01906
Akr1a1	NCU04510
Akr1a1	NCU08384
Akr1d1	NCU04923
Akr1d1	NCU01906
Akr1d1	NCU04510
Akr1d1	NCU08384
Akr1c19	NCU04923
Akr1c19	NCU01906
Akr1c19	NCU04510
Akr1c19	NCU08384
Akr1c19	NCU04923
Akr1c19	NCU01906
Akr1c19	NCU04510
Akr1c19	NCU08384
Akr1c12	NCU04923
Akr1c12	NCU01906
Akr1c12	NCU04510
Akr1c12	NCU08384
Akr1c13	NCU04923
Akr1c13	NCU01906
Akr1c13	NCU04510
Akr1c13	NCU08384
Akr1c14	NCU04923
Akr1c14	NCU01906
Akr1c14	NCU04510
Akr1c14	NCU08384
Akr1c14	NCU04923
Akr1c14	NCU01906
Akr1c14	NCU04510
Akr1c14	NCU08384
Akr1c20	NCU04923
Akr1c20	NCU01906
Akr1c20	NCU04510
Akr1c20	NCU08384
Akr1c20	NCU04923
Akr1c20	NCU01906
Akr1c20	NCU04510
Akr1c20	NCU08384
Akr1c20	NCU04923
Akr1c20	NCU01906
Akr1c20	NCU04510
Akr1c20	NCU08384
Akr1c6	NCU04923
Akr1c6	NCU01906
Akr1c6	NCU04510
Akr1c6	NCU08384
Akr1c6	NCU04923
Akr1c6	NCU01906
Akr1c6	NCU04510
Akr1c6	NCU08384
Akr1c21	NCU04923
Akr1c21	NCU01906
Akr1c21	NCU04510
Akr1c21	NCU08384
Akr1c18	NCU04923
Akr1c18	NCU01906
Akr1c18	NCU04510
Akr1c18	NCU08384
Akr1c18	NCU04923
Akr1c18	NCU01906
Akr1c18	NCU04510
Akr1c18	NCU08384
Akr1cl	NCU04923
Akr1cl	NCU01906
Akr1cl	NCU04510
Akr1cl	NCU08384
Akr1cl	NCU04923
Akr1cl	NCU01906
Akr1cl	NCU04510
Akr1cl	NCU08384
Akr1b8	NCU04923
Akr1b8	NCU01906
Akr1b8	NCU04510
Akr1b8	NCU08384
Akr1b7	NCU04923
Akr1b7	NCU01906
Akr1b7	NCU04510
Akr1b7	NCU08384
Akr1b10	NCU04923
Akr1b10	NCU01906
Akr1b10	NCU04510
Akr1b10	NCU08384
Akr1b10	NCU04923
Akr1b10	NCU01906
Akr1b10	NCU04510
Akr1b10	NCU08384
Akr1b3	NCU04923
Akr1b3	NCU01906
Akr1b3	NCU04510
Akr1b3	NCU08384
Akr1e1	NCU04923
Akr1e1	NCU01906
Akr1e1	NCU04510
Akr1e1	NCU08384
Akr1e1	NCU04923
Akr1e1	NCU01906
Akr1e1	NCU04510
Akr1e1	NCU08384
Gna11	NCU05206
Gnaq	NCU05206
Gna14	NCU05206
Gnai3	NCU06729
Gnai3	NCU06493
Gnai1	NCU06729
Gnai1	NCU06493
Gnai2	NCU06729
Gnai2	NCU06493
Gnai2	NCU06729
Gnai2	NCU06493
Gnaz	NCU06729
Gnaz	NCU06493
Gnaz	NCU06729
Gnaz	NCU06493
Gnao1	NCU06729
Gnao1	NCU06493
Gnao1	NCU06729
Gnao1	NCU06493
Gnao1	NCU06729
Gnao1	NCU06493
Gnao1	NCU06729
Gnao1	NCU06493
Rap2b	NCU02167
Rap2a	NCU02167
Rap2c	NCU02167
Rap1a	NCU02167
Rap1b	NCU02167
Rap1a	NCU02167
Hras	NCU03616
Hras	NCU06111
Kras	NCU08823
Kras	NCU08823
Hras	NCU08823
Hras	NCU08823
Nras	NCU08823
Nras	NCU08823
Nras	NCU08823
Nras	NCU08823
Nras	NCU08823
Hras	NCU08823
Nras	NCU08823
Hras	NCU08823
Hras	NCU08823
Mras	NCU08823
Mras	NCU08823
Mras	NCU08823
Rras2	NCU08823
Mapk13	NCU07024
Mapk12	NCU07024
Mapk14	NCU07024
Mapk14	NCU07024
Mapk14	NCU07024
Mapk14	NCU07024
Mapk14	NCU07024
Mapk14	NCU07024
Mapk14	NCU07024
Mapk11	NCU07024
Mapk3	NCU02393
Mapk1	NCU02393
Mapk1	NCU02393
Mapk1	NCU02393
Mapk3	NCU02393
Mapk3	NCU02393
Mapk3	NCU02393
Mapk3	NCU02393
Mapk7	NCU09842
Mapk7	NCU09842
Mapk7	NCU09842
Mapk15	NCU09842
Mapk15	NCU09842
Pfkfb4	NCU01728
Pfkfb4	NCU09347
Pfkfb4	NCU01728
Pfkfb4	NCU09347
Pfkfb4	NCU01728
Pfkfb4	NCU09347
Pfkfb1	NCU01728
Pfkfb1	NCU09347
Pfkfb1	NCU01728
Pfkfb1	NCU09347
Pfkfb2	NCU01728
Pfkfb2	NCU09347
Pfkfb2	NCU01728
Pfkfb2	NCU09347
Pfkfb2	NCU01728
Pfkfb2	NCU09347
Pfkfb2	NCU01728
Pfkfb2	NCU09347
Gm29427	NCU01728
Gm29427	NCU09347
Pfkfb2	NCU01728
Pfkfb2	NCU09347
Pfkfb2	NCU01728
Pfkfb2	NCU09347
Pfkfb2	NCU01728
Pfkfb2	NCU09347
Pfkfb2	NCU01728
Pfkfb2	NCU09347
Pfkfb2	NCU01728
Pfkfb2	NCU09347
Pfkfb3	NCU01728
Pfkfb3	NCU09347
Pfkfb3	NCU01728
Pfkfb3	NCU09347
Pfkfb3	NCU01728
Pfkfb3	NCU09347
Pfkfb3	NCU01728
Pfkfb3	NCU09347
Pfkfb3	NCU01728
Pfkfb3	NCU09347
Pfkfb3	NCU01728
Pfkfb3	NCU09347
Pfkfb3	NCU01728
Pfkfb3	NCU09347
Pfkfb3	NCU01728
Pfkfb3	NCU09347
Pfkfb3	NCU01728
Pfkfb3	NCU09347
Pfkfb3	NCU01728
Pfkfb3	NCU09347
Pfkfb3	NCU01728
Pfkfb3	NCU09347
Pfkfb3	NCU01728
Pfkfb3	NCU09347
Pfkfb3	NCU01728
Pfkfb3	NCU09347
Pcbp4	NCU06251
Pcbp4	NCU09237
Pcbp4	NCU06251
Pcbp4	NCU09237
Pcbp3	NCU06251
Pcbp3	NCU09237
Pcbp3	NCU06251
Pcbp3	NCU09237
Pcbp3	NCU06251
Pcbp3	NCU09237
Pcbp3	NCU06251
Pcbp3	NCU09237
Pcbp2	NCU06251
Pcbp2	NCU09237
Pcbp2	NCU06251
Pcbp2	NCU09237
Pcbp2	NCU06251
Pcbp2	NCU09237
Pcbp2	NCU06251
Pcbp2	NCU09237
Pcbp2	NCU06251
Pcbp2	NCU09237
Pcbp2	NCU06251
Pcbp2	NCU09237
Pcbp2	NCU06251
Pcbp2	NCU09237
Pcbp1	NCU06251
Pcbp1	NCU09237
Pcbp2	NCU06251
Pcbp2	NCU09237
Pcbp2	NCU06251
Pcbp2	NCU09237
Pcbp2	NCU06251
Pcbp2	NCU09237
Pcbp2	NCU06251
Pcbp2	NCU09237
Pcbp2	NCU06251
Pcbp2	NCU09237
Pcbp2	NCU06251
Pcbp2	NCU09237
Pcbp2	NCU06251
Pcbp2	NCU09237
Pcbp2	NCU06251
Pcbp2	NCU09237
Pcbp2	NCU06251
Pcbp2	NCU09237
Pcbp2	NCU06251
Pcbp2	NCU09237
Pcbp2	NCU06251
Pcbp2	NCU09237
Pcbp2	NCU06251
Pcbp2	NCU09237
Pcbp2	NCU06251
Pcbp2	NCU09237
Pcbp2	NCU06251
Pcbp2	NCU09237
Pcbp2	NCU06251
Pcbp2	NCU09237
Pde4c	NCU00478
Pde4c	NCU00478
Pde4c	NCU00478
Pde4c	NCU00478
Pde4c	NCU00478
Pde4c	NCU00478
Pde4a	NCU00478
Pde4a	NCU00478
Pde4a	NCU00478
Pde4d	NCU00478
Pde4d	NCU00478
Pde4d	NCU00478
Pde4d	NCU00478
Pde4d	NCU00478
Pde4d	NCU00478
Pde4d	NCU00478
Pde4d	NCU00478
Pde4d	NCU00478
Pde4d	NCU00478
Pde4d	NCU00478
Pde4b	NCU00478
Pde4b	NCU00478
Pde4b	NCU00478
Pde4b	NCU00478
Pde4b	NCU00478
Pde4b	NCU00478
Pde4b	NCU00478
Pde4c	NCU00478
Pde4c	NCU00478
Hist1h4m	NCU01634
Hist1h4m	NCU00212
Hist1h4m	NCU04338
Hist1h4a	NCU01634
Hist1h4a	NCU00212
Hist1h4a	NCU04338
Hist1h4j	NCU01634
Hist1h4j	NCU00212
Hist1h4j	NCU04338
Hist1h4i	NCU01634
Hist1h4i	NCU00212
Hist1h4i	NCU04338
Hist1h4f	NCU01634
Hist1h4f	NCU00212
Hist1h4f	NCU04338
Hist1h4h	NCU01634
Hist1h4h	NCU00212
Hist1h4h	NCU04338
Hist2h4	NCU01634
Hist2h4	NCU00212
Hist2h4	NCU04338
Hist1h4k	NCU01634
Hist1h4k	NCU00212
Hist1h4k	NCU04338
Hist1h4d	NCU01634
Hist1h4d	NCU00212
Hist1h4d	NCU04338
Hist1h4b	NCU01634
Hist1h4b	NCU00212
Hist1h4b	NCU04338
Hist1h4n	NCU01634
Hist1h4n	NCU00212
Hist1h4n	NCU04338
Hist1h4c	NCU01634
Hist1h4c	NCU00212
Hist1h4c	NCU04338
Hist4h4	NCU01634
Hist4h4	NCU00212
Hist4h4	NCU04338
H2afx	NCU02437
Hist1h2af	NCU02437
Hist1h2an	NCU02437
Hist1h2ae	NCU02437
Hist1h2ac	NCU02437
Hist1h2ab	NCU02437
Hist1h2ao	NCU02437
Hist1h2ag	NCU02437
Hist1h2ad	NCU02437
Hist1h2ap	NCU02437
Hist1h2ai	NCU02437
Hist1h2ak	NCU02437
Hist1h2ah	NCU02437
Hist3h2a	NCU02437
Hist2h2aa2	NCU02437
Hist2h2aa1	NCU02437
Hist2h2ab	NCU02437
Hist2h2ac	NCU02437
Hist1h2aa	NCU02437
H2afj	NCU02437
H2afj	NCU02437
Lvrn	NCU02319
Lvrn	NCU09228
Lvrn	NCU02319
Lvrn	NCU09228
Trhde	NCU02319
Trhde	NCU09228
Lnpep	NCU02319
Lnpep	NCU09228
Erap1	NCU02319
Erap1	NCU09228
Erap1	NCU02319
Erap1	NCU09228
Erap1	NCU02319
Erap1	NCU09228
Enpep	NCU02319
Enpep	NCU09228
Enpep	NCU02319
Enpep	NCU09228
Npepps	NCU02319
Npepps	NCU09228
Npepps	NCU02319
Npepps	NCU09228
Npepps	NCU02319
Npepps	NCU09228
Npepps	NCU02319
Npepps	NCU09228
Npepps	NCU02319
Npepps	NCU09228
Npepps	NCU02319
Npepps	NCU09228
Spata13	NCU10282
Arhgef9	NCU02764
Spata13	NCU06067
Spata13	NCU06067
Spata13	NCU06067
Spata13	NCU06067
Arhgef4	NCU06067
Arhgef4	NCU06067
Arhgef4	NCU06067
Arhgef4	NCU06067
Arhgef4	NCU06067
Arhgef9	NCU06067
Arhgef9	NCU06067
Arhgef9	NCU06067
Arhgef9	NCU06067
Arhgef9	NCU06067
Arhgef9	NCU06067
Arhgef9	NCU06067
Arhgef9	NCU06067
Arhgef9	NCU06067
Arhgef9	NCU06067
Arhgef9	NCU06067
Arhgef9	NCU06067
Arhgef9	NCU06067
Arhgef9	NCU06067
Arhgef9	NCU06067
Arhgef9	NCU06067
Arhgef9	NCU06067
Myb	NCU01312
Myb	NCU01312
Mybl1	NCU01312
Aurka	NCU00108
Aurka	NCU00108
Aurka	NCU00108
Aurkb	NCU00108
Aurkb	NCU00108
Aurkc	NCU00108
Aurkc	NCU00108
Aurkc	NCU00108
Aurkc	NCU00108
Nuak1	NCU02885
Brd2	NCU08423
Brd2	NCU08423
Brd2	NCU08423
Brd2	NCU08423
Brd2	NCU08423
Brd2	NCU08423
Brd4	NCU08423
Brd4	NCU08423
Brd4	NCU08423
Brd4	NCU08423
Brd4	NCU08423
Brdt	NCU08423
Brdt	NCU08423
Prkar1b	NCU01166
Prkar1a	NCU01166
Prkar1a	NCU01166
Prkar1b	NCU01166
Prkar1b	NCU01166
Prkar1b	NCU01166
Prkar1b	NCU01166
Ncs1	NCU02115
Vsnl1	NCU04379
Vsnl1	NCU04379
Hpcal4	NCU04379
Hpcal4	NCU04379
Hpcal4	NCU04379
Hpcal1	NCU04379
Hpca	NCU04379
Hpca	NCU04379
Hpca	NCU04379
Hpca	NCU04379
Hpca	NCU04379
Hpca	NCU04379
Hpca	NCU04379
Hpca	NCU04379
Hpcal1	NCU04379
Ncald	NCU04379
Ncald	NCU04379
Ncald	NCU04379
Ncald	NCU04379
Ncald	NCU04379
Ncald	NCU04379
Ncald	NCU04379
Rcvrn	NCU04379
Sept4	NCU08297
Sept4	NCU08297
Sept4	NCU08297
Sept4	NCU08297
Sept4	NCU08297
Gm49601	NCU08297
Sept5	NCU08297
Sept5	NCU08297
Sept5	NCU08297
Sept1	NCU08297
Sept1	NCU08297
Sept1	NCU08297
Sept2	NCU08297
Sept2	NCU08297
Sept2	NCU08297
Sept2	NCU08297
Sept2	NCU08297
Sept2	NCU08297
Sept2	NCU08297
Sept2	NCU08297
Sept7	NCU08297
Sept7	NCU08297
Fmo2	NCU09456
Fmo2	NCU07821
Fmo2	NCU03755
Fmo5	NCU09456
