AT3G09720.1 YGL171W_mRNA
AT5G19410.2 YOL075C_mRNA
AT1G53270.1 YOL075C_mRNA
AT1G51460.1 YOL075C_mRNA
AT1G51500.1 YOL075C_mRNA
AT3G21090.1 YOL075C_mRNA
AT2G28070.1 YOL075C_mRNA
AT1G17840.1 YOL075C_mRNA
AT5G44240.1 YAL026C_mRNA
AT3G18700.1 YDR093W_mRNA
AT3G18700.1 YER166W_mRNA
AT1G13370.1 YBR010W_mRNA
AT1G13370.1 YNL031C_mRNA
AT1G75600.1 YBR010W_mRNA
AT1G75600.1 YNL031C_mRNA
AT5G10980.1 YBR010W_mRNA
AT5G10980.1 YNL031C_mRNA
AT4G40040.1 YBR010W_mRNA
AT4G40040.1 YNL031C_mRNA
AT4G40030.2 YBR010W_mRNA
AT4G40030.2 YNL031C_mRNA
AT1G19890.1 YBR010W_mRNA
AT1G19890.1 YNL031C_mRNA
AT1G09200.1 YBR010W_mRNA
AT1G09200.1 YNL031C_mRNA
AT3G27360.1 YBR010W_mRNA
AT3G27360.1 YNL031C_mRNA
AT5G65360.1 YBR010W_mRNA
AT5G65360.1 YNL031C_mRNA
AT5G65350.1 YBR010W_mRNA
AT5G65350.1 YNL031C_mRNA
AT5G10390.1 YBR010W_mRNA
AT5G10390.1 YNL031C_mRNA
AT5G10400.1 YBR010W_mRNA
AT5G10400.1 YNL031C_mRNA
AT1G70320.1 YDR457W_mRNA
AT1G70320.1 YER125W_mRNA
AT1G55860.1 YDR457W_mRNA
AT1G55860.1 YER125W_mRNA
AT3G45980.1 YDR224C_mRNA
AT3G45980.1 YBL002W_mRNA
AT3G46030.1 YDR224C_mRNA
AT3G46030.1 YBL002W_mRNA
AT5G59910.1 YDR224C_mRNA
AT5G59910.1 YBL002W_mRNA
AT2G28720.1 YDR224C_mRNA
AT2G28720.1 YBL002W_mRNA
AT5G22880.1 YDR224C_mRNA
AT5G22880.1 YBL002W_mRNA
AT1G07790.1 YDR224C_mRNA
AT1G07790.1 YBL002W_mRNA
AT2G37470.1 YDR224C_mRNA
AT2G37470.1 YBL002W_mRNA
AT3G53650.1 YDR224C_mRNA
AT3G53650.1 YBL002W_mRNA
AT5G02570.1 YDR224C_mRNA
AT5G02570.1 YBL002W_mRNA
AT3G09480.1 YDR224C_mRNA
AT3G09480.1 YBL002W_mRNA
AT2G04350.1 YMR246W_mRNA
AT2G04350.1 YIL009W_mRNA
AT2G04350.1 YOR317W_mRNA
AT1G77590.1 YMR246W_mRNA
AT1G77590.1 YIL009W_mRNA
AT1G77590.1 YOR317W_mRNA
AT5G27600.1 YER015W_mRNA
AT3G05970.1 YER015W_mRNA
AT2G47170.1 YDL137W_mRNA
AT2G47170.1 YDL192W_mRNA
AT3G62290.1 YDL137W_mRNA
AT3G62290.1 YDL192W_mRNA
AT1G70490.1 YDL137W_mRNA
AT1G70490.1 YDL192W_mRNA
AT1G23490.1 YDL137W_mRNA
AT1G23490.1 YDL192W_mRNA
AT1G10630.1 YDL137W_mRNA
AT1G10630.1 YDL192W_mRNA
AT5G14670.1 YDL137W_mRNA
AT5G14670.1 YDL192W_mRNA
AT2G24765.1 YBR164C_mRNA
AT2G18390.1 YMR138W_mRNA
AT2G42170.1 YHR129C_mRNA
AT2G42090.1 YHR129C_mRNA
AT2G42100.1 YHR129C_mRNA
AT3G18780.2 YFL039C_mRNA
AT1G49240.1 YFL039C_mRNA
AT3G53750.1 YFL039C_mRNA
AT2G37620.1 YFL039C_mRNA
AT5G59370.1 YFL039C_mRNA
AT3G46520.1 YFL039C_mRNA
AT5G09810.1 YFL039C_mRNA
AT3G12110.1 YFL039C_mRNA
AT1G30400.1 YGR281W_mRNA
AT2G34660.1 YGR281W_mRNA
AT1G30410.1 YGR281W_mRNA
AT1G30420.1 YGR281W_mRNA
AT3G59140.1 YLL015W_mRNA
AT3G59140.1 YDR135C_mRNA
AT3G21250.4 YLL015W_mRNA
AT3G21250.4 YDR135C_mRNA
AT1G04120.1 YLL015W_mRNA
AT1G04120.1 YDR135C_mRNA
AT3G13090.1 YLL015W_mRNA
AT3G13090.1 YDR135C_mRNA
AT3G13100.1 YLL015W_mRNA
AT3G13100.1 YDR135C_mRNA
AT3G13080.1 YLL015W_mRNA
AT3G13080.1 YDR135C_mRNA
AT1G71330.1 YLL015W_mRNA
AT1G71330.1 YDR135C_mRNA
AT3G60970.1 YLL015W_mRNA
AT3G60970.1 YDR135C_mRNA
AT3G60160.1 YLL015W_mRNA
AT3G60160.1 YDR135C_mRNA
AT2G47800.1 YLL015W_mRNA
AT2G47800.1 YDR135C_mRNA
AT3G62700.1 YLL015W_mRNA
AT3G62700.1 YDR135C_mRNA
AT2G07680.3 YLL048C_mRNA
AT2G07680.3 YHL035C_mRNA
AT4G17340.1 YLL053C_mRNA
AT4G17340.1 YPR192W_mRNA
AT4G17340.1 YLL052C_mRNA
AT5G47450.1 YLL053C_mRNA
AT5G47450.1 YPR192W_mRNA
AT5G47450.1 YLL052C_mRNA
AT3G16240.1 YLL053C_mRNA
AT3G16240.1 YPR192W_mRNA
AT3G16240.1 YLL052C_mRNA
AT3G47440.1 YLL053C_mRNA
AT3G47440.1 YPR192W_mRNA
AT3G47440.1 YLL052C_mRNA
AT2G36830.1 YLL053C_mRNA
AT2G36830.1 YPR192W_mRNA
AT2G36830.1 YLL052C_mRNA
AT3G26520.1 YLL053C_mRNA
AT3G26520.1 YPR192W_mRNA
AT3G26520.1 YLL052C_mRNA
AT4G01470.1 YLL053C_mRNA
AT4G01470.1 YPR192W_mRNA
AT4G01470.1 YLL052C_mRNA
AT1G17810.1 YLL053C_mRNA
AT1G17810.1 YPR192W_mRNA
AT1G17810.1 YLL052C_mRNA
AT1G73190.1 YLL053C_mRNA
AT1G73190.1 YPR192W_mRNA
AT1G73190.1 YLL052C_mRNA
AT2G25810.1 YLL053C_mRNA
AT2G25810.1 YPR192W_mRNA
AT2G25810.1 YLL052C_mRNA
AT1G52180.1 YLL053C_mRNA
AT1G52180.1 YPR192W_mRNA
AT1G52180.1 YLL052C_mRNA
AT4G00430.1 YLL053C_mRNA
AT4G00430.1 YPR192W_mRNA
AT4G00430.1 YLL052C_mRNA
AT1G01620.1 YLL053C_mRNA
AT1G01620.1 YPR192W_mRNA
AT1G01620.1 YLL052C_mRNA
AT3G61430.1 YLL053C_mRNA
AT3G61430.1 YPR192W_mRNA
AT3G61430.1 YLL052C_mRNA
AT2G45960.3 YLL053C_mRNA
AT2G45960.3 YPR192W_mRNA
AT2G45960.3 YLL052C_mRNA
AT4G23400.1 YLL053C_mRNA
AT4G23400.1 YPR192W_mRNA
AT4G23400.1 YLL052C_mRNA
AT2G16850.1 YLL053C_mRNA
AT2G16850.1 YPR192W_mRNA
AT2G16850.1 YLL052C_mRNA
AT4G35100.1 YLL053C_mRNA
AT4G35100.1 YPR192W_mRNA
AT4G35100.1 YLL052C_mRNA
AT3G53420.1 YLL053C_mRNA
AT3G53420.1 YPR192W_mRNA
AT3G53420.1 YLL052C_mRNA
AT2G37170.2 YLL053C_mRNA
AT2G37170.2 YPR192W_mRNA
AT2G37170.2 YLL052C_mRNA
AT2G37180.1 YLL053C_mRNA
AT2G37180.1 YPR192W_mRNA
AT2G37180.1 YLL052C_mRNA
AT5G60660.1 YLL053C_mRNA
AT5G60660.1 YPR192W_mRNA
AT5G60660.1 YLL052C_mRNA
AT2G39010.1 YLL053C_mRNA
AT2G39010.1 YPR192W_mRNA
AT2G39010.1 YLL052C_mRNA
AT3G54820.1 YLL053C_mRNA
AT3G54820.1 YPR192W_mRNA
AT3G54820.1 YLL052C_mRNA
AT3G06100.1 YLL053C_mRNA
AT3G06100.1 YPR192W_mRNA
AT3G06100.1 YLL052C_mRNA
AT1G67580.1 YPR161C_mRNA
AT5G63370.1 YPR161C_mRNA
AT5G20240.1 YBR182C_mRNA
AT3G54340.1 YBR182C_mRNA
AT5G23260.4 YBR182C_mRNA
AT1G71692.1 YBR182C_mRNA
AT1G26310.1 YBR182C_mRNA
AT1G69120.1 YBR182C_mRNA
AT5G60910.1 YBR182C_mRNA
AT3G30260.1 YBR182C_mRNA
AT2G03710.1 YBR182C_mRNA
AT3G02310.1 YBR182C_mRNA
AT5G15800.2 YBR182C_mRNA
AT1G24260.2 YBR182C_mRNA
AT3G61120.1 YBR182C_mRNA
AT2G45650.1 YBR182C_mRNA
AT4G11880.1 YBR182C_mRNA
AT4G22950.1 YBR182C_mRNA
AT5G51860.1 YBR182C_mRNA
AT5G51870.3 YBR182C_mRNA
AT5G62165.1 YBR182C_mRNA
AT2G45660.1 YBR182C_mRNA
AT3G58780.4 YBR182C_mRNA
AT2G42830.2 YBR182C_mRNA
AT4G18960.1 YBR182C_mRNA
AT4G09960.4 YBR182C_mRNA
AT4G37940.1 YBR182C_mRNA
AT2G22630.1 YBR182C_mRNA
AT2G14210.2 YBR182C_mRNA
AT3G57230.1 YBR182C_mRNA
AT3G57390.1 YBR182C_mRNA
AT5G13790.2 YBR182C_mRNA
AT4G24540.1 YBR182C_mRNA
AT2G22540.1 YBR182C_mRNA
AT2G47680.1 YKL078W_mRNA
AT5G13010.1 YKR086W_mRNA
AT5G14900.1 YGL120C_mRNA
AT2G47250.1 YGL120C_mRNA
AT3G62310.1 YGL120C_mRNA
AT3G26560.1 YER013W_mRNA
AT4G16680.2 YNR011C_mRNA
AT2G35340.1 YNR011C_mRNA
AT1G32490.1 YNR011C_mRNA
AT5G01670.2 YBR149W_mRNA
AT5G01670.2 YOR120W_mRNA
AT5G01670.2 YDR368W_mRNA
AT2G37790.1 YBR149W_mRNA
AT2G37790.1 YOR120W_mRNA
AT2G37790.1 YDR368W_mRNA
AT2G37770.2 YBR149W_mRNA
AT2G37770.2 YOR120W_mRNA
AT2G37770.2 YDR368W_mRNA
AT3G53880.1 YBR149W_mRNA
AT3G53880.1 YOR120W_mRNA
AT3G53880.1 YDR368W_mRNA
AT2G37760.1 YBR149W_mRNA
AT2G37760.1 YOR120W_mRNA
AT2G37760.1 YDR368W_mRNA
AT5G62420.1 YBR149W_mRNA
AT5G62420.1 YOR120W_mRNA
AT5G62420.1 YDR368W_mRNA
AT2G21250.1 YHR104W_mRNA
AT2G21260.1 YHR104W_mRNA
AT2G26300.1 YER020W_mRNA
AT2G26300.1 YHR005C_mRNA
AT4G01370.1 YLR113W_mRNA
AT4G01370.1 YBL016W_mRNA
AT4G01370.1 YGR040W_mRNA
AT4G01370.1 YHR030C_mRNA
AT1G01560.2 YLR113W_mRNA
AT1G01560.2 YBL016W_mRNA
AT1G01560.2 YGR040W_mRNA
AT1G01560.2 YHR030C_mRNA
AT2G46070.3 YLR113W_mRNA
AT2G46070.3 YBL016W_mRNA
AT2G46070.3 YGR040W_mRNA
AT2G46070.3 YHR030C_mRNA
AT4G11330.1 YLR113W_mRNA
AT4G11330.1 YBL016W_mRNA
AT4G11330.1 YGR040W_mRNA
AT4G11330.1 YHR030C_mRNA
AT1G07880.2 YLR113W_mRNA
AT1G07880.2 YBL016W_mRNA
AT1G07880.2 YGR040W_mRNA
AT1G07880.2 YHR030C_mRNA
AT2G43790.1 YLR113W_mRNA
AT2G43790.1 YBL016W_mRNA
AT2G43790.1 YGR040W_mRNA
AT2G43790.1 YHR030C_mRNA
AT3G59790.1 YLR113W_mRNA
AT3G59790.1 YBL016W_mRNA
AT3G59790.1 YGR040W_mRNA
AT3G59790.1 YHR030C_mRNA
AT3G45640.1 YLR113W_mRNA
AT3G45640.1 YBL016W_mRNA
AT3G45640.1 YGR040W_mRNA
AT3G45640.1 YHR030C_mRNA
AT1G59580.1 YLR113W_mRNA
AT1G59580.1 YBL016W_mRNA
AT1G59580.1 YGR040W_mRNA
AT1G59580.1 YHR030C_mRNA
AT1G10210.1 YLR113W_mRNA
AT1G10210.1 YBL016W_mRNA
AT1G10210.1 YGR040W_mRNA
AT1G10210.1 YHR030C_mRNA
AT4G36450.1 YLR113W_mRNA
AT4G36450.1 YBL016W_mRNA
AT4G36450.1 YGR040W_mRNA
AT4G36450.1 YHR030C_mRNA
AT2G18170.1 YLR113W_mRNA
AT2G18170.1 YBL016W_mRNA
AT2G18170.1 YGR040W_mRNA
AT2G18170.1 YHR030C_mRNA
AT1G07110.1 YIL107C_mRNA
AT1G07110.1 YJL155C_mRNA
AT5G04430.2 YBL032W_mRNA
AT5G04430.2 YBR233W_mRNA
AT1G07820.1 YNL030W_mRNA
AT1G07820.1 YBR009C_mRNA
AT3G46320.1 YNL030W_mRNA
AT3G46320.1 YBR009C_mRNA
AT3G45930.1 YNL030W_mRNA
AT3G45930.1 YBR009C_mRNA
AT1G07660.1 YNL030W_mRNA
AT1G07660.1 YBR009C_mRNA
AT5G59970.1 YNL030W_mRNA
AT5G59970.1 YBR009C_mRNA
AT2G28740.1 YNL030W_mRNA
AT2G28740.1 YBR009C_mRNA
AT3G53730.1 YNL030W_mRNA
AT3G53730.1 YBR009C_mRNA
AT5G59690.1 YNL030W_mRNA
AT5G59690.1 YBR009C_mRNA
AT1G51060.1 YDR225W_mRNA
AT1G51060.1 YBL003C_mRNA
AT3G20670.1 YDR225W_mRNA
AT3G20670.1 YBL003C_mRNA
AT5G54640.1 YDR225W_mRNA
AT5G54640.1 YBL003C_mRNA
AT4G27230.1 YDR225W_mRNA
AT4G27230.1 YBL003C_mRNA
AT5G59870.1 YDR225W_mRNA
AT5G59870.1 YBL003C_mRNA
AT4G33090.1 YKL157W_mRNA
AT4G33090.1 YHR047C_mRNA
AT5G52260.1 YKR099W_mRNA
AT2G25880.3 YPL209C_mRNA
AT4G32830.1 YPL209C_mRNA
AT2G45490.1 YPL209C_mRNA
AT1G45160.2 YDR466W_mRNA
AT3G52280.2 YLR399C_mRNA
AT3G52280.2 YDL070W_mRNA
AT2G34900.1 YLR399C_mRNA
AT2G34900.1 YDL070W_mRNA
AT5G46550.1 YLR399C_mRNA
AT5G46550.1 YDL070W_mRNA
AT1G12200.1 YHR176W_mRNA
AT1G63340.1 YHR176W_mRNA
AT1G62580.1 YHR176W_mRNA
AT1G62570.1 YHR176W_mRNA
AT1G62560.1 YHR176W_mRNA
AT1G65860.1 YHR176W_mRNA
AT1G62540.2 YHR176W_mRNA
AT1G12140.1 YHR176W_mRNA
AT1G12160.1 YHR176W_mRNA
AT1G12130.1 YHR176W_mRNA
AT1G63370.1 YHR176W_mRNA
AT1G62620.1 YHR176W_mRNA
AT1G63390.1 YHR176W_mRNA
AT1G62600.1 YHR176W_mRNA
AT5G07800.1 YHR176W_mRNA
AT5G61290.1 YHR176W_mRNA
AT5G58140.1 YNR047W_mRNA
AT5G58140.1 YGR092W_mRNA
AT5G58140.1 YPR111W_mRNA
AT3G45780.1 YNR047W_mRNA
AT3G45780.1 YGR092W_mRNA
AT3G45780.1 YPR111W_mRNA
AT3G12690.1 YNR047W_mRNA
AT3G12690.1 YGR092W_mRNA
AT3G12690.1 YPR111W_mRNA
AT3G27580.1 YNR047W_mRNA
AT3G27580.1 YGR092W_mRNA
AT3G27580.1 YPR111W_mRNA
AT3G08730.1 YBR028C_mRNA
AT2G03670.1 YLR397C_mRNA
AT3G01610.2 YLL034C_mRNA
AT5G03340.1 YDL126C_mRNA
AT3G09840.1 YDL126C_mRNA
AT3G53230.1 YDL126C_mRNA
AT1G03000.1 YNL329C_mRNA
AT5G08470.1 YKL197C_mRNA
AT5G53910.1 YBR062C_mRNA
AT3G13228.1 YBR062C_mRNA
AT1G18760.1 YBR062C_mRNA
AT2G29840.1 YBR062C_mRNA
AT1G18780.1 YBR062C_mRNA
AT1G18770.1 YBR062C_mRNA
AT1G21960.1 YBR062C_mRNA
AT1G74620.1 YBR062C_mRNA
AT1G50350.1 YBR062C_mRNA
AT1G79470.1 YML056C_mRNA
AT1G79470.1 YAR073W_mRNA
AT1G79470.1 YHR216W_mRNA
AT1G79470.1 YLR432W_mRNA
AT1G79470.1 YAR075W_mRNA
AT1G16350.1 YML056C_mRNA
AT1G16350.1 YAR073W_mRNA
AT1G16350.1 YHR216W_mRNA
AT1G16350.1 YLR432W_mRNA
AT1G16350.1 YAR075W_mRNA
AT2G35390.2 YOL061W_mRNA
AT2G35390.2 YKL181W_mRNA
AT2G35390.2 YER099C_mRNA
AT2G35390.2 YBL068W_mRNA
AT2G35390.2 YHL011C_mRNA
AT1G32380.1 YOL061W_mRNA
AT1G32380.1 YKL181W_mRNA
AT1G32380.1 YER099C_mRNA
AT1G32380.1 YBL068W_mRNA
AT1G32380.1 YHL011C_mRNA
AT2G44530.1 YOL061W_mRNA
AT2G44530.1 YKL181W_mRNA
AT2G44530.1 YER099C_mRNA
AT2G44530.1 YBL068W_mRNA
AT2G44530.1 YHL011C_mRNA
AT1G09140.1 YDR432W_mRNA
AT1G02840.1 YDR432W_mRNA
AT4G02430.4 YDR432W_mRNA
AT3G49430.1 YDR432W_mRNA
AT1G22300.1 YDR099W_mRNA
AT1G22300.1 YER177W_mRNA
AT1G34760.1 YDR099W_mRNA
AT1G34760.1 YER177W_mRNA
AT2G42590.3 YDR099W_mRNA
AT2G42590.3 YER177W_mRNA
AT1G26480.1 YDR099W_mRNA
AT1G26480.1 YER177W_mRNA
AT5G65430.3 YDR099W_mRNA
AT5G65430.3 YER177W_mRNA
AT5G10450.4 YDR099W_mRNA
AT5G10450.4 YER177W_mRNA
AT3G02520.1 YDR099W_mRNA
AT3G02520.1 YER177W_mRNA
AT5G16050.1 YDR099W_mRNA
AT5G16050.1 YER177W_mRNA
AT5G38480.1 YDR099W_mRNA
AT5G38480.1 YER177W_mRNA
AT1G78300.1 YDR099W_mRNA
AT1G78300.1 YER177W_mRNA
AT1G35160.2 YDR099W_mRNA
AT1G35160.2 YER177W_mRNA
AT4G09000.2 YDR099W_mRNA
AT4G09000.2 YER177W_mRNA
AT2G22950.1 YGL006W_mRNA
AT4G37640.1 YGL006W_mRNA
AT1G27770.1 YGL006W_mRNA
AT3G57330.1 YGL006W_mRNA
AT2G41560.1 YGL006W_mRNA
AT3G22910.1 YGL006W_mRNA
AT3G63380.1 YGL006W_mRNA
AT3G21180.1 YGL006W_mRNA
AT5G57110.1 YGL006W_mRNA
AT4G29900.1 YGL006W_mRNA
AT3G48000.1 YMR169C_mRNA
AT3G48000.1 YMR170C_mRNA
AT3G48000.1 YOR374W_mRNA
AT3G48000.1 YER073W_mRNA
AT3G48000.1 YPL061W_mRNA
AT1G23800.1 YMR169C_mRNA
AT1G23800.1 YMR170C_mRNA
AT1G23800.1 YOR374W_mRNA
AT1G23800.1 YER073W_mRNA
AT1G23800.1 YPL061W_mRNA
AT3G24503.1 YMR169C_mRNA
AT3G24503.1 YMR170C_mRNA
AT3G24503.1 YOR374W_mRNA
AT3G24503.1 YER073W_mRNA
AT3G24503.1 YPL061W_mRNA
AT1G32330.1 YGL073W_mRNA
AT1G32330.1 YJR147W_mRNA
AT1G32330.1 YOR140W_mRNA
AT3G02990.1 YGL073W_mRNA
AT3G02990.1 YJR147W_mRNA
AT3G02990.1 YOR140W_mRNA
AT5G16820.1 YGL073W_mRNA
AT5G16820.1 YJR147W_mRNA
AT5G16820.1 YOR140W_mRNA
AT4G17750.1 YGL073W_mRNA
AT4G17750.1 YJR147W_mRNA
AT4G17750.1 YOR140W_mRNA
AT2G26150.1 YGL073W_mRNA
AT2G26150.1 YJR147W_mRNA
AT2G26150.1 YOR140W_mRNA
AT3G51910.1 YGL073W_mRNA
AT3G51910.1 YJR147W_mRNA
AT3G51910.1 YOR140W_mRNA
AT3G63350.1 YGL073W_mRNA
AT3G63350.1 YJR147W_mRNA
AT3G63350.1 YOR140W_mRNA
AT3G22830.1 YGL073W_mRNA
AT3G22830.1 YJR147W_mRNA
AT3G22830.1 YOR140W_mRNA
AT5G43840.1 YGL073W_mRNA
AT5G43840.1 YJR147W_mRNA
AT5G43840.1 YOR140W_mRNA
AT5G03720.1 YGL073W_mRNA
AT5G03720.1 YJR147W_mRNA
AT5G03720.1 YOR140W_mRNA
AT1G67970.1 YGL073W_mRNA
AT1G67970.1 YJR147W_mRNA
AT1G67970.1 YOR140W_mRNA
AT5G45710.1 YGL073W_mRNA
AT5G45710.1 YJR147W_mRNA
