AT3G09720.1 ENSMUSP00000048802
AT5G43900.3 ENSMUSP00000042229
AT1G04160.1 ENSMUSP00000116028
AT1G04160.1 ENSMUSP00000120444
AT1G04160.1 ENSMUSP00000117493
AT1G04160.1 ENSMUSP00000073790
AT1G04160.1 ENSMUSP00000112728
AT1G04160.1 ENSMUSP00000042229
AT4G28710.1 ENSMUSP00000116028
AT4G28710.1 ENSMUSP00000120444
AT4G28710.1 ENSMUSP00000117493
AT4G28710.1 ENSMUSP00000073790
AT4G28710.1 ENSMUSP00000112728
AT4G28710.1 ENSMUSP00000042229
AT2G20290.1 ENSMUSP00000116028
AT2G20290.1 ENSMUSP00000120444
AT2G20290.1 ENSMUSP00000117493
AT2G20290.1 ENSMUSP00000073790
AT2G20290.1 ENSMUSP00000112728
AT2G20290.1 ENSMUSP00000042229
AT1G04600.1 ENSMUSP00000116028
AT1G04600.1 ENSMUSP00000120444
AT1G04600.1 ENSMUSP00000117493
AT1G04600.1 ENSMUSP00000073790
AT1G04600.1 ENSMUSP00000112728
AT1G04600.1 ENSMUSP00000042229
AT2G33240.1 ENSMUSP00000116028
AT2G33240.1 ENSMUSP00000120444
AT2G33240.1 ENSMUSP00000117493
AT2G33240.1 ENSMUSP00000073790
AT2G33240.1 ENSMUSP00000112728
AT2G33240.1 ENSMUSP00000042229
AT3G58160.1 ENSMUSP00000116028
AT3G58160.1 ENSMUSP00000120444
AT3G58160.1 ENSMUSP00000117493
AT3G58160.1 ENSMUSP00000073790
AT3G58160.1 ENSMUSP00000112728
AT3G58160.1 ENSMUSP00000042229
AT3G19960.2 ENSMUSP00000154634
AT3G19960.2 ENSMUSP00000080538
AT3G19960.2 ENSMUSP00000099867
AT3G19960.2 ENSMUSP00000126840
AT3G19960.2 ENSMUSP00000127539
AT3G19960.2 ENSMUSP00000090672
AT3G19960.2 ENSMUSP00000131883
AT3G19960.2 ENSMUSP00000104329
AT3G19960.2 ENSMUSP00000007301
AT3G19960.2 ENSMUSP00000137731
AT3G19960.2 ENSMUSP00000104324
AT3G19960.2 ENSMUSP00000080584
AT3G19960.2 ENSMUSP00000018632
AT3G19960.2 ENSMUSP00000127514
AT3G19960.2 ENSMUSP00000018637
AT3G19960.2 ENSMUSP00000075147
AT3G19960.2 ENSMUSP00000117569
AT3G19960.2 ENSMUSP00000019625
AT3G19960.2 ENSMUSP00000129544
AT3G19960.2 ENSMUSP00000018641
AT3G19960.2 ENSMUSP00000103531
AT3G19960.2 ENSMUSP00000147115
AT3G19960.2 ENSMUSP00000103532
AT3G19960.2 ENSMUSP00000046059
AT3G19960.2 ENSMUSP00000018887
AT3G19960.2 ENSMUSP00000090661
AT3G19960.2 ENSMUSP00000099671
AT3G19960.2 ENSMUSP00000016771
AT3G19960.2 ENSMUSP00000155052
AT3G19960.2 ENSMUSP00000156021
AT3G19960.2 ENSMUSP00000087756
AT1G50360.1 ENSMUSP00000154634
AT1G50360.1 ENSMUSP00000080538
AT1G50360.1 ENSMUSP00000099867
AT1G50360.1 ENSMUSP00000126840
AT1G50360.1 ENSMUSP00000127539
AT1G50360.1 ENSMUSP00000090672
AT1G50360.1 ENSMUSP00000131883
AT1G50360.1 ENSMUSP00000104329
AT1G50360.1 ENSMUSP00000007301
AT1G50360.1 ENSMUSP00000137731
AT1G50360.1 ENSMUSP00000104324
AT1G50360.1 ENSMUSP00000080584
AT1G50360.1 ENSMUSP00000018632
AT1G50360.1 ENSMUSP00000127514
AT1G50360.1 ENSMUSP00000018637
AT1G50360.1 ENSMUSP00000075147
AT1G50360.1 ENSMUSP00000117569
AT1G50360.1 ENSMUSP00000019625
AT1G50360.1 ENSMUSP00000129544
AT1G50360.1 ENSMUSP00000018641
AT1G50360.1 ENSMUSP00000103531
AT1G50360.1 ENSMUSP00000147115
AT1G50360.1 ENSMUSP00000103532
AT1G50360.1 ENSMUSP00000046059
AT1G50360.1 ENSMUSP00000018887
AT1G50360.1 ENSMUSP00000090661
AT1G50360.1 ENSMUSP00000099671
AT1G50360.1 ENSMUSP00000016771
AT1G50360.1 ENSMUSP00000155052
AT1G50360.1 ENSMUSP00000156021
AT1G50360.1 ENSMUSP00000087756
AT4G27370.2 ENSMUSP00000154634
AT4G27370.2 ENSMUSP00000080538
AT4G27370.2 ENSMUSP00000099867
AT4G27370.2 ENSMUSP00000126840
AT4G27370.2 ENSMUSP00000127539
AT4G27370.2 ENSMUSP00000090672
AT4G27370.2 ENSMUSP00000131883
AT4G27370.2 ENSMUSP00000104329
AT4G27370.2 ENSMUSP00000007301
AT4G27370.2 ENSMUSP00000137731
AT4G27370.2 ENSMUSP00000104324
AT4G27370.2 ENSMUSP00000080584
AT4G27370.2 ENSMUSP00000018632
AT4G27370.2 ENSMUSP00000127514
AT4G27370.2 ENSMUSP00000018637
AT4G27370.2 ENSMUSP00000075147
AT4G27370.2 ENSMUSP00000117569
AT4G27370.2 ENSMUSP00000019625
AT4G27370.2 ENSMUSP00000129544
AT4G27370.2 ENSMUSP00000018641
AT4G27370.2 ENSMUSP00000103531
AT4G27370.2 ENSMUSP00000147115
AT4G27370.2 ENSMUSP00000103532
AT4G27370.2 ENSMUSP00000046059
AT4G27370.2 ENSMUSP00000018887
AT4G27370.2 ENSMUSP00000090661
AT4G27370.2 ENSMUSP00000099671
AT4G27370.2 ENSMUSP00000016771
AT4G27370.2 ENSMUSP00000155052
AT4G27370.2 ENSMUSP00000156021
AT4G27370.2 ENSMUSP00000087756
AT5G54280.2 ENSMUSP00000154634
AT5G54280.2 ENSMUSP00000080538
AT5G54280.2 ENSMUSP00000099867
AT5G54280.2 ENSMUSP00000126840
AT5G54280.2 ENSMUSP00000127539
AT5G54280.2 ENSMUSP00000090672
AT5G54280.2 ENSMUSP00000131883
AT5G54280.2 ENSMUSP00000104329
AT5G54280.2 ENSMUSP00000007301
AT5G54280.2 ENSMUSP00000137731
AT5G54280.2 ENSMUSP00000104324
AT5G54280.2 ENSMUSP00000080584
AT5G54280.2 ENSMUSP00000018632
AT5G54280.2 ENSMUSP00000127514
AT5G54280.2 ENSMUSP00000018637
AT5G54280.2 ENSMUSP00000075147
AT5G54280.2 ENSMUSP00000117569
AT5G54280.2 ENSMUSP00000019625
AT5G54280.2 ENSMUSP00000129544
AT5G54280.2 ENSMUSP00000018641
AT5G54280.2 ENSMUSP00000103531
AT5G54280.2 ENSMUSP00000147115
AT5G54280.2 ENSMUSP00000103532
AT5G54280.2 ENSMUSP00000046059
AT5G54280.2 ENSMUSP00000018887
AT5G54280.2 ENSMUSP00000090661
AT5G54280.2 ENSMUSP00000099671
AT5G54280.2 ENSMUSP00000016771
AT5G54280.2 ENSMUSP00000155052
AT5G54280.2 ENSMUSP00000156021
AT5G54280.2 ENSMUSP00000087756
AT2G13370.1 ENSMUSP00000126352
AT2G13370.1 ENSMUSP00000134091
AT2G13370.1 ENSMUSP00000024627
AT5G44800.1 ENSMUSP00000145262
AT4G31900.1 ENSMUSP00000145262
AT2G02090.1 ENSMUSP00000031984
AT5G66750.1 ENSMUSP00000025965
AT3G06400.3 ENSMUSP00000076769
AT3G06400.3 ENSMUSP00000135570
AT3G06400.3 ENSMUSP00000114296
AT3G06400.3 ENSMUSP00000086366
AT3G06400.3 ENSMUSP00000099138
AT3G06400.3 ENSMUSP00000044361
AT5G18620.2 ENSMUSP00000076769
AT5G18620.2 ENSMUSP00000135570
AT5G18620.2 ENSMUSP00000114296
AT5G18620.2 ENSMUSP00000086366
AT5G18620.2 ENSMUSP00000099138
AT5G18620.2 ENSMUSP00000044361
AT2G46020.2 ENSMUSP00000133535
AT2G46020.2 ENSMUSP00000096547
AT2G46020.2 ENSMUSP00000097135
AT2G46020.2 ENSMUSP00000135784
AT2G46020.2 ENSMUSP00000025862
AT2G46020.2 ENSMUSP00000135017
AT2G46020.2 ENSMUSP00000034707
AT2G46020.2 ENSMUSP00000133922
AT2G28290.5 ENSMUSP00000133535
AT2G28290.5 ENSMUSP00000096547
AT2G28290.5 ENSMUSP00000097135
AT2G28290.5 ENSMUSP00000135784
AT2G28290.5 ENSMUSP00000025862
AT2G28290.5 ENSMUSP00000135017
AT2G28290.5 ENSMUSP00000034707
AT2G28290.5 ENSMUSP00000133922
AT3G06010.1 ENSMUSP00000133535
AT3G06010.1 ENSMUSP00000096547
AT3G06010.1 ENSMUSP00000097135
AT3G06010.1 ENSMUSP00000135784
AT3G06010.1 ENSMUSP00000025862
AT3G06010.1 ENSMUSP00000135017
AT3G06010.1 ENSMUSP00000034707
AT3G06010.1 ENSMUSP00000133922
AT5G19310.1 ENSMUSP00000133535
AT5G19310.1 ENSMUSP00000096547
AT5G19310.1 ENSMUSP00000097135
AT5G19310.1 ENSMUSP00000135784
AT5G19310.1 ENSMUSP00000025862
AT5G19310.1 ENSMUSP00000135017
AT5G19310.1 ENSMUSP00000034707
AT5G19310.1 ENSMUSP00000133922
AT1G24360.1 ENSMUSP00000034058
AT1G24360.1 ENSMUSP00000133546
AT1G24360.1 ENSMUSP00000038069
AT3G12800.1 ENSMUSP00000027381
AT3G12800.1 ENSMUSP00000045621
AT2G07640.1 ENSMUSP00000027381
AT2G07640.1 ENSMUSP00000045621
AT1G36580.1 ENSMUSP00000147715
AT1G36580.1 ENSMUSP00000147851
AT1G36580.1 ENSMUSP00000103381
AT4G27710.1 ENSMUSP00000112174
AT4G27710.1 ENSMUSP00000092966
AT4G27710.1 ENSMUSP00000129536
AT4G27710.1 ENSMUSP00000157311
AT4G27710.1 ENSMUSP00000008801
AT4G27710.1 ENSMUSP00000129264
AT4G27710.1 ENSMUSP00000136139
AT4G27710.1 ENSMUSP00000157036
AT4G27710.1 ENSMUSP00000157006
AT4G27710.1 ENSMUSP00000050478
AT4G27710.1 ENSMUSP00000003416
AT4G27710.1 ENSMUSP00000131058
AT4G27710.1 ENSMUSP00000076827
AT4G27710.1 ENSMUSP00000123282
AT4G27710.1 ENSMUSP00000074733
AT4G27710.1 ENSMUSP00000157023
AT4G27710.1 ENSMUSP00000129514
AT4G27710.1 ENSMUSP00000003413
AT4G27710.1 ENSMUSP00000003574
AT4G27710.1 ENSMUSP00000148315
AT4G27710.1 ENSMUSP00000059545
AT4G27710.1 ENSMUSP00000102155
AT4G27710.1 ENSMUSP00000139717
AT4G27710.1 ENSMUSP00000092487
AT4G27710.1 ENSMUSP00000081370
AT4G27710.1 ENSMUSP00000140857
AT4G27710.1 ENSMUSP00000030487
AT4G27710.1 ENSMUSP00000099768
AT2G46950.1 ENSMUSP00000112174
AT2G46950.1 ENSMUSP00000092966
AT2G46950.1 ENSMUSP00000129536
AT2G46950.1 ENSMUSP00000157311
AT2G46950.1 ENSMUSP00000008801
AT2G46950.1 ENSMUSP00000129264
AT2G46950.1 ENSMUSP00000136139
AT2G46950.1 ENSMUSP00000157036
AT2G46950.1 ENSMUSP00000157006
AT2G46950.1 ENSMUSP00000050478
AT2G46950.1 ENSMUSP00000003416
AT2G46950.1 ENSMUSP00000131058
AT2G46950.1 ENSMUSP00000076827
AT2G46950.1 ENSMUSP00000123282
AT2G46950.1 ENSMUSP00000074733
AT2G46950.1 ENSMUSP00000157023
AT2G46950.1 ENSMUSP00000129514
AT2G46950.1 ENSMUSP00000003413
AT2G46950.1 ENSMUSP00000003574
AT2G46950.1 ENSMUSP00000148315
AT2G46950.1 ENSMUSP00000059545
AT2G46950.1 ENSMUSP00000102155
AT2G46950.1 ENSMUSP00000139717
AT2G46950.1 ENSMUSP00000092487
AT2G46950.1 ENSMUSP00000081370
AT2G46950.1 ENSMUSP00000140857
AT2G46950.1 ENSMUSP00000030487
AT2G46950.1 ENSMUSP00000099768
AT2G46960.2 ENSMUSP00000112174
AT2G46960.2 ENSMUSP00000092966
AT2G46960.2 ENSMUSP00000129536
AT2G46960.2 ENSMUSP00000157311
AT2G46960.2 ENSMUSP00000008801
AT2G46960.2 ENSMUSP00000129264
AT2G46960.2 ENSMUSP00000136139
AT2G46960.2 ENSMUSP00000157036
AT2G46960.2 ENSMUSP00000157006
AT2G46960.2 ENSMUSP00000050478
AT2G46960.2 ENSMUSP00000003416
AT2G46960.2 ENSMUSP00000131058
AT2G46960.2 ENSMUSP00000076827
AT2G46960.2 ENSMUSP00000123282
AT2G46960.2 ENSMUSP00000074733
AT2G46960.2 ENSMUSP00000157023
AT2G46960.2 ENSMUSP00000129514
AT2G46960.2 ENSMUSP00000003413
AT2G46960.2 ENSMUSP00000003574
AT2G46960.2 ENSMUSP00000148315
AT2G46960.2 ENSMUSP00000059545
AT2G46960.2 ENSMUSP00000102155
AT2G46960.2 ENSMUSP00000139717
AT2G46960.2 ENSMUSP00000092487
AT2G46960.2 ENSMUSP00000081370
AT2G46960.2 ENSMUSP00000140857
AT2G46960.2 ENSMUSP00000030487
AT2G46960.2 ENSMUSP00000099768
AT5G52400.1 ENSMUSP00000112174
AT5G52400.1 ENSMUSP00000092966
AT5G52400.1 ENSMUSP00000129536
AT5G52400.1 ENSMUSP00000157311
AT5G52400.1 ENSMUSP00000008801
AT5G52400.1 ENSMUSP00000129264
AT5G52400.1 ENSMUSP00000136139
AT5G52400.1 ENSMUSP00000157036
AT5G52400.1 ENSMUSP00000157006
AT5G52400.1 ENSMUSP00000050478
AT5G52400.1 ENSMUSP00000003416
AT5G52400.1 ENSMUSP00000131058
AT5G52400.1 ENSMUSP00000076827
AT5G52400.1 ENSMUSP00000123282
AT5G52400.1 ENSMUSP00000074733
AT5G52400.1 ENSMUSP00000157023
AT5G52400.1 ENSMUSP00000129514
AT5G52400.1 ENSMUSP00000003413
AT5G52400.1 ENSMUSP00000003574
AT5G52400.1 ENSMUSP00000148315
AT5G52400.1 ENSMUSP00000059545
AT5G52400.1 ENSMUSP00000102155
AT5G52400.1 ENSMUSP00000139717
AT5G52400.1 ENSMUSP00000092487
AT5G52400.1 ENSMUSP00000081370
AT5G52400.1 ENSMUSP00000140857
AT5G52400.1 ENSMUSP00000030487
AT5G52400.1 ENSMUSP00000099768
AT5G38450.1 ENSMUSP00000112174
AT5G38450.1 ENSMUSP00000092966
AT5G38450.1 ENSMUSP00000129536
AT5G38450.1 ENSMUSP00000157311
AT5G38450.1 ENSMUSP00000008801
AT5G38450.1 ENSMUSP00000129264
AT5G38450.1 ENSMUSP00000136139
AT5G38450.1 ENSMUSP00000157036
AT5G38450.1 ENSMUSP00000157006
AT5G38450.1 ENSMUSP00000050478
AT5G38450.1 ENSMUSP00000003416
AT5G38450.1 ENSMUSP00000131058
AT5G38450.1 ENSMUSP00000076827
AT5G38450.1 ENSMUSP00000123282
AT5G38450.1 ENSMUSP00000074733
AT5G38450.1 ENSMUSP00000157023
AT5G38450.1 ENSMUSP00000129514
AT5G38450.1 ENSMUSP00000003413
AT5G38450.1 ENSMUSP00000003574
AT5G38450.1 ENSMUSP00000148315
AT5G38450.1 ENSMUSP00000059545
AT5G38450.1 ENSMUSP00000102155
AT5G38450.1 ENSMUSP00000139717
AT5G38450.1 ENSMUSP00000092487
AT5G38450.1 ENSMUSP00000081370
AT5G38450.1 ENSMUSP00000140857
AT5G38450.1 ENSMUSP00000030487
AT5G38450.1 ENSMUSP00000099768
AT1G67110.1 ENSMUSP00000112174
AT1G67110.1 ENSMUSP00000092966
AT1G67110.1 ENSMUSP00000129536
AT1G67110.1 ENSMUSP00000157311
AT1G67110.1 ENSMUSP00000008801
AT1G67110.1 ENSMUSP00000129264
AT1G67110.1 ENSMUSP00000136139
AT1G67110.1 ENSMUSP00000157036
AT1G67110.1 ENSMUSP00000157006
AT1G67110.1 ENSMUSP00000050478
AT1G67110.1 ENSMUSP00000003416
AT1G67110.1 ENSMUSP00000131058
AT1G67110.1 ENSMUSP00000076827
AT1G67110.1 ENSMUSP00000123282
AT1G67110.1 ENSMUSP00000074733
AT1G67110.1 ENSMUSP00000157023
AT1G67110.1 ENSMUSP00000129514
AT1G67110.1 ENSMUSP00000003413
AT1G67110.1 ENSMUSP00000003574
AT1G67110.1 ENSMUSP00000148315
AT1G67110.1 ENSMUSP00000059545
AT1G67110.1 ENSMUSP00000102155
AT1G67110.1 ENSMUSP00000139717
AT1G67110.1 ENSMUSP00000092487
AT1G67110.1 ENSMUSP00000081370
AT1G67110.1 ENSMUSP00000140857
AT1G67110.1 ENSMUSP00000030487
AT1G67110.1 ENSMUSP00000099768
AT1G75130.1 ENSMUSP00000112174
AT1G75130.1 ENSMUSP00000092966
AT1G75130.1 ENSMUSP00000129536
AT1G75130.1 ENSMUSP00000157311
AT1G75130.1 ENSMUSP00000008801
AT1G75130.1 ENSMUSP00000129264
AT1G75130.1 ENSMUSP00000136139
AT1G75130.1 ENSMUSP00000157036
AT1G75130.1 ENSMUSP00000157006
AT1G75130.1 ENSMUSP00000050478
AT1G75130.1 ENSMUSP00000003416
AT1G75130.1 ENSMUSP00000131058
AT1G75130.1 ENSMUSP00000076827
AT1G75130.1 ENSMUSP00000123282
AT1G75130.1 ENSMUSP00000074733
AT1G75130.1 ENSMUSP00000157023
AT1G75130.1 ENSMUSP00000129514
AT1G75130.1 ENSMUSP00000003413
AT1G75130.1 ENSMUSP00000003574
AT1G75130.1 ENSMUSP00000148315
AT1G75130.1 ENSMUSP00000059545
AT1G75130.1 ENSMUSP00000102155
AT1G75130.1 ENSMUSP00000139717
AT1G75130.1 ENSMUSP00000092487
AT1G75130.1 ENSMUSP00000081370
AT1G75130.1 ENSMUSP00000140857
AT1G75130.1 ENSMUSP00000030487
AT1G75130.1 ENSMUSP00000099768
AT2G26710.1 ENSMUSP00000112174
AT2G26710.1 ENSMUSP00000092966
AT2G26710.1 ENSMUSP00000129536
AT2G26710.1 ENSMUSP00000157311
AT2G26710.1 ENSMUSP00000008801
AT2G26710.1 ENSMUSP00000129264
AT2G26710.1 ENSMUSP00000136139
AT2G26710.1 ENSMUSP00000157036
AT2G26710.1 ENSMUSP00000157006
AT2G26710.1 ENSMUSP00000050478
AT2G26710.1 ENSMUSP00000003416
AT2G26710.1 ENSMUSP00000131058
AT2G26710.1 ENSMUSP00000076827
AT2G26710.1 ENSMUSP00000123282
AT2G26710.1 ENSMUSP00000074733
AT2G26710.1 ENSMUSP00000157023
AT2G26710.1 ENSMUSP00000129514
AT2G26710.1 ENSMUSP00000003413
AT2G26710.1 ENSMUSP00000003574
AT2G26710.1 ENSMUSP00000148315
AT2G26710.1 ENSMUSP00000059545
AT2G26710.1 ENSMUSP00000102155
AT2G26710.1 ENSMUSP00000139717
AT2G26710.1 ENSMUSP00000092487
AT2G26710.1 ENSMUSP00000081370
AT2G26710.1 ENSMUSP00000140857
AT2G26710.1 ENSMUSP00000030487
AT2G26710.1 ENSMUSP00000099768
AT3G14630.2 ENSMUSP00000112174
AT3G14630.2 ENSMUSP00000092966
AT3G14630.2 ENSMUSP00000129536
AT3G14630.2 ENSMUSP00000157311
AT3G14630.2 ENSMUSP00000008801
AT3G14630.2 ENSMUSP00000129264
AT3G14630.2 ENSMUSP00000136139
AT3G14630.2 ENSMUSP00000157036
AT3G14630.2 ENSMUSP00000157006
AT3G14630.2 ENSMUSP00000050478
AT3G14630.2 ENSMUSP00000003416
AT3G14630.2 ENSMUSP00000131058
AT3G14630.2 ENSMUSP00000076827
AT3G14630.2 ENSMUSP00000123282
AT3G14630.2 ENSMUSP00000074733
AT3G14630.2 ENSMUSP00000157023
AT3G14630.2 ENSMUSP00000129514
AT3G14630.2 ENSMUSP00000003413
AT3G14630.2 ENSMUSP00000003574
AT3G14630.2 ENSMUSP00000148315
AT3G14630.2 ENSMUSP00000059545
AT3G14630.2 ENSMUSP00000102155
AT3G14630.2 ENSMUSP00000139717
AT3G14630.2 ENSMUSP00000092487
AT3G14630.2 ENSMUSP00000081370
AT3G14630.2 ENSMUSP00000140857
AT3G14630.2 ENSMUSP00000030487
AT3G14630.2 ENSMUSP00000099768
AT3G14690.2 ENSMUSP00000112174
AT3G14690.2 ENSMUSP00000092966
AT3G14690.2 ENSMUSP00000129536
AT3G14690.2 ENSMUSP00000157311
AT3G14690.2 ENSMUSP00000008801
AT3G14690.2 ENSMUSP00000129264
AT3G14690.2 ENSMUSP00000136139
AT3G14690.2 ENSMUSP00000157036
AT3G14690.2 ENSMUSP00000157006
AT3G14690.2 ENSMUSP00000050478
AT3G14690.2 ENSMUSP00000003416
AT3G14690.2 ENSMUSP00000131058
AT3G14690.2 ENSMUSP00000076827
AT3G14690.2 ENSMUSP00000123282
AT3G14690.2 ENSMUSP00000074733
AT3G14690.2 ENSMUSP00000157023
AT3G14690.2 ENSMUSP00000129514
AT3G14690.2 ENSMUSP00000003413
AT3G14690.2 ENSMUSP00000003574
AT3G14690.2 ENSMUSP00000148315
AT3G14690.2 ENSMUSP00000059545
AT3G14690.2 ENSMUSP00000102155
AT3G14690.2 ENSMUSP00000139717
AT3G14690.2 ENSMUSP00000092487
AT3G14690.2 ENSMUSP00000081370
AT3G14690.2 ENSMUSP00000140857
AT3G14690.2 ENSMUSP00000030487
AT3G14690.2 ENSMUSP00000099768
AT3G14660.1 ENSMUSP00000112174
AT3G14660.1 ENSMUSP00000092966
AT3G14660.1 ENSMUSP00000129536
AT3G14660.1 ENSMUSP00000157311
AT3G14660.1 ENSMUSP00000008801
AT3G14660.1 ENSMUSP00000129264
AT3G14660.1 ENSMUSP00000136139
AT3G14660.1 ENSMUSP00000157036
AT3G14660.1 ENSMUSP00000157006
AT3G14660.1 ENSMUSP00000050478
AT3G14660.1 ENSMUSP00000003416
AT3G14660.1 ENSMUSP00000131058
AT3G14660.1 ENSMUSP00000076827
AT3G14660.1 ENSMUSP00000123282
AT3G14660.1 ENSMUSP00000074733
AT3G14660.1 ENSMUSP00000157023
AT3G14660.1 ENSMUSP00000129514
AT3G14660.1 ENSMUSP00000003413
AT3G14660.1 ENSMUSP00000003574
AT3G14660.1 ENSMUSP00000148315
AT3G14660.1 ENSMUSP00000059545
AT3G14660.1 ENSMUSP00000102155
AT3G14660.1 ENSMUSP00000139717
AT3G14660.1 ENSMUSP00000092487
AT3G14660.1 ENSMUSP00000081370
AT3G14660.1 ENSMUSP00000140857
AT3G14660.1 ENSMUSP00000030487
AT3G14660.1 ENSMUSP00000099768
AT3G14650.1 ENSMUSP00000112174
AT3G14650.1 ENSMUSP00000092966
AT3G14650.1 ENSMUSP00000129536
AT3G14650.1 ENSMUSP00000157311
AT3G14650.1 ENSMUSP00000008801
AT3G14650.1 ENSMUSP00000129264
AT3G14650.1 ENSMUSP00000136139
AT3G14650.1 ENSMUSP00000157036
AT3G14650.1 ENSMUSP00000157006
AT3G14650.1 ENSMUSP00000050478
AT3G14650.1 ENSMUSP00000003416
AT3G14650.1 ENSMUSP00000131058
AT3G14650.1 ENSMUSP00000076827
AT3G14650.1 ENSMUSP00000123282
AT3G14650.1 ENSMUSP00000074733
AT3G14650.1 ENSMUSP00000157023
AT3G14650.1 ENSMUSP00000129514
AT3G14650.1 ENSMUSP00000003413
AT3G14650.1 ENSMUSP00000003574
AT3G14650.1 ENSMUSP00000148315
AT3G14650.1 ENSMUSP00000059545
AT3G14650.1 ENSMUSP00000102155
AT3G14650.1 ENSMUSP00000139717
AT3G14650.1 ENSMUSP00000092487
AT3G14650.1 ENSMUSP00000081370
AT3G14650.1 ENSMUSP00000140857
AT3G14650.1 ENSMUSP00000030487
AT3G14650.1 ENSMUSP00000099768
AT3G14680.1 ENSMUSP00000112174
AT3G14680.1 ENSMUSP00000092966
AT3G14680.1 ENSMUSP00000129536
AT3G14680.1 ENSMUSP00000157311
AT3G14680.1 ENSMUSP00000008801
AT3G14680.1 ENSMUSP00000129264
AT3G14680.1 ENSMUSP00000136139
AT3G14680.1 ENSMUSP00000157036
AT3G14680.1 ENSMUSP00000157006
AT3G14680.1 ENSMUSP00000050478
AT3G14680.1 ENSMUSP00000003416
AT3G14680.1 ENSMUSP00000131058
AT3G14680.1 ENSMUSP00000076827
AT3G14680.1 ENSMUSP00000123282
AT3G14680.1 ENSMUSP00000074733
AT3G14680.1 ENSMUSP00000157023
AT3G14680.1 ENSMUSP00000129514
AT3G14680.1 ENSMUSP00000003413
AT3G14680.1 ENSMUSP00000003574
AT3G14680.1 ENSMUSP00000148315
AT3G14680.1 ENSMUSP00000059545
AT3G14680.1 ENSMUSP00000102155
AT3G14680.1 ENSMUSP00000139717
AT3G14680.1 ENSMUSP00000092487
AT3G14680.1 ENSMUSP00000081370
AT3G14680.1 ENSMUSP00000140857
AT3G14680.1 ENSMUSP00000030487
AT3G14680.1 ENSMUSP00000099768
AT3G14640.2 ENSMUSP00000112174
AT3G14640.2 ENSMUSP00000092966
AT3G14640.2 ENSMUSP00000129536
AT3G14640.2 ENSMUSP00000157311
AT3G14640.2 ENSMUSP00000008801
AT3G14640.2 ENSMUSP00000129264
AT3G14640.2 ENSMUSP00000136139
AT3G14640.2 ENSMUSP00000157036
