FBpp0074936 YGL171W_mRNA
FBpp0293608 YNL154C_mRNA
FBpp0293608 YHR135C_mRNA
FBpp0290519 YNL154C_mRNA
FBpp0290519 YHR135C_mRNA
FBpp0099738 YNL154C_mRNA
FBpp0099738 YHR135C_mRNA
FBpp0099737 YNL154C_mRNA
FBpp0099737 YHR135C_mRNA
FBpp0082719 YNL154C_mRNA
FBpp0082719 YHR135C_mRNA
FBpp0082717 YNL154C_mRNA
FBpp0082717 YHR135C_mRNA
FBpp0085106 YPL204W_mRNA
FBpp0085105 YPL204W_mRNA
FBpp0422974 YPL204W_mRNA
FBpp0306615 YPL204W_mRNA
FBpp0085104 YPL204W_mRNA
FBpp0311373 YPL204W_mRNA
FBpp0309354 YPL204W_mRNA
FBpp0073515 YPL204W_mRNA
FBpp0073513 YPL204W_mRNA
FBpp0289609 YPL204W_mRNA
FBpp0311372 YPL204W_mRNA
FBpp0076820 YMR104C_mRNA
FBpp0076820 YKL126W_mRNA
FBpp0305462 YMR104C_mRNA
FBpp0305462 YKL126W_mRNA
FBpp0082682 YMR104C_mRNA
FBpp0082682 YKL126W_mRNA
FBpp0082681 YMR104C_mRNA
FBpp0082681 YKL126W_mRNA
FBpp0082680 YMR104C_mRNA
FBpp0082680 YKL126W_mRNA
FBpp0310841 YMR104C_mRNA
FBpp0310841 YKL126W_mRNA
FBpp0311050 YMR104C_mRNA
FBpp0311050 YKL126W_mRNA
FBpp0312051 YOR246C_mRNA
FBpp0083009 YOR246C_mRNA
FBpp0087997 YOR246C_mRNA
FBpp0087996 YOR246C_mRNA
FBpp0307930 YOR246C_mRNA
FBpp0087994 YOR246C_mRNA
FBpp0307928 YOR246C_mRNA
FBpp0087993 YOR246C_mRNA
FBpp0307927 YOR246C_mRNA
FBpp0087995 YOR246C_mRNA
FBpp0307929 YOR246C_mRNA
FBpp0303811 YOR246C_mRNA
FBpp0303812 YOR246C_mRNA
FBpp0070869 YOR246C_mRNA
FBpp0070868 YOR246C_mRNA
FBpp0310903 YOR246C_mRNA
FBpp0083003 YOR246C_mRNA
FBpp0310904 YOR246C_mRNA
FBpp0083004 YOR246C_mRNA
FBpp0083002 YOR246C_mRNA
FBpp0310039 YOR246C_mRNA
FBpp0079172 YOR246C_mRNA
FBpp0086694 YEL030W_mRNA
FBpp0086694 YJR045C_mRNA
FBpp0308990 YEL030W_mRNA
FBpp0308990 YJR045C_mRNA
FBpp0311376 YJL034W_mRNA
FBpp0073448 YJL034W_mRNA
FBpp0073445 YJL034W_mRNA
FBpp0073446 YJL034W_mRNA
FBpp0073447 YJL034W_mRNA
FBpp0081956 YLL024C_mRNA
FBpp0081956 YAL005C_mRNA
FBpp0081956 YER103W_mRNA
FBpp0081956 YBL075C_mRNA
FBpp0081986 YLL024C_mRNA
FBpp0081986 YAL005C_mRNA
FBpp0081986 YER103W_mRNA
FBpp0081986 YBL075C_mRNA
FBpp0082147 YLL024C_mRNA
FBpp0082147 YAL005C_mRNA
FBpp0082147 YER103W_mRNA
FBpp0082147 YBL075C_mRNA
FBpp0082105 YLL024C_mRNA
FBpp0082105 YAL005C_mRNA
FBpp0082105 YER103W_mRNA
FBpp0082105 YBL075C_mRNA
FBpp0082106 YLL024C_mRNA
FBpp0082106 YAL005C_mRNA
FBpp0082106 YER103W_mRNA
FBpp0082106 YBL075C_mRNA
FBpp0082107 YLL024C_mRNA
FBpp0082107 YAL005C_mRNA
FBpp0082107 YER103W_mRNA
FBpp0082107 YBL075C_mRNA
FBpp0083974 YLL024C_mRNA
FBpp0083974 YAL005C_mRNA
FBpp0083974 YER103W_mRNA
FBpp0083974 YBL075C_mRNA
FBpp0082175 YLL024C_mRNA
FBpp0082175 YAL005C_mRNA
FBpp0082175 YER103W_mRNA
FBpp0082175 YBL075C_mRNA
FBpp0075504 YLL024C_mRNA
FBpp0075504 YAL005C_mRNA
FBpp0075504 YER103W_mRNA
FBpp0075504 YBL075C_mRNA
FBpp0075503 YLL024C_mRNA
FBpp0075503 YAL005C_mRNA
FBpp0075503 YER103W_mRNA
FBpp0075503 YBL075C_mRNA
FBpp0075505 YLL024C_mRNA
FBpp0075505 YAL005C_mRNA
FBpp0075505 YER103W_mRNA
FBpp0075505 YBL075C_mRNA
FBpp0307982 YLL024C_mRNA
FBpp0307982 YAL005C_mRNA
FBpp0307982 YER103W_mRNA
FBpp0307982 YBL075C_mRNA
FBpp0082518 YLL024C_mRNA
FBpp0082518 YAL005C_mRNA
FBpp0082518 YER103W_mRNA
FBpp0082518 YBL075C_mRNA
FBpp0082519 YLL024C_mRNA
FBpp0082519 YAL005C_mRNA
FBpp0082519 YER103W_mRNA
FBpp0082519 YBL075C_mRNA
FBpp0082517 YLL024C_mRNA
FBpp0082517 YAL005C_mRNA
FBpp0082517 YER103W_mRNA
FBpp0082517 YBL075C_mRNA
FBpp0082516 YLL024C_mRNA
FBpp0082516 YAL005C_mRNA
FBpp0082516 YER103W_mRNA
FBpp0082516 YBL075C_mRNA
FBpp0082515 YLL024C_mRNA
FBpp0082515 YAL005C_mRNA
FBpp0082515 YER103W_mRNA
FBpp0082515 YBL075C_mRNA
FBpp0082514 YLL024C_mRNA
FBpp0082514 YAL005C_mRNA
FBpp0082514 YER103W_mRNA
FBpp0082514 YBL075C_mRNA
FBpp0070468 YCR011C_mRNA
FBpp0308632 YCR011C_mRNA
FBpp0088917 YCR011C_mRNA
FBpp0308631 YCR011C_mRNA
FBpp0084089 YOL075C_mRNA
FBpp0294026 YOL075C_mRNA
FBpp0077292 YOL075C_mRNA
FBpp0077294 YOL075C_mRNA
FBpp0077293 YOL075C_mRNA
FBpp0099714 YOL075C_mRNA
FBpp0099715 YOL075C_mRNA
FBpp0303496 YOL075C_mRNA
FBpp0077817 YOL075C_mRNA
FBpp0099713 YOL075C_mRNA
FBpp0099712 YOL075C_mRNA
FBpp0077816 YOL075C_mRNA
FBpp0077815 YOL075C_mRNA
FBpp0077814 YOL075C_mRNA
FBpp0077554 YOL075C_mRNA
FBpp0077553 YOL075C_mRNA
FBpp0077291 YOL075C_mRNA
FBpp0111812 YOL075C_mRNA
FBpp0077116 YOL075C_mRNA
FBpp0077117 YOL075C_mRNA
FBpp0111811 YOL075C_mRNA
FBpp0077390 YOL075C_mRNA
FBpp0077392 YOL075C_mRNA
FBpp0306277 YOL075C_mRNA
FBpp0306276 YOL075C_mRNA
FBpp0306275 YOL075C_mRNA
FBpp0306278 YOL075C_mRNA
FBpp0077391 YOL075C_mRNA
FBpp0077389 YOL075C_mRNA
FBpp0099791 YOL075C_mRNA
FBpp0077813 YOL075C_mRNA
FBpp0089109 YOL075C_mRNA
FBpp0077812 YOL075C_mRNA
FBpp0079489 YOL075C_mRNA
FBpp0311684 YOL075C_mRNA
FBpp0304025 YOL075C_mRNA
FBpp0289039 YAL026C_mRNA
FBpp0289032 YAL026C_mRNA
FBpp0289038 YAL026C_mRNA
FBpp0289036 YAL026C_mRNA
FBpp0289037 YAL026C_mRNA
FBpp0289042 YAL026C_mRNA
FBpp0289034 YAL026C_mRNA
FBpp0289041 YAL026C_mRNA
FBpp0289040 YAL026C_mRNA
FBpp0289043 YAL026C_mRNA
FBpp0289035 YAL026C_mRNA
FBpp0289033 YAL026C_mRNA
FBpp0297637 YAL026C_mRNA
FBpp0292219 YAL026C_mRNA
FBpp0088795 YDR093W_mRNA
FBpp0088795 YER166W_mRNA
FBpp0290286 YDR093W_mRNA
FBpp0290286 YER166W_mRNA
FBpp0290287 YDR093W_mRNA
FBpp0290287 YER166W_mRNA
FBpp0088794 YDR093W_mRNA
FBpp0088794 YER166W_mRNA
FBpp0091073 YBR010W_mRNA
FBpp0091073 YNL031C_mRNA
FBpp0091070 YBR010W_mRNA
FBpp0091070 YNL031C_mRNA
FBpp0091058 YBR010W_mRNA
FBpp0091058 YNL031C_mRNA
FBpp0091056 YBR010W_mRNA
FBpp0091056 YNL031C_mRNA
FBpp0085250 YBR010W_mRNA
FBpp0085250 YNL031C_mRNA
FBpp0091067 YBR010W_mRNA
FBpp0091067 YNL031C_mRNA
FBpp0091061 YBR010W_mRNA
FBpp0091061 YNL031C_mRNA
FBpp0091094 YBR010W_mRNA
FBpp0091094 YNL031C_mRNA
FBpp0091088 YBR010W_mRNA
FBpp0091088 YNL031C_mRNA
FBpp0091085 YBR010W_mRNA
FBpp0091085 YNL031C_mRNA
FBpp0091082 YBR010W_mRNA
FBpp0091082 YNL031C_mRNA
FBpp0091103 YBR010W_mRNA
FBpp0091103 YNL031C_mRNA
FBpp0091106 YBR010W_mRNA
FBpp0091106 YNL031C_mRNA
FBpp0091100 YBR010W_mRNA
FBpp0091100 YNL031C_mRNA
FBpp0091112 YBR010W_mRNA
FBpp0091112 YNL031C_mRNA
FBpp0091109 YBR010W_mRNA
FBpp0091109 YNL031C_mRNA
FBpp0091097 YBR010W_mRNA
FBpp0091097 YNL031C_mRNA
FBpp0091079 YBR010W_mRNA
FBpp0091079 YNL031C_mRNA
FBpp0091091 YBR010W_mRNA
FBpp0091091 YNL031C_mRNA
FBpp0091064 YBR010W_mRNA
FBpp0091064 YNL031C_mRNA
FBpp0091053 YBR010W_mRNA
FBpp0091053 YNL031C_mRNA
FBpp0091051 YBR010W_mRNA
FBpp0091051 YNL031C_mRNA
FBpp0091076 YBR010W_mRNA
FBpp0091076 YNL031C_mRNA
FBpp0071280 YBR010W_mRNA
FBpp0071280 YNL031C_mRNA
FBpp0071282 YBR010W_mRNA
FBpp0071282 YNL031C_mRNA
FBpp0078649 YBR010W_mRNA
FBpp0078649 YNL031C_mRNA
FBpp0305717 YBR010W_mRNA
FBpp0305717 YNL031C_mRNA
FBpp0305716 YBR010W_mRNA
FBpp0305716 YNL031C_mRNA
FBpp0309302 YBR010W_mRNA
FBpp0309302 YNL031C_mRNA
FBpp0071281 YBR010W_mRNA
FBpp0071281 YNL031C_mRNA
FBpp0292726 YER125W_mRNA
FBpp0305179 YER125W_mRNA
FBpp0292725 YER125W_mRNA
FBpp0292727 YER125W_mRNA
FBpp0305371 YER125W_mRNA
FBpp0086011 YER125W_mRNA
FBpp0077496 YER125W_mRNA
FBpp0077495 YER125W_mRNA
FBpp0077497 YER125W_mRNA
FBpp0308612 YER125W_mRNA
FBpp0306832 YER125W_mRNA
FBpp0289747 YER125W_mRNA
FBpp0288921 YER125W_mRNA
FBpp0289746 YER125W_mRNA
FBpp0304227 YER125W_mRNA
FBpp0288923 YER125W_mRNA
FBpp0288920 YER125W_mRNA
FBpp0288922 YER125W_mRNA
FBpp0304228 YER125W_mRNA
FBpp0288917 YER125W_mRNA
FBpp0091127 YDR224C_mRNA
FBpp0091127 YBL002W_mRNA
FBpp0091123 YDR224C_mRNA
FBpp0091123 YBL002W_mRNA
FBpp0085281 YDR224C_mRNA
FBpp0085281 YBL002W_mRNA
FBpp0091119 YDR224C_mRNA
FBpp0091119 YBL002W_mRNA
FBpp0091121 YDR224C_mRNA
FBpp0091121 YBL002W_mRNA
FBpp0091149 YDR224C_mRNA
FBpp0091149 YBL002W_mRNA
FBpp0091155 YDR224C_mRNA
FBpp0091155 YBL002W_mRNA
FBpp0091153 YDR224C_mRNA
FBpp0091153 YBL002W_mRNA
FBpp0091133 YDR224C_mRNA
FBpp0091133 YBL002W_mRNA
FBpp0091135 YDR224C_mRNA
FBpp0091135 YBL002W_mRNA
FBpp0091129 YDR224C_mRNA
FBpp0091129 YBL002W_mRNA
FBpp0091131 YDR224C_mRNA
FBpp0091131 YBL002W_mRNA
FBpp0091151 YDR224C_mRNA
FBpp0091151 YBL002W_mRNA
FBpp0091137 YDR224C_mRNA
FBpp0091137 YBL002W_mRNA
FBpp0091141 YDR224C_mRNA
FBpp0091141 YBL002W_mRNA
FBpp0091139 YDR224C_mRNA
FBpp0091139 YBL002W_mRNA
FBpp0091145 YDR224C_mRNA
FBpp0091145 YBL002W_mRNA
FBpp0091143 YDR224C_mRNA
FBpp0091143 YBL002W_mRNA
FBpp0091147 YDR224C_mRNA
FBpp0091147 YBL002W_mRNA
FBpp0091125 YDR224C_mRNA
FBpp0091125 YBL002W_mRNA
FBpp0091117 YDR224C_mRNA
FBpp0091117 YBL002W_mRNA
FBpp0091115 YDR224C_mRNA
FBpp0091115 YBL002W_mRNA
FBpp0091113 YDR224C_mRNA
FBpp0091113 YBL002W_mRNA
FBpp0099848 YMR246W_mRNA
FBpp0099848 YIL009W_mRNA
FBpp0099848 YOR317W_mRNA
FBpp0087781 YMR246W_mRNA
FBpp0087781 YIL009W_mRNA
FBpp0087781 YOR317W_mRNA
FBpp0099850 YMR246W_mRNA
FBpp0099850 YIL009W_mRNA
FBpp0099850 YOR317W_mRNA
FBpp0099847 YMR246W_mRNA
FBpp0099847 YIL009W_mRNA
FBpp0099847 YOR317W_mRNA
FBpp0087779 YMR246W_mRNA
FBpp0087779 YIL009W_mRNA
FBpp0087779 YOR317W_mRNA
FBpp0087780 YMR246W_mRNA
FBpp0087780 YIL009W_mRNA
FBpp0087780 YOR317W_mRNA
FBpp0099849 YMR246W_mRNA
FBpp0099849 YIL009W_mRNA
FBpp0099849 YOR317W_mRNA
FBpp0099846 YMR246W_mRNA
FBpp0099846 YIL009W_mRNA
FBpp0099846 YOR317W_mRNA
FBpp0099845 YMR246W_mRNA
FBpp0099845 YIL009W_mRNA
FBpp0099845 YOR317W_mRNA
FBpp0305216 YMR246W_mRNA
FBpp0305216 YIL009W_mRNA
FBpp0305216 YOR317W_mRNA
FBpp0074845 YER015W_mRNA
FBpp0074844 YER015W_mRNA
FBpp0305861 YER015W_mRNA
FBpp0291528 YER015W_mRNA
FBpp0305852 YDL137W_mRNA
FBpp0305852 YDL192W_mRNA
FBpp0088256 YDL137W_mRNA
FBpp0088256 YDL192W_mRNA
FBpp0289184 YDL137W_mRNA
FBpp0289184 YDL192W_mRNA
FBpp0078222 YDL137W_mRNA
FBpp0078222 YDL192W_mRNA
FBpp0078225 YDL137W_mRNA
FBpp0078225 YDL192W_mRNA
FBpp0078226 YDL137W_mRNA
FBpp0078226 YDL192W_mRNA
FBpp0078224 YDL137W_mRNA
FBpp0078224 YDL192W_mRNA
FBpp0304364 YDL137W_mRNA
FBpp0304364 YDL192W_mRNA
FBpp0111771 YDL137W_mRNA
FBpp0111771 YDL192W_mRNA
FBpp0289185 YDL137W_mRNA
FBpp0289185 YDL192W_mRNA
FBpp0075272 YBR164C_mRNA
FBpp0081328 YMR138W_mRNA
FBpp0305833 YOR094W_mRNA
FBpp0300568 YOR094W_mRNA
FBpp0088220 YOR094W_mRNA
FBpp0309075 YHR129C_mRNA
FBpp0082121 YHR129C_mRNA
FBpp0306215 YFL039C_mRNA
FBpp0078131 YFL039C_mRNA
FBpp0082597 YFL039C_mRNA
FBpp0082254 YFL039C_mRNA
FBpp0082253 YFL039C_mRNA
FBpp0312019 YFL039C_mRNA
FBpp0071448 YFL039C_mRNA
FBpp0070788 YFL039C_mRNA
FBpp0070787 YFL039C_mRNA
FBpp0311818 YFL039C_mRNA
FBpp0100125 YFL039C_mRNA
FBpp0100124 YFL039C_mRNA
FBpp0085365 YFL039C_mRNA
FBpp0297935 YGR281W_mRNA
FBpp0079228 YGR281W_mRNA
FBpp0297173 YGR281W_mRNA
FBpp0080682 YGR281W_mRNA
FBpp0312572 YLL015W_mRNA
FBpp0312572 YDR135C_mRNA
FBpp0089065 YLL015W_mRNA
FBpp0089065 YDR135C_mRNA
FBpp0089059 YLL015W_mRNA
FBpp0089059 YDR135C_mRNA
FBpp0089061 YLL015W_mRNA
FBpp0089061 YDR135C_mRNA
FBpp0089066 YLL015W_mRNA
FBpp0089066 YDR135C_mRNA
FBpp0089060 YLL015W_mRNA
FBpp0089060 YDR135C_mRNA
FBpp0089069 YLL015W_mRNA
FBpp0089069 YDR135C_mRNA
FBpp0089058 YLL015W_mRNA
FBpp0089058 YDR135C_mRNA
FBpp0089057 YLL015W_mRNA
FBpp0089057 YDR135C_mRNA
FBpp0089056 YLL015W_mRNA
FBpp0089056 YDR135C_mRNA
FBpp0089070 YLL015W_mRNA
FBpp0089070 YDR135C_mRNA
FBpp0089064 YLL015W_mRNA
FBpp0089064 YDR135C_mRNA
FBpp0089062 YLL015W_mRNA
FBpp0089062 YDR135C_mRNA
FBpp0089067 YLL015W_mRNA
FBpp0089067 YDR135C_mRNA
FBpp0089071 YLL015W_mRNA
FBpp0089071 YDR135C_mRNA
FBpp0089072 YLL015W_mRNA
FBpp0089072 YDR135C_mRNA
FBpp0089063 YLL015W_mRNA
FBpp0089063 YDR135C_mRNA
FBpp0089068 YLL015W_mRNA
FBpp0089068 YDR135C_mRNA
FBpp0079220 YLL048C_mRNA
FBpp0079220 YHL035C_mRNA
FBpp0087240 YLL053C_mRNA
FBpp0087240 YPR192W_mRNA
FBpp0087240 YLL052C_mRNA
FBpp0087241 YLL053C_mRNA
FBpp0087241 YPR192W_mRNA
FBpp0087241 YLL052C_mRNA
FBpp0303807 YLL053C_mRNA
FBpp0303807 YPR192W_mRNA
FBpp0303807 YLL052C_mRNA
FBpp0303805 YLL053C_mRNA
FBpp0303805 YPR192W_mRNA
FBpp0303805 YLL052C_mRNA
FBpp0303806 YLL053C_mRNA
FBpp0303806 YPR192W_mRNA
FBpp0303806 YLL052C_mRNA
FBpp0303808 YLL053C_mRNA
FBpp0303808 YPR192W_mRNA
FBpp0303808 YLL052C_mRNA
FBpp0308570 YLL053C_mRNA
FBpp0308570 YPR192W_mRNA
FBpp0308570 YLL052C_mRNA
FBpp0087236 YLL053C_mRNA
FBpp0087236 YPR192W_mRNA
FBpp0087236 YLL052C_mRNA
FBpp0087235 YLL053C_mRNA
FBpp0087235 YPR192W_mRNA
FBpp0087235 YLL052C_mRNA
FBpp0308627 YLL053C_mRNA
FBpp0308627 YPR192W_mRNA
FBpp0308627 YLL052C_mRNA
FBpp0293611 YLL053C_mRNA
FBpp0293611 YPR192W_mRNA
FBpp0293611 YLL052C_mRNA
FBpp0297290 YLL053C_mRNA
FBpp0297290 YPR192W_mRNA
FBpp0297290 YLL052C_mRNA
FBpp0309069 YPR161C_mRNA
FBpp0086250 YPR161C_mRNA
FBpp0086251 YPR161C_mRNA
FBpp0311495 YPR161C_mRNA
FBpp0086249 YPR161C_mRNA
FBpp0087515 YPR161C_mRNA
FBpp0293474 YPR161C_mRNA
FBpp0293475 YPR161C_mRNA
FBpp0303913 YPR161C_mRNA
FBpp0077908 YPR161C_mRNA
FBpp0077905 YPR161C_mRNA
FBpp0289675 YBR160W_mRNA
FBpp0083330 YBR160W_mRNA
FBpp0083329 YBR160W_mRNA
FBpp0087532 YBR182C_mRNA
FBpp0303551 YBR182C_mRNA
FBpp0087530 YBR182C_mRNA
FBpp0087531 YBR182C_mRNA
FBpp0087529 YBR182C_mRNA
FBpp0089303 YBR182C_mRNA
FBpp0303550 YBR182C_mRNA
FBpp0073717 YKR086W_mRNA
FBpp0073718 YKR086W_mRNA
FBpp0307849 YGL120C_mRNA
FBpp0088040 YGL120C_mRNA
FBpp0086647 YER013W_mRNA
FBpp0080706 YNR011C_mRNA
FBpp0075868 YBR149W_mRNA
FBpp0075868 YOR120W_mRNA
FBpp0075868 YDR368W_mRNA
FBpp0075868 YHR104W_mRNA
FBpp0075869 YBR149W_mRNA
FBpp0075869 YOR120W_mRNA
FBpp0075869 YDR368W_mRNA
FBpp0075869 YHR104W_mRNA
FBpp0303936 YBR149W_mRNA
FBpp0303936 YOR120W_mRNA
FBpp0303936 YDR368W_mRNA
FBpp0303936 YHR104W_mRNA
FBpp0075870 YBR149W_mRNA
FBpp0075870 YOR120W_mRNA
FBpp0075870 YDR368W_mRNA
FBpp0075870 YHR104W_mRNA
FBpp0303937 YBR149W_mRNA
FBpp0303937 YOR120W_mRNA
FBpp0303937 YDR368W_mRNA
FBpp0303937 YHR104W_mRNA
FBpp0089012 YBR149W_mRNA
FBpp0089012 YOR120W_mRNA
FBpp0089012 YDR368W_mRNA
FBpp0089012 YHR104W_mRNA
FBpp0085467 YBR149W_mRNA
FBpp0085467 YOR120W_mRNA
FBpp0085467 YDR368W_mRNA
FBpp0085467 YHR104W_mRNA
FBpp0073028 YBR149W_mRNA
FBpp0073028 YOR120W_mRNA
FBpp0073028 YDR368W_mRNA
FBpp0073028 YHR104W_mRNA
FBpp0073029 YBR149W_mRNA
FBpp0073029 YOR120W_mRNA
FBpp0073029 YDR368W_mRNA
FBpp0073029 YHR104W_mRNA
FBpp0081312 YBR149W_mRNA
FBpp0081312 YOR120W_mRNA
FBpp0081312 YDR368W_mRNA
FBpp0081312 YHR104W_mRNA
FBpp0110121 YER020W_mRNA
FBpp0291583 YER020W_mRNA
FBpp0291584 YER020W_mRNA
FBpp0086945 YER020W_mRNA
FBpp0293494 YER020W_mRNA
FBpp0086946 YER020W_mRNA
FBpp0086944 YER020W_mRNA
FBpp0086942 YER020W_mRNA
FBpp0086943 YER020W_mRNA
FBpp0305314 YER020W_mRNA
FBpp0076643 YHR005C_mRNA
FBpp0087361 YHR005C_mRNA
FBpp0087365 YHR005C_mRNA
FBpp0087363 YHR005C_mRNA
FBpp0087364 YHR005C_mRNA
FBpp0087362 YHR005C_mRNA
FBpp0087359 YHR005C_mRNA
FBpp0089315 YHR005C_mRNA
FBpp0087360 YHR005C_mRNA
FBpp0089316 YHR005C_mRNA
FBpp0072086 YGR152C_mRNA
FBpp0072746 YGR152C_mRNA
FBpp0292253 YGR152C_mRNA
FBpp0304917 YGR152C_mRNA
