EAA35509 YGL171W_mRNA
EAA34737 YGR133W_mRNA
EAA27688 YDR177W_mRNA
ESA43052 YKR034W_mRNA
ESA43052 YJL110C_mRNA
EAA34560 YFL021W_mRNA
EAA34560 YER040W_mRNA
EAA33211 YNL274C_mRNA
EAA32454 YPL113C_mRNA
EAA31999 YPL232W_mRNA
EAA31999 YMR183C_mRNA
ESA41937 YPL232W_mRNA
ESA41937 YMR183C_mRNA
EAA30996 YLR206W_mRNA
EAA30996 YDL161W_mRNA
EAA27947 YLL013C_mRNA
ESA43185 YLL013C_mRNA
EAA34997 YPL081W_mRNA
EAA34997 YBR189W_mRNA
EDO65189 YPL088W_mRNA
EAA36333 YPL088W_mRNA
EAA29581 YPL088W_mRNA
EAA28433 YFL037W_mRNA
ESA42262 YMR110C_mRNA
EAA28158 YBR241C_mRNA
EAA28158 YGL104C_mRNA
EAA33123 YGL106W_mRNA
ESA44308 YCR083W_mRNA
ESA44308 YGR209C_mRNA
ESA44308 YLR043C_mRNA
EAA33651 YCR083W_mRNA
EAA33651 YGR209C_mRNA
EAA33651 YLR043C_mRNA
EAA33027 YCR083W_mRNA
EAA33027 YGR209C_mRNA
EAA33027 YLR043C_mRNA
ESA42677 YOL123W_mRNA
EAA32037 YPL270W_mRNA
EAA32037 YLR188W_mRNA
EAA27101 YMR301C_mRNA
EAA27232 YPR024W_mRNA
EAA27520 YER017C_mRNA
EAA27520 YMR089C_mRNA
EAA27486 YDL047W_mRNA
EAA33278 YDR075W_mRNA
EAA33034 YNR032W_mRNA
EAA28074 YPL140C_mRNA
EAA28074 YOR231W_mRNA
ESA44311 YJL128C_mRNA
ESA42405 YDL159W_mRNA
EAA28465 YLL019C_mRNA
EAA32185 YAR019C_mRNA
ESA42644 YDR523C_mRNA
ESA44257 YDR523C_mRNA
ESA43904 YDR523C_mRNA
EAA26762 YKR048C_mRNA
EAA31949 YGL059W_mRNA
ESA42969 YIL042C_mRNA
ESA42388 YHR032W_mRNA
ESA42388 YDR338C_mRNA
EAA34916 YHR032W_mRNA
EAA34916 YDR338C_mRNA
EAA32734 YHR032W_mRNA
EAA32734 YDR338C_mRNA
EAA29597 YOR161C_mRNA
EAA28430 YFR009W_mRNA
EAA29453 YER036C_mRNA
ESA42428 YKL029C_mRNA
EAA36352 YKL029C_mRNA
EAA35271 YKL140W_mRNA
EAA26818 YMR054W_mRNA
EAA26818 YOR270C_mRNA
EAA35464 YAL058W_mRNA
EAA28126 YER023W_mRNA
EAA31416 YNL189W_mRNA
EAA30731 YDR358W_mRNA
EAA30731 YHR108W_mRNA
EAA36533 YMR205C_mRNA
EAA36533 YGR240C_mRNA
EAA30337 YDL138W_mRNA
EAA30337 YDL194W_mRNA
EAA30175 YDL138W_mRNA
EAA30175 YDL194W_mRNA
EAA36477 YDL138W_mRNA
EAA36477 YDL194W_mRNA
EAA30935 YJL219W_mRNA
EAA30935 YOL156W_mRNA
EAA30935 YHR094C_mRNA
EAA30935 YDR345C_mRNA
EAA30935 YHR096C_mRNA
EAA30935 YLR081W_mRNA
EAA30935 YJL214W_mRNA
EAA30935 YDR342C_mRNA
EAA30935 YDR343C_mRNA
EAA30935 YHR092C_mRNA
EAA30935 YFL011W_mRNA
EAA30935 YMR011W_mRNA
EAA30935 YEL069C_mRNA
EAA30935 YNR072W_mRNA
EAA30935 YJR158W_mRNA
EAA30935 YDL245C_mRNA
EAA30935 YNL318C_mRNA
EAA26765 YJL219W_mRNA
EAA26765 YOL156W_mRNA
EAA26765 YHR094C_mRNA
EAA26765 YDR345C_mRNA
EAA26765 YHR096C_mRNA
EAA26765 YLR081W_mRNA
EAA26765 YJL214W_mRNA
EAA26765 YDR342C_mRNA
EAA26765 YDR343C_mRNA
EAA26765 YHR092C_mRNA
EAA26765 YFL011W_mRNA
EAA26765 YMR011W_mRNA
EAA26765 YEL069C_mRNA
EAA26765 YNR072W_mRNA
EAA26765 YJR158W_mRNA
EAA26765 YDL245C_mRNA
EAA26765 YNL318C_mRNA
EAA30380 YDR536W_mRNA
EAA34662 YDR536W_mRNA
EAA31311 YDR536W_mRNA
EAA30764 YDR536W_mRNA
EAA30327 YDR536W_mRNA
EAA30346 YDR536W_mRNA
EAA34105 YDR536W_mRNA
EAA32986 YDR536W_mRNA
EAA31323 YDR536W_mRNA
EAA34565 YDR536W_mRNA
EAA35116 YDR536W_mRNA
EAA34637 YDR536W_mRNA
EDO65064 YDR536W_mRNA
EAA30608 YDR536W_mRNA
EAA28188 YDR536W_mRNA
EAA27255 YDR536W_mRNA
EAA31803 YDR536W_mRNA
EAA29701 YDR536W_mRNA
EAA35128 YDR536W_mRNA
EAA33446 YJL085W_mRNA
ESA43406 YDR328C_mRNA
EAA35093 YGR094W_mRNA
ESA44376 YPR052C_mRNA
ESA43991 YPR052C_mRNA
EAA35695 YNL037C_mRNA
EAA33047 YOR136W_mRNA
EAA36105 YIL094C_mRNA
EAA31679 YKR090W_mRNA
EAA29668 YML085C_mRNA
EAA29668 YML124C_mRNA
EAA33987 YML085C_mRNA
EAA33987 YML124C_mRNA
EDO65226 YOL094C_mRNA
EAA34161 YNL290W_mRNA
EAA36224 YJR068W_mRNA
EAA32183 YGL012W_mRNA
EAA26875 YNL280C_mRNA
ESA43231 YBL049W_mRNA
EAA36111 YMR018W_mRNA
EAA36111 YDR244W_mRNA
EAA31577 YGR132C_mRNA
EAA35251 YGR231C_mRNA
EAA33666 YLR128W_mRNA
EAA26599 YMR058W_mRNA
EAA26599 YFL041W_mRNA
EAA28691 YDR506C_mRNA
EAA33423 YJR058C_mRNA
EDO65136 YLR170C_mRNA
EAA30478 YPL196W_mRNA
EAA31414 YIL026C_mRNA
EAA30274 YDR519W_mRNA
EAA32060 YDR519W_mRNA
EAA26908 YNL135C_mRNA
ESA42216 YIL038C_mRNA
ESA42216 YPR072W_mRNA
EAA35478 YDR379W_mRNA
EAA35478 YOR127W_mRNA
EAA32291 YDR379W_mRNA
EAA32291 YOR127W_mRNA
ESA42849 YDR379W_mRNA
ESA42849 YOR127W_mRNA
EAA26571 YER169W_mRNA
EAA26571 YDR096W_mRNA
EAA36410 YOR219C_mRNA
EAA36410 YHR028C_mRNA
EAA31780 YLR176C_mRNA
ESA43042 YLR072W_mRNA
ESA43042 YFL042C_mRNA
EAA34299 YIL030C_mRNA
EAA26929 YJL197W_mRNA
EAA28982 YBR109C_mRNA
EAA33060 YJR138W_mRNA
EAA35821 YNL305C_mRNA
EAA31846 YHR208W_mRNA
EAA31846 YJR148W_mRNA
EAA31051 YHR208W_mRNA
EAA31051 YJR148W_mRNA
ESA43995 YDR510W_mRNA
EAA35890 YER095W_mRNA
EAA30025 YPR033C_mRNA
EAA31697 YDR481C_mRNA
ESA43410 YDR481C_mRNA
EAA30539 YGR056W_mRNA
EAA30539 YLR357W_mRNA
EAA35828 YKR013W_mRNA
EAA35828 YJL079C_mRNA
EAA35828 YJL078C_mRNA
EAA30878 YKR013W_mRNA
EAA30878 YJL079C_mRNA
EAA30878 YJL078C_mRNA
EAA32552 YJR063W_mRNA
EAA33391 YKR051W_mRNA
EAA33051 YKR051W_mRNA
EAA32982 YIL023C_mRNA
EAA36265 YMR323W_mRNA
EAA36265 YOR393W_mRNA
EAA36265 YPL281C_mRNA
EAA36265 YHR174W_mRNA
EAA36265 YGR254W_mRNA
ESA44169 YMR323W_mRNA
ESA44169 YOR393W_mRNA
ESA44169 YPL281C_mRNA
ESA44169 YHR174W_mRNA
ESA44169 YGR254W_mRNA
EAA35747 YOR061W_mRNA
EAA35747 YIL035C_mRNA
ESA42670 YKL067W_mRNA
ESA42798 YOR171C_mRNA
ESA42798 YLR260W_mRNA
EAA34869 YKL129C_mRNA
EAA34869 YMR109W_mRNA
EAA28170 YJR129C_mRNA
EAA36226 YDL240W_mRNA
ESA43744 YLR422W_mRNA
ESA43659 YLL050C_mRNA
ESA43205 YOR156C_mRNA
ESA43205 YDR409W_mRNA
EAA32272 YNL007C_mRNA
EAA29807 YOL122C_mRNA
EAA29807 YLR034C_mRNA
EAA29807 YHR050W_mRNA
EAA34182 YOL122C_mRNA
EAA34182 YLR034C_mRNA
EAA34182 YHR050W_mRNA
EDO65150 YGL087C_mRNA
EAA36230 YGL001C_mRNA
EAA30155 YLR078C_mRNA
ESA43397 YJR110W_mRNA
EAA26920 YPR031W_mRNA
EAA27280 YIL106W_mRNA
EAA31714 YIL114C_mRNA
EAA31714 YNL055C_mRNA
ESA44062 YNL238W_mRNA
ESA42451 YDR272W_mRNA
ESA42451 YOR040W_mRNA
EAA34794 YMR190C_mRNA
EAA34715 YPR103W_mRNA
EAA29793 YNR052C_mRNA
EAA31189 YER165W_mRNA
EAA28294 YCL033C_mRNA
ESA42411 YER089C_mRNA
ESA42411 YBL056W_mRNA
EAA31371 YMR020W_mRNA
EAA31251 YGR127W_mRNA
EAA33897 YJL141C_mRNA
EAA35085 YER173W_mRNA
EAA34502 YFR028C_mRNA
ESA42235 YHL007C_mRNA
EAA28056 YNL298W_mRNA
EAA34392 YPR023C_mRNA
ESA43266 YOR358W_mRNA
ESA41841 YGL054C_mRNA
ESA41841 YBR210W_mRNA
EAA33487 YNL016W_mRNA
EAA30376 YHR046C_mRNA
EAA30376 YDR287W_mRNA
EAA33146 YHR046C_mRNA
EAA33146 YDR287W_mRNA
ESA44382 YNL097C_mRNA
ESA44382 YHR090C_mRNA
ESA44382 YOR064C_mRNA
EAA27144 YNL097C_mRNA
EAA27144 YHR090C_mRNA
EAA27144 YOR064C_mRNA
EAA34685 YMR287C_mRNA
EAA34551 YOL021C_mRNA
EAA32327 YDR293C_mRNA
EAA32062 YMR186W_mRNA
EAA32062 YPL240C_mRNA
EAA32762 YER122C_mRNA
EAA28478 YER016W_mRNA
EAA32899 YBR196C_mRNA
EAA34044 YJL059W_mRNA
EAA33466 YAR008W_mRNA
EAA35856 YGR003W_mRNA
EAA27300 YER171W_mRNA
ESA42667 YDL079C_mRNA
ESA42667 YMR139W_mRNA
ESA43073 YPL106C_mRNA
ESA43073 YBR169C_mRNA
EAA35588 YPR010C_mRNA
EAA27959 YOR207C_mRNA
EAA27870 YOR151C_mRNA
EAA28956 YBR042C_mRNA
EAA28956 YDR018C_mRNA
ESA44053 YDR147W_mRNA
ESA44053 YLR133W_mRNA
EAA32539 YKL150W_mRNA
EAA35735 YKL150W_mRNA
EAA27365 YIL043C_mRNA
EAA35955 YIL043C_mRNA
EAA34785 YPL169C_mRNA
EDO65436 YOR291W_mRNA
EAA31384 YPL259C_mRNA
EAA31527 YOL062C_mRNA
ESA43982 YGL190C_mRNA
EAA28510 YER116C_mRNA
EAA27536 YDR456W_mRNA
EAA36459 YGR012W_mRNA
EAA30070 YGR155W_mRNA
ESA44356 YGR159C_mRNA
EAA34626 YGR159C_mRNA
EAA35865 YGR091W_mRNA
EAA27155 YLR234W_mRNA
ESA43889 YGR223C_mRNA
ESA43044 YLR410W_mRNA
EAA33433 YKL165C_mRNA
ESA41804 YPR032W_mRNA
ESA41804 YBL106C_mRNA
EAA35869 YDR515W_mRNA
EAA35869 YCL037C_mRNA
EAA33855 YPL203W_mRNA
EAA33855 YKL166C_mRNA
EAA33855 YJL164C_mRNA
EAA33885 YIL172C_mRNA
EAA33885 YJL221C_mRNA
EAA33885 YOL157C_mRNA
EAA33885 YGR287C_mRNA
EAA33885 YBR299W_mRNA
EAA33885 YGR292W_mRNA
EAA33885 YJL216C_mRNA
EAA32559 YIL172C_mRNA
EAA32559 YJL221C_mRNA
EAA32559 YOL157C_mRNA
EAA32559 YGR287C_mRNA
EAA32559 YBR299W_mRNA
EAA32559 YGR292W_mRNA
EAA32559 YJL216C_mRNA
EAA33618 YCR028C_mRNA
EAA33705 YAL067C_mRNA
EAA33705 YGR065C_mRNA
EAA30639 YAL067C_mRNA
EAA30639 YGR065C_mRNA
EAA29750 YIL166C_mRNA
EAA29294 YIL166C_mRNA
EAA33607 YOL162W_mRNA
EAA29484 YLL055W_mRNA
EAA29484 YLR004C_mRNA
EAA29484 YJR152W_mRNA
EAA36190 YLL055W_mRNA
EAA36190 YLR004C_mRNA
EAA36190 YJR152W_mRNA
EAA35702 YGR260W_mRNA
EAA31409 YGR260W_mRNA
EAA31532 YGR260W_mRNA
EAA27182 YGR260W_mRNA
EAA34340 YGR260W_mRNA
EAA31245 YGR260W_mRNA
EAA30785 YGR260W_mRNA
EAA26911 YGR260W_mRNA
EAA34043 YGR260W_mRNA
EAA27736 YER031C_mRNA
EAA27736 YGL210W_mRNA
EAA32663 YER031C_mRNA
EAA32663 YGL210W_mRNA
ESA42861 YDL165W_mRNA
EAA31779 YKL094W_mRNA
EAA33032 YDL135C_mRNA
EAA32675 YEL034W_mRNA
EAA32675 YJR047C_mRNA
EAA28811 YLR200W_mRNA
AGG16016 Q0130_mRNA
EAA28786 YER042W_mRNA
EAA36382 YLR142W_mRNA
EAA29450 YIL125W_mRNA
EAA34012 YIL125W_mRNA
ESA42873 YMR167W_mRNA
EAA33765 YDR232W_mRNA
ESA42329 YDL205C_mRNA
EAA33910 YFL038C_mRNA
EAA33006 YFL005W_mRNA
EAA29046 YPR141C_mRNA
EAA35450 YJR085C_mRNA
EAA34693 YPL147W_mRNA
EAA27938 YKL188C_mRNA
EAA27132 YLR277C_mRNA
EAA28683 YKL026C_mRNA
EAA28683 YIR037W_mRNA
EAA28683 YBR244W_mRNA
EAA32014 YLR253W_mRNA
EAA27992 YLL026W_mRNA
EAA34819 YDR258C_mRNA
EAA26815 YMR101C_mRNA
EAA26815 YBR002C_mRNA
ESA43894 YPR001W_mRNA
EAA27662 YNR001C_mRNA
EAA27662 YCR005C_mRNA
EAA35193 YPR048W_mRNA
EAA32237 YFR030W_mRNA
EAA28456 YFR030W_mRNA
EAA35207 YHR042W_mRNA
ESA41917 YAL038W_mRNA
ESA41917 YOR347C_mRNA
EAA35131 YNL330C_mRNA
EAA35215 YGL194C_mRNA
EAA26533 YDR190C_mRNA
EAA34092 YPL235W_mRNA
EAA27423 YBR201W_mRNA
EAA27423 YDR411C_mRNA
EAA31915 YGL246C_mRNA
EAA33358 YGR110W_mRNA
EAA26965 YNL083W_mRNA
EAA32981 YOR244W_mRNA
EAA35657 YDL084W_mRNA
EAA29487 YBR172C_mRNA
ESA42472 YLR433C_mRNA
ESA42472 YML057W_mRNA
ESA43505 YPR165W_mRNA
EAA27525 YNL090W_mRNA
EAA32796 YNL090W_mRNA
ESA43610 YNL090W_mRNA
ESA42597 YJL137C_mRNA
ESA42597 YKR058W_mRNA
EAA33758 YLR362W_mRNA
EAA34928 YNR031C_mRNA
EAA34928 YCR073C_mRNA
ESA42029 YHR102W_mRNA
EAA27462 YDL006W_mRNA
EAA30707 YML131W_mRNA
EAA35037 YJR131W_mRNA
EAA28496 YBL039C_mRNA
EAA28496 YJR103W_mRNA
EAA28016 YPR041W_mRNA
EAA36444 YLR163C_mRNA
EAA36444 YBL045C_mRNA
EAA33638 YHR024C_mRNA
EAA35388 YMR260C_mRNA
ESA44159 YMR216C_mRNA
EAA35009 YPL268W_mRNA
EAA33860 YPL268W_mRNA
EDO64907 YPL268W_mRNA
EAA36202 YOR245C_mRNA
ESA42020 YGR216C_mRNA
EAA32656 YJR005W_mRNA
EAA29724 YKL135C_mRNA
ESA42241 YGL047W_mRNA
EAA28284 YBR046C_mRNA
EAA36080 YER170W_mRNA
EAA27017 YDR226W_mRNA
EAA34982 YGL167C_mRNA
EAA30233 YBL060W_mRNA
ESA42621 YPR095C_mRNA
EAA27351 YLR429W_mRNA
EAA27065 YPR129W_mRNA
ESA42252 YOR022C_mRNA
ESA43575 YOR022C_mRNA
EAA27607 YOR310C_mRNA
EAA28813 YLR197W_mRNA
EAA26775 YNR023W_mRNA
EAA26775 YCR052W_mRNA
EDO65159 YDL008W_mRNA
EAA30969 YHR188C_mRNA
EAA32044 YKL179C_mRNA
ESA43387 YMR214W_mRNA
EDO64988 YMR214W_mRNA
EAA29179 YPR061C_mRNA
EAA29179 YNL064C_mRNA
ESA43153 YGR162W_mRNA
EAA35175 YKR003W_mRNA
EAA35206 YIL129C_mRNA
ESA42871 YLR452C_mRNA
EAA30394 YHR116W_mRNA
ESA43946 YLR180W_mRNA
ESA43946 YDR502C_mRNA
EAA32590 YBL022C_mRNA
ESA42409 YNL024C_mRNA
EAA32248 YBR271W_mRNA
EAA35775 YBR271W_mRNA
EAA35250 YDR139C_mRNA
EAA27741 YGR192C_mRNA
EAA27741 YJR009C_mRNA
EAA27741 YJL052W_mRNA
EAA28353 YDR089W_mRNA
EAA34968 YDR414C_mRNA
EAA31925 YIL047C_mRNA
EAA33425 YNL265C_mRNA
EAA32243 YJL177W_mRNA
EAA32243 YKL180W_mRNA
EAA33144 YGR037C_mRNA
EAA36433 YPL010W_mRNA
EAA36008 YDR270W_mRNA
EAA29577 YHL032C_mRNA
EAA30360 YDR211W_mRNA
EAA32710 YNL155W_mRNA
EAA34536 YGR257C_mRNA
ESA42803 YER043C_mRNA
EAA35575 YOR089C_mRNA
EAA26716 YOR089C_mRNA
EAA27963 YMR121C_mRNA
EAA27963 YLR029C_mRNA
EAA28142 YFR044C_mRNA
EAA30930 YBR281C_mRNA
ESA44134 YLL010C_mRNA
ESA44134 YLR019W_mRNA
EAA30479 YOR278W_mRNA
ESA43416 YJR060W_mRNA
EAA33289 YDR164C_mRNA
EAA35876 YDR019C_mRNA
EAA34274 YDL195W_mRNA
EAA32281 YJR049C_mRNA
EAA32281 YEL041W_mRNA
EAA35184 YJR049C_mRNA
EAA35184 YEL041W_mRNA
EAA28957 YPL188W_mRNA
EAA33977 YKL152C_mRNA
EAA33977 YDL021W_mRNA
EAA33977 YOL056W_mRNA
EAA33977 YOR283W_mRNA
EAA34277 YLR038C_mRNA
EAA36528 YNL263C_mRNA
EAA36106 YLR069C_mRNA
EAA32924 YJL102W_mRNA
EAA34951 YMR236W_mRNA
EAA32053 YBR074W_mRNA
EAA29034 YPR140W_mRNA
EAA32677 YGL161C_mRNA
ESA42893 YNL201C_mRNA
EAA33465 YPL101W_mRNA
EAA28700 YPR147C_mRNA
EAA33311 YJR126C_mRNA
EAA35731 YJR126C_mRNA
EAA34279 YOR293W_mRNA
EAA34279 YMR230W_mRNA
EAA33442 YNL138W_mRNA
EAA35239 YNL106C_mRNA
EAA35239 YOR109W_mRNA
EAA35239 YIL002C_mRNA
EAA33988 YBL047C_mRNA
ESA43316 YOR093C_mRNA
EAA32035 YGR167W_mRNA
EAA35413 YLR118C_mRNA
ESA41963 YCL011C_mRNA
ESA41963 YNL004W_mRNA
EDO65135 YLR350W_mRNA
EDO65135 YGR038W_mRNA
EAA34583 YMR136W_mRNA
EAA34583 YLR013W_mRNA
EAA34583 YIR013C_mRNA
ESA42507 YMR136W_mRNA
ESA42507 YLR013W_mRNA
ESA42507 YIR013C_mRNA
