ENSMUSP00000048802 EAA35509
ENSMUSP00000147851 EAA35647
ENSMUSP00000103381 EAA35647
ENSMUSP00000112174 EAA28923
ENSMUSP00000092966 EAA28923
ENSMUSP00000129536 EAA28923
ENSMUSP00000157311 EAA28923
ENSMUSP00000008801 EAA28923
ENSMUSP00000129264 EAA28923
ENSMUSP00000136139 EAA28923
ENSMUSP00000157036 EAA28923
ENSMUSP00000157006 EAA28923
ENSMUSP00000050478 EAA28923
ENSMUSP00000003416 EAA28923
ENSMUSP00000131058 EAA28923
ENSMUSP00000076827 EAA28923
ENSMUSP00000123282 EAA28923
ENSMUSP00000074733 EAA28923
ENSMUSP00000157023 EAA28923
ENSMUSP00000129514 EAA28923
ENSMUSP00000003413 EAA28923
ENSMUSP00000003574 EAA28923
ENSMUSP00000148315 EAA28923
ENSMUSP00000059545 EAA28923
ENSMUSP00000102155 EAA28923
ENSMUSP00000139717 EAA28923
ENSMUSP00000092487 EAA28923
ENSMUSP00000081370 EAA28923
ENSMUSP00000140857 EAA28923
ENSMUSP00000030487 EAA28923
ENSMUSP00000099768 EAA28923
ENSMUSP00000149620 EAA30775
ENSMUSP00000128421 EAA30775
ENSMUSP00000101860 EAA32364
ENSMUSP00000145166 EAA32364
ENSMUSP00000144809 EAA32364
ENSMUSP00000133154 EAA32364
ENSMUSP00000145194 EAA32364
ENSMUSP00000026667 EAA32364
ENSMUSP00000110998 EAA29185
ENSMUSP00000156170 EAA29185
ENSMUSP00000090876 EAA29185
ENSMUSP00000115649 EAA29185
ENSMUSP00000140809 EAA29185
ENSMUSP00000023599 EAA29185
ENSMUSP00000127030 EAA29185
ENSMUSP00000127034 EAA29185
ENSMUSP00000038551 EAA32290
ENSMUSP00000066806 EAA32290
ENSMUSP00000047898 EAA32290
ENSMUSP00000034612 EAA32290
ENSMUSP00000070259 ESA42258
ENSMUSP00000082560 ESA42258
ENSMUSP00000078706 ESA42258
ENSMUSP00000145938 ESA42258
ENSMUSP00000145724 ESA42258
ENSMUSP00000113160 ESA42258
ENSMUSP00000146047 ESA42258
ENSMUSP00000145947 ESA42258
ENSMUSP00000034949 ESA42258
ENSMUSP00000145887 ESA42258
ENSMUSP00000113341 ESA44278
ENSMUSP00000113975 ESA44278
ENSMUSP00000070721 ESA44278
ENSMUSP00000018274 ESA44278
ENSMUSP00000113096 ESA44278
ENSMUSP00000117472 ESA44278
ENSMUSP00000155317 ESA44278
ENSMUSP00000110901 ESA44278
ENSMUSP00000127463 ESA44278
ENSMUSP00000127265 ESA44278
ENSMUSP00000131687 ESA44278
ENSMUSP00000127144 ESA44278
ENSMUSP00000132083 ESA44278
ENSMUSP00000128871 ESA44278
ENSMUSP00000137802 EAA32898
ENSMUSP00000025749 EAA32898
ENSMUSP00000119715 EAA32898
ENSMUSP00000120882 EAA32898
ENSMUSP00000115073 EAA32898
ENSMUSP00000130078 EAA32898
ENSMUSP00000126861 EAA32898
ENSMUSP00000095437 EAA32898
ENSMUSP00000127462 EAA32898
ENSMUSP00000018012 EAA32898
ENSMUSP00000112468 EAA32898
ENSMUSP00000020145 EAA32898
ENSMUSP00000090343 EAA32898
ENSMUSP00000114074 EAA32898
ENSMUSP00000128873 EAA32898
ENSMUSP00000097614 EAA32898
ENSMUSP00000114691 EAA32898
ENSMUSP00000117119 EAA32898
ENSMUSP00000118190 EAA32898
ENSMUSP00000123689 EAA32898
ENSMUSP00000103979 EAA32898
ENSMUSP00000132141 EAA32898
ENSMUSP00000052103 EAA32898
ENSMUSP00000103981 EAA32898
ENSMUSP00000103980 EAA32898
ENSMUSP00000122222 EAA32898
ENSMUSP00000001780 EAA32898
ENSMUSP00000106789 EAA32898
ENSMUSP00000106790 EAA32898
ENSMUSP00000019843 EAA32898
ENSMUSP00000083081 EAA32898
ENSMUSP00000120978 EAA32898
ENSMUSP00000118851 EAA35201
ENSMUSP00000118851 EAA30420
ENSMUSP00000118851 EAA29261
ENSMUSP00000118851 EAA30454
ENSMUSP00000124066 EAA35201
ENSMUSP00000124066 EAA30420
ENSMUSP00000124066 EAA29261
ENSMUSP00000124066 EAA30454
ENSMUSP00000082352 EAA35201
ENSMUSP00000082352 EAA30420
ENSMUSP00000082352 EAA29261
ENSMUSP00000082352 EAA30454
ENSMUSP00000021548 EAA35201
ENSMUSP00000021548 EAA30420
ENSMUSP00000021548 EAA29261
ENSMUSP00000021548 EAA30454
ENSMUSP00000112543 EAA35201
ENSMUSP00000112543 EAA30420
ENSMUSP00000112543 EAA29261
ENSMUSP00000112543 EAA30454
ENSMUSP00000008579 EAA35201
ENSMUSP00000008579 EAA30420
ENSMUSP00000008579 EAA29261
ENSMUSP00000008579 EAA30454
ENSMUSP00000113433 EAA35201
ENSMUSP00000113433 EAA30420
ENSMUSP00000113433 EAA29261
ENSMUSP00000113433 EAA30454
ENSMUSP00000114390 EAA35201
ENSMUSP00000114390 EAA30420
ENSMUSP00000114390 EAA29261
ENSMUSP00000114390 EAA30454
ENSMUSP00000021187 EAA35201
ENSMUSP00000021187 EAA30420
ENSMUSP00000021187 EAA29261
ENSMUSP00000021187 EAA30454
ENSMUSP00000112553 EAA35201
ENSMUSP00000112553 EAA30420
ENSMUSP00000112553 EAA29261
ENSMUSP00000112553 EAA30454
ENSMUSP00000020947 EAA35201
ENSMUSP00000020947 EAA30420
ENSMUSP00000020947 EAA29261
ENSMUSP00000020947 EAA30454
ENSMUSP00000104736 EAA35201
ENSMUSP00000104736 EAA30420
ENSMUSP00000104736 EAA29261
ENSMUSP00000104736 EAA30454
ENSMUSP00000125626 EAA35201
ENSMUSP00000125626 EAA30420
ENSMUSP00000125626 EAA29261
ENSMUSP00000125626 EAA30454
ENSMUSP00000004756 EAA35201
ENSMUSP00000004756 EAA30420
ENSMUSP00000004756 EAA29261
ENSMUSP00000004756 EAA30454
ENSMUSP00000076472 EAA34324
ENSMUSP00000076472 EAA32483
ENSMUSP00000025217 EAA32517
ENSMUSP00000028222 EAA27331
ENSMUSP00000097747 EAA27331
ENSMUSP00000151408 EAA34130
ENSMUSP00000079306 EAA34130
ENSMUSP00000113722 EAA34130
ENSMUSP00000015800 EAA34130
ENSMUSP00000007248 EAA34130
ENSMUSP00000084586 EAA34130
ENSMUSP00000133815 EAA34130
ENSMUSP00000031822 EAA36439
ENSMUSP00000109933 EAA36439
ENSMUSP00000138703 EAA36439
ENSMUSP00000138608 EAA36439
ENSMUSP00000124647 EAA28525
ENSMUSP00000034648 EAA28525
ENSMUSP00000024829 EAA28525
ENSMUSP00000029257 EAA28587
ENSMUSP00000033818 EAA28587
ENSMUSP00000088779 EAA28587
ENSMUSP00000146015 EAA28587
ENSMUSP00000099066 EAA28587
ENSMUSP00000145853 EAA28587
ENSMUSP00000119320 EAA28587
ENSMUSP00000118379 EAA28587
ENSMUSP00000072738 EAA28587
ENSMUSP00000042215 EAA28587
ENSMUSP00000079238 EAA28587
ENSMUSP00000129811 EAA35394
ENSMUSP00000076844 EAA35394
ENSMUSP00000143594 EAA35394
ENSMUSP00000142749 EAA35394
ENSMUSP00000079670 EAA26767
ENSMUSP00000089293 EAA26767
ENSMUSP00000140394 EAA26767
ENSMUSP00000139663 EAA26767
ENSMUSP00000151536 EAA26767
ENSMUSP00000089295 EAA26767
ENSMUSP00000134751 EAA26767
ENSMUSP00000135215 EAA26767
ENSMUSP00000089346 EAA26767
ENSMUSP00000100739 EAA26767
ENSMUSP00000096442 EAA26767
ENSMUSP00000100737 EAA26767
ENSMUSP00000074994 EAA26767
ENSMUSP00000016703 EAA26767
ENSMUSP00000102062 EAA26767
ENSMUSP00000079816 EAA26767
ENSMUSP00000125104 EAA26767
ENSMUSP00000124509 EAA26767
ENSMUSP00000125754 EAA26767
ENSMUSP00000113283 EAA28350
ENSMUSP00000084942 EAA28350
ENSMUSP00000152215 EAA28350
ENSMUSP00000106145 EAA28350
ENSMUSP00000098029 EAA28350
ENSMUSP00000106305 EAA28350
ENSMUSP00000082827 EAA28350
ENSMUSP00000090177 EAA28350
ENSMUSP00000129269 EAA28350
ENSMUSP00000099356 EAA28350
ENSMUSP00000148679 EAA28350
ENSMUSP00000132224 EAA28350
ENSMUSP00000148813 EAA28350
ENSMUSP00000103881 EAA28350
ENSMUSP00000041627 EAA28350
ENSMUSP00000029126 EAA28350
ENSMUSP00000105307 EAA28350
ENSMUSP00000153537 EAA28350
ENSMUSP00000132838 EAA28350
ENSMUSP00000079280 EAA28350
ENSMUSP00000153526 EAA28350
ENSMUSP00000153052 EAA28350
ENSMUSP00000034740 EAA28350
ENSMUSP00000076397 EAA30204
ENSMUSP00000056604 EAA30204
ENSMUSP00000135427 EAA30204
ENSMUSP00000106099 EAA30204
ENSMUSP00000100047 EAA30204
ENSMUSP00000153457 EAA30204
ENSMUSP00000018246 EAA30204
ENSMUSP00000089296 EAA30204
ENSMUSP00000136792 EAA30204
ENSMUSP00000089343 EAA30204
ENSMUSP00000097294 EAA30204
ENSMUSP00000106082 EAA30204
ENSMUSP00000089350 EAA30204
ENSMUSP00000106095 EAA30204
ENSMUSP00000089301 EAA30204
ENSMUSP00000100738 EAA30204
ENSMUSP00000106093 EAA30204
ENSMUSP00000077290 EAA30204
ENSMUSP00000106102 EAA30204
ENSMUSP00000088287 EAA30204
ENSMUSP00000106085 EAA30204
ENSMUSP00000153277 EAA30204
ENSMUSP00000061247 EAA30204
ENSMUSP00000078239 EAA30204
ENSMUSP00000108528 EAA28332
ENSMUSP00000108528 EAA28221
ENSMUSP00000033634 EAA28332
ENSMUSP00000033634 EAA28221
ENSMUSP00000108524 EAA28332
ENSMUSP00000108524 EAA28221
ENSMUSP00000108525 EAA28332
ENSMUSP00000108525 EAA28221
ENSMUSP00000117952 EAA28332
ENSMUSP00000117952 EAA28221
ENSMUSP00000121695 EAA28332
ENSMUSP00000121695 EAA28221
ENSMUSP00000045291 EAA28332
ENSMUSP00000045291 EAA28221
ENSMUSP00000046585 EAA27040
ENSMUSP00000072040 EAA27040
ENSMUSP00000090795 EAA27040
ENSMUSP00000091746 EAA27040
ENSMUSP00000104533 EAA27040
ENSMUSP00000104532 EAA27040
ENSMUSP00000098773 EAA27040
ENSMUSP00000098771 EAA27040
ENSMUSP00000069844 EAA27040
ENSMUSP00000104527 EAA27040
ENSMUSP00000119714 EAA27040
ENSMUSP00000000145 EAA27040
ENSMUSP00000106000 EAA27040
ENSMUSP00000106001 EAA27040
ENSMUSP00000034046 EAA27040
ENSMUSP00000154967 ESA44151
ENSMUSP00000107937 ESA44151
ENSMUSP00000155713 ESA44151
ENSMUSP00000022429 ESA44151
ENSMUSP00000020717 ESA44151
ENSMUSP00000127281 ESA44151
ENSMUSP00000102622 ESA44151
ENSMUSP00000051814 ESA44151
ENSMUSP00000050689 ESA44151
ENSMUSP00000079905 ESA44151
ENSMUSP00000126120 ESA44151
ENSMUSP00000111942 EAA29781
ENSMUSP00000079246 EAA29781
ENSMUSP00000025893 EAA27367
ENSMUSP00000092692 EAA32002
ENSMUSP00000092693 EAA32002
ENSMUSP00000134564 EAA32002
ENSMUSP00000050377 EAA32002
ENSMUSP00000048360 EAA32002
ENSMUSP00000047326 EAA32002
ENSMUSP00000039844 EAA32002
ENSMUSP00000052086 ESA42660
ENSMUSP00000098066 ESA42660
ENSMUSP00000071486 ESA42660
ENSMUSP00000101822 ESA42660
ENSMUSP00000146302 ESA42660
ENSMUSP00000130611 ESA42660
ENSMUSP00000101823 ESA42660
ENSMUSP00000148594 ESA42660
ENSMUSP00000120936 ESA42660
ENSMUSP00000048218 ESA42660
ENSMUSP00000034453 ESA42660
ENSMUSP00000087736 ESA42660
ENSMUSP00000074658 ESA42660
ENSMUSP00000113552 ESA42660
ENSMUSP00000123452 EAA28859
ENSMUSP00000119985 EAA28859
ENSMUSP00000134443 EAA28859
ENSMUSP00000115642 EAA28859
ENSMUSP00000095263 EAA28859
ENSMUSP00000072803 EAA28859
ENSMUSP00000108763 EAA28859
ENSMUSP00000108762 EAA28859
ENSMUSP00000014263 EAA28859
ENSMUSP00000108759 EAA28859
ENSMUSP00000108760 EAA28859
ENSMUSP00000058683 EAA28859
ENSMUSP00000108764 EAA28859
ENSMUSP00000073444 EAA28859
ENSMUSP00000108767 EAA28859
ENSMUSP00000031195 EAA28859
ENSMUSP00000078740 EAA28859
ENSMUSP00000031183 EAA28859
ENSMUSP00000068282 EAA28859
ENSMUSP00000072598 EAA28859
ENSMUSP00000075255 EAA28859
ENSMUSP00000092233 EAA28859
ENSMUSP00000123024 EAA28859
ENSMUSP00000120005 EAA28859
ENSMUSP00000031186 EAA28859
ENSMUSP00000114842 EAA28859
ENSMUSP00000116653 EAA28859
ENSMUSP00000144355 EAA36600
ENSMUSP00000057707 EAA36600
ENSMUSP00000115233 EAA36600
ENSMUSP00000117111 EAA36600
ENSMUSP00000114188 EAA36600
ENSMUSP00000097547 EAA36600
ENSMUSP00000073509 EAA36600
ENSMUSP00000143002 EAA36600
ENSMUSP00000143476 EAA36600
ENSMUSP00000109234 EAA36600
ENSMUSP00000129397 EAA36600
ENSMUSP00000130289 EAA36600
ENSMUSP00000019913 EAA36600
ENSMUSP00000132161 EAA36600
ENSMUSP00000072154 EAA36600
ENSMUSP00000144001 EAA36600
ENSMUSP00000125777 EAA36600
ENSMUSP00000139988 EAA36600
ENSMUSP00000003370 EAA36600
ENSMUSP00000141030 EAA36600
ENSMUSP00000105423 EAA36600
ENSMUSP00000105157 EAA36600
ENSMUSP00000029175 EAA36600
ENSMUSP00000105159 EAA36600
ENSMUSP00000105155 EAA36600
ENSMUSP00000090237 EAA36600
ENSMUSP00000030693 EAA36600
ENSMUSP00000128411 EAA36600
ENSMUSP00000123445 EAA36600
ENSMUSP00000122402 EAA32081
ENSMUSP00000079014 EAA32081
ENSMUSP00000078158 EAA32081
ENSMUSP00000111209 EAA32081
ENSMUSP00000042186 EAA32081
ENSMUSP00000129677 EAA32081
ENSMUSP00000026208 EAA28910
ENSMUSP00000021231 EAA28910
ENSMUSP00000136343 EAA28910
ENSMUSP00000002850 EAA28910
ENSMUSP00000097743 EAA28910
ENSMUSP00000132561 EAA32984
ENSMUSP00000132561 EAA32894
ENSMUSP00000132561 EAA36025
ENSMUSP00000132561 EAA34524
ENSMUSP00000132561 EAA31399
ENSMUSP00000038041 EAA32984
ENSMUSP00000038041 EAA32894
ENSMUSP00000038041 EAA36025
ENSMUSP00000038041 EAA34524
ENSMUSP00000038041 EAA31399
ENSMUSP00000131843 EAA32984
ENSMUSP00000131843 EAA32894
ENSMUSP00000131843 EAA36025
ENSMUSP00000131843 EAA34524
ENSMUSP00000131843 EAA31399
ENSMUSP00000092895 EAA32984
ENSMUSP00000092895 EAA32894
ENSMUSP00000092895 EAA36025
ENSMUSP00000092895 EAA34524
ENSMUSP00000092895 EAA31399
ENSMUSP00000026455 EAA35947
ENSMUSP00000155212 EAA35947
ENSMUSP00000127611 EAA35947
ENSMUSP00000085530 EAA35947
ENSMUSP00000154934 EAA35947
ENSMUSP00000023754 EAA35947
ENSMUSP00000155623 EAA35947
ENSMUSP00000023752 EAA35947
ENSMUSP00000157337 EAA35947
ENSMUSP00000157324 EAA35947
ENSMUSP00000157060 EAA35947
ENSMUSP00000157152 EAA35947
ENSMUSP00000157000 EAA35947
ENSMUSP00000157347 EAA35947
ENSMUSP00000157239 EAA35947
ENSMUSP00000078088 EAA35947
ENSMUSP00000004774 EAA35947
ENSMUSP00000045527 EAA33577
ENSMUSP00000148435 EAA33577
ENSMUSP00000101225 EAA33577
ENSMUSP00000070527 EAA33577
ENSMUSP00000101223 EAA33577
ENSMUSP00000021939 ESA42590
ENSMUSP00000152606 ESA42590
ENSMUSP00000140034 ESA42590
ENSMUSP00000030814 EAA29038
ENSMUSP00000150873 EAA29038
ENSMUSP00000033380 EAA29038
ENSMUSP00000111021 EAA29038
ENSMUSP00000027697 EAA29038
ENSMUSP00000107981 EAA29038
ENSMUSP00000026416 EAA30881
ENSMUSP00000026415 EAA30881
ENSMUSP00000134251 EAA30881
ENSMUSP00000153130 EAA35061
ENSMUSP00000143103 ESA42945
ENSMUSP00000121214 ESA43968
ENSMUSP00000052642 ESA43968
ENSMUSP00000101004 ESA43968
ENSMUSP00000038964 ESA43968
ENSMUSP00000111280 ESA43968
ENSMUSP00000111279 ESA43968
ENSMUSP00000111277 ESA43968
ENSMUSP00000111282 ESA43968
ENSMUSP00000111284 ESA43968
ENSMUSP00000138705 ESA43968
ENSMUSP00000138456 ESA43968
ENSMUSP00000048153 ESA43968
ENSMUSP00000147384 ESA43968
ENSMUSP00000154633 ESA43968
ENSMUSP00000143286 EAA36453
ENSMUSP00000132547 EAA36453
ENSMUSP00000005722 EAA36453
ENSMUSP00000138826 EAA36453
ENSMUSP00000143401 EAA36453
ENSMUSP00000143212 EAA36453
ENSMUSP00000142456 EAA36453
ENSMUSP00000143338 EAA36453
ENSMUSP00000143187 EAA36453
ENSMUSP00000142884 EAA36453
ENSMUSP00000143611 EAA36453
ENSMUSP00000143598 EAA36453
ENSMUSP00000143339 EAA36453
ENSMUSP00000113638 EAA36453
ENSMUSP00000032776 EAA36453
ENSMUSP00000075664 EAA36453
ENSMUSP00000116144 EAA36453
ENSMUSP00000138645 EAA36453
ENSMUSP00000104167 EAA34271
ENSMUSP00000029186 EAA34271
ENSMUSP00000105104 EAA34271
ENSMUSP00000047865 EAA35877
ENSMUSP00000031061 EAA27287
ENSMUSP00000143069 EAA27287
ENSMUSP00000143658 EAA27287
ENSMUSP00000143381 EAA27287
ENSMUSP00000101745 EAA27287
ENSMUSP00000066067 EAA27287
ENSMUSP00000033290 EAA27287
ENSMUSP00000119430 EAA33344
ENSMUSP00000037251 EAA33344
ENSMUSP00000133888 EAA31559
ENSMUSP00000025292 EAA31559
ENSMUSP00000152741 EAA27946
ENSMUSP00000152741 EAA27673
ENSMUSP00000030455 EAA30135
ENSMUSP00000030455 EAA36301
ENSMUSP00000030455 EAA27685
ENSMUSP00000030455 EAA34695
ENSMUSP00000048830 EAA30135
ENSMUSP00000048830 EAA36301
ENSMUSP00000048830 EAA27685
ENSMUSP00000048830 EAA34695
ENSMUSP00000112666 EAA30135
ENSMUSP00000112666 EAA36301
ENSMUSP00000112666 EAA27685
ENSMUSP00000112666 EAA34695
ENSMUSP00000080074 EAA30135
ENSMUSP00000080074 EAA36301
ENSMUSP00000080074 EAA27685
ENSMUSP00000080074 EAA34695
ENSMUSP00000021632 EAA30135
ENSMUSP00000021632 EAA36301
ENSMUSP00000021632 EAA27685
ENSMUSP00000021632 EAA34695
ENSMUSP00000021634 EAA30135
ENSMUSP00000021634 EAA36301
ENSMUSP00000021634 EAA27685
ENSMUSP00000021634 EAA34695
ENSMUSP00000045394 EAA30135
ENSMUSP00000045394 EAA36301
ENSMUSP00000045394 EAA27685
ENSMUSP00000045394 EAA34695
ENSMUSP00000112664 EAA30135
ENSMUSP00000112664 EAA36301
ENSMUSP00000112664 EAA27685
ENSMUSP00000112664 EAA34695
ENSMUSP00000152648 EAA30135
ENSMUSP00000152648 EAA36301
ENSMUSP00000152648 EAA27685
ENSMUSP00000152648 EAA34695
ENSMUSP00000077363 EAA30135
ENSMUSP00000077363 EAA36301
ENSMUSP00000077363 EAA27685
ENSMUSP00000077363 EAA34695
ENSMUSP00000079232 EAA30135
ENSMUSP00000079232 EAA36301
ENSMUSP00000079232 EAA27685
ENSMUSP00000079232 EAA34695
ENSMUSP00000021630 EAA30135
ENSMUSP00000021630 EAA36301
ENSMUSP00000021630 EAA27685
ENSMUSP00000021630 EAA34695
ENSMUSP00000152778 EAA30135
ENSMUSP00000152778 EAA36301
ENSMUSP00000152778 EAA27685
ENSMUSP00000152778 EAA34695
ENSMUSP00000021628 EAA30135
ENSMUSP00000021628 EAA36301
ENSMUSP00000021628 EAA27685
ENSMUSP00000021628 EAA34695
ENSMUSP00000106332 EAA30135
ENSMUSP00000106332 EAA36301
ENSMUSP00000106332 EAA27685
ENSMUSP00000106332 EAA34695
ENSMUSP00000021635 EAA30135
ENSMUSP00000021635 EAA36301
ENSMUSP00000021635 EAA27685
ENSMUSP00000021635 EAA34695
ENSMUSP00000063309 EAA30135
ENSMUSP00000063309 EAA36301
ENSMUSP00000063309 EAA27685
ENSMUSP00000063309 EAA34695
ENSMUSP00000124333 EAA30135
ENSMUSP00000124333 EAA36301
ENSMUSP00000124333 EAA27685
ENSMUSP00000124333 EAA34695
ENSMUSP00000040244 EAA30135
ENSMUSP00000040244 EAA36301
ENSMUSP00000040244 EAA27685
ENSMUSP00000040244 EAA34695
ENSMUSP00000007449 EAA30135
ENSMUSP00000007449 EAA36301
ENSMUSP00000007449 EAA27685
ENSMUSP00000007449 EAA34695
ENSMUSP00000110703 EAA30135
ENSMUSP00000110703 EAA36301
ENSMUSP00000110703 EAA27685
ENSMUSP00000110703 EAA34695
ENSMUSP00000039114 EAA30135
ENSMUSP00000039114 EAA36301
ENSMUSP00000039114 EAA27685
ENSMUSP00000039114 EAA34695
ENSMUSP00000100045 EAA30135
ENSMUSP00000100045 EAA36301
ENSMUSP00000100045 EAA27685
ENSMUSP00000100045 EAA34695
ENSMUSP00000106319 EAA30135
ENSMUSP00000106319 EAA36301
ENSMUSP00000106319 EAA27685
ENSMUSP00000106319 EAA34695
ENSMUSP00000089459 EAA30135
ENSMUSP00000089459 EAA36301
ENSMUSP00000089459 EAA27685
ENSMUSP00000089459 EAA34695
ENSMUSP00000043190 EAA32969
ENSMUSP00000025541 EAA32969
ENSMUSP00000025602 EAA32969
ENSMUSP00000000001 ESA42608
ENSMUSP00000000001 EAA27897
ENSMUSP00000074259 ESA42608
ENSMUSP00000074259 EAA27897
ENSMUSP00000142326 ESA42608
ENSMUSP00000142326 EAA27897
ENSMUSP00000057543 ESA42608
ENSMUSP00000057543 EAA27897
ENSMUSP00000036087 ESA42608
ENSMUSP00000036087 EAA27897
ENSMUSP00000124639 ESA42608
ENSMUSP00000124639 EAA27897
ENSMUSP00000034198 ESA42608
ENSMUSP00000034198 EAA27897
ENSMUSP00000114144 ESA42608
ENSMUSP00000114144 EAA27897
ENSMUSP00000148550 ESA42608
ENSMUSP00000148550 EAA27897
ENSMUSP00000119220 ESA42608
ENSMUSP00000119220 EAA27897
ENSMUSP00000038841 EAA35290
ENSMUSP00000056433 EAA35290
ENSMUSP00000058391 EAA35290
ENSMUSP00000142634 EAA35290
ENSMUSP00000066238 EAA35290
ENSMUSP00000088174 EAA35290
ENSMUSP00000147590 EAA32107
ENSMUSP00000147590 EAA30737
ENSMUSP00000107339 EAA32627
ENSMUSP00000032399 EAA32627
ENSMUSP00000095570 EAA32627
ENSMUSP00000026572 EAA32627
ENSMUSP00000142603 EAA32627
ENSMUSP00000143644 EAA32627
ENSMUSP00000029445 EAA32627
ENSMUSP00000142438 EAA32627
ENSMUSP00000143391 EAA32627
ENSMUSP00000138189 EAA32627
ENSMUSP00000143620 EAA32627
ENSMUSP00000147731 EAA32627
ENSMUSP00000132110 EAA32627
ENSMUSP00000035045 EAA32627
ENSMUSP00000112407 EAA32627
ENSMUSP00000113275 EAA32627
ENSMUSP00000147655 EAA32627
ENSMUSP00000156387 EAA32927
ENSMUSP00000086207 EAA32927
ENSMUSP00000004990 EAA32927
ENSMUSP00000110402 EAA32927
ENSMUSP00000110400 EAA32927
ENSMUSP00000061958 EAA32927
ENSMUSP00000116914 EAA32927
ENSMUSP00000110406 EAA32927
ENSMUSP00000156692 EAA32927
ENSMUSP00000086204 EAA32927
ENSMUSP00000088880 ESA41968
ENSMUSP00000156154 ESA41968
ENSMUSP00000065983 ESA41968
ENSMUSP00000111396 ESA41968
ENSMUSP00000146161 ESA41968
ENSMUSP00000051619 ESA41968
