FBpp0074936 ENSMUSP00000048802
FBpp0088138 ENSMUSP00000157012
FBpp0088138 ENSMUSP00000157216
FBpp0088138 ENSMUSP00000061700
FBpp0088138 ENSMUSP00000120453
FBpp0088138 ENSMUSP00000110116
FBpp0088138 ENSMUSP00000110117
FBpp0088138 ENSMUSP00000002087
FBpp0088138 ENSMUSP00000131451
FBpp0088138 ENSMUSP00000016323
FBpp0088138 ENSMUSP00000128143
FBpp0088138 ENSMUSP00000110638
FBpp0088138 ENSMUSP00000037028
FBpp0088138 ENSMUSP00000032409
FBpp0088136 ENSMUSP00000046539
FBpp0088136 ENSMUSP00000157012
FBpp0088136 ENSMUSP00000157216
FBpp0088136 ENSMUSP00000061700
FBpp0088136 ENSMUSP00000120453
FBpp0088136 ENSMUSP00000110116
FBpp0088136 ENSMUSP00000110117
FBpp0088136 ENSMUSP00000002087
FBpp0088136 ENSMUSP00000131451
FBpp0088136 ENSMUSP00000016323
FBpp0088136 ENSMUSP00000128143
FBpp0088136 ENSMUSP00000110638
FBpp0088136 ENSMUSP00000037028
FBpp0088136 ENSMUSP00000032409
FBpp0305826 ENSMUSP00000046539
FBpp0305826 ENSMUSP00000157012
FBpp0305826 ENSMUSP00000157216
FBpp0305826 ENSMUSP00000061700
FBpp0305826 ENSMUSP00000120453
FBpp0305826 ENSMUSP00000110116
FBpp0305826 ENSMUSP00000110117
FBpp0305826 ENSMUSP00000002087
FBpp0305826 ENSMUSP00000131451
FBpp0305826 ENSMUSP00000016323
FBpp0305826 ENSMUSP00000128143
FBpp0305826 ENSMUSP00000110638
FBpp0305826 ENSMUSP00000037028
FBpp0305826 ENSMUSP00000032409
FBpp0088132 ENSMUSP00000046539
FBpp0088132 ENSMUSP00000157012
FBpp0088132 ENSMUSP00000157216
FBpp0088132 ENSMUSP00000061700
FBpp0088132 ENSMUSP00000120453
FBpp0088132 ENSMUSP00000110116
FBpp0088132 ENSMUSP00000110117
FBpp0088132 ENSMUSP00000002087
FBpp0088132 ENSMUSP00000131451
FBpp0088132 ENSMUSP00000016323
FBpp0088132 ENSMUSP00000128143
FBpp0088132 ENSMUSP00000110638
FBpp0088132 ENSMUSP00000037028
FBpp0088132 ENSMUSP00000032409
FBpp0099496 ENSMUSP00000133019
FBpp0099496 ENSMUSP00000102008
FBpp0099496 ENSMUSP00000025519
FBpp0099496 ENSMUSP00000099952
FBpp0099496 ENSMUSP00000102009
FBpp0099496 ENSMUSP00000143504
FBpp0099496 ENSMUSP00000102007
FBpp0099496 ENSMUSP00000143677
FBpp0099496 ENSMUSP00000129999
FBpp0099496 ENSMUSP00000102010
FBpp0099496 ENSMUSP00000098398
FBpp0099496 ENSMUSP00000079298
FBpp0099496 ENSMUSP00000071720
FBpp0099496 ENSMUSP00000154158
FBpp0099496 ENSMUSP00000019133
FBpp0099496 ENSMUSP00000105440
FBpp0099496 ENSMUSP00000105438
FBpp0099496 ENSMUSP00000099119
FBpp0099496 ENSMUSP00000091046
FBpp0099496 ENSMUSP00000087925
FBpp0099496 ENSMUSP00000002817
FBpp0099496 ENSMUSP00000065101
FBpp0099496 ENSMUSP00000105437
FBpp0099496 ENSMUSP00000099120
FBpp0099496 ENSMUSP00000063359
FBpp0289607 ENSMUSP00000133019
FBpp0289607 ENSMUSP00000102008
FBpp0289607 ENSMUSP00000025519
FBpp0289607 ENSMUSP00000099952
FBpp0289607 ENSMUSP00000102009
FBpp0289607 ENSMUSP00000143504
FBpp0289607 ENSMUSP00000102007
FBpp0289607 ENSMUSP00000143677
FBpp0289607 ENSMUSP00000129999
FBpp0289607 ENSMUSP00000102010
FBpp0289607 ENSMUSP00000098398
FBpp0289607 ENSMUSP00000079298
FBpp0289607 ENSMUSP00000071720
FBpp0289607 ENSMUSP00000154158
FBpp0289607 ENSMUSP00000019133
FBpp0289607 ENSMUSP00000105440
FBpp0289607 ENSMUSP00000105438
FBpp0289607 ENSMUSP00000099119
FBpp0289607 ENSMUSP00000091046
FBpp0289607 ENSMUSP00000087925
FBpp0289607 ENSMUSP00000002817
FBpp0289607 ENSMUSP00000065101
FBpp0289607 ENSMUSP00000105437
FBpp0289607 ENSMUSP00000099120
FBpp0289607 ENSMUSP00000063359
FBpp0289608 ENSMUSP00000133019
FBpp0289608 ENSMUSP00000102008
FBpp0289608 ENSMUSP00000025519
FBpp0289608 ENSMUSP00000099952
FBpp0289608 ENSMUSP00000102009
FBpp0289608 ENSMUSP00000143504
FBpp0289608 ENSMUSP00000102007
FBpp0289608 ENSMUSP00000143677
FBpp0289608 ENSMUSP00000129999
FBpp0289608 ENSMUSP00000102010
FBpp0289608 ENSMUSP00000098398
FBpp0289608 ENSMUSP00000079298
FBpp0289608 ENSMUSP00000071720
FBpp0289608 ENSMUSP00000154158
FBpp0289608 ENSMUSP00000019133
FBpp0289608 ENSMUSP00000105440
FBpp0289608 ENSMUSP00000105438
FBpp0289608 ENSMUSP00000099119
FBpp0289608 ENSMUSP00000091046
FBpp0289608 ENSMUSP00000087925
FBpp0289608 ENSMUSP00000002817
FBpp0289608 ENSMUSP00000065101
FBpp0289608 ENSMUSP00000105437
FBpp0289608 ENSMUSP00000099120
FBpp0289608 ENSMUSP00000063359
FBpp0305830 ENSMUSP00000133019
FBpp0305830 ENSMUSP00000102008
FBpp0305830 ENSMUSP00000025519
FBpp0305830 ENSMUSP00000099952
FBpp0305830 ENSMUSP00000102009
FBpp0305830 ENSMUSP00000143504
FBpp0305830 ENSMUSP00000102007
FBpp0305830 ENSMUSP00000143677
FBpp0305830 ENSMUSP00000129999
FBpp0305830 ENSMUSP00000102010
FBpp0305830 ENSMUSP00000098398
FBpp0305830 ENSMUSP00000079298
FBpp0305830 ENSMUSP00000071720
FBpp0305830 ENSMUSP00000154158
FBpp0305830 ENSMUSP00000019133
FBpp0305830 ENSMUSP00000105440
FBpp0305830 ENSMUSP00000105438
FBpp0305830 ENSMUSP00000099119
FBpp0305830 ENSMUSP00000091046
FBpp0305830 ENSMUSP00000087925
FBpp0305830 ENSMUSP00000002817
FBpp0305830 ENSMUSP00000065101
FBpp0305830 ENSMUSP00000105437
FBpp0305830 ENSMUSP00000099120
FBpp0305830 ENSMUSP00000063359
FBpp0305831 ENSMUSP00000133019
FBpp0305831 ENSMUSP00000102008
FBpp0305831 ENSMUSP00000025519
FBpp0305831 ENSMUSP00000099952
FBpp0305831 ENSMUSP00000102009
FBpp0305831 ENSMUSP00000143504
FBpp0305831 ENSMUSP00000102007
FBpp0305831 ENSMUSP00000143677
FBpp0305831 ENSMUSP00000129999
FBpp0305831 ENSMUSP00000102010
FBpp0305831 ENSMUSP00000098398
FBpp0305831 ENSMUSP00000079298
FBpp0305831 ENSMUSP00000071720
FBpp0305831 ENSMUSP00000154158
FBpp0305831 ENSMUSP00000019133
FBpp0305831 ENSMUSP00000105440
FBpp0305831 ENSMUSP00000105438
FBpp0305831 ENSMUSP00000099119
FBpp0305831 ENSMUSP00000091046
FBpp0305831 ENSMUSP00000087925
FBpp0305831 ENSMUSP00000002817
FBpp0305831 ENSMUSP00000065101
FBpp0305831 ENSMUSP00000105437
FBpp0305831 ENSMUSP00000099120
FBpp0305831 ENSMUSP00000063359
FBpp0099498 ENSMUSP00000133019
FBpp0099498 ENSMUSP00000102008
FBpp0099498 ENSMUSP00000025519
FBpp0099498 ENSMUSP00000099952
FBpp0099498 ENSMUSP00000102009
FBpp0099498 ENSMUSP00000143504
FBpp0099498 ENSMUSP00000102007
FBpp0099498 ENSMUSP00000143677
FBpp0099498 ENSMUSP00000129999
FBpp0099498 ENSMUSP00000102010
FBpp0099498 ENSMUSP00000098398
FBpp0099498 ENSMUSP00000079298
FBpp0099498 ENSMUSP00000071720
FBpp0099498 ENSMUSP00000154158
FBpp0099498 ENSMUSP00000019133
FBpp0099498 ENSMUSP00000105440
FBpp0099498 ENSMUSP00000105438
FBpp0099498 ENSMUSP00000099119
FBpp0099498 ENSMUSP00000091046
FBpp0099498 ENSMUSP00000087925
FBpp0099498 ENSMUSP00000002817
FBpp0099498 ENSMUSP00000065101
FBpp0099498 ENSMUSP00000105437
FBpp0099498 ENSMUSP00000099120
FBpp0099498 ENSMUSP00000063359
FBpp0099497 ENSMUSP00000133019
FBpp0099497 ENSMUSP00000102008
FBpp0099497 ENSMUSP00000025519
FBpp0099497 ENSMUSP00000099952
FBpp0099497 ENSMUSP00000102009
FBpp0099497 ENSMUSP00000143504
FBpp0099497 ENSMUSP00000102007
FBpp0099497 ENSMUSP00000143677
FBpp0099497 ENSMUSP00000129999
FBpp0099497 ENSMUSP00000102010
FBpp0099497 ENSMUSP00000098398
FBpp0099497 ENSMUSP00000079298
FBpp0099497 ENSMUSP00000071720
FBpp0099497 ENSMUSP00000154158
FBpp0099497 ENSMUSP00000019133
FBpp0099497 ENSMUSP00000105440
FBpp0099497 ENSMUSP00000105438
FBpp0099497 ENSMUSP00000099119
FBpp0099497 ENSMUSP00000091046
FBpp0099497 ENSMUSP00000087925
FBpp0099497 ENSMUSP00000002817
FBpp0099497 ENSMUSP00000065101
FBpp0099497 ENSMUSP00000105437
FBpp0099497 ENSMUSP00000099120
FBpp0099497 ENSMUSP00000063359
FBpp0088283 ENSMUSP00000133019
FBpp0088283 ENSMUSP00000102008
FBpp0088283 ENSMUSP00000025519
FBpp0088283 ENSMUSP00000099952
FBpp0088283 ENSMUSP00000102009
FBpp0088283 ENSMUSP00000143504
FBpp0088283 ENSMUSP00000102007
FBpp0088283 ENSMUSP00000143677
FBpp0088283 ENSMUSP00000129999
FBpp0088283 ENSMUSP00000102010
FBpp0088283 ENSMUSP00000098398
FBpp0088283 ENSMUSP00000079298
FBpp0088283 ENSMUSP00000071720
FBpp0088283 ENSMUSP00000154158
FBpp0088283 ENSMUSP00000019133
FBpp0088283 ENSMUSP00000105440
FBpp0088283 ENSMUSP00000105438
FBpp0088283 ENSMUSP00000099119
FBpp0088283 ENSMUSP00000091046
FBpp0088283 ENSMUSP00000087925
FBpp0088283 ENSMUSP00000002817
FBpp0088283 ENSMUSP00000065101
FBpp0088283 ENSMUSP00000105437
FBpp0088283 ENSMUSP00000099120
FBpp0088283 ENSMUSP00000063359
FBpp0289606 ENSMUSP00000133019
FBpp0289606 ENSMUSP00000102008
FBpp0289606 ENSMUSP00000025519
FBpp0289606 ENSMUSP00000099952
FBpp0289606 ENSMUSP00000102009
FBpp0289606 ENSMUSP00000143504
FBpp0289606 ENSMUSP00000102007
FBpp0289606 ENSMUSP00000143677
FBpp0289606 ENSMUSP00000129999
FBpp0289606 ENSMUSP00000102010
FBpp0289606 ENSMUSP00000098398
FBpp0289606 ENSMUSP00000079298
FBpp0289606 ENSMUSP00000071720
FBpp0289606 ENSMUSP00000154158
FBpp0289606 ENSMUSP00000019133
FBpp0289606 ENSMUSP00000105440
FBpp0289606 ENSMUSP00000105438
FBpp0289606 ENSMUSP00000099119
FBpp0289606 ENSMUSP00000091046
FBpp0289606 ENSMUSP00000087925
FBpp0289606 ENSMUSP00000002817
FBpp0289606 ENSMUSP00000065101
FBpp0289606 ENSMUSP00000105437
FBpp0289606 ENSMUSP00000099120
FBpp0289606 ENSMUSP00000063359
FBpp0088282 ENSMUSP00000133019
FBpp0088282 ENSMUSP00000102008
FBpp0088282 ENSMUSP00000025519
FBpp0088282 ENSMUSP00000099952
FBpp0088282 ENSMUSP00000102009
FBpp0088282 ENSMUSP00000143504
FBpp0088282 ENSMUSP00000102007
FBpp0088282 ENSMUSP00000143677
FBpp0088282 ENSMUSP00000129999
FBpp0088282 ENSMUSP00000102010
FBpp0088282 ENSMUSP00000098398
FBpp0088282 ENSMUSP00000079298
FBpp0088282 ENSMUSP00000071720
FBpp0088282 ENSMUSP00000154158
FBpp0088282 ENSMUSP00000019133
FBpp0088282 ENSMUSP00000105440
FBpp0088282 ENSMUSP00000105438
FBpp0088282 ENSMUSP00000099119
FBpp0088282 ENSMUSP00000091046
FBpp0088282 ENSMUSP00000087925
FBpp0088282 ENSMUSP00000002817
FBpp0088282 ENSMUSP00000065101
FBpp0088282 ENSMUSP00000105437
FBpp0088282 ENSMUSP00000099120
FBpp0088282 ENSMUSP00000063359
FBpp0088281 ENSMUSP00000133019
FBpp0088281 ENSMUSP00000102008
FBpp0088281 ENSMUSP00000025519
FBpp0088281 ENSMUSP00000099952
FBpp0088281 ENSMUSP00000102009
FBpp0088281 ENSMUSP00000143504
FBpp0088281 ENSMUSP00000102007
FBpp0088281 ENSMUSP00000143677
FBpp0088281 ENSMUSP00000129999
FBpp0088281 ENSMUSP00000102010
FBpp0088281 ENSMUSP00000098398
FBpp0088281 ENSMUSP00000079298
FBpp0088281 ENSMUSP00000071720
FBpp0088281 ENSMUSP00000154158
FBpp0088281 ENSMUSP00000019133
FBpp0088281 ENSMUSP00000105440
FBpp0088281 ENSMUSP00000105438
FBpp0088281 ENSMUSP00000099119
FBpp0088281 ENSMUSP00000091046
FBpp0088281 ENSMUSP00000087925
FBpp0088281 ENSMUSP00000002817
FBpp0088281 ENSMUSP00000065101
FBpp0088281 ENSMUSP00000105437
FBpp0088281 ENSMUSP00000099120
FBpp0088281 ENSMUSP00000063359
FBpp0305829 ENSMUSP00000133019
FBpp0305829 ENSMUSP00000102008
FBpp0305829 ENSMUSP00000025519
FBpp0305829 ENSMUSP00000099952
FBpp0305829 ENSMUSP00000102009
FBpp0305829 ENSMUSP00000143504
FBpp0305829 ENSMUSP00000102007
FBpp0305829 ENSMUSP00000143677
FBpp0305829 ENSMUSP00000129999
FBpp0305829 ENSMUSP00000102010
FBpp0305829 ENSMUSP00000098398
FBpp0305829 ENSMUSP00000079298
FBpp0305829 ENSMUSP00000071720
FBpp0305829 ENSMUSP00000154158
FBpp0305829 ENSMUSP00000019133
FBpp0305829 ENSMUSP00000105440
FBpp0305829 ENSMUSP00000105438
FBpp0305829 ENSMUSP00000099119
FBpp0305829 ENSMUSP00000091046
FBpp0305829 ENSMUSP00000087925
FBpp0305829 ENSMUSP00000002817
FBpp0305829 ENSMUSP00000065101
FBpp0305829 ENSMUSP00000105437
FBpp0305829 ENSMUSP00000099120
FBpp0305829 ENSMUSP00000063359
FBpp0079098 ENSMUSP00000118280
FBpp0079100 ENSMUSP00000118280
FBpp0088685 ENSMUSP00000116028
FBpp0088685 ENSMUSP00000120444
FBpp0088685 ENSMUSP00000117493
FBpp0088685 ENSMUSP00000073790
FBpp0088685 ENSMUSP00000112728
FBpp0088685 ENSMUSP00000042229
FBpp0088686 ENSMUSP00000116028
FBpp0088686 ENSMUSP00000120444
FBpp0088686 ENSMUSP00000117493
FBpp0088686 ENSMUSP00000073790
FBpp0088686 ENSMUSP00000112728
FBpp0088686 ENSMUSP00000042229
FBpp0088684 ENSMUSP00000116028
FBpp0088684 ENSMUSP00000120444
FBpp0088684 ENSMUSP00000117493
FBpp0088684 ENSMUSP00000073790
FBpp0088684 ENSMUSP00000112728
FBpp0088684 ENSMUSP00000042229
FBpp0298831 ENSMUSP00000154634
FBpp0298831 ENSMUSP00000080538
FBpp0298831 ENSMUSP00000099867
FBpp0298831 ENSMUSP00000126840
FBpp0298831 ENSMUSP00000127539
FBpp0298831 ENSMUSP00000090672
FBpp0298831 ENSMUSP00000131883
FBpp0298831 ENSMUSP00000104329
FBpp0298831 ENSMUSP00000007301
FBpp0298831 ENSMUSP00000137731
FBpp0298831 ENSMUSP00000104324
FBpp0298831 ENSMUSP00000080584
FBpp0298831 ENSMUSP00000018632
FBpp0298831 ENSMUSP00000127514
FBpp0298831 ENSMUSP00000018637
FBpp0298831 ENSMUSP00000075147
FBpp0298831 ENSMUSP00000117569
FBpp0298831 ENSMUSP00000019625
FBpp0298831 ENSMUSP00000129544
FBpp0298831 ENSMUSP00000018641
FBpp0080458 ENSMUSP00000154634
FBpp0080458 ENSMUSP00000080538
FBpp0080458 ENSMUSP00000099867
FBpp0080458 ENSMUSP00000126840
FBpp0080458 ENSMUSP00000127539
FBpp0080458 ENSMUSP00000090672
FBpp0080458 ENSMUSP00000131883
FBpp0080458 ENSMUSP00000104329
FBpp0080458 ENSMUSP00000007301
FBpp0080458 ENSMUSP00000137731
FBpp0080458 ENSMUSP00000104324
FBpp0080458 ENSMUSP00000080584
FBpp0080458 ENSMUSP00000018632
FBpp0080458 ENSMUSP00000127514
FBpp0080458 ENSMUSP00000018637
FBpp0080458 ENSMUSP00000075147
FBpp0080458 ENSMUSP00000117569
FBpp0080458 ENSMUSP00000019625
FBpp0080458 ENSMUSP00000129544
FBpp0080458 ENSMUSP00000018641
FBpp0298827 ENSMUSP00000154634
FBpp0298827 ENSMUSP00000080538
FBpp0298827 ENSMUSP00000099867
FBpp0298827 ENSMUSP00000126840
FBpp0298827 ENSMUSP00000127539
FBpp0298827 ENSMUSP00000090672
FBpp0298827 ENSMUSP00000131883
FBpp0298827 ENSMUSP00000104329
FBpp0298827 ENSMUSP00000007301
FBpp0298827 ENSMUSP00000137731
FBpp0298827 ENSMUSP00000104324
FBpp0298827 ENSMUSP00000080584
FBpp0298827 ENSMUSP00000018632
FBpp0298827 ENSMUSP00000127514
FBpp0298827 ENSMUSP00000018637
FBpp0298827 ENSMUSP00000075147
FBpp0298827 ENSMUSP00000117569
FBpp0298827 ENSMUSP00000019625
FBpp0298827 ENSMUSP00000129544
FBpp0298827 ENSMUSP00000018641
FBpp0298829 ENSMUSP00000154634
FBpp0298829 ENSMUSP00000080538
FBpp0298829 ENSMUSP00000099867
FBpp0298829 ENSMUSP00000126840
FBpp0298829 ENSMUSP00000127539
FBpp0298829 ENSMUSP00000090672
FBpp0298829 ENSMUSP00000131883
FBpp0298829 ENSMUSP00000104329
FBpp0298829 ENSMUSP00000007301
FBpp0298829 ENSMUSP00000137731
FBpp0298829 ENSMUSP00000104324
FBpp0298829 ENSMUSP00000080584
FBpp0298829 ENSMUSP00000018632
FBpp0298829 ENSMUSP00000127514
FBpp0298829 ENSMUSP00000018637
FBpp0298829 ENSMUSP00000075147
FBpp0298829 ENSMUSP00000117569
FBpp0298829 ENSMUSP00000019625
FBpp0298829 ENSMUSP00000129544
FBpp0298829 ENSMUSP00000018641
FBpp0312323 ENSMUSP00000154634
FBpp0312323 ENSMUSP00000080538
FBpp0312323 ENSMUSP00000099867
FBpp0312323 ENSMUSP00000126840
FBpp0312323 ENSMUSP00000127539
FBpp0312323 ENSMUSP00000090672
FBpp0312323 ENSMUSP00000131883
FBpp0312323 ENSMUSP00000104329
FBpp0312323 ENSMUSP00000007301
FBpp0312323 ENSMUSP00000137731
FBpp0312323 ENSMUSP00000104324
FBpp0312323 ENSMUSP00000080584
FBpp0312323 ENSMUSP00000018632
FBpp0312323 ENSMUSP00000127514
FBpp0312323 ENSMUSP00000018637
FBpp0312323 ENSMUSP00000075147
FBpp0312323 ENSMUSP00000117569
FBpp0312323 ENSMUSP00000019625
FBpp0312323 ENSMUSP00000129544
FBpp0312323 ENSMUSP00000018641
FBpp0080452 ENSMUSP00000154634
FBpp0080452 ENSMUSP00000080538
FBpp0080452 ENSMUSP00000099867
FBpp0080452 ENSMUSP00000126840
FBpp0080452 ENSMUSP00000127539
FBpp0080452 ENSMUSP00000090672
FBpp0080452 ENSMUSP00000131883
FBpp0080452 ENSMUSP00000104329
FBpp0080452 ENSMUSP00000007301
FBpp0080452 ENSMUSP00000137731
FBpp0080452 ENSMUSP00000104324
FBpp0080452 ENSMUSP00000080584
FBpp0080452 ENSMUSP00000018632
FBpp0080452 ENSMUSP00000127514
FBpp0080452 ENSMUSP00000018637
FBpp0080452 ENSMUSP00000075147
FBpp0080452 ENSMUSP00000117569
FBpp0080452 ENSMUSP00000019625
FBpp0080452 ENSMUSP00000129544
FBpp0080452 ENSMUSP00000018641
FBpp0291042 ENSMUSP00000154634
FBpp0291042 ENSMUSP00000080538
FBpp0291042 ENSMUSP00000099867
FBpp0291042 ENSMUSP00000126840
FBpp0291042 ENSMUSP00000127539
FBpp0291042 ENSMUSP00000090672
FBpp0291042 ENSMUSP00000131883
FBpp0291042 ENSMUSP00000104329
FBpp0291042 ENSMUSP00000007301
FBpp0291042 ENSMUSP00000137731
FBpp0291042 ENSMUSP00000104324
FBpp0291042 ENSMUSP00000080584
FBpp0291042 ENSMUSP00000018632
FBpp0291042 ENSMUSP00000127514
FBpp0291042 ENSMUSP00000018637
FBpp0291042 ENSMUSP00000075147
FBpp0291042 ENSMUSP00000117569
FBpp0291042 ENSMUSP00000019625
FBpp0291042 ENSMUSP00000129544
FBpp0291042 ENSMUSP00000018641
FBpp0080456 ENSMUSP00000154634
FBpp0080456 ENSMUSP00000080538
FBpp0080456 ENSMUSP00000099867
FBpp0080456 ENSMUSP00000126840
FBpp0080456 ENSMUSP00000127539
FBpp0080456 ENSMUSP00000090672
FBpp0080456 ENSMUSP00000131883
FBpp0080456 ENSMUSP00000104329
FBpp0080456 ENSMUSP00000007301
FBpp0080456 ENSMUSP00000137731
FBpp0080456 ENSMUSP00000104324
FBpp0080456 ENSMUSP00000080584
FBpp0080456 ENSMUSP00000018632
FBpp0080456 ENSMUSP00000127514
FBpp0080456 ENSMUSP00000018637
FBpp0080456 ENSMUSP00000075147
FBpp0080456 ENSMUSP00000117569
FBpp0080456 ENSMUSP00000019625
FBpp0080456 ENSMUSP00000129544
FBpp0080456 ENSMUSP00000018641
FBpp0080455 ENSMUSP00000154634
FBpp0080455 ENSMUSP00000080538
FBpp0080455 ENSMUSP00000099867
FBpp0080455 ENSMUSP00000126840
FBpp0080455 ENSMUSP00000127539
FBpp0080455 ENSMUSP00000090672
FBpp0080455 ENSMUSP00000131883
FBpp0080455 ENSMUSP00000104329
FBpp0080455 ENSMUSP00000007301
FBpp0080455 ENSMUSP00000137731
FBpp0080455 ENSMUSP00000104324
FBpp0080455 ENSMUSP00000080584
FBpp0080455 ENSMUSP00000018632
FBpp0080455 ENSMUSP00000127514
FBpp0080455 ENSMUSP00000018637
FBpp0080455 ENSMUSP00000075147
FBpp0080455 ENSMUSP00000117569
FBpp0080455 ENSMUSP00000019625
FBpp0080455 ENSMUSP00000129544
FBpp0080455 ENSMUSP00000018641
FBpp0298828 ENSMUSP00000154634
FBpp0298828 ENSMUSP00000080538
FBpp0298828 ENSMUSP00000099867
FBpp0298828 ENSMUSP00000126840
FBpp0298828 ENSMUSP00000127539
FBpp0298828 ENSMUSP00000090672
FBpp0298828 ENSMUSP00000131883
FBpp0298828 ENSMUSP00000104329
FBpp0298828 ENSMUSP00000007301
FBpp0298828 ENSMUSP00000137731
FBpp0298828 ENSMUSP00000104324
FBpp0298828 ENSMUSP00000080584
FBpp0298828 ENSMUSP00000018632
FBpp0298828 ENSMUSP00000127514
FBpp0298828 ENSMUSP00000018637
FBpp0298828 ENSMUSP00000075147
FBpp0298828 ENSMUSP00000117569
FBpp0298828 ENSMUSP00000019625
FBpp0298828 ENSMUSP00000129544
FBpp0298828 ENSMUSP00000018641
FBpp0291041 ENSMUSP00000154634
FBpp0291041 ENSMUSP00000080538
FBpp0291041 ENSMUSP00000099867
FBpp0291041 ENSMUSP00000126840
FBpp0291041 ENSMUSP00000127539
FBpp0291041 ENSMUSP00000090672
FBpp0291041 ENSMUSP00000131883
FBpp0291041 ENSMUSP00000104329
FBpp0291041 ENSMUSP00000007301
FBpp0291041 ENSMUSP00000137731
FBpp0291041 ENSMUSP00000104324
FBpp0291041 ENSMUSP00000080584
FBpp0291041 ENSMUSP00000018632
FBpp0291041 ENSMUSP00000127514
FBpp0291041 ENSMUSP00000018637
FBpp0291041 ENSMUSP00000075147
FBpp0291041 ENSMUSP00000117569
FBpp0291041 ENSMUSP00000019625
FBpp0291041 ENSMUSP00000129544
FBpp0291041 ENSMUSP00000018641
FBpp0080453 ENSMUSP00000154634
FBpp0080453 ENSMUSP00000080538
FBpp0080453 ENSMUSP00000099867
FBpp0080453 ENSMUSP00000126840
FBpp0080453 ENSMUSP00000127539
FBpp0080453 ENSMUSP00000090672
FBpp0080453 ENSMUSP00000131883
FBpp0080453 ENSMUSP00000104329
FBpp0080453 ENSMUSP00000007301
FBpp0080453 ENSMUSP00000137731
FBpp0080453 ENSMUSP00000104324
FBpp0080453 ENSMUSP00000080584
FBpp0080453 ENSMUSP00000018632
FBpp0080453 ENSMUSP00000127514
FBpp0080453 ENSMUSP00000018637
FBpp0080453 ENSMUSP00000075147
FBpp0080453 ENSMUSP00000117569
FBpp0080453 ENSMUSP00000019625
FBpp0080453 ENSMUSP00000129544
FBpp0080453 ENSMUSP00000018641
FBpp0080459 ENSMUSP00000154634
FBpp0080459 ENSMUSP00000080538
FBpp0080459 ENSMUSP00000099867
FBpp0080459 ENSMUSP00000126840
FBpp0080459 ENSMUSP00000127539
FBpp0080459 ENSMUSP00000090672
FBpp0080459 ENSMUSP00000131883
FBpp0080459 ENSMUSP00000104329
