ENSMUSP00000048802 YGL171W_mRNA
ENSMUSP00000104324 YHR023W_mRNA
ENSMUSP00000080584 YHR023W_mRNA
ENSMUSP00000018632 YHR023W_mRNA
ENSMUSP00000127514 YHR023W_mRNA
ENSMUSP00000018637 YHR023W_mRNA
ENSMUSP00000075147 YHR023W_mRNA
ENSMUSP00000117569 YHR023W_mRNA
ENSMUSP00000019625 YHR023W_mRNA
ENSMUSP00000129544 YHR023W_mRNA
ENSMUSP00000018641 YHR023W_mRNA
ENSMUSP00000103531 YHR023W_mRNA
ENSMUSP00000147115 YHR023W_mRNA
ENSMUSP00000103532 YHR023W_mRNA
ENSMUSP00000046059 YHR023W_mRNA
ENSMUSP00000018887 YHR023W_mRNA
ENSMUSP00000090661 YHR023W_mRNA
ENSMUSP00000099671 YHR023W_mRNA
ENSMUSP00000016771 YHR023W_mRNA
ENSMUSP00000155052 YHR023W_mRNA
ENSMUSP00000156021 YHR023W_mRNA
ENSMUSP00000087756 YHR023W_mRNA
ENSMUSP00000126352 YER164W_mRNA
ENSMUSP00000134091 YER164W_mRNA
ENSMUSP00000024627 YER164W_mRNA
ENSMUSP00000031984 YAL019W_mRNA
ENSMUSP00000025965 YFR038W_mRNA
ENSMUSP00000076769 YOR304W_mRNA
ENSMUSP00000076769 YBR245C_mRNA
ENSMUSP00000135570 YOR304W_mRNA
ENSMUSP00000135570 YBR245C_mRNA
ENSMUSP00000114296 YOR304W_mRNA
ENSMUSP00000114296 YBR245C_mRNA
ENSMUSP00000086366 YOR304W_mRNA
ENSMUSP00000086366 YBR245C_mRNA
ENSMUSP00000099138 YOR304W_mRNA
ENSMUSP00000099138 YBR245C_mRNA
ENSMUSP00000044361 YOR304W_mRNA
ENSMUSP00000044361 YBR245C_mRNA
ENSMUSP00000133535 YIL126W_mRNA
ENSMUSP00000133535 YOR290C_mRNA
ENSMUSP00000096547 YIL126W_mRNA
ENSMUSP00000096547 YOR290C_mRNA
ENSMUSP00000097135 YIL126W_mRNA
ENSMUSP00000097135 YOR290C_mRNA
ENSMUSP00000135784 YIL126W_mRNA
ENSMUSP00000135784 YOR290C_mRNA
ENSMUSP00000025862 YIL126W_mRNA
ENSMUSP00000025862 YOR290C_mRNA
ENSMUSP00000135017 YIL126W_mRNA
ENSMUSP00000135017 YOR290C_mRNA
ENSMUSP00000034707 YIL126W_mRNA
ENSMUSP00000034707 YOR290C_mRNA
ENSMUSP00000133922 YIL126W_mRNA
ENSMUSP00000133922 YOR290C_mRNA
ENSMUSP00000027381 YNL202W_mRNA
ENSMUSP00000045621 YNL202W_mRNA
ENSMUSP00000147715 YIR035C_mRNA
ENSMUSP00000147715 YIR036C_mRNA
ENSMUSP00000147851 YIR035C_mRNA
ENSMUSP00000147851 YIR036C_mRNA
ENSMUSP00000103381 YIR035C_mRNA
ENSMUSP00000103381 YIR036C_mRNA
ENSMUSP00000149620 YDL160C_mRNA
ENSMUSP00000128421 YDL160C_mRNA
ENSMUSP00000101860 YDR021W_mRNA
ENSMUSP00000145166 YDR021W_mRNA
ENSMUSP00000144809 YDR021W_mRNA
ENSMUSP00000133154 YDR021W_mRNA
ENSMUSP00000145194 YDR021W_mRNA
ENSMUSP00000026667 YDR021W_mRNA
ENSMUSP00000110998 YKR059W_mRNA
ENSMUSP00000110998 YJL138C_mRNA
ENSMUSP00000156170 YKR059W_mRNA
ENSMUSP00000156170 YJL138C_mRNA
ENSMUSP00000090876 YKR059W_mRNA
ENSMUSP00000090876 YJL138C_mRNA
ENSMUSP00000115649 YKR059W_mRNA
ENSMUSP00000115649 YJL138C_mRNA
ENSMUSP00000140809 YKR059W_mRNA
ENSMUSP00000140809 YJL138C_mRNA
ENSMUSP00000023599 YKR059W_mRNA
ENSMUSP00000023599 YJL138C_mRNA
ENSMUSP00000127030 YKR059W_mRNA
ENSMUSP00000127030 YJL138C_mRNA
ENSMUSP00000127034 YKR059W_mRNA
ENSMUSP00000127034 YJL138C_mRNA
ENSMUSP00000038551 YOR046C_mRNA
ENSMUSP00000066806 YOR046C_mRNA
ENSMUSP00000047898 YOR046C_mRNA
ENSMUSP00000034612 YOR046C_mRNA
ENSMUSP00000070259 YNL154C_mRNA
ENSMUSP00000070259 YHR135C_mRNA
ENSMUSP00000082560 YNL154C_mRNA
ENSMUSP00000082560 YHR135C_mRNA
ENSMUSP00000078706 YNL154C_mRNA
ENSMUSP00000078706 YHR135C_mRNA
ENSMUSP00000145938 YNL154C_mRNA
ENSMUSP00000145938 YHR135C_mRNA
ENSMUSP00000145724 YNL154C_mRNA
ENSMUSP00000145724 YHR135C_mRNA
ENSMUSP00000113160 YNL154C_mRNA
ENSMUSP00000113160 YHR135C_mRNA
ENSMUSP00000146047 YNL154C_mRNA
ENSMUSP00000146047 YHR135C_mRNA
ENSMUSP00000145947 YNL154C_mRNA
ENSMUSP00000145947 YHR135C_mRNA
ENSMUSP00000034949 YNL154C_mRNA
ENSMUSP00000034949 YHR135C_mRNA
ENSMUSP00000145887 YNL154C_mRNA
ENSMUSP00000145887 YHR135C_mRNA
ENSMUSP00000113341 YPL204W_mRNA
ENSMUSP00000113975 YPL204W_mRNA
ENSMUSP00000070721 YPL204W_mRNA
ENSMUSP00000018274 YPL204W_mRNA
ENSMUSP00000113096 YPL204W_mRNA
ENSMUSP00000117472 YPL204W_mRNA
ENSMUSP00000155317 YPL204W_mRNA
ENSMUSP00000110901 YPL204W_mRNA
ENSMUSP00000127463 YPL204W_mRNA
ENSMUSP00000127265 YPL204W_mRNA
ENSMUSP00000131687 YPL204W_mRNA
ENSMUSP00000127144 YPL204W_mRNA
ENSMUSP00000132083 YPL204W_mRNA
ENSMUSP00000128871 YPL204W_mRNA
ENSMUSP00000137802 YMR104C_mRNA
ENSMUSP00000137802 YKL126W_mRNA
ENSMUSP00000025749 YMR104C_mRNA
ENSMUSP00000025749 YKL126W_mRNA
ENSMUSP00000119715 YMR104C_mRNA
ENSMUSP00000119715 YKL126W_mRNA
ENSMUSP00000120882 YMR104C_mRNA
ENSMUSP00000120882 YKL126W_mRNA
ENSMUSP00000115073 YMR104C_mRNA
ENSMUSP00000115073 YKL126W_mRNA
ENSMUSP00000130078 YMR104C_mRNA
ENSMUSP00000130078 YKL126W_mRNA
ENSMUSP00000126861 YMR104C_mRNA
ENSMUSP00000126861 YKL126W_mRNA
ENSMUSP00000095437 YMR104C_mRNA
ENSMUSP00000095437 YKL126W_mRNA
ENSMUSP00000127462 YMR104C_mRNA
ENSMUSP00000127462 YKL126W_mRNA
ENSMUSP00000018012 YMR104C_mRNA
ENSMUSP00000018012 YKL126W_mRNA
ENSMUSP00000112468 YMR104C_mRNA
ENSMUSP00000112468 YKL126W_mRNA
ENSMUSP00000020145 YMR104C_mRNA
ENSMUSP00000020145 YKL126W_mRNA
ENSMUSP00000090343 YMR104C_mRNA
ENSMUSP00000090343 YKL126W_mRNA
ENSMUSP00000114074 YMR104C_mRNA
ENSMUSP00000114074 YKL126W_mRNA
ENSMUSP00000128873 YMR104C_mRNA
ENSMUSP00000128873 YKL126W_mRNA
ENSMUSP00000097614 YMR104C_mRNA
ENSMUSP00000097614 YKL126W_mRNA
ENSMUSP00000114691 YMR104C_mRNA
ENSMUSP00000114691 YKL126W_mRNA
ENSMUSP00000117119 YMR104C_mRNA
ENSMUSP00000117119 YKL126W_mRNA
ENSMUSP00000118190 YMR104C_mRNA
ENSMUSP00000118190 YKL126W_mRNA
ENSMUSP00000123689 YMR104C_mRNA
ENSMUSP00000123689 YKL126W_mRNA
ENSMUSP00000103979 YMR104C_mRNA
ENSMUSP00000103979 YKL126W_mRNA
ENSMUSP00000132141 YMR104C_mRNA
ENSMUSP00000132141 YKL126W_mRNA
ENSMUSP00000052103 YMR104C_mRNA
ENSMUSP00000052103 YKL126W_mRNA
ENSMUSP00000103981 YMR104C_mRNA
ENSMUSP00000103981 YKL126W_mRNA
ENSMUSP00000103980 YMR104C_mRNA
ENSMUSP00000103980 YKL126W_mRNA
ENSMUSP00000122222 YMR104C_mRNA
ENSMUSP00000122222 YKL126W_mRNA
ENSMUSP00000001780 YMR104C_mRNA
ENSMUSP00000001780 YKL126W_mRNA
ENSMUSP00000106789 YMR104C_mRNA
ENSMUSP00000106789 YKL126W_mRNA
ENSMUSP00000106790 YMR104C_mRNA
ENSMUSP00000106790 YKL126W_mRNA
ENSMUSP00000019843 YMR104C_mRNA
ENSMUSP00000019843 YKL126W_mRNA
ENSMUSP00000083081 YMR104C_mRNA
ENSMUSP00000083081 YKL126W_mRNA
ENSMUSP00000120978 YMR104C_mRNA
ENSMUSP00000120978 YKL126W_mRNA
ENSMUSP00000118851 YOR246C_mRNA
ENSMUSP00000124066 YOR246C_mRNA
ENSMUSP00000082352 YOR246C_mRNA
ENSMUSP00000021548 YOR246C_mRNA
ENSMUSP00000112543 YOR246C_mRNA
ENSMUSP00000008579 YOR246C_mRNA
ENSMUSP00000113433 YOR246C_mRNA
ENSMUSP00000114390 YOR246C_mRNA
ENSMUSP00000021187 YOR246C_mRNA
ENSMUSP00000112553 YOR246C_mRNA
ENSMUSP00000020947 YOR246C_mRNA
ENSMUSP00000104736 YOR246C_mRNA
ENSMUSP00000125626 YOR246C_mRNA
ENSMUSP00000004756 YOR246C_mRNA
ENSMUSP00000025217 YEL030W_mRNA
ENSMUSP00000025217 YJR045C_mRNA
ENSMUSP00000028222 YJL034W_mRNA
ENSMUSP00000097747 YJL034W_mRNA
ENSMUSP00000151408 YLL024C_mRNA
ENSMUSP00000151408 YAL005C_mRNA
ENSMUSP00000151408 YER103W_mRNA
ENSMUSP00000151408 YBL075C_mRNA
ENSMUSP00000079306 YLL024C_mRNA
ENSMUSP00000079306 YAL005C_mRNA
ENSMUSP00000079306 YER103W_mRNA
ENSMUSP00000079306 YBL075C_mRNA
ENSMUSP00000113722 YLL024C_mRNA
ENSMUSP00000113722 YAL005C_mRNA
ENSMUSP00000113722 YER103W_mRNA
ENSMUSP00000113722 YBL075C_mRNA
ENSMUSP00000015800 YLL024C_mRNA
ENSMUSP00000015800 YAL005C_mRNA
ENSMUSP00000015800 YER103W_mRNA
ENSMUSP00000015800 YBL075C_mRNA
ENSMUSP00000007248 YLL024C_mRNA
ENSMUSP00000007248 YAL005C_mRNA
ENSMUSP00000007248 YER103W_mRNA
ENSMUSP00000007248 YBL075C_mRNA
ENSMUSP00000084586 YLL024C_mRNA
ENSMUSP00000084586 YAL005C_mRNA
ENSMUSP00000084586 YER103W_mRNA
ENSMUSP00000084586 YBL075C_mRNA
ENSMUSP00000133815 YLL024C_mRNA
ENSMUSP00000133815 YAL005C_mRNA
ENSMUSP00000133815 YER103W_mRNA
ENSMUSP00000133815 YBL075C_mRNA
ENSMUSP00000031822 YCR011C_mRNA
ENSMUSP00000109933 YCR011C_mRNA
ENSMUSP00000138703 YCR011C_mRNA
ENSMUSP00000138608 YCR011C_mRNA
ENSMUSP00000124583 YOL075C_mRNA
ENSMUSP00000124154 YOL075C_mRNA
ENSMUSP00000130783 YOL075C_mRNA
ENSMUSP00000069495 YOL075C_mRNA
ENSMUSP00000124647 YOL075C_mRNA
ENSMUSP00000034648 YOL075C_mRNA
ENSMUSP00000024829 YOL075C_mRNA
ENSMUSP00000029257 YAL026C_mRNA
ENSMUSP00000033818 YAL026C_mRNA
ENSMUSP00000088779 YAL026C_mRNA
ENSMUSP00000146015 YAL026C_mRNA
ENSMUSP00000099066 YAL026C_mRNA
ENSMUSP00000145853 YAL026C_mRNA
ENSMUSP00000119320 YAL026C_mRNA
ENSMUSP00000118379 YAL026C_mRNA
ENSMUSP00000072738 YAL026C_mRNA
ENSMUSP00000042215 YAL026C_mRNA
ENSMUSP00000079238 YAL026C_mRNA
ENSMUSP00000129811 YDR093W_mRNA
ENSMUSP00000129811 YER166W_mRNA
ENSMUSP00000076844 YDR093W_mRNA
ENSMUSP00000076844 YER166W_mRNA
ENSMUSP00000143594 YDR093W_mRNA
ENSMUSP00000143594 YER166W_mRNA
ENSMUSP00000142749 YDR093W_mRNA
ENSMUSP00000142749 YER166W_mRNA
ENSMUSP00000079670 YBR010W_mRNA
ENSMUSP00000079670 YNL031C_mRNA
ENSMUSP00000089293 YBR010W_mRNA
ENSMUSP00000089293 YNL031C_mRNA
ENSMUSP00000140394 YBR010W_mRNA
ENSMUSP00000140394 YNL031C_mRNA
ENSMUSP00000139663 YBR010W_mRNA
ENSMUSP00000139663 YNL031C_mRNA
ENSMUSP00000151536 YBR010W_mRNA
ENSMUSP00000151536 YNL031C_mRNA
ENSMUSP00000089295 YBR010W_mRNA
ENSMUSP00000089295 YNL031C_mRNA
ENSMUSP00000134751 YBR010W_mRNA
ENSMUSP00000134751 YNL031C_mRNA
ENSMUSP00000135215 YBR010W_mRNA
ENSMUSP00000135215 YNL031C_mRNA
ENSMUSP00000089346 YBR010W_mRNA
ENSMUSP00000089346 YNL031C_mRNA
ENSMUSP00000100739 YBR010W_mRNA
ENSMUSP00000100739 YNL031C_mRNA
ENSMUSP00000096442 YBR010W_mRNA
ENSMUSP00000096442 YNL031C_mRNA
ENSMUSP00000100737 YBR010W_mRNA
ENSMUSP00000100737 YNL031C_mRNA
ENSMUSP00000074994 YBR010W_mRNA
ENSMUSP00000074994 YNL031C_mRNA
ENSMUSP00000016703 YBR010W_mRNA
ENSMUSP00000016703 YNL031C_mRNA
ENSMUSP00000102062 YBR010W_mRNA
ENSMUSP00000102062 YNL031C_mRNA
ENSMUSP00000079816 YBR010W_mRNA
ENSMUSP00000079816 YNL031C_mRNA
ENSMUSP00000125104 YBR010W_mRNA
ENSMUSP00000125104 YNL031C_mRNA
ENSMUSP00000124509 YBR010W_mRNA
ENSMUSP00000124509 YNL031C_mRNA
ENSMUSP00000125754 YBR010W_mRNA
ENSMUSP00000125754 YNL031C_mRNA
ENSMUSP00000113283 YER125W_mRNA
ENSMUSP00000084942 YER125W_mRNA
ENSMUSP00000152215 YER125W_mRNA
ENSMUSP00000106145 YER125W_mRNA
ENSMUSP00000098029 YER125W_mRNA
ENSMUSP00000106305 YER125W_mRNA
ENSMUSP00000082827 YER125W_mRNA
ENSMUSP00000090177 YER125W_mRNA
ENSMUSP00000129269 YER125W_mRNA
ENSMUSP00000099356 YER125W_mRNA
ENSMUSP00000148679 YER125W_mRNA
ENSMUSP00000132224 YER125W_mRNA
ENSMUSP00000148813 YER125W_mRNA
ENSMUSP00000103881 YER125W_mRNA
ENSMUSP00000041627 YER125W_mRNA
ENSMUSP00000029126 YER125W_mRNA
ENSMUSP00000105307 YER125W_mRNA
ENSMUSP00000153537 YER125W_mRNA
ENSMUSP00000132838 YER125W_mRNA
ENSMUSP00000079280 YER125W_mRNA
ENSMUSP00000153526 YER125W_mRNA
ENSMUSP00000153052 YER125W_mRNA
ENSMUSP00000034740 YER125W_mRNA
ENSMUSP00000076397 YDR224C_mRNA
ENSMUSP00000076397 YBL002W_mRNA
ENSMUSP00000056604 YDR224C_mRNA
ENSMUSP00000056604 YBL002W_mRNA
ENSMUSP00000135427 YDR224C_mRNA
ENSMUSP00000135427 YBL002W_mRNA
ENSMUSP00000106099 YDR224C_mRNA
ENSMUSP00000106099 YBL002W_mRNA
ENSMUSP00000100047 YDR224C_mRNA
ENSMUSP00000100047 YBL002W_mRNA
ENSMUSP00000153457 YDR224C_mRNA
ENSMUSP00000153457 YBL002W_mRNA
ENSMUSP00000018246 YDR224C_mRNA
ENSMUSP00000018246 YBL002W_mRNA
ENSMUSP00000089296 YDR224C_mRNA
ENSMUSP00000089296 YBL002W_mRNA
ENSMUSP00000136792 YDR224C_mRNA
ENSMUSP00000136792 YBL002W_mRNA
ENSMUSP00000089343 YDR224C_mRNA
ENSMUSP00000089343 YBL002W_mRNA
ENSMUSP00000097294 YDR224C_mRNA
ENSMUSP00000097294 YBL002W_mRNA
ENSMUSP00000106082 YDR224C_mRNA
ENSMUSP00000106082 YBL002W_mRNA
ENSMUSP00000089350 YDR224C_mRNA
ENSMUSP00000089350 YBL002W_mRNA
ENSMUSP00000106095 YDR224C_mRNA
ENSMUSP00000106095 YBL002W_mRNA
ENSMUSP00000089301 YDR224C_mRNA
ENSMUSP00000089301 YBL002W_mRNA
ENSMUSP00000100738 YDR224C_mRNA
ENSMUSP00000100738 YBL002W_mRNA
ENSMUSP00000106093 YDR224C_mRNA
ENSMUSP00000106093 YBL002W_mRNA
ENSMUSP00000077290 YDR224C_mRNA
ENSMUSP00000077290 YBL002W_mRNA
ENSMUSP00000106102 YDR224C_mRNA
ENSMUSP00000106102 YBL002W_mRNA
ENSMUSP00000088287 YDR224C_mRNA
ENSMUSP00000088287 YBL002W_mRNA
ENSMUSP00000106085 YDR224C_mRNA
ENSMUSP00000106085 YBL002W_mRNA
ENSMUSP00000153277 YDR224C_mRNA
ENSMUSP00000153277 YBL002W_mRNA
ENSMUSP00000061247 YDR224C_mRNA
ENSMUSP00000061247 YBL002W_mRNA
ENSMUSP00000078239 YDR224C_mRNA
ENSMUSP00000078239 YBL002W_mRNA
ENSMUSP00000108528 YMR246W_mRNA
ENSMUSP00000108528 YIL009W_mRNA
ENSMUSP00000108528 YOR317W_mRNA
ENSMUSP00000033634 YMR246W_mRNA
ENSMUSP00000033634 YIL009W_mRNA
ENSMUSP00000033634 YOR317W_mRNA
ENSMUSP00000108524 YMR246W_mRNA
ENSMUSP00000108524 YIL009W_mRNA
ENSMUSP00000108524 YOR317W_mRNA
ENSMUSP00000108525 YMR246W_mRNA
ENSMUSP00000108525 YIL009W_mRNA
ENSMUSP00000108525 YOR317W_mRNA
ENSMUSP00000117952 YMR246W_mRNA
ENSMUSP00000117952 YIL009W_mRNA
ENSMUSP00000117952 YOR317W_mRNA
ENSMUSP00000121695 YMR246W_mRNA
ENSMUSP00000121695 YIL009W_mRNA
ENSMUSP00000121695 YOR317W_mRNA
ENSMUSP00000045291 YMR246W_mRNA
ENSMUSP00000045291 YIL009W_mRNA
ENSMUSP00000045291 YOR317W_mRNA
ENSMUSP00000046585 YER015W_mRNA
ENSMUSP00000072040 YER015W_mRNA
ENSMUSP00000090795 YER015W_mRNA
ENSMUSP00000091746 YER015W_mRNA
ENSMUSP00000104533 YER015W_mRNA
ENSMUSP00000104532 YER015W_mRNA
ENSMUSP00000098773 YER015W_mRNA
ENSMUSP00000098771 YER015W_mRNA
ENSMUSP00000069844 YER015W_mRNA
ENSMUSP00000104527 YER015W_mRNA
ENSMUSP00000119714 YER015W_mRNA
ENSMUSP00000000145 YER015W_mRNA
ENSMUSP00000106000 YER015W_mRNA
ENSMUSP00000106001 YER015W_mRNA
ENSMUSP00000034046 YER015W_mRNA
ENSMUSP00000154967 YDL137W_mRNA
ENSMUSP00000154967 YDL192W_mRNA
ENSMUSP00000107937 YDL137W_mRNA
ENSMUSP00000107937 YDL192W_mRNA
ENSMUSP00000155713 YDL137W_mRNA
ENSMUSP00000155713 YDL192W_mRNA
ENSMUSP00000022429 YDL137W_mRNA
ENSMUSP00000022429 YDL192W_mRNA
ENSMUSP00000020717 YDL137W_mRNA
ENSMUSP00000020717 YDL192W_mRNA
ENSMUSP00000127281 YDL137W_mRNA
ENSMUSP00000127281 YDL192W_mRNA
ENSMUSP00000102622 YDL137W_mRNA
ENSMUSP00000102622 YDL192W_mRNA
ENSMUSP00000051814 YDL137W_mRNA
ENSMUSP00000051814 YDL192W_mRNA
ENSMUSP00000050689 YDL137W_mRNA
ENSMUSP00000050689 YDL192W_mRNA
ENSMUSP00000079905 YDL137W_mRNA
ENSMUSP00000079905 YDL192W_mRNA
ENSMUSP00000126120 YDL137W_mRNA
ENSMUSP00000126120 YDL192W_mRNA
ENSMUSP00000111942 YBR164C_mRNA
ENSMUSP00000079246 YBR164C_mRNA
ENSMUSP00000025893 YMR138W_mRNA
ENSMUSP00000070767 YOR094W_mRNA
ENSMUSP00000069371 YOR094W_mRNA
ENSMUSP00000035918 YOR094W_mRNA
ENSMUSP00000099013 YOR094W_mRNA
ENSMUSP00000114458 YOR094W_mRNA
ENSMUSP00000057085 YOR094W_mRNA
ENSMUSP00000124344 YOR094W_mRNA
ENSMUSP00000139499 YOR094W_mRNA
ENSMUSP00000092692 YHR129C_mRNA
ENSMUSP00000092693 YHR129C_mRNA
ENSMUSP00000134564 YHR129C_mRNA
ENSMUSP00000050377 YHR129C_mRNA
ENSMUSP00000048360 YHR129C_mRNA
ENSMUSP00000047326 YHR129C_mRNA
ENSMUSP00000039844 YHR129C_mRNA
ENSMUSP00000052086 YFL039C_mRNA
ENSMUSP00000098066 YFL039C_mRNA
ENSMUSP00000071486 YFL039C_mRNA
ENSMUSP00000101822 YFL039C_mRNA
ENSMUSP00000146302 YFL039C_mRNA
ENSMUSP00000130611 YFL039C_mRNA
ENSMUSP00000101823 YFL039C_mRNA
ENSMUSP00000148594 YFL039C_mRNA
ENSMUSP00000120936 YFL039C_mRNA
ENSMUSP00000048218 YFL039C_mRNA
