AT3G09720.1 FBpp0074936
AT5G18620.2 FBpp0086954
AT2G46020.2 FBpp0303193
AT2G46020.2 FBpp0075281
AT2G46020.2 FBpp0075280
AT2G46020.2 FBpp0075279
AT2G46020.2 FBpp0075278
AT2G46020.2 FBpp0305757
AT2G28290.5 FBpp0303193
AT2G28290.5 FBpp0075281
AT2G28290.5 FBpp0075280
AT2G28290.5 FBpp0075279
AT2G28290.5 FBpp0075278
AT2G28290.5 FBpp0305757
AT3G06010.1 FBpp0303193
AT3G06010.1 FBpp0075281
AT3G06010.1 FBpp0075280
AT3G06010.1 FBpp0075279
AT3G06010.1 FBpp0075278
AT3G06010.1 FBpp0305757
AT5G19310.1 FBpp0303193
AT5G19310.1 FBpp0075281
AT5G19310.1 FBpp0075280
AT5G19310.1 FBpp0075279
AT5G19310.1 FBpp0075278
AT5G19310.1 FBpp0305757
AT5G10050.1 FBpp0309803
AT5G10050.1 FBpp0110508
AT5G10050.1 FBpp0110515
AT5G10050.1 FBpp0352248
AT5G10050.1 FBpp0110528
AT5G10050.1 FBpp0071206
AT5G10050.1 FBpp0297622
AT5G10050.1 FBpp0291423
AT5G10050.1 FBpp0073324
AT5G65205.1 FBpp0309803
AT5G65205.1 FBpp0110508
AT5G65205.1 FBpp0110515
AT5G65205.1 FBpp0352248
AT5G65205.1 FBpp0110528
AT5G65205.1 FBpp0071206
AT5G65205.1 FBpp0297622
AT5G65205.1 FBpp0291423
AT5G65205.1 FBpp0073324
AT1G24360.1 FBpp0070533
AT1G24360.1 FBpp0304769
AT4G27710.1 FBpp0070371
AT4G27710.1 FBpp0311678
AT4G27710.1 FBpp0301778
AT4G27710.1 FBpp0070410
AT4G27710.1 FBpp0070372
AT4G27710.1 FBpp0304450
AT4G27710.1 FBpp0076543
AT4G27710.1 FBpp0079095
AT4G27710.1 FBpp0072837
AT4G27710.1 FBpp0070411
AT4G27710.1 FBpp0070412
AT4G27710.1 FBpp0087825
AT4G27710.1 FBpp0087824
AT4G27710.1 FBpp0308387
AT4G27710.1 FBpp0079515
AT4G27710.1 FBpp0073845
AT4G27710.1 FBpp0070094
AT4G27710.1 FBpp0073352
AT4G27710.1 FBpp0312025
AT4G27710.1 FBpp0085074
AT4G27710.1 FBpp0113050
AT4G27710.1 FBpp0078703
AT4G27710.1 FBpp0078701
AT4G27710.1 FBpp0289683
AT4G27710.1 FBpp0087672
AT4G27710.1 FBpp0087674
AT4G27710.1 FBpp0087673
AT2G46950.1 FBpp0070371
AT2G46950.1 FBpp0311678
AT2G46950.1 FBpp0301778
AT2G46950.1 FBpp0070410
AT2G46950.1 FBpp0070372
AT2G46950.1 FBpp0304450
AT2G46950.1 FBpp0076543
AT2G46950.1 FBpp0079095
AT2G46950.1 FBpp0072837
AT2G46950.1 FBpp0070411
AT2G46950.1 FBpp0070412
AT2G46950.1 FBpp0087825
AT2G46950.1 FBpp0087824
AT2G46950.1 FBpp0308387
AT2G46950.1 FBpp0079515
AT2G46950.1 FBpp0073845
AT2G46950.1 FBpp0070094
AT2G46950.1 FBpp0073352
AT2G46950.1 FBpp0312025
AT2G46950.1 FBpp0085074
AT2G46950.1 FBpp0113050
AT2G46950.1 FBpp0078703
AT2G46950.1 FBpp0078701
AT2G46950.1 FBpp0289683
AT2G46950.1 FBpp0087672
AT2G46950.1 FBpp0087674
AT2G46950.1 FBpp0087673
AT2G46960.2 FBpp0070371
AT2G46960.2 FBpp0311678
AT2G46960.2 FBpp0301778
AT2G46960.2 FBpp0070410
AT2G46960.2 FBpp0070372
AT2G46960.2 FBpp0304450
AT2G46960.2 FBpp0076543
AT2G46960.2 FBpp0079095
AT2G46960.2 FBpp0072837
AT2G46960.2 FBpp0070411
AT2G46960.2 FBpp0070412
AT2G46960.2 FBpp0087825
AT2G46960.2 FBpp0087824
AT2G46960.2 FBpp0308387
AT2G46960.2 FBpp0079515
AT2G46960.2 FBpp0073845
AT2G46960.2 FBpp0070094
AT2G46960.2 FBpp0073352
AT2G46960.2 FBpp0312025
AT2G46960.2 FBpp0085074
AT2G46960.2 FBpp0113050
AT2G46960.2 FBpp0078703
AT2G46960.2 FBpp0078701
AT2G46960.2 FBpp0289683
AT2G46960.2 FBpp0087672
AT2G46960.2 FBpp0087674
AT2G46960.2 FBpp0087673
AT5G52400.1 FBpp0070371
AT5G52400.1 FBpp0311678
AT5G52400.1 FBpp0301778
AT5G52400.1 FBpp0070410
AT5G52400.1 FBpp0070372
AT5G52400.1 FBpp0304450
AT5G52400.1 FBpp0076543
AT5G52400.1 FBpp0079095
AT5G52400.1 FBpp0072837
AT5G52400.1 FBpp0070411
AT5G52400.1 FBpp0070412
AT5G52400.1 FBpp0087825
AT5G52400.1 FBpp0087824
AT5G52400.1 FBpp0308387
AT5G52400.1 FBpp0079515
AT5G52400.1 FBpp0073845
AT5G52400.1 FBpp0070094
AT5G52400.1 FBpp0073352
AT5G52400.1 FBpp0312025
AT5G52400.1 FBpp0085074
AT5G52400.1 FBpp0113050
AT5G52400.1 FBpp0078703
AT5G52400.1 FBpp0078701
AT5G52400.1 FBpp0289683
AT5G52400.1 FBpp0087672
AT5G52400.1 FBpp0087674
AT5G52400.1 FBpp0087673
AT5G38450.1 FBpp0070371
AT5G38450.1 FBpp0311678
AT5G38450.1 FBpp0301778
AT5G38450.1 FBpp0070410
AT5G38450.1 FBpp0070372
AT5G38450.1 FBpp0304450
AT5G38450.1 FBpp0076543
AT5G38450.1 FBpp0079095
AT5G38450.1 FBpp0072837
AT5G38450.1 FBpp0070411
AT5G38450.1 FBpp0070412
AT5G38450.1 FBpp0087825
AT5G38450.1 FBpp0087824
AT5G38450.1 FBpp0308387
AT5G38450.1 FBpp0079515
AT5G38450.1 FBpp0073845
AT5G38450.1 FBpp0070094
AT5G38450.1 FBpp0073352
AT5G38450.1 FBpp0312025
AT5G38450.1 FBpp0085074
AT5G38450.1 FBpp0113050
AT5G38450.1 FBpp0078703
AT5G38450.1 FBpp0078701
AT5G38450.1 FBpp0289683
AT5G38450.1 FBpp0087672
AT5G38450.1 FBpp0087674
AT5G38450.1 FBpp0087673
AT1G67110.1 FBpp0070371
AT1G67110.1 FBpp0311678
AT1G67110.1 FBpp0301778
AT1G67110.1 FBpp0070410
AT1G67110.1 FBpp0070372
AT1G67110.1 FBpp0304450
AT1G67110.1 FBpp0076543
AT1G67110.1 FBpp0079095
AT1G67110.1 FBpp0072837
AT1G67110.1 FBpp0070411
AT1G67110.1 FBpp0070412
AT1G67110.1 FBpp0087825
AT1G67110.1 FBpp0087824
AT1G67110.1 FBpp0308387
AT1G67110.1 FBpp0079515
AT1G67110.1 FBpp0073845
AT1G67110.1 FBpp0070094
AT1G67110.1 FBpp0073352
AT1G67110.1 FBpp0312025
AT1G67110.1 FBpp0085074
AT1G67110.1 FBpp0113050
AT1G67110.1 FBpp0078703
AT1G67110.1 FBpp0078701
AT1G67110.1 FBpp0289683
AT1G67110.1 FBpp0087672
AT1G67110.1 FBpp0087674
AT1G67110.1 FBpp0087673
AT1G75130.1 FBpp0070371
AT1G75130.1 FBpp0311678
AT1G75130.1 FBpp0301778
AT1G75130.1 FBpp0070410
AT1G75130.1 FBpp0070372
AT1G75130.1 FBpp0304450
AT1G75130.1 FBpp0076543
AT1G75130.1 FBpp0079095
AT1G75130.1 FBpp0072837
AT1G75130.1 FBpp0070411
AT1G75130.1 FBpp0070412
AT1G75130.1 FBpp0087825
AT1G75130.1 FBpp0087824
AT1G75130.1 FBpp0308387
AT1G75130.1 FBpp0079515
AT1G75130.1 FBpp0073845
AT1G75130.1 FBpp0070094
AT1G75130.1 FBpp0073352
AT1G75130.1 FBpp0312025
AT1G75130.1 FBpp0085074
AT1G75130.1 FBpp0113050
AT1G75130.1 FBpp0078703
AT1G75130.1 FBpp0078701
AT1G75130.1 FBpp0289683
AT1G75130.1 FBpp0087672
AT1G75130.1 FBpp0087674
AT1G75130.1 FBpp0087673
AT2G26710.1 FBpp0070371
AT2G26710.1 FBpp0311678
AT2G26710.1 FBpp0301778
AT2G26710.1 FBpp0070410
AT2G26710.1 FBpp0070372
AT2G26710.1 FBpp0304450
AT2G26710.1 FBpp0076543
AT2G26710.1 FBpp0079095
AT2G26710.1 FBpp0072837
AT2G26710.1 FBpp0070411
AT2G26710.1 FBpp0070412
AT2G26710.1 FBpp0087825
AT2G26710.1 FBpp0087824
AT2G26710.1 FBpp0308387
AT2G26710.1 FBpp0079515
AT2G26710.1 FBpp0073845
AT2G26710.1 FBpp0070094
AT2G26710.1 FBpp0073352
AT2G26710.1 FBpp0312025
AT2G26710.1 FBpp0085074
AT2G26710.1 FBpp0113050
AT2G26710.1 FBpp0078703
AT2G26710.1 FBpp0078701
AT2G26710.1 FBpp0289683
AT2G26710.1 FBpp0087672
AT2G26710.1 FBpp0087674
AT2G26710.1 FBpp0087673
AT3G14630.2 FBpp0070371
AT3G14630.2 FBpp0311678
AT3G14630.2 FBpp0301778
AT3G14630.2 FBpp0070410
AT3G14630.2 FBpp0070372
AT3G14630.2 FBpp0304450
AT3G14630.2 FBpp0076543
AT3G14630.2 FBpp0079095
AT3G14630.2 FBpp0072837
AT3G14630.2 FBpp0070411
AT3G14630.2 FBpp0070412
AT3G14630.2 FBpp0087825
AT3G14630.2 FBpp0087824
AT3G14630.2 FBpp0308387
AT3G14630.2 FBpp0079515
AT3G14630.2 FBpp0073845
AT3G14630.2 FBpp0070094
AT3G14630.2 FBpp0073352
AT3G14630.2 FBpp0312025
AT3G14630.2 FBpp0085074
AT3G14630.2 FBpp0113050
AT3G14630.2 FBpp0078703
AT3G14630.2 FBpp0078701
AT3G14630.2 FBpp0289683
AT3G14630.2 FBpp0087672
AT3G14630.2 FBpp0087674
AT3G14630.2 FBpp0087673
AT3G14690.2 FBpp0070371
AT3G14690.2 FBpp0311678
AT3G14690.2 FBpp0301778
AT3G14690.2 FBpp0070410
AT3G14690.2 FBpp0070372
AT3G14690.2 FBpp0304450
AT3G14690.2 FBpp0076543
AT3G14690.2 FBpp0079095
AT3G14690.2 FBpp0072837
AT3G14690.2 FBpp0070411
AT3G14690.2 FBpp0070412
AT3G14690.2 FBpp0087825
AT3G14690.2 FBpp0087824
AT3G14690.2 FBpp0308387
AT3G14690.2 FBpp0079515
AT3G14690.2 FBpp0073845
AT3G14690.2 FBpp0070094
AT3G14690.2 FBpp0073352
AT3G14690.2 FBpp0312025
AT3G14690.2 FBpp0085074
AT3G14690.2 FBpp0113050
AT3G14690.2 FBpp0078703
AT3G14690.2 FBpp0078701
AT3G14690.2 FBpp0289683
AT3G14690.2 FBpp0087672
AT3G14690.2 FBpp0087674
AT3G14690.2 FBpp0087673
AT3G14660.1 FBpp0070371
AT3G14660.1 FBpp0311678
AT3G14660.1 FBpp0301778
AT3G14660.1 FBpp0070410
AT3G14660.1 FBpp0070372
AT3G14660.1 FBpp0304450
AT3G14660.1 FBpp0076543
AT3G14660.1 FBpp0079095
AT3G14660.1 FBpp0072837
AT3G14660.1 FBpp0070411
AT3G14660.1 FBpp0070412
AT3G14660.1 FBpp0087825
AT3G14660.1 FBpp0087824
AT3G14660.1 FBpp0308387
AT3G14660.1 FBpp0079515
AT3G14660.1 FBpp0073845
AT3G14660.1 FBpp0070094
AT3G14660.1 FBpp0073352
AT3G14660.1 FBpp0312025
AT3G14660.1 FBpp0085074
AT3G14660.1 FBpp0113050
AT3G14660.1 FBpp0078703
AT3G14660.1 FBpp0078701
AT3G14660.1 FBpp0289683
AT3G14660.1 FBpp0087672
AT3G14660.1 FBpp0087674
AT3G14660.1 FBpp0087673
AT3G14650.1 FBpp0070371
AT3G14650.1 FBpp0311678
AT3G14650.1 FBpp0301778
AT3G14650.1 FBpp0070410
AT3G14650.1 FBpp0070372
AT3G14650.1 FBpp0304450
AT3G14650.1 FBpp0076543
AT3G14650.1 FBpp0079095
AT3G14650.1 FBpp0072837
AT3G14650.1 FBpp0070411
AT3G14650.1 FBpp0070412
AT3G14650.1 FBpp0087825
AT3G14650.1 FBpp0087824
AT3G14650.1 FBpp0308387
AT3G14650.1 FBpp0079515
AT3G14650.1 FBpp0073845
AT3G14650.1 FBpp0070094
AT3G14650.1 FBpp0073352
AT3G14650.1 FBpp0312025
AT3G14650.1 FBpp0085074
AT3G14650.1 FBpp0113050
AT3G14650.1 FBpp0078703
AT3G14650.1 FBpp0078701
AT3G14650.1 FBpp0289683
AT3G14650.1 FBpp0087672
AT3G14650.1 FBpp0087674
AT3G14650.1 FBpp0087673
AT3G14680.1 FBpp0070371
AT3G14680.1 FBpp0311678
AT3G14680.1 FBpp0301778
AT3G14680.1 FBpp0070410
AT3G14680.1 FBpp0070372
AT3G14680.1 FBpp0304450
AT3G14680.1 FBpp0076543
AT3G14680.1 FBpp0079095
AT3G14680.1 FBpp0072837
AT3G14680.1 FBpp0070411
AT3G14680.1 FBpp0070412
AT3G14680.1 FBpp0087825
AT3G14680.1 FBpp0087824
AT3G14680.1 FBpp0308387
AT3G14680.1 FBpp0079515
AT3G14680.1 FBpp0073845
AT3G14680.1 FBpp0070094
AT3G14680.1 FBpp0073352
AT3G14680.1 FBpp0312025
AT3G14680.1 FBpp0085074
AT3G14680.1 FBpp0113050
AT3G14680.1 FBpp0078703
AT3G14680.1 FBpp0078701
AT3G14680.1 FBpp0289683
AT3G14680.1 FBpp0087672
AT3G14680.1 FBpp0087674
AT3G14680.1 FBpp0087673
AT3G14640.2 FBpp0070371
AT3G14640.2 FBpp0311678
AT3G14640.2 FBpp0301778
AT3G14640.2 FBpp0070410
AT3G14640.2 FBpp0070372
AT3G14640.2 FBpp0304450
AT3G14640.2 FBpp0076543
AT3G14640.2 FBpp0079095
AT3G14640.2 FBpp0072837
AT3G14640.2 FBpp0070411
AT3G14640.2 FBpp0070412
AT3G14640.2 FBpp0087825
AT3G14640.2 FBpp0087824
AT3G14640.2 FBpp0308387
AT3G14640.2 FBpp0079515
AT3G14640.2 FBpp0073845
AT3G14640.2 FBpp0070094
AT3G14640.2 FBpp0073352
AT3G14640.2 FBpp0312025
AT3G14640.2 FBpp0085074
AT3G14640.2 FBpp0113050
AT3G14640.2 FBpp0078703
AT3G14640.2 FBpp0078701
AT3G14640.2 FBpp0289683
AT3G14640.2 FBpp0087672
AT3G14640.2 FBpp0087674
AT3G14640.2 FBpp0087673
AT3G14610.1 FBpp0070371
AT3G14610.1 FBpp0311678
AT3G14610.1 FBpp0301778
AT3G14610.1 FBpp0070410
AT3G14610.1 FBpp0070372
AT3G14610.1 FBpp0304450
AT3G14610.1 FBpp0076543
AT3G14610.1 FBpp0079095
AT3G14610.1 FBpp0072837
AT3G14610.1 FBpp0070411
AT3G14610.1 FBpp0070412
AT3G14610.1 FBpp0087825
AT3G14610.1 FBpp0087824
AT3G14610.1 FBpp0308387
AT3G14610.1 FBpp0079515
AT3G14610.1 FBpp0073845
AT3G14610.1 FBpp0070094
AT3G14610.1 FBpp0073352
AT3G14610.1 FBpp0312025
AT3G14610.1 FBpp0085074
AT3G14610.1 FBpp0113050
AT3G14610.1 FBpp0078703
AT3G14610.1 FBpp0078701
AT3G14610.1 FBpp0289683
AT3G14610.1 FBpp0087672
AT3G14610.1 FBpp0087674
AT3G14610.1 FBpp0087673
AT3G14620.1 FBpp0070371
AT3G14620.1 FBpp0311678
AT3G14620.1 FBpp0301778
AT3G14620.1 FBpp0070410
AT3G14620.1 FBpp0070372
AT3G14620.1 FBpp0304450
AT3G14620.1 FBpp0076543
AT3G14620.1 FBpp0079095
AT3G14620.1 FBpp0072837
AT3G14620.1 FBpp0070411
AT3G14620.1 FBpp0070412
AT3G14620.1 FBpp0087825
AT3G14620.1 FBpp0087824
AT3G14620.1 FBpp0308387
AT3G14620.1 FBpp0079515
AT3G14620.1 FBpp0073845
AT3G14620.1 FBpp0070094
AT3G14620.1 FBpp0073352
AT3G14620.1 FBpp0312025
AT3G14620.1 FBpp0085074
AT3G14620.1 FBpp0113050
AT3G14620.1 FBpp0078703
AT3G14620.1 FBpp0078701
AT3G14620.1 FBpp0289683
AT3G14620.1 FBpp0087672
AT3G14620.1 FBpp0087674
AT3G14620.1 FBpp0087673
AT1G17060.1 FBpp0070371
AT1G17060.1 FBpp0311678
AT1G17060.1 FBpp0301778
AT1G17060.1 FBpp0070410
AT1G17060.1 FBpp0070372
AT1G17060.1 FBpp0304450
AT1G17060.1 FBpp0076543
AT1G17060.1 FBpp0079095
AT1G17060.1 FBpp0072837
AT1G17060.1 FBpp0070411
AT1G17060.1 FBpp0070412
AT1G17060.1 FBpp0087825
AT1G17060.1 FBpp0087824
AT1G17060.1 FBpp0308387
AT1G17060.1 FBpp0079515
AT1G17060.1 FBpp0073845
AT1G17060.1 FBpp0070094
AT1G17060.1 FBpp0073352
AT1G17060.1 FBpp0312025
AT1G17060.1 FBpp0085074
AT1G17060.1 FBpp0113050
AT1G17060.1 FBpp0078703
AT1G17060.1 FBpp0078701
AT1G17060.1 FBpp0289683
AT1G17060.1 FBpp0087672
AT1G17060.1 FBpp0087674
AT1G17060.1 FBpp0087673
AT1G31800.1 FBpp0070371
AT1G31800.1 FBpp0311678
AT1G31800.1 FBpp0301778
AT1G31800.1 FBpp0070410
AT1G31800.1 FBpp0070372
AT1G31800.1 FBpp0304450
AT1G31800.1 FBpp0076543
AT1G31800.1 FBpp0079095
AT1G31800.1 FBpp0072837
AT1G31800.1 FBpp0070411
AT1G31800.1 FBpp0070412
AT1G31800.1 FBpp0087825
AT1G31800.1 FBpp0087824
AT1G31800.1 FBpp0308387
AT1G31800.1 FBpp0079515
AT1G31800.1 FBpp0073845
AT1G31800.1 FBpp0070094
AT1G31800.1 FBpp0073352
AT1G31800.1 FBpp0312025
AT1G31800.1 FBpp0085074
AT1G31800.1 FBpp0113050
AT1G31800.1 FBpp0078703
AT1G31800.1 FBpp0078701
AT1G31800.1 FBpp0289683
AT1G31800.1 FBpp0087672
AT1G31800.1 FBpp0087674
AT1G31800.1 FBpp0087673
AT3G53130.1 FBpp0070371
AT3G53130.1 FBpp0311678
AT3G53130.1 FBpp0301778
AT3G53130.1 FBpp0070410
AT3G53130.1 FBpp0070372
AT3G53130.1 FBpp0304450
AT3G53130.1 FBpp0076543
AT3G53130.1 FBpp0079095
AT3G53130.1 FBpp0072837
AT3G53130.1 FBpp0070411
AT3G53130.1 FBpp0070412
AT3G53130.1 FBpp0087825
AT3G53130.1 FBpp0087824
AT3G53130.1 FBpp0308387
AT3G53130.1 FBpp0079515
AT3G53130.1 FBpp0073845
AT3G53130.1 FBpp0070094
AT3G53130.1 FBpp0073352
AT3G53130.1 FBpp0312025
AT3G53130.1 FBpp0085074
AT3G53130.1 FBpp0113050
AT3G53130.1 FBpp0078703
AT3G53130.1 FBpp0078701
AT3G53130.1 FBpp0289683
AT3G53130.1 FBpp0087672
AT3G53130.1 FBpp0087674
AT3G53130.1 FBpp0087673
AT4G15110.1 FBpp0070371
AT4G15110.1 FBpp0311678
AT4G15110.1 FBpp0301778
AT4G15110.1 FBpp0070410
AT4G15110.1 FBpp0070372
AT4G15110.1 FBpp0304450
AT4G15110.1 FBpp0076543
AT4G15110.1 FBpp0079095
AT4G15110.1 FBpp0072837
AT4G15110.1 FBpp0070411
AT4G15110.1 FBpp0070412
AT4G15110.1 FBpp0087825
AT4G15110.1 FBpp0087824
AT4G15110.1 FBpp0308387
AT4G15110.1 FBpp0079515
AT4G15110.1 FBpp0073845
AT4G15110.1 FBpp0070094
AT4G15110.1 FBpp0073352
AT4G15110.1 FBpp0312025
AT4G15110.1 FBpp0085074
AT4G15110.1 FBpp0113050
AT4G15110.1 FBpp0078703
AT4G15110.1 FBpp0078701
AT4G15110.1 FBpp0289683
AT4G15110.1 FBpp0087672
AT4G15110.1 FBpp0087674
AT4G15110.1 FBpp0087673
AT2G45510.1 FBpp0073473
AT5G26742.2 FBpp0305296
AT5G26742.2 FBpp0076649
AT5G26742.2 FBpp0078301
AT5G26742.2 FBpp0310551
AT5G26742.2 FBpp0071084
AT3G22310.1 FBpp0305296
AT3G22310.1 FBpp0076649
AT3G22310.1 FBpp0078301
AT3G22310.1 FBpp0310551
AT3G22310.1 FBpp0071084
AT3G22330.1 FBpp0305296
AT3G22330.1 FBpp0076649
AT3G22330.1 FBpp0078301
AT3G22330.1 FBpp0310551
AT3G22330.1 FBpp0071084
AT5G14610.1 FBpp0305296
AT5G14610.1 FBpp0076649
AT5G14610.1 FBpp0078301
AT5G14610.1 FBpp0310551
AT5G14610.1 FBpp0071084
AT3G06480.1 FBpp0305296
AT3G06480.1 FBpp0076649
AT3G06480.1 FBpp0078301
AT3G06480.1 FBpp0310551
AT3G06480.1 FBpp0071084
AT2G45810.1 FBpp0079565
AT2G45810.1 FBpp0079566
AT3G61240.1 FBpp0079565
AT3G61240.1 FBpp0079566
AT4G00660.1 FBpp0079565
AT4G00660.1 FBpp0079566
AT3G19760.1 FBpp0081324
AT1G51380.1 FBpp0081324
AT3G13920.5 FBpp0303628
AT3G13920.5 FBpp0078809
AT3G13920.5 FBpp0297911
AT3G13920.5 FBpp0078807
AT3G13920.5 FBpp0078808
