Orthogroup	arabidopsis	fly
OG0000024	AT5G13580.1, AT2G39350.1, AT3G55090.1, AT3G53510.1, AT2G37360.1, AT3G55100.1, AT3G55110.1, AT3G55130.1, AT2G13610.1, AT4G25750.1, AT5G52860.1, AT5G19410.2, AT1G53270.1, AT1G51460.1, AT1G51500.1, AT3G21090.1, AT2G28070.1, AT1G17840.1	FBpp0294026, FBpp0077292, FBpp0077294, FBpp0077293, FBpp0099714, FBpp0099715, FBpp0303496, FBpp0077817, FBpp0099713, FBpp0099712, FBpp0077816, FBpp0077815, FBpp0077814, FBpp0077554, FBpp0077553, FBpp0077291, FBpp0111812, FBpp0077116, FBpp0077117, FBpp0111811, FBpp0077390, FBpp0077392, FBpp0306277, FBpp0306276, FBpp0306275, FBpp0306278, FBpp0077391, FBpp0077389, FBpp0099791, FBpp0077813, FBpp0089109, FBpp0077812, FBpp0079489, FBpp0311684, FBpp0304025
OG0000026	AT5G44240.1	FBpp0289039, FBpp0289032, FBpp0289038, FBpp0289036, FBpp0289037, FBpp0289042, FBpp0289034, FBpp0289041, FBpp0289040, FBpp0289043, FBpp0289035, FBpp0289033, FBpp0297637, FBpp0292219
OG0000026	AT3G18700.1	FBpp0088795, FBpp0290286, FBpp0290287, FBpp0088794
OG0000026	AT5G04930.1	FBpp0297858, FBpp0308707, FBpp0289580, FBpp0308708, FBpp0308706, FBpp0297859, FBpp0308705
OG0000030	AT1G13370.1, AT1G75600.1, AT5G10980.1, AT4G40040.1, AT4G40030.2, AT1G19890.1, AT1G09200.1, AT3G27360.1, AT5G65360.1, AT5G65350.1, AT5G10390.1, AT5G10400.1	FBpp0091073, FBpp0091070, FBpp0091058, FBpp0091056, FBpp0085250, FBpp0091067, FBpp0091061, FBpp0091094, FBpp0091088, FBpp0091085, FBpp0091082, FBpp0091103, FBpp0091106, FBpp0091100, FBpp0091112, FBpp0091109, FBpp0091097, FBpp0091079, FBpp0091091, FBpp0091064, FBpp0091053, FBpp0091051, FBpp0091076, FBpp0071280, FBpp0071282, FBpp0078649, FBpp0305717, FBpp0305716, FBpp0309302, FBpp0071281
OG0000033	AT1G70320.1, AT1G55860.1	FBpp0292726, FBpp0305179, FBpp0292725, FBpp0292727, FBpp0305371, FBpp0086011, FBpp0077496, FBpp0077495, FBpp0077497, FBpp0308612, FBpp0306832, FBpp0289747, FBpp0288921, FBpp0289746, FBpp0304227, FBpp0288923, FBpp0288920, FBpp0288922, FBpp0304228, FBpp0288917
OG0000035	AT3G45980.1, AT3G46030.1, AT5G59910.1, AT2G28720.1, AT5G22880.1, AT1G07790.1, AT2G37470.1, AT3G53650.1, AT5G02570.1, AT3G09480.1	FBpp0091127, FBpp0091123, FBpp0085281, FBpp0091119, FBpp0091121, FBpp0091149, FBpp0091155, FBpp0091153, FBpp0091133, FBpp0091135, FBpp0091129, FBpp0091131, FBpp0091151, FBpp0091137, FBpp0091141, FBpp0091139, FBpp0091145, FBpp0091143, FBpp0091147, FBpp0091125, FBpp0091117, FBpp0091115, FBpp0091113
OG0000036	AT2G04350.1, AT1G77590.1	FBpp0099848, FBpp0087781, FBpp0099850, FBpp0099847, FBpp0087779, FBpp0087780, FBpp0099849, FBpp0099846, FBpp0099845, FBpp0305216
OG0000036	AT5G27600.1, AT3G05970.1	FBpp0074845, FBpp0074844, FBpp0305861, FBpp0291528
OG0000038	AT2G47170.1, AT3G62290.1, AT1G70490.1, AT1G23490.1, AT1G10630.1, AT5G14670.1	FBpp0305852, FBpp0088256, FBpp0289184, FBpp0078222, FBpp0078225, FBpp0078226, FBpp0078224, FBpp0304364, FBpp0111771, FBpp0289185
OG0000038	AT2G24765.1	FBpp0075272
OG0000038	AT2G18390.1	FBpp0081328
OG0000041	AT2G42170.1, AT2G42090.1, AT2G42100.1	FBpp0309075, FBpp0082121
OG0000041	AT3G18780.2, AT1G49240.1, AT3G53750.1, AT2G37620.1, AT5G59370.1, AT3G46520.1, AT5G09810.1, AT3G12110.1	FBpp0306215, FBpp0078131, FBpp0082597, FBpp0082254, FBpp0082253, FBpp0312019, FBpp0071448, FBpp0070788, FBpp0070787, FBpp0311818, FBpp0100125, FBpp0100124, FBpp0085365
OG0000046	AT1G30400.1, AT2G34660.1, AT1G30410.1, AT1G30420.1	FBpp0297935, FBpp0079228, FBpp0297173, FBpp0080682
OG0000046	AT3G59140.1, AT3G21250.4, AT1G04120.1, AT3G13090.1, AT3G13100.1, AT3G13080.1, AT1G71330.1, AT3G60970.1, AT3G60160.1, AT2G47800.1, AT3G62700.1	FBpp0312572, FBpp0089065, FBpp0089059, FBpp0089061, FBpp0089066, FBpp0089060, FBpp0089069, FBpp0089058, FBpp0089057, FBpp0089056, FBpp0089070, FBpp0089064, FBpp0089062, FBpp0089067, FBpp0089071, FBpp0089072, FBpp0089063, FBpp0089068
OG0000046	AT2G07680.3	FBpp0079220
OG0000047	AT4G00430.1, AT1G01620.1, AT3G61430.1, AT2G45960.3, AT4G23400.1, AT2G16850.1, AT4G35100.1, AT3G53420.1, AT2G37170.2, AT2G37180.1, AT5G60660.1, AT2G39010.1, AT3G54820.1	FBpp0087240, FBpp0087241, FBpp0303807, FBpp0303805, FBpp0303806, FBpp0303808, FBpp0308570, FBpp0087236, FBpp0087235, FBpp0308627, FBpp0293611
OG0000047	AT3G06100.1	FBpp0297290
OG0000048	AT1G67580.1, AT5G63370.1	FBpp0087515, FBpp0293474, FBpp0293475, FBpp0303913, FBpp0077908, FBpp0077905
OG0000048	AT3G48750.1	FBpp0079641
OG0000049	AT5G46240.1, AT4G18290.2, AT4G32500.1, AT2G25600.1, AT2G26650.1, AT4G32650.1, AT4G22200.1	FBpp0110308, FBpp0292378, FBpp0073772, FBpp0301719, FBpp0292377, FBpp0301718, FBpp0301717, FBpp0085981, FBpp0309248, FBpp0310000, FBpp0072078, FBpp0072079
OG0000051	AT2G38750.1, AT5G10230.1, AT5G10220.1, AT5G65020.1, AT1G35720.1, AT5G12380.1, AT2G38760.1, AT1G68090.1	FBpp0306154, FBpp0306157, FBpp0074077, FBpp0306156, FBpp0306158, FBpp0074078, FBpp0306155, FBpp0088505, FBpp0088985, FBpp0088506, FBpp0088986, FBpp0307770, FBpp0307769, FBpp0291143, FBpp0070024
OG0000053	AT5G20240.1, AT3G54340.1, AT5G23260.4, AT1G71692.1, AT1G26310.1, AT1G69120.1, AT5G60910.1, AT3G30260.1, AT2G03710.1, AT3G02310.1, AT5G15800.2, AT1G24260.2, AT3G61120.1, AT2G45650.1, AT4G11880.1, AT4G22950.1, AT5G51860.1, AT5G51870.3, AT5G62165.1, AT2G45660.1, AT3G58780.4, AT2G42830.2, AT4G18960.1, AT4G09960.4, AT4G37940.1, AT2G22630.1, AT2G14210.2, AT3G57230.1, AT3G57390.1, AT5G13790.2, AT4G24540.1, AT2G22540.1	FBpp0087532, FBpp0303551, FBpp0087530, FBpp0087531, FBpp0087529, FBpp0089303, FBpp0303550
OG0000054	AT1G26370.1	FBpp0079537, FBpp0401582, FBpp0401583
OG0000054	AT4G18465.1	FBpp0077107
OG0000054	AT5G13010.1	FBpp0073717, FBpp0073718
OG0000054	AT5G14900.1, AT2G47250.1, AT3G62310.1	FBpp0307849, FBpp0088040
OG0000054	AT3G26560.1	FBpp0086647
OG0000054	AT4G16680.2, AT2G35340.1, AT1G32490.1	FBpp0080706
OG0000055	AT5G01670.2, AT2G37790.1, AT2G37770.2, AT3G53880.1, AT2G37760.1, AT5G62420.1, AT2G21250.1, AT2G21260.1	FBpp0075868, FBpp0075869, FBpp0303936, FBpp0075870, FBpp0303937, FBpp0089012, FBpp0085467, FBpp0073028, FBpp0073029, FBpp0081312
OG0000056	AT2G26300.1	FBpp0110121, FBpp0291583, FBpp0291584, FBpp0086945, FBpp0293494, FBpp0086946, FBpp0086944, FBpp0086942, FBpp0086943, FBpp0305314, FBpp0076643, FBpp0087361, FBpp0087365, FBpp0087363, FBpp0087364, FBpp0087362, FBpp0087359, FBpp0089315, FBpp0087360, FBpp0089316
OG0000062	AT4G01370.1, AT1G01560.2, AT2G46070.3, AT4G11330.1, AT1G07880.2, AT2G43790.1, AT3G59790.1, AT3G45640.1, AT1G59580.1, AT1G10210.1, AT4G36450.1, AT2G18170.1	FBpp0083965, FBpp0083966, FBpp0289799, FBpp0080111, FBpp0302953, FBpp0302952, FBpp0311493, FBpp0112423, FBpp0112425, FBpp0112426
OG0000063	AT1G07110.1	FBpp0074483, FBpp0074482, FBpp0308526, FBpp0074484, FBpp0074487, FBpp0074489, FBpp0074488, FBpp0298021, FBpp0298022, FBpp0298023, FBpp0308527, FBpp0074486, FBpp0074485
OG0000064	AT1G14170.3	FBpp0089364
OG0000064	AT5G04430.2	FBpp0089422, FBpp0078122, FBpp0304982, FBpp0305424, FBpp0293518, FBpp0290578, FBpp0293517, FBpp0293520, FBpp0110316, FBpp0312395, FBpp0293519, FBpp0293521
OG0000066	AT1G07820.1, AT3G46320.1, AT3G45930.1, AT1G07660.1, AT5G59970.1, AT2G28740.1, AT3G53730.1, AT5G59690.1	FBpp0082421, FBpp0082422, FBpp0091128, FBpp0085280, FBpp0091138, FBpp0091152, FBpp0091150, FBpp0091154, FBpp0091134, FBpp0091136, FBpp0091130, FBpp0091132, FBpp0306146, FBpp0091116, FBpp0091118, FBpp0091120, FBpp0091148, FBpp0091144, FBpp0091146, FBpp0091140, FBpp0091142, FBpp0082423, FBpp0091124, FBpp0091122, FBpp0091126, FBpp0091114
OG0000067	AT1G51060.1, AT3G20670.1, AT5G54640.1, AT4G27230.1, AT5G59870.1	FBpp0091105, FBpp0091102, FBpp0091099, FBpp0091084, FBpp0091087, FBpp0091096, FBpp0091090, FBpp0091093, FBpp0091066, FBpp0091063, FBpp0091060, FBpp0085249, FBpp0091108, FBpp0091055, FBpp0091072, FBpp0091069, FBpp0091075, FBpp0091078, FBpp0091111, FBpp0091081
OG0000068	AT4G33090.1	FBpp0271735, FBpp0422992, FBpp0084769, FBpp0311398, FBpp0306891, FBpp0084767, FBpp0084768, FBpp0084770, FBpp0304704, FBpp0307389, FBpp0084752, FBpp0084751, FBpp0083526, FBpp0082208, FBpp0082209, FBpp0288476, FBpp0082210, FBpp0082211, FBpp0082212, FBpp0072584, FBpp0072586, FBpp0305587, FBpp0297512, FBpp0072581, FBpp0072582, FBpp0072583, FBpp0072585
OG0000076	AT3G46980.4, AT2G38060.2, AT4G00370.1, AT2G29650.1, AT5G20380.2, AT5G44370.1	FBpp0307618, FBpp0085628, FBpp0079876, FBpp0080090, FBpp0288424, FBpp0085814, FBpp0085815, FBpp0085818, FBpp0085819, FBpp0301577, FBpp0293293, FBpp0087925, FBpp0309074, FBpp0086260, FBpp0309073, FBpp0086261, FBpp0070683, FBpp0308734, FBpp0308735, FBpp0073555, FBpp0077623, FBpp0083296, FBpp0083297, FBpp0077449, FBpp0297921, FBpp0303629
OG0000080	AT3G09230.1, AT2G39880.1, AT3G55730.1, AT3G50060.1, AT5G67300.1, AT2G23290.1, AT4G37260.1, AT2G13960.1, AT5G02320.1, AT3G09370.3, AT5G11510.1, AT4G32730.2, AT1G43330.1, AT4G00540.1, AT4G18770.1, AT5G11050.1, AT5G58850.1, AT5G40430.1, AT2G25230.1, AT5G40360.1, AT3G27785.1	FBpp0073961, FBpp0089402, FBpp0089403, FBpp0089405
OG0000081	AT2G25880.3, AT4G32830.1, AT2G45490.1	FBpp0081957, FBpp0079769
OG0000081	AT1G45160.2	FBpp0077706, FBpp0075283
OG0000081	AT2G38490.1, AT5G01820.1, AT2G30360.1, AT5G10930.1, AT2G25090.1, AT5G25110.1	FBpp0070326, FBpp0290641, FBpp0085653, FBpp0303276, FBpp0290720, FBpp0099804, FBpp0303277, FBpp0303278
OG0000081	AT5G25630.2	FBpp0099807
OG0000082	AT3G52280.2, AT2G34900.1, AT5G46550.1	FBpp0305500, FBpp0290524, FBpp0071073, FBpp0089299, FBpp0089298, FBpp0089297, FBpp0305501, FBpp0305499, FBpp0071074, FBpp0071950
OG0000093	AT1G12200.1, AT1G63340.1, AT1G62580.1, AT1G62570.1, AT1G62560.1, AT1G65860.1, AT1G62540.2, AT1G12140.1, AT1G12160.1, AT1G12130.1, AT1G63370.1, AT1G62620.1, AT1G63390.1, AT1G62600.1, AT5G07800.1, AT5G61290.1	FBpp0085481, FBpp0072059
OG0000094	AT3G51840.1	FBpp0078893
OG0000094	AT3G45300.1	FBpp0076375
OG0000096	AT1G05940.1, AT3G10600.1, AT5G04770.1, AT1G17120.1, AT2G34960.1, AT4G21120.1, AT1G58030.1, AT5G36940.1, AT3G03720.1	FBpp0077892, FBpp0078208, FBpp0078206, FBpp0078207, FBpp0271785, FBpp0074925, FBpp0099766, FBpp0110181, FBpp0290403, FBpp0110180, FBpp0306227, FBpp0307047, FBpp0074557
OG0000097	AT5G14100.1, AT4G33460.1, AT1G70610.1, AT4G25450.1, AT1G65410.1	FBpp0078796, FBpp0078797
OG0000101	AT4G32980.1, AT4G34610.1, AT2G16400.1, AT1G75410.1, AT1G19700.1, AT5G41410.1, AT2G23760.4, AT4G36870.1, AT2G27220.2, AT2G35940.1, AT1G75430.1, AT2G27990.1, AT5G02030.1	FBpp0081733, FBpp0081732, FBpp0310558, FBpp0099879, FBpp0099878
OG0000102	AT5G11790.1, AT5G56750.1, AT2G19620.1	FBpp0088648, FBpp0088647, FBpp0088650, FBpp0088644, FBpp0088651, FBpp0088649, FBpp0088652, FBpp0088646, FBpp0088645
OG0000103	AT3G08730.1	FBpp0304953, FBpp0075966, FBpp0075965, FBpp0077052, FBpp0305864
OG0000107	AT3G01610.2	FBpp0089153, FBpp0290826, FBpp0304234, FBpp0304233, FBpp0305596
OG0000107	AT5G03340.1, AT3G09840.1, AT3G53230.1	FBpp0087479, FBpp0111818, FBpp0310395, FBpp0111819
OG0000107	AT1G03000.1	FBpp0308554, FBpp0308555
OG0000107	AT5G08470.1	FBpp0075519
OG0000108	AT5G53910.1, AT3G13228.1, AT1G18760.1, AT2G29840.1, AT1G18780.1, AT1G18770.1, AT1G21960.1, AT1G74620.1, AT1G50350.1	FBpp0081445
OG0000108	AT5G20910.1	FBpp0310695, FBpp0083052, FBpp0288650
OG0000109	AT1G79470.1, AT1G16350.1	FBpp0309791, FBpp0304573, FBpp0071423, FBpp0071424
OG0000110	AT2G35390.2, AT1G32380.1, AT2G44530.1	FBpp0291761, FBpp0085035, FBpp0291762, FBpp0085040, FBpp0085036, FBpp0085039, FBpp0085038, FBpp0291764, FBpp0291766, FBpp0291765, FBpp0291519, FBpp0085037, FBpp0291763, FBpp0307422, FBpp0307423, FBpp0307424, FBpp0311283, FBpp0305990, FBpp0076145, FBpp0305989, FBpp0302783, FBpp0311284, FBpp0302782, FBpp0311282, FBpp0076144
OG0000113	AT1G09140.1, AT1G02840.1, AT4G02430.4, AT3G49430.1	FBpp0289813, FBpp0082271, FBpp0289815, FBpp0082272, FBpp0300517, FBpp0082270, FBpp0300515, FBpp0300516, FBpp0082269, FBpp0082274, FBpp0082724, FBpp0293269
OG0000115	AT3G20890.1, AT5G66010.1	FBpp0088857, FBpp0088856, FBpp0088858
OG0000116	AT4G16340.1	FBpp0303566, FBpp0304510, FBpp0303567, FBpp0303571, FBpp0303569, FBpp0303568, FBpp0303570, FBpp0303572, FBpp0303565, FBpp0077762
OG0000121	AT1G22300.1, AT1G34760.1, AT2G42590.3, AT1G26480.1, AT5G65430.3, AT5G10450.4, AT3G02520.1, AT5G16050.1, AT5G38480.1, AT1G78300.1, AT1G35160.2, AT4G09000.2	FBpp0082989, FBpp0082988, FBpp0082987, FBpp0082990, FBpp0089337, FBpp0087505, FBpp0099539, FBpp0087501, FBpp0087500, FBpp0089338, FBpp0087504, FBpp0305136, FBpp0305137, FBpp0099540, FBpp0087503, FBpp0087502
OG0000122	AT2G22950.1, AT4G37640.1, AT1G27770.1, AT3G57330.1, AT2G41560.1, AT3G22910.1, AT3G63380.1, AT3G21180.1, AT5G57110.1, AT4G29900.1	FBpp0289783, FBpp0293011, FBpp0293010, FBpp0289784, FBpp0289781, FBpp0293009, FBpp0293012, FBpp0289786, FBpp0289785, FBpp0293013, FBpp0289782
OG0000126	AT3G48000.1, AT1G23800.1, AT3G24503.1	FBpp0081045, FBpp0079406, FBpp0304847, FBpp0084452, FBpp0300161
OG0000127	AT1G32330.1, AT3G02990.1, AT5G16820.1, AT4G17750.1, AT2G26150.1, AT3G51910.1, AT3G63350.1, AT3G22830.1, AT5G43840.1, AT5G03720.1, AT1G67970.1, AT5G45710.1, AT4G18880.1, AT4G13980.1, AT3G24520.1, AT5G54070.1, AT5G62020.1, AT4G36990.1, AT1G46264.1, AT4G11660.1, AT2G41690.1	FBpp0110266, FBpp0110264, FBpp0110265, FBpp0085961
OG0000128	AT3G60250.1, AT2G44680.1, AT5G47080.1, AT4G17640.1	FBpp0089135, FBpp0300427, FBpp0305406, FBpp0288844, FBpp0300330, FBpp0099985, FBpp0073406, FBpp0073405, FBpp0073403, FBpp0300428, FBpp0085590
OG0000129	AT5G10630.4	FBpp0311793, FBpp0072745
OG0000129	AT1G18070.3	FBpp0305303, FBpp0305302, FBpp0311174, FBpp0079951
OG0000129	AT1G07920.1, AT1G07930.1, AT5G60390.1, AT1G07940.1	FBpp0304260, FBpp0311272, FBpp0311273, FBpp0087142, FBpp0085194, FBpp0085193, FBpp0089104, FBpp0089103
OG0000130	AT3G52720.1, AT1G08080.1, AT2G28210.1, AT5G56330.1, AT1G08065.1, AT4G21000.1, AT4G20990.1, AT5G04180.1	FBpp0087310, FBpp0071446, FBpp0307272, FBpp0080116, FBpp0084503
OG0000131	AT1G47210.2, AT1G47230.2, AT5G43080.1, AT1G47220.1, AT1G15570.1, AT1G80370.1, AT5G11300.1, AT5G25380.4, AT1G77390.1, AT1G44110.1	FBpp0293192, FBpp0075807
OG0000131	AT4G37490.1, AT3G11520.1, AT5G06150.1, AT2G26760.1, AT1G16330.1, AT2G01310.1	FBpp0084103, FBpp0306645
OG0000132	AT3G52660.1, AT5G28390.1, AT4G00830.1	FBpp0306771, FBpp0306764, FBpp0083366, FBpp0306766, FBpp0306765, FBpp0306770, FBpp0306768, FBpp0083369, FBpp0423032, FBpp0306767, FBpp0423033, FBpp0423034, FBpp0306772, FBpp0306769, FBpp0306763, FBpp0083367, FBpp0083368, FBpp0112168, FBpp0083370, FBpp0083365
OG0000135	AT3G21650.1, AT4G15415.1, AT1G13460.1, AT3G26030.1, AT3G54930.1, AT5G03470.1, AT3G09880.1, AT5G25510.1	FBpp0293570, FBpp0082974, FBpp0082975, FBpp0293571, FBpp0293569, FBpp0288758, FBpp0297601, FBpp0288759, FBpp0307570, FBpp0307569, FBpp0082976, FBpp0288760, FBpp0082977, FBpp0084573, FBpp0084574, FBpp0084575, FBpp0084577, FBpp0084578, FBpp0084579
OG0000137	AT4G11240.1, AT1G64040.1, AT5G27840.4, AT3G05580.1, AT5G59160.1, AT3G46820.1, AT2G29400.1, AT2G39840.1, AT5G43380.1	FBpp0312286, FBpp0084026, FBpp0306442, FBpp0073834, FBpp0082067, FBpp0305497, FBpp0071382, FBpp0071381
OG0000137	AT5G63870.1, AT5G10900.2	FBpp0291347, FBpp0110077, FBpp0075812
OG0000138	AT5G57320.1, AT4G30160.2, AT2G29890.3, AT2G41740.1, AT3G57410.1	FBpp0078610, FBpp0307688, FBpp0301195, FBpp0078612, FBpp0078607, FBpp0078608, FBpp0301196
OG0000141	AT5G49890.1, AT5G33280.1, AT5G40890.1, AT3G27170.1, AT5G26240.1	FBpp0086939
OG0000142	AT4G29210.1, AT4G39650.1, AT4G39640.1, AT1G69820.1	FBpp0312345, FBpp0073423, FBpp0074111, FBpp0074112, FBpp0074110, FBpp0111907, FBpp0111908, FBpp0307256, FBpp0074393, FBpp0309326, FBpp0297937, FBpp0297938, FBpp0111834
OG0000143	AT4G34460.1	FBpp0071137, FBpp0303987, FBpp0089184, FBpp0089185, FBpp0089182, FBpp0312372, FBpp0073921, FBpp0074717
OG0000149	AT1G09020.1	FBpp0111829, FBpp0111828, FBpp0290800, FBpp0083422, FBpp0083421, FBpp0083423, FBpp0290803, FBpp0290804, FBpp0083425, FBpp0083424, FBpp0110238, FBpp0110239, FBpp0290802, FBpp0290801, FBpp0083427, FBpp0110237
OG0000150	AT5G45970.1, AT1G75840.1, AT1G20090.1, AT4G35020.1, AT2G17800.1, AT4G35950.1, AT3G51300.1, AT3G48040.1, AT5G62880.1, AT4G28950.1, AT2G44690.1	FBpp0084561, FBpp0084563, FBpp0084562, FBpp0072614, FBpp0304252, FBpp0305023, FBpp0076577, FBpp0301153, FBpp0301154, FBpp0074520
OG0000151	AT4G09150.2, AT1G22930.1	FBpp0311473, FBpp0070786, FBpp0308971
OG0000152	AT3G27440.1, AT4G26510.1, AT1G55810.4, AT5G40870.1, AT3G27190.1	FBpp0302670, FBpp0076818, FBpp0302671
OG0000153	AT5G58710.1, AT2G29960.1, AT3G55920.1, AT4G34960.1, AT5G13120.1, AT3G62030.2	FBpp0311613, FBpp0071844
OG0000154	AT4G19800.1, AT4G19770.1, AT4G19810.1, AT4G19820.1, AT4G19750.1, AT4G19760.1, AT4G19730.1, AT4G19720.1, AT4G19740.1	FBpp0072677, FBpp0306200, FBpp0297108, FBpp0071463, FBpp0071472, FBpp0071471, FBpp0082294, FBpp0072985
OG0000156	AT5G13250.1, AT1G28080.2, AT1G35183.2, AT1G06770.1, AT2G30580.1, AT3G23060.1	FBpp0075071, FBpp0298337
OG0000157	AT1G11910.2, AT1G62290.1, AT4G04460.1	FBpp0082879, FBpp0310072, FBpp0079309, FBpp0070095, FBpp0077595, FBpp0079728, FBpp0079729, FBpp0082880, FBpp0082878, FBpp0402840, FBpp0402839, FBpp0087972, FBpp0086615
OG0000158	AT3G24170.1, AT3G54660.1	FBpp0078166, FBpp0071115, FBpp0071116, FBpp0071117
