Orthogroup	fly	yeast
OG0000030	FBpp0091073, FBpp0091070, FBpp0091058, FBpp0091056, FBpp0085250, FBpp0091067, FBpp0091061, FBpp0091094, FBpp0091088, FBpp0091085, FBpp0091082, FBpp0091103, FBpp0091106, FBpp0091100, FBpp0091112, FBpp0091109, FBpp0091097, FBpp0091079, FBpp0091091, FBpp0091064, FBpp0091053, FBpp0091051, FBpp0091076, FBpp0071280, FBpp0071282, FBpp0078649, FBpp0305717, FBpp0305716, FBpp0309302, FBpp0071281	YBR010W_mRNA, YNL031C_mRNA
OG0000033	FBpp0292726, FBpp0305179, FBpp0292725, FBpp0292727, FBpp0305371, FBpp0086011, FBpp0077496, FBpp0077495, FBpp0077497, FBpp0308612, FBpp0306832, FBpp0289747, FBpp0288921, FBpp0289746, FBpp0304227, FBpp0288923, FBpp0288920, FBpp0288922, FBpp0304228, FBpp0288917	YER125W_mRNA
OG0000035	FBpp0091127, FBpp0091123, FBpp0085281, FBpp0091119, FBpp0091121, FBpp0091149, FBpp0091155, FBpp0091153, FBpp0091133, FBpp0091135, FBpp0091129, FBpp0091131, FBpp0091151, FBpp0091137, FBpp0091141, FBpp0091139, FBpp0091145, FBpp0091143, FBpp0091147, FBpp0091125, FBpp0091117, FBpp0091115, FBpp0091113	YDR224C_mRNA, YBL002W_mRNA
OG0000036	FBpp0099848, FBpp0087781, FBpp0099850, FBpp0099847, FBpp0087779, FBpp0087780, FBpp0099849, FBpp0099846, FBpp0099845, FBpp0305216	YMR246W_mRNA, YIL009W_mRNA, YOR317W_mRNA
OG0000036	FBpp0074845, FBpp0074844, FBpp0305861, FBpp0291528	YER015W_mRNA
OG0000038	FBpp0305852, FBpp0088256, FBpp0289184, FBpp0078222, FBpp0078225, FBpp0078226, FBpp0078224, FBpp0304364, FBpp0111771, FBpp0289185	YDL137W_mRNA, YDL192W_mRNA
OG0000038	FBpp0075272	YBR164C_mRNA
OG0000038	FBpp0081328	YMR138W_mRNA
OG0000038	FBpp0305833, FBpp0300568, FBpp0088220	YOR094W_mRNA
OG0000041	FBpp0309075, FBpp0082121	YHR129C_mRNA
OG0000041	FBpp0306215, FBpp0078131, FBpp0082597, FBpp0082254, FBpp0082253, FBpp0312019, FBpp0071448, FBpp0070788, FBpp0070787, FBpp0311818, FBpp0100125, FBpp0100124, FBpp0085365	YFL039C_mRNA
OG0000046	FBpp0297935, FBpp0079228, FBpp0297173, FBpp0080682	YGR281W_mRNA
OG0000046	FBpp0312572, FBpp0089065, FBpp0089059, FBpp0089061, FBpp0089066, FBpp0089060, FBpp0089069, FBpp0089058, FBpp0089057, FBpp0089056, FBpp0089070, FBpp0089064, FBpp0089062, FBpp0089067, FBpp0089071, FBpp0089072, FBpp0089063, FBpp0089068	YLL015W_mRNA, YDR135C_mRNA
OG0000046	FBpp0079220	YLL048C_mRNA, YHL035C_mRNA
OG0000047	FBpp0087240, FBpp0087241, FBpp0303807, FBpp0303805, FBpp0303806, FBpp0303808, FBpp0308570, FBpp0087236, FBpp0087235, FBpp0308627, FBpp0293611, FBpp0297290	YLL053C_mRNA, YPR192W_mRNA, YLL052C_mRNA
OG0000048	FBpp0309069, FBpp0086250, FBpp0086251, FBpp0311495, FBpp0086249, FBpp0087515, FBpp0293474, FBpp0293475, FBpp0303913, FBpp0077908, FBpp0077905	YPR161C_mRNA
OG0000048	FBpp0289675, FBpp0083330, FBpp0083329	YBR160W_mRNA
OG0000053	FBpp0087532, FBpp0303551, FBpp0087530, FBpp0087531, FBpp0087529, FBpp0089303, FBpp0303550	YBR182C_mRNA
OG0000054	FBpp0073717, FBpp0073718	YKR086W_mRNA
OG0000054	FBpp0307849, FBpp0088040	YGL120C_mRNA
OG0000054	FBpp0086647	YER013W_mRNA
OG0000054	FBpp0080706	YNR011C_mRNA
OG0000055	FBpp0075868, FBpp0075869, FBpp0303936, FBpp0075870, FBpp0303937, FBpp0089012, FBpp0085467, FBpp0073028, FBpp0073029, FBpp0081312	YBR149W_mRNA, YOR120W_mRNA, YDR368W_mRNA, YHR104W_mRNA
OG0000056	FBpp0110121, FBpp0291583, FBpp0291584, FBpp0086945, FBpp0293494, FBpp0086946, FBpp0086944, FBpp0086942, FBpp0086943, FBpp0305314	YER020W_mRNA
OG0000056	FBpp0076643, FBpp0087361, FBpp0087365, FBpp0087363, FBpp0087364, FBpp0087362, FBpp0087359, FBpp0089315, FBpp0087360, FBpp0089316	YHR005C_mRNA
OG0000057	FBpp0072086, FBpp0072746, FBpp0292253, FBpp0304917	YGR152C_mRNA
OG0000057	FBpp0081600, FBpp0073068	YOR101W_mRNA
OG0000062	FBpp0083965, FBpp0083966, FBpp0289799, FBpp0080111	YLR113W_mRNA
OG0000062	FBpp0302953, FBpp0302952, FBpp0311493, FBpp0112423, FBpp0112425, FBpp0112426	YBL016W_mRNA, YGR040W_mRNA
OG0000063	FBpp0074483, FBpp0074482, FBpp0308526, FBpp0074484, FBpp0074487, FBpp0074489, FBpp0074488, FBpp0298021, FBpp0298022, FBpp0298023, FBpp0308527, FBpp0074486, FBpp0074485	YIL107C_mRNA, YJL155C_mRNA
OG0000064	FBpp0089422, FBpp0078122, FBpp0304982, FBpp0305424, FBpp0293518, FBpp0290578, FBpp0293517, FBpp0293520, FBpp0110316, FBpp0312395, FBpp0293519, FBpp0293521	YBR233W_mRNA
OG0000066	FBpp0082421, FBpp0082422, FBpp0091128, FBpp0085280, FBpp0091138, FBpp0091152, FBpp0091150, FBpp0091154, FBpp0091134, FBpp0091136, FBpp0091130, FBpp0091132, FBpp0306146, FBpp0091116, FBpp0091118, FBpp0091120, FBpp0091148, FBpp0091144, FBpp0091146, FBpp0091140, FBpp0091142, FBpp0082423, FBpp0091124, FBpp0091122, FBpp0091126, FBpp0091114	YNL030W_mRNA, YBR009C_mRNA
OG0000067	FBpp0091105, FBpp0091102, FBpp0091099, FBpp0091084, FBpp0091087, FBpp0091096, FBpp0091090, FBpp0091093, FBpp0091066, FBpp0091063, FBpp0091060, FBpp0085249, FBpp0091108, FBpp0091055, FBpp0091072, FBpp0091069, FBpp0091075, FBpp0091078, FBpp0091111, FBpp0091081	YDR225W_mRNA, YBL003C_mRNA
OG0000068	FBpp0271735, FBpp0422992, FBpp0084769, FBpp0311398, FBpp0306891, FBpp0084767, FBpp0084768, FBpp0084770, FBpp0304704, FBpp0307389, FBpp0084752, FBpp0084751, FBpp0083526, FBpp0082208, FBpp0082209, FBpp0288476, FBpp0082210, FBpp0082211, FBpp0082212, FBpp0072584, FBpp0072586, FBpp0305587, FBpp0297512, FBpp0072581, FBpp0072582, FBpp0072583, FBpp0072585	YKL157W_mRNA, YHR047C_mRNA
OG0000081	FBpp0081957, FBpp0079769	YPL209C_mRNA
OG0000081	FBpp0077706, FBpp0075283	YDR466W_mRNA
OG0000082	FBpp0305500, FBpp0290524, FBpp0071073, FBpp0089299, FBpp0089298, FBpp0089297, FBpp0305501, FBpp0305499, FBpp0071074	YLR399C_mRNA, YDL070W_mRNA
OG0000083	FBpp0289169, FBpp0289755, FBpp0289757, FBpp0289761, FBpp0289762, FBpp0289170, FBpp0291781, FBpp0291782, FBpp0291783, FBpp0291779, FBpp0289756, FBpp0289760, FBpp0291777, FBpp0289171, FBpp0291780, FBpp0291778, FBpp0289759, FBpp0289758	YIL033C_mRNA
OG0000084	FBpp0111739, FBpp0111738, FBpp0300451, FBpp0301996, FBpp0111737, FBpp0073914, FBpp0301995, FBpp0290759, FBpp0290758, FBpp0300453, FBpp0300450, FBpp0111736, FBpp0312377, FBpp0300455, FBpp0300456, FBpp0309110, FBpp0300452, FBpp0089157, FBpp0073915, FBpp0300454, FBpp0301994	YBR083W_mRNA
OG0000085	FBpp0099625, FBpp0074319, FBpp0307120, FBpp0307121, FBpp0305513, FBpp0074320, FBpp0089317, FBpp0089318, FBpp0309297, FBpp0309295, FBpp0309296, FBpp0309294, FBpp0309298, FBpp0309299	YDR373W_mRNA
OG0000092	FBpp0074141, FBpp0074144, FBpp0074142, FBpp0074143, FBpp0074139, FBpp0074140, FBpp0074145, FBpp0076897, FBpp0087869, FBpp0087870	YLR314C_mRNA
OG0000093	FBpp0085481, FBpp0072059	YHR176W_mRNA
OG0000103	FBpp0304953, FBpp0075966, FBpp0075965, FBpp0077052, FBpp0305864	YBR028C_mRNA
OG0000104	FBpp0310022, FBpp0073761, FBpp0073760, FBpp0310023, FBpp0084502, FBpp0311411, FBpp0312562, FBpp0075380, FBpp0075379, FBpp0113021, FBpp0306617, FBpp0306616, FBpp0085147, FBpp0085146, FBpp0088598, FBpp0312092, FBpp0309548, FBpp0088925, FBpp0293626	YHL036W_mRNA
OG0000107	FBpp0089153, FBpp0290826, FBpp0304234, FBpp0304233, FBpp0305596	YLL034C_mRNA
OG0000107	FBpp0087479, FBpp0111818, FBpp0310395, FBpp0111819	YDL126C_mRNA
OG0000107	FBpp0308554, FBpp0308555	YNL329C_mRNA
OG0000107	FBpp0075519	YKL197C_mRNA
OG0000108	FBpp0081445	YBR062C_mRNA
OG0000109	FBpp0309791, FBpp0304573, FBpp0071423, FBpp0071424	YML056C_mRNA, YAR073W_mRNA, YHR216W_mRNA, YLR432W_mRNA
OG0000110	FBpp0291761, FBpp0085035, FBpp0291762, FBpp0085040, FBpp0085036, FBpp0085039, FBpp0085038, FBpp0291764, FBpp0291766, FBpp0291765, FBpp0291519, FBpp0085037, FBpp0291763, FBpp0307422, FBpp0307423, FBpp0307424	YOL061W_mRNA, YKL181W_mRNA
OG0000110	FBpp0311283, FBpp0305990, FBpp0076145, FBpp0305989, FBpp0302783, FBpp0311284, FBpp0302782, FBpp0311282, FBpp0076144	YER099C_mRNA, YBL068W_mRNA, YHL011C_mRNA
OG0000111	FBpp0081091, FBpp0293683, FBpp0291394, FBpp0291393, FBpp0306908, FBpp0293684, FBpp0293685, FBpp0306907, FBpp0306909	YGR241C_mRNA, YHR161C_mRNA
OG0000113	FBpp0289813, FBpp0082271, FBpp0289815, FBpp0082272, FBpp0300517, FBpp0082270, FBpp0300515, FBpp0300516, FBpp0082269, FBpp0082274	YDR432W_mRNA
OG0000117	FBpp0089307, FBpp0291370, FBpp0309216, FBpp0079310, FBpp0305378, FBpp0073522, FBpp0073521	YDL052C_mRNA
OG0000121	FBpp0082989, FBpp0082988, FBpp0082987, FBpp0082990, FBpp0089337, FBpp0087505, FBpp0099539, FBpp0087501, FBpp0087500, FBpp0089338, FBpp0087504, FBpp0305136, FBpp0305137, FBpp0099540, FBpp0087503, FBpp0087502	YDR099W_mRNA, YER177W_mRNA
OG0000122	FBpp0289783, FBpp0293011, FBpp0293010, FBpp0289784, FBpp0289781, FBpp0293009, FBpp0293012, FBpp0289786, FBpp0289785, FBpp0293013, FBpp0289782	YGL006W_mRNA
OG0000126	FBpp0081045, FBpp0079406, FBpp0304847, FBpp0084452, FBpp0300161	YMR169C_mRNA, YMR170C_mRNA, YOR374W_mRNA, YER073W_mRNA, YPL061W_mRNA
OG0000127	FBpp0110266, FBpp0110264, FBpp0110265, FBpp0085961	YGL073W_mRNA
OG0000128	FBpp0089135, FBpp0300427, FBpp0305406, FBpp0288844, FBpp0300330, FBpp0099985, FBpp0073406, FBpp0073405, FBpp0073403, FBpp0300428	YGL019W_mRNA
OG0000128	FBpp0085590	YOR039W_mRNA
OG0000129	FBpp0305303, FBpp0305302, FBpp0311174, FBpp0079951	YDR172W_mRNA
OG0000129	FBpp0304260, FBpp0311272, FBpp0311273, FBpp0087142, FBpp0085194, FBpp0085193, FBpp0089104, FBpp0089103	YPR080W_mRNA, YBR118W_mRNA
OG0000131	FBpp0293192, FBpp0075807	YDL155W_mRNA, YLR210W_mRNA, YPR120C_mRNA, YGR109C_mRNA, YGR108W_mRNA, YPR119W_mRNA
OG0000133	FBpp0307734, FBpp0307735, FBpp0289915, FBpp0307736	YER051W_mRNA
OG0000135	FBpp0293570, FBpp0082974, FBpp0082975, FBpp0293571, FBpp0293569, FBpp0288758, FBpp0297601, FBpp0288759, FBpp0307570, FBpp0307569, FBpp0082976, FBpp0288760, FBpp0082977, FBpp0084573, FBpp0084574, FBpp0084575, FBpp0084577, FBpp0084578, FBpp0084579	YOR014W_mRNA
OG0000137	FBpp0312286, FBpp0084026, FBpp0306442, FBpp0073834, FBpp0082067, FBpp0305497, FBpp0071382, FBpp0071381	YER133W_mRNA
OG0000137	FBpp0311209, FBpp0085996, FBpp0071650, FBpp0312287	YPL179W_mRNA, YDR436W_mRNA, YML016C_mRNA
OG0000137	FBpp0291347, FBpp0110077, FBpp0075812	YNL217W_mRNA
OG0000141	FBpp0305775, FBpp0291665, FBpp0075201, FBpp0086939	YJR040W_mRNA
OG0000142	FBpp0312345, FBpp0073423, FBpp0074111, FBpp0074112, FBpp0074110, FBpp0111907, FBpp0111908, FBpp0307256, FBpp0074393, FBpp0309326, FBpp0297937, FBpp0297938, FBpp0111834	YLR299W_mRNA
OG0000143	FBpp0071137, FBpp0303987, FBpp0089184, FBpp0089185, FBpp0089182, FBpp0312372, FBpp0073921, FBpp0074717	YOR212W_mRNA
OG0000145	FBpp0310647, FBpp0083290	YPL015C_mRNA
OG0000145	FBpp0080015	YDL042C_mRNA, YOL068C_mRNA
OG0000146	FBpp0289481	YPL190C_mRNA
OG0000149	FBpp0111829, FBpp0111828, FBpp0290800, FBpp0083422, FBpp0083421, FBpp0083423, FBpp0290803, FBpp0290804, FBpp0083425, FBpp0083424, FBpp0110238, FBpp0110239, FBpp0290802, FBpp0290801, FBpp0083427, FBpp0110237	YGL115W_mRNA
OG0000150	FBpp0301153, FBpp0301154, FBpp0074520	YLR229C_mRNA
OG0000151	FBpp0311473, FBpp0070786, FBpp0308971	YDR006C_mRNA
OG0000152	FBpp0302670, FBpp0076818, FBpp0302671	YHR128W_mRNA
OG0000152	FBpp0086068, FBpp0086069, FBpp0086070, FBpp0086071	YNR012W_mRNA
OG0000153	FBpp0075478, FBpp0075479, FBpp0074017	YML078W_mRNA, YDR155C_mRNA
OG0000153	FBpp0311613, FBpp0071844	YHR057C_mRNA, YDR304C_mRNA
OG0000154	FBpp0072677, FBpp0306200, FBpp0297108, FBpp0071463, FBpp0071472, FBpp0071471, FBpp0082294, FBpp0072985	YDR371W_mRNA
OG0000157	FBpp0082879	YIL015W_mRNA
OG0000157	FBpp0310072, FBpp0079309, FBpp0070095, FBpp0077595, FBpp0079728, FBpp0079729, FBpp0082880, FBpp0082878	YPL154C_mRNA
OG0000158	FBpp0078166, FBpp0071115, FBpp0071116, FBpp0071117	YPL091W_mRNA
OG0000159	FBpp0074185, FBpp0297398	YHR132C_mRNA
OG0000160	FBpp0293284, FBpp0292225, FBpp0288420, FBpp0074283, FBpp0288421, FBpp0271926, FBpp0304989, FBpp0304988, FBpp0304991, FBpp0073215, FBpp0271878, FBpp0304990, FBpp0304986, FBpp0304987	YKR054C_mRNA
OG0000164	FBpp0312291, FBpp0301958, FBpp0088559, FBpp0401438, FBpp0401439, FBpp0401440, FBpp0312288, FBpp0312290, FBpp0312289, FBpp0089016, FBpp0089020, FBpp0089021, FBpp0088422, FBpp0088428, FBpp0088429, FBpp0088423, FBpp0088424, FBpp0088426, FBpp0088425, FBpp0309319, FBpp0088420, FBpp0088421, FBpp0088419, FBpp0309318, FBpp0088427, FBpp0311840, FBpp0311841	YDR488C_mRNA
OG0000171	FBpp0081767	YDL168W_mRNA
OG0000172	FBpp0088471, FBpp0088470, FBpp0088469	YBL034C_mRNA
OG0000173	FBpp0308241	YNL167C_mRNA
OG0000174	FBpp0291973, FBpp0309496, FBpp0291975, FBpp0291977, FBpp0309495, FBpp0291974, FBpp0309494, FBpp0309493, FBpp0291976	YKL092C_mRNA
OG0000181	FBpp0085327, FBpp0307274	YER007W_mRNA
OG0000182	FBpp0309780, FBpp0309781, FBpp0111666, FBpp0303736, FBpp0111665, FBpp0300815, FBpp0111667, FBpp0290276, FBpp0290277, FBpp0308957, FBpp0290278, FBpp0290279, FBpp0306225, FBpp0306224, FBpp0293203, FBpp0290275, FBpp0290274	YLR246W_mRNA
OG0000183	FBpp0303501, FBpp0077753, FBpp0077754, FBpp0309853, FBpp0078920	YAL022C_mRNA
OG0000185	FBpp0076720, FBpp0304378, FBpp0076719, FBpp0086914, FBpp0291408, FBpp0086666	YKL209C_mRNA
OG0000188	FBpp0311492, FBpp0078862, FBpp0078863, FBpp0297914, FBpp0297912, FBpp0297913	YJR119C_mRNA
OG0000189	FBpp0083843	YOR117W_mRNA
OG0000189	FBpp0075772, FBpp0312163, FBpp0293948	YOR259C_mRNA
OG0000189	FBpp0311982, FBpp0083906	YDL007W_mRNA
OG0000189	FBpp0304481, FBpp0290751, FBpp0073292, FBpp0312031	YDR394W_mRNA
OG0000191	FBpp0309953, FBpp0072110	YAR042W_mRNA, YDL019C_mRNA
OG0000192	FBpp0081817, FBpp0072875, FBpp0076030, FBpp0076031, FBpp0076032	YJR100C_mRNA
OG0000193	FBpp0302691, FBpp0307824, FBpp0082477	YDR059C_mRNA, YBR082C_mRNA, YGR133W_mRNA, YDR177W_mRNA
OG0000199	FBpp0306582, FBpp0306581, FBpp0099514, FBpp0306584, FBpp0306583, FBpp0082167, FBpp0082170, FBpp0082169, FBpp0082168, FBpp0306580	YNL274C_mRNA, YPL113C_mRNA
OG0000201	FBpp0352246, FBpp0083973, FBpp0292260	YPL232W_mRNA, YMR183C_mRNA
OG0000203	FBpp0089150, FBpp0304218, FBpp0304221, FBpp0304220, FBpp0089151, FBpp0076509, FBpp0076508, FBpp0076510, FBpp0111854, FBpp0304219, FBpp0304217, FBpp0304222	YLR206W_mRNA, YDL161W_mRNA
OG0000204	FBpp0293727, FBpp0081474, FBpp0305824, FBpp0305823, FBpp0081470, FBpp0081471, FBpp0081472, FBpp0081473	YLL013C_mRNA
OG0000205	FBpp0309532, FBpp0076154, FBpp0076152, FBpp0076153	YPL081W_mRNA, YBR189W_mRNA
OG0000211	FBpp0303754, FBpp0300311, FBpp0303755, FBpp0303756, FBpp0300310, FBpp0300312, FBpp0300313, FBpp0300315, FBpp0300314	YPL088W_mRNA
OG0000214	FBpp0306927, FBpp0289838, FBpp0310087, FBpp0072177, FBpp0081524, FBpp0085721, FBpp0085720	YFL037W_mRNA
OG0000217	FBpp0089176, FBpp0300518, FBpp0289708, FBpp0302796, FBpp0307851, FBpp0289705, FBpp0289704, FBpp0088066, FBpp0289706, FBpp0302794, FBpp0289707, FBpp0302795	YMR110C_mRNA
OG0000218	FBpp0305689	YDR387C_mRNA
OG0000218	FBpp0305678, FBpp0305684, FBpp0305682, FBpp0305680, FBpp0305681, FBpp0305683, FBpp0305677, FBpp0311739, FBpp0305679, FBpp0312585, FBpp0311738, FBpp0305686, FBpp0305685, FBpp0305692, FBpp0305690, FBpp0305687, FBpp0305688, FBpp0305691, FBpp0305693	YBR241C_mRNA, YGL104C_mRNA
OG0000220	FBpp0070749, FBpp0300803	YGL106W_mRNA
OG0000226	FBpp0079436, FBpp0079437, FBpp0309419, FBpp0070722, FBpp0075439	YCR083W_mRNA, YGR209C_mRNA, YLR043C_mRNA
OG0000230	FBpp0073491, FBpp0070078	YPL270W_mRNA, YLR188W_mRNA
OG0000230	FBpp0072638, FBpp0072637	YMR301C_mRNA
OG0000238	FBpp0293463, FBpp0305130, FBpp0071817	YPR024W_mRNA
OG0000238	FBpp0075012, FBpp0075013	YER017C_mRNA, YMR089C_mRNA
OG0000239	FBpp0070883, FBpp0303847, FBpp0303848, FBpp0303849	YDL047W_mRNA
OG0000239	FBpp0311268, FBpp0312200, FBpp0077016, FBpp0077017, FBpp0401522	YDR075W_mRNA
OG0000241	FBpp0073551	YJL128C_mRNA
OG0000241	FBpp0309113, FBpp0071248	YDL159W_mRNA
OG0000242	FBpp0289030, FBpp0289026, FBpp0289027, FBpp0289028, FBpp0289023, FBpp0289020, FBpp0289031, FBpp0289022, FBpp0307567, FBpp0289021, FBpp0300822, FBpp0289025, FBpp0300824	YLL019C_mRNA
OG0000243	FBpp0304253, FBpp0085688	YAR019C_mRNA
OG0000243	FBpp0082840	YDR523C_mRNA
OG0000245	FBpp0072128, FBpp0297132, FBpp0297131	YKR048C_mRNA
OG0000246	FBpp0087592, FBpp0297719, FBpp0305219, FBpp0111805	YGL059W_mRNA, YIL042C_mRNA
OG0000256	FBpp0084740, FBpp0084741, FBpp0084742	YOR161C_mRNA
OG0000257	FBpp0074708	YFR009W_mRNA
OG0000257	FBpp0073872, FBpp0073873, FBpp0309269	YER036C_mRNA
OG0000258	FBpp0303058, FBpp0082129, FBpp0082130, FBpp0086304, FBpp0290922, FBpp0290921, FBpp0084480, FBpp0291081, FBpp0291082, FBpp0100058, FBpp0291083	YKL029C_mRNA
OG0000259	FBpp0086532, FBpp0309016, FBpp0082239, FBpp0290373, FBpp0077854, FBpp0077205, FBpp0293062, FBpp0079682, FBpp0304062, FBpp0079683, FBpp0079684, FBpp0079693	YKL140W_mRNA
OG0000260	FBpp0085786, FBpp0307446, FBpp0079839, FBpp0083073, FBpp0083072, FBpp0083071	YMR054W_mRNA, YOR270C_mRNA
OG0000261	FBpp0073467, FBpp0110209, FBpp0084804, FBpp0084803, FBpp0306896, FBpp0074074	YAL058W_mRNA
OG0000262	FBpp0083127	YER023W_mRNA
OG0000267	FBpp0074650, FBpp0079527, FBpp0290407, FBpp0081585, FBpp0081586, FBpp0081584	YNL189W_mRNA
OG0000268	FBpp0076189, FBpp0303973, FBpp0303972	YDR358W_mRNA, YHR108W_mRNA
OG0000278	FBpp0087507, FBpp0087508, FBpp0087506, FBpp0305281, FBpp0293464	YMR205C_mRNA, YGR240C_mRNA
OG0000283	FBpp0076339	YJL085W_mRNA
OG0000284	FBpp0070122, FBpp0070124, FBpp0070119, FBpp0070118, FBpp0070121, FBpp0070120, FBpp0311474, FBpp0099971, FBpp0070123, FBpp0087127, FBpp0074575, FBpp0074565, FBpp0074566, FBpp0071931	YDR328C_mRNA
OG0000285	FBpp0312160, FBpp0076287, FBpp0086848, FBpp0086847, FBpp0305353	YGR094W_mRNA
OG0000286	FBpp0288398, FBpp0089258, FBpp0088319, FBpp0088318, FBpp0088320, FBpp0089257, FBpp0308813	YPR052C_mRNA
