Orthogroup	fly	neurospora
OG0000023	FBpp0081956, FBpp0081986, FBpp0082147, FBpp0082105, FBpp0082106, FBpp0082107, FBpp0083974, FBpp0082175, FBpp0075504, FBpp0075503, FBpp0075505, FBpp0307982, FBpp0082518, FBpp0082519, FBpp0082517, FBpp0082516, FBpp0082515, FBpp0082514	EAA34130
OG0000024	FBpp0070468, FBpp0308632, FBpp0088917, FBpp0308631	EAA36439
OG0000024	FBpp0294026, FBpp0077292, FBpp0077294, FBpp0077293, FBpp0099714, FBpp0099715, FBpp0303496, FBpp0077817, FBpp0099713, FBpp0099712, FBpp0077816, FBpp0077815, FBpp0077814, FBpp0077554, FBpp0077553, FBpp0077291, FBpp0111812, FBpp0077116, FBpp0077117, FBpp0111811, FBpp0077390, FBpp0077392, FBpp0306277, FBpp0306276, FBpp0306275, FBpp0306278, FBpp0077391, FBpp0077389, FBpp0099791, FBpp0077813, FBpp0089109, FBpp0077812, FBpp0079489, FBpp0311684, FBpp0304025	EAA28525
OG0000026	FBpp0289039, FBpp0289032, FBpp0289038, FBpp0289036, FBpp0289037, FBpp0289042, FBpp0289034, FBpp0289041, FBpp0289040, FBpp0289043, FBpp0289035, FBpp0289033, FBpp0297637, FBpp0292219	EAA28587
OG0000026	FBpp0088795, FBpp0290286, FBpp0290287, FBpp0088794	EAA35394
OG0000030	FBpp0091073, FBpp0091070, FBpp0091058, FBpp0091056, FBpp0085250, FBpp0091067, FBpp0091061, FBpp0091094, FBpp0091088, FBpp0091085, FBpp0091082, FBpp0091103, FBpp0091106, FBpp0091100, FBpp0091112, FBpp0091109, FBpp0091097, FBpp0091079, FBpp0091091, FBpp0091064, FBpp0091053, FBpp0091051, FBpp0091076, FBpp0071280, FBpp0071282, FBpp0078649, FBpp0305717, FBpp0305716, FBpp0309302, FBpp0071281	EAA26767
OG0000033	FBpp0292726, FBpp0305179, FBpp0292725, FBpp0292727, FBpp0305371, FBpp0086011, FBpp0077496, FBpp0077495, FBpp0077497, FBpp0308612, FBpp0306832, FBpp0289747, FBpp0288921, FBpp0289746, FBpp0304227, FBpp0288923, FBpp0288920, FBpp0288922, FBpp0304228, FBpp0288917	EAA28350
OG0000035	FBpp0091127, FBpp0091123, FBpp0085281, FBpp0091119, FBpp0091121, FBpp0091149, FBpp0091155, FBpp0091153, FBpp0091133, FBpp0091135, FBpp0091129, FBpp0091131, FBpp0091151, FBpp0091137, FBpp0091141, FBpp0091139, FBpp0091145, FBpp0091143, FBpp0091147, FBpp0091125, FBpp0091117, FBpp0091115, FBpp0091113	EAA30204
OG0000036	FBpp0099848, FBpp0087781, FBpp0099850, FBpp0099847, FBpp0087779, FBpp0087780, FBpp0099849, FBpp0099846, FBpp0099845, FBpp0305216	EAA28332, EAA28221
OG0000036	FBpp0074845, FBpp0074844, FBpp0305861, FBpp0291528	EAA27040
OG0000038	FBpp0305852, FBpp0088256, FBpp0289184, FBpp0078222, FBpp0078225, FBpp0078226, FBpp0078224, FBpp0304364, FBpp0111771, FBpp0289185	ESA44151
OG0000038	FBpp0075272	EAA29781
OG0000038	FBpp0081328	EAA27367
OG0000041	FBpp0309075, FBpp0082121	EAA32002
OG0000041	FBpp0306215, FBpp0078131, FBpp0082597, FBpp0082254, FBpp0082253, FBpp0312019, FBpp0071448, FBpp0070788, FBpp0070787, FBpp0311818, FBpp0100125, FBpp0100124, FBpp0085365	ESA42660
OG0000042	FBpp0304010, FBpp0080466, FBpp0086224, FBpp0078872, FBpp0082126, FBpp0291574, FBpp0080904, FBpp0311165, FBpp0080469, FBpp0080468, FBpp0080467, FBpp0288390, FBpp0112233, FBpp0081850, FBpp0085174, FBpp0081852, FBpp0300388, FBpp0081849, FBpp0081851, FBpp0311934, FBpp0081854, FBpp0081814, FBpp0081813, FBpp0074804, FBpp0304894	EAA28859
OG0000043	FBpp0079238, FBpp0079235, FBpp0303535, FBpp0111748, FBpp0303536, FBpp0111749, FBpp0079237, FBpp0079236, FBpp0307254, FBpp0307255	EAA36600
OG0000046	FBpp0297935, FBpp0079228, FBpp0297173, FBpp0080682	EAA32081
OG0000046	FBpp0312572, FBpp0089065, FBpp0089059, FBpp0089061, FBpp0089066, FBpp0089060, FBpp0089069, FBpp0089058, FBpp0089057, FBpp0089056, FBpp0089070, FBpp0089064, FBpp0089062, FBpp0089067, FBpp0089071, FBpp0089072, FBpp0089063, FBpp0089068	EAA28910
OG0000046	FBpp0079220	EAA32984, EAA32894, EAA36025, EAA34524, EAA31399
OG0000047	FBpp0087240, FBpp0087241, FBpp0303807, FBpp0303805, FBpp0303806, FBpp0303808, FBpp0308570, FBpp0087236, FBpp0087235, FBpp0308627, FBpp0293611, FBpp0297290	EAA35947
OG0000048	FBpp0087515, FBpp0293474, FBpp0293475, FBpp0303913, FBpp0077908, FBpp0077905	EAA33577
OG0000048	FBpp0289675, FBpp0083330, FBpp0083329	EAA30881
OG0000051	FBpp0306154, FBpp0306157, FBpp0074077, FBpp0306156, FBpp0306158, FBpp0074078, FBpp0306155, FBpp0088505, FBpp0088985, FBpp0088506, FBpp0088986, FBpp0307770, FBpp0307769, FBpp0291143, FBpp0070024	EAA35061, ESA42945
OG0000053	FBpp0087532, FBpp0303551, FBpp0087530, FBpp0087531, FBpp0087529, FBpp0089303, FBpp0303550	EAA36453
OG0000054	FBpp0079537, FBpp0401582, FBpp0401583, FBpp0077107	EAA34271
OG0000054	FBpp0073717, FBpp0073718	EAA35877
OG0000054	FBpp0307849, FBpp0088040	EAA27287
OG0000054	FBpp0086647	EAA33344
OG0000054	FBpp0080706	EAA31559
OG0000055	FBpp0075868, FBpp0075869, FBpp0303936, FBpp0075870, FBpp0303937, FBpp0089012, FBpp0085467, FBpp0073028, FBpp0073029, FBpp0081312	EAA30135, EAA36301, EAA27685, EAA34695
OG0000056	FBpp0110121, FBpp0291583, FBpp0291584, FBpp0086945, FBpp0293494, FBpp0086946, FBpp0086944, FBpp0086942, FBpp0086943, FBpp0305314	EAA32969
OG0000056	FBpp0076643, FBpp0087361, FBpp0087365, FBpp0087363, FBpp0087364, FBpp0087362, FBpp0087359, FBpp0089315, FBpp0087360, FBpp0089316	ESA42608, EAA27897
OG0000057	FBpp0072086, FBpp0072746, FBpp0292253, FBpp0304917	EAA35290
OG0000057	FBpp0081600, FBpp0073068	EAA32627
OG0000062	FBpp0083965, FBpp0083966, FBpp0289799, FBpp0080111	EAA32927
OG0000062	FBpp0302953, FBpp0302952, FBpp0311493, FBpp0112423, FBpp0112425, FBpp0112426	ESA41968
OG0000063	FBpp0074483, FBpp0074482, FBpp0308526, FBpp0074484, FBpp0074487, FBpp0074489, FBpp0074488, FBpp0298021, FBpp0298022, FBpp0298023, FBpp0308527, FBpp0074486, FBpp0074485	ESA43632, EAA29690
OG0000064	FBpp0089422, FBpp0078122, FBpp0304982, FBpp0305424, FBpp0293518, FBpp0290578, FBpp0293517, FBpp0293520, FBpp0110316, FBpp0312395, FBpp0293519, FBpp0293521	ESA43211, EAA34578
OG0000065	FBpp0070489, FBpp0070487, FBpp0070491, FBpp0070488, FBpp0070493, FBpp0305506, FBpp0305505, FBpp0070485, FBpp0305507, FBpp0305508, FBpp0305509, FBpp0070495, FBpp0070496, FBpp0070494, FBpp0305504, FBpp0070497, FBpp0070498	ESA43394
OG0000066	FBpp0082421, FBpp0082422, FBpp0091128, FBpp0085280, FBpp0091138, FBpp0091152, FBpp0091150, FBpp0091154, FBpp0091134, FBpp0091136, FBpp0091130, FBpp0091132, FBpp0306146, FBpp0091116, FBpp0091118, FBpp0091120, FBpp0091148, FBpp0091144, FBpp0091146, FBpp0091140, FBpp0091142, FBpp0082423, FBpp0091124, FBpp0091122, FBpp0091126, FBpp0091114	EAA26766, EAA27361, EAA27083
OG0000067	FBpp0091105, FBpp0091102, FBpp0091099, FBpp0091084, FBpp0091087, FBpp0091096, FBpp0091090, FBpp0091093, FBpp0091066, FBpp0091063, FBpp0091060, FBpp0085249, FBpp0091108, FBpp0091055, FBpp0091072, FBpp0091069, FBpp0091075, FBpp0091078, FBpp0091111, FBpp0091081	EAA30206
OG0000068	FBpp0271735, FBpp0422992, FBpp0084769, FBpp0311398, FBpp0306891, FBpp0084767, FBpp0084768, FBpp0084770, FBpp0304704, FBpp0307389, FBpp0084752, FBpp0084751, FBpp0083526, FBpp0082208, FBpp0082209, FBpp0288476, FBpp0082210, FBpp0082211, FBpp0082212, FBpp0072584, FBpp0072586, FBpp0305587, FBpp0297512, FBpp0072581, FBpp0072582, FBpp0072583, FBpp0072585	EAA30246, EAA29936
OG0000080	FBpp0073961, FBpp0089402, FBpp0089403, FBpp0089405	EAA32162
OG0000081	FBpp0081957, FBpp0079769	EAA27996
OG0000081	FBpp0070326, FBpp0290641, FBpp0085653, FBpp0303276, FBpp0290720, FBpp0099804, FBpp0303277, FBpp0303278	EAA36331
OG0000082	FBpp0305500, FBpp0290524, FBpp0071073, FBpp0089299, FBpp0089298, FBpp0089297, FBpp0305501, FBpp0305499, FBpp0071074	ESA43715
OG0000082	FBpp0071950	EAA32760
OG0000083	FBpp0289169, FBpp0289755, FBpp0289757, FBpp0289761, FBpp0289762, FBpp0289170, FBpp0291781, FBpp0291782, FBpp0291783, FBpp0291779, FBpp0289756, FBpp0289760, FBpp0291777, FBpp0289171, FBpp0291780, FBpp0291778, FBpp0289759, FBpp0289758	ESA42511
OG0000085	FBpp0099625, FBpp0074319, FBpp0307120, FBpp0307121, FBpp0305513, FBpp0074320, FBpp0089317, FBpp0089318, FBpp0309297, FBpp0309295, FBpp0309296, FBpp0309294, FBpp0309298, FBpp0309299	EAA34616
OG0000085	FBpp0074671	EAA28220
OG0000092	FBpp0074141, FBpp0074144, FBpp0074142, FBpp0074143, FBpp0074139, FBpp0074140, FBpp0074145, FBpp0076897, FBpp0087869, FBpp0087870	ESA42882
OG0000093	FBpp0085481, FBpp0072059	EAA28865, EAA33706, EAA31866
OG0000094	FBpp0311550, FBpp0289511	EAA28828
OG0000094	FBpp0078893	EAA30699
OG0000094	FBpp0082092, FBpp0083227, FBpp0074843	EAA33014
OG0000094	FBpp0076375	EAA35048
OG0000103	FBpp0304953, FBpp0075966, FBpp0075965, FBpp0077052, FBpp0305864	ESA44058
OG0000104	FBpp0310022, FBpp0073761, FBpp0073760, FBpp0310023, FBpp0084502, FBpp0311411, FBpp0312562, FBpp0075380, FBpp0075379, FBpp0113021, FBpp0306617, FBpp0306616, FBpp0085147, FBpp0085146, FBpp0088598, FBpp0312092, FBpp0309548, FBpp0088925, FBpp0293626	EAA31968
OG0000107	FBpp0089153, FBpp0290826, FBpp0304234, FBpp0304233, FBpp0305596	EAA27251
OG0000107	FBpp0087479, FBpp0111818, FBpp0310395, FBpp0111819	ESA43229
OG0000107	FBpp0308554, FBpp0308555	EAA36040
OG0000107	FBpp0075519	EAA34641
OG0000108	FBpp0081445	EAA30913
OG0000108	FBpp0310695, FBpp0083052, FBpp0288650	EAA32691, ESA43573
OG0000109	FBpp0309791, FBpp0304573, FBpp0071423, FBpp0071424	EAA35740
OG0000110	FBpp0291761, FBpp0085035, FBpp0291762, FBpp0085040, FBpp0085036, FBpp0085039, FBpp0085038, FBpp0291764, FBpp0291766, FBpp0291765, FBpp0291519, FBpp0085037, FBpp0291763, FBpp0307422, FBpp0307423, FBpp0307424	EAA26722, ESA42531, EAA32555
OG0000110	FBpp0311283, FBpp0305990, FBpp0076145, FBpp0305989, FBpp0302783, FBpp0311284, FBpp0302782, FBpp0311282, FBpp0076144	ESA43033
OG0000111	FBpp0081091, FBpp0293683, FBpp0291394, FBpp0291393, FBpp0306908, FBpp0293684, FBpp0293685, FBpp0306907, FBpp0306909	EAA36481
OG0000113	FBpp0289813, FBpp0082271, FBpp0289815, FBpp0082272, FBpp0300517, FBpp0082270, FBpp0300515, FBpp0300516, FBpp0082269, FBpp0082274	EAA31098
OG0000117	FBpp0089307, FBpp0291370, FBpp0309216, FBpp0079310, FBpp0305378, FBpp0073522, FBpp0073521	EAA27445
OG0000121	FBpp0082989, FBpp0082988, FBpp0082987, FBpp0082990, FBpp0089337, FBpp0087505, FBpp0099539, FBpp0087501, FBpp0087500, FBpp0089338, FBpp0087504, FBpp0305136, FBpp0305137, FBpp0099540, FBpp0087503, FBpp0087502	EAA35226, ESA44100
OG0000122	FBpp0289783, FBpp0293011, FBpp0293010, FBpp0289784, FBpp0289781, FBpp0293009, FBpp0293012, FBpp0289786, FBpp0289785, FBpp0293013, FBpp0289782	EAA27416, EAA31135
OG0000126	FBpp0081045, FBpp0079406, FBpp0304847, FBpp0084452, FBpp0300161	EAA28028, EAA27626
OG0000127	FBpp0110266, FBpp0110264, FBpp0110265, FBpp0085961	EAA33926
OG0000128	FBpp0089135, FBpp0300427, FBpp0305406, FBpp0288844, FBpp0300330, FBpp0099985, FBpp0073406, FBpp0073405, FBpp0073403, FBpp0300428	EAA31211
OG0000128	FBpp0085590	EDO65315
OG0000129	FBpp0311793, FBpp0072745	ESA42250
OG0000129	FBpp0305303, FBpp0305302, FBpp0311174, FBpp0079951	ESA42137
OG0000129	FBpp0304260, FBpp0311272, FBpp0311273, FBpp0087142, FBpp0085194, FBpp0085193, FBpp0089104, FBpp0089103	EAA35632
OG0000130	FBpp0087310, FBpp0071446, FBpp0307272, FBpp0080116, FBpp0084503	EAA30978
OG0000131	FBpp0293192, FBpp0075807	EAA32372, EAA34615
OG0000135	FBpp0293570, FBpp0082974, FBpp0082975, FBpp0293571, FBpp0293569, FBpp0288758, FBpp0297601, FBpp0288759, FBpp0307570, FBpp0307569, FBpp0082976, FBpp0288760, FBpp0082977, FBpp0084573, FBpp0084574, FBpp0084575, FBpp0084577, FBpp0084578, FBpp0084579	EAA31896
OG0000137	FBpp0312286, FBpp0084026, FBpp0306442, FBpp0073834, FBpp0082067, FBpp0305497, FBpp0071382, FBpp0071381	EAA26918
OG0000137	FBpp0311209, FBpp0085996, FBpp0071650, FBpp0312287	ESA43764
OG0000138	FBpp0078610, FBpp0307688, FBpp0301195, FBpp0078612, FBpp0078607, FBpp0078608, FBpp0301196	EAA27368
OG0000141	FBpp0305775, FBpp0291665, FBpp0075201	EAA28009, EAA28099
OG0000141	FBpp0086939	ESA42823
OG0000142	FBpp0312345, FBpp0073423, FBpp0074111, FBpp0074112, FBpp0074110, FBpp0111907, FBpp0111908, FBpp0307256, FBpp0074393, FBpp0309326, FBpp0297937, FBpp0297938, FBpp0111834	EAA27940
OG0000143	FBpp0071137, FBpp0303987, FBpp0089184, FBpp0089185, FBpp0089182, FBpp0312372, FBpp0073921, FBpp0074717	EAA27468
OG0000144	FBpp0292096, FBpp0309822, FBpp0078819	EAA27640
OG0000145	FBpp0310647, FBpp0083290	EAA34489
OG0000145	FBpp0080015	EAA31136
OG0000146	FBpp0289481	EAA30694
OG0000149	FBpp0111829, FBpp0111828, FBpp0290800, FBpp0083422, FBpp0083421, FBpp0083423, FBpp0290803, FBpp0290804, FBpp0083425, FBpp0083424, FBpp0110238, FBpp0110239, FBpp0290802, FBpp0290801, FBpp0083427, FBpp0110237	ESA42617
OG0000150	FBpp0084561, FBpp0084563, FBpp0084562, FBpp0072614, FBpp0304252, FBpp0305023, FBpp0076577	EAA35283
OG0000150	FBpp0301153, FBpp0301154, FBpp0074520	ESA43171
OG0000151	FBpp0311473, FBpp0070786, FBpp0308971	EAA29253, EAA27119
OG0000152	FBpp0302670, FBpp0076818, FBpp0302671	ESA42630
OG0000152	FBpp0086068, FBpp0086069, FBpp0086070, FBpp0086071	EAA32648
OG0000153	FBpp0075478, FBpp0075479, FBpp0074017	ESA44269
OG0000153	FBpp0311613, FBpp0071844	ESA42515
OG0000154	FBpp0072677, FBpp0306200, FBpp0297108, FBpp0071463, FBpp0071472, FBpp0071471, FBpp0082294, FBpp0072985	EAA36176, EAA36073, EAA28688, EAA26709
OG0000157	FBpp0082879	EDO64883
OG0000157	FBpp0310072, FBpp0079309, FBpp0070095, FBpp0077595, FBpp0079728, FBpp0079729, FBpp0082880, FBpp0082878	EAA30681
OG0000158	FBpp0078166, FBpp0071115, FBpp0071116, FBpp0071117	ESA43520
OG0000159	FBpp0074185, FBpp0297398	EAA27505
OG0000159	FBpp0271927, FBpp0070801, FBpp0070798, FBpp0076562, FBpp0304970, FBpp0086967, FBpp0076604, FBpp0079138, FBpp0079139, FBpp0307462, FBpp0079464, FBpp0079463	EAA29813
OG0000160	FBpp0293284, FBpp0292225, FBpp0288420, FBpp0074283, FBpp0288421, FBpp0271926, FBpp0304989, FBpp0304988, FBpp0304991, FBpp0073215, FBpp0271878, FBpp0304990, FBpp0304986, FBpp0304987	ESA43035
OG0000164	FBpp0312291, FBpp0301958, FBpp0088559, FBpp0401438, FBpp0401439, FBpp0401440, FBpp0312288, FBpp0312290, FBpp0312289, FBpp0089016, FBpp0089020, FBpp0089021, FBpp0088422, FBpp0088428, FBpp0088429, FBpp0088423, FBpp0088424, FBpp0088426, FBpp0088425, FBpp0309319, FBpp0088420, FBpp0088421, FBpp0088419, FBpp0309318, FBpp0088427, FBpp0311840, FBpp0311841	EAA29678
OG0000171	FBpp0081767	EAA31461
OG0000172	FBpp0088471, FBpp0088470, FBpp0088469	EAA33043
OG0000173	FBpp0308241	EAA26611, ESA42557
OG0000174	FBpp0291973, FBpp0309496, FBpp0291975, FBpp0291977, FBpp0309495, FBpp0291974, FBpp0309494, FBpp0309493, FBpp0291976	EAA26626
OG0000175	FBpp0301120, FBpp0309427, FBpp0301114, FBpp0301117, FBpp0301118, FBpp0301123, FBpp0301122, FBpp0301110, FBpp0301112, FBpp0301116, FBpp0301119, FBpp0301121, FBpp0301113, FBpp0301115, FBpp0301111	EAA32448
OG0000181	FBpp0085327, FBpp0307274	EAA29675
OG0000182	FBpp0309780, FBpp0309781, FBpp0111666, FBpp0303736, FBpp0111665, FBpp0300815, FBpp0111667, FBpp0290276, FBpp0290277, FBpp0308957, FBpp0290278, FBpp0290279, FBpp0306225, FBpp0306224, FBpp0293203, FBpp0290275, FBpp0290274	EAA35644
OG0000183	FBpp0303501, FBpp0077753, FBpp0077754, FBpp0309853, FBpp0078920	EAA28591
OG0000184	FBpp0084581, FBpp0293213	EAA32255
OG0000184	FBpp0112001, FBpp0112000, FBpp0112002, FBpp0293222, FBpp0293221, FBpp0303038, FBpp0312423, FBpp0086227	ESA42610
OG0000185	FBpp0076720, FBpp0304378, FBpp0076719, FBpp0086914, FBpp0291408, FBpp0086666	ESA44122, EAA29359
OG0000189	FBpp0083843	EAA28255
OG0000189	FBpp0075772, FBpp0312163, FBpp0293948	EAA29624
OG0000189	FBpp0311982, FBpp0083906	EAA32354
OG0000189	FBpp0304481, FBpp0290751, FBpp0073292, FBpp0312031	EAA30668
OG0000191	FBpp0309953, FBpp0072110	ESA44317
OG0000193	FBpp0302691, FBpp0307824, FBpp0082477	EAA30697, EAA34737, EAA27688
OG0000196	FBpp0082669, FBpp0307407, FBpp0100052, FBpp0307406, FBpp0082670, FBpp0297354, FBpp0307408, FBpp0082675, FBpp0307409, FBpp0082674, FBpp0081304, FBpp0289317, FBpp0303221	EAA32742
OG0000199	FBpp0306582, FBpp0306581, FBpp0099514, FBpp0306584, FBpp0306583, FBpp0082167, FBpp0082170, FBpp0082169, FBpp0082168, FBpp0306580	EAA33211, EAA32454, EAA35700
OG0000201	FBpp0352246, FBpp0083973, FBpp0292260	EAA31999, ESA41937
OG0000203	FBpp0089150, FBpp0304218, FBpp0304221, FBpp0304220, FBpp0089151, FBpp0076509, FBpp0076508, FBpp0076510, FBpp0111854, FBpp0304219, FBpp0304217, FBpp0304222	EAA30996
OG0000204	FBpp0293727, FBpp0081474, FBpp0305824, FBpp0305823, FBpp0081470, FBpp0081471, FBpp0081472, FBpp0081473	EAA27947, ESA43185
OG0000205	FBpp0309532, FBpp0076154, FBpp0076152, FBpp0076153	EAA34997
OG0000206	FBpp0079335, FBpp0303243, FBpp0303148, FBpp0075489, FBpp0303149, FBpp0305249, FBpp0075488, FBpp0305250, FBpp0305248, FBpp0303211, FBpp0075490, FBpp0085097	EAA27134, EAA30516, EAA34597
OG0000211	FBpp0303754, FBpp0300311, FBpp0303755, FBpp0303756, FBpp0300310, FBpp0300312, FBpp0300313, FBpp0300315, FBpp0300314	EAA36333
OG0000214	FBpp0306927, FBpp0289838, FBpp0310087, FBpp0072177, FBpp0081524, FBpp0085721, FBpp0085720	EAA28433
OG0000217	FBpp0089176, FBpp0300518, FBpp0289708, FBpp0302796, FBpp0307851, FBpp0289705, FBpp0289704, FBpp0088066, FBpp0289706, FBpp0302794, FBpp0289707, FBpp0302795	ESA42262
OG0000218	FBpp0305678, FBpp0305684, FBpp0305682, FBpp0305680, FBpp0305681, FBpp0305683, FBpp0305677, FBpp0311739, FBpp0305679, FBpp0312585, FBpp0311738, FBpp0305686, FBpp0305685, FBpp0305692, FBpp0305690, FBpp0305687, FBpp0305688, FBpp0305691, FBpp0305693	EAA28158
OG0000220	FBpp0070749, FBpp0300803	EAA33123
OG0000226	FBpp0079436, FBpp0079437, FBpp0309419, FBpp0070722, FBpp0075439	ESA44308, EAA33651, EAA33027
OG0000230	FBpp0073491, FBpp0070078	EAA32037
OG0000230	FBpp0072638, FBpp0072637	EAA27101
OG0000230	FBpp0082642	EAA27761, EAA36092
OG0000238	FBpp0293463, FBpp0305130, FBpp0071817	EAA27232
OG0000238	FBpp0075012, FBpp0075013	EAA27520
OG0000239	FBpp0070883, FBpp0303847, FBpp0303848, FBpp0303849	EAA27486
OG0000239	FBpp0311268, FBpp0312200, FBpp0077016, FBpp0077017, FBpp0401522	EAA33278
OG0000239	FBpp0310062, FBpp0310063, FBpp0079148	EAA32582
OG0000240	FBpp0312063, FBpp0082265, FBpp0082267, FBpp0312064	EAA29032
OG0000241	FBpp0073551	ESA44311
OG0000241	FBpp0309113, FBpp0071248	ESA42405
OG0000242	FBpp0289030, FBpp0289026, FBpp0289027, FBpp0289028, FBpp0289023, FBpp0289020, FBpp0289031, FBpp0289022, FBpp0307567, FBpp0289021, FBpp0300822, FBpp0289025, FBpp0300824	EAA28465
OG0000243	FBpp0304253, FBpp0085688	EAA32185
OG0000243	FBpp0082840	ESA42644, ESA44257
OG0000245	FBpp0072128, FBpp0297132, FBpp0297131	EAA26762
OG0000246	FBpp0087592, FBpp0297719, FBpp0305219, FBpp0111805	EAA34296, EAA31949, ESA42969
OG0000247	FBpp0100136, FBpp0100137, FBpp0310196, FBpp0290690, FBpp0070619, FBpp0070618, FBpp0303524, FBpp0089226, FBpp0303523, FBpp0089225, FBpp0077711, FBpp0077710	EAA31508
OG0000256	FBpp0084740, FBpp0084741, FBpp0084742	EAA29597
OG0000257	FBpp0074708	EAA28430
OG0000257	FBpp0073872, FBpp0073873, FBpp0309269	EAA29453
OG0000258	FBpp0303058, FBpp0082129, FBpp0082130, FBpp0086304, FBpp0290922, FBpp0290921, FBpp0084480, FBpp0291081, FBpp0291082, FBpp0100058, FBpp0291083	ESA42428, EAA36352
OG0000259	FBpp0086532, FBpp0309016, FBpp0082239, FBpp0290373, FBpp0077854, FBpp0077205, FBpp0293062, FBpp0079682, FBpp0304062, FBpp0079683, FBpp0079684, FBpp0079693	EAA35271
OG0000260	FBpp0085786, FBpp0307446, FBpp0079839, FBpp0083073, FBpp0083072, FBpp0083071	EAA26818
OG0000261	FBpp0073467, FBpp0110209, FBpp0084804, FBpp0084803, FBpp0306896, FBpp0074074	EAA35464
OG0000262	FBpp0083127	EAA28126
OG0000267	FBpp0074650, FBpp0079527, FBpp0290407, FBpp0081585, FBpp0081586, FBpp0081584	EAA31416
OG0000268	FBpp0076189, FBpp0303973, FBpp0303972	EAA30731
OG0000272	FBpp0291913	ESA42194
