Orthogroup	human	yeast
OG0000003	ENSP00000386041, ENSP00000348634, ENSP00000347507, ENSP00000273353, ENSP00000262873, ENSP00000483640, ENSP00000482463, ENSP00000433944, ENSP00000469573, ENSP00000493594, ENSP00000406273, ENSP00000470298, ENSP00000407879, ENSP00000472543, ENSP00000472819, ENSP00000366169, ENSP00000269243, ENSP00000353590, ENSP00000369315, ENSP00000216181, ENSP00000300036, ENSP00000458731, ENSP00000478816, ENSP00000488461, ENSP00000379616, ENSP00000407821, ENSP00000478092, ENSP00000478109	YHR023W_mRNA
OG0000004	ENSP00000489846, ENSP00000486629, ENSP00000377747, ENSP00000284049, ENSP00000483667	YER164W_mRNA
OG0000004	ENSP00000423286, ENSP00000415576, ENSP00000351947, ENSP00000346217	YAL019W_mRNA
OG0000004	ENSP00000360383, ENSP00000239026, ENSP00000377609, ENSP00000360378, ENSP00000377601, ENSP00000239027	YFR038W_mRNA
OG0000004	ENSP00000360163, ENSP00000360162, ENSP00000360164, ENSP00000283131	YOR304W_mRNA, YBR245C_mRNA
OG0000004	ENSP00000493905, ENSP00000493690, ENSP00000494159, ENSP00000495802, ENSP00000496331, ENSP00000495355, ENSP00000496074, ENSP00000495599, ENSP00000496004, ENSP00000493615, ENSP00000494772, ENSP00000495536, ENSP00000397783, ENSP00000495368, ENSP00000343896, ENSP00000395654, ENSP00000493975, ENSP00000494353, ENSP00000496635, ENSP00000495548, ENSP00000414727, ENSP00000445036, ENSP00000464778, ENSP00000371629, ENSP00000265773, ENSP00000371638, ENSP00000489256, ENSP00000392081, ENSP00000349788, ENSP00000494463, ENSP00000392837, ENSP00000494676, ENSP00000466963	YIL126W_mRNA, YOR290C_mRNA
OG0000007	ENSP00000395512, ENSP00000265322, ENSP00000488844, ENSP00000393382, ENSP00000219481, ENSP00000481547, ENSP00000400374, ENSP00000487756	YNL202W_mRNA
OG0000007	ENSP00000472746, ENSP00000263278, ENSP00000469557, ENSP00000471631	YIR035C_mRNA, YIR036C_mRNA
OG0000012	ENSP00000467846	YDR402C_mRNA
OG0000015	ENSP00000478754, ENSP00000433704, ENSP00000442266	YDL160C_mRNA
OG0000015	ENSP00000460439, ENSP00000497661, ENSP00000497641, ENSP00000269349	YDR021W_mRNA
OG0000015	ENSP00000462904, ENSP00000464066, ENSP00000463366, ENSP00000464550, ENSP00000462753, ENSP00000463486, ENSP00000462719, ENSP00000413529, ENSP00000326381, ENSP00000398370, ENSP00000293831	YKR059W_mRNA, YJL138C_mRNA
OG0000015	ENSP00000456574, ENSP00000456757, ENSP00000377267, ENSP00000460180, ENSP00000392639, ENSP00000348271, ENSP00000410243, ENSP00000288071, ENSP00000399208, ENSP00000455813, ENSP00000306117, ENSP00000490224, ENSP00000436087, ENSP00000263576, ENSP00000463333	YOR046C_mRNA
OG0000016	ENSP00000429412, ENSP00000429914, ENSP00000421385, ENSP00000421998, ENSP00000334735, ENSP00000354942, ENSP00000353904, ENSP00000423838, ENSP00000468637, ENSP00000255641, ENSP00000475325, ENSP00000475686, ENSP00000305777, ENSP00000489165, ENSP00000476088, ENSP00000489233, ENSP00000489116, ENSP00000475724	YNL154C_mRNA, YHR135C_mRNA
OG0000016	ENSP00000384074, ENSP00000380044, ENSP00000383067, ENSP00000352929, ENSP00000376146, ENSP00000381531, ENSP00000324464, ENSP00000384426, ENSP00000407235, ENSP00000403057, ENSP00000412335, ENSP00000369126, ENSP00000421689, ENSP00000367074, ENSP00000261798	YPL204W_mRNA
OG0000021	ENSP00000308413, ENSP00000384335, ENSP00000376744, ENSP00000441993, ENSP00000225577, ENSP00000430463, ENSP00000430256, ENSP00000331816, ENSP00000429022, ENSP00000379842, ENSP00000362168, ENSP00000412214, ENSP00000340608, ENSP00000392795, ENSP00000362192, ENSP00000362184, ENSP00000237305, ENSP00000434450, ENSP00000356831, ENSP00000396242, ENSP00000356832, ENSP00000375892, ENSP00000463262, ENSP00000471369, ENSP00000270202, ENSP00000384293, ENSP00000450688, ENSP00000451166, ENSP00000385326, ENSP00000451828, ENSP00000497822, ENSP00000355497, ENSP00000479081, ENSP00000263826, ENSP00000355498, ENSP00000479922, ENSP00000483054, ENSP00000336943, ENSP00000309428, ENSP00000399532, ENSP00000470604, ENSP00000463686, ENSP00000404083, ENSP00000375891, ENSP00000407999, ENSP00000462022, ENSP00000403842, ENSP00000351095, ENSP00000396532, ENSP00000392458, ENSP00000463806	YMR104C_mRNA, YKL126W_mRNA
OG0000022	ENSP00000416395, ENSP00000450802, ENSP00000450554, ENSP00000450614, ENSP00000450651, ENSP00000450435, ENSP00000452079, ENSP00000370750, ENSP00000267502, ENSP00000449079, ENSP00000391121, ENSP00000477512, ENSP00000477884, ENSP00000379547, ENSP00000479552, ENSP00000480095, ENSP00000482051, ENSP00000482782, ENSP00000484111, ENSP00000484246, ENSP00000484637, ENSP00000482809, ENSP00000477732, ENSP00000291892, ENSP00000483247, ENSP00000481856, ENSP00000465538, ENSP00000368173, ENSP00000412826, ENSP00000378361, ENSP00000370648, ENSP00000386161, ENSP00000482648, ENSP00000457230	YOR246C_mRNA
OG0000023	ENSP00000297185, ENSP00000496940	YEL030W_mRNA, YJR045C_mRNA
OG0000023	ENSP00000324173	YJL034W_mRNA
OG0000023	ENSP00000378199, ENSP00000247207, ENSP00000432083, ENSP00000227378, ENSP00000433584, ENSP00000437125, ENSP00000364805, ENSP00000396486, ENSP00000409151, ENSP00000408347, ENSP00000372881, ENSP00000406359, ENSP00000403530, ENSP00000375399, ENSP00000375391, ENSP00000404524, ENSP00000408907, ENSP00000364801, ENSP00000442789, ENSP00000387691, ENSP00000402651, ENSP00000382915, ENSP00000393087, ENSP00000364802	YLL024C_mRNA, YAL005C_mRNA, YER103W_mRNA, YBL075C_mRNA
OG0000024	ENSP00000426917, ENSP00000237612	YCR011C_mRNA
OG0000024	ENSP00000431915, ENSP00000260645, ENSP00000384513, ENSP00000479253, ENSP00000484289, ENSP00000481728, ENSP00000381464, ENSP00000339744, ENSP00000291524, ENSP00000381475, ENSP00000381467, ENSP00000414541, ENSP00000354995	YOL075C_mRNA
OG0000026	ENSP00000321195, ENSP00000364796, ENSP00000420387, ENSP00000332756, ENSP00000264449.10, ENSP00000371084, ENSP00000371070	YAL026C_mRNA
OG0000026	ENSP00000439993, ENSP00000444334, ENSP00000349325, ENSP00000431081, ENSP00000493802, ENSP00000313600, ENSP00000421536, ENSP00000420909, ENSP00000273859	YDR093W_mRNA, YER166W_mRNA
OG0000030	ENSP00000482271, ENSP00000483283, ENSP00000489282, ENSP00000366999, ENSP00000480826, ENSP00000484658, ENSP00000358160, ENSP00000484841, ENSP00000355657, ENSP00000494070, ENSP00000352252, ENSP00000484638, ENSP00000484095, ENSP00000476960, ENSP00000358154, ENSP00000333277, ENSP00000385479, ENSP00000355778, ENSP00000355780, ENSP00000466020, ENSP00000355781, ENSP00000468714, ENSP00000254810, ENSP00000465813, ENSP00000465403	YBR010W_mRNA, YNL031C_mRNA
OG0000033	ENSP00000403236	YDR457W_mRNA
OG0000033	ENSP00000495351, ENSP00000495504, ENSP00000495418, ENSP00000494649, ENSP00000260983, ENSP00000407774, ENSP00000379228, ENSP00000354621, ENSP00000492201, ENSP00000355326, ENSP00000491036, ENSP00000262435, ENSP00000348283, ENSP00000352069, ENSP00000456216, ENSP00000427793, ENSP00000265428, ENSP00000445608, ENSP00000262650, ENSP00000363998, ENSP00000348847, ENSP00000256830, ENSP00000372301, ENSP00000383199, ENSP00000350569, ENSP00000468546, ENSP00000405440, ENSP00000393395, ENSP00000389406, ENSP00000411947, ENSP00000490696, ENSP00000468332, ENSP00000410613, ENSP00000422455, ENSP00000426051, ENSP00000345530, ENSP00000422705, ENSP00000424827	YER125W_mRNA
OG0000035	ENSP00000496342, ENSP00000479284, ENSP00000274764, ENSP00000445831, ENSP00000358164, ENSP00000482674, ENSP00000477907, ENSP00000380177, ENSP00000475942, ENSP00000483903, ENSP00000446031, ENSP00000367008, ENSP00000289316, ENSP00000445633, ENSP00000348924, ENSP00000321744, ENSP00000489317, ENSP00000479169, ENSP00000477527, ENSP00000358151, ENSP00000366618, ENSP00000342886, ENSP00000476136, ENSP00000483237, ENSP00000380180, ENSP00000366962	YDR224C_mRNA, YBL002W_mRNA
OG0000036	ENSP00000419171, ENSP00000339787, ENSP00000262835, ENSP00000375918, ENSP00000350012	YMR246W_mRNA, YIL009W_mRNA, YOR317W_mRNA
OG0000036	ENSP00000376796, ENSP00000348429, ENSP00000403647, ENSP00000346223, ENSP00000346680, ENSP00000397507, ENSP00000368546, ENSP00000415140, ENSP00000368542, ENSP00000442124, ENSP00000368548, ENSP00000296869, ENSP00000368566, ENSP00000349608, ENSP00000368557, ENSP00000413329, ENSP00000485264, ENSP00000407165, ENSP00000425098, ENSP00000425640, ENSP00000424935, ENSP00000422607, ENSP00000425006, ENSP00000281455, ENSP00000426244, ENSP00000426150	YER015W_mRNA
OG0000038	ENSP00000417501, ENSP00000306010, ENSP00000000233, ENSP00000412701, ENSP00000256682, ENSP00000438510, ENSP00000442980, ENSP00000272102, ENSP00000440005	YDL137W_mRNA, YDL192W_mRNA
OG0000038	ENSP00000261636, ENSP00000441808, ENSP00000439590, ENSP00000447405, ENSP00000448850, ENSP00000448912	YBR164C_mRNA
OG0000038	ENSP00000476630, ENSP00000432971, ENSP00000246747, ENSP00000436021	YMR138W_mRNA
OG0000038	ENSP00000370406, ENSP00000322628, ENSP00000379897, ENSP00000379899, ENSP00000379898, ENSP00000385236, ENSP00000349250, ENSP00000375057, ENSP00000339754	YOR094W_mRNA
OG0000041	ENSP00000334300, ENSP00000363799, ENSP00000316674, ENSP00000482603, ENSP00000367658, ENSP00000333037, ENSP00000289228, ENSP00000358921	YHR129C_mRNA
OG0000041	ENSP00000416706, ENSP00000349960, ENSP00000494750, ENSP00000494269, ENSP00000477968, ENSP00000458162, ENSP00000458435, ENSP00000461672, ENSP00000493648, ENSP00000459124, ENSP00000331514, ENSP00000494185, ENSP00000461407, ENSP00000407473, ENSP00000398239, ENSP00000396730, ENSP00000460464, ENSP00000459119, ENSP00000224784, ENSP00000355645, ENSP00000290378, ENSP00000386857, ENSP00000295137	YFL039C_mRNA
OG0000046	ENSP00000333926, ENSP00000494609, ENSP00000366084	YGR281W_mRNA
OG0000046	ENSP00000359478, ENSP00000497274, ENSP00000285238, ENSP00000483316, ENSP00000382342, ENSP00000481080, ENSP00000461615, ENSP00000382340, ENSP00000478647	YLL015W_mRNA, YDR135C_mRNA
OG0000046	ENSP00000244533, ENSP00000361608	YLL048C_mRNA, YHL035C_mRNA
OG0000047	ENSP00000257979, ENSP00000293599, ENSP00000477688, ENSP00000320247, ENSP00000449830, ENSP00000477759, ENSP00000450022, ENSP00000447148, ENSP00000199280, ENSP00000462075, ENSP00000393121, ENSP00000462597, ENSP00000372654, ENSP00000311165, ENSP00000387178, ENSP00000405698, ENSP00000386712, ENSP00000421315	YLL053C_mRNA, YPR192W_mRNA, YLL052C_mRNA
OG0000048	ENSP00000257904, ENSP00000397087, ENSP00000265734, ENSP00000338673, ENSP00000329957, ENSP00000424415, ENSP00000484357, ENSP00000464016, ENSP00000463048, ENSP00000365043, ENSP00000338975, ENSP00000322343, ENSP00000474485	YPR161C_mRNA
OG0000048	ENSP00000419782, ENSP00000442926, ENSP00000349762, ENSP00000429751, ENSP00000482886, ENSP00000353176, ENSP00000399082	YPL031C_mRNA
OG0000048	ENSP00000452514, ENSP00000266970, ENSP00000400088, ENSP00000410561	YBR160W_mRNA
OG0000053	ENSP00000426465, ENSP00000490473, ENSP00000340874, ENSP00000389610, ENSP00000487430, ENSP00000487538, ENSP00000490354, ENSP00000421925, ENSP00000396219, ENSP00000425636, ENSP00000423656, ENSP00000485972, ENSP00000423826, ENSP00000427286, ENSP00000346389, ENSP00000489865, ENSP00000453478, ENSP00000452989	YBR182C_mRNA
OG0000054	ENSP00000268482	YKR086W_mRNA
OG0000054	ENSP00000336741, ENSP00000284690	YGL120C_mRNA
OG0000054	ENSP00000262415, ENSP00000496923, ENSP00000437886	YER013W_mRNA
OG0000054	ENSP00000390938, ENSP00000373071, ENSP00000393958, ENSP00000396193, ENSP00000408956, ENSP00000365625, ENSP00000391789, ENSP00000389862, ENSP00000405391, ENSP00000409038, ENSP00000365620, ENSP00000373070, ENSP00000412716, ENSP00000409558, ENSP00000409091, ENSP00000406462	YNR011C_mRNA
OG0000055	ENSP00000480713, ENSP00000361140, ENSP00000312606, ENSP00000397042, ENSP00000402374, ENSP00000389197, ENSP00000242375, ENSP00000401327, ENSP00000369927, ENSP00000474882, ENSP00000392694, ENSP00000370129, ENSP00000370254, ENSP00000369814, ENSP00000263126, ENSP00000352584, ENSP00000397009, ENSP00000389289, ENSP00000414399, ENSP00000285930	YBR149W_mRNA, YOR120W_mRNA, YDR368W_mRNA, YHR104W_mRNA
OG0000056	ENSP00000078429, ENSP00000286548, ENSP00000365807	YER020W_mRNA
OG0000056	ENSP00000358867, ENSP00000391439, ENSP00000497773, ENSP00000497260, ENSP00000497051, ENSP00000497717, ENSP00000498091, ENSP00000497760, ENSP00000497765, ENSP00000497179, ENSP00000496800, ENSP00000496829, ENSP00000497754, ENSP00000497379, ENSP00000410572, ENSP00000497315, ENSP00000343027, ENSP00000266027, ENSP00000395736, ENSP00000406871, ENSP00000406369, ENSP00000312999, ENSP00000478892, ENSP00000262493, ENSP00000262494, ENSP00000491223	YHR005C_mRNA
OG0000057	ENSP00000319096, ENSP00000245304, ENSP00000340274, ENSP00000359911, ENSP00000396741, ENSP00000437415, ENSP00000440708, ENSP00000444060, ENSP00000440466, ENSP00000443851, ENSP00000401095, ENSP00000444830, ENSP00000399986, ENSP00000446318, ENSP00000441275, ENSP00000439966, ENSP00000250559, ENSP00000377085, ENSP00000358723, ENSP00000348786	YGR152C_mRNA
OG0000057	ENSP00000256078, ENSP00000308495, ENSP00000309845, ENSP00000488757, ENSP00000482366, ENSP00000480686, ENSP00000407586, ENSP00000380723, ENSP00000358548, ENSP00000380722, ENSP00000434023, ENSP00000388246, ENSP00000488225, ENSP00000480317, ENSP00000488296, ENSP00000389682, ENSP00000289104, ENSP00000418356, ENSP00000435453, ENSP00000437547, ENSP00000256196	YOR101W_mRNA
OG0000062	ENSP00000211287, ENSP00000215659, ENSP00000229795, ENSP00000419837, ENSP00000229794, ENSP00000308669, ENSP00000379113, ENSP00000333685	YLR113W_mRNA
OG0000062	ENSP00000432742, ENSP00000381803, ENSP00000215832, ENSP00000440842, ENSP00000327293, ENSP00000378628, ENSP00000263025, ENSP00000432479, ENSP00000433746, ENSP00000378625, ENSP00000378626	YBL016W_mRNA, YGR040W_mRNA
OG0000062	ENSP00000311005, ENSP00000378966, ENSP00000378968, ENSP00000483093, ENSP00000337691	YHR030C_mRNA
OG0000063	ENSP00000232375, ENSP00000373240, ENSP00000393047, ENSP00000407657, ENSP00000388394, ENSP00000364145, ENSP00000364131, ENSP00000480232, ENSP00000390285, ENSP00000444074, ENSP00000356047, ENSP00000356046, ENSP00000432356, ENSP00000436885, ENSP00000433771, ENSP00000486311, ENSP00000492001, ENSP00000487277, ENSP00000369111, ENSP00000353712, ENSP00000369105, ENSP00000369100, ENSP00000443319, ENSP00000369115, ENSP00000434628	YIL107C_mRNA, YJL155C_mRNA
OG0000063	ENSP00000404995	YLR345W_mRNA
OG0000064	ENSP00000322341, ENSP00000417196, ENSP00000348111, ENSP00000418925, ENSP00000383159, ENSP00000401198, ENSP00000383164, ENSP00000383163, ENSP00000383160, ENSP00000383168, ENSP00000383165, ENSP00000390304, ENSP00000388008, ENSP00000449070, ENSP00000352228, ENSP00000352438, ENSP00000448762, ENSP00000448927, ENSP00000408949, ENSP00000305556, ENSP00000448847, ENSP00000447068, ENSP00000449062, ENSP00000448672, ENSP00000456412, ENSP00000447670, ENSP00000394116	YBR233W_mRNA
OG0000066	ENSP00000347168, ENSP00000489236, ENSP00000481343, ENSP00000478786, ENSP00000366974, ENSP00000482412, ENSP00000489567, ENSP00000479461, ENSP00000479794, ENSP00000366956, ENSP00000478519, ENSP00000479106, ENSP00000480960, ENSP00000484789, ENSP00000481507, ENSP00000489319, ENSP00000244537, ENSP00000350767, ENSP00000481486, ENSP00000462667, ENSP00000462355, ENSP00000367034, ENSP00000443017	YNL030W_mRNA, YBR009C_mRNA
OG0000067	ENSP00000364310, ENSP00000434024, ENSP00000483842, ENSP00000303373, ENSP00000351589, ENSP00000352627, ENSP00000482431, ENSP00000352119, ENSP00000482538, ENSP00000341094, ENSP00000366679, ENSP00000328484, ENSP00000489536, ENSP00000489311, ENSP00000355656, ENSP00000493926, ENSP00000321389, ENSP00000473534, ENSP00000367022, ENSP00000475814, ENSP00000358155, ENSP00000297012, ENSP00000332790, ENSP00000332194, ENSP00000438553, ENSP00000373730	YDR225W_mRNA, YBL003C_mRNA
OG0000068	ENSP00000261180, ENSP00000400376, ENSP00000369235, ENSP00000421849, ENSP00000425758, ENSP00000421175, ENSP00000427573, ENSP00000231368, ENSP00000379117, ENSP00000406304, ENSP00000296754, ENSP00000265162, ENSP00000320324, ENSP00000437019, ENSP00000433287, ENSP00000436733, ENSP00000435639, ENSP00000435966	YKL157W_mRNA, YHR047C_mRNA
OG0000068	ENSP00000453405	YIL137C_mRNA
OG0000078	ENSP00000398560, ENSP00000371576, ENSP00000371542, ENSP00000371527, ENSP00000382830, ENSP00000401605, ENSP00000386471, ENSP00000343631, ENSP00000316845, ENSP00000432267, ENSP00000386794, ENSP00000398455, ENSP00000389661, ENSP00000483548, ENSP00000376680, ENSP00000348017, ENSP00000387285, ENSP00000489670, ENSP00000490408, ENSP00000490667, ENSP00000364012, ENSP00000399994, ENSP00000253401, ENSP00000490940, ENSP00000485144, ENSP00000489853, ENSP00000490063, ENSP00000490123, ENSP00000490269, ENSP00000490410, ENSP00000490691, ENSP00000490679, ENSP00000489862, ENSP00000364006, ENSP00000485626, ENSP00000489637, ENSP00000490459, ENSP00000485369, ENSP00000364004	YAL041W_mRNA
OG0000080	ENSP00000432042	YKR099W_mRNA
OG0000081	ENSP00000405042, ENSP00000388073, ENSP00000393452, ENSP00000379243, ENSP00000379250, ENSP00000360407, ENSP00000321591, ENSP00000216911, ENSP00000379251, ENSP00000379249, ENSP00000379247, ENSP00000313950, ENSP00000462207, ENSP00000463999, ENSP00000462930, ENSP00000462027, ENSP00000464031, ENSP00000463636, ENSP00000462858, ENSP00000443869, ENSP00000471830, ENSP00000302898, ENSP00000469983, ENSP00000407162, ENSP00000469894, ENSP00000406798	YPL209C_mRNA
OG0000081	ENSP00000401358	YDR466W_mRNA
OG0000082	ENSP00000401791, ENSP00000363964, ENSP00000382445, ENSP00000382444, ENSP00000363958, ENSP00000372588, ENSP00000449380, ENSP00000449609, ENSP00000391246, ENSP00000399009, ENSP00000382443, ENSP00000412885, ENSP00000410994, ENSP00000378702, ENSP00000413845, ENSP00000435693, ENSP00000436322, ENSP00000434978, ENSP00000414641, ENSP00000475691, ENSP00000400369, ENSP00000390267, ENSP00000402220, ENSP00000409613, ENSP00000406118, ENSP00000400737, ENSP00000404221, ENSP00000405634, ENSP00000409145, ENSP00000470481, ENSP00000353112, ENSP00000360901, ENSP00000360900, ENSP00000486621, ENSP00000470108, ENSP00000378038, ENSP00000359416, ENSP00000387822, ENSP00000354568, ENSP00000384051, ENSP00000404969	YLR399C_mRNA, YDL070W_mRNA
OG0000083	ENSP00000466314, ENSP00000383569, ENSP00000466459, ENSP00000376475, ENSP00000464977, ENSP00000467311, ENSP00000465445, ENSP00000465013, ENSP00000468106, ENSP00000445625, ENSP00000351410, ENSP00000440449, ENSP00000444487, ENSP00000385749, ENSP00000385349, ENSP00000402648, ENSP00000406670, ENSP00000394633, ENSP00000353415	YIL033C_mRNA
OG0000084	ENSP00000411475, ENSP00000384577, ENSP00000432587, ENSP00000471743, ENSP00000310701, ENSP00000366419, ENSP00000437928, ENSP00000469672, ENSP00000472109, ENSP00000469640, ENSP00000444528, ENSP00000345772, ENSP00000492431, ENSP00000435977, ENSP00000334754, ENSP00000435233, ENSP00000491500, ENSP00000435393, ENSP00000352926, ENSP00000380311, ENSP00000441959, ENSP00000351184, ENSP00000438960	YBR083W_mRNA
OG0000085	ENSP00000486695, ENSP00000361475	YDR373W_mRNA
OG0000092	ENSP00000456541	YJR076C_mRNA
OG0000092	ENSP00000383956	YHR107C_mRNA
OG0000092	ENSP00000402000, ENSP00000414779, ENSP00000321071, ENSP00000376801, ENSP00000321674, ENSP00000463768, ENSP00000462727, ENSP00000464373, ENSP00000394541, ENSP00000384535, ENSP00000372515, ENSP00000391731, ENSP00000399685, ENSP00000408678, ENSP00000391311, ENSP00000324511, ENSP00000353157, ENSP00000391717, ENSP00000479861, ENSP00000385172, ENSP00000375832, ENSP00000384525, ENSP00000385109, ENSP00000375834, ENSP00000381992, ENSP00000381993, ENSP00000344868	YLR314C_mRNA
OG0000093	ENSP00000477451, ENSP00000487216, ENSP00000487002, ENSP00000432569, ENSP00000436429, ENSP00000433742, ENSP00000358277, ENSP00000416011, ENSP00000462062, ENSP00000254090, ENSP00000209929, ENSP00000356729, ENSP00000346901, ENSP00000481732, ENSP00000356724, ENSP00000385543, ENSP00000356723, ENSP00000491035	YHR176W_mRNA
OG0000103	ENSP00000402787, ENSP00000427015, ENSP00000422435, ENSP00000265678, ENSP00000432281, ENSP00000487553, ENSP00000431651, ENSP00000487166, ENSP00000487349, ENSP00000435412, ENSP00000486031, ENSP00000363281, ENSP00000486881, ENSP00000363283, ENSP00000407655, ENSP00000368884, ENSP00000494131, ENSP00000494220, ENSP00000494967, ENSP00000493862, ENSP00000493487, ENSP00000494769, ENSP00000495776, ENSP00000496271, ENSP00000495974, ENSP00000495462, ENSP00000483896, ENSP00000262752	YBR028C_mRNA
OG0000104	ENSP00000410982, ENSP00000297524, ENSP00000023064, ENSP00000464822, ENSP00000468439, ENSP00000455064, ENSP00000219343, ENSP00000368448, ENSP00000484012, ENSP00000450715, ENSP00000285850, ENSP00000380666, ENSP00000380662, ENSP00000380663, ENSP00000451881, ENSP00000253188, ENSP00000465421, ENSP00000435114, ENSP00000480181, ENSP00000416398, ENSP00000391577, ENSP00000343949, ENSP00000434345, ENSP00000320378, ENSP00000280612, ENSP00000454323, ENSP00000261622, ENSP00000463394	YHL036W_mRNA
OG0000107	ENSP00000305494, ENSP00000436823, ENSP00000492775, ENSP00000274008	YLR397C_mRNA
OG0000107	ENSP00000341362, ENSP00000417213, ENSP00000419420, ENSP00000417826, ENSP00000375747, ENSP00000281701	YLL034C_mRNA
OG0000107	ENSP00000351777	YDL126C_mRNA
OG0000107	ENSP00000244546, ENSP00000303511	YNL329C_mRNA
OG0000107	ENSP00000394413, ENSP00000248633, ENSP00000410438, ENSP00000389594	YKL197C_mRNA
OG0000108	ENSP00000463650, ENSP00000475833, ENSP00000464945, ENSP00000292363	YBR062C_mRNA
OG0000109	ENSP00000418592, ENSP00000419609, ENSP00000403502, ENSP00000418742, ENSP00000420756, ENSP00000265385, ENSP00000346219, ENSP00000345096, ENSP00000399400, ENSP00000496892, ENSP00000420803, ENSP00000420185, ENSP00000417296, ENSP00000486056, ENSP00000393525, ENSP00000321584	YML056C_mRNA, YAR073W_mRNA, YHR216W_mRNA, YLR432W_mRNA
OG0000110	ENSP00000414624, ENSP00000439129, ENSP00000268835, ENSP00000392536, ENSP00000461241, ENSP00000443967, ENSP00000481322	YOL061W_mRNA, YKL181W_mRNA
OG0000110	ENSP00000492583, ENSP00000424595, ENSP00000370043, ENSP00000361505, ENSP00000418911, ENSP00000381504, ENSP00000361512, ENSP00000361495, ENSP00000370038, ENSP00000419380, ENSP00000496286	YER099C_mRNA, YBL068W_mRNA, YHL011C_mRNA
OG0000111	ENSP00000428127, ENSP00000429937, ENSP00000429950, ENSP00000428592, ENSP00000358705, ENSP00000435499, ENSP00000433166, ENSP00000431055, ENSP00000487119, ENSP00000431728, ENSP00000429700, ENSP00000427959, ENSP00000358704, ENSP00000430441, ENSP00000429429, ENSP00000430071, ENSP00000358708, ENSP00000430255, ENSP00000400459, ENSP00000428215, ENSP00000429776, ENSP00000195649, ENSP00000428511, ENSP00000428026, ENSP00000433846, ENSP00000348718, ENSP00000377015, ENSP00000435807, ENSP00000436852, ENSP00000435311, ENSP00000432976, ENSP00000432509, ENSP00000435737, ENSP00000434884, ENSP00000436958, ENSP00000433303, ENSP00000436508, ENSP00000431545	YGR241C_mRNA, YHR161C_mRNA
OG0000113	ENSP00000462616, ENSP00000474283, ENSP00000229390, ENSP00000449030, ENSP00000451088, ENSP00000451391, ENSP00000377892, ENSP00000452123, ENSP00000452090, ENSP00000474409, ENSP00000452449, ENSP00000450918, ENSP00000452400, ENSP00000485813, ENSP00000362900, ENSP00000244020, ENSP00000433544	YDR432W_mRNA
