Orthogroup	human	neurospora
OG0000004	ENSP00000494126, ENSP00000496233, ENSP00000496291, ENSP00000494981, ENSP00000495023	EAA31593
OG0000004	ENSP00000423286, ENSP00000415576, ENSP00000351947, ENSP00000346217	EAA29079
OG0000004	ENSP00000360383, ENSP00000239026, ENSP00000377609, ENSP00000360378, ENSP00000377601, ENSP00000239027	EAA33332
OG0000004	ENSP00000360163, ENSP00000360162, ENSP00000360164, ENSP00000283131	EAA27312
OG0000004	ENSP00000493905, ENSP00000493690, ENSP00000494159, ENSP00000495802, ENSP00000496331, ENSP00000495355, ENSP00000496074, ENSP00000495599, ENSP00000496004, ENSP00000493615, ENSP00000494772, ENSP00000495536, ENSP00000397783, ENSP00000495368, ENSP00000343896, ENSP00000395654, ENSP00000493975, ENSP00000494353, ENSP00000496635, ENSP00000495548, ENSP00000414727, ENSP00000445036, ENSP00000464778, ENSP00000371629, ENSP00000265773, ENSP00000371638, ENSP00000489256, ENSP00000392081, ENSP00000349788, ENSP00000494463, ENSP00000392837, ENSP00000494676, ENSP00000466963	EAA27892
OG0000007	ENSP00000466058	ESA43725, EAA28690
OG0000007	ENSP00000423496, ENSP00000296424	EAA36366, ESA43892
OG0000007	ENSP00000427615, ENSP00000423128, ENSP00000303525, ENSP00000230236, ENSP00000363794, ENSP00000406488, ENSP00000387753, ENSP00000413950, ENSP00000403538	EAA32861
OG0000007	ENSP00000395512, ENSP00000265322, ENSP00000488844, ENSP00000393382, ENSP00000219481, ENSP00000481547, ENSP00000400374, ENSP00000487756	EAA32855
OG0000007	ENSP00000472746, ENSP00000263278, ENSP00000469557, ENSP00000471631	EAA35647
OG0000012	ENSP00000368079, ENSP00000477567, ENSP00000269703, ENSP00000469866, ENSP00000448998, ENSP00000321821, ENSP00000481243, ENSP00000319859, ENSP00000384588, ENSP00000248041, ENSP00000221700, ENSP00000221307, ENSP00000011989, ENSP00000468105, ENSP00000466395, ENSP00000466988, ENSP00000482692, ENSP00000476972, ENSP00000360968, ENSP00000334246	EAA28923
OG0000012	ENSP00000467846	EAA35957, EAA35417
OG0000012	ENSP00000476546	EAA28931
OG0000015	ENSP00000478754, ENSP00000433704, ENSP00000442266	EAA30775
OG0000015	ENSP00000460439, ENSP00000497661, ENSP00000497641, ENSP00000269349	EAA32364
OG0000015	ENSP00000462904, ENSP00000464066, ENSP00000463366, ENSP00000464550, ENSP00000462753, ENSP00000463486, ENSP00000462719, ENSP00000413529, ENSP00000326381, ENSP00000398370, ENSP00000293831	EAA29185
OG0000015	ENSP00000456574, ENSP00000456757, ENSP00000377267, ENSP00000460180, ENSP00000392639, ENSP00000348271, ENSP00000410243, ENSP00000288071, ENSP00000399208, ENSP00000455813, ENSP00000306117, ENSP00000490224, ENSP00000436087, ENSP00000263576, ENSP00000463333	EAA32290
OG0000016	ENSP00000429412, ENSP00000429914, ENSP00000421385, ENSP00000421998, ENSP00000334735, ENSP00000354942, ENSP00000353904, ENSP00000423838, ENSP00000468637, ENSP00000255641, ENSP00000475325, ENSP00000475686, ENSP00000305777, ENSP00000489165, ENSP00000476088, ENSP00000489233, ENSP00000489116, ENSP00000475724	ESA42258
OG0000016	ENSP00000384074, ENSP00000380044, ENSP00000383067, ENSP00000352929, ENSP00000376146, ENSP00000381531, ENSP00000324464, ENSP00000384426, ENSP00000407235, ENSP00000403057, ENSP00000412335, ENSP00000369126, ENSP00000421689, ENSP00000367074, ENSP00000261798	ESA44278
OG0000021	ENSP00000308413, ENSP00000384335, ENSP00000376744, ENSP00000441993, ENSP00000225577, ENSP00000430463, ENSP00000430256, ENSP00000331816, ENSP00000429022, ENSP00000379842, ENSP00000362168, ENSP00000412214, ENSP00000340608, ENSP00000392795, ENSP00000362192, ENSP00000362184, ENSP00000237305, ENSP00000434450, ENSP00000356831, ENSP00000396242, ENSP00000356832, ENSP00000375892, ENSP00000463262, ENSP00000471369, ENSP00000270202, ENSP00000384293, ENSP00000450688, ENSP00000451166, ENSP00000385326, ENSP00000451828, ENSP00000497822, ENSP00000355497, ENSP00000479081, ENSP00000263826, ENSP00000355498, ENSP00000479922, ENSP00000483054, ENSP00000336943, ENSP00000309428, ENSP00000399532, ENSP00000470604, ENSP00000463686, ENSP00000404083, ENSP00000375891, ENSP00000407999, ENSP00000462022, ENSP00000403842, ENSP00000351095, ENSP00000396532, ENSP00000392458, ENSP00000463806	EAA32898
OG0000022	ENSP00000416395, ENSP00000450802, ENSP00000450554, ENSP00000450614, ENSP00000450651, ENSP00000450435, ENSP00000452079, ENSP00000370750, ENSP00000267502, ENSP00000449079, ENSP00000391121, ENSP00000477512, ENSP00000477884, ENSP00000379547, ENSP00000479552, ENSP00000480095, ENSP00000482051, ENSP00000482782, ENSP00000484111, ENSP00000484246, ENSP00000484637, ENSP00000482809, ENSP00000477732, ENSP00000291892, ENSP00000483247, ENSP00000481856, ENSP00000465538, ENSP00000368173, ENSP00000412826, ENSP00000378361, ENSP00000370648, ENSP00000386161, ENSP00000482648, ENSP00000457230	EAA35201, EAA30420, EAA29261, EAA30454
OG0000022	ENSP00000334113, ENSP00000402741, ENSP00000391778	EAA34324, EAA32483
OG0000023	ENSP00000297185, ENSP00000496940	EAA32517
OG0000023	ENSP00000324173	EAA27331
OG0000023	ENSP00000378199, ENSP00000247207, ENSP00000432083, ENSP00000227378, ENSP00000433584, ENSP00000437125, ENSP00000364805, ENSP00000396486, ENSP00000409151, ENSP00000408347, ENSP00000372881, ENSP00000406359, ENSP00000403530, ENSP00000375399, ENSP00000375391, ENSP00000404524, ENSP00000408907, ENSP00000364801, ENSP00000442789, ENSP00000387691, ENSP00000402651, ENSP00000382915, ENSP00000393087, ENSP00000364802	EAA34130
OG0000024	ENSP00000426917, ENSP00000237612	EAA36439
OG0000024	ENSP00000479253, ENSP00000484289, ENSP00000481728, ENSP00000381464, ENSP00000339744, ENSP00000291524, ENSP00000381475, ENSP00000381467, ENSP00000414541, ENSP00000354995	EAA28525
OG0000026	ENSP00000321195, ENSP00000364796, ENSP00000420387, ENSP00000332756, ENSP00000264449.10, ENSP00000371084, ENSP00000371070	EAA28587
OG0000026	ENSP00000439993, ENSP00000444334, ENSP00000349325, ENSP00000431081, ENSP00000493802, ENSP00000313600, ENSP00000421536, ENSP00000420909, ENSP00000273859	EAA35394
OG0000030	ENSP00000482271, ENSP00000483283, ENSP00000489282, ENSP00000366999, ENSP00000480826, ENSP00000484658, ENSP00000358160, ENSP00000484841, ENSP00000355657, ENSP00000494070, ENSP00000352252, ENSP00000484638, ENSP00000484095, ENSP00000476960, ENSP00000358154, ENSP00000333277, ENSP00000385479, ENSP00000355778, ENSP00000355780, ENSP00000466020, ENSP00000355781, ENSP00000468714, ENSP00000254810, ENSP00000465813, ENSP00000465403	EAA26767
OG0000033	ENSP00000403236	EAA34194
OG0000033	ENSP00000495351, ENSP00000495504, ENSP00000495418, ENSP00000494649, ENSP00000260983, ENSP00000407774, ENSP00000379228, ENSP00000354621, ENSP00000492201, ENSP00000355326, ENSP00000491036, ENSP00000262435, ENSP00000348283, ENSP00000352069, ENSP00000456216, ENSP00000427793, ENSP00000265428, ENSP00000445608, ENSP00000262650, ENSP00000363998, ENSP00000348847, ENSP00000256830, ENSP00000372301, ENSP00000383199, ENSP00000350569, ENSP00000468546, ENSP00000405440, ENSP00000393395, ENSP00000389406, ENSP00000411947, ENSP00000490696, ENSP00000468332, ENSP00000410613, ENSP00000422455, ENSP00000426051, ENSP00000345530, ENSP00000422705, ENSP00000424827	EAA28350
OG0000035	ENSP00000496342, ENSP00000479284, ENSP00000274764, ENSP00000445831, ENSP00000358164, ENSP00000482674, ENSP00000477907, ENSP00000380177, ENSP00000475942, ENSP00000483903, ENSP00000446031, ENSP00000367008, ENSP00000289316, ENSP00000445633, ENSP00000348924, ENSP00000321744, ENSP00000489317, ENSP00000479169, ENSP00000477527, ENSP00000358151, ENSP00000366618, ENSP00000342886, ENSP00000476136, ENSP00000483237, ENSP00000380180, ENSP00000366962	EAA30204
OG0000036	ENSP00000419171, ENSP00000339787, ENSP00000262835, ENSP00000375918, ENSP00000350012	EAA28332, EAA28221
OG0000036	ENSP00000376796, ENSP00000348429, ENSP00000403647, ENSP00000346223, ENSP00000346680, ENSP00000397507, ENSP00000368546, ENSP00000415140, ENSP00000368542, ENSP00000442124, ENSP00000368548, ENSP00000296869, ENSP00000368566, ENSP00000349608, ENSP00000368557, ENSP00000413329, ENSP00000485264, ENSP00000407165, ENSP00000425098, ENSP00000425640, ENSP00000424935, ENSP00000422607, ENSP00000425006, ENSP00000281455, ENSP00000426244, ENSP00000426150	EAA27040
OG0000038	ENSP00000417501, ENSP00000306010, ENSP00000000233, ENSP00000412701, ENSP00000256682, ENSP00000438510, ENSP00000442980, ENSP00000272102, ENSP00000440005	ESA44151
OG0000038	ENSP00000261636, ENSP00000441808, ENSP00000439590, ENSP00000447405, ENSP00000448850, ENSP00000448912	EAA29781
OG0000038	ENSP00000476630, ENSP00000432971, ENSP00000246747, ENSP00000436021	EAA27367
OG0000041	ENSP00000334300, ENSP00000363799, ENSP00000316674, ENSP00000482603, ENSP00000367658, ENSP00000333037, ENSP00000289228, ENSP00000358921	EAA32002
OG0000041	ENSP00000416706, ENSP00000349960, ENSP00000494750, ENSP00000494269, ENSP00000477968, ENSP00000458162, ENSP00000458435, ENSP00000461672, ENSP00000493648, ENSP00000459124, ENSP00000331514, ENSP00000494185, ENSP00000461407, ENSP00000407473, ENSP00000398239, ENSP00000396730, ENSP00000460464, ENSP00000459119, ENSP00000224784, ENSP00000355645, ENSP00000290378, ENSP00000386857, ENSP00000295137	ESA42660
OG0000042	ENSP00000362523, ENSP00000386107, ENSP00000401541, ENSP00000353593, ENSP00000304845, ENSP00000389637, ENSP00000303174, ENSP00000479283, ENSP00000251566, ENSP00000475028, ENSP00000474383, ENSP00000480287, ENSP00000320401, ENSP00000341045, ENSP00000426206, ENSP00000265403, ENSP00000413420, ENSP00000486876, ENSP00000478760, ENSP00000387683, ENSP00000334276, ENSP00000427399, ENSP00000483172, ENSP00000427659, ENSP00000491743, ENSP00000421290, ENSP00000305221, ENSP00000304811	EAA28859
OG0000043	ENSP00000357671, ENSP00000440646, ENSP00000357667, ENSP00000357656, ENSP00000346671, ENSP00000479125, ENSP00000483570, ENSP00000422798, ENSP00000264316, ENSP00000476145, ENSP00000464380, ENSP00000462468, ENSP00000324740, ENSP00000444986, ENSP00000365012, ENSP00000365022, ENSP00000491964, ENSP00000427757, ENSP00000486627, ENSP00000441169, ENSP00000429848, ENSP00000362659, ENSP00000362680, ENSP00000362668, ENSP00000350941, ENSP00000363116, ENSP00000407670, ENSP00000363117, ENSP00000382126, ENSP00000363115, ENSP00000427993, ENSP00000429294, ENSP00000429866, ENSP00000428695, ENSP00000430364, ENSP00000428493, ENSP00000429992, ENSP00000429813, ENSP00000428045, ENSP00000428042, ENSP00000428983	EAA36600
OG0000046	ENSP00000333926, ENSP00000494609, ENSP00000366084	EAA32081
OG0000046	ENSP00000359478, ENSP00000497274, ENSP00000285238, ENSP00000483316, ENSP00000382342, ENSP00000481080, ENSP00000461615, ENSP00000382340, ENSP00000478647	EAA28910
OG0000046	ENSP00000244533, ENSP00000361608	EAA32984, EAA32894, EAA36025, EAA34524, EAA31399
OG0000047	ENSP00000257979, ENSP00000293599, ENSP00000477688, ENSP00000320247, ENSP00000449830, ENSP00000477759, ENSP00000450022, ENSP00000447148, ENSP00000199280, ENSP00000462075, ENSP00000393121, ENSP00000462597, ENSP00000372654, ENSP00000311165, ENSP00000387178, ENSP00000405698, ENSP00000386712, ENSP00000421315	EAA35947
OG0000048	ENSP00000338673, ENSP00000329957, ENSP00000424415, ENSP00000484357, ENSP00000464016, ENSP00000463048	EAA33577
OG0000048	ENSP00000365043, ENSP00000338975, ENSP00000322343, ENSP00000474485	ESA42590
OG0000048	ENSP00000419782, ENSP00000442926, ENSP00000349762, ENSP00000429751, ENSP00000482886, ENSP00000353176, ENSP00000399082	EAA29038
OG0000048	ENSP00000452514, ENSP00000266970, ENSP00000400088, ENSP00000410561	EAA30881
OG0000051	ENSP00000414642	EAA35061, ESA42945
OG0000052	ENSP00000465338, ENSP00000467848, ENSP00000467734, ENSP00000468788, ENSP00000466207, ENSP00000322887, ENSP00000465779, ENSP00000466110, ENSP00000467948, ENSP00000468645, ENSP00000467449, ENSP00000464906, ENSP00000465558, ENSP00000466897, ENSP00000486590, ENSP00000412831, ENSP00000466025, ENSP00000465077, ENSP00000466712, ENSP00000465334, ENSP00000468097, ENSP00000365950, ENSP00000365946, ENSP00000466238, ENSP00000467138, ENSP00000467307, ENSP00000466216, ENSP00000467028, ENSP00000467876, ENSP00000467791, ENSP00000465114, ENSP00000464830, ENSP00000468016, ENSP00000464728, ENSP00000468229, ENSP00000490152	ESA43968
OG0000053	ENSP00000426465, ENSP00000490473, ENSP00000340874, ENSP00000389610, ENSP00000487430, ENSP00000487538, ENSP00000490354, ENSP00000421925, ENSP00000396219, ENSP00000425636, ENSP00000423656, ENSP00000485972, ENSP00000423826, ENSP00000427286, ENSP00000346389, ENSP00000489865, ENSP00000453478, ENSP00000452989	EAA36453
OG0000054	ENSP00000458925, ENSP00000225296, ENSP00000362422, ENSP00000362420, ENSP00000252011	EAA34271
OG0000054	ENSP00000268482	EAA35877
OG0000054	ENSP00000336741, ENSP00000284690	EAA27287
OG0000054	ENSP00000262415, ENSP00000496923, ENSP00000437886	EAA33344
OG0000054	ENSP00000390938, ENSP00000373071, ENSP00000393958, ENSP00000396193, ENSP00000408956, ENSP00000365625, ENSP00000391789, ENSP00000389862, ENSP00000405391, ENSP00000409038, ENSP00000365620, ENSP00000373070, ENSP00000412716, ENSP00000409558, ENSP00000409091, ENSP00000406462	EAA31559
OG0000055	ENSP00000480713, ENSP00000361140, ENSP00000312606, ENSP00000397042, ENSP00000402374, ENSP00000389197, ENSP00000242375, ENSP00000401327, ENSP00000369927, ENSP00000474882, ENSP00000392694, ENSP00000370129, ENSP00000370254, ENSP00000369814, ENSP00000263126, ENSP00000352584, ENSP00000397009, ENSP00000389289, ENSP00000414399, ENSP00000285930	EAA30135, EAA36301, EAA27685, EAA34695
OG0000056	ENSP00000078429, ENSP00000286548, ENSP00000365807	EAA32969
OG0000056	ENSP00000358867, ENSP00000391439, ENSP00000497773, ENSP00000497260, ENSP00000497051, ENSP00000497717, ENSP00000498091, ENSP00000497760, ENSP00000497765, ENSP00000497179, ENSP00000496800, ENSP00000496829, ENSP00000497754, ENSP00000497379, ENSP00000410572, ENSP00000497315, ENSP00000343027, ENSP00000266027, ENSP00000395736, ENSP00000406871, ENSP00000406369, ENSP00000312999, ENSP00000478892, ENSP00000262493, ENSP00000262494, ENSP00000491223	ESA42608, EAA27897
OG0000057	ENSP00000319096, ENSP00000245304, ENSP00000340274, ENSP00000359911, ENSP00000396741, ENSP00000437415, ENSP00000440708, ENSP00000444060, ENSP00000440466, ENSP00000443851, ENSP00000401095, ENSP00000444830, ENSP00000399986, ENSP00000446318, ENSP00000441275, ENSP00000439966, ENSP00000250559, ENSP00000377085, ENSP00000358723, ENSP00000348786	EAA35290
OG0000057	ENSP00000256078, ENSP00000308495, ENSP00000309845, ENSP00000488757, ENSP00000482366, ENSP00000480686, ENSP00000407586, ENSP00000380723, ENSP00000358548, ENSP00000380722, ENSP00000434023, ENSP00000388246, ENSP00000488225, ENSP00000480317, ENSP00000488296, ENSP00000389682, ENSP00000289104, ENSP00000418356, ENSP00000435453, ENSP00000437547, ENSP00000256196	EAA32627
OG0000062	ENSP00000211287, ENSP00000215659, ENSP00000229795, ENSP00000419837, ENSP00000229794, ENSP00000308669, ENSP00000379113, ENSP00000333685	EAA32927
OG0000062	ENSP00000432742, ENSP00000381803, ENSP00000215832, ENSP00000440842, ENSP00000327293, ENSP00000378628, ENSP00000263025, ENSP00000432479, ENSP00000433746, ENSP00000378625, ENSP00000378626	ESA41968
OG0000062	ENSP00000311005, ENSP00000378966, ENSP00000378968, ENSP00000483093, ENSP00000337691	EAA28804
OG0000063	ENSP00000232375, ENSP00000373240, ENSP00000393047, ENSP00000407657, ENSP00000388394, ENSP00000364145, ENSP00000364131, ENSP00000480232, ENSP00000390285, ENSP00000444074, ENSP00000356047, ENSP00000356046, ENSP00000432356, ENSP00000436885, ENSP00000433771, ENSP00000486311, ENSP00000492001, ENSP00000487277, ENSP00000369111, ENSP00000353712, ENSP00000369105, ENSP00000369100, ENSP00000443319, ENSP00000369115, ENSP00000434628	ESA43632, EAA29690
OG0000063	ENSP00000404995	ESA42513
OG0000064	ENSP00000322341, ENSP00000417196, ENSP00000348111, ENSP00000418925, ENSP00000383159, ENSP00000401198, ENSP00000383164, ENSP00000383163, ENSP00000383160, ENSP00000383168, ENSP00000383165, ENSP00000390304, ENSP00000388008, ENSP00000449070, ENSP00000352228, ENSP00000352438, ENSP00000448762, ENSP00000448927, ENSP00000408949, ENSP00000305556, ENSP00000448847, ENSP00000447068, ENSP00000449062, ENSP00000448672, ENSP00000456412, ENSP00000447670, ENSP00000394116	ESA43211, EAA34578
OG0000065	ENSP00000470210, ENSP00000469696, ENSP00000347689, ENSP00000439470, ENSP00000402091, ENSP00000262805.10, ENSP00000370078, ENSP00000394754, ENSP00000293683, ENSP00000468507, ENSP00000341007, ENSP00000490821, ENSP00000345502, ENSP00000425605, ENSP00000384806, ENSP00000442734, ENSP00000353152, ENSP00000424852, ENSP00000423094, ENSP00000321739, ENSP00000351800, ENSP00000421013, ENSP00000332116, ENSP00000342637, ENSP00000392947, ENSP00000360084, ENSP00000432592, ENSP00000472034, ENSP00000476961	ESA43394
OG0000066	ENSP00000347168, ENSP00000489236, ENSP00000481343, ENSP00000478786, ENSP00000366974, ENSP00000482412, ENSP00000489567, ENSP00000479461, ENSP00000479794, ENSP00000366956, ENSP00000478519, ENSP00000479106, ENSP00000480960, ENSP00000484789, ENSP00000481507, ENSP00000489319, ENSP00000244537, ENSP00000350767, ENSP00000481486, ENSP00000462667, ENSP00000462355, ENSP00000367034, ENSP00000443017	EAA26766, EAA27361, EAA27083
OG0000067	ENSP00000364310, ENSP00000434024, ENSP00000483842, ENSP00000303373, ENSP00000351589, ENSP00000352627, ENSP00000482431, ENSP00000352119, ENSP00000482538, ENSP00000341094, ENSP00000366679, ENSP00000328484, ENSP00000489536, ENSP00000489311, ENSP00000355656, ENSP00000493926, ENSP00000321389, ENSP00000473534, ENSP00000367022, ENSP00000475814, ENSP00000358155, ENSP00000297012, ENSP00000332790, ENSP00000332194, ENSP00000438553, ENSP00000373730	EAA30206
OG0000068	ENSP00000261180, ENSP00000400376, ENSP00000369235, ENSP00000421849, ENSP00000425758, ENSP00000421175, ENSP00000427573, ENSP00000231368, ENSP00000379117, ENSP00000406304, ENSP00000296754, ENSP00000265162, ENSP00000320324, ENSP00000437019, ENSP00000433287, ENSP00000436733, ENSP00000435639, ENSP00000435966	EAA30246, EAA29936
OG0000078	ENSP00000490717	EDO65312
OG0000078	ENSP00000398560, ENSP00000371576, ENSP00000371542, ENSP00000371527, ENSP00000382830, ENSP00000401605, ENSP00000386471, ENSP00000343631, ENSP00000316845, ENSP00000432267, ENSP00000386794, ENSP00000398455, ENSP00000389661, ENSP00000483548, ENSP00000376680, ENSP00000348017, ENSP00000387285, ENSP00000489670, ENSP00000490408, ENSP00000490667, ENSP00000364012, ENSP00000399994, ENSP00000253401, ENSP00000490940, ENSP00000485144, ENSP00000489853, ENSP00000490063, ENSP00000490123, ENSP00000490269, ENSP00000490410, ENSP00000490691, ENSP00000490679, ENSP00000489862, ENSP00000364006, ENSP00000485626, ENSP00000489637, ENSP00000490459, ENSP00000485369, ENSP00000364004	EAA30594
OG0000080	ENSP00000432042	EAA29905
OG0000080	ENSP00000436925, ENSP00000434917, ENSP00000390460, ENSP00000436385, ENSP00000435497, ENSP00000436602, ENSP00000437081, ENSP00000437264, ENSP00000435578, ENSP00000434816, ENSP00000432948, ENSP00000432168, ENSP00000432877, ENSP00000435293, ENSP00000433458, ENSP00000341050, ENSP00000432811, ENSP00000434639, ENSP00000433227, ENSP00000479896, ENSP00000356788, ENSP00000410825, ENSP00000436605, ENSP00000433745, ENSP00000434420, ENSP00000435595, ENSP00000435938, ENSP00000356786, ENSP00000477898, ENSP00000326328, ENSP00000435055, ENSP00000434723, ENSP00000339992, ENSP00000432851, ENSP00000434675, ENSP00000403387, ENSP00000413011, ENSP00000434795, ENSP00000433844	EAA32162
OG0000081	ENSP00000405042, ENSP00000388073, ENSP00000393452, ENSP00000379243, ENSP00000379250, ENSP00000360407, ENSP00000321591, ENSP00000216911, ENSP00000379251, ENSP00000379249, ENSP00000379247, ENSP00000313950, ENSP00000462207, ENSP00000463999, ENSP00000462930, ENSP00000462027, ENSP00000464031, ENSP00000463636, ENSP00000462858, ENSP00000443869, ENSP00000471830, ENSP00000302898, ENSP00000469983, ENSP00000407162, ENSP00000469894, ENSP00000406798	EAA27996
OG0000081	ENSP00000483424, ENSP00000386017, ENSP00000261402, ENSP00000461981	EAA36331
OG0000082	ENSP00000401791, ENSP00000363964, ENSP00000382445, ENSP00000382444, ENSP00000363958, ENSP00000372588, ENSP00000449380, ENSP00000449609, ENSP00000391246, ENSP00000399009, ENSP00000382443, ENSP00000412885, ENSP00000410994, ENSP00000378702, ENSP00000413845, ENSP00000435693, ENSP00000436322, ENSP00000434978, ENSP00000414641, ENSP00000475691, ENSP00000400369, ENSP00000390267, ENSP00000402220, ENSP00000409613, ENSP00000406118, ENSP00000400737, ENSP00000404221, ENSP00000405634, ENSP00000409145, ENSP00000470481, ENSP00000353112, ENSP00000360901, ENSP00000360900, ENSP00000486621, ENSP00000470108, ENSP00000378038, ENSP00000359416, ENSP00000387822, ENSP00000354568, ENSP00000384051, ENSP00000404969	ESA43715
OG0000083	ENSP00000466314, ENSP00000383569, ENSP00000466459, ENSP00000376475, ENSP00000464977, ENSP00000467311, ENSP00000465445, ENSP00000465013, ENSP00000468106, ENSP00000445625, ENSP00000351410, ENSP00000440449, ENSP00000444487, ENSP00000385749, ENSP00000385349, ENSP00000402648, ENSP00000406670, ENSP00000394633, ENSP00000353415	ESA42511
OG0000085	ENSP00000486695, ENSP00000361475	EAA34616
OG0000085	ENSP00000384719, ENSP00000384014, ENSP00000295156, ENSP00000481834, ENSP00000361935, ENSP00000371184, ENSP00000483786, ENSP00000482993, ENSP00000478231, ENSP00000310749, ENSP00000362566, ENSP00000416359, ENSP00000379256, ENSP00000310587, ENSP00000430476, ENSP00000220931, ENSP00000428105, ENSP00000428781, ENSP00000429255, ENSP00000429466, ENSP00000430731, ENSP00000430925, ENSP00000429522, ENSP00000429245, ENSP00000428312, ENSP00000428598, ENSP00000226193	EAA28220
OG0000092	ENSP00000456541	EAA35822, EAA35627
OG0000092	ENSP00000383956	EAA31948
OG0000092	ENSP00000402000, ENSP00000414779, ENSP00000321071, ENSP00000376801, ENSP00000321674, ENSP00000463768, ENSP00000462727, ENSP00000464373, ENSP00000394541, ENSP00000384535, ENSP00000372515, ENSP00000391731, ENSP00000399685, ENSP00000408678, ENSP00000391311, ENSP00000324511, ENSP00000353157, ENSP00000391717, ENSP00000479861, ENSP00000385172, ENSP00000375832, ENSP00000384525, ENSP00000385109, ENSP00000375834, ENSP00000381992, ENSP00000381993, ENSP00000344868	ESA42882
OG0000093	ENSP00000476963	EDO65043, EAA35704
OG0000093	ENSP00000477451, ENSP00000487216, ENSP00000487002, ENSP00000432569, ENSP00000436429, ENSP00000433742, ENSP00000358277, ENSP00000416011, ENSP00000462062, ENSP00000254090, ENSP00000209929, ENSP00000356729, ENSP00000346901, ENSP00000481732, ENSP00000356724, ENSP00000385543, ENSP00000356723, ENSP00000491035	EAA28865, EAA33706, EAA31866
OG0000094	ENSP00000462366, ENSP00000325395	EAA28828
OG0000094	ENSP00000222214, ENSP00000466845	EAA30699
OG0000094	ENSP00000242592, ENSP00000401045, ENSP00000357862, ENSP00000357873	EAA33014
OG0000094	ENSP00000417990, ENSP00000418397, ENSP00000479359, ENSP00000453821, ENSP00000452949, ENSP00000417256	EAA35048
OG0000094	ENSP00000233710	ESA44197
OG0000101	ENSP00000402243	EAA27985
OG0000103	ENSP00000402787, ENSP00000427015, ENSP00000422435, ENSP00000265678, ENSP00000432281, ENSP00000487553, ENSP00000431651, ENSP00000487166, ENSP00000487349, ENSP00000435412, ENSP00000486031, ENSP00000363281, ENSP00000486881, ENSP00000363283, ENSP00000407655, ENSP00000368884, ENSP00000494131, ENSP00000494220, ENSP00000494967, ENSP00000493862, ENSP00000493487, ENSP00000494769, ENSP00000495776, ENSP00000496271, ENSP00000495974, ENSP00000495462, ENSP00000483896, ENSP00000262752	ESA44058
