Orthogroup	fly	human
OG0000003	FBpp0291728, FBpp0291729, FBpp0291731, FBpp0072306, FBpp0072305, FBpp0099896, FBpp0297531, FBpp0291730, FBpp0099894	ENSP00000469573, ENSP00000493594, ENSP00000406273, ENSP00000470298, ENSP00000407879, ENSP00000472543, ENSP00000472819, ENSP00000366169, ENSP00000269243, ENSP00000353590, ENSP00000369315, ENSP00000216181, ENSP00000300036, ENSP00000458731, ENSP00000478816, ENSP00000488461, ENSP00000379616, ENSP00000407821, ENSP00000478092, ENSP00000478109
OG0000004	FBpp0289115, FBpp0300573, FBpp0300575, FBpp0077804, FBpp0300574, FBpp0077803	ENSP00000436027
OG0000004	FBpp0304044, FBpp0077358, FBpp0297122	ENSP00000489846, ENSP00000486629, ENSP00000377747, ENSP00000284049, ENSP00000483667
OG0000004	FBpp0079496	ENSP00000423286, ENSP00000415576, ENSP00000351947, ENSP00000346217
OG0000004	FBpp0086956, FBpp0086955, FBpp0086954	ENSP00000360163, ENSP00000360162, ENSP00000360164, ENSP00000283131
OG0000004	FBpp0303193, FBpp0075281, FBpp0075280, FBpp0075279, FBpp0075278, FBpp0305757	ENSP00000493905, ENSP00000493690, ENSP00000494159, ENSP00000495802, ENSP00000496331, ENSP00000495355, ENSP00000496074, ENSP00000495599, ENSP00000496004, ENSP00000493615, ENSP00000494772, ENSP00000495536, ENSP00000397783, ENSP00000495368, ENSP00000343896, ENSP00000395654, ENSP00000493975, ENSP00000494353, ENSP00000496635, ENSP00000495548, ENSP00000414727, ENSP00000445036, ENSP00000464778, ENSP00000371629, ENSP00000265773, ENSP00000371638, ENSP00000489256, ENSP00000392081, ENSP00000349788, ENSP00000494463, ENSP00000392837, ENSP00000494676, ENSP00000466963
OG0000007	FBpp0309803, FBpp0110508, FBpp0110515, FBpp0352248, FBpp0110528, FBpp0071206, FBpp0297622, FBpp0291423, FBpp0073324	ENSP00000466058, ENSP00000483596, ENSP00000487681, ENSP00000477603, ENSP00000488610, ENSP00000482777, ENSP00000488451, ENSP00000483747, ENSP00000482704
OG0000007	FBpp0070533, FBpp0304769	ENSP00000427615, ENSP00000423128, ENSP00000303525, ENSP00000230236, ENSP00000363794, ENSP00000406488, ENSP00000387753, ENSP00000413950, ENSP00000403538
OG0000012	FBpp0070371, FBpp0311678, FBpp0301778, FBpp0070410, FBpp0070372, FBpp0304450, FBpp0076543, FBpp0079095, FBpp0072837, FBpp0070411, FBpp0070412, FBpp0087825, FBpp0087824, FBpp0308387, FBpp0079515, FBpp0073845, FBpp0070094, FBpp0073352, FBpp0312025, FBpp0085074, FBpp0113050	ENSP00000368079
OG0000012	FBpp0078703, FBpp0078701, FBpp0289683, FBpp0087672, FBpp0087674, FBpp0087673	ENSP00000477567, ENSP00000269703, ENSP00000469866, ENSP00000448998, ENSP00000321821, ENSP00000481243, ENSP00000319859, ENSP00000384588, ENSP00000248041, ENSP00000221700, ENSP00000221307, ENSP00000011989, ENSP00000468105, ENSP00000466395, ENSP00000466988, ENSP00000482692, ENSP00000476972, ENSP00000360968, ENSP00000334246
OG0000012	FBpp0073473	ENSP00000467846
OG0000015	FBpp0079565, FBpp0079566	ENSP00000478754, ENSP00000433704, ENSP00000442266
OG0000015	FBpp0081324	ENSP00000460439, ENSP00000497661, ENSP00000497641, ENSP00000269349
OG0000015	FBpp0303628, FBpp0078809, FBpp0297911, FBpp0078807, FBpp0078808, FBpp0078806	ENSP00000462904, ENSP00000464066, ENSP00000463366, ENSP00000464550, ENSP00000462753, ENSP00000463486, ENSP00000462719, ENSP00000413529, ENSP00000326381, ENSP00000398370, ENSP00000293831
OG0000015	FBpp0112438, FBpp0304168, FBpp0304166, FBpp0304167	ENSP00000456574, ENSP00000456757, ENSP00000377267, ENSP00000460180, ENSP00000392639, ENSP00000348271, ENSP00000410243, ENSP00000288071, ENSP00000399208, ENSP00000455813, ENSP00000306117, ENSP00000490224, ENSP00000436087, ENSP00000263576, ENSP00000463333
OG0000016	FBpp0099736, FBpp0082718, FBpp0303074, FBpp0082715, FBpp0082716, FBpp0306673, FBpp0293609, FBpp0293608, FBpp0290519, FBpp0099738, FBpp0099737, FBpp0082719, FBpp0082717	ENSP00000429412, ENSP00000429914, ENSP00000421385, ENSP00000421998, ENSP00000334735, ENSP00000354942, ENSP00000353904, ENSP00000423838, ENSP00000468637, ENSP00000255641, ENSP00000475325, ENSP00000475686, ENSP00000305777, ENSP00000489165, ENSP00000476088, ENSP00000489233, ENSP00000489116, ENSP00000475724
OG0000016	FBpp0085106, FBpp0085105, FBpp0422974, FBpp0306615, FBpp0085104	ENSP00000384074, ENSP00000380044, ENSP00000383067, ENSP00000352929, ENSP00000376146, ENSP00000381531, ENSP00000324464, ENSP00000384426, ENSP00000407235, ENSP00000403057, ENSP00000412335
OG0000016	FBpp0311373, FBpp0309354, FBpp0073515, FBpp0073513, FBpp0289609, FBpp0311372	ENSP00000369126, ENSP00000421689, ENSP00000367074, ENSP00000261798
OG0000017	FBpp0083382, FBpp0307023, FBpp0307024, FBpp0110134, FBpp0083346, FBpp0307912, FBpp0078739, FBpp0088541, FBpp0110195, FBpp0081005, FBpp0083391, FBpp0110206, FBpp0311188, FBpp0088171, FBpp0305854, FBpp0088259, FBpp0088258	ENSP00000404063, ENSP00000435648, ENSP00000492086, ENSP00000301218, ENSP00000470251, ENSP00000262895, ENSP00000358133, ENSP00000405596, ENSP00000358134, ENSP00000313276, ENSP00000358130, ENSP00000397026, ENSP00000362185, ENSP00000362183, ENSP00000382793, ENSP00000382791, ENSP00000382798, ENSP00000327687, ENSP00000382797, ENSP00000373777, ENSP00000373776
OG0000017	FBpp0306805, FBpp0303372, FBpp0312406, FBpp0303373, FBpp0076691	ENSP00000421257, ENSP00000483084, ENSP00000433064, ENSP00000330148, ENSP00000428994, ENSP00000415569, ENSP00000427864, ENSP00000339343, ENSP00000427920, ENSP00000285900, ENSP00000296526, ENSP00000264426, ENSP00000495569, ENSP00000318144, ENSP00000377403, ENSP00000426845, ENSP00000481875, ENSP00000478489, ENSP00000446440, ENSP00000481554, ENSP00000282499, ENSP00000435775, ENSP00000376835, ENSP00000432180
OG0000020	FBpp0076051, FBpp0076049, FBpp0076047, FBpp0076046, FBpp0076048, FBpp0076052, FBpp0076056, FBpp0076050, FBpp0290446, FBpp0076053, FBpp0076054, FBpp0304232, FBpp0076055	ENSP00000419412, ENSP00000405600, ENSP00000419164, ENSP00000376571, ENSP00000314006, ENSP00000362865, ENSP00000350756, ENSP00000273063, ENSP00000262418, ENSP00000382190
OG0000020	FBpp0304051, FBpp0304054, FBpp0304050, FBpp0304052, FBpp0288812, FBpp0304049, FBpp0288813, FBpp0304053, FBpp0304048, FBpp0288814	ENSP00000393557, ENSP00000344272, ENSP00000264485, ENSP00000497468, ENSP00000377587, ENSP00000251768, ENSP00000399319, ENSP00000407550, ENSP00000405678, ENSP00000366859, ENSP00000366861, ENSP00000395804, ENSP00000395797, ENSP00000393066, ENSP00000404486, ENSP00000272716, ENSP00000364664, ENSP00000351483, ENSP00000405812, ENSP00000388703, ENSP00000416368, ENSP00000394252, ENSP00000407382, ENSP00000406605, ENSP00000406804, ENSP00000401949, ENSP00000295736, ENSP00000390394, ENSP00000414797
OG0000021	FBpp0076820, FBpp0305462	ENSP00000308413, ENSP00000384335, ENSP00000376744, ENSP00000441993, ENSP00000225577
OG0000021	FBpp0082682, FBpp0082681, FBpp0082680, FBpp0310841, FBpp0311050	ENSP00000375892, ENSP00000463262, ENSP00000471369, ENSP00000270202, ENSP00000384293, ENSP00000450688, ENSP00000451166, ENSP00000385326, ENSP00000451828, ENSP00000497822, ENSP00000355497, ENSP00000479081, ENSP00000263826, ENSP00000355498, ENSP00000479922, ENSP00000483054, ENSP00000336943
OG0000022	FBpp0087997, FBpp0087996, FBpp0307930, FBpp0087994, FBpp0307928, FBpp0087993, FBpp0307927, FBpp0087995, FBpp0307929, FBpp0303811, FBpp0303812, FBpp0070869, FBpp0070868	ENSP00000416395, ENSP00000450802, ENSP00000450554, ENSP00000450614, ENSP00000450651, ENSP00000450435, ENSP00000452079, ENSP00000370750, ENSP00000267502, ENSP00000449079, ENSP00000391121, ENSP00000477512, ENSP00000477884, ENSP00000379547, ENSP00000479552, ENSP00000480095, ENSP00000482051, ENSP00000482782, ENSP00000484111, ENSP00000484246, ENSP00000484637, ENSP00000482809, ENSP00000477732, ENSP00000291892, ENSP00000483247, ENSP00000481856, ENSP00000465538
OG0000022	FBpp0310903, FBpp0083003, FBpp0310904, FBpp0083004, FBpp0083002	ENSP00000368173, ENSP00000412826, ENSP00000378361, ENSP00000370648
OG0000022	FBpp0310039, FBpp0079172	ENSP00000386161, ENSP00000482648, ENSP00000457230
OG0000023	FBpp0086694, FBpp0308990	ENSP00000297185, ENSP00000496940
OG0000023	FBpp0311376, FBpp0073448, FBpp0073445, FBpp0073446, FBpp0073447	ENSP00000324173
OG0000023	FBpp0081956, FBpp0081986, FBpp0082147, FBpp0082105, FBpp0082106, FBpp0082107, FBpp0083974, FBpp0082175, FBpp0075504, FBpp0075503, FBpp0075505, FBpp0307982, FBpp0082518, FBpp0082519, FBpp0082517, FBpp0082516, FBpp0082515, FBpp0082514	ENSP00000378199, ENSP00000247207, ENSP00000432083, ENSP00000227378, ENSP00000433584, ENSP00000437125, ENSP00000364805, ENSP00000396486, ENSP00000409151, ENSP00000408347, ENSP00000372881, ENSP00000406359, ENSP00000403530, ENSP00000375399, ENSP00000375391, ENSP00000404524, ENSP00000408907, ENSP00000364801, ENSP00000442789, ENSP00000387691, ENSP00000402651, ENSP00000382915, ENSP00000393087, ENSP00000364802
OG0000024	FBpp0070468, FBpp0308632, FBpp0088917, FBpp0308631	ENSP00000426917, ENSP00000237612
OG0000024	FBpp0084089	ENSP00000431915, ENSP00000260645, ENSP00000384513
OG0000024	FBpp0294026, FBpp0077292, FBpp0077294, FBpp0077293, FBpp0099714, FBpp0099715, FBpp0303496, FBpp0077817, FBpp0099713, FBpp0099712, FBpp0077816, FBpp0077815, FBpp0077814, FBpp0077554, FBpp0077553, FBpp0077291, FBpp0111812, FBpp0077116, FBpp0077117, FBpp0111811, FBpp0077390, FBpp0077392, FBpp0306277, FBpp0306276, FBpp0306275, FBpp0306278, FBpp0077391, FBpp0077389, FBpp0099791, FBpp0077813, FBpp0089109, FBpp0077812, FBpp0079489, FBpp0311684, FBpp0304025	ENSP00000479253, ENSP00000484289, ENSP00000481728, ENSP00000381464, ENSP00000339744, ENSP00000291524, ENSP00000381475, ENSP00000381467, ENSP00000414541, ENSP00000354995
OG0000026	FBpp0289039, FBpp0289032, FBpp0289038, FBpp0289036, FBpp0289037, FBpp0289042, FBpp0289034, FBpp0289041, FBpp0289040, FBpp0289043, FBpp0289035, FBpp0289033, FBpp0297637, FBpp0292219	ENSP00000264449.10, ENSP00000371084, ENSP00000371070
OG0000026	FBpp0088795, FBpp0290286, FBpp0290287, FBpp0088794	ENSP00000439993, ENSP00000444334, ENSP00000349325, ENSP00000431081, ENSP00000493802, ENSP00000313600, ENSP00000421536, ENSP00000420909, ENSP00000273859
OG0000026	FBpp0297858, FBpp0308707, FBpp0289580, FBpp0308708, FBpp0308706, FBpp0297859, FBpp0308705	ENSP00000283684, ENSP00000497896, ENSP00000437115, ENSP00000311336, ENSP00000465027, ENSP00000445204, ENSP00000284509, ENSP00000453169, ENSP00000453690, ENSP00000357475
OG0000030	FBpp0085250, FBpp0091067, FBpp0091061, FBpp0091094, FBpp0091088, FBpp0091085, FBpp0091082, FBpp0091103, FBpp0091106, FBpp0091100, FBpp0091112, FBpp0091109, FBpp0091097, FBpp0091079, FBpp0091091, FBpp0091064	ENSP00000358154
OG0000030	FBpp0091053	ENSP00000333277
OG0000030	FBpp0091051	ENSP00000385479
OG0000030	FBpp0071282, FBpp0078649, FBpp0305717, FBpp0305716, FBpp0309302	ENSP00000466020, ENSP00000355781
OG0000030	FBpp0071281	ENSP00000465813
OG0000031	FBpp0080595, FBpp0080596	ENSP00000424828, ENSP00000426173, ENSP00000422099, ENSP00000312397, ENSP00000408974, ENSP00000424108, ENSP00000437526, ENSP00000424198, ENSP00000226725
OG0000031	FBpp0292329, FBpp0303455, FBpp0303454, FBpp0085812	ENSP00000343930
OG0000031	FBpp0112409, FBpp0112408	ENSP00000293303, ENSP00000391983, ENSP00000416221
OG0000031	FBpp0080063	ENSP00000386389, ENSP00000426949, ENSP00000424363, ENSP00000287777, ENSP00000284669, ENSP00000481197, ENSP00000476795, ENSP00000497351
OG0000031	FBpp0304443, FBpp0075260	ENSP00000209884
OG0000031	FBpp0309116, FBpp0309115, FBpp0071250, FBpp0071251, FBpp0071249, FBpp0309114	ENSP00000371355, ENSP00000423897, ENSP00000261426, ENSP00000261425, ENSP00000423080, ENSP00000439602, ENSP00000367075, ENSP00000362211, ENSP00000362206
OG0000031	FBpp0307415, FBpp0082029, FBpp0082030	ENSP00000424131, ENSP00000273963, ENSP00000232766
OG0000033	FBpp0292726, FBpp0305179, FBpp0292725, FBpp0292727	ENSP00000495351, ENSP00000495504, ENSP00000495418, ENSP00000494649, ENSP00000260983, ENSP00000407774, ENSP00000379228
OG0000033	FBpp0305371, FBpp0086011	ENSP00000354621, ENSP00000492201, ENSP00000355326, ENSP00000491036, ENSP00000262435
OG0000033	FBpp0077496, FBpp0077495, FBpp0077497, FBpp0308612, FBpp0306832	ENSP00000348283, ENSP00000352069, ENSP00000456216, ENSP00000427793, ENSP00000265428, ENSP00000445608, ENSP00000262650, ENSP00000363998
OG0000033	FBpp0289747, FBpp0288921, FBpp0289746, FBpp0304227, FBpp0288923, FBpp0288920, FBpp0288922, FBpp0304228, FBpp0288917	ENSP00000348847, ENSP00000256830, ENSP00000372301, ENSP00000383199, ENSP00000350569, ENSP00000468546, ENSP00000405440, ENSP00000393395, ENSP00000389406, ENSP00000411947, ENSP00000490696, ENSP00000468332, ENSP00000410613, ENSP00000422455, ENSP00000426051, ENSP00000345530, ENSP00000422705, ENSP00000424827
OG0000035	FBpp0091127, FBpp0091123, FBpp0085281, FBpp0091119, FBpp0091121, FBpp0091149, FBpp0091155, FBpp0091153, FBpp0091133, FBpp0091135, FBpp0091129, FBpp0091131, FBpp0091151, FBpp0091137, FBpp0091141, FBpp0091139, FBpp0091145, FBpp0091143, FBpp0091147, FBpp0091125, FBpp0091117, FBpp0091115, FBpp0091113	ENSP00000496342, ENSP00000479284, ENSP00000274764, ENSP00000445831, ENSP00000358164, ENSP00000482674, ENSP00000477907, ENSP00000380177, ENSP00000475942, ENSP00000483903, ENSP00000446031, ENSP00000367008, ENSP00000289316, ENSP00000445633, ENSP00000348924, ENSP00000321744, ENSP00000489317, ENSP00000479169, ENSP00000477527, ENSP00000358151, ENSP00000366618, ENSP00000342886, ENSP00000476136, ENSP00000483237, ENSP00000380180, ENSP00000366962
OG0000036	FBpp0099848, FBpp0087781, FBpp0099850, FBpp0099847, FBpp0087779, FBpp0087780, FBpp0099849, FBpp0099846, FBpp0099845, FBpp0305216	ENSP00000419171, ENSP00000339787, ENSP00000262835, ENSP00000375918, ENSP00000350012
OG0000036	FBpp0074845, FBpp0074844, FBpp0305861, FBpp0291528	ENSP00000376796, ENSP00000348429, ENSP00000403647, ENSP00000346223, ENSP00000346680, ENSP00000397507, ENSP00000368546, ENSP00000415140, ENSP00000368542, ENSP00000442124, ENSP00000368548, ENSP00000296869, ENSP00000368566, ENSP00000349608, ENSP00000368557, ENSP00000413329, ENSP00000485264, ENSP00000407165, ENSP00000425098, ENSP00000425640, ENSP00000424935, ENSP00000422607, ENSP00000425006, ENSP00000281455, ENSP00000426244, ENSP00000426150
OG0000038	FBpp0305852, FBpp0088256	ENSP00000417501, ENSP00000306010, ENSP00000000233, ENSP00000412701
OG0000038	FBpp0289184, FBpp0078222, FBpp0078225, FBpp0078226, FBpp0078224, FBpp0304364, FBpp0111771, FBpp0289185	ENSP00000256682, ENSP00000438510, ENSP00000442980, ENSP00000272102, ENSP00000440005
OG0000038	FBpp0075272	ENSP00000261636, ENSP00000441808, ENSP00000439590, ENSP00000447405, ENSP00000448850, ENSP00000448912
OG0000038	FBpp0081328	ENSP00000476630, ENSP00000432971, ENSP00000246747, ENSP00000436021
OG0000038	FBpp0305833, FBpp0300568, FBpp0088220	ENSP00000370406, ENSP00000322628, ENSP00000379897, ENSP00000379899, ENSP00000379898, ENSP00000385236, ENSP00000349250, ENSP00000375057, ENSP00000339754
OG0000041	FBpp0082121	ENSP00000289228, ENSP00000358921
OG0000041	FBpp0306215, FBpp0078131, FBpp0082597, FBpp0082254, FBpp0082253, FBpp0312019, FBpp0071448, FBpp0070788, FBpp0070787, FBpp0311818, FBpp0100125, FBpp0100124, FBpp0085365	ENSP00000416706, ENSP00000349960, ENSP00000494750, ENSP00000494269, ENSP00000477968, ENSP00000458162, ENSP00000458435, ENSP00000461672, ENSP00000493648, ENSP00000459124, ENSP00000331514, ENSP00000494185, ENSP00000461407, ENSP00000407473, ENSP00000398239, ENSP00000396730, ENSP00000460464, ENSP00000459119, ENSP00000224784, ENSP00000355645, ENSP00000290378, ENSP00000386857, ENSP00000295137
OG0000042	FBpp0304010, FBpp0080466, FBpp0086224, FBpp0078872, FBpp0082126, FBpp0291574, FBpp0080904, FBpp0311165, FBpp0080469, FBpp0080468, FBpp0080467, FBpp0288390, FBpp0112233, FBpp0081850, FBpp0085174, FBpp0081852, FBpp0300388, FBpp0081849, FBpp0081851, FBpp0311934, FBpp0081854, FBpp0081814, FBpp0081813	ENSP00000362523, ENSP00000386107, ENSP00000401541, ENSP00000353593, ENSP00000304845, ENSP00000389637, ENSP00000303174, ENSP00000479283, ENSP00000251566, ENSP00000475028, ENSP00000474383, ENSP00000480287, ENSP00000320401, ENSP00000341045, ENSP00000426206, ENSP00000265403, ENSP00000413420, ENSP00000486876, ENSP00000478760, ENSP00000387683, ENSP00000334276, ENSP00000427399, ENSP00000483172, ENSP00000427659, ENSP00000491743, ENSP00000421290, ENSP00000305221, ENSP00000304811
OG0000043	FBpp0079238, FBpp0079235, FBpp0303535, FBpp0111748, FBpp0303536, FBpp0111749, FBpp0079237, FBpp0079236	ENSP00000479125, ENSP00000483570, ENSP00000422798, ENSP00000264316
OG0000043	FBpp0307254, FBpp0307255	ENSP00000476145
OG0000046	FBpp0297935, FBpp0079228, FBpp0297173, FBpp0080682	ENSP00000333926, ENSP00000494609, ENSP00000366084
OG0000046	FBpp0312572, FBpp0089065, FBpp0089059, FBpp0089061, FBpp0089066, FBpp0089060, FBpp0089069, FBpp0089058, FBpp0089057, FBpp0089056, FBpp0089070, FBpp0089064, FBpp0089062, FBpp0089067, FBpp0089071, FBpp0089072, FBpp0089063, FBpp0089068	ENSP00000359478, ENSP00000497274, ENSP00000285238, ENSP00000483316, ENSP00000382342, ENSP00000481080, ENSP00000461615, ENSP00000382340, ENSP00000478647
OG0000046	FBpp0079220	ENSP00000244533, ENSP00000361608
OG0000047	FBpp0087240, FBpp0087241, FBpp0303807, FBpp0303805, FBpp0303806, FBpp0303808, FBpp0308570, FBpp0087236, FBpp0087235, FBpp0308627, FBpp0293611	ENSP00000257979, ENSP00000293599, ENSP00000477688, ENSP00000320247, ENSP00000449830, ENSP00000477759, ENSP00000450022, ENSP00000447148, ENSP00000199280, ENSP00000462075, ENSP00000393121, ENSP00000462597, ENSP00000372654, ENSP00000311165, ENSP00000387178, ENSP00000405698, ENSP00000386712, ENSP00000421315
OG0000048	FBpp0309069, FBpp0086250, FBpp0086251, FBpp0311495, FBpp0086249	ENSP00000257904, ENSP00000397087, ENSP00000265734
OG0000048	FBpp0087515	ENSP00000338673, ENSP00000329957, ENSP00000424415, ENSP00000484357
OG0000048	FBpp0293474, FBpp0293475, FBpp0303913, FBpp0077908, FBpp0077905	ENSP00000464016, ENSP00000463048
OG0000048	FBpp0079641	ENSP00000397973, ENSP00000378699
OG0000048	FBpp0289675, FBpp0083330, FBpp0083329	ENSP00000452514, ENSP00000266970, ENSP00000400088, ENSP00000410561
OG0000049	FBpp0110308, FBpp0292378, FBpp0073772, FBpp0301719, FBpp0292377, FBpp0301718, FBpp0301717	ENSP00000491565, ENSP00000355974, ENSP00000492724, ENSP00000490983, ENSP00000491725, ENSP00000491804, ENSP00000492350, ENSP00000492697, ENSP00000492302, ENSP00000492513, ENSP00000491986, ENSP00000491578, ENSP00000492550, ENSP00000271751, ENSP00000378419, ENSP00000491426, ENSP00000492865, ENSP00000492303, ENSP00000395439, ENSP00000321427, ENSP00000491901, ENSP00000491019, ENSP00000492803, ENSP00000492641, ENSP00000491522, ENSP00000491750
OG0000049	FBpp0085981, FBpp0309248	ENSP00000257981, ENSP00000328813, ENSP00000475564, ENSP00000264661, ENSP00000497890, ENSP00000412141
OG0000049	FBpp0310000, FBpp0072078, FBpp0072079	ENSP00000387657, ENSP00000328531, ENSP00000262186, ENSP00000482818, ENSP00000331727, ENSP00000483158, ENSP00000333781, ENSP00000463533, ENSP00000463830, ENSP00000396900, ENSP00000318212, ENSP00000464672
OG0000051	FBpp0306154, FBpp0306157, FBpp0074077, FBpp0306156, FBpp0306158, FBpp0074078, FBpp0306155, FBpp0088505, FBpp0088985, FBpp0088506, FBpp0088986, FBpp0307770, FBpp0307769, FBpp0291143, FBpp0070024	ENSP00000414642, ENSP00000390809, ENSP00000262219, ENSP00000429358, ENSP00000257497, ENSP00000366109, ENSP00000387545, ENSP00000411352, ENSP00000379342, ENSP00000346032, ENSP00000421015, ENSP00000423068, ENSP00000264908, ENSP00000366980, ENSP00000430420, ENSP00000346550, ENSP00000430517, ENSP00000362012, ENSP00000362010, ENSP00000398610, ENSP00000361305, ENSP00000404412, ENSP00000265447, ENSP00000462880, ENSP00000480221, ENSP00000386756, ENSP00000377833, ENSP00000424106, ENSP00000424199, ENSP00000296511
OG0000053	FBpp0087532, FBpp0303551, FBpp0087530, FBpp0087531, FBpp0087529, FBpp0089303, FBpp0303550	ENSP00000426465, ENSP00000490473, ENSP00000340874, ENSP00000389610, ENSP00000487430, ENSP00000487538, ENSP00000490354, ENSP00000421925, ENSP00000396219, ENSP00000425636, ENSP00000423656, ENSP00000485972, ENSP00000423826, ENSP00000427286, ENSP00000346389, ENSP00000489865
OG0000054	FBpp0079537, FBpp0401582, FBpp0401583	ENSP00000458925, ENSP00000225296
OG0000054	FBpp0077107	ENSP00000362422, ENSP00000362420, ENSP00000252011
OG0000054	FBpp0073717, FBpp0073718	ENSP00000268482
OG0000054	FBpp0307849, FBpp0088040	ENSP00000336741, ENSP00000284690
OG0000054	FBpp0086647	ENSP00000262415, ENSP00000496923, ENSP00000437886
OG0000054	FBpp0080706	ENSP00000390938, ENSP00000373071, ENSP00000393958, ENSP00000396193, ENSP00000408956, ENSP00000365625, ENSP00000391789, ENSP00000389862, ENSP00000405391, ENSP00000409038, ENSP00000365620, ENSP00000373070, ENSP00000412716, ENSP00000409558, ENSP00000409091, ENSP00000406462
OG0000055	FBpp0075868	ENSP00000480713, ENSP00000361140, ENSP00000312606
OG0000055	FBpp0075869, FBpp0303936, FBpp0075870, FBpp0303937	ENSP00000397042, ENSP00000402374, ENSP00000389197, ENSP00000242375, ENSP00000401327, ENSP00000369927, ENSP00000474882, ENSP00000392694, ENSP00000370129, ENSP00000370254, ENSP00000369814, ENSP00000263126, ENSP00000352584, ENSP00000397009, ENSP00000389289, ENSP00000414399, ENSP00000285930
OG0000056	FBpp0110121, FBpp0291583, FBpp0291584, FBpp0086945, FBpp0293494, FBpp0086946, FBpp0086944, FBpp0086942, FBpp0086943, FBpp0305314	ENSP00000078429, ENSP00000286548, ENSP00000365807
