Orthogroup	fly	mouse
OG0000012	FBpp0070371, FBpp0311678, FBpp0301778, FBpp0070410, FBpp0070372, FBpp0304450, FBpp0076543, FBpp0079095, FBpp0072837, FBpp0070411, FBpp0070412, FBpp0087825, FBpp0087824, FBpp0308387, FBpp0079515, FBpp0073845, FBpp0070094, FBpp0073352, FBpp0312025, FBpp0085074, FBpp0113050	ENSMUSP00000112174, ENSMUSP00000092966
OG0000012	FBpp0078703, FBpp0078701, FBpp0289683, FBpp0087672, FBpp0087674, FBpp0087673	ENSMUSP00000129536, ENSMUSP00000157311, ENSMUSP00000008801, ENSMUSP00000129264, ENSMUSP00000136139, ENSMUSP00000157036, ENSMUSP00000157006, ENSMUSP00000050478, ENSMUSP00000003416, ENSMUSP00000131058, ENSMUSP00000076827, ENSMUSP00000123282, ENSMUSP00000074733, ENSMUSP00000157023, ENSMUSP00000129514, ENSMUSP00000003413, ENSMUSP00000003574, ENSMUSP00000148315, ENSMUSP00000059545, ENSMUSP00000102155, ENSMUSP00000139717, ENSMUSP00000092487, ENSMUSP00000081370, ENSMUSP00000140857, ENSMUSP00000030487, ENSMUSP00000099768
OG0000015	FBpp0079565, FBpp0079566	ENSMUSP00000149620, ENSMUSP00000128421
OG0000015	FBpp0081324	ENSMUSP00000101860, ENSMUSP00000145166, ENSMUSP00000144809, ENSMUSP00000133154, ENSMUSP00000145194, ENSMUSP00000026667
OG0000015	FBpp0303628, FBpp0078809, FBpp0297911, FBpp0078807, FBpp0078808, FBpp0078806	ENSMUSP00000110998, ENSMUSP00000156170, ENSMUSP00000090876, ENSMUSP00000115649, ENSMUSP00000140809, ENSMUSP00000023599, ENSMUSP00000127030, ENSMUSP00000127034
OG0000015	FBpp0112438, FBpp0304168, FBpp0304166, FBpp0304167	ENSMUSP00000038551, ENSMUSP00000066806, ENSMUSP00000047898, ENSMUSP00000034612
OG0000016	FBpp0099736, FBpp0082718, FBpp0303074, FBpp0082715, FBpp0082716, FBpp0306673, FBpp0293609, FBpp0293608, FBpp0290519, FBpp0099738, FBpp0099737, FBpp0082719, FBpp0082717	ENSMUSP00000070259, ENSMUSP00000082560, ENSMUSP00000078706, ENSMUSP00000145938, ENSMUSP00000145724, ENSMUSP00000113160, ENSMUSP00000146047, ENSMUSP00000145947, ENSMUSP00000034949, ENSMUSP00000145887
OG0000016	FBpp0085106, FBpp0085105, FBpp0422974, FBpp0306615, FBpp0085104	ENSMUSP00000113341, ENSMUSP00000113975, ENSMUSP00000070721, ENSMUSP00000018274, ENSMUSP00000113096, ENSMUSP00000117472, ENSMUSP00000155317
OG0000016	FBpp0311373, FBpp0309354, FBpp0073515, FBpp0073513, FBpp0289609, FBpp0311372	ENSMUSP00000110901, ENSMUSP00000127463, ENSMUSP00000127265, ENSMUSP00000131687, ENSMUSP00000127144, ENSMUSP00000132083, ENSMUSP00000128871
OG0000017	FBpp0083382, FBpp0307023, FBpp0307024, FBpp0110134, FBpp0083346, FBpp0307912, FBpp0078739, FBpp0088541, FBpp0110195, FBpp0081005, FBpp0083391, FBpp0110206, FBpp0311188, FBpp0088171, FBpp0305854, FBpp0088259, FBpp0088258	ENSMUSP00000034515, ENSMUSP00000110515, ENSMUSP00000003468, ENSMUSP00000151982, ENSMUSP00000078687, ENSMUSP00000151671, ENSMUSP00000151389, ENSMUSP00000151921, ENSMUSP00000101124, ENSMUSP00000030676, ENSMUSP00000109773, ENSMUSP00000147948, ENSMUSP00000072107, ENSMUSP00000153786, ENSMUSP00000023652, ENSMUSP00000154130, ENSMUSP00000154596
OG0000017	FBpp0306805, FBpp0303372, FBpp0312406, FBpp0303373, FBpp0076691	ENSMUSP00000044009, ENSMUSP00000091731, ENSMUSP00000117746, ENSMUSP00000044494, ENSMUSP00000103374, ENSMUSP00000074787, ENSMUSP00000141447, ENSMUSP00000075687, ENSMUSP00000116381, ENSMUSP00000131523, ENSMUSP00000110755, ENSMUSP00000066980, ENSMUSP00000148533, ENSMUSP00000027020
OG0000020	FBpp0076051, FBpp0076049, FBpp0076047, FBpp0076046, FBpp0076048, FBpp0076052, FBpp0076056, FBpp0076050, FBpp0290446, FBpp0076053, FBpp0076054, FBpp0304232, FBpp0076055	ENSMUSP00000078972, ENSMUSP00000110701, ENSMUSP00000110699, ENSMUSP00000116747, ENSMUSP00000006749
OG0000020	FBpp0304051, FBpp0304054, FBpp0304050, FBpp0304052, FBpp0288812, FBpp0304049, FBpp0288813, FBpp0304053, FBpp0304048, FBpp0288814	ENSMUSP00000121744, ENSMUSP00000118413, ENSMUSP00000108844, ENSMUSP00000119325, ENSMUSP00000041007, ENSMUSP00000109532, ENSMUSP00000109533, ENSMUSP00000108099, ENSMUSP00000061411, ENSMUSP00000099796, ENSMUSP00000023776, ENSMUSP00000125090, ENSMUSP00000153180, ENSMUSP00000153116, ENSMUSP00000153166, ENSMUSP00000153185, ENSMUSP00000153470, ENSMUSP00000152950, ENSMUSP00000153084, ENSMUSP00000153045, ENSMUSP00000153597, ENSMUSP00000153280, ENSMUSP00000153345, ENSMUSP00000153648, ENSMUSP00000153093, ENSMUSP00000152933, ENSMUSP00000153690, ENSMUSP00000152984, ENSMUSP00000153323, ENSMUSP00000058313
OG0000021	FBpp0076820, FBpp0305462	ENSMUSP00000137802, ENSMUSP00000025749, ENSMUSP00000119715
OG0000021	FBpp0082682, FBpp0082681, FBpp0082680, FBpp0310841, FBpp0311050	ENSMUSP00000132141, ENSMUSP00000052103, ENSMUSP00000103981, ENSMUSP00000103980, ENSMUSP00000122222, ENSMUSP00000001780, ENSMUSP00000106789, ENSMUSP00000106790, ENSMUSP00000019843
OG0000022	FBpp0087997, FBpp0087996, FBpp0307930, FBpp0087994, FBpp0307928, FBpp0087993, FBpp0307927, FBpp0087995, FBpp0307929, FBpp0303811, FBpp0303812, FBpp0070869, FBpp0070868	ENSMUSP00000118851, ENSMUSP00000124066, ENSMUSP00000082352, ENSMUSP00000021548, ENSMUSP00000112543, ENSMUSP00000008579, ENSMUSP00000113433, ENSMUSP00000114390
OG0000022	FBpp0310903, FBpp0083003, FBpp0310904, FBpp0083004, FBpp0083002	ENSMUSP00000021187, ENSMUSP00000112553, ENSMUSP00000020947
OG0000022	FBpp0310039, FBpp0079172	ENSMUSP00000104736, ENSMUSP00000125626, ENSMUSP00000004756
OG0000023	FBpp0086694, FBpp0308990	ENSMUSP00000025217
OG0000023	FBpp0311376, FBpp0073448, FBpp0073445, FBpp0073446, FBpp0073447	ENSMUSP00000028222, ENSMUSP00000097747
OG0000023	FBpp0081956, FBpp0081986, FBpp0082147, FBpp0082105, FBpp0082106, FBpp0082107, FBpp0083974, FBpp0082175, FBpp0075504, FBpp0075503, FBpp0075505, FBpp0307982, FBpp0082518, FBpp0082519, FBpp0082517, FBpp0082516, FBpp0082515, FBpp0082514	ENSMUSP00000151408, ENSMUSP00000079306, ENSMUSP00000113722, ENSMUSP00000015800, ENSMUSP00000007248, ENSMUSP00000084586, ENSMUSP00000133815
OG0000024	FBpp0070468, FBpp0308632, FBpp0088917, FBpp0308631	ENSMUSP00000031822, ENSMUSP00000109933, ENSMUSP00000138703, ENSMUSP00000138608
OG0000024	FBpp0084089	ENSMUSP00000124583, ENSMUSP00000124154, ENSMUSP00000130783, ENSMUSP00000069495
OG0000024	FBpp0294026, FBpp0077292, FBpp0077294, FBpp0077293, FBpp0099714, FBpp0099715, FBpp0303496, FBpp0077817, FBpp0099713, FBpp0099712, FBpp0077816, FBpp0077815, FBpp0077814, FBpp0077554, FBpp0077553, FBpp0077291, FBpp0111812, FBpp0077116, FBpp0077117, FBpp0111811, FBpp0077390, FBpp0077392, FBpp0306277, FBpp0306276, FBpp0306275, FBpp0306278, FBpp0077391, FBpp0077389, FBpp0099791, FBpp0077813, FBpp0089109, FBpp0077812, FBpp0079489, FBpp0311684, FBpp0304025	ENSMUSP00000124647, ENSMUSP00000034648, ENSMUSP00000024829
OG0000026	FBpp0289039, FBpp0289032, FBpp0289038, FBpp0289036, FBpp0289037, FBpp0289042, FBpp0289034, FBpp0289041, FBpp0289040, FBpp0289043, FBpp0289035, FBpp0289033, FBpp0297637, FBpp0292219	ENSMUSP00000118379, ENSMUSP00000072738, ENSMUSP00000042215, ENSMUSP00000079238
OG0000026	FBpp0088795, FBpp0290286, FBpp0290287, FBpp0088794	ENSMUSP00000129811, ENSMUSP00000076844, ENSMUSP00000143594, ENSMUSP00000142749
OG0000026	FBpp0297858, FBpp0308707, FBpp0289580, FBpp0308708, FBpp0308706, FBpp0297859, FBpp0308705	ENSMUSP00000025482, ENSMUSP00000151571, ENSMUSP00000020383, ENSMUSP00000047302, ENSMUSP00000046444, ENSMUSP00000103019, ENSMUSP00000128423, ENSMUSP00000063384, ENSMUSP00000103575
OG0000030	FBpp0091088, FBpp0091085, FBpp0091082, FBpp0091103, FBpp0091106, FBpp0091100, FBpp0091112, FBpp0091109, FBpp0091097, FBpp0091079	ENSMUSP00000134751, ENSMUSP00000135215
OG0000030	FBpp0091091	ENSMUSP00000089346
OG0000030	FBpp0091064	ENSMUSP00000100739
OG0000030	FBpp0091053	ENSMUSP00000096442
OG0000030	FBpp0091051	ENSMUSP00000100737
OG0000030	FBpp0091076	ENSMUSP00000074994
OG0000030	FBpp0071280	ENSMUSP00000016703
OG0000030	FBpp0071282, FBpp0078649, FBpp0305717, FBpp0305716, FBpp0309302	ENSMUSP00000079816
OG0000031	FBpp0080595, FBpp0080596	ENSMUSP00000123701, ENSMUSP00000034017, ENSMUSP00000147262
OG0000031	FBpp0292329, FBpp0303455, FBpp0303454, FBpp0085812	ENSMUSP00000101194
OG0000031	FBpp0112409, FBpp0112408	ENSMUSP00000001599, ENSMUSP00000103018
OG0000031	FBpp0080063	ENSMUSP00000027533, ENSMUSP00000095873, ENSMUSP00000097627, ENSMUSP00000113739, ENSMUSP00000124904, ENSMUSP00000070168
OG0000031	FBpp0304443, FBpp0075260	ENSMUSP00000114044, ENSMUSP00000107238
OG0000031	FBpp0309116, FBpp0309115, FBpp0071250, FBpp0071251, FBpp0071249, FBpp0309114	ENSMUSP00000144732, ENSMUSP00000098752, ENSMUSP00000144976, ENSMUSP00000022666, ENSMUSP00000118072, ENSMUSP00000108998, ENSMUSP00000038080
OG0000031	FBpp0307415, FBpp0082029, FBpp0082030	ENSMUSP00000031254, ENSMUSP00000069674, ENSMUSP00000143634, ENSMUSP00000143384, ENSMUSP00000142820
OG0000033	FBpp0292726, FBpp0305179, FBpp0292725, FBpp0292727	ENSMUSP00000113283, ENSMUSP00000084942, ENSMUSP00000152215, ENSMUSP00000106145
OG0000033	FBpp0305371, FBpp0086011	ENSMUSP00000098029, ENSMUSP00000106305, ENSMUSP00000082827, ENSMUSP00000090177, ENSMUSP00000129269, ENSMUSP00000099356
OG0000033	FBpp0077496, FBpp0077495, FBpp0077497, FBpp0308612, FBpp0306832	ENSMUSP00000148679, ENSMUSP00000132224, ENSMUSP00000148813, ENSMUSP00000103881, ENSMUSP00000041627, ENSMUSP00000029126, ENSMUSP00000105307
OG0000033	FBpp0289747, FBpp0288921, FBpp0289746, FBpp0304227, FBpp0288923, FBpp0288920, FBpp0288922, FBpp0304228, FBpp0288917	ENSMUSP00000153537, ENSMUSP00000132838, ENSMUSP00000079280, ENSMUSP00000153526, ENSMUSP00000153052, ENSMUSP00000034740
OG0000035	FBpp0091127, FBpp0091123, FBpp0085281, FBpp0091119, FBpp0091121, FBpp0091149, FBpp0091155, FBpp0091153, FBpp0091133, FBpp0091135, FBpp0091129, FBpp0091131, FBpp0091151, FBpp0091137, FBpp0091141, FBpp0091139, FBpp0091145, FBpp0091143, FBpp0091147, FBpp0091125, FBpp0091117, FBpp0091115, FBpp0091113	ENSMUSP00000076397, ENSMUSP00000056604, ENSMUSP00000135427, ENSMUSP00000106099, ENSMUSP00000100047, ENSMUSP00000153457, ENSMUSP00000018246, ENSMUSP00000089296, ENSMUSP00000136792, ENSMUSP00000089343, ENSMUSP00000097294, ENSMUSP00000106082, ENSMUSP00000089350, ENSMUSP00000106095, ENSMUSP00000089301, ENSMUSP00000100738, ENSMUSP00000106093, ENSMUSP00000077290, ENSMUSP00000106102, ENSMUSP00000088287, ENSMUSP00000106085, ENSMUSP00000153277, ENSMUSP00000061247, ENSMUSP00000078239
OG0000036	FBpp0099848, FBpp0087781, FBpp0099850, FBpp0099847, FBpp0087779, FBpp0087780, FBpp0099849, FBpp0099846, FBpp0099845, FBpp0305216	ENSMUSP00000108528, ENSMUSP00000033634, ENSMUSP00000108524, ENSMUSP00000108525, ENSMUSP00000117952, ENSMUSP00000121695, ENSMUSP00000045291
OG0000036	FBpp0074845, FBpp0074844, FBpp0305861, FBpp0291528	ENSMUSP00000046585, ENSMUSP00000072040, ENSMUSP00000090795, ENSMUSP00000091746, ENSMUSP00000104533, ENSMUSP00000104532, ENSMUSP00000098773, ENSMUSP00000098771, ENSMUSP00000069844, ENSMUSP00000104527, ENSMUSP00000119714, ENSMUSP00000000145, ENSMUSP00000106000, ENSMUSP00000106001, ENSMUSP00000034046
OG0000038	FBpp0305852, FBpp0088256	ENSMUSP00000154967, ENSMUSP00000107937, ENSMUSP00000155713, ENSMUSP00000022429, ENSMUSP00000020717, ENSMUSP00000127281
OG0000038	FBpp0289184, FBpp0078222, FBpp0078225, FBpp0078226, FBpp0078224, FBpp0304364, FBpp0111771, FBpp0289185	ENSMUSP00000102622, ENSMUSP00000051814, ENSMUSP00000050689, ENSMUSP00000079905, ENSMUSP00000126120
OG0000038	FBpp0075272	ENSMUSP00000111942, ENSMUSP00000079246
OG0000038	FBpp0081328	ENSMUSP00000025893
OG0000038	FBpp0305833, FBpp0300568, FBpp0088220	ENSMUSP00000070767, ENSMUSP00000069371, ENSMUSP00000035918, ENSMUSP00000099013, ENSMUSP00000114458, ENSMUSP00000057085, ENSMUSP00000124344, ENSMUSP00000139499
OG0000041	FBpp0082121	ENSMUSP00000047326, ENSMUSP00000039844
OG0000041	FBpp0306215, FBpp0078131, FBpp0082597, FBpp0082254, FBpp0082253, FBpp0312019, FBpp0071448, FBpp0070788, FBpp0070787, FBpp0311818, FBpp0100125, FBpp0100124, FBpp0085365	ENSMUSP00000052086, ENSMUSP00000098066, ENSMUSP00000071486, ENSMUSP00000101822, ENSMUSP00000146302, ENSMUSP00000130611, ENSMUSP00000101823, ENSMUSP00000148594, ENSMUSP00000120936, ENSMUSP00000048218, ENSMUSP00000034453, ENSMUSP00000087736, ENSMUSP00000074658, ENSMUSP00000113552
OG0000042	FBpp0304010, FBpp0080466, FBpp0086224, FBpp0078872, FBpp0082126, FBpp0291574, FBpp0080904, FBpp0311165, FBpp0080469, FBpp0080468, FBpp0080467, FBpp0288390, FBpp0112233, FBpp0081850, FBpp0085174, FBpp0081852, FBpp0300388, FBpp0081849, FBpp0081851, FBpp0311934, FBpp0081854, FBpp0081814, FBpp0081813	ENSMUSP00000123452, ENSMUSP00000119985, ENSMUSP00000134443, ENSMUSP00000115642, ENSMUSP00000095263, ENSMUSP00000072803, ENSMUSP00000108763, ENSMUSP00000108762, ENSMUSP00000014263, ENSMUSP00000108759, ENSMUSP00000108760, ENSMUSP00000058683, ENSMUSP00000108764, ENSMUSP00000073444, ENSMUSP00000108767, ENSMUSP00000031195, ENSMUSP00000078740, ENSMUSP00000031183, ENSMUSP00000068282, ENSMUSP00000072598, ENSMUSP00000075255, ENSMUSP00000092233, ENSMUSP00000123024, ENSMUSP00000120005, ENSMUSP00000031186, ENSMUSP00000114842
OG0000042	FBpp0074804, FBpp0304894	ENSMUSP00000116653
OG0000043	FBpp0079238, FBpp0079235, FBpp0303535, FBpp0111748, FBpp0303536, FBpp0111749, FBpp0079237, FBpp0079236	ENSMUSP00000073509, ENSMUSP00000143002, ENSMUSP00000143476, ENSMUSP00000109234, ENSMUSP00000129397
OG0000043	FBpp0307254, FBpp0307255	ENSMUSP00000130289, ENSMUSP00000019913
OG0000046	FBpp0297935, FBpp0079228, FBpp0297173, FBpp0080682	ENSMUSP00000122402, ENSMUSP00000079014, ENSMUSP00000078158, ENSMUSP00000111209, ENSMUSP00000042186, ENSMUSP00000129677
OG0000046	FBpp0312572, FBpp0089065, FBpp0089059, FBpp0089061, FBpp0089066, FBpp0089060, FBpp0089069, FBpp0089058, FBpp0089057, FBpp0089056, FBpp0089070, FBpp0089064, FBpp0089062, FBpp0089067, FBpp0089071, FBpp0089072, FBpp0089063, FBpp0089068	ENSMUSP00000026208, ENSMUSP00000021231, ENSMUSP00000136343, ENSMUSP00000002850, ENSMUSP00000097743
OG0000046	FBpp0079220	ENSMUSP00000132561, ENSMUSP00000038041, ENSMUSP00000131843, ENSMUSP00000092895
OG0000047	FBpp0087240, FBpp0087241, FBpp0303807, FBpp0303805, FBpp0303806, FBpp0303808, FBpp0308570, FBpp0087236, FBpp0087235, FBpp0308627, FBpp0293611	ENSMUSP00000026455, ENSMUSP00000155212, ENSMUSP00000127611, ENSMUSP00000085530, ENSMUSP00000154934, ENSMUSP00000023754, ENSMUSP00000155623, ENSMUSP00000023752, ENSMUSP00000157337, ENSMUSP00000157324, ENSMUSP00000157060, ENSMUSP00000157152, ENSMUSP00000157000, ENSMUSP00000157347, ENSMUSP00000157239, ENSMUSP00000078088, ENSMUSP00000004774
OG0000048	FBpp0309069, FBpp0086250, FBpp0086251, FBpp0311495, FBpp0086249	ENSMUSP00000006911, ENSMUSP00000122973, ENSMUSP00000117234, ENSMUSP00000037925, ENSMUSP00000126024
OG0000048	FBpp0087515	ENSMUSP00000045527, ENSMUSP00000148435
OG0000048	FBpp0293474, FBpp0293475, FBpp0303913, FBpp0077908, FBpp0077905	ENSMUSP00000101225, ENSMUSP00000070527, ENSMUSP00000101223
OG0000048	FBpp0079641	ENSMUSP00000020099, ENSMUSP00000113184
OG0000048	FBpp0289675, FBpp0083330, FBpp0083329	ENSMUSP00000026416, ENSMUSP00000026415, ENSMUSP00000134251
OG0000049	FBpp0110308, FBpp0292378, FBpp0073772, FBpp0301719, FBpp0292377, FBpp0301718, FBpp0301717	ENSMUSP00000106468, ENSMUSP00000077563, ENSMUSP00000046864
OG0000049	FBpp0085981, FBpp0309248	ENSMUSP00000040548, ENSMUSP00000049206, ENSMUSP00000102984, ENSMUSP00000102986
OG0000049	FBpp0310000, FBpp0072078, FBpp0072079	ENSMUSP00000110750, ENSMUSP00000047705, ENSMUSP00000074563, ENSMUSP00000108073, ENSMUSP00000108071, ENSMUSP00000102516, ENSMUSP00000001965, ENSMUSP00000137675
OG0000051	FBpp0306154, FBpp0306157, FBpp0074077, FBpp0306156, FBpp0306158, FBpp0074078, FBpp0306155, FBpp0088505, FBpp0088985, FBpp0088506, FBpp0088986, FBpp0307770, FBpp0307769, FBpp0291143, FBpp0070024	ENSMUSP00000153130, ENSMUSP00000143103, ENSMUSP00000025561, ENSMUSP00000117855, ENSMUSP00000034756, ENSMUSP00000031447, ENSMUSP00000099788, ENSMUSP00000104511, ENSMUSP00000066035, ENSMUSP00000153669, ENSMUSP00000098405, ENSMUSP00000022416, ENSMUSP00000107983, ENSMUSP00000113662, ENSMUSP00000022519, ENSMUSP00000109305, ENSMUSP00000115346, ENSMUSP00000117378, ENSMUSP00000001187, ENSMUSP00000145421, ENSMUSP00000144961, ENSMUSP00000138194, ENSMUSP00000029266
OG0000053	FBpp0087532, FBpp0303551, FBpp0087530, FBpp0087531, FBpp0087529, FBpp0089303, FBpp0303550	ENSMUSP00000143286, ENSMUSP00000132547, ENSMUSP00000005722, ENSMUSP00000138826, ENSMUSP00000143401, ENSMUSP00000143212, ENSMUSP00000142456, ENSMUSP00000143338, ENSMUSP00000143187, ENSMUSP00000142884, ENSMUSP00000143611, ENSMUSP00000143598, ENSMUSP00000143339, ENSMUSP00000113638, ENSMUSP00000032776, ENSMUSP00000075664, ENSMUSP00000116144
OG0000054	FBpp0079537, FBpp0401582, FBpp0401583	ENSMUSP00000104167
OG0000054	FBpp0077107	ENSMUSP00000029186, ENSMUSP00000105104
OG0000054	FBpp0073717, FBpp0073718	ENSMUSP00000047865
OG0000054	FBpp0307849, FBpp0088040	ENSMUSP00000031061, ENSMUSP00000143069, ENSMUSP00000143658, ENSMUSP00000143381, ENSMUSP00000101745, ENSMUSP00000066067, ENSMUSP00000033290
OG0000054	FBpp0086647	ENSMUSP00000119430, ENSMUSP00000037251
OG0000054	FBpp0080706	ENSMUSP00000133888, ENSMUSP00000025292
OG0000055	FBpp0075868	ENSMUSP00000030455
OG0000055	FBpp0075869, FBpp0303936, FBpp0075870, FBpp0303937	ENSMUSP00000048830, ENSMUSP00000112666, ENSMUSP00000080074, ENSMUSP00000021632, ENSMUSP00000021634, ENSMUSP00000045394, ENSMUSP00000112664, ENSMUSP00000152648, ENSMUSP00000077363, ENSMUSP00000079232, ENSMUSP00000021630, ENSMUSP00000152778, ENSMUSP00000021628, ENSMUSP00000106332, ENSMUSP00000021635, ENSMUSP00000063309, ENSMUSP00000124333, ENSMUSP00000040244, ENSMUSP00000007449, ENSMUSP00000110703, ENSMUSP00000039114, ENSMUSP00000100045, ENSMUSP00000106319, ENSMUSP00000089459
OG0000056	FBpp0110121, FBpp0291583, FBpp0291584, FBpp0086945, FBpp0293494, FBpp0086946, FBpp0086944, FBpp0086942, FBpp0086943, FBpp0305314	ENSMUSP00000043190, ENSMUSP00000025541, ENSMUSP00000025602
OG0000056	FBpp0076643	ENSMUSP00000000001, ENSMUSP00000074259, ENSMUSP00000142326, ENSMUSP00000057543
OG0000056	FBpp0087361, FBpp0087365, FBpp0087363, FBpp0087364, FBpp0087362, FBpp0087359, FBpp0089315, FBpp0087360, FBpp0089316	ENSMUSP00000036087, ENSMUSP00000124639, ENSMUSP00000034198, ENSMUSP00000114144, ENSMUSP00000148550, ENSMUSP00000119220
OG0000057	FBpp0072086	ENSMUSP00000038841, ENSMUSP00000056433, ENSMUSP00000058391
OG0000057	FBpp0072746, FBpp0292253, FBpp0304917	ENSMUSP00000142634, ENSMUSP00000066238, ENSMUSP00000088174
OG0000057	FBpp0081600	ENSMUSP00000107339, ENSMUSP00000032399, ENSMUSP00000095570, ENSMUSP00000026572, ENSMUSP00000142603, ENSMUSP00000143644, ENSMUSP00000029445, ENSMUSP00000142438, ENSMUSP00000143391, ENSMUSP00000138189, ENSMUSP00000143620, ENSMUSP00000147731, ENSMUSP00000132110
