Orthogroup	arabidopsis	human
OG0000004	AT2G46020.2, AT2G28290.5, AT3G06010.1, AT5G19310.1	ENSP00000493905, ENSP00000493690, ENSP00000494159, ENSP00000495802, ENSP00000496331, ENSP00000495355, ENSP00000496074, ENSP00000495599, ENSP00000496004, ENSP00000493615, ENSP00000494772, ENSP00000495536, ENSP00000397783, ENSP00000495368, ENSP00000343896, ENSP00000395654, ENSP00000493975, ENSP00000494353, ENSP00000496635, ENSP00000495548, ENSP00000414727, ENSP00000445036, ENSP00000464778, ENSP00000371629, ENSP00000265773, ENSP00000371638, ENSP00000489256, ENSP00000392081, ENSP00000349788, ENSP00000494463, ENSP00000392837, ENSP00000494676, ENSP00000466963
OG0000007	AT1G24360.1	ENSP00000427615, ENSP00000423128, ENSP00000303525, ENSP00000230236, ENSP00000363794, ENSP00000406488, ENSP00000387753, ENSP00000413950, ENSP00000403538
OG0000007	AT3G12800.1, AT2G07640.1	ENSP00000395512, ENSP00000265322, ENSP00000488844, ENSP00000393382, ENSP00000219481, ENSP00000481547, ENSP00000400374, ENSP00000487756
OG0000007	AT1G36580.1	ENSP00000472746, ENSP00000263278, ENSP00000469557, ENSP00000471631
OG0000012	AT4G27710.1, AT2G46950.1, AT2G46960.2, AT5G52400.1, AT5G38450.1, AT1G67110.1, AT1G75130.1, AT2G26710.1, AT3G14630.2, AT3G14690.2, AT3G14660.1, AT3G14650.1, AT3G14680.1, AT3G14640.2, AT3G14610.1, AT3G14620.1, AT1G17060.1, AT1G31800.1, AT3G53130.1, AT4G15110.1	ENSP00000368079, ENSP00000477567, ENSP00000269703, ENSP00000469866, ENSP00000448998, ENSP00000321821, ENSP00000481243, ENSP00000319859, ENSP00000384588, ENSP00000248041, ENSP00000221700, ENSP00000221307, ENSP00000011989, ENSP00000468105, ENSP00000466395, ENSP00000466988, ENSP00000482692, ENSP00000476972, ENSP00000360968, ENSP00000334246
OG0000012	AT2G45510.1	ENSP00000467846
OG0000015	AT2G45810.1, AT3G61240.1, AT4G00660.1	ENSP00000478754, ENSP00000433704, ENSP00000442266
OG0000015	AT3G19760.1, AT1G51380.1	ENSP00000460439, ENSP00000497661, ENSP00000497641, ENSP00000269349
OG0000015	AT3G13920.5, AT1G54270.1, AT1G72730.1	ENSP00000462904, ENSP00000464066, ENSP00000463366, ENSP00000464550, ENSP00000462753, ENSP00000463486, ENSP00000462719, ENSP00000413529, ENSP00000326381, ENSP00000398370, ENSP00000293831
OG0000015	AT3G53110.1	ENSP00000456574, ENSP00000456757, ENSP00000377267, ENSP00000460180, ENSP00000392639, ENSP00000348271, ENSP00000410243, ENSP00000288071, ENSP00000399208, ENSP00000455813, ENSP00000306117, ENSP00000490224, ENSP00000436087, ENSP00000263576, ENSP00000463333
OG0000016	AT4G14340.1, AT3G23340.1, AT1G04440.1, AT5G43320.1, AT4G28540.1, AT5G44100.1, AT1G03930.1, AT4G28860.1, AT4G28880.1, AT2G19470.1, AT4G08800.1, AT1G72710.1, AT4G26100.1, AT5G57015.1	ENSP00000429412, ENSP00000429914, ENSP00000421385, ENSP00000421998, ENSP00000334735, ENSP00000354942, ENSP00000353904, ENSP00000423838, ENSP00000468637, ENSP00000255641, ENSP00000475325, ENSP00000475686, ENSP00000305777, ENSP00000489165, ENSP00000476088, ENSP00000489233, ENSP00000489116, ENSP00000475724, ENSP00000384074, ENSP00000380044, ENSP00000383067, ENSP00000352929, ENSP00000376146, ENSP00000381531, ENSP00000324464, ENSP00000384426, ENSP00000407235, ENSP00000403057, ENSP00000412335, ENSP00000369126, ENSP00000421689, ENSP00000367074, ENSP00000261798
OG0000021	AT3G08720.1	ENSP00000308413, ENSP00000384335, ENSP00000376744, ENSP00000441993, ENSP00000225577
OG0000021	AT2G29700.1, AT5G05710.1	ENSP00000430463, ENSP00000430256, ENSP00000331816, ENSP00000429022, ENSP00000379842, ENSP00000362168, ENSP00000412214, ENSP00000340608, ENSP00000392795, ENSP00000362192, ENSP00000362184, ENSP00000237305, ENSP00000434450, ENSP00000356831, ENSP00000396242, ENSP00000356832, ENSP00000375892, ENSP00000463262, ENSP00000471369, ENSP00000270202, ENSP00000384293, ENSP00000450688, ENSP00000451166, ENSP00000385326, ENSP00000451828, ENSP00000497822, ENSP00000355497, ENSP00000479081, ENSP00000263826, ENSP00000355498, ENSP00000479922, ENSP00000483054, ENSP00000336943, ENSP00000309428, ENSP00000399532, ENSP00000470604, ENSP00000463686, ENSP00000404083, ENSP00000375891, ENSP00000407999, ENSP00000462022, ENSP00000403842, ENSP00000351095, ENSP00000396532, ENSP00000392458, ENSP00000463806
OG0000022	AT5G53090.1, AT4G27760.1, AT5G53100.1	ENSP00000416395, ENSP00000450802, ENSP00000450554, ENSP00000450614, ENSP00000450651, ENSP00000450435, ENSP00000452079, ENSP00000370750, ENSP00000267502, ENSP00000449079, ENSP00000391121, ENSP00000477512, ENSP00000477884, ENSP00000379547, ENSP00000479552, ENSP00000480095, ENSP00000482051, ENSP00000482782, ENSP00000484111, ENSP00000484246, ENSP00000484637, ENSP00000482809, ENSP00000477732, ENSP00000291892, ENSP00000483247, ENSP00000481856, ENSP00000465538, ENSP00000368173, ENSP00000412826, ENSP00000378361, ENSP00000370648
OG0000022	AT1G03630.1	ENSP00000386161, ENSP00000482648, ENSP00000457230
OG0000023	AT5G42020.3, AT5G28540.1, AT1G09080.1	ENSP00000324173
OG0000023	AT5G02490.1, AT5G02500.1, AT3G09440.1, AT3G12580.1, AT1G56410.1, AT1G16030.1	ENSP00000378199, ENSP00000247207, ENSP00000432083, ENSP00000227378, ENSP00000433584, ENSP00000437125, ENSP00000364805, ENSP00000396486, ENSP00000409151, ENSP00000408347, ENSP00000372881, ENSP00000406359, ENSP00000403530, ENSP00000375399, ENSP00000375391, ENSP00000404524, ENSP00000408907, ENSP00000364801, ENSP00000442789, ENSP00000387691, ENSP00000402651, ENSP00000382915, ENSP00000393087, ENSP00000364802
OG0000024	AT3G13220.1, AT5G06530.1, AT4G27420.1, AT3G25620.2, AT1G31770.1, AT1G71960.1	ENSP00000426917, ENSP00000237612
OG0000024	AT3G21080.1	ENSP00000431915, ENSP00000260645, ENSP00000384513
OG0000024	AT5G13580.1, AT2G39350.1, AT3G55090.1, AT3G53510.1, AT2G37360.1, AT3G55100.1, AT3G55110.1, AT3G55130.1, AT2G13610.1, AT4G25750.1, AT5G52860.1, AT5G19410.2, AT1G53270.1, AT1G51460.1, AT1G51500.1, AT3G21090.1, AT2G28070.1, AT1G17840.1	ENSP00000479253, ENSP00000484289, ENSP00000481728, ENSP00000381464, ENSP00000339744, ENSP00000291524, ENSP00000381475, ENSP00000381467, ENSP00000414541, ENSP00000354995
OG0000026	AT5G44240.1	ENSP00000321195, ENSP00000364796, ENSP00000420387, ENSP00000332756, ENSP00000264449.10, ENSP00000371084, ENSP00000371070
OG0000026	AT3G18700.1	ENSP00000439993, ENSP00000444334, ENSP00000349325, ENSP00000431081, ENSP00000493802, ENSP00000313600, ENSP00000421536, ENSP00000420909, ENSP00000273859
OG0000026	AT5G04930.1	ENSP00000283684, ENSP00000497896, ENSP00000437115, ENSP00000311336, ENSP00000465027, ENSP00000445204, ENSP00000284509, ENSP00000453169, ENSP00000453690, ENSP00000357475
OG0000030	AT1G13370.1, AT1G75600.1, AT5G10980.1, AT4G40040.1, AT4G40030.2, AT1G19890.1, AT1G09200.1, AT3G27360.1, AT5G65360.1, AT5G65350.1, AT5G10390.1, AT5G10400.1	ENSP00000482271, ENSP00000483283, ENSP00000489282, ENSP00000366999, ENSP00000480826, ENSP00000484658, ENSP00000358160, ENSP00000484841, ENSP00000355657, ENSP00000494070, ENSP00000352252, ENSP00000484638, ENSP00000484095, ENSP00000476960, ENSP00000358154, ENSP00000333277, ENSP00000385479, ENSP00000355778, ENSP00000355780, ENSP00000466020, ENSP00000355781, ENSP00000468714, ENSP00000254810, ENSP00000465813, ENSP00000465403
OG0000033	AT1G70320.1, AT1G55860.1	ENSP00000403236, ENSP00000495351, ENSP00000495504, ENSP00000495418, ENSP00000494649, ENSP00000260983, ENSP00000407774, ENSP00000379228, ENSP00000354621, ENSP00000492201, ENSP00000355326, ENSP00000491036, ENSP00000262435, ENSP00000348283, ENSP00000352069, ENSP00000456216, ENSP00000427793, ENSP00000265428, ENSP00000445608, ENSP00000262650, ENSP00000363998, ENSP00000348847, ENSP00000256830, ENSP00000372301, ENSP00000383199, ENSP00000350569, ENSP00000468546, ENSP00000405440, ENSP00000393395, ENSP00000389406, ENSP00000411947, ENSP00000490696, ENSP00000468332, ENSP00000410613, ENSP00000422455, ENSP00000426051, ENSP00000345530, ENSP00000422705, ENSP00000424827
OG0000035	AT3G45980.1, AT3G46030.1, AT5G59910.1, AT2G28720.1, AT5G22880.1, AT1G07790.1, AT2G37470.1, AT3G53650.1, AT5G02570.1, AT3G09480.1	ENSP00000496342, ENSP00000479284, ENSP00000274764, ENSP00000445831, ENSP00000358164, ENSP00000482674, ENSP00000477907, ENSP00000380177, ENSP00000475942, ENSP00000483903, ENSP00000446031, ENSP00000367008, ENSP00000289316, ENSP00000445633, ENSP00000348924, ENSP00000321744, ENSP00000489317, ENSP00000479169, ENSP00000477527, ENSP00000358151, ENSP00000366618, ENSP00000342886, ENSP00000476136, ENSP00000483237, ENSP00000380180, ENSP00000366962
OG0000036	AT2G04350.1, AT1G77590.1	ENSP00000419171, ENSP00000339787, ENSP00000262835, ENSP00000375918, ENSP00000350012
OG0000036	AT5G27600.1, AT3G05970.1	ENSP00000376796, ENSP00000348429, ENSP00000403647, ENSP00000346223, ENSP00000346680, ENSP00000397507, ENSP00000368546, ENSP00000415140, ENSP00000368542, ENSP00000442124, ENSP00000368548, ENSP00000296869, ENSP00000368566, ENSP00000349608, ENSP00000368557, ENSP00000413329, ENSP00000485264, ENSP00000407165, ENSP00000425098, ENSP00000425640, ENSP00000424935, ENSP00000422607, ENSP00000425006, ENSP00000281455, ENSP00000426244, ENSP00000426150
OG0000038	AT2G47170.1, AT3G62290.1, AT1G70490.1, AT1G23490.1, AT1G10630.1, AT5G14670.1	ENSP00000417501, ENSP00000306010, ENSP00000000233, ENSP00000412701, ENSP00000256682, ENSP00000438510, ENSP00000442980, ENSP00000272102, ENSP00000440005
OG0000038	AT2G24765.1	ENSP00000261636, ENSP00000441808, ENSP00000439590, ENSP00000447405, ENSP00000448850, ENSP00000448912
OG0000038	AT2G18390.1	ENSP00000476630, ENSP00000432971, ENSP00000246747, ENSP00000436021
OG0000041	AT2G42170.1, AT2G42090.1, AT2G42100.1	ENSP00000334300, ENSP00000363799, ENSP00000316674, ENSP00000482603, ENSP00000367658, ENSP00000333037, ENSP00000289228, ENSP00000358921
OG0000041	AT3G18780.2, AT1G49240.1, AT3G53750.1, AT2G37620.1, AT5G59370.1, AT3G46520.1, AT5G09810.1, AT3G12110.1	ENSP00000416706, ENSP00000349960, ENSP00000494750, ENSP00000494269, ENSP00000477968, ENSP00000458162, ENSP00000458435, ENSP00000461672, ENSP00000493648, ENSP00000459124, ENSP00000331514, ENSP00000494185, ENSP00000461407, ENSP00000407473, ENSP00000398239, ENSP00000396730, ENSP00000460464, ENSP00000459119, ENSP00000224784, ENSP00000355645, ENSP00000290378, ENSP00000386857, ENSP00000295137
OG0000046	AT1G30400.1, AT2G34660.1, AT1G30410.1, AT1G30420.1	ENSP00000333926, ENSP00000494609, ENSP00000366084
OG0000046	AT3G59140.1, AT3G21250.4, AT1G04120.1, AT3G13090.1, AT3G13100.1, AT3G13080.1, AT1G71330.1, AT3G60970.1, AT3G60160.1, AT2G47800.1, AT3G62700.1	ENSP00000359478, ENSP00000497274, ENSP00000285238, ENSP00000483316, ENSP00000382342, ENSP00000481080, ENSP00000461615, ENSP00000382340, ENSP00000478647
OG0000046	AT2G07680.3	ENSP00000244533, ENSP00000361608
OG0000047	AT4G00430.1, AT1G01620.1, AT3G61430.1, AT2G45960.3, AT4G23400.1, AT2G16850.1, AT4G35100.1, AT3G53420.1, AT2G37170.2, AT2G37180.1, AT5G60660.1, AT2G39010.1, AT3G54820.1	ENSP00000257979, ENSP00000293599, ENSP00000477688, ENSP00000320247, ENSP00000449830, ENSP00000477759, ENSP00000450022, ENSP00000447148, ENSP00000199280, ENSP00000462075, ENSP00000393121, ENSP00000462597, ENSP00000372654, ENSP00000311165, ENSP00000387178, ENSP00000405698, ENSP00000386712, ENSP00000421315
OG0000048	AT1G67580.1, AT5G63370.1	ENSP00000338673, ENSP00000329957, ENSP00000424415, ENSP00000484357, ENSP00000464016, ENSP00000463048
OG0000048	AT3G48750.1	ENSP00000397973, ENSP00000378699
OG0000049	AT5G46240.1, AT4G18290.2, AT4G32500.1, AT2G25600.1, AT2G26650.1, AT4G32650.1, AT4G22200.1	ENSP00000462417, ENSP00000491565, ENSP00000355974, ENSP00000492724, ENSP00000490983, ENSP00000491725, ENSP00000491804, ENSP00000492350, ENSP00000492697, ENSP00000492302, ENSP00000492513, ENSP00000491986, ENSP00000491578, ENSP00000492550, ENSP00000271751, ENSP00000378419, ENSP00000491426, ENSP00000492865, ENSP00000492303, ENSP00000395439, ENSP00000321427, ENSP00000491901, ENSP00000491019, ENSP00000492803, ENSP00000492641, ENSP00000491522, ENSP00000491750, ENSP00000257981, ENSP00000328813, ENSP00000475564, ENSP00000264661, ENSP00000497890, ENSP00000412141, ENSP00000387657, ENSP00000328531, ENSP00000262186, ENSP00000482818, ENSP00000331727, ENSP00000483158, ENSP00000333781, ENSP00000463533, ENSP00000463830, ENSP00000396900, ENSP00000318212, ENSP00000464672
OG0000051	AT2G38750.1, AT5G10230.1, AT5G10220.1, AT5G65020.1, AT1G35720.1, AT5G12380.1, AT2G38760.1, AT1G68090.1	ENSP00000414642, ENSP00000390809, ENSP00000262219, ENSP00000429358, ENSP00000257497, ENSP00000366109, ENSP00000387545, ENSP00000411352, ENSP00000379342, ENSP00000346032, ENSP00000421015, ENSP00000423068, ENSP00000264908, ENSP00000366980, ENSP00000430420, ENSP00000346550, ENSP00000430517, ENSP00000362012, ENSP00000362010, ENSP00000398610, ENSP00000361305, ENSP00000404412, ENSP00000265447, ENSP00000462880, ENSP00000480221, ENSP00000386756, ENSP00000377833, ENSP00000424106, ENSP00000424199, ENSP00000296511
OG0000052	AT1G33470.1, AT2G46780.1	ENSP00000407512
OG0000052	AT2G14160.1, AT2G21690.1	ENSP00000466131
OG0000052	AT5G06210.1, AT2G37510.2, AT5G54580.1, AT1G73530.1, AT5G59865.1, AT5G19030.1, AT3G08000.1, AT3G26420.1, AT4G39260.1, AT2G21660.1, AT1G74230.1, AT5G61030.1, AT1G18630.1, AT4G13850.1, AT3G23830.1, AT5G47320.1, AT4G13860.1	ENSP00000465338, ENSP00000467848, ENSP00000467734, ENSP00000468788, ENSP00000466207, ENSP00000322887, ENSP00000465779, ENSP00000466110, ENSP00000467948, ENSP00000468645, ENSP00000467449, ENSP00000464906, ENSP00000465558, ENSP00000466897, ENSP00000486590, ENSP00000412831, ENSP00000466025, ENSP00000465077, ENSP00000466712, ENSP00000465334, ENSP00000468097, ENSP00000365950, ENSP00000365946, ENSP00000466238, ENSP00000467138, ENSP00000467307, ENSP00000466216, ENSP00000467028, ENSP00000467876, ENSP00000467791, ENSP00000465114, ENSP00000464830, ENSP00000468016, ENSP00000464728, ENSP00000468229, ENSP00000490152
OG0000053	AT5G20240.1, AT3G54340.1, AT5G23260.4, AT1G71692.1, AT1G26310.1, AT1G69120.1, AT5G60910.1, AT3G30260.1, AT2G03710.1, AT3G02310.1, AT5G15800.2, AT1G24260.2, AT3G61120.1, AT2G45650.1, AT4G11880.1, AT4G22950.1, AT5G51860.1, AT5G51870.3, AT5G62165.1, AT2G45660.1, AT3G58780.4, AT2G42830.2, AT4G18960.1, AT4G09960.4, AT4G37940.1, AT2G22630.1, AT2G14210.2, AT3G57230.1, AT3G57390.1, AT5G13790.2, AT4G24540.1, AT2G22540.1	ENSP00000426465, ENSP00000490473, ENSP00000340874, ENSP00000389610, ENSP00000487430, ENSP00000487538, ENSP00000490354, ENSP00000421925, ENSP00000396219, ENSP00000425636, ENSP00000423656, ENSP00000485972, ENSP00000423826, ENSP00000427286, ENSP00000346389, ENSP00000489865, ENSP00000453478, ENSP00000452989
OG0000054	AT1G26370.1	ENSP00000458925, ENSP00000225296
OG0000054	AT4G18465.1	ENSP00000362422, ENSP00000362420, ENSP00000252011
OG0000054	AT1G27900.1	ENSP00000251241
OG0000054	AT5G13010.1	ENSP00000268482
OG0000054	AT5G14900.1, AT2G47250.1, AT3G62310.1	ENSP00000336741, ENSP00000284690
OG0000054	AT3G26560.1	ENSP00000262415, ENSP00000496923, ENSP00000437886
OG0000054	AT4G16680.2, AT2G35340.1, AT1G32490.1	ENSP00000390938, ENSP00000373071, ENSP00000393958, ENSP00000396193, ENSP00000408956, ENSP00000365625, ENSP00000391789, ENSP00000389862, ENSP00000405391, ENSP00000409038, ENSP00000365620, ENSP00000373070, ENSP00000412716, ENSP00000409558, ENSP00000409091, ENSP00000406462
OG0000055	AT5G01670.2, AT2G37790.1, AT2G37770.2, AT3G53880.1, AT2G37760.1, AT5G62420.1, AT2G21250.1, AT2G21260.1	ENSP00000480713, ENSP00000361140, ENSP00000312606, ENSP00000397042, ENSP00000402374, ENSP00000389197, ENSP00000242375, ENSP00000401327, ENSP00000369927, ENSP00000474882, ENSP00000392694, ENSP00000370129, ENSP00000370254, ENSP00000369814, ENSP00000263126, ENSP00000352584, ENSP00000397009, ENSP00000389289, ENSP00000414399, ENSP00000285930
OG0000056	AT2G26300.1	ENSP00000078429, ENSP00000286548, ENSP00000365807, ENSP00000358867, ENSP00000391439, ENSP00000497773, ENSP00000497260, ENSP00000497051, ENSP00000497717, ENSP00000498091, ENSP00000497760, ENSP00000497765, ENSP00000497179, ENSP00000496800, ENSP00000496829, ENSP00000497754, ENSP00000497379, ENSP00000410572, ENSP00000497315, ENSP00000343027, ENSP00000266027, ENSP00000395736, ENSP00000406871, ENSP00000406369, ENSP00000312999, ENSP00000478892, ENSP00000262493, ENSP00000262494, ENSP00000491223, ENSP00000232461, ENSP00000387555, ENSP00000381339, ENSP00000251337
OG0000062	AT4G01370.1, AT1G01560.2, AT2G46070.3, AT4G11330.1, AT1G07880.2, AT2G43790.1, AT3G59790.1, AT3G45640.1, AT1G59580.1, AT1G10210.1, AT4G36450.1, AT2G18170.1	ENSP00000211287, ENSP00000215659, ENSP00000229795, ENSP00000419837, ENSP00000229794, ENSP00000308669, ENSP00000379113, ENSP00000333685, ENSP00000432742, ENSP00000381803, ENSP00000215832, ENSP00000440842, ENSP00000327293, ENSP00000378628, ENSP00000263025, ENSP00000432479, ENSP00000433746, ENSP00000378625, ENSP00000378626, ENSP00000311005, ENSP00000378966, ENSP00000378968, ENSP00000483093, ENSP00000337691
OG0000063	AT1G07110.1	ENSP00000232375, ENSP00000373240, ENSP00000393047, ENSP00000407657, ENSP00000388394, ENSP00000364145, ENSP00000364131, ENSP00000480232, ENSP00000390285, ENSP00000444074, ENSP00000356047, ENSP00000356046, ENSP00000432356, ENSP00000436885, ENSP00000433771, ENSP00000486311, ENSP00000492001, ENSP00000487277, ENSP00000369111, ENSP00000353712, ENSP00000369105, ENSP00000369100, ENSP00000443319, ENSP00000369115, ENSP00000434628
OG0000064	AT5G04430.2	ENSP00000322341, ENSP00000417196, ENSP00000348111, ENSP00000418925, ENSP00000383159, ENSP00000401198, ENSP00000383164, ENSP00000383163, ENSP00000383160, ENSP00000383168, ENSP00000383165, ENSP00000390304, ENSP00000388008, ENSP00000449070, ENSP00000352228, ENSP00000352438, ENSP00000448762, ENSP00000448927, ENSP00000408949, ENSP00000305556, ENSP00000448847, ENSP00000447068, ENSP00000449062, ENSP00000448672, ENSP00000456412, ENSP00000447670, ENSP00000394116
OG0000066	AT1G07820.1, AT3G46320.1, AT3G45930.1, AT1G07660.1, AT5G59970.1, AT2G28740.1, AT3G53730.1, AT5G59690.1	ENSP00000347168, ENSP00000489236, ENSP00000481343, ENSP00000478786, ENSP00000366974, ENSP00000482412, ENSP00000489567, ENSP00000479461, ENSP00000479794, ENSP00000366956, ENSP00000478519, ENSP00000479106, ENSP00000480960, ENSP00000484789, ENSP00000481507, ENSP00000489319, ENSP00000244537, ENSP00000350767, ENSP00000481486, ENSP00000462667, ENSP00000462355, ENSP00000367034, ENSP00000443017
OG0000067	AT1G51060.1, AT3G20670.1, AT5G54640.1, AT4G27230.1, AT5G59870.1	ENSP00000364310, ENSP00000434024, ENSP00000483842, ENSP00000303373, ENSP00000351589, ENSP00000352627, ENSP00000482431, ENSP00000352119, ENSP00000482538, ENSP00000341094, ENSP00000366679, ENSP00000328484, ENSP00000489536, ENSP00000489311, ENSP00000355656, ENSP00000493926, ENSP00000321389, ENSP00000473534, ENSP00000367022, ENSP00000475814, ENSP00000358155, ENSP00000297012, ENSP00000332790, ENSP00000332194, ENSP00000438553, ENSP00000373730
OG0000068	AT4G33090.1	ENSP00000261180, ENSP00000400376, ENSP00000369235, ENSP00000421849, ENSP00000425758, ENSP00000421175, ENSP00000427573, ENSP00000231368, ENSP00000379117, ENSP00000406304, ENSP00000296754, ENSP00000265162, ENSP00000320324, ENSP00000437019, ENSP00000433287, ENSP00000436733, ENSP00000435639, ENSP00000435966
OG0000076	AT3G46980.4, AT2G38060.2, AT4G00370.1, AT2G29650.1, AT5G20380.2, AT5G44370.1	ENSP00000348019, ENSP00000353677, ENSP00000265425, ENSP00000367081, ENSP00000391345, ENSP00000380266, ENSP00000367137, ENSP00000420614, ENSP00000367118, ENSP00000420546, ENSP00000244527, ENSP00000421855, ENSP00000424027, ENSP00000353873, ENSP00000355307, ENSP00000380250, ENSP00000263160, ENSP00000221485, ENSP00000470338, ENSP00000376715, ENSP00000316909, ENSP00000472086
OG0000080	AT5G52260.1	ENSP00000432042
OG0000080	AT3G09230.1, AT2G39880.1, AT3G55730.1, AT3G50060.1, AT5G67300.1, AT2G23290.1, AT4G37260.1, AT2G13960.1, AT5G02320.1, AT3G09370.3, AT5G11510.1, AT4G32730.2, AT1G43330.1, AT4G00540.1, AT4G18770.1, AT5G11050.1, AT5G58850.1, AT5G40430.1, AT2G25230.1, AT5G40360.1, AT3G27785.1	ENSP00000436925, ENSP00000434917, ENSP00000390460, ENSP00000436385, ENSP00000435497, ENSP00000436602, ENSP00000437081, ENSP00000437264, ENSP00000435578, ENSP00000434816, ENSP00000432948, ENSP00000432168, ENSP00000432877, ENSP00000435293, ENSP00000433458, ENSP00000341050, ENSP00000432811, ENSP00000434639, ENSP00000433227, ENSP00000479896, ENSP00000356788, ENSP00000410825, ENSP00000436605, ENSP00000433745, ENSP00000434420, ENSP00000435595, ENSP00000435938, ENSP00000356786, ENSP00000477898, ENSP00000326328, ENSP00000435055, ENSP00000434723, ENSP00000339992, ENSP00000432851, ENSP00000434675, ENSP00000403387, ENSP00000413011, ENSP00000434795, ENSP00000433844
OG0000081	AT2G25880.3, AT4G32830.1, AT2G45490.1	ENSP00000405042, ENSP00000388073, ENSP00000393452, ENSP00000379243, ENSP00000379250, ENSP00000360407, ENSP00000321591, ENSP00000216911, ENSP00000379251, ENSP00000379249, ENSP00000379247, ENSP00000313950, ENSP00000462207, ENSP00000463999, ENSP00000462930, ENSP00000462027, ENSP00000464031, ENSP00000463636, ENSP00000462858, ENSP00000443869, ENSP00000471830, ENSP00000302898, ENSP00000469983, ENSP00000407162, ENSP00000469894, ENSP00000406798
OG0000081	AT1G45160.2	ENSP00000401358
OG0000081	AT2G38490.1, AT5G01820.1, AT2G30360.1, AT5G10930.1, AT2G25090.1, AT5G25110.1	ENSP00000483424, ENSP00000386017
OG0000081	AT5G21222.1	ENSP00000261402
OG0000082	AT3G52280.2, AT2G34900.1, AT5G46550.1	ENSP00000401791, ENSP00000363964, ENSP00000382445, ENSP00000382444, ENSP00000363958, ENSP00000372588, ENSP00000449380, ENSP00000449609, ENSP00000391246, ENSP00000399009, ENSP00000382443, ENSP00000412885, ENSP00000410994, ENSP00000378702, ENSP00000413845, ENSP00000435693, ENSP00000436322, ENSP00000434978, ENSP00000414641, ENSP00000475691, ENSP00000400369, ENSP00000390267, ENSP00000402220, ENSP00000409613, ENSP00000406118, ENSP00000400737, ENSP00000404221, ENSP00000405634, ENSP00000409145, ENSP00000470481, ENSP00000353112, ENSP00000360901, ENSP00000360900, ENSP00000486621, ENSP00000470108, ENSP00000378038, ENSP00000359416, ENSP00000387822, ENSP00000354568, ENSP00000384051, ENSP00000404969
OG0000093	AT1G19250.1, AT5G45180.1	ENSP00000476963
