Orthogroup	neurospora	yeast
OG0000092	EAA31948	YHR107C_mRNA
OG0000092	ESA42882	YLR314C_mRNA
OG0000093	EAA28865, EAA33706, EAA31866	YHR176W_mRNA
OG0000103	EAA35652	YNR047W_mRNA, YGR092W_mRNA, YPR111W_mRNA
OG0000103	ESA44058	YBR028C_mRNA
OG0000104	EAA31968	YHL036W_mRNA
OG0000107	EAA27251	YLL034C_mRNA
OG0000107	ESA43229	YDL126C_mRNA
OG0000107	EAA36040	YNL329C_mRNA
OG0000107	EAA34641	YKL197C_mRNA
OG0000108	EAA30913	YBR062C_mRNA
OG0000109	EAA35740	YML056C_mRNA, YAR073W_mRNA, YHR216W_mRNA, YLR432W_mRNA
OG0000110	EAA26722, ESA42531	YOL061W_mRNA
OG0000110	EAA32555	YKL181W_mRNA
OG0000110	ESA43033	YER099C_mRNA, YBL068W_mRNA, YHL011C_mRNA
OG0000111	EAA36481	YGR241C_mRNA, YHR161C_mRNA
OG0000113	EAA31098	YDR432W_mRNA
OG0000117	EAA27445	YDL052C_mRNA
OG0000121	EAA35226, ESA44100	YDR099W_mRNA, YER177W_mRNA
OG0000122	EAA27416, EAA31135	YGL006W_mRNA
OG0000126	EAA28028	YMR169C_mRNA, YMR170C_mRNA
OG0000126	EAA27626	YOR374W_mRNA, YER073W_mRNA, YPL061W_mRNA
OG0000127	EAA33926	YGL073W_mRNA
OG0000127	EAA30305	YJR147W_mRNA
OG0000127	EAA33913	YOR140W_mRNA
OG0000128	EAA31211	YGL019W_mRNA
OG0000128	EDO65315	YOR039W_mRNA
OG0000129	ESA42137	YDR172W_mRNA
OG0000129	EAA35632	YPR080W_mRNA, YBR118W_mRNA
OG0000131	EAA32372	YDL155W_mRNA, YLR210W_mRNA
OG0000131	EAA34615	YPR120C_mRNA, YGR109C_mRNA, YGR108W_mRNA, YPR119W_mRNA
OG0000135	EAA31896	YOR014W_mRNA
OG0000137	EAA26918	YER133W_mRNA
OG0000137	ESA43764	YPL179W_mRNA, YDR436W_mRNA, YML016C_mRNA
OG0000141	EAA28009, EAA28099, ESA42823	YJR040W_mRNA
OG0000142	EAA27940	YLR299W_mRNA
OG0000143	EAA27468	YOR212W_mRNA
OG0000145	EAA34489	YPL015C_mRNA
OG0000145	EAA31136	YDL042C_mRNA, YOL068C_mRNA
OG0000145	EAA29880	YOR025W_mRNA
OG0000146	EAA30694	YPL190C_mRNA
OG0000149	ESA42617	YGL115W_mRNA
OG0000150	ESA43171	YLR229C_mRNA
OG0000151	EAA27119	YDR006C_mRNA
OG0000152	ESA42630	YHR128W_mRNA
OG0000152	EAA32648	YNR012W_mRNA
OG0000153	ESA44269	YML078W_mRNA, YDR155C_mRNA
OG0000153	EAA26627	YLR216C_mRNA
OG0000153	ESA42515	YHR057C_mRNA, YDR304C_mRNA
OG0000154	EAA36176, EAA36073, EAA28688, EAA26709	YDR371W_mRNA
OG0000157	EDO64883	YIL015W_mRNA
OG0000157	EAA30681	YPL154C_mRNA
OG0000158	ESA43520	YPL091W_mRNA
OG0000159	EAA27505	YHR132C_mRNA
OG0000160	ESA43035	YKR054C_mRNA
OG0000164	EAA29678	YDR488C_mRNA
OG0000171	EAA31461	YDL168W_mRNA
OG0000172	EAA33043	YBL034C_mRNA
OG0000173	EAA26611, ESA42557	YNL167C_mRNA
OG0000174	EAA26626	YKL092C_mRNA
OG0000181	EAA29675	YER007W_mRNA
OG0000182	EAA35644	YDR126W_mRNA, YLR246W_mRNA
OG0000183	EAA28591	YAL022C_mRNA
OG0000185	EAA29359	YKL209C_mRNA
OG0000187	ESA41880	YFR040W_mRNA, YGL229C_mRNA, YKR028W_mRNA, YJL098W_mRNA
OG0000188	EAA32368	YMR176W_mRNA
OG0000189	EAA28255	YOR117W_mRNA
OG0000189	EAA29624	YOR259C_mRNA
OG0000189	EAA32354	YDL007W_mRNA
OG0000189	EAA30668	YDR394W_mRNA
OG0000191	ESA44317	YAR042W_mRNA, YDL019C_mRNA
OG0000193	EAA30697	YDR059C_mRNA, YBR082C_mRNA
OG0000193	EAA34737	YGR133W_mRNA
OG0000193	EAA27688	YDR177W_mRNA
OG0000196	ESA43052	YKR034W_mRNA, YJL110C_mRNA
OG0000196	EAA34560	YFL021W_mRNA, YER040W_mRNA
OG0000199	EAA33211	YNL274C_mRNA
OG0000199	EAA32454	YPL113C_mRNA
OG0000201	EAA31999, ESA41937	YPL232W_mRNA, YMR183C_mRNA
OG0000203	EAA30996	YLR206W_mRNA, YDL161W_mRNA
OG0000204	EAA27947, ESA43185	YLL013C_mRNA
OG0000205	EAA34997	YPL081W_mRNA, YBR189W_mRNA
OG0000211	EDO65189, EAA36333, EAA29581	YPL088W_mRNA
OG0000214	EAA28433	YFL037W_mRNA
OG0000217	ESA42262	YMR110C_mRNA
OG0000218	EAA28158	YBR241C_mRNA, YGL104C_mRNA
OG0000220	EAA33123	YGL106W_mRNA
OG0000226	ESA44308, EAA33651, EAA33027	YCR083W_mRNA, YGR209C_mRNA, YLR043C_mRNA
OG0000228	ESA42677	YOL123W_mRNA
OG0000230	EAA32037	YPL270W_mRNA, YLR188W_mRNA
OG0000230	EAA27101	YMR301C_mRNA
OG0000238	EAA27232	YPR024W_mRNA
OG0000238	EAA27520	YER017C_mRNA, YMR089C_mRNA
OG0000239	EAA27486	YDL047W_mRNA
OG0000239	EAA33278	YDR075W_mRNA
OG0000239	EAA33034	YNR032W_mRNA
OG0000241	EAA28074	YPL140C_mRNA, YOR231W_mRNA
OG0000241	ESA44311	YJL128C_mRNA
OG0000241	ESA42405	YDL159W_mRNA
OG0000242	EAA28465	YLL019C_mRNA
OG0000243	EAA32185	YAR019C_mRNA
OG0000243	ESA42644, ESA44257, ESA43904	YDR523C_mRNA
OG0000245	EAA26762	YKR048C_mRNA
OG0000246	EAA31949	YGL059W_mRNA
OG0000246	ESA42969	YIL042C_mRNA
OG0000255	ESA42388, EAA34916, EAA32734	YHR032W_mRNA, YDR338C_mRNA
OG0000256	EAA29597	YOR161C_mRNA
OG0000257	EAA28430	YFR009W_mRNA
OG0000257	EAA29453	YER036C_mRNA
OG0000258	ESA42428, EAA36352	YKL029C_mRNA
OG0000259	EAA35271	YKL140W_mRNA
OG0000260	EAA26818	YMR054W_mRNA, YOR270C_mRNA
OG0000261	EAA35464	YAL058W_mRNA
OG0000262	EAA28126	YER023W_mRNA
OG0000267	EAA31416	YNL189W_mRNA
OG0000268	EAA30731	YDR358W_mRNA, YHR108W_mRNA
OG0000278	EAA36533	YMR205C_mRNA, YGR240C_mRNA
OG0000281	EAA30337, EAA30175, EAA36477	YDL138W_mRNA, YDL194W_mRNA
OG0000281	EAA30935, EAA26765	YJL219W_mRNA, YOL156W_mRNA, YHR094C_mRNA, YDR345C_mRNA, YHR096C_mRNA, YLR081W_mRNA, YJL214W_mRNA, YDR342C_mRNA, YDR343C_mRNA, YHR092C_mRNA, YFL011W_mRNA, YMR011W_mRNA, YEL069C_mRNA, YNR072W_mRNA, YJR158W_mRNA, YDL245C_mRNA, YNL318C_mRNA
OG0000281	EAA30380, EAA34662, EAA31311, EAA30764, EAA30327, EAA30346, EAA34105, EAA32986, EAA31323, EAA34565, EAA35116, EAA34637, EDO65064, EAA30608, EAA28188, EAA27255, EAA31803, EAA29701, EAA35128	YDR536W_mRNA
OG0000283	EAA33446	YJL085W_mRNA
OG0000284	ESA43406	YDR328C_mRNA
OG0000285	EAA35093	YGR094W_mRNA
OG0000286	ESA44376, ESA43991	YPR052C_mRNA
OG0000288	EAA35695	YNL037C_mRNA
OG0000288	EAA33047	YOR136W_mRNA
OG0000288	EAA36105	YIL094C_mRNA
OG0000292	EAA31679	YKR090W_mRNA
OG0000296	EAA29668, EAA33987	YML085C_mRNA, YML124C_mRNA
OG0000299	EDO65226	YOL094C_mRNA
OG0000299	EAA34161	YNL290W_mRNA
OG0000299	EAA36224	YJR068W_mRNA
OG0000300	EAA32183	YGL012W_mRNA
OG0000300	EAA26875	YNL280C_mRNA
OG0000301	ESA43231	YBL049W_mRNA
OG0000303	EAA36111	YMR018W_mRNA, YDR244W_mRNA
OG0000310	EAA31577	YGR132C_mRNA
OG0000310	EAA35251	YGR231C_mRNA
OG0000312	EAA33666	YLR128W_mRNA
OG0000313	EAA26599	YMR058W_mRNA, YFL041W_mRNA
OG0000313	EAA28691	YDR506C_mRNA
OG0000315	EAA33423	YJR058C_mRNA
OG0000315	EDO65136	YLR170C_mRNA
OG0000316	EAA30478	YPL196W_mRNA
OG0000317	EAA31414	YIL026C_mRNA
OG0000318	EAA30274, EAA32060	YDR519W_mRNA
OG0000318	EAA26908	YNL135C_mRNA
OG0000319	ESA42216	YIL038C_mRNA, YPR072W_mRNA
OG0000321	EAA35478, EAA32291, ESA42849	YDR379W_mRNA, YOR127W_mRNA
OG0000325	EAA26571	YER169W_mRNA, YDR096W_mRNA
OG0000326	EAA36410	YOR219C_mRNA, YHR028C_mRNA
OG0000328	EAA31780	YLR176C_mRNA
OG0000339	ESA43042	YLR072W_mRNA, YFL042C_mRNA
OG0000340	EAA34299	YIL030C_mRNA
OG0000343	EAA26929	YJL197W_mRNA
OG0000344	EAA28982	YBR109C_mRNA
OG0000345	EAA33060	YJR138W_mRNA
OG0000359	EAA35821	YNL305C_mRNA
OG0000360	EAA31846, EAA31051	YHR208W_mRNA, YJR148W_mRNA
OG0000363	ESA43995	YDR510W_mRNA
OG0000364	EAA35890	YER095W_mRNA
OG0000365	EAA30025	YPR033C_mRNA
OG0000370	EAA31697, ESA43410	YDR481C_mRNA
OG0000374	EAA30539	YGR056W_mRNA, YLR357W_mRNA
OG0000378	EAA35828, EAA30878	YKR013W_mRNA, YJL079C_mRNA, YJL078C_mRNA
OG0000379	EAA32552	YJR063W_mRNA
OG0000381	EAA33391, EAA33051	YKR051W_mRNA
OG0000382	EAA32982	YIL023C_mRNA
OG0000383	EAA36265, ESA44169	YMR323W_mRNA, YOR393W_mRNA, YPL281C_mRNA, YHR174W_mRNA, YGR254W_mRNA
OG0000384	EAA35747	YOR061W_mRNA, YIL035C_mRNA
OG0000388	ESA42670	YKL067W_mRNA
OG0000389	ESA42798	YOR171C_mRNA, YLR260W_mRNA
OG0000390	EAA34869	YKL129C_mRNA, YMR109W_mRNA
OG0000391	EAA28170	YJR129C_mRNA
OG0000392	EAA36226	YDL240W_mRNA
OG0000394	ESA43744	YLR422W_mRNA
OG0000400	ESA43659	YLL050C_mRNA
OG0000402	ESA43205	YOR156C_mRNA, YDR409W_mRNA
OG0000403	EAA32272	YNL007C_mRNA
OG0000404	EAA29807, EAA34182	YOL122C_mRNA, YLR034C_mRNA, YHR050W_mRNA
OG0000405	EDO65150	YGL087C_mRNA
OG0000406	EAA36230	YGL001C_mRNA
OG0000407	EAA30155	YLR078C_mRNA
OG0000408	ESA43397	YJR110W_mRNA
OG0000409	EAA26920	YPR031W_mRNA
OG0000410	EAA27280	YIL106W_mRNA
OG0000411	EAA31714	YIL114C_mRNA, YNL055C_mRNA
OG0000413	ESA44062	YNL238W_mRNA
OG0000419	ESA42451	YDR272W_mRNA, YOR040W_mRNA
OG0000421	EAA34794	YMR190C_mRNA
OG0000422	EAA34715	YPR103W_mRNA
OG0000423	EAA29793	YNR052C_mRNA
OG0000424	EAA31189	YER165W_mRNA
OG0000425	EAA28294	YCL033C_mRNA
OG0000426	ESA42411	YER089C_mRNA, YBL056W_mRNA
OG0000428	EAA31371	YMR020W_mRNA
OG0000429	EAA31251	YGR127W_mRNA
OG0000431	EAA33897	YJL141C_mRNA
OG0000432	EAA35085	YER173W_mRNA
OG0000434	EAA34502	YFR028C_mRNA
OG0000436	ESA42235	YHL007C_mRNA
OG0000436	EAA28056	YNL298W_mRNA
OG0000445	EAA34392	YPR023C_mRNA
OG0000446	ESA43266	YOR358W_mRNA
OG0000448	ESA41841	YGL054C_mRNA, YBR210W_mRNA
OG0000449	EAA33487	YNL016W_mRNA
OG0000450	EAA30376, EAA33146	YHR046C_mRNA, YDR287W_mRNA
OG0000453	ESA44382, EAA27144	YNL097C_mRNA, YHR090C_mRNA, YOR064C_mRNA
OG0000454	EAA34685	YMR287C_mRNA
OG0000454	EAA34551	YOL021C_mRNA
OG0000454	EAA32327	YDR293C_mRNA
OG0000455	EAA32062	YMR186W_mRNA, YPL240C_mRNA
OG0000457	EAA32762	YER122C_mRNA
OG0000458	EAA28478	YER016W_mRNA
OG0000459	EAA32899	YBR196C_mRNA
OG0000464	EAA34044	YJL059W_mRNA
OG0000469	EAA33466	YAR008W_mRNA
OG0000477	EAA35856	YGR003W_mRNA
OG0000478	EAA27300	YER171W_mRNA
OG0000481	ESA42667	YDL079C_mRNA, YMR139W_mRNA
OG0000482	ESA43073	YPL106C_mRNA, YBR169C_mRNA
OG0000484	EAA35588	YPR010C_mRNA
OG0000484	EAA27959	YOR207C_mRNA
OG0000484	EAA27870	YOR151C_mRNA
OG0000485	EAA28956	YBR042C_mRNA, YDR018C_mRNA
OG0000486	ESA44053	YDR147W_mRNA, YLR133W_mRNA
OG0000488	EAA32539, EAA35735	YKL150W_mRNA
OG0000488	EAA27365, EAA35955	YIL043C_mRNA
OG0000492	EAA34785	YPL169C_mRNA
OG0000494	EDO65436	YOR291W_mRNA
OG0000508	EAA31384	YPL259C_mRNA
OG0000508	EAA31527	YOL062C_mRNA
OG0000510	ESA43982	YGL190C_mRNA
OG0000511	EAA28510	YER116C_mRNA
OG0000513	EAA27536	YDR456W_mRNA
OG0000514	EAA36459	YGR012W_mRNA
OG0000514	EAA30070	YGR155W_mRNA
OG0000515	ESA44356, EAA34626	YGR159C_mRNA
OG0000516	EAA35865	YGR091W_mRNA
OG0000517	EAA27155	YLR234W_mRNA
OG0000518	ESA43889	YGR223C_mRNA
OG0000519	ESA43044	YLR410W_mRNA
OG0000520	EAA33433	YKL165C_mRNA
OG0000522	ESA41804	YPR032W_mRNA, YBL106C_mRNA
OG0000523	EAA35869	YDR515W_mRNA, YCL037C_mRNA
OG0000526	EAA33855	YPL203W_mRNA, YKL166C_mRNA, YJL164C_mRNA
OG0000528	EAA33885, EAA32559	YIL172C_mRNA, YJL221C_mRNA, YOL157C_mRNA, YGR287C_mRNA, YBR299W_mRNA, YGR292W_mRNA, YJL216C_mRNA
OG0000540	EAA33618	YCR028C_mRNA
OG0000540	EAA33705, EAA30639	YAL067C_mRNA, YGR065C_mRNA
OG0000540	EAA29750, EAA29294	YIL166C_mRNA
OG0000540	EAA33607	YOL162W_mRNA
OG0000540	EAA29484, EAA36190	YLL055W_mRNA, YLR004C_mRNA, YJR152W_mRNA
OG0000540	EAA35702, EAA31409, EAA31532, EAA27182, EAA34340, EAA31245, EAA30785, EAA26911, EAA34043	YGR260W_mRNA
OG0000542	EAA27736, EAA32663	YER031C_mRNA, YGL210W_mRNA
OG0000544	ESA42861	YDL165W_mRNA
OG0000545	EAA31779	YKL094W_mRNA
OG0000546	EAA33032	YDL135C_mRNA
OG0000548	EAA32675	YEL034W_mRNA, YJR047C_mRNA
OG0000549	EAA28811	YLR200W_mRNA
OG0000551	AGG16016	Q0130_mRNA
OG0000552	EAA28786	YER042W_mRNA
OG0000554	EAA36382	YLR142W_mRNA
OG0000555	EAA29450, EAA34012	YIL125W_mRNA
OG0000556	ESA42873	YMR167W_mRNA
OG0000558	EAA33765	YDR232W_mRNA
OG0000559	ESA42329	YDL205C_mRNA
OG0000583	EAA33910	YFL038C_mRNA
OG0000583	EAA33006	YFL005W_mRNA
OG0000587	EAA29046	YPR141C_mRNA
OG0000591	EAA35450	YJR085C_mRNA
OG0000592	EAA34693	YPL147W_mRNA
OG0000592	EAA27938	YKL188C_mRNA
OG0000593	EAA27132	YLR277C_mRNA
OG0000594	EAA28683	YKL026C_mRNA, YIR037W_mRNA, YBR244W_mRNA
OG0000595	EAA32014	YLR253W_mRNA
OG0000596	EAA27992	YLL026W_mRNA
OG0000596	EAA34819	YDR258C_mRNA
OG0000597	EAA26815	YMR101C_mRNA, YBR002C_mRNA
OG0000598	ESA43894	YPR001W_mRNA
OG0000598	EAA27662	YNR001C_mRNA, YCR005C_mRNA
OG0000599	EAA35193	YPR048W_mRNA
OG0000599	EAA32237, EAA28456	YFR030W_mRNA
OG0000599	EAA35207	YHR042W_mRNA
OG0000600	ESA41917	YAL038W_mRNA, YOR347C_mRNA
OG0000601	EAA35131	YNL330C_mRNA
OG0000601	EAA35215	YGL194C_mRNA
OG0000602	EAA26533	YDR190C_mRNA
OG0000602	EAA34092	YPL235W_mRNA
OG0000603	EAA27423	YBR201W_mRNA, YDR411C_mRNA
OG0000604	EAA31915	YGL246C_mRNA
OG0000605	EAA33358	YGR110W_mRNA
OG0000606	EAA26965	YNL083W_mRNA
OG0000607	EAA32981	YOR244W_mRNA
OG0000608	EAA35657	YDL084W_mRNA
OG0000609	EAA29487	YBR172C_mRNA
OG0000611	ESA42472	YLR433C_mRNA, YML057W_mRNA
OG0000613	ESA43505	YPR165W_mRNA
OG0000613	EAA27525, EAA32796, ESA43610	YNL090W_mRNA
OG0000623	ESA42597	YJL137C_mRNA, YKR058W_mRNA
OG0000624	EAA33758	YLR362W_mRNA
OG0000624	EAA34928	YNR031C_mRNA, YCR073C_mRNA
OG0000624	ESA42029	YHR102W_mRNA
OG0000627	EAA27462	YDL006W_mRNA
OG0000628	EAA30707	YML131W_mRNA
OG0000629	EAA35037	YJR131W_mRNA
OG0000630	EAA28496	YBL039C_mRNA, YJR103W_mRNA
OG0000631	EAA28016	YPR041W_mRNA
OG0000632	EAA36444	YLR163C_mRNA, YBL045C_mRNA
OG0000632	EAA33638	YHR024C_mRNA
OG0000634	EAA35388	YMR260C_mRNA
OG0000635	ESA44159	YMR216C_mRNA
OG0000637	EAA35009, EAA33860, EDO64907	YPL268W_mRNA
OG0000640	EAA36202	YOR245C_mRNA
OG0000641	ESA42020	YGR216C_mRNA
OG0000642	EAA32656	YJR005W_mRNA
OG0000642	EAA29724	YKL135C_mRNA
OG0000643	ESA42241	YGL047W_mRNA
OG0000644	EAA28284	YBR046C_mRNA
OG0000646	EAA36080	YER170W_mRNA
OG0000646	EAA27017	YDR226W_mRNA
OG0000647	EAA34982	YGL167C_mRNA
OG0000653	EAA30233	YBL060W_mRNA
OG0000653	ESA42621	YPR095C_mRNA
OG0000654	EAA27351	YLR429W_mRNA
OG0000671	EAA27065	YPR129W_mRNA
OG0000672	ESA42252, ESA43575	YOR022C_mRNA
OG0000674	EAA27607	YOR310C_mRNA
OG0000674	EAA28813	YLR197W_mRNA
OG0000675	EAA26775	YNR023W_mRNA, YCR052W_mRNA
OG0000676	EDO65159	YDL008W_mRNA
OG0000677	EAA30969	YHR188C_mRNA
OG0000678	EAA32044	YKL179C_mRNA
OG0000680	ESA43387, EDO64988	YMR214W_mRNA
OG0000680	EAA29179	YPR061C_mRNA, YNL064C_mRNA
OG0000681	ESA43153	YGR162W_mRNA
OG0000684	EAA35175	YKR003W_mRNA
OG0000686	EAA35206	YIL129C_mRNA
OG0000698	ESA42871	YLR452C_mRNA
OG0000706	EAA30394	YHR116W_mRNA
OG0000707	ESA43946	YLR180W_mRNA, YDR502C_mRNA
OG0000708	EAA32590	YBL022C_mRNA
OG0000710	ESA42409	YNL024C_mRNA
OG0000710	EAA32248, EAA35775	YBR271W_mRNA
OG0000712	EAA35250	YDR139C_mRNA
OG0000713	EAA27741	YGR192C_mRNA, YJR009C_mRNA, YJL052W_mRNA
OG0000714	EAA28353	YDR089W_mRNA
OG0000714	EAA34968	YDR414C_mRNA
OG0000714	EAA31925	YIL047C_mRNA
OG0000717	EAA33425	YNL265C_mRNA
OG0000718	EAA32243	YJL177W_mRNA, YKL180W_mRNA
OG0000719	EAA33144	YGR037C_mRNA
OG0000721	EAA36433	YPL010W_mRNA
OG0000722	EAA36008	YDR270W_mRNA
OG0000723	EAA29577	YHL032C_mRNA
OG0000725	EAA30360	YDR211W_mRNA
OG0000726	EAA32710	YNL155W_mRNA
OG0000727	EAA34536	YGR257C_mRNA
OG0000729	ESA42803	YER043C_mRNA
OG0000731	EAA35575, EAA26716	YOR089C_mRNA
OG0000734	EAA27963	YMR121C_mRNA, YLR029C_mRNA
OG0000735	EAA28142	YFR044C_mRNA
OG0000735	EAA30930	YBR281C_mRNA
OG0000738	ESA44134	YLL010C_mRNA, YLR019W_mRNA
OG0000741	EAA30479	YOR278W_mRNA
OG0000751	ESA43416	YJR060W_mRNA
OG0000762	EAA33289	YDR164C_mRNA
OG0000766	EAA35876	YDR019C_mRNA
OG0000768	EAA34274	YDL195W_mRNA
OG0000769	EAA32281, EAA35184	YJR049C_mRNA, YEL041W_mRNA
OG0000769	EAA28957	YPL188W_mRNA
OG0000770	EAA33977	YKL152C_mRNA, YDL021W_mRNA, YOL056W_mRNA, YOR283W_mRNA
OG0000771	EAA34277	YLR038C_mRNA
OG0000773	EAA36528	YNL263C_mRNA
OG0000775	EAA36106	YLR069C_mRNA
OG0000775	EAA32924	YJL102W_mRNA
OG0000776	EAA34951	YMR236W_mRNA
OG0000777	EAA32053	YBR074W_mRNA
OG0000778	EAA29034	YPR140W_mRNA
OG0000781	EAA32677	YGL161C_mRNA
OG0000783	ESA42893	YNL201C_mRNA
OG0000784	EAA33465	YPL101W_mRNA
OG0000785	EAA28700	YPR147C_mRNA
OG0000787	EAA33311, EAA35731	YJR126C_mRNA
OG0000788	EAA34279	YOR293W_mRNA, YMR230W_mRNA
OG0000790	EAA33442	YNL138W_mRNA
OG0000794	EAA35239	YNL106C_mRNA, YOR109W_mRNA, YIL002C_mRNA
OG0000795	EAA33988	YBL047C_mRNA
OG0000796	ESA43316	YOR093C_mRNA
OG0000799	EAA32035	YGR167W_mRNA
OG0000800	EAA35413	YLR118C_mRNA
OG0000802	ESA41963	YCL011C_mRNA, YNL004W_mRNA
OG0000824	EDO65135	YLR350W_mRNA, YGR038W_mRNA
OG0000828	EAA34583, ESA42507	YMR136W_mRNA, YLR013W_mRNA, YIR013C_mRNA
OG0000830	ESA43966	YDR084C_mRNA
OG0000832	EAA36183	YGL237C_mRNA
OG0000833	EAA31566	YBR222C_mRNA
OG0000834	EAA29622	YIL147C_mRNA
OG0000836	EAA30861	YLL040C_mRNA
OG0000837	EAA33724	YNL112W_mRNA
OG0000840	EAA28504	YJL168C_mRNA
OG0000841	EAA27220	YJL060W_mRNA
OG0000842	ESA43095	YFL016C_mRNA
OG0000845	ESA42702	YHR013C_mRNA
OG0000846	EAA30202	YNL223W_mRNA
OG0000847	ESA43867	YLR006C_mRNA
OG0000849	EAA33620	YIL113W_mRNA, YNL053W_mRNA
OG0000850	EAA33753, EAA27566	YER129W_mRNA, YGL179C_mRNA
OG0000851	ESA43548	YCR033W_mRNA
OG0000853	EAA35908	YBR011C_mRNA
