Orthogroup	mouse	yeast
OG0000048	ENSMUSP00000006911, ENSMUSP00000122973, ENSMUSP00000117234, ENSMUSP00000037925, ENSMUSP00000126024, ENSMUSP00000045527, ENSMUSP00000148435, ENSMUSP00000101225, ENSMUSP00000070527, ENSMUSP00000101223, ENSMUSP00000021939, ENSMUSP00000152606, ENSMUSP00000140034	YPR161C_mRNA
OG0000048	ENSMUSP00000030814, ENSMUSP00000150873, ENSMUSP00000033380, ENSMUSP00000111021, ENSMUSP00000027697, ENSMUSP00000107981	YPL031C_mRNA
OG0000048	ENSMUSP00000026416, ENSMUSP00000026415, ENSMUSP00000134251	YBR160W_mRNA
OG0000053	ENSMUSP00000143286, ENSMUSP00000132547, ENSMUSP00000005722, ENSMUSP00000138826, ENSMUSP00000143401, ENSMUSP00000143212, ENSMUSP00000142456, ENSMUSP00000143338, ENSMUSP00000143187, ENSMUSP00000142884, ENSMUSP00000143611, ENSMUSP00000143598, ENSMUSP00000143339, ENSMUSP00000113638, ENSMUSP00000032776, ENSMUSP00000075664, ENSMUSP00000116144, ENSMUSP00000138645	YBR182C_mRNA
OG0000054	ENSMUSP00000047865	YKR086W_mRNA
OG0000054	ENSMUSP00000031061, ENSMUSP00000143069, ENSMUSP00000143658, ENSMUSP00000143381, ENSMUSP00000101745, ENSMUSP00000066067, ENSMUSP00000033290	YGL120C_mRNA
OG0000054	ENSMUSP00000119430, ENSMUSP00000037251	YER013W_mRNA
OG0000054	ENSMUSP00000133888, ENSMUSP00000025292	YNR011C_mRNA
OG0000055	ENSMUSP00000152741	YDL124W_mRNA
OG0000055	ENSMUSP00000030455, ENSMUSP00000048830, ENSMUSP00000112666, ENSMUSP00000080074, ENSMUSP00000021632, ENSMUSP00000021634, ENSMUSP00000045394, ENSMUSP00000112664, ENSMUSP00000152648, ENSMUSP00000077363, ENSMUSP00000079232, ENSMUSP00000021630, ENSMUSP00000152778, ENSMUSP00000021628, ENSMUSP00000106332, ENSMUSP00000021635, ENSMUSP00000063309, ENSMUSP00000124333, ENSMUSP00000040244, ENSMUSP00000007449, ENSMUSP00000110703, ENSMUSP00000039114, ENSMUSP00000100045, ENSMUSP00000106319, ENSMUSP00000089459	YBR149W_mRNA, YOR120W_mRNA, YDR368W_mRNA, YHR104W_mRNA
OG0000056	ENSMUSP00000043190, ENSMUSP00000025541, ENSMUSP00000025602	YER020W_mRNA
OG0000056	ENSMUSP00000000001, ENSMUSP00000074259, ENSMUSP00000142326, ENSMUSP00000057543, ENSMUSP00000036087, ENSMUSP00000124639, ENSMUSP00000034198, ENSMUSP00000114144, ENSMUSP00000148550, ENSMUSP00000119220	YHR005C_mRNA
OG0000057	ENSMUSP00000038841, ENSMUSP00000056433, ENSMUSP00000058391, ENSMUSP00000142634, ENSMUSP00000066238, ENSMUSP00000088174	YGR152C_mRNA
OG0000057	ENSMUSP00000107339, ENSMUSP00000032399, ENSMUSP00000095570, ENSMUSP00000026572, ENSMUSP00000142603, ENSMUSP00000143644, ENSMUSP00000029445, ENSMUSP00000142438, ENSMUSP00000143391, ENSMUSP00000138189, ENSMUSP00000143620, ENSMUSP00000147731, ENSMUSP00000132110, ENSMUSP00000035045, ENSMUSP00000112407, ENSMUSP00000113275, ENSMUSP00000147655	YOR101W_mRNA
OG0000062	ENSMUSP00000156387, ENSMUSP00000086207, ENSMUSP00000004990, ENSMUSP00000110402, ENSMUSP00000110400, ENSMUSP00000061958, ENSMUSP00000116914, ENSMUSP00000110406, ENSMUSP00000156692, ENSMUSP00000086204	YLR113W_mRNA
OG0000062	ENSMUSP00000088880, ENSMUSP00000156154, ENSMUSP00000065983, ENSMUSP00000111396, ENSMUSP00000146161, ENSMUSP00000051619, ENSMUSP00000101969, ENSMUSP00000146179	YBL016W_mRNA, YGR040W_mRNA
OG0000062	ENSMUSP00000104354, ENSMUSP00000078087, ENSMUSP00000116084, ENSMUSP00000154893, ENSMUSP00000087098	YHR030C_mRNA
OG0000063	ENSMUSP00000142992, ENSMUSP00000142378, ENSMUSP00000057197, ENSMUSP00000108333, ENSMUSP00000079692, ENSMUSP00000140355, ENSMUSP00000129747, ENSMUSP00000133073, ENSMUSP00000140984, ENSMUSP00000140786, ENSMUSP00000140551, ENSMUSP00000066426, ENSMUSP00000127587, ENSMUSP00000140698, ENSMUSP00000140612, ENSMUSP00000110495, ENSMUSP00000050926, ENSMUSP00000097979, ENSMUSP00000110494, ENSMUSP00000028114, ENSMUSP00000110493, ENSMUSP00000126305, ENSMUSP00000129122, ENSMUSP00000142079, ENSMUSP00000137130, ENSMUSP00000142296, ENSMUSP00000141445, ENSMUSP00000138893	YIL107C_mRNA, YJL155C_mRNA
OG0000064	ENSMUSP00000149560	YBL032W_mRNA
OG0000064	ENSMUSP00000024260, ENSMUSP00000140629, ENSMUSP00000101051, ENSMUSP00000001148, ENSMUSP00000129465, ENSMUSP00000090048, ENSMUSP00000104466, ENSMUSP00000155430, ENSMUSP00000155431, ENSMUSP00000155038, ENSMUSP00000076294, ENSMUSP00000077509, ENSMUSP00000155789, ENSMUSP00000054863, ENSMUSP00000155440, ENSMUSP00000155016, ENSMUSP00000155569, ENSMUSP00000155548, ENSMUSP00000155730, ENSMUSP00000155825, ENSMUSP00000155631, ENSMUSP00000155096, ENSMUSP00000155051, ENSMUSP00000155784, ENSMUSP00000155292, ENSMUSP00000155219, ENSMUSP00000155638, ENSMUSP00000155654, ENSMUSP00000155072	YBR233W_mRNA
OG0000066	ENSMUSP00000100546, ENSMUSP00000100029, ENSMUSP00000085006, ENSMUSP00000100042, ENSMUSP00000100036, ENSMUSP00000100037, ENSMUSP00000129930, ENSMUSP00000100048, ENSMUSP00000100033, ENSMUSP00000100030, ENSMUSP00000100044, ENSMUSP00000100032, ENSMUSP00000136357	YNL030W_mRNA, YBR009C_mRNA
OG0000067	ENSMUSP00000051432, ENSMUSP00000072989, ENSMUSP00000089345, ENSMUSP00000100034, ENSMUSP00000127684, ENSMUSP00000077477, ENSMUSP00000089339, ENSMUSP00000089335, ENSMUSP00000088281, ENSMUSP00000080088, ENSMUSP00000088285, ENSMUSP00000074310, ENSMUSP00000089336, ENSMUSP00000104445, ENSMUSP00000100581, ENSMUSP00000077814, ENSMUSP00000072858, ENSMUSP00000088288, ENSMUSP00000072227, ENSMUSP00000144974, ENSMUSP00000074142	YDR225W_mRNA, YBL003C_mRNA
OG0000068	ENSMUSP00000157186, ENSMUSP00000025358, ENSMUSP00000057449, ENSMUSP00000036998, ENSMUSP00000152076, ENSMUSP00000133166, ENSMUSP00000152705, ENSMUSP00000128872, ENSMUSP00000029658, ENSMUSP00000128169, ENSMUSP00000001480, ENSMUSP00000130445, ENSMUSP00000127127, ENSMUSP00000127801, ENSMUSP00000129361	YKL157W_mRNA, YHR047C_mRNA
OG0000078	ENSMUSP00000124586, ENSMUSP00000123928, ENSMUSP00000022566, ENSMUSP00000123888, ENSMUSP00000124467, ENSMUSP00000124207, ENSMUSP00000035980, ENSMUSP00000124906, ENSMUSP00000124213, ENSMUSP00000109514, ENSMUSP00000109515, ENSMUSP00000109510, ENSMUSP00000109516, ENSMUSP00000142905, ENSMUSP00000142911, ENSMUSP00000138258, ENSMUSP00000138461, ENSMUSP00000142615, ENSMUSP00000109508, ENSMUSP00000138668, ENSMUSP00000143779, ENSMUSP00000143086, ENSMUSP00000109505, ENSMUSP00000142769, ENSMUSP00000109517, ENSMUSP00000138243	YAL041W_mRNA
OG0000081	ENSMUSP00000028997, ENSMUSP00000104768, ENSMUSP00000104767, ENSMUSP00000104306, ENSMUSP00000021277, ENSMUSP00000147055, ENSMUSP00000083426, ENSMUSP00000146450, ENSMUSP00000147207	YPL209C_mRNA
OG0000082	ENSMUSP00000138431, ENSMUSP00000134608, ENSMUSP00000092990, ENSMUSP00000109880, ENSMUSP00000117359, ENSMUSP00000025193, ENSMUSP00000113070, ENSMUSP00000003726, ENSMUSP00000112474, ENSMUSP00000115163, ENSMUSP00000115277, ENSMUSP00000031215, ENSMUSP00000108297	YLR399C_mRNA, YDL070W_mRNA
OG0000083	ENSMUSP00000106514, ENSMUSP00000056500, ENSMUSP00000102288, ENSMUSP00000123286, ENSMUSP00000121093, ENSMUSP00000106515, ENSMUSP00000026973	YIL033C_mRNA
OG0000084	ENSMUSP00000148005, ENSMUSP00000147746, ENSMUSP00000147727, ENSMUSP00000147321, ENSMUSP00000103430, ENSMUSP00000033060, ENSMUSP00000103431, ENSMUSP00000148183, ENSMUSP00000130564, ENSMUSP00000152030, ENSMUSP00000110447, ENSMUSP00000118582, ENSMUSP00000115443, ENSMUSP00000128439, ENSMUSP00000081755, ENSMUSP00000130459, ENSMUSP00000102249, ENSMUSP00000131221, ENSMUSP00000060671, ENSMUSP00000127574, ENSMUSP00000129798, ENSMUSP00000133025, ENSMUSP00000006311, ENSMUSP00000118083, ENSMUSP00000107784, ENSMUSP00000147288	YBR083W_mRNA
OG0000085	ENSMUSP00000000199	YDR373W_mRNA
OG0000092	ENSMUSP00000018544, ENSMUSP00000103594, ENSMUSP00000103596, ENSMUSP00000060127, ENSMUSP00000112960, ENSMUSP00000156088, ENSMUSP00000156265, ENSMUSP00000094750, ENSMUSP00000156292, ENSMUSP00000101920, ENSMUSP00000101921, ENSMUSP00000146307, ENSMUSP00000117517, ENSMUSP00000120511, ENSMUSP00000120694, ENSMUSP00000108534, ENSMUSP00000127276, ENSMUSP00000132850, ENSMUSP00000136366, ENSMUSP00000027495, ENSMUSP00000110927, ENSMUSP00000127641	YLR314C_mRNA
OG0000093	ENSMUSP00000114226, ENSMUSP00000102664, ENSMUSP00000102665, ENSMUSP00000029729, ENSMUSP00000123476, ENSMUSP00000039839, ENSMUSP00000027843, ENSMUSP00000114750, ENSMUSP00000044405, ENSMUSP00000107135, ENSMUSP00000136378, ENSMUSP00000028010, ENSMUSP00000117398, ENSMUSP00000107143, ENSMUSP00000118534, ENSMUSP00000141210, ENSMUSP00000037259, ENSMUSP00000119389, ENSMUSP00000028014, ENSMUSP00000107150, ENSMUSP00000144106, ENSMUSP00000118476	YHR176W_mRNA
OG0000103	ENSMUSP00000042987, ENSMUSP00000024575, ENSMUSP00000121341, ENSMUSP00000126774, ENSMUSP00000134507, ENSMUSP00000119328, ENSMUSP00000003741, ENSMUSP00000101514, ENSMUSP00000033671, ENSMUSP00000108112, ENSMUSP00000154949, ENSMUSP00000068483, ENSMUSP00000155405, ENSMUSP00000080694, ENSMUSP00000109055, ENSMUSP00000155389, ENSMUSP00000155659, ENSMUSP00000094073, ENSMUSP00000155741, ENSMUSP00000121722	YBR028C_mRNA
OG0000104	ENSMUSP00000036228, ENSMUSP00000112726, ENSMUSP00000113181, ENSMUSP00000032703, ENSMUSP00000034378, ENSMUSP00000148620, ENSMUSP00000143743, ENSMUSP00000154533, ENSMUSP00000143091, ENSMUSP00000000984, ENSMUSP00000001854, ENSMUSP00000118331, ENSMUSP00000022787, ENSMUSP00000141988, ENSMUSP00000029297, ENSMUSP00000041557	YHL036W_mRNA
OG0000107	ENSMUSP00000155270, ENSMUSP00000150838, ENSMUSP00000103747, ENSMUSP00000029277, ENSMUSP00000143349	YLR397C_mRNA
OG0000107	ENSMUSP00000027797	YLL034C_mRNA
OG0000107	ENSMUSP00000030164	YDL126C_mRNA
OG0000107	ENSMUSP00000002840	YNL329C_mRNA
OG0000107	ENSMUSP00000006061, ENSMUSP00000113304, ENSMUSP00000142620	YKL197C_mRNA
OG0000108	ENSMUSP00000143321, ENSMUSP00000029740, ENSMUSP00000039486	YBR062C_mRNA
OG0000109	ENSMUSP00000142117, ENSMUSP00000125235, ENSMUSP00000125488, ENSMUSP00000125077, ENSMUSP00000124269, ENSMUSP00000124931, ENSMUSP00000077289, ENSMUSP00000124541, ENSMUSP00000142305, ENSMUSP00000079888	YML056C_mRNA, YAR073W_mRNA, YHR216W_mRNA, YLR432W_mRNA
OG0000109	ENSMUSP00000123981	YAR075W_mRNA
OG0000110	ENSMUSP00000101999, ENSMUSP00000126274, ENSMUSP00000004955	YOL061W_mRNA, YKL181W_mRNA
OG0000110	ENSMUSP00000133931, ENSMUSP00000026839, ENSMUSP00000133736, ENSMUSP00000033809	YER099C_mRNA, YBL068W_mRNA, YHL011C_mRNA
OG0000111	ENSMUSP00000141065, ENSMUSP00000046189, ENSMUSP00000074066, ENSMUSP00000096096, ENSMUSP00000074095, ENSMUSP00000146501, ENSMUSP00000051092, ENSMUSP00000147016, ENSMUSP00000146509, ENSMUSP00000150861, ENSMUSP00000146386, ENSMUSP00000146541, ENSMUSP00000146659, ENSMUSP00000146408	YGR241C_mRNA, YHR161C_mRNA
OG0000113	ENSMUSP00000128190, ENSMUSP00000141214, ENSMUSP00000142115, ENSMUSP00000114549, ENSMUSP00000121845, ENSMUSP00000031513, ENSMUSP00000147772, ENSMUSP00000105980, ENSMUSP00000105983, ENSMUSP00000105981, ENSMUSP00000131323, ENSMUSP00000105985, ENSMUSP00000138632, ENSMUSP00000061474, ENSMUSP00000119065, ENSMUSP00000142183, ENSMUSP00000141349	YDR432W_mRNA
OG0000117	ENSMUSP00000133947, ENSMUSP00000028286, ENSMUSP00000115059, ENSMUSP00000134358, ENSMUSP00000109776, ENSMUSP00000048573, ENSMUSP00000134242, ENSMUSP00000133441	YDL052C_mRNA
OG0000121	ENSMUSP00000070993, ENSMUSP00000050374, ENSMUSP00000019109, ENSMUSP00000143631, ENSMUSP00000051223, ENSMUSP00000105991, ENSMUSP00000022894, ENSMUSP00000105990, ENSMUSP00000018470, ENSMUSP00000123605, ENSMUSP00000100067	YDR099W_mRNA, YER177W_mRNA
OG0000122	ENSMUSP00000098605, ENSMUSP00000086398, ENSMUSP00000098606, ENSMUSP00000145174, ENSMUSP00000138165, ENSMUSP00000085775, ENSMUSP00000033744, ENSMUSP00000110123, ENSMUSP00000020107, ENSMUSP00000107883, ENSMUSP00000047978, ENSMUSP00000116941, ENSMUSP00000133187, ENSMUSP00000119242	YGL006W_mRNA
OG0000126	ENSMUSP00000114304, ENSMUSP00000032175, ENSMUSP00000020497, ENSMUSP00000117076, ENSMUSP00000031411, ENSMUSP00000142906, ENSMUSP00000123545, ENSMUSP00000143034, ENSMUSP00000041260, ENSMUSP00000025656, ENSMUSP00000084918, ENSMUSP00000015278, ENSMUSP00000133370, ENSMUSP00000034723	YMR169C_mRNA, YMR170C_mRNA, YOR374W_mRNA, YER073W_mRNA, YPL061W_mRNA
OG0000127	ENSMUSP00000134206, ENSMUSP00000134477, ENSMUSP00000133532, ENSMUSP00000154356, ENSMUSP00000154346, ENSMUSP00000154638, ENSMUSP00000154386, ENSMUSP00000154602, ENSMUSP00000072617, ENSMUSP00000155104, ENSMUSP00000154328, ENSMUSP00000151957, ENSMUSP00000152013	YGL073W_mRNA
OG0000127	ENSMUSP00000154799	YJR147W_mRNA
OG0000128	ENSMUSP00000025246, ENSMUSP00000133684, ENSMUSP00000134218, ENSMUSP00000134523, ENSMUSP00000133425, ENSMUSP00000134673, ENSMUSP00000134413	YGL019W_mRNA
OG0000129	ENSMUSP00000130583, ENSMUSP00000078940, ENSMUSP00000109523, ENSMUSP00000139286	YDR172W_mRNA
OG0000129	ENSMUSP00000042457, ENSMUSP00000116821, ENSMUSP00000120438, ENSMUSP00000054556	YPR080W_mRNA, YBR118W_mRNA
