Orthogroup	mouse	neurospora
OG0000012	ENSMUSP00000112174, ENSMUSP00000092966, ENSMUSP00000129536, ENSMUSP00000157311, ENSMUSP00000008801, ENSMUSP00000129264, ENSMUSP00000136139, ENSMUSP00000157036, ENSMUSP00000157006, ENSMUSP00000050478, ENSMUSP00000003416, ENSMUSP00000131058, ENSMUSP00000076827, ENSMUSP00000123282, ENSMUSP00000074733, ENSMUSP00000157023, ENSMUSP00000129514, ENSMUSP00000003413, ENSMUSP00000003574, ENSMUSP00000148315, ENSMUSP00000059545, ENSMUSP00000102155, ENSMUSP00000139717, ENSMUSP00000092487, ENSMUSP00000081370, ENSMUSP00000140857, ENSMUSP00000030487, ENSMUSP00000099768	EAA28923
OG0000015	ENSMUSP00000149620, ENSMUSP00000128421	EAA30775
OG0000015	ENSMUSP00000101860, ENSMUSP00000145166, ENSMUSP00000144809, ENSMUSP00000133154, ENSMUSP00000145194, ENSMUSP00000026667	EAA32364
OG0000015	ENSMUSP00000110998, ENSMUSP00000156170, ENSMUSP00000090876, ENSMUSP00000115649, ENSMUSP00000140809, ENSMUSP00000023599, ENSMUSP00000127030, ENSMUSP00000127034	EAA29185
OG0000015	ENSMUSP00000038551, ENSMUSP00000066806, ENSMUSP00000047898, ENSMUSP00000034612	EAA32290
OG0000016	ENSMUSP00000070259, ENSMUSP00000082560, ENSMUSP00000078706, ENSMUSP00000145938, ENSMUSP00000145724, ENSMUSP00000113160, ENSMUSP00000146047, ENSMUSP00000145947, ENSMUSP00000034949, ENSMUSP00000145887	ESA42258
OG0000016	ENSMUSP00000113341, ENSMUSP00000113975, ENSMUSP00000070721, ENSMUSP00000018274, ENSMUSP00000113096, ENSMUSP00000117472, ENSMUSP00000155317, ENSMUSP00000110901, ENSMUSP00000127463, ENSMUSP00000127265, ENSMUSP00000131687, ENSMUSP00000127144, ENSMUSP00000132083, ENSMUSP00000128871	ESA44278
OG0000021	ENSMUSP00000137802, ENSMUSP00000025749, ENSMUSP00000119715, ENSMUSP00000120882, ENSMUSP00000115073, ENSMUSP00000130078, ENSMUSP00000126861, ENSMUSP00000095437, ENSMUSP00000127462, ENSMUSP00000018012, ENSMUSP00000112468, ENSMUSP00000020145, ENSMUSP00000090343, ENSMUSP00000114074, ENSMUSP00000128873, ENSMUSP00000097614, ENSMUSP00000114691, ENSMUSP00000117119, ENSMUSP00000118190, ENSMUSP00000123689, ENSMUSP00000103979, ENSMUSP00000132141, ENSMUSP00000052103, ENSMUSP00000103981, ENSMUSP00000103980, ENSMUSP00000122222, ENSMUSP00000001780, ENSMUSP00000106789, ENSMUSP00000106790, ENSMUSP00000019843, ENSMUSP00000083081, ENSMUSP00000120978	EAA32898
OG0000022	ENSMUSP00000118851, ENSMUSP00000124066, ENSMUSP00000082352, ENSMUSP00000021548, ENSMUSP00000112543, ENSMUSP00000008579, ENSMUSP00000113433, ENSMUSP00000114390, ENSMUSP00000021187, ENSMUSP00000112553, ENSMUSP00000020947, ENSMUSP00000104736, ENSMUSP00000125626, ENSMUSP00000004756	EAA35201, EAA30420, EAA29261, EAA30454
OG0000022	ENSMUSP00000076472	EAA34324, EAA32483
OG0000023	ENSMUSP00000025217	EAA32517
OG0000023	ENSMUSP00000028222, ENSMUSP00000097747	EAA27331
OG0000023	ENSMUSP00000151408, ENSMUSP00000079306, ENSMUSP00000113722, ENSMUSP00000015800, ENSMUSP00000007248, ENSMUSP00000084586, ENSMUSP00000133815	EAA34130
OG0000024	ENSMUSP00000031822, ENSMUSP00000109933, ENSMUSP00000138703, ENSMUSP00000138608	EAA36439
OG0000024	ENSMUSP00000124647, ENSMUSP00000034648, ENSMUSP00000024829	EAA28525
OG0000026	ENSMUSP00000029257, ENSMUSP00000033818, ENSMUSP00000088779, ENSMUSP00000146015, ENSMUSP00000099066, ENSMUSP00000145853, ENSMUSP00000119320, ENSMUSP00000118379, ENSMUSP00000072738, ENSMUSP00000042215, ENSMUSP00000079238	EAA28587
OG0000026	ENSMUSP00000129811, ENSMUSP00000076844, ENSMUSP00000143594, ENSMUSP00000142749	EAA35394
OG0000030	ENSMUSP00000079670, ENSMUSP00000089293, ENSMUSP00000140394, ENSMUSP00000139663, ENSMUSP00000151536, ENSMUSP00000089295, ENSMUSP00000134751, ENSMUSP00000135215, ENSMUSP00000089346, ENSMUSP00000100739, ENSMUSP00000096442, ENSMUSP00000100737, ENSMUSP00000074994, ENSMUSP00000016703, ENSMUSP00000102062, ENSMUSP00000079816, ENSMUSP00000125104, ENSMUSP00000124509, ENSMUSP00000125754	EAA26767
OG0000033	ENSMUSP00000113283, ENSMUSP00000084942, ENSMUSP00000152215, ENSMUSP00000106145, ENSMUSP00000098029, ENSMUSP00000106305, ENSMUSP00000082827, ENSMUSP00000090177, ENSMUSP00000129269, ENSMUSP00000099356, ENSMUSP00000148679, ENSMUSP00000132224, ENSMUSP00000148813, ENSMUSP00000103881, ENSMUSP00000041627, ENSMUSP00000029126, ENSMUSP00000105307, ENSMUSP00000153537, ENSMUSP00000132838, ENSMUSP00000079280, ENSMUSP00000153526, ENSMUSP00000153052, ENSMUSP00000034740	EAA28350
OG0000035	ENSMUSP00000076397, ENSMUSP00000056604, ENSMUSP00000135427, ENSMUSP00000106099, ENSMUSP00000100047, ENSMUSP00000153457, ENSMUSP00000018246, ENSMUSP00000089296, ENSMUSP00000136792, ENSMUSP00000089343, ENSMUSP00000097294, ENSMUSP00000106082, ENSMUSP00000089350, ENSMUSP00000106095, ENSMUSP00000089301, ENSMUSP00000100738, ENSMUSP00000106093, ENSMUSP00000077290, ENSMUSP00000106102, ENSMUSP00000088287, ENSMUSP00000106085, ENSMUSP00000153277, ENSMUSP00000061247, ENSMUSP00000078239	EAA30204
OG0000036	ENSMUSP00000108528, ENSMUSP00000033634, ENSMUSP00000108524, ENSMUSP00000108525, ENSMUSP00000117952, ENSMUSP00000121695, ENSMUSP00000045291	EAA28332, EAA28221
OG0000036	ENSMUSP00000046585, ENSMUSP00000072040, ENSMUSP00000090795, ENSMUSP00000091746, ENSMUSP00000104533, ENSMUSP00000104532, ENSMUSP00000098773, ENSMUSP00000098771, ENSMUSP00000069844, ENSMUSP00000104527, ENSMUSP00000119714, ENSMUSP00000000145, ENSMUSP00000106000, ENSMUSP00000106001, ENSMUSP00000034046	EAA27040
OG0000038	ENSMUSP00000154967, ENSMUSP00000107937, ENSMUSP00000155713, ENSMUSP00000022429, ENSMUSP00000020717, ENSMUSP00000127281, ENSMUSP00000102622, ENSMUSP00000051814, ENSMUSP00000050689, ENSMUSP00000079905, ENSMUSP00000126120	ESA44151
OG0000038	ENSMUSP00000111942, ENSMUSP00000079246	EAA29781
OG0000038	ENSMUSP00000025893	EAA27367
OG0000041	ENSMUSP00000092692, ENSMUSP00000092693, ENSMUSP00000134564, ENSMUSP00000050377, ENSMUSP00000048360, ENSMUSP00000047326, ENSMUSP00000039844	EAA32002
OG0000041	ENSMUSP00000052086, ENSMUSP00000098066, ENSMUSP00000071486, ENSMUSP00000101822, ENSMUSP00000146302, ENSMUSP00000130611, ENSMUSP00000101823, ENSMUSP00000148594, ENSMUSP00000120936, ENSMUSP00000048218, ENSMUSP00000034453, ENSMUSP00000087736, ENSMUSP00000074658, ENSMUSP00000113552	ESA42660
OG0000042	ENSMUSP00000123452, ENSMUSP00000119985, ENSMUSP00000134443, ENSMUSP00000115642, ENSMUSP00000095263, ENSMUSP00000072803, ENSMUSP00000108763, ENSMUSP00000108762, ENSMUSP00000014263, ENSMUSP00000108759, ENSMUSP00000108760, ENSMUSP00000058683, ENSMUSP00000108764, ENSMUSP00000073444, ENSMUSP00000108767, ENSMUSP00000031195, ENSMUSP00000078740, ENSMUSP00000031183, ENSMUSP00000068282, ENSMUSP00000072598, ENSMUSP00000075255, ENSMUSP00000092233, ENSMUSP00000123024, ENSMUSP00000120005, ENSMUSP00000031186, ENSMUSP00000114842, ENSMUSP00000116653	EAA28859
OG0000043	ENSMUSP00000144355, ENSMUSP00000057707, ENSMUSP00000115233, ENSMUSP00000117111, ENSMUSP00000114188, ENSMUSP00000097547, ENSMUSP00000073509, ENSMUSP00000143002, ENSMUSP00000143476, ENSMUSP00000109234, ENSMUSP00000129397, ENSMUSP00000130289, ENSMUSP00000019913, ENSMUSP00000132161, ENSMUSP00000072154, ENSMUSP00000144001, ENSMUSP00000125777, ENSMUSP00000139988, ENSMUSP00000003370, ENSMUSP00000141030, ENSMUSP00000105423, ENSMUSP00000105157, ENSMUSP00000029175, ENSMUSP00000105159, ENSMUSP00000105155, ENSMUSP00000090237, ENSMUSP00000030693, ENSMUSP00000128411, ENSMUSP00000123445	EAA36600
OG0000046	ENSMUSP00000122402, ENSMUSP00000079014, ENSMUSP00000078158, ENSMUSP00000111209, ENSMUSP00000042186, ENSMUSP00000129677	EAA32081
OG0000046	ENSMUSP00000026208, ENSMUSP00000021231, ENSMUSP00000136343, ENSMUSP00000002850, ENSMUSP00000097743	EAA28910
OG0000046	ENSMUSP00000132561, ENSMUSP00000038041, ENSMUSP00000131843, ENSMUSP00000092895	EAA32984, EAA32894, EAA36025, EAA34524, EAA31399
OG0000047	ENSMUSP00000026455, ENSMUSP00000155212, ENSMUSP00000127611, ENSMUSP00000085530, ENSMUSP00000154934, ENSMUSP00000023754, ENSMUSP00000155623, ENSMUSP00000023752, ENSMUSP00000157337, ENSMUSP00000157324, ENSMUSP00000157060, ENSMUSP00000157152, ENSMUSP00000157000, ENSMUSP00000157347, ENSMUSP00000157239, ENSMUSP00000078088, ENSMUSP00000004774	EAA35947
OG0000048	ENSMUSP00000045527, ENSMUSP00000148435, ENSMUSP00000101225, ENSMUSP00000070527, ENSMUSP00000101223	EAA33577
OG0000048	ENSMUSP00000021939, ENSMUSP00000152606, ENSMUSP00000140034	ESA42590
OG0000048	ENSMUSP00000030814, ENSMUSP00000150873, ENSMUSP00000033380, ENSMUSP00000111021, ENSMUSP00000027697, ENSMUSP00000107981	EAA29038
OG0000048	ENSMUSP00000026416, ENSMUSP00000026415, ENSMUSP00000134251	EAA30881
OG0000051	ENSMUSP00000153130	EAA35061
OG0000051	ENSMUSP00000143103	ESA42945
OG0000052	ENSMUSP00000121214, ENSMUSP00000052642, ENSMUSP00000101004, ENSMUSP00000038964, ENSMUSP00000111280, ENSMUSP00000111279, ENSMUSP00000111277, ENSMUSP00000111282, ENSMUSP00000111284, ENSMUSP00000138705, ENSMUSP00000138456, ENSMUSP00000048153, ENSMUSP00000147384, ENSMUSP00000154633	ESA43968
OG0000053	ENSMUSP00000143286, ENSMUSP00000132547, ENSMUSP00000005722, ENSMUSP00000138826, ENSMUSP00000143401, ENSMUSP00000143212, ENSMUSP00000142456, ENSMUSP00000143338, ENSMUSP00000143187, ENSMUSP00000142884, ENSMUSP00000143611, ENSMUSP00000143598, ENSMUSP00000143339, ENSMUSP00000113638, ENSMUSP00000032776, ENSMUSP00000075664, ENSMUSP00000116144, ENSMUSP00000138645	EAA36453
OG0000054	ENSMUSP00000104167, ENSMUSP00000029186, ENSMUSP00000105104	EAA34271
OG0000054	ENSMUSP00000047865	EAA35877
OG0000054	ENSMUSP00000031061, ENSMUSP00000143069, ENSMUSP00000143658, ENSMUSP00000143381, ENSMUSP00000101745, ENSMUSP00000066067, ENSMUSP00000033290	EAA27287
OG0000054	ENSMUSP00000119430, ENSMUSP00000037251	EAA33344
OG0000054	ENSMUSP00000133888, ENSMUSP00000025292	EAA31559
OG0000055	ENSMUSP00000152741	EAA27946, EAA27673
OG0000055	ENSMUSP00000030455, ENSMUSP00000048830, ENSMUSP00000112666, ENSMUSP00000080074, ENSMUSP00000021632, ENSMUSP00000021634, ENSMUSP00000045394, ENSMUSP00000112664, ENSMUSP00000152648, ENSMUSP00000077363, ENSMUSP00000079232, ENSMUSP00000021630, ENSMUSP00000152778, ENSMUSP00000021628, ENSMUSP00000106332, ENSMUSP00000021635, ENSMUSP00000063309, ENSMUSP00000124333, ENSMUSP00000040244, ENSMUSP00000007449, ENSMUSP00000110703, ENSMUSP00000039114, ENSMUSP00000100045, ENSMUSP00000106319, ENSMUSP00000089459	EAA30135, EAA36301, EAA27685, EAA34695
OG0000056	ENSMUSP00000043190, ENSMUSP00000025541, ENSMUSP00000025602	EAA32969
OG0000056	ENSMUSP00000000001, ENSMUSP00000074259, ENSMUSP00000142326, ENSMUSP00000057543, ENSMUSP00000036087, ENSMUSP00000124639, ENSMUSP00000034198, ENSMUSP00000114144, ENSMUSP00000148550, ENSMUSP00000119220	ESA42608, EAA27897
OG0000057	ENSMUSP00000038841, ENSMUSP00000056433, ENSMUSP00000058391, ENSMUSP00000142634, ENSMUSP00000066238, ENSMUSP00000088174	EAA35290
OG0000057	ENSMUSP00000147590	EAA32107, EAA30737
OG0000057	ENSMUSP00000107339, ENSMUSP00000032399, ENSMUSP00000095570, ENSMUSP00000026572, ENSMUSP00000142603, ENSMUSP00000143644, ENSMUSP00000029445, ENSMUSP00000142438, ENSMUSP00000143391, ENSMUSP00000138189, ENSMUSP00000143620, ENSMUSP00000147731, ENSMUSP00000132110, ENSMUSP00000035045, ENSMUSP00000112407, ENSMUSP00000113275, ENSMUSP00000147655	EAA32627
OG0000062	ENSMUSP00000156387, ENSMUSP00000086207, ENSMUSP00000004990, ENSMUSP00000110402, ENSMUSP00000110400, ENSMUSP00000061958, ENSMUSP00000116914, ENSMUSP00000110406, ENSMUSP00000156692, ENSMUSP00000086204	EAA32927
OG0000062	ENSMUSP00000088880, ENSMUSP00000156154, ENSMUSP00000065983, ENSMUSP00000111396, ENSMUSP00000146161, ENSMUSP00000051619, ENSMUSP00000101969, ENSMUSP00000146179	ESA41968
OG0000062	ENSMUSP00000104354, ENSMUSP00000078087, ENSMUSP00000116084, ENSMUSP00000154893, ENSMUSP00000087098	EAA28804
OG0000063	ENSMUSP00000142992, ENSMUSP00000142378, ENSMUSP00000057197, ENSMUSP00000108333, ENSMUSP00000079692, ENSMUSP00000140355, ENSMUSP00000129747, ENSMUSP00000133073, ENSMUSP00000140984, ENSMUSP00000140786, ENSMUSP00000140551, ENSMUSP00000066426, ENSMUSP00000127587, ENSMUSP00000140698, ENSMUSP00000140612, ENSMUSP00000110495, ENSMUSP00000050926, ENSMUSP00000097979, ENSMUSP00000110494, ENSMUSP00000028114, ENSMUSP00000110493, ENSMUSP00000126305, ENSMUSP00000129122, ENSMUSP00000142079, ENSMUSP00000137130, ENSMUSP00000142296, ENSMUSP00000141445, ENSMUSP00000138893	ESA43632, EAA29690
OG0000064	ENSMUSP00000024260, ENSMUSP00000140629, ENSMUSP00000101051, ENSMUSP00000001148, ENSMUSP00000129465, ENSMUSP00000090048, ENSMUSP00000104466, ENSMUSP00000155430, ENSMUSP00000155431, ENSMUSP00000155038, ENSMUSP00000076294, ENSMUSP00000077509, ENSMUSP00000155789, ENSMUSP00000054863, ENSMUSP00000155440, ENSMUSP00000155016, ENSMUSP00000155569, ENSMUSP00000155548, ENSMUSP00000155730, ENSMUSP00000155825, ENSMUSP00000155631, ENSMUSP00000155096, ENSMUSP00000155051, ENSMUSP00000155784, ENSMUSP00000155292, ENSMUSP00000155219, ENSMUSP00000155638, ENSMUSP00000155654, ENSMUSP00000155072	ESA43211, EAA34578
OG0000065	ENSMUSP00000105722, ENSMUSP00000034307, ENSMUSP00000150748, ENSMUSP00000150796, ENSMUSP00000153213, ENSMUSP00000153115, ENSMUSP00000037025, ENSMUSP00000111118, ENSMUSP00000003395, ENSMUSP00000078891, ENSMUSP00000112991, ENSMUSP00000121592, ENSMUSP00000136485, ENSMUSP00000113488, ENSMUSP00000114089, ENSMUSP00000073742, ENSMUSP00000119583, ENSMUSP00000113610, ENSMUSP00000112774, ENSMUSP00000113024, ENSMUSP00000102524, ENSMUSP00000102517, ENSMUSP00000102521, ENSMUSP00000095562, ENSMUSP00000030251, ENSMUSP00000095561, ENSMUSP00000102514, ENSMUSP00000149672, ENSMUSP00000119312	ESA43394
OG0000066	ENSMUSP00000100546, ENSMUSP00000100029, ENSMUSP00000085006, ENSMUSP00000100042, ENSMUSP00000100036, ENSMUSP00000100037, ENSMUSP00000129930, ENSMUSP00000100048, ENSMUSP00000100033, ENSMUSP00000100030, ENSMUSP00000100044, ENSMUSP00000100032, ENSMUSP00000136357	EAA26766, EAA27361, EAA27083
OG0000067	ENSMUSP00000051432, ENSMUSP00000072989, ENSMUSP00000089345, ENSMUSP00000100034, ENSMUSP00000127684, ENSMUSP00000077477, ENSMUSP00000089339, ENSMUSP00000089335, ENSMUSP00000088281, ENSMUSP00000080088, ENSMUSP00000088285, ENSMUSP00000074310, ENSMUSP00000089336, ENSMUSP00000104445, ENSMUSP00000100581, ENSMUSP00000077814, ENSMUSP00000072858, ENSMUSP00000088288, ENSMUSP00000072227, ENSMUSP00000144974, ENSMUSP00000074142	EAA30206
OG0000068	ENSMUSP00000157186, ENSMUSP00000025358, ENSMUSP00000057449, ENSMUSP00000036998, ENSMUSP00000152076, ENSMUSP00000133166, ENSMUSP00000152705, ENSMUSP00000128872, ENSMUSP00000029658, ENSMUSP00000128169, ENSMUSP00000001480, ENSMUSP00000130445, ENSMUSP00000127127, ENSMUSP00000127801, ENSMUSP00000129361	EAA30246, EAA29936
OG0000078	ENSMUSP00000123744	EDO65312
OG0000078	ENSMUSP00000143184	EAA35023
OG0000078	ENSMUSP00000124586, ENSMUSP00000123928, ENSMUSP00000022566, ENSMUSP00000123888, ENSMUSP00000124467, ENSMUSP00000124207, ENSMUSP00000035980, ENSMUSP00000124906, ENSMUSP00000124213, ENSMUSP00000109514, ENSMUSP00000109515, ENSMUSP00000109510, ENSMUSP00000109516, ENSMUSP00000142905, ENSMUSP00000142911, ENSMUSP00000138258, ENSMUSP00000138461, ENSMUSP00000142615, ENSMUSP00000109508, ENSMUSP00000138668, ENSMUSP00000143779, ENSMUSP00000143086, ENSMUSP00000109505, ENSMUSP00000142769, ENSMUSP00000109517, ENSMUSP00000138243	EAA30594
OG0000080	ENSMUSP00000020158, ENSMUSP00000139699, ENSMUSP00000139818	EAA32162
OG0000081	ENSMUSP00000028997, ENSMUSP00000104768, ENSMUSP00000104767, ENSMUSP00000104306, ENSMUSP00000021277, ENSMUSP00000147055, ENSMUSP00000083426, ENSMUSP00000146450, ENSMUSP00000147207	EAA27996
OG0000081	ENSMUSP00000020220	EAA36331
OG0000082	ENSMUSP00000138431, ENSMUSP00000134608, ENSMUSP00000092990, ENSMUSP00000109880, ENSMUSP00000117359, ENSMUSP00000025193, ENSMUSP00000113070, ENSMUSP00000003726, ENSMUSP00000112474, ENSMUSP00000115163, ENSMUSP00000115277, ENSMUSP00000031215, ENSMUSP00000108297	ESA43715
OG0000083	ENSMUSP00000106514, ENSMUSP00000056500, ENSMUSP00000102288, ENSMUSP00000123286, ENSMUSP00000121093, ENSMUSP00000106515, ENSMUSP00000026973	ESA42511
OG0000085	ENSMUSP00000000199	EAA34616
OG0000085	ENSMUSP00000152711, ENSMUSP00000072145, ENSMUSP00000120066, ENSMUSP00000051487, ENSMUSP00000101853, ENSMUSP00000071756, ENSMUSP00000115031, ENSMUSP00000112145, ENSMUSP00000112143, ENSMUSP00000119178, ENSMUSP00000093486, ENSMUSP00000129548, ENSMUSP00000030572, ENSMUSP00000115619, ENSMUSP00000152772, ENSMUSP00000087611, ENSMUSP00000130126, ENSMUSP00000112898, ENSMUSP00000113858, ENSMUSP00000112146, ENSMUSP00000114576, ENSMUSP00000121460, ENSMUSP00000021290	EAA28220
OG0000092	ENSMUSP00000018544, ENSMUSP00000103594, ENSMUSP00000103596, ENSMUSP00000060127, ENSMUSP00000112960, ENSMUSP00000156088, ENSMUSP00000156265, ENSMUSP00000094750, ENSMUSP00000156292, ENSMUSP00000101920, ENSMUSP00000101921, ENSMUSP00000146307, ENSMUSP00000117517, ENSMUSP00000120511, ENSMUSP00000120694, ENSMUSP00000108534, ENSMUSP00000127276, ENSMUSP00000132850, ENSMUSP00000136366, ENSMUSP00000027495, ENSMUSP00000110927, ENSMUSP00000127641	ESA42882
OG0000093	ENSMUSP00000114226, ENSMUSP00000102664, ENSMUSP00000102665, ENSMUSP00000029729, ENSMUSP00000123476, ENSMUSP00000039839, ENSMUSP00000027843, ENSMUSP00000114750, ENSMUSP00000044405, ENSMUSP00000107135, ENSMUSP00000136378, ENSMUSP00000028010, ENSMUSP00000117398, ENSMUSP00000107143, ENSMUSP00000118534, ENSMUSP00000141210, ENSMUSP00000037259, ENSMUSP00000119389, ENSMUSP00000028014, ENSMUSP00000107150, ENSMUSP00000144106, ENSMUSP00000118476	EAA28865, EAA33706, EAA31866
OG0000094	ENSMUSP00000105367, ENSMUSP00000003907	EAA30699
OG0000094	ENSMUSP00000031524, ENSMUSP00000146461, ENSMUSP00000113948, ENSMUSP00000015829	EAA33014
OG0000094	ENSMUSP00000028807	EAA35048
OG0000094	ENSMUSP00000027153	ESA44197
OG0000103	ENSMUSP00000042987, ENSMUSP00000024575, ENSMUSP00000121341, ENSMUSP00000126774, ENSMUSP00000134507, ENSMUSP00000119328, ENSMUSP00000003741, ENSMUSP00000101514, ENSMUSP00000033671, ENSMUSP00000108112, ENSMUSP00000154949, ENSMUSP00000068483, ENSMUSP00000155405, ENSMUSP00000080694, ENSMUSP00000109055, ENSMUSP00000155389, ENSMUSP00000155659, ENSMUSP00000094073, ENSMUSP00000155741, ENSMUSP00000121722	ESA44058
OG0000104	ENSMUSP00000036228, ENSMUSP00000112726, ENSMUSP00000113181, ENSMUSP00000032703, ENSMUSP00000034378, ENSMUSP00000148620, ENSMUSP00000143743, ENSMUSP00000154533, ENSMUSP00000143091, ENSMUSP00000000984, ENSMUSP00000001854, ENSMUSP00000118331, ENSMUSP00000022787, ENSMUSP00000141988, ENSMUSP00000029297, ENSMUSP00000041557	EAA31968
OG0000107	ENSMUSP00000027797	EAA27251
OG0000107	ENSMUSP00000030164	ESA43229
OG0000107	ENSMUSP00000002840	EAA36040
OG0000107	ENSMUSP00000006061, ENSMUSP00000113304, ENSMUSP00000142620	EAA34641
OG0000108	ENSMUSP00000143321, ENSMUSP00000029740, ENSMUSP00000039486	EAA30913
OG0000108	ENSMUSP00000141880, ENSMUSP00000115187, ENSMUSP00000141228, ENSMUSP00000070370, ENSMUSP00000141725, ENSMUSP00000138327, ENSMUSP00000142055, ENSMUSP00000109729, ENSMUSP00000141781, ENSMUSP00000066128	EAA32691, ESA43573
OG0000109	ENSMUSP00000142117, ENSMUSP00000125235, ENSMUSP00000125488, ENSMUSP00000125077, ENSMUSP00000124269, ENSMUSP00000124931, ENSMUSP00000077289, ENSMUSP00000124541, ENSMUSP00000142305, ENSMUSP00000079888	EAA35740
OG0000110	ENSMUSP00000101999, ENSMUSP00000126274, ENSMUSP00000004955	EAA26722, ESA42531, EAA32555
OG0000110	ENSMUSP00000133931, ENSMUSP00000026839, ENSMUSP00000133736, ENSMUSP00000033809	ESA43033
OG0000111	ENSMUSP00000141065, ENSMUSP00000046189, ENSMUSP00000074066, ENSMUSP00000096096, ENSMUSP00000074095, ENSMUSP00000146501, ENSMUSP00000051092, ENSMUSP00000147016, ENSMUSP00000146509, ENSMUSP00000150861, ENSMUSP00000146386, ENSMUSP00000146541, ENSMUSP00000146659, ENSMUSP00000146408	EAA36481
OG0000113	ENSMUSP00000128190, ENSMUSP00000141214, ENSMUSP00000142115, ENSMUSP00000114549, ENSMUSP00000121845, ENSMUSP00000031513, ENSMUSP00000147772, ENSMUSP00000105980, ENSMUSP00000105983, ENSMUSP00000105981, ENSMUSP00000131323, ENSMUSP00000105985, ENSMUSP00000138632, ENSMUSP00000061474, ENSMUSP00000119065, ENSMUSP00000142183, ENSMUSP00000141349	EAA31098
OG0000117	ENSMUSP00000133947, ENSMUSP00000028286, ENSMUSP00000115059, ENSMUSP00000134358, ENSMUSP00000109776, ENSMUSP00000048573, ENSMUSP00000134242, ENSMUSP00000133441	EAA27445
OG0000121	ENSMUSP00000070993, ENSMUSP00000050374, ENSMUSP00000019109, ENSMUSP00000143631, ENSMUSP00000051223, ENSMUSP00000105991, ENSMUSP00000022894, ENSMUSP00000105990, ENSMUSP00000018470, ENSMUSP00000123605, ENSMUSP00000100067	EAA35226, ESA44100
