Orthogroup	human	mouse
OG0000003	ENSP00000300036, ENSP00000458731, ENSP00000478816, ENSP00000488461, ENSP00000379616, ENSP00000407821, ENSP00000478092, ENSP00000478109	ENSMUSP00000155052, ENSMUSP00000156021, ENSMUSP00000087756
OG0000004	ENSP00000436027	ENSMUSP00000147741, ENSMUSP00000123240
OG0000004	ENSP00000494341	ENSMUSP00000116209
OG0000004	ENSP00000489846, ENSP00000486629, ENSP00000377747	ENSMUSP00000126352
OG0000004	ENSP00000284049, ENSP00000483667	ENSMUSP00000134091, ENSMUSP00000024627
OG0000004	ENSP00000494126, ENSP00000496233, ENSP00000496291, ENSP00000494981, ENSP00000495023	ENSMUSP00000145262
OG0000004	ENSP00000423286, ENSP00000415576, ENSP00000351947, ENSP00000346217	ENSMUSP00000031984
OG0000004	ENSP00000360383, ENSP00000239026, ENSP00000377609, ENSP00000360378, ENSP00000377601, ENSP00000239027	ENSMUSP00000025965
OG0000004	ENSP00000360163, ENSP00000360162, ENSP00000360164	ENSMUSP00000076769, ENSMUSP00000135570, ENSMUSP00000114296, ENSMUSP00000086366, ENSMUSP00000099138
OG0000004	ENSP00000283131	ENSMUSP00000044361
OG0000004	ENSP00000493905, ENSP00000493690	ENSMUSP00000133535
OG0000004	ENSP00000489256	ENSMUSP00000097135
OG0000004	ENSP00000392081	ENSMUSP00000135784, ENSMUSP00000025862, ENSMUSP00000135017
OG0000004	ENSP00000466963	ENSMUSP00000034707, ENSMUSP00000133922
OG0000007	ENSP00000466058	ENSMUSP00000067662
OG0000007	ENSP00000483596, ENSP00000487681, ENSP00000477603, ENSP00000488610, ENSP00000482777, ENSP00000488451, ENSP00000483747, ENSP00000482704	ENSMUSP00000043467
OG0000007	ENSP00000423496, ENSP00000296424	ENSMUSP00000112683, ENSMUSP00000029817
OG0000007	ENSP00000427615, ENSP00000423128, ENSP00000303525	ENSMUSP00000034058
OG0000007	ENSP00000230236, ENSP00000363794, ENSP00000406488, ENSP00000387753, ENSP00000413950, ENSP00000403538	ENSMUSP00000133546, ENSMUSP00000038069
OG0000007	ENSP00000395512, ENSP00000265322	ENSMUSP00000027381
OG0000007	ENSP00000488844, ENSP00000393382, ENSP00000219481, ENSP00000481547, ENSP00000400374, ENSP00000487756	ENSMUSP00000045621
OG0000007	ENSP00000472746, ENSP00000263278, ENSP00000469557, ENSP00000471631	ENSMUSP00000147715, ENSMUSP00000147851, ENSMUSP00000103381
OG0000012	ENSP00000368079	ENSMUSP00000112174, ENSMUSP00000092966
OG0000012	ENSP00000269703, ENSP00000469866	ENSMUSP00000003416, ENSMUSP00000131058, ENSMUSP00000076827, ENSMUSP00000123282, ENSMUSP00000074733, ENSMUSP00000157023, ENSMUSP00000129514, ENSMUSP00000003413
OG0000012	ENSP00000448998, ENSP00000321821, ENSP00000481243, ENSP00000319859, ENSP00000384588, ENSP00000248041, ENSP00000221700, ENSP00000221307, ENSP00000011989, ENSP00000468105, ENSP00000466395, ENSP00000466988	ENSMUSP00000003574
OG0000012	ENSP00000482692, ENSP00000476972	ENSMUSP00000148315
OG0000012	ENSP00000360968	ENSMUSP00000059545, ENSMUSP00000102155
OG0000012	ENSP00000334246	ENSMUSP00000139717, ENSMUSP00000092487, ENSMUSP00000081370, ENSMUSP00000140857, ENSMUSP00000030487
OG0000015	ENSP00000478754, ENSP00000433704, ENSP00000442266	ENSMUSP00000149620, ENSMUSP00000128421
OG0000015	ENSP00000460439	ENSMUSP00000101860, ENSMUSP00000145166
OG0000015	ENSP00000497661	ENSMUSP00000144809, ENSMUSP00000133154, ENSMUSP00000145194
OG0000015	ENSP00000269349	ENSMUSP00000026667
OG0000015	ENSP00000462904, ENSP00000464066, ENSP00000463366, ENSP00000464550, ENSP00000462753, ENSP00000463486, ENSP00000462719	ENSMUSP00000156170
OG0000015	ENSP00000413529	ENSMUSP00000090876, ENSMUSP00000115649, ENSMUSP00000140809
OG0000015	ENSP00000398370	ENSMUSP00000023599
OG0000015	ENSP00000293831	ENSMUSP00000127034
OG0000015	ENSP00000392639, ENSP00000348271, ENSP00000410243, ENSP00000288071, ENSP00000399208, ENSP00000455813	ENSMUSP00000038551, ENSMUSP00000066806
OG0000015	ENSP00000306117	ENSMUSP00000047898
OG0000015	ENSP00000490224, ENSP00000436087, ENSP00000263576, ENSP00000463333	ENSMUSP00000034612
OG0000016	ENSP00000429412, ENSP00000429914, ENSP00000421385, ENSP00000421998, ENSP00000334735, ENSP00000354942, ENSP00000353904, ENSP00000423838	ENSMUSP00000070259
OG0000016	ENSP00000468637, ENSP00000255641	ENSMUSP00000082560, ENSMUSP00000078706
OG0000016	ENSP00000475325, ENSP00000475686	ENSMUSP00000145938
OG0000016	ENSP00000305777	ENSMUSP00000145724
OG0000016	ENSP00000489165	ENSMUSP00000113160
OG0000016	ENSP00000489233, ENSP00000489116	ENSMUSP00000145947, ENSMUSP00000034949
OG0000016	ENSP00000475724	ENSMUSP00000145887
OG0000016	ENSP00000384074, ENSP00000380044, ENSP00000383067, ENSP00000352929	ENSMUSP00000113341, ENSMUSP00000113975
OG0000016	ENSP00000376146	ENSMUSP00000070721
OG0000016	ENSP00000381531, ENSP00000324464	ENSMUSP00000018274
OG0000016	ENSP00000384426, ENSP00000407235, ENSP00000403057	ENSMUSP00000113096
OG0000016	ENSP00000412335	ENSMUSP00000117472, ENSMUSP00000155317
OG0000016	ENSP00000421689	ENSMUSP00000127463, ENSMUSP00000127265
OG0000016	ENSP00000367074	ENSMUSP00000131687, ENSMUSP00000127144, ENSMUSP00000132083
OG0000016	ENSP00000261798	ENSMUSP00000128871
OG0000017	ENSP00000404063, ENSP00000435648, ENSP00000492086	ENSMUSP00000034515, ENSMUSP00000110515
OG0000017	ENSP00000301218, ENSP00000470251, ENSP00000262895	ENSMUSP00000003468
OG0000017	ENSP00000358133	ENSMUSP00000151982
OG0000017	ENSP00000405596	ENSMUSP00000078687
OG0000017	ENSP00000358134, ENSP00000313276	ENSMUSP00000151389
OG0000017	ENSP00000358130, ENSP00000397026	ENSMUSP00000151921, ENSMUSP00000101124
OG0000017	ENSP00000362185, ENSP00000362183	ENSMUSP00000030676
OG0000017	ENSP00000382798, ENSP00000327687	ENSMUSP00000072107, ENSMUSP00000153786
OG0000017	ENSP00000382797, ENSP00000373777	ENSMUSP00000023652, ENSMUSP00000154130
OG0000017	ENSP00000373776	ENSMUSP00000154596
OG0000017	ENSP00000421257, ENSP00000483084, ENSP00000433064, ENSP00000330148	ENSMUSP00000044009
OG0000017	ENSP00000428994, ENSP00000415569, ENSP00000427864	ENSMUSP00000117746
OG0000017	ENSP00000339343, ENSP00000427920, ENSP00000285900	ENSMUSP00000044494
OG0000017	ENSP00000296526	ENSMUSP00000103374
OG0000017	ENSP00000264426	ENSMUSP00000074787
OG0000017	ENSP00000495569, ENSP00000318144	ENSMUSP00000141447
OG0000017	ENSP00000481875	ENSMUSP00000116381
OG0000017	ENSP00000478489, ENSP00000446440, ENSP00000481554	ENSMUSP00000131523
OG0000017	ENSP00000282499, ENSP00000435775	ENSMUSP00000066980
OG0000017	ENSP00000376835, ENSP00000432180	ENSMUSP00000148533
OG0000018	ENSP00000486101, ENSP00000487364, ENSP00000486256, ENSP00000417757, ENSP00000486243, ENSP00000487354, ENSP00000486489, ENSP00000486102, ENSP00000486851, ENSP00000485874, ENSP00000485821, ENSP00000486210, ENSP00000487046, ENSP00000486465, ENSP00000486965, ENSP00000485944, ENSP00000485749, ENSP00000487233, ENSP00000419798, ENSP00000486075, ENSP00000480691, ENSP00000480849, ENSP00000487131, ENSP00000487270, ENSP00000480194, ENSP00000486164, ENSP00000486518, ENSP00000486556, ENSP00000485835, ENSP00000482172, ENSP00000420243, ENSP00000487389, ENSP00000481623, ENSP00000417498, ENSP00000479614, ENSP00000486982, ENSP00000482178, ENSP00000483270, ENSP00000481715, ENSP00000485685, ENSP00000481518, ENSP00000487412, ENSP00000487235, ENSP00000487574, ENSP00000485734, ENSP00000487492, ENSP00000487084, ENSP00000338109, ENSP00000485898, ENSP00000486565, ENSP00000479199, ENSP00000486902, ENSP00000304207, ENSP00000487522, ENSP00000486046, ENSP00000486183, ENSP00000478400, ENSP00000487383	ENSMUSP00000093813, ENSMUSP00000119154
OG0000018	ENSP00000485768, ENSP00000486429, ENSP00000417657, ENSP00000420439, ENSP00000417397, ENSP00000419989, ENSP00000418306, ENSP00000486822, ENSP00000487180, ENSP00000486657, ENSP00000485865, ENSP00000487020, ENSP00000487564, ENSP00000487096, ENSP00000487243, ENSP00000487123, ENSP00000417722, ENSP00000486205, ENSP00000487060, ENSP00000486683, ENSP00000487502, ENSP00000486305, ENSP00000487312, ENSP00000486023, ENSP00000487226, ENSP00000485714, ENSP00000486425, ENSP00000486522, ENSP00000487329, ENSP00000486533, ENSP00000486911, ENSP00000487506, ENSP00000487409, ENSP00000486541, ENSP00000487451, ENSP00000487471, ENSP00000485964	ENSMUSP00000119029
OG0000020	ENSP00000419412, ENSP00000405600, ENSP00000419164, ENSP00000376571	ENSMUSP00000078972, ENSMUSP00000110701, ENSMUSP00000110699
OG0000020	ENSP00000314006, ENSP00000362865, ENSP00000350756, ENSP00000273063	ENSMUSP00000116747
OG0000020	ENSP00000262418, ENSP00000382190	ENSMUSP00000006749
OG0000020	ENSP00000393557	ENSMUSP00000121744
OG0000020	ENSP00000344272	ENSMUSP00000118413
OG0000020	ENSP00000264485, ENSP00000497468	ENSMUSP00000108844, ENSMUSP00000119325
OG0000020	ENSP00000377587, ENSP00000251768, ENSP00000399319, ENSP00000407550, ENSP00000405678, ENSP00000366859, ENSP00000366861, ENSP00000395804	ENSMUSP00000041007, ENSMUSP00000109532, ENSMUSP00000109533
OG0000020	ENSP00000393066, ENSP00000404486	ENSMUSP00000108099
OG0000020	ENSP00000272716	ENSMUSP00000061411, ENSMUSP00000099796
OG0000020	ENSP00000351483, ENSP00000405812	ENSMUSP00000023776, ENSMUSP00000125090
OG0000020	ENSP00000388703, ENSP00000416368, ENSP00000394252, ENSP00000407382, ENSP00000406605, ENSP00000406804, ENSP00000401949, ENSP00000295736, ENSP00000390394, ENSP00000414797	ENSMUSP00000153180, ENSMUSP00000153116, ENSMUSP00000153166, ENSMUSP00000153185, ENSMUSP00000153470, ENSMUSP00000152950, ENSMUSP00000153084, ENSMUSP00000153045, ENSMUSP00000153597, ENSMUSP00000153280, ENSMUSP00000153345, ENSMUSP00000153648, ENSMUSP00000153093, ENSMUSP00000152933, ENSMUSP00000153690, ENSMUSP00000152984, ENSMUSP00000153323, ENSMUSP00000058313
OG0000021	ENSP00000308413	ENSMUSP00000137802, ENSMUSP00000025749
OG0000021	ENSP00000384335, ENSP00000376744, ENSP00000441993, ENSP00000225577	ENSMUSP00000119715
OG0000021	ENSP00000430463, ENSP00000430256, ENSP00000331816, ENSP00000429022, ENSP00000379842	ENSMUSP00000130078, ENSMUSP00000126861, ENSMUSP00000095437, ENSMUSP00000127462
OG0000021	ENSP00000362168, ENSP00000412214, ENSP00000340608, ENSP00000392795, ENSP00000362192, ENSP00000362184	ENSMUSP00000018012, ENSMUSP00000112468
OG0000021	ENSP00000237305	ENSMUSP00000020145
OG0000021	ENSP00000434450, ENSP00000356831, ENSP00000396242	ENSMUSP00000090343
OG0000021	ENSP00000356832	ENSMUSP00000114074
OG0000021	ENSP00000270202, ENSP00000384293, ENSP00000450688, ENSP00000451166, ENSP00000385326, ENSP00000451828, ENSP00000497822	ENSMUSP00000122222, ENSMUSP00000001780
OG0000021	ENSP00000355497, ENSP00000479081, ENSP00000263826	ENSMUSP00000106789, ENSMUSP00000106790
OG0000021	ENSP00000355498, ENSP00000479922, ENSP00000483054, ENSP00000336943	ENSMUSP00000019843
OG0000021	ENSP00000309428, ENSP00000399532	ENSMUSP00000083081
OG0000021	ENSP00000470604, ENSP00000463686, ENSP00000404083, ENSP00000375891, ENSP00000407999, ENSP00000462022, ENSP00000403842, ENSP00000351095, ENSP00000396532, ENSP00000392458, ENSP00000463806	ENSMUSP00000120978
OG0000022	ENSP00000416395, ENSP00000450802, ENSP00000450554, ENSP00000450614, ENSP00000450651, ENSP00000450435, ENSP00000452079, ENSP00000370750	ENSMUSP00000124066, ENSMUSP00000082352
OG0000022	ENSP00000267502, ENSP00000449079	ENSMUSP00000021548, ENSMUSP00000112543
OG0000022	ENSP00000391121, ENSP00000477512, ENSP00000477884, ENSP00000379547, ENSP00000479552, ENSP00000480095, ENSP00000482051, ENSP00000482782, ENSP00000484111, ENSP00000484246, ENSP00000484637, ENSP00000482809, ENSP00000477732	ENSMUSP00000008579, ENSMUSP00000113433
OG0000022	ENSP00000291892, ENSP00000483247, ENSP00000481856, ENSP00000465538	ENSMUSP00000114390
OG0000022	ENSP00000368173, ENSP00000412826, ENSP00000378361	ENSMUSP00000021187, ENSMUSP00000112553
OG0000022	ENSP00000370648	ENSMUSP00000020947
OG0000022	ENSP00000386161, ENSP00000482648	ENSMUSP00000104736, ENSMUSP00000125626
OG0000022	ENSP00000457230	ENSMUSP00000004756
OG0000022	ENSP00000334113, ENSP00000402741, ENSP00000391778	ENSMUSP00000076472
OG0000023	ENSP00000297185, ENSP00000496940	ENSMUSP00000025217
OG0000023	ENSP00000324173	ENSMUSP00000028222, ENSMUSP00000097747
OG0000023	ENSP00000378199, ENSP00000247207	ENSMUSP00000151408, ENSMUSP00000079306
OG0000023	ENSP00000433584	ENSMUSP00000113722
OG0000023	ENSP00000437125	ENSMUSP00000015800
OG0000023	ENSP00000364805, ENSP00000396486, ENSP00000409151, ENSP00000408347, ENSP00000372881	ENSMUSP00000007248
OG0000023	ENSP00000406359, ENSP00000403530, ENSP00000375399, ENSP00000375391, ENSP00000404524, ENSP00000408907, ENSP00000364801, ENSP00000442789, ENSP00000387691, ENSP00000402651, ENSP00000382915, ENSP00000393087, ENSP00000364802	ENSMUSP00000084586, ENSMUSP00000133815
OG0000024	ENSP00000426917, ENSP00000237612	ENSMUSP00000031822, ENSMUSP00000109933, ENSMUSP00000138703, ENSMUSP00000138608
OG0000024	ENSP00000431915	ENSMUSP00000124583, ENSMUSP00000124154
OG0000024	ENSP00000260645, ENSP00000384513	ENSMUSP00000130783, ENSMUSP00000069495
OG0000024	ENSP00000479253, ENSP00000484289, ENSP00000481728	ENSMUSP00000124647, ENSMUSP00000034648
OG0000024	ENSP00000381464, ENSP00000339744, ENSP00000291524, ENSP00000381475, ENSP00000381467, ENSP00000414541, ENSP00000354995	ENSMUSP00000024829
OG0000026	ENSP00000321195	ENSMUSP00000029257
OG0000026	ENSP00000364796, ENSP00000420387	ENSMUSP00000033818, ENSMUSP00000088779
OG0000026	ENSP00000332756	ENSMUSP00000146015, ENSMUSP00000099066, ENSMUSP00000145853, ENSMUSP00000119320
OG0000026	ENSP00000264449.10	ENSMUSP00000118379
OG0000026	ENSP00000371084	ENSMUSP00000072738, ENSMUSP00000042215
OG0000026	ENSP00000371070	ENSMUSP00000079238
OG0000026	ENSP00000349325	ENSMUSP00000129811
OG0000026	ENSP00000431081, ENSP00000493802, ENSP00000313600	ENSMUSP00000076844
OG0000026	ENSP00000421536, ENSP00000420909, ENSP00000273859	ENSMUSP00000143594, ENSMUSP00000142749
OG0000026	ENSP00000283684, ENSP00000497896	ENSMUSP00000025482
OG0000026	ENSP00000437115, ENSP00000311336, ENSP00000465027, ENSP00000445204	ENSMUSP00000151571, ENSMUSP00000020383
OG0000026	ENSP00000284509, ENSP00000453169, ENSP00000453690	ENSMUSP00000047302, ENSMUSP00000046444
OG0000026	ENSP00000357475	ENSMUSP00000103019, ENSMUSP00000128423, ENSMUSP00000063384
OG0000027	ENSP00000491125	ENSMUSP00000087264, ENSMUSP00000129827, ENSMUSP00000154497, ENSMUSP00000153785, ENSMUSP00000154482, ENSMUSP00000153799, ENSMUSP00000144978, ENSMUSP00000154295, ENSMUSP00000145398, ENSMUSP00000087336, ENSMUSP00000154766, ENSMUSP00000154098, ENSMUSP00000153952, ENSMUSP00000154074, ENSMUSP00000135860, ENSMUSP00000153898, ENSMUSP00000154422, ENSMUSP00000154301, ENSMUSP00000153802, ENSMUSP00000052301, ENSMUSP00000154514, ENSMUSP00000154463, ENSMUSP00000154594, ENSMUSP00000153775, ENSMUSP00000154405, ENSMUSP00000154262, ENSMUSP00000135676, ENSMUSP00000154414, ENSMUSP00000154812, ENSMUSP00000154621, ENSMUSP00000154588, ENSMUSP00000071272, ENSMUSP00000154429, ENSMUSP00000154534, ENSMUSP00000077924, ENSMUSP00000154039, ENSMUSP00000073098, ENSMUSP00000154607, ENSMUSP00000154078, ENSMUSP00000135207, ENSMUSP00000154375, ENSMUSP00000154520, ENSMUSP00000153807, ENSMUSP00000154267, ENSMUSP00000154252, ENSMUSP00000135323, ENSMUSP00000094369, ENSMUSP00000153919, ENSMUSP00000153976, ENSMUSP00000153798, ENSMUSP00000154566, ENSMUSP00000154643, ENSMUSP00000154001, ENSMUSP00000154691, ENSMUSP00000153749, ENSMUSP00000135555, ENSMUSP00000154103, ENSMUSP00000153909, ENSMUSP00000153815, ENSMUSP00000093547, ENSMUSP00000154236, ENSMUSP00000154455, ENSMUSP00000154305, ENSMUSP00000135252, ENSMUSP00000135282, ENSMUSP00000153928, ENSMUSP00000154334, ENSMUSP00000154129, ENSMUSP00000153914, ENSMUSP00000154199, ENSMUSP00000153712, ENSMUSP00000154081, ENSMUSP00000131092, ENSMUSP00000154306, ENSMUSP00000154450, ENSMUSP00000078611, ENSMUSP00000153994, ENSMUSP00000153988, ENSMUSP00000129069, ENSMUSP00000153943, ENSMUSP00000134901, ENSMUSP00000154213, ENSMUSP00000135571, ENSMUSP00000154544, ENSMUSP00000154298, ENSMUSP00000093561, ENSMUSP00000154215, ENSMUSP00000153808, ENSMUSP00000125762, ENSMUSP00000154376, ENSMUSP00000154612, ENSMUSP00000154278
OG0000030	ENSP00000358160, ENSP00000484841, ENSP00000355657, ENSP00000494070, ENSP00000352252	ENSMUSP00000089293
OG0000030	ENSP00000484638	ENSMUSP00000140394
OG0000030	ENSP00000484095	ENSMUSP00000139663
OG0000030	ENSP00000358154	ENSMUSP00000089295, ENSMUSP00000134751, ENSMUSP00000135215, ENSMUSP00000089346, ENSMUSP00000100739
OG0000030	ENSP00000333277	ENSMUSP00000096442
OG0000030	ENSP00000385479	ENSMUSP00000100737
OG0000030	ENSP00000466020, ENSP00000355781	ENSMUSP00000079816
OG0000030	ENSP00000468714	ENSMUSP00000125104
OG0000030	ENSP00000254810	ENSMUSP00000124509
OG0000030	ENSP00000465403	ENSMUSP00000125754
OG0000031	ENSP00000424828, ENSP00000426173, ENSP00000422099, ENSP00000312397	ENSMUSP00000123701
OG0000031	ENSP00000408974, ENSP00000424108, ENSP00000437526, ENSP00000424198, ENSP00000226725	ENSMUSP00000034017, ENSMUSP00000147262
OG0000031	ENSP00000343930	ENSMUSP00000101194
OG0000031	ENSP00000293303	ENSMUSP00000001599
OG0000031	ENSP00000391983, ENSP00000416221	ENSMUSP00000103018
OG0000031	ENSP00000386389	ENSMUSP00000027533
OG0000031	ENSP00000287777	ENSMUSP00000095873
OG0000031	ENSP00000284669	ENSMUSP00000097627
OG0000031	ENSP00000481197	ENSMUSP00000113739
OG0000031	ENSP00000476795, ENSP00000497351	ENSMUSP00000124904, ENSMUSP00000070168
OG0000031	ENSP00000347193, ENSP00000379434	ENSMUSP00000021331, ENSMUSP00000152602
OG0000031	ENSP00000209884	ENSMUSP00000114044, ENSMUSP00000107238
OG0000031	ENSP00000356227, ENSP00000356230	ENSMUSP00000027725, ENSMUSP00000112227, ENSMUSP00000107851
OG0000031	ENSP00000371355, ENSP00000423897, ENSP00000261426	ENSMUSP00000144732
OG0000031	ENSP00000261425	ENSMUSP00000098752
OG0000031	ENSP00000423080	ENSMUSP00000144976
OG0000031	ENSP00000439602, ENSP00000367075	ENSMUSP00000022666
OG0000031	ENSP00000362211, ENSP00000362206	ENSMUSP00000118072, ENSMUSP00000108998, ENSMUSP00000038080
OG0000031	ENSP00000424131, ENSP00000273963	ENSMUSP00000031254
OG0000031	ENSP00000232766	ENSMUSP00000069674, ENSMUSP00000143634, ENSMUSP00000143384, ENSMUSP00000142820
OG0000032	ENSP00000484204, ENSP00000484753, ENSP00000490715, ENSP00000488892, ENSP00000490581, ENSP00000490790, ENSP00000328915, ENSP00000484237, ENSP00000347211, ENSP00000488446, ENSP00000488367, ENSP00000488817, ENSP00000480509, ENSP00000478860, ENSP00000349931, ENSP00000350358, ENSP00000491071, ENSP00000491482, ENSP00000334410, ENSP00000492522, ENSP00000491259, ENSP00000487743, ENSP00000240189, ENSP00000332134, ENSP00000491658, ENSP00000492439, ENSP00000479010, ENSP00000490148, ENSP00000235347, ENSP00000488485, ENSP00000365266, ENSP00000446004, ENSP00000488059, ENSP00000485473, ENSP00000365269, ENSP00000445097, ENSP00000384343, ENSP00000484066, ENSP00000486485, ENSP00000381726, ENSP00000381728, ENSP00000445675, ENSP00000486330, ENSP00000385198, ENSP00000485726, ENSP00000407320, ENSP00000407121, ENSP00000487167, ENSP00000412318, ENSP00000486910, ENSP00000487168, ENSP00000384058, ENSP00000486222, ENSP00000385091, ENSP00000473584, ENSP00000346275, ENSP00000480027, ENSP00000488512, ENSP00000488527, ENSP00000480122, ENSP00000482418, ENSP00000478534, ENSP00000365360, ENSP00000401281, ENSP00000487731, ENSP00000488780, ENSP00000480708, ENSP00000490779, ENSP00000481973, ENSP00000478309, ENSP00000488324, ENSP00000488002, ENSP00000488003, ENSP00000481683, ENSP00000490751, ENSP00000490397, ENSP00000485656, ENSP00000235349, ENSP00000488161, ENSP00000365322, ENSP00000485258, ENSP00000489957, ENSP00000482656, ENSP00000488085, ENSP00000490306, ENSP00000393136, ENSP00000488044	ENSMUSP00000119614, ENSMUSP00000030326
OG0000033	ENSP00000495351, ENSP00000495504, ENSP00000495418, ENSP00000494649, ENSP00000260983	ENSMUSP00000113283, ENSMUSP00000084942
OG0000033	ENSP00000407774, ENSP00000379228	ENSMUSP00000152215, ENSMUSP00000106145
OG0000033	ENSP00000354621, ENSP00000492201	ENSMUSP00000106305
OG0000033	ENSP00000355326, ENSP00000491036	ENSMUSP00000082827
