Orthogroup	arabidopsis	mouse
OG0000012	AT4G27710.1, AT2G46950.1, AT2G46960.2, AT5G52400.1, AT5G38450.1, AT1G67110.1, AT1G75130.1, AT2G26710.1, AT3G14630.2, AT3G14690.2, AT3G14660.1, AT3G14650.1, AT3G14680.1, AT3G14640.2, AT3G14610.1, AT3G14620.1, AT1G17060.1, AT1G31800.1, AT3G53130.1, AT4G15110.1	ENSMUSP00000112174, ENSMUSP00000092966, ENSMUSP00000129536, ENSMUSP00000157311, ENSMUSP00000008801, ENSMUSP00000129264, ENSMUSP00000136139, ENSMUSP00000157036, ENSMUSP00000157006, ENSMUSP00000050478, ENSMUSP00000003416, ENSMUSP00000131058, ENSMUSP00000076827, ENSMUSP00000123282, ENSMUSP00000074733, ENSMUSP00000157023, ENSMUSP00000129514, ENSMUSP00000003413, ENSMUSP00000003574, ENSMUSP00000148315, ENSMUSP00000059545, ENSMUSP00000102155, ENSMUSP00000139717, ENSMUSP00000092487, ENSMUSP00000081370, ENSMUSP00000140857, ENSMUSP00000030487, ENSMUSP00000099768
OG0000015	AT2G45810.1, AT3G61240.1, AT4G00660.1	ENSMUSP00000149620, ENSMUSP00000128421
OG0000015	AT3G19760.1, AT1G51380.1	ENSMUSP00000101860, ENSMUSP00000145166, ENSMUSP00000144809, ENSMUSP00000133154, ENSMUSP00000145194, ENSMUSP00000026667
OG0000015	AT3G13920.5, AT1G54270.1, AT1G72730.1	ENSMUSP00000110998, ENSMUSP00000156170, ENSMUSP00000090876, ENSMUSP00000115649, ENSMUSP00000140809, ENSMUSP00000023599, ENSMUSP00000127030, ENSMUSP00000127034
OG0000015	AT3G53110.1	ENSMUSP00000038551, ENSMUSP00000066806, ENSMUSP00000047898, ENSMUSP00000034612
OG0000016	AT4G14340.1, AT3G23340.1, AT1G04440.1, AT5G43320.1, AT4G28540.1, AT5G44100.1, AT1G03930.1, AT4G28860.1, AT4G28880.1, AT2G19470.1, AT4G08800.1, AT1G72710.1, AT4G26100.1, AT5G57015.1	ENSMUSP00000070259, ENSMUSP00000082560, ENSMUSP00000078706, ENSMUSP00000145938, ENSMUSP00000145724, ENSMUSP00000113160, ENSMUSP00000146047, ENSMUSP00000145947, ENSMUSP00000034949, ENSMUSP00000145887, ENSMUSP00000113341, ENSMUSP00000113975, ENSMUSP00000070721, ENSMUSP00000018274, ENSMUSP00000113096, ENSMUSP00000117472, ENSMUSP00000155317, ENSMUSP00000110901, ENSMUSP00000127463, ENSMUSP00000127265, ENSMUSP00000131687, ENSMUSP00000127144, ENSMUSP00000132083, ENSMUSP00000128871
OG0000021	AT3G08720.1	ENSMUSP00000137802, ENSMUSP00000025749, ENSMUSP00000119715
OG0000021	AT2G29700.1, AT5G05710.1	ENSMUSP00000120882, ENSMUSP00000115073, ENSMUSP00000130078, ENSMUSP00000126861, ENSMUSP00000095437, ENSMUSP00000127462, ENSMUSP00000018012, ENSMUSP00000112468, ENSMUSP00000020145, ENSMUSP00000090343, ENSMUSP00000114074, ENSMUSP00000128873, ENSMUSP00000097614, ENSMUSP00000114691, ENSMUSP00000117119, ENSMUSP00000118190, ENSMUSP00000123689, ENSMUSP00000103979, ENSMUSP00000132141, ENSMUSP00000052103, ENSMUSP00000103981, ENSMUSP00000103980, ENSMUSP00000122222, ENSMUSP00000001780, ENSMUSP00000106789, ENSMUSP00000106790, ENSMUSP00000019843, ENSMUSP00000083081, ENSMUSP00000120978
OG0000022	AT5G53090.1, AT4G27760.1, AT5G53100.1	ENSMUSP00000118851, ENSMUSP00000124066, ENSMUSP00000082352, ENSMUSP00000021548, ENSMUSP00000112543, ENSMUSP00000008579, ENSMUSP00000113433, ENSMUSP00000114390, ENSMUSP00000021187, ENSMUSP00000112553, ENSMUSP00000020947
OG0000022	AT1G03630.1	ENSMUSP00000104736, ENSMUSP00000125626, ENSMUSP00000004756
OG0000023	AT5G09590.1, AT4G37910.1, AT4G32208.1	ENSMUSP00000141966
OG0000023	AT5G42020.3, AT5G28540.1, AT1G09080.1	ENSMUSP00000028222, ENSMUSP00000097747
OG0000023	AT5G02490.1, AT5G02500.1, AT3G09440.1, AT3G12580.1, AT1G56410.1, AT1G16030.1	ENSMUSP00000151408, ENSMUSP00000079306, ENSMUSP00000113722, ENSMUSP00000015800, ENSMUSP00000007248, ENSMUSP00000084586, ENSMUSP00000133815
OG0000024	AT3G13220.1, AT5G06530.1, AT4G27420.1, AT3G25620.2, AT1G31770.1, AT1G71960.1	ENSMUSP00000031822, ENSMUSP00000109933, ENSMUSP00000138703, ENSMUSP00000138608
OG0000024	AT3G21080.1	ENSMUSP00000124583, ENSMUSP00000124154, ENSMUSP00000130783, ENSMUSP00000069495
OG0000024	AT5G13580.1, AT2G39350.1, AT3G55090.1, AT3G53510.1, AT2G37360.1, AT3G55100.1, AT3G55110.1, AT3G55130.1, AT2G13610.1, AT4G25750.1, AT5G52860.1, AT5G19410.2, AT1G53270.1, AT1G51460.1, AT1G51500.1, AT3G21090.1, AT2G28070.1, AT1G17840.1	ENSMUSP00000124647, ENSMUSP00000034648, ENSMUSP00000024829
OG0000026	AT5G44240.1	ENSMUSP00000029257, ENSMUSP00000033818, ENSMUSP00000088779, ENSMUSP00000146015, ENSMUSP00000099066, ENSMUSP00000145853, ENSMUSP00000119320, ENSMUSP00000118379, ENSMUSP00000072738, ENSMUSP00000042215, ENSMUSP00000079238
OG0000026	AT3G18700.1	ENSMUSP00000129811, ENSMUSP00000076844, ENSMUSP00000143594, ENSMUSP00000142749
OG0000026	AT5G04930.1	ENSMUSP00000025482, ENSMUSP00000151571, ENSMUSP00000020383, ENSMUSP00000047302, ENSMUSP00000046444, ENSMUSP00000103019, ENSMUSP00000128423, ENSMUSP00000063384, ENSMUSP00000103575
OG0000030	AT1G13370.1, AT1G75600.1, AT5G10980.1, AT4G40040.1, AT4G40030.2, AT1G19890.1, AT1G09200.1, AT3G27360.1, AT5G65360.1, AT5G65350.1, AT5G10390.1, AT5G10400.1	ENSMUSP00000079670, ENSMUSP00000089293, ENSMUSP00000140394, ENSMUSP00000139663, ENSMUSP00000151536, ENSMUSP00000089295, ENSMUSP00000134751, ENSMUSP00000135215, ENSMUSP00000089346, ENSMUSP00000100739, ENSMUSP00000096442, ENSMUSP00000100737, ENSMUSP00000074994, ENSMUSP00000016703, ENSMUSP00000102062, ENSMUSP00000079816, ENSMUSP00000125104, ENSMUSP00000124509, ENSMUSP00000125754
OG0000033	AT1G70320.1, AT1G55860.1	ENSMUSP00000113283, ENSMUSP00000084942, ENSMUSP00000152215, ENSMUSP00000106145, ENSMUSP00000098029, ENSMUSP00000106305, ENSMUSP00000082827, ENSMUSP00000090177, ENSMUSP00000129269, ENSMUSP00000099356, ENSMUSP00000148679, ENSMUSP00000132224, ENSMUSP00000148813, ENSMUSP00000103881, ENSMUSP00000041627, ENSMUSP00000029126, ENSMUSP00000105307, ENSMUSP00000153537, ENSMUSP00000132838, ENSMUSP00000079280, ENSMUSP00000153526, ENSMUSP00000153052, ENSMUSP00000034740
OG0000035	AT3G45980.1, AT3G46030.1, AT5G59910.1, AT2G28720.1, AT5G22880.1, AT1G07790.1, AT2G37470.1, AT3G53650.1, AT5G02570.1, AT3G09480.1	ENSMUSP00000076397, ENSMUSP00000056604, ENSMUSP00000135427, ENSMUSP00000106099, ENSMUSP00000100047, ENSMUSP00000153457, ENSMUSP00000018246, ENSMUSP00000089296, ENSMUSP00000136792, ENSMUSP00000089343, ENSMUSP00000097294, ENSMUSP00000106082, ENSMUSP00000089350, ENSMUSP00000106095, ENSMUSP00000089301, ENSMUSP00000100738, ENSMUSP00000106093, ENSMUSP00000077290, ENSMUSP00000106102, ENSMUSP00000088287, ENSMUSP00000106085, ENSMUSP00000153277, ENSMUSP00000061247, ENSMUSP00000078239
OG0000036	AT2G04350.1, AT1G77590.1	ENSMUSP00000108528, ENSMUSP00000033634, ENSMUSP00000108524, ENSMUSP00000108525, ENSMUSP00000117952, ENSMUSP00000121695, ENSMUSP00000045291
OG0000036	AT5G27600.1, AT3G05970.1	ENSMUSP00000046585, ENSMUSP00000072040, ENSMUSP00000090795, ENSMUSP00000091746, ENSMUSP00000104533, ENSMUSP00000104532, ENSMUSP00000098773, ENSMUSP00000098771, ENSMUSP00000069844, ENSMUSP00000104527, ENSMUSP00000119714, ENSMUSP00000000145, ENSMUSP00000106000, ENSMUSP00000106001, ENSMUSP00000034046
OG0000038	AT2G47170.1, AT3G62290.1, AT1G70490.1, AT1G23490.1, AT1G10630.1, AT5G14670.1	ENSMUSP00000154967, ENSMUSP00000107937, ENSMUSP00000155713, ENSMUSP00000022429, ENSMUSP00000020717, ENSMUSP00000127281, ENSMUSP00000102622, ENSMUSP00000051814, ENSMUSP00000050689, ENSMUSP00000079905, ENSMUSP00000126120
OG0000038	AT2G24765.1	ENSMUSP00000111942, ENSMUSP00000079246
OG0000038	AT2G18390.1	ENSMUSP00000025893
OG0000041	AT2G42170.1, AT2G42090.1, AT2G42100.1	ENSMUSP00000092692, ENSMUSP00000092693, ENSMUSP00000134564, ENSMUSP00000050377, ENSMUSP00000048360, ENSMUSP00000047326, ENSMUSP00000039844
OG0000041	AT3G18780.2, AT1G49240.1, AT3G53750.1, AT2G37620.1, AT5G59370.1, AT3G46520.1, AT5G09810.1, AT3G12110.1	ENSMUSP00000052086, ENSMUSP00000098066, ENSMUSP00000071486, ENSMUSP00000101822, ENSMUSP00000146302, ENSMUSP00000130611, ENSMUSP00000101823, ENSMUSP00000148594, ENSMUSP00000120936, ENSMUSP00000048218, ENSMUSP00000034453, ENSMUSP00000087736, ENSMUSP00000074658, ENSMUSP00000113552
OG0000046	AT1G30400.1, AT2G34660.1, AT1G30410.1, AT1G30420.1	ENSMUSP00000122402, ENSMUSP00000079014, ENSMUSP00000078158, ENSMUSP00000111209, ENSMUSP00000042186, ENSMUSP00000129677
OG0000046	AT3G59140.1, AT3G21250.4, AT1G04120.1, AT3G13090.1, AT3G13100.1, AT3G13080.1, AT1G71330.1, AT3G60970.1, AT3G60160.1, AT2G47800.1, AT3G62700.1	ENSMUSP00000026208, ENSMUSP00000021231, ENSMUSP00000136343, ENSMUSP00000002850, ENSMUSP00000097743
OG0000046	AT2G07680.3	ENSMUSP00000132561, ENSMUSP00000038041, ENSMUSP00000131843, ENSMUSP00000092895
OG0000047	AT4G00430.1, AT1G01620.1, AT3G61430.1, AT2G45960.3, AT4G23400.1, AT2G16850.1, AT4G35100.1, AT3G53420.1, AT2G37170.2, AT2G37180.1, AT5G60660.1, AT2G39010.1, AT3G54820.1	ENSMUSP00000026455, ENSMUSP00000155212, ENSMUSP00000127611, ENSMUSP00000085530, ENSMUSP00000154934, ENSMUSP00000023754, ENSMUSP00000155623, ENSMUSP00000023752, ENSMUSP00000157337, ENSMUSP00000157324, ENSMUSP00000157060, ENSMUSP00000157152, ENSMUSP00000157000, ENSMUSP00000157347, ENSMUSP00000157239, ENSMUSP00000078088, ENSMUSP00000004774
OG0000047	AT2G16835.1	ENSMUSP00000157261
OG0000048	AT1G67580.1, AT5G63370.1	ENSMUSP00000045527, ENSMUSP00000148435, ENSMUSP00000101225, ENSMUSP00000070527, ENSMUSP00000101223
OG0000048	AT3G48750.1	ENSMUSP00000020099, ENSMUSP00000113184
OG0000049	AT5G46240.1, AT4G18290.2, AT4G32500.1, AT2G25600.1, AT2G26650.1, AT4G32650.1, AT4G22200.1	ENSMUSP00000106468, ENSMUSP00000077563, ENSMUSP00000046864, ENSMUSP00000040548, ENSMUSP00000049206, ENSMUSP00000102984, ENSMUSP00000102986, ENSMUSP00000110750, ENSMUSP00000047705, ENSMUSP00000074563, ENSMUSP00000108073, ENSMUSP00000108071, ENSMUSP00000102516, ENSMUSP00000001965, ENSMUSP00000137675
OG0000051	AT2G38750.1, AT5G10230.1, AT5G10220.1, AT5G65020.1, AT1G35720.1, AT5G12380.1, AT2G38760.1, AT1G68090.1	ENSMUSP00000153130, ENSMUSP00000143103, ENSMUSP00000025561, ENSMUSP00000117855, ENSMUSP00000034756, ENSMUSP00000031447, ENSMUSP00000099788, ENSMUSP00000104511, ENSMUSP00000066035, ENSMUSP00000153669, ENSMUSP00000098405, ENSMUSP00000022416, ENSMUSP00000107983, ENSMUSP00000113662, ENSMUSP00000022519, ENSMUSP00000109305, ENSMUSP00000115346, ENSMUSP00000117378, ENSMUSP00000001187, ENSMUSP00000145421, ENSMUSP00000144961, ENSMUSP00000138194, ENSMUSP00000029266
OG0000052	AT5G06210.1, AT2G37510.2, AT5G54580.1, AT1G73530.1, AT5G59865.1, AT5G19030.1, AT3G08000.1, AT3G26420.1, AT4G39260.1, AT2G21660.1, AT1G74230.1, AT5G61030.1, AT1G18630.1, AT4G13850.1, AT3G23830.1, AT5G47320.1, AT4G13860.1	ENSMUSP00000121214, ENSMUSP00000052642, ENSMUSP00000101004, ENSMUSP00000038964, ENSMUSP00000111280, ENSMUSP00000111279, ENSMUSP00000111277, ENSMUSP00000111282, ENSMUSP00000111284, ENSMUSP00000138705, ENSMUSP00000138456, ENSMUSP00000048153, ENSMUSP00000147384, ENSMUSP00000154633
OG0000053	AT5G20240.1, AT3G54340.1, AT5G23260.4, AT1G71692.1, AT1G26310.1, AT1G69120.1, AT5G60910.1, AT3G30260.1, AT2G03710.1, AT3G02310.1, AT5G15800.2, AT1G24260.2, AT3G61120.1, AT2G45650.1, AT4G11880.1, AT4G22950.1, AT5G51860.1, AT5G51870.3, AT5G62165.1, AT2G45660.1, AT3G58780.4, AT2G42830.2, AT4G18960.1, AT4G09960.4, AT4G37940.1, AT2G22630.1, AT2G14210.2, AT3G57230.1, AT3G57390.1, AT5G13790.2, AT4G24540.1, AT2G22540.1	ENSMUSP00000143286, ENSMUSP00000132547, ENSMUSP00000005722, ENSMUSP00000138826, ENSMUSP00000143401, ENSMUSP00000143212, ENSMUSP00000142456, ENSMUSP00000143338, ENSMUSP00000143187, ENSMUSP00000142884, ENSMUSP00000143611, ENSMUSP00000143598, ENSMUSP00000143339, ENSMUSP00000113638, ENSMUSP00000032776, ENSMUSP00000075664, ENSMUSP00000116144, ENSMUSP00000138645
OG0000054	AT1G26370.1	ENSMUSP00000104167
OG0000054	AT4G18465.1	ENSMUSP00000029186, ENSMUSP00000105104
OG0000054	AT1G27900.1	ENSMUSP00000018569
OG0000054	AT5G13010.1	ENSMUSP00000047865
OG0000054	AT5G14900.1, AT2G47250.1, AT3G62310.1	ENSMUSP00000031061, ENSMUSP00000143069, ENSMUSP00000143658, ENSMUSP00000143381, ENSMUSP00000101745, ENSMUSP00000066067, ENSMUSP00000033290
OG0000054	AT3G26560.1	ENSMUSP00000119430, ENSMUSP00000037251
OG0000054	AT4G16680.2, AT2G35340.1, AT1G32490.1	ENSMUSP00000133888, ENSMUSP00000025292
OG0000055	AT5G01670.2, AT2G37790.1, AT2G37770.2, AT3G53880.1, AT2G37760.1, AT5G62420.1, AT2G21250.1, AT2G21260.1	ENSMUSP00000030455, ENSMUSP00000048830, ENSMUSP00000112666, ENSMUSP00000080074, ENSMUSP00000021632, ENSMUSP00000021634, ENSMUSP00000045394, ENSMUSP00000112664, ENSMUSP00000152648, ENSMUSP00000077363, ENSMUSP00000079232, ENSMUSP00000021630, ENSMUSP00000152778, ENSMUSP00000021628, ENSMUSP00000106332, ENSMUSP00000021635, ENSMUSP00000063309, ENSMUSP00000124333, ENSMUSP00000040244, ENSMUSP00000007449, ENSMUSP00000110703, ENSMUSP00000039114, ENSMUSP00000100045, ENSMUSP00000106319, ENSMUSP00000089459
OG0000056	AT2G26300.1	ENSMUSP00000043190, ENSMUSP00000025541, ENSMUSP00000025602, ENSMUSP00000000001, ENSMUSP00000074259, ENSMUSP00000142326, ENSMUSP00000057543, ENSMUSP00000036087, ENSMUSP00000124639, ENSMUSP00000034198, ENSMUSP00000114144, ENSMUSP00000148550, ENSMUSP00000119220, ENSMUSP00000010205, ENSMUSP00000030561, ENSMUSP00000121533, ENSMUSP00000120425, ENSMUSP00000053818
OG0000062	AT4G01370.1, AT1G01560.2, AT2G46070.3, AT4G11330.1, AT1G07880.2, AT2G43790.1, AT3G59790.1, AT3G45640.1, AT1G59580.1, AT1G10210.1, AT4G36450.1, AT2G18170.1	ENSMUSP00000156387, ENSMUSP00000086207, ENSMUSP00000004990, ENSMUSP00000110402, ENSMUSP00000110400, ENSMUSP00000061958, ENSMUSP00000116914, ENSMUSP00000110406, ENSMUSP00000156692, ENSMUSP00000086204, ENSMUSP00000088880, ENSMUSP00000156154, ENSMUSP00000065983, ENSMUSP00000111396, ENSMUSP00000146161, ENSMUSP00000051619, ENSMUSP00000101969, ENSMUSP00000146179, ENSMUSP00000104354, ENSMUSP00000078087, ENSMUSP00000116084, ENSMUSP00000154893, ENSMUSP00000087098
OG0000063	AT1G07110.1	ENSMUSP00000142992, ENSMUSP00000142378, ENSMUSP00000057197, ENSMUSP00000108333, ENSMUSP00000079692, ENSMUSP00000140355, ENSMUSP00000129747, ENSMUSP00000133073, ENSMUSP00000140984, ENSMUSP00000140786, ENSMUSP00000140551, ENSMUSP00000066426, ENSMUSP00000127587, ENSMUSP00000140698, ENSMUSP00000140612, ENSMUSP00000110495, ENSMUSP00000050926, ENSMUSP00000097979, ENSMUSP00000110494, ENSMUSP00000028114, ENSMUSP00000110493, ENSMUSP00000126305, ENSMUSP00000129122, ENSMUSP00000142079, ENSMUSP00000137130, ENSMUSP00000142296, ENSMUSP00000141445, ENSMUSP00000138893
OG0000064	AT5G04430.2	ENSMUSP00000149560, ENSMUSP00000024260, ENSMUSP00000140629, ENSMUSP00000101051, ENSMUSP00000001148, ENSMUSP00000129465, ENSMUSP00000090048, ENSMUSP00000104466, ENSMUSP00000155430, ENSMUSP00000155431, ENSMUSP00000155038, ENSMUSP00000076294, ENSMUSP00000077509, ENSMUSP00000155789, ENSMUSP00000054863, ENSMUSP00000155440, ENSMUSP00000155016, ENSMUSP00000155569, ENSMUSP00000155548, ENSMUSP00000155730, ENSMUSP00000155825, ENSMUSP00000155631, ENSMUSP00000155096, ENSMUSP00000155051, ENSMUSP00000155784, ENSMUSP00000155292, ENSMUSP00000155219, ENSMUSP00000155638, ENSMUSP00000155654, ENSMUSP00000155072
OG0000066	AT1G07820.1, AT3G46320.1, AT3G45930.1, AT1G07660.1, AT5G59970.1, AT2G28740.1, AT3G53730.1, AT5G59690.1	ENSMUSP00000100546, ENSMUSP00000100029, ENSMUSP00000085006, ENSMUSP00000100042, ENSMUSP00000100036, ENSMUSP00000100037, ENSMUSP00000129930, ENSMUSP00000100048, ENSMUSP00000100033, ENSMUSP00000100030, ENSMUSP00000100044, ENSMUSP00000100032, ENSMUSP00000136357
OG0000067	AT1G51060.1, AT3G20670.1, AT5G54640.1, AT4G27230.1, AT5G59870.1	ENSMUSP00000051432, ENSMUSP00000072989, ENSMUSP00000089345, ENSMUSP00000100034, ENSMUSP00000127684, ENSMUSP00000077477, ENSMUSP00000089339, ENSMUSP00000089335, ENSMUSP00000088281, ENSMUSP00000080088, ENSMUSP00000088285, ENSMUSP00000074310, ENSMUSP00000089336, ENSMUSP00000104445, ENSMUSP00000100581, ENSMUSP00000077814, ENSMUSP00000072858, ENSMUSP00000088288, ENSMUSP00000072227, ENSMUSP00000144974, ENSMUSP00000074142
OG0000068	AT4G33090.1	ENSMUSP00000157186, ENSMUSP00000025358, ENSMUSP00000057449, ENSMUSP00000036998, ENSMUSP00000152076, ENSMUSP00000133166, ENSMUSP00000152705, ENSMUSP00000128872, ENSMUSP00000029658, ENSMUSP00000128169, ENSMUSP00000001480, ENSMUSP00000130445, ENSMUSP00000127127, ENSMUSP00000127801, ENSMUSP00000129361
OG0000076	AT3G46980.4, AT2G38060.2, AT4G00370.1, AT2G29650.1, AT5G20380.2, AT5G44370.1	ENSMUSP00000056182, ENSMUSP00000113003, ENSMUSP00000097288, ENSMUSP00000006786, ENSMUSP00000106037, ENSMUSP00000153087, ENSMUSP00000021769, ENSMUSP00000106043, ENSMUSP00000006785, ENSMUSP00000131308, ENSMUSP00000039062, ENSMUSP00000106052, ENSMUSP00000089290, ENSMUSP00000032710, ENSMUSP00000146364, ENSMUSP00000147661, ENSMUSP00000082489, ENSMUSP00000100932, ENSMUSP00000020102
OG0000080	AT3G09230.1, AT2G39880.1, AT3G55730.1, AT3G50060.1, AT5G67300.1, AT2G23290.1, AT4G37260.1, AT2G13960.1, AT5G02320.1, AT3G09370.3, AT5G11510.1, AT4G32730.2, AT1G43330.1, AT4G00540.1, AT4G18770.1, AT5G11050.1, AT5G58850.1, AT5G40430.1, AT2G25230.1, AT5G40360.1, AT3G27785.1	ENSMUSP00000020158, ENSMUSP00000139699, ENSMUSP00000139818
OG0000081	AT2G25880.3, AT4G32830.1, AT2G45490.1	ENSMUSP00000028997, ENSMUSP00000104768, ENSMUSP00000104767, ENSMUSP00000104306, ENSMUSP00000021277, ENSMUSP00000147055, ENSMUSP00000083426, ENSMUSP00000146450, ENSMUSP00000147207
OG0000081	AT5G21222.1	ENSMUSP00000020220
OG0000082	AT3G52280.2, AT2G34900.1, AT5G46550.1	ENSMUSP00000138431, ENSMUSP00000134608, ENSMUSP00000092990, ENSMUSP00000109880, ENSMUSP00000117359, ENSMUSP00000025193, ENSMUSP00000113070, ENSMUSP00000003726, ENSMUSP00000112474, ENSMUSP00000115163, ENSMUSP00000115277, ENSMUSP00000031215, ENSMUSP00000108297
OG0000093	AT1G12200.1, AT1G63340.1, AT1G62580.1, AT1G62570.1, AT1G62560.1, AT1G65860.1, AT1G62540.2, AT1G12140.1, AT1G12160.1, AT1G12130.1, AT1G63370.1, AT1G62620.1, AT1G63390.1, AT1G62600.1, AT5G07800.1, AT5G61290.1	ENSMUSP00000114226, ENSMUSP00000102664, ENSMUSP00000102665, ENSMUSP00000029729, ENSMUSP00000123476, ENSMUSP00000039839, ENSMUSP00000027843, ENSMUSP00000114750, ENSMUSP00000044405, ENSMUSP00000107135, ENSMUSP00000136378, ENSMUSP00000028010, ENSMUSP00000117398, ENSMUSP00000107143, ENSMUSP00000118534, ENSMUSP00000141210, ENSMUSP00000037259, ENSMUSP00000119389, ENSMUSP00000028014, ENSMUSP00000107150, ENSMUSP00000144106, ENSMUSP00000118476
OG0000094	AT3G51840.1	ENSMUSP00000105367, ENSMUSP00000003907
OG0000094	AT3G45300.1	ENSMUSP00000028807
OG0000096	AT1G05940.1, AT3G10600.1, AT5G04770.1, AT1G17120.1, AT2G34960.1, AT4G21120.1, AT1G58030.1, AT5G36940.1, AT3G03720.1	ENSMUSP00000156098, ENSMUSP00000156027, ENSMUSP00000127280, ENSMUSP00000067243, ENSMUSP00000156166, ENSMUSP00000156257, ENSMUSP00000155908, ENSMUSP00000155885, ENSMUSP00000156294, ENSMUSP00000156113, ENSMUSP00000112848, ENSMUSP00000058866, ENSMUSP00000096414, ENSMUSP00000113729, ENSMUSP00000046714, ENSMUSP00000144000, ENSMUSP00000117781, ENSMUSP00000144796, ENSMUSP00000144885, ENSMUSP00000137943, ENSMUSP00000126800, ENSMUSP00000109339, ENSMUSP00000098914, ENSMUSP00000073582, ENSMUSP00000122914, ENSMUSP00000103880, ENSMUSP00000088803
OG0000101	AT4G32980.1, AT4G34610.1, AT2G16400.1, AT1G75410.1, AT1G19700.1, AT5G41410.1, AT2G23760.4, AT4G36870.1, AT2G27220.2, AT2G35940.1, AT1G75430.1, AT2G27990.1, AT5G02030.1	ENSMUSP00000139074, ENSMUSP00000135726, ENSMUSP00000139219, ENSMUSP00000069277, ENSMUSP00000002495.10, ENSMUSP00000134918, ENSMUSP00000073898, ENSMUSP00000099597, ENSMUSP00000028639, ENSMUSP00000106533, ENSMUSP00000106532, ENSMUSP00000106531, ENSMUSP00000099942, ENSMUSP00000134969
OG0000102	AT5G11790.1, AT5G56750.1, AT2G19620.1	ENSMUSP00000005256, ENSMUSP00000105185, ENSMUSP00000072144, ENSMUSP00000070052, ENSMUSP00000148779, ENSMUSP00000036226, ENSMUSP00000072883, ENSMUSP00000079495, ENSMUSP00000004673, ENSMUSP00000154279, ENSMUSP00000153938, ENSMUSP00000107259
