Orthogroup	arabidopsis	neurospora
OG0000016	AT4G14340.1, AT3G23340.1, AT1G04440.1, AT5G43320.1, AT4G28540.1, AT5G44100.1, AT1G03930.1, AT4G28860.1, AT4G28880.1, AT2G19470.1, AT4G08800.1, AT1G72710.1, AT4G26100.1, AT5G57015.1	ESA42258, ESA44278
OG0000021	AT3G08720.1, AT2G29700.1, AT5G05710.1	EAA32898
OG0000022	AT4G11410.1, AT4G23430.2, AT4G23420.3, AT5G02540.1, AT2G37540.1, AT4G24050.1, AT1G64590.1, AT5G50130.1, AT5G53090.1, AT4G27760.1, AT5G53100.1, AT1G03630.1	EAA35201, EAA30420, EAA29261, EAA30454
OG0000023	AT5G42020.3, AT5G28540.1, AT1G09080.1	EAA27331
OG0000023	AT5G02490.1, AT5G02500.1, AT3G09440.1, AT3G12580.1, AT1G56410.1, AT1G16030.1	EAA34130
OG0000024	AT3G13220.1, AT5G06530.1, AT4G27420.1, AT3G25620.2, AT1G31770.1, AT1G71960.1	EAA36439
OG0000024	AT5G13580.1, AT2G39350.1, AT3G55090.1, AT3G53510.1, AT2G37360.1, AT3G55100.1, AT3G55110.1, AT3G55130.1, AT2G13610.1, AT4G25750.1, AT5G52860.1, AT5G19410.2, AT1G53270.1, AT1G51460.1, AT1G51500.1, AT3G21090.1, AT2G28070.1, AT1G17840.1	EAA28525
OG0000026	AT5G44240.1	EAA28587
OG0000026	AT3G18700.1	EAA35394
OG0000030	AT1G13370.1, AT1G75600.1, AT5G10980.1, AT4G40040.1, AT4G40030.2, AT1G19890.1, AT1G09200.1, AT3G27360.1, AT5G65360.1, AT5G65350.1, AT5G10390.1, AT5G10400.1	EAA26767
OG0000033	AT1G70320.1, AT1G55860.1	EAA34194, EAA28350
OG0000035	AT3G45980.1, AT3G46030.1, AT5G59910.1, AT2G28720.1, AT5G22880.1, AT1G07790.1, AT2G37470.1, AT3G53650.1, AT5G02570.1, AT3G09480.1	EAA30204
OG0000036	AT2G04350.1, AT1G77590.1	EAA28332, EAA28221
OG0000036	AT5G27600.1, AT3G05970.1	EAA27040
OG0000038	AT2G47170.1, AT3G62290.1, AT1G70490.1, AT1G23490.1, AT1G10630.1, AT5G14670.1	ESA44151
OG0000038	AT2G24765.1	EAA29781
OG0000038	AT2G18390.1	EAA27367
OG0000041	AT2G42170.1, AT2G42090.1, AT2G42100.1	EAA32002
OG0000041	AT3G18780.2, AT1G49240.1, AT3G53750.1, AT2G37620.1, AT5G59370.1, AT3G46520.1, AT5G09810.1, AT3G12110.1	ESA42660
OG0000046	AT1G30400.1, AT2G34660.1, AT1G30410.1, AT1G30420.1	EAA32081
OG0000046	AT3G59140.1, AT3G21250.4, AT1G04120.1, AT3G13090.1, AT3G13100.1, AT3G13080.1, AT1G71330.1, AT3G60970.1, AT3G60160.1, AT2G47800.1, AT3G62700.1	EAA28910
OG0000046	AT2G07680.3	EAA32984, EAA32894, EAA36025, EAA34524, EAA31399
OG0000047	AT4G17340.1, AT5G47450.1, AT3G16240.1, AT3G47440.1, AT2G36830.1, AT3G26520.1, AT4G01470.1, AT1G17810.1, AT1G73190.1, AT2G25810.1, AT1G52180.1, AT4G00430.1, AT1G01620.1, AT3G61430.1, AT2G45960.3, AT4G23400.1, AT2G16850.1, AT4G35100.1, AT3G53420.1, AT2G37170.2, AT2G37180.1, AT5G60660.1, AT2G39010.1, AT3G54820.1, AT3G06100.1	EAA35947
OG0000048	AT1G67580.1, AT5G63370.1	EAA33577
OG0000051	AT2G38750.1, AT5G10230.1, AT5G10220.1, AT5G65020.1, AT1G35720.1, AT5G12380.1, AT2G38760.1, AT1G68090.1	EAA35061, ESA42945
OG0000052	AT5G06210.1, AT2G37510.2, AT5G54580.1, AT1G73530.1, AT5G59865.1, AT5G19030.1, AT3G08000.1, AT3G26420.1, AT4G39260.1, AT2G21660.1, AT1G74230.1, AT5G61030.1, AT1G18630.1, AT4G13850.1, AT3G23830.1, AT5G47320.1, AT4G13860.1	ESA43968
OG0000053	AT5G20240.1, AT3G54340.1, AT5G23260.4, AT1G71692.1, AT1G26310.1, AT1G69120.1, AT5G60910.1, AT3G30260.1, AT2G03710.1, AT3G02310.1, AT5G15800.2, AT1G24260.2, AT3G61120.1, AT2G45650.1, AT4G11880.1, AT4G22950.1, AT5G51860.1, AT5G51870.3, AT5G62165.1, AT2G45660.1, AT3G58780.4, AT2G42830.2, AT4G18960.1, AT4G09960.4, AT4G37940.1, AT2G22630.1, AT2G14210.2, AT3G57230.1, AT3G57390.1, AT5G13790.2, AT4G24540.1, AT2G22540.1	EAA36453
OG0000054	AT2G47680.1	EAA35453
OG0000054	AT1G26370.1, AT4G18465.1	EAA34271
OG0000054	AT5G13010.1	EAA35877
OG0000054	AT5G14900.1, AT2G47250.1, AT3G62310.1	EAA27287
OG0000054	AT3G26560.1	EAA33344
OG0000054	AT4G16680.2, AT2G35340.1, AT1G32490.1	EAA31559
OG0000055	AT5G01670.2, AT2G37790.1, AT2G37770.2, AT3G53880.1, AT2G37760.1, AT5G62420.1	EAA30135, EAA36301, EAA27685
OG0000055	AT2G21250.1, AT2G21260.1	EAA34695
OG0000056	AT2G26300.1	EAA32969, ESA42608, EAA27897
OG0000062	AT4G01370.1, AT1G01560.2, AT2G46070.3, AT4G11330.1, AT1G07880.2, AT2G43790.1, AT3G59790.1, AT3G45640.1, AT1G59580.1, AT1G10210.1, AT4G36450.1, AT2G18170.1	EAA32927, ESA41968, EAA28804
OG0000063	AT1G07110.1	ESA43632, EAA29690
OG0000064	AT5G04430.2	ESA43211, EAA34578
OG0000066	AT1G07820.1, AT3G46320.1, AT3G45930.1, AT1G07660.1, AT5G59970.1, AT2G28740.1, AT3G53730.1, AT5G59690.1	EAA26766, EAA27361, EAA27083
OG0000067	AT1G51060.1, AT3G20670.1, AT5G54640.1, AT4G27230.1, AT5G59870.1	EAA30206
OG0000068	AT4G33090.1	EAA30246, EAA29936
OG0000080	AT5G52260.1	EAA29905
OG0000080	AT3G09230.1, AT2G39880.1, AT3G55730.1, AT3G50060.1, AT5G67300.1, AT2G23290.1, AT4G37260.1, AT2G13960.1, AT5G02320.1, AT3G09370.3, AT5G11510.1, AT4G32730.2, AT1G43330.1, AT4G00540.1, AT4G18770.1, AT5G11050.1, AT5G58850.1, AT5G40430.1, AT2G25230.1, AT5G40360.1, AT3G27785.1	EAA32162
OG0000081	AT2G25880.3, AT4G32830.1, AT2G45490.1	EAA27996
OG0000081	AT2G38490.1, AT5G01820.1, AT2G30360.1, AT5G10930.1, AT2G25090.1, AT5G25110.1, AT5G21222.1	EAA36331
OG0000082	AT3G52280.2, AT2G34900.1, AT5G46550.1	ESA43715, EAA32760
OG0000093	AT1G19250.1, AT5G45180.1	EDO65043, EAA35704
OG0000093	AT1G12200.1, AT1G63340.1, AT1G62580.1, AT1G62570.1, AT1G62560.1, AT1G65860.1, AT1G62540.2, AT1G12140.1, AT1G12160.1, AT1G12130.1, AT1G63370.1, AT1G62620.1, AT1G63390.1, AT1G62600.1, AT5G07800.1, AT5G61290.1	EAA28865, EAA33706, EAA31866
OG0000094	AT3G51840.1	EAA30699
OG0000094	AT3G45300.1	EAA35048
OG0000101	AT4G32980.1, AT4G34610.1, AT2G16400.1, AT1G75410.1, AT1G19700.1, AT5G41410.1, AT2G23760.4, AT4G36870.1, AT2G27220.2, AT2G35940.1, AT1G75430.1, AT2G27990.1, AT5G02030.1	EAA27985
OG0000103	AT5G58140.1, AT3G45780.1, AT3G12690.1, AT3G27580.1	EAA35652
OG0000103	AT3G08730.1	ESA44058
OG0000107	AT3G01610.2	EAA27251
OG0000107	AT5G03340.1, AT3G09840.1, AT3G53230.1	ESA43229
OG0000107	AT1G03000.1	EAA36040
OG0000107	AT5G08470.1	EAA34641
OG0000108	AT5G53910.1, AT3G13228.1, AT1G18760.1, AT2G29840.1, AT1G18780.1, AT1G18770.1, AT1G21960.1, AT1G74620.1, AT1G50350.1	EAA30913
OG0000108	AT1G68180.1, AT3G60080.1, AT2G44330.1, AT3G19950.2, AT5G56340.1, AT4G26400.1, AT1G55530.1, AT3G13430.1, AT3G56580.1, AT2G40830.1, AT3G10815.1, AT1G60360.1, AT5G59550.2, AT3G46620.1, AT2G39720.1, AT5G01980.1, AT3G30460.2, AT5G15820.1, AT3G02340.1, AT5G08139.1, AT5G60820.1, AT5G02750.1, AT5G20910.1, AT1G26800.1, AT1G14200.1	EAA32691, ESA43573
OG0000109	AT1G79470.1, AT1G16350.1	EAA35740
OG0000110	AT2G35390.2, AT1G32380.1, AT2G44530.1	EAA26722, ESA42531, EAA32555, ESA43033
OG0000113	AT1G09140.1, AT1G02840.1, AT4G02430.4, AT3G49430.1	EAA31098
OG0000121	AT1G22300.1, AT1G34760.1, AT2G42590.3, AT1G26480.1, AT5G65430.3, AT5G10450.4, AT3G02520.1, AT5G16050.1, AT5G38480.1, AT1G78300.1, AT1G35160.2, AT4G09000.2	EAA35226, ESA44100
OG0000122	AT2G22950.1, AT4G37640.1, AT1G27770.1, AT3G57330.1, AT2G41560.1, AT3G22910.1, AT3G63380.1, AT3G21180.1, AT5G57110.1, AT4G29900.1	EAA27416, EAA31135
OG0000126	AT3G48000.1, AT1G23800.1, AT3G24503.1	EAA28028, EAA27626
OG0000126	AT1G74920.1, AT3G48170.1	EAA30899
OG0000126	AT2G24270.2	EAA32782
OG0000127	AT1G32330.1, AT3G02990.1, AT5G16820.1, AT4G17750.1, AT2G26150.1, AT3G51910.1, AT3G63350.1, AT3G22830.1, AT5G43840.1, AT5G03720.1, AT1G67970.1, AT5G45710.1, AT4G18880.1, AT4G13980.1, AT3G24520.1, AT5G54070.1, AT5G62020.1, AT4G36990.1, AT1G46264.1, AT4G11660.1, AT2G41690.1	EAA33926, EAA30305, EAA33913
OG0000128	AT3G60250.1, AT2G44680.1, AT5G47080.1, AT4G17640.1	EAA31211, EDO65315
OG0000129	AT5G10630.4	ESA42250
OG0000129	AT1G18070.3	ESA42137
OG0000129	AT1G07920.1, AT1G07930.1, AT5G60390.1, AT1G07940.1	EAA35632
OG0000130	AT3G52720.1, AT1G08080.1, AT2G28210.1, AT5G56330.1, AT1G08065.1, AT4G21000.1, AT4G20990.1, AT5G04180.1	EAA30978
OG0000131	AT1G47210.2, AT1G47230.2, AT5G43080.1, AT1G47220.1, AT1G15570.1, AT1G80370.1, AT5G11300.1, AT5G25380.4, AT1G77390.1, AT1G44110.1	EAA32372, EAA34615
OG0000135	AT3G21650.1, AT4G15415.1, AT1G13460.1, AT3G26030.1, AT3G54930.1, AT5G03470.1, AT3G09880.1, AT5G25510.1	EAA31896
OG0000137	AT4G11240.1, AT1G64040.1, AT5G27840.4, AT3G05580.1, AT5G59160.1, AT3G46820.1, AT2G29400.1, AT2G39840.1, AT5G43380.1	EAA26918
OG0000138	AT5G57320.1, AT4G30160.2, AT2G29890.3, AT2G41740.1, AT3G57410.1	EAA27368
OG0000141	AT5G49890.1, AT5G33280.1, AT5G40890.1, AT3G27170.1, AT5G26240.1	ESA42823
OG0000142	AT4G29210.1, AT4G39650.1, AT4G39640.1, AT1G69820.1	EAA27940
OG0000143	AT4G34460.1	EAA27468
OG0000149	AT1G09020.1	ESA42617
OG0000150	AT5G45970.1, AT1G75840.1, AT1G20090.1, AT4G35020.1, AT2G17800.1, AT4G35950.1, AT3G51300.1, AT3G48040.1, AT5G62880.1, AT4G28950.1, AT2G44690.1	EAA35283, ESA43171
OG0000151	AT4G09150.2, AT1G22930.1	EAA29253, EAA27119
OG0000152	AT3G27440.1, AT4G26510.1, AT1G55810.4, AT5G40870.1, AT3G27190.1	ESA42630
OG0000153	AT2G15790.1	EAA26627
OG0000153	AT5G58710.1, AT2G29960.1, AT3G55920.1, AT4G34960.1, AT5G13120.1, AT3G62030.2	ESA42515
OG0000154	AT4G19800.1, AT4G19770.1, AT4G19810.1, AT4G19820.1, AT4G19750.1, AT4G19760.1, AT4G19730.1, AT4G19720.1, AT4G19740.1	EAA36176, EAA36073, EAA28688, EAA26709
OG0000157	AT1G11910.2, AT1G62290.1, AT4G04460.1	EDO64883, EAA30681
OG0000158	AT3G24170.1, AT3G54660.1	ESA43520
OG0000171	AT5G43940.2, AT1G77120.1, AT5G24760.1, AT1G64710.1, AT1G32780.1, AT1G22430.1, AT4G22110.1, AT1G22440.1, AT5G42250.1	EAA31461
OG0000171	AT5G63620.1	EAA34904
OG0000172	AT2G20190.1	EAA33043
OG0000173	AT3G17609.2, AT5G11260.2	EAA26611, ESA42557
OG0000181	AT1G71440.1	EAA29675
OG0000182	AT3G51390.1, AT5G05070.1, AT3G56920.1, AT2G40990.1, AT3G56930.1, AT3G26935.1, AT5G41060.1, AT3G48760.1, AT5G50020.2, AT4G24630.1	EAA35644
OG0000185	AT1G10680.1, AT4G25960.1, AT1G28010.1, AT1G27940.1, AT3G28860.1, AT2G36910.1, AT3G55320.1, AT2G39480.1, AT3G28415.2, AT3G28390.1, AT3G28360.1, AT3G28380.1, AT3G28345.1, AT3G62150.1, AT2G47000.1, AT1G02520.1, AT1G02530.1, AT4G01830.1, AT4G01820.1, AT5G46540.1, AT4G18050.2	ESA44122, EAA29359, EAA34173, ESA43886, EAA29583, EAA29823
OG0000187	AT1G08005.1	ESA41880
OG0000188	AT1G08620.3, AT4G20400.1, AT1G30810.1, AT2G34880.1, AT5G46910.1	EAA32368
OG0000189	AT1G09100.1, AT3G05530.1	EAA28255
OG0000189	AT5G43010.1, AT1G45000.1	EAA29624
OG0000189	AT2G20140.1, AT4G29040.1	EAA32354
OG0000189	AT5G58290.1	EAA30668
OG0000191	AT2G31020.1, AT4G08180.1, AT1G13170.2, AT4G12460.7, AT4G22540.1, AT2G31030.1, AT2G31035.1	EAA29617
OG0000193	AT2G16740.1, AT5G53300.1, AT4G27960.2, AT5G41700.4, AT3G08690.1, AT5G56150.1	EAA30697
OG0000193	AT5G25760.1	EAA34737
OG0000199	AT1G12550.1, AT5G28310.1, AT2G45630.2	EAA33211, EAA32454
OG0000201	AT1G11250.1, AT1G61290.1, AT4G03330.1, AT3G11820.1, AT3G52400.1, AT5G08080.3, AT3G03800.1, AT2G18260.1, AT1G08560.1	EAA31999, ESA41937
OG0000203	AT3G59290.1, AT2G43160.1, AT5G11710.1	EAA30996
OG0000204	AT3G20250.2, AT4G25880.4	EAA27947, ESA43185
OG0000205	AT5G39850.1, AT5G15200.1	EAA34997
OG0000211	AT1G04690.1	EAA36333
OG0000214	AT1G75780.1, AT1G20010.1, AT2G29550.1, AT5G23860.1, AT5G62700.1, AT5G62690.1, AT5G12250.1, AT4G20890.1, AT5G44340.1	EAA28433
OG0000217	AT4G34240.1, AT1G44170.1, AT4G36250.1	ESA42262
OG0000218	AT5G16150.1	EAA28158
OG0000226	AT3G51030.1, AT5G42980.1, AT1G45145.1, AT1G19730.1, AT1G11530.1, AT1G59730.1, AT1G69880.1, AT5G39950.1	ESA44308, EAA33651, EAA33027
OG0000228	AT4G14300.1, AT2G33410.1, AT5G47620.4	ESA42677
OG0000230	AT5G39040.1	EAA32037
OG0000230	AT5G58270.1, AT4G28630.1, AT4G28620.1	EAA27101
OG0000238	AT2G26140.1, AT5G53170.1	EAA27232
OG0000238	AT1G07510.1, AT2G29080.1	EAA27520
OG0000239	AT3G19980.1, AT1G50370.1	EAA27486
OG0000239	AT5G55260.2, AT4G26720.1	EAA33278
OG0000239	AT1G59830.1, AT1G10430.1, AT1G69960.1	EAA33034, EAA32582
OG0000240	AT3G24463.1, AT3G55540.1, AT5G48650.1, AT3G25150.2, AT1G13730.1, AT2G03640.4, AT1G69250.1, AT5G60980.2, AT5G43960.1, AT3G07250.1	EAA29032
OG0000241	AT1G51660.1, AT3G21220.1, AT3G06230.1, AT1G73500.1, AT1G18350.1, AT1G32320.1, AT5G40440.1, AT4G26070.2, AT4G29810.2, AT5G56580.1	EAA28074, ESA44311, ESA42405
OG0000242	AT4G32660.1, AT3G53570.1, AT4G24740.1, AT1G36627.1	EAA28465
OG0000243	AT1G69220.1	EAA32185
OG0000243	AT3G15220.1, AT1G53165.3	ESA42644, ESA44257
OG0000243	AT4G14480.1	ESA43904
OG0000245	AT2G19480.1, AT5G56950.1, AT4G26110.1, AT3G13782.1	EAA26762
OG0000246	AT3G06483.1	EAA34296, EAA31949, ESA42969
OG0000255	AT1G73700.1, AT2G34360.1, AT5G52450.1, AT1G15160.1, AT1G15150.1, AT1G15170.1, AT1G15180.1, AT1G71140.1, AT1G64820.1, AT1G66780.1, AT1G66760.2, AT2G04040.1, AT2G04070.1, AT2G04050.1, AT2G04066.1, AT2G04080.1, AT2G04090.1, AT2G04100.1	ESA42388, EAA34916, EAA32734
OG0000256	AT4G38640.1, AT1G25500.2	EAA29597
OG0000257	AT1G64550.1	EAA28430
OG0000257	AT5G60790.1	EAA29453
OG0000258	AT5G11670.1, AT5G25880.1, AT1G79750.1, AT2G19900.1, AT4G00570.1, AT2G13560.1	ESA42428, EAA36352
OG0000259	AT5G14180.1, AT2G15230.1	EAA35271
OG0000260	AT2G28520.1, AT4G39080.1, AT2G21410.1	EAA26818
OG0000261	AT5G07340.2, AT5G61790.1	EAA35464
OG0000267	AT5G49310.1, AT4G16143.1, AT1G02690.2, AT3G06720.1, AT4G02150.1, AT3G05720.1, AT1G09270.1, AT5G49305.1, AT5G52000.1, AT1G32880.1	EAA31416
OG0000268	AT5G16880.1, AT1G06210.1, AT2G38410.1, AT5G01760.1, AT3G08790.1, AT4G32760.2, AT5G63640.1, AT1G21380.1, AT1G76970.1	EAA30731
OG0000272	AT2G36020.1, AT5G42560.1, AT1G19950.1, AT1G75700.3	ESA42194
OG0000273	AT1G55350.5	EAA31822, EAA28486, EAA27228
OG0000283	AT1G51640.1, AT4G31540.1, AT5G52340.1, AT5G03540.3, AT5G52350.1, AT2G28640.1, AT1G07725.1, AT2G28650.1, AT5G59730.1, AT3G09520.1, AT3G09530.1, AT3G55150.1, AT2G39380.1, AT5G13150.1, AT5G13990.1, AT1G07000.1, AT5G58430.1, AT3G29400.1, AT5G61010.1, AT5G50380.1, AT1G72470.1, AT3G14090.1, AT1G54090.1	EAA33446
OG0000284	AT5G42190.1, AT1G75950.1, AT2G25700.1, AT1G20140.1, AT4G34210.1, AT4G34470.1, AT3G21850.1, AT3G21830.1, AT3G21840.1, AT3G21860.1, AT3G60010.1, AT3G53060.1, AT3G60020.1, AT2G03170.1, AT3G25650.1, AT2G03160.1, AT1G10230.1, AT2G20160.1, AT2G03190.1	ESA43406
OG0000285	AT1G14610.1, AT1G27160.1	EAA35093
OG0000286	AT3G51880.2	EAA36232
OG0000286	AT4G35570.1, AT2G17560.1, AT1G20696.2, AT1G20693.1, AT2G34450.2	ESA44376, ESA43991
OG0000288	AT4G35260.1, AT2G17130.1, AT4G35650.1, AT1G32480.1	EAA35695
OG0000288	AT5G03290.1, AT3G09810.1	EAA33047
OG0000296	AT1G50010.1, AT1G04820.1, AT4G14960.2, AT1G64740.1, AT5G19770.1, AT5G19780.1	EAA29668, EAA33987
OG0000299	AT1G63160.1	EDO65226
OG0000299	AT1G77470.1	EAA34161
OG0000299	AT1G21690.3	EAA36224
OG0000300	AT3G52940.1	EAA32183, EAA26875
OG0000301	AT4G27740.1, AT4G27745.1, AT3G08990.1, AT3G55890.1, AT2G40110.1, AT3G11230.2, AT5G53940.1	ESA43231
OG0000302	AT5G41760.1	EAA30954
OG0000303	AT5G56290.1	EAA36111
OG0000310	AT5G14300.1, AT3G27280.1, AT5G40770.1	EAA31577
OG0000310	AT2G20530.1, AT4G28510.1, AT1G03860.1, AT5G44140.1	EAA35251
OG0000311	AT5G63600.2, AT5G63595.1, AT5G63580.1, AT5G63590.1, AT5G08640.1, AT5G43935.1, AT4G22870.2, AT4G22880.1, AT1G15550.1, AT1G80340.1, AT1G80330.1, AT4G21690.1, AT4G16330.2, AT3G19010.1, AT3G19000.1, AT3G51240.1, AT1G77330.1, AT1G05010.1, AT1G12010.1, AT1G62380.1, AT2G19590.1, AT5G24530.1, AT5G07480.1, AT3G60290.1, AT2G44800.1, AT2G36690.1, AT4G10500.1, AT4G10490.1, AT2G38240.1, AT3G11180.2, AT5G05600.1, AT3G55970.1, AT3G21420.1, AT1G78550.1, AT1G17020.1, AT1G17010.1, AT4G25300.1, AT4G25310.1, AT5G54000.2, AT1G49390.1, AT5G20550.1, AT5G20400.1	EAA35770, EAA28260
OG0000312	AT3G28970.1, AT3G12760.1, AT1G15860.3	EAA33666
OG0000313	AT5G21105.1, AT5G21100.1, AT4G39830.1, AT5G01050.1, AT5G01040.1, AT3G09220.1, AT5G09360.1, AT5G48100.1, AT2G30210.1, AT5G07130.1, AT2G40370.1, AT5G05390.1, AT2G38080.1, AT5G01190.1, AT5G58910.2, AT5G03260.1, AT5G60020.1, AT2G29130.1, AT1G18140.1, AT2G46570.1	EAA31330, EAA29262, EAA27863, EAA27703, EAA30359, EAA33200, EAA29734, EAA34842, EAA26599, EAA28691
OG0000315	AT1G47830.1	EAA33423
OG0000315	AT2G17380.1, AT4G35410.2	EDO65136
OG0000316	AT4G39870.1, AT2G05590.2	EAA30478
OG0000317	AT2G47980.1	EAA31414
OG0000318	AT3G25220.1, AT5G48580.1	EAA30274, EAA32060
OG0000318	AT5G64350.1	EAA26908
OG0000319	AT5G18230.4	ESA42216
OG0000339	AT1G02120.1	ESA43042
OG0000340	AT1G50440.1, AT2G22120.2, AT1G11020.1	EAA34299
OG0000342	AT5G66160.1, AT4G09560.1, AT1G35625.1, AT1G35630.1, AT1G71980.1, AT1G22670.1	EAA36447
OG0000342	AT3G11110.1	EAA35092, EAA29644
