Orthogroup	arabidopsis	yeast
OG0000022	AT4G11410.1, AT4G23430.2, AT4G23420.3, AT5G02540.1, AT2G37540.1, AT4G24050.1, AT1G64590.1, AT5G50130.1, AT5G53090.1, AT4G27760.1, AT5G53100.1, AT1G03630.1	YOR246C_mRNA
OG0000023	AT5G42020.3, AT5G28540.1, AT1G09080.1	YJL034W_mRNA
OG0000023	AT5G02490.1, AT5G02500.1, AT3G09440.1, AT3G12580.1, AT1G56410.1, AT1G16030.1	YLL024C_mRNA, YAL005C_mRNA, YER103W_mRNA, YBL075C_mRNA
OG0000024	AT3G13220.1, AT5G06530.1, AT4G27420.1, AT3G25620.2, AT1G31770.1, AT1G71960.1	YCR011C_mRNA
OG0000024	AT3G21080.1, AT5G13580.1, AT2G39350.1, AT3G55090.1, AT3G53510.1, AT2G37360.1, AT3G55100.1, AT3G55110.1, AT3G55130.1, AT2G13610.1, AT4G25750.1, AT5G52860.1, AT5G19410.2, AT1G53270.1, AT1G51460.1, AT1G51500.1, AT3G21090.1, AT2G28070.1, AT1G17840.1	YOL075C_mRNA
OG0000026	AT5G44240.1	YAL026C_mRNA
OG0000026	AT3G18700.1	YDR093W_mRNA, YER166W_mRNA
OG0000030	AT1G13370.1, AT1G75600.1, AT5G10980.1, AT4G40040.1, AT4G40030.2, AT1G19890.1, AT1G09200.1, AT3G27360.1, AT5G65360.1, AT5G65350.1, AT5G10390.1, AT5G10400.1	YBR010W_mRNA, YNL031C_mRNA
OG0000033	AT1G70320.1, AT1G55860.1	YDR457W_mRNA, YER125W_mRNA
OG0000035	AT3G45980.1, AT3G46030.1, AT5G59910.1, AT2G28720.1, AT5G22880.1, AT1G07790.1, AT2G37470.1, AT3G53650.1, AT5G02570.1, AT3G09480.1	YDR224C_mRNA, YBL002W_mRNA
OG0000036	AT2G04350.1, AT1G77590.1	YMR246W_mRNA, YIL009W_mRNA, YOR317W_mRNA
OG0000036	AT5G27600.1, AT3G05970.1	YER015W_mRNA
OG0000038	AT2G47170.1, AT3G62290.1, AT1G70490.1, AT1G23490.1, AT1G10630.1, AT5G14670.1	YDL137W_mRNA, YDL192W_mRNA
OG0000038	AT2G24765.1	YBR164C_mRNA
OG0000038	AT2G18390.1	YMR138W_mRNA
OG0000041	AT2G42170.1, AT2G42090.1, AT2G42100.1	YHR129C_mRNA
OG0000041	AT3G18780.2, AT1G49240.1, AT3G53750.1, AT2G37620.1, AT5G59370.1, AT3G46520.1, AT5G09810.1, AT3G12110.1	YFL039C_mRNA
OG0000046	AT1G30400.1, AT2G34660.1, AT1G30410.1, AT1G30420.1	YGR281W_mRNA
OG0000046	AT3G59140.1, AT3G21250.4, AT1G04120.1, AT3G13090.1, AT3G13100.1, AT3G13080.1, AT1G71330.1, AT3G60970.1, AT3G60160.1, AT2G47800.1, AT3G62700.1	YLL015W_mRNA, YDR135C_mRNA
OG0000046	AT2G07680.3	YLL048C_mRNA, YHL035C_mRNA
OG0000047	AT4G17340.1, AT5G47450.1, AT3G16240.1, AT3G47440.1, AT2G36830.1, AT3G26520.1, AT4G01470.1, AT1G17810.1, AT1G73190.1, AT2G25810.1, AT1G52180.1, AT4G00430.1, AT1G01620.1, AT3G61430.1, AT2G45960.3, AT4G23400.1, AT2G16850.1, AT4G35100.1, AT3G53420.1, AT2G37170.2, AT2G37180.1, AT5G60660.1, AT2G39010.1, AT3G54820.1, AT3G06100.1	YLL053C_mRNA, YPR192W_mRNA, YLL052C_mRNA
OG0000048	AT1G67580.1, AT5G63370.1	YPR161C_mRNA
OG0000053	AT5G20240.1, AT3G54340.1, AT5G23260.4, AT1G71692.1, AT1G26310.1, AT1G69120.1, AT5G60910.1, AT3G30260.1, AT2G03710.1, AT3G02310.1, AT5G15800.2, AT1G24260.2, AT3G61120.1, AT2G45650.1, AT4G11880.1, AT4G22950.1, AT5G51860.1, AT5G51870.3, AT5G62165.1, AT2G45660.1, AT3G58780.4, AT2G42830.2, AT4G18960.1, AT4G09960.4, AT4G37940.1, AT2G22630.1, AT2G14210.2, AT3G57230.1, AT3G57390.1, AT5G13790.2, AT4G24540.1, AT2G22540.1	YBR182C_mRNA
OG0000054	AT2G47680.1	YKL078W_mRNA
OG0000054	AT5G13010.1	YKR086W_mRNA
OG0000054	AT5G14900.1, AT2G47250.1, AT3G62310.1	YGL120C_mRNA
OG0000054	AT3G26560.1	YER013W_mRNA
OG0000054	AT4G16680.2, AT2G35340.1, AT1G32490.1	YNR011C_mRNA
OG0000055	AT5G01670.2, AT2G37790.1, AT2G37770.2, AT3G53880.1, AT2G37760.1, AT5G62420.1	YBR149W_mRNA, YOR120W_mRNA, YDR368W_mRNA
OG0000055	AT2G21250.1, AT2G21260.1	YHR104W_mRNA
OG0000056	AT2G26300.1	YER020W_mRNA, YHR005C_mRNA
OG0000062	AT4G01370.1, AT1G01560.2, AT2G46070.3, AT4G11330.1, AT1G07880.2, AT2G43790.1, AT3G59790.1, AT3G45640.1, AT1G59580.1, AT1G10210.1, AT4G36450.1, AT2G18170.1	YLR113W_mRNA, YBL016W_mRNA, YGR040W_mRNA, YHR030C_mRNA
OG0000063	AT1G07110.1	YIL107C_mRNA, YJL155C_mRNA
OG0000064	AT5G04430.2	YBL032W_mRNA, YBR233W_mRNA
OG0000066	AT1G07820.1, AT3G46320.1, AT3G45930.1, AT1G07660.1, AT5G59970.1, AT2G28740.1, AT3G53730.1, AT5G59690.1	YNL030W_mRNA, YBR009C_mRNA
OG0000067	AT1G51060.1, AT3G20670.1, AT5G54640.1, AT4G27230.1, AT5G59870.1	YDR225W_mRNA, YBL003C_mRNA
OG0000068	AT4G33090.1	YKL157W_mRNA, YHR047C_mRNA
OG0000080	AT5G52260.1	YKR099W_mRNA
OG0000081	AT2G25880.3, AT4G32830.1, AT2G45490.1	YPL209C_mRNA
OG0000081	AT1G45160.2	YDR466W_mRNA
OG0000082	AT3G52280.2, AT2G34900.1, AT5G46550.1	YLR399C_mRNA, YDL070W_mRNA
OG0000093	AT1G12200.1, AT1G63340.1, AT1G62580.1, AT1G62570.1, AT1G62560.1, AT1G65860.1, AT1G62540.2, AT1G12140.1, AT1G12160.1, AT1G12130.1, AT1G63370.1, AT1G62620.1, AT1G63390.1, AT1G62600.1, AT5G07800.1, AT5G61290.1	YHR176W_mRNA
OG0000103	AT5G58140.1, AT3G45780.1, AT3G12690.1, AT3G27580.1	YNR047W_mRNA, YGR092W_mRNA, YPR111W_mRNA
OG0000103	AT3G08730.1	YBR028C_mRNA
OG0000107	AT2G03670.1	YLR397C_mRNA
OG0000107	AT3G01610.2	YLL034C_mRNA
OG0000107	AT5G03340.1, AT3G09840.1, AT3G53230.1	YDL126C_mRNA
OG0000107	AT1G03000.1	YNL329C_mRNA
OG0000107	AT5G08470.1	YKL197C_mRNA
OG0000108	AT5G53910.1, AT3G13228.1, AT1G18760.1, AT2G29840.1, AT1G18780.1, AT1G18770.1, AT1G21960.1, AT1G74620.1, AT1G50350.1	YBR062C_mRNA
OG0000109	AT1G79470.1, AT1G16350.1	YML056C_mRNA, YAR073W_mRNA, YHR216W_mRNA, YLR432W_mRNA, YAR075W_mRNA
OG0000110	AT2G35390.2, AT1G32380.1, AT2G44530.1	YOL061W_mRNA, YKL181W_mRNA, YER099C_mRNA, YBL068W_mRNA, YHL011C_mRNA
OG0000113	AT1G09140.1, AT1G02840.1, AT4G02430.4, AT3G49430.1	YDR432W_mRNA
OG0000121	AT1G22300.1, AT1G34760.1, AT2G42590.3, AT1G26480.1, AT5G65430.3, AT5G10450.4, AT3G02520.1, AT5G16050.1, AT5G38480.1, AT1G78300.1, AT1G35160.2, AT4G09000.2	YDR099W_mRNA, YER177W_mRNA
OG0000122	AT2G22950.1, AT4G37640.1, AT1G27770.1, AT3G57330.1, AT2G41560.1, AT3G22910.1, AT3G63380.1, AT3G21180.1, AT5G57110.1, AT4G29900.1	YGL006W_mRNA
OG0000126	AT3G48000.1, AT1G23800.1, AT3G24503.1	YMR169C_mRNA, YMR170C_mRNA, YOR374W_mRNA, YER073W_mRNA, YPL061W_mRNA
OG0000127	AT1G32330.1, AT3G02990.1, AT5G16820.1, AT4G17750.1, AT2G26150.1, AT3G51910.1, AT3G63350.1, AT3G22830.1, AT5G43840.1, AT5G03720.1, AT1G67970.1, AT5G45710.1, AT4G18880.1, AT4G13980.1, AT3G24520.1, AT5G54070.1, AT5G62020.1, AT4G36990.1, AT1G46264.1, AT4G11660.1, AT2G41690.1	YGL073W_mRNA, YJR147W_mRNA, YOR140W_mRNA
OG0000128	AT3G60250.1, AT2G44680.1, AT5G47080.1, AT4G17640.1	YGL019W_mRNA, YOR039W_mRNA
OG0000129	AT1G18070.3	YDR172W_mRNA
OG0000129	AT1G07920.1, AT1G07930.1, AT5G60390.1, AT1G07940.1	YPR080W_mRNA, YBR118W_mRNA
OG0000131	AT1G47210.2, AT1G47230.2, AT5G43080.1, AT1G47220.1, AT1G15570.1, AT1G80370.1, AT5G11300.1, AT5G25380.4, AT1G77390.1, AT1G44110.1	YDL155W_mRNA, YLR210W_mRNA, YPR120C_mRNA, YGR109C_mRNA, YGR108W_mRNA, YPR119W_mRNA
OG0000135	AT3G21650.1, AT4G15415.1, AT1G13460.1, AT3G26030.1, AT3G54930.1, AT5G03470.1, AT3G09880.1, AT5G25510.1	YOR014W_mRNA
OG0000137	AT4G11240.1, AT1G64040.1, AT5G27840.4, AT3G05580.1, AT5G59160.1, AT3G46820.1, AT2G29400.1, AT2G39840.1, AT5G43380.1	YER133W_mRNA
OG0000137	AT5G63870.1, AT5G10900.2	YNL217W_mRNA
OG0000141	AT5G49890.1, AT5G33280.1, AT5G40890.1, AT3G27170.1, AT5G26240.1	YJR040W_mRNA
OG0000142	AT4G29210.1, AT4G39650.1, AT4G39640.1, AT1G69820.1	YLR299W_mRNA
OG0000143	AT4G34460.1	YOR212W_mRNA
OG0000149	AT1G09020.1	YGL115W_mRNA
OG0000150	AT5G45970.1, AT1G75840.1, AT1G20090.1, AT4G35020.1, AT2G17800.1, AT4G35950.1, AT3G51300.1, AT3G48040.1, AT5G62880.1, AT4G28950.1, AT2G44690.1	YLR229C_mRNA
OG0000151	AT4G09150.2, AT1G22930.1	YDR006C_mRNA
OG0000152	AT3G27440.1, AT4G26510.1, AT1G55810.4, AT5G40870.1, AT3G27190.1	YHR128W_mRNA
OG0000153	AT2G15790.1	YLR216C_mRNA
OG0000153	AT5G58710.1, AT2G29960.1, AT3G55920.1, AT4G34960.1, AT5G13120.1, AT3G62030.2	YHR057C_mRNA, YDR304C_mRNA
OG0000154	AT4G19800.1, AT4G19770.1, AT4G19810.1, AT4G19820.1, AT4G19750.1, AT4G19760.1, AT4G19730.1, AT4G19720.1, AT4G19740.1	YDR371W_mRNA
OG0000157	AT1G11910.2, AT1G62290.1, AT4G04460.1	YIL015W_mRNA, YPL154C_mRNA
OG0000158	AT3G24170.1, AT3G54660.1	YPL091W_mRNA
OG0000171	AT5G43940.2, AT1G77120.1, AT5G24760.1, AT1G64710.1, AT1G32780.1, AT1G22430.1, AT4G22110.1, AT1G22440.1, AT5G42250.1	YDL168W_mRNA
OG0000172	AT2G20190.1	YBL034C_mRNA
OG0000173	AT3G17609.2, AT5G11260.2	YNL167C_mRNA
OG0000181	AT1G71440.1	YER007W_mRNA
OG0000182	AT3G51390.1	YDR126W_mRNA
OG0000182	AT5G05070.1, AT3G56920.1, AT2G40990.1, AT3G56930.1, AT3G26935.1, AT5G41060.1, AT3G48760.1, AT5G50020.2, AT4G24630.1	YLR246W_mRNA
OG0000185	AT1G10680.1, AT4G25960.1, AT1G28010.1, AT1G27940.1, AT3G28860.1, AT2G36910.1, AT3G55320.1, AT2G39480.1, AT3G28415.2, AT3G28390.1, AT3G28360.1, AT3G28380.1, AT3G28345.1, AT3G62150.1, AT2G47000.1, AT1G02520.1, AT1G02530.1, AT4G01830.1, AT4G01820.1, AT5G46540.1, AT4G18050.2	YKL209C_mRNA
OG0000187	AT1G08005.1	YFR040W_mRNA, YGL229C_mRNA, YKR028W_mRNA, YJL098W_mRNA
OG0000188	AT1G08620.3, AT4G20400.1, AT1G30810.1, AT2G34880.1, AT5G46910.1	YMR176W_mRNA
OG0000188	AT1G63490.4	YJR119C_mRNA
OG0000189	AT1G09100.1, AT3G05530.1	YOR117W_mRNA
OG0000189	AT5G43010.1, AT1G45000.1	YOR259C_mRNA
OG0000189	AT2G20140.1, AT4G29040.1	YDL007W_mRNA
OG0000189	AT5G58290.1	YDR394W_mRNA
OG0000192	AT2G04940.1	YJR100C_mRNA
OG0000193	AT2G16740.1, AT5G53300.1, AT4G27960.2, AT5G41700.4, AT3G08690.1, AT5G56150.1	YDR059C_mRNA, YBR082C_mRNA
OG0000193	AT5G25760.1	YGR133W_mRNA
OG0000199	AT1G12550.1, AT5G28310.1, AT2G45630.2	YNL274C_mRNA, YPL113C_mRNA
OG0000201	AT1G11250.1, AT1G61290.1, AT4G03330.1, AT3G11820.1, AT3G52400.1, AT5G08080.3, AT3G03800.1, AT2G18260.1, AT1G08560.1	YPL232W_mRNA, YMR183C_mRNA
OG0000203	AT3G59290.1, AT2G43160.1, AT5G11710.1	YLR206W_mRNA, YDL161W_mRNA
OG0000204	AT3G20250.2, AT4G25880.4	YLL013C_mRNA
OG0000205	AT5G39850.1, AT5G15200.1	YPL081W_mRNA, YBR189W_mRNA
OG0000211	AT5G53580.1, AT1G04420.1, AT1G04690.1	YPL088W_mRNA
OG0000214	AT1G75780.1, AT1G20010.1, AT2G29550.1, AT5G23860.1, AT5G62700.1, AT5G62690.1, AT5G12250.1, AT4G20890.1, AT5G44340.1	YFL037W_mRNA
OG0000217	AT4G34240.1, AT1G44170.1, AT4G36250.1	YMR110C_mRNA
OG0000218	AT5G16150.1	YDR387C_mRNA, YBR241C_mRNA, YGL104C_mRNA
OG0000226	AT3G51030.1, AT5G42980.1, AT1G45145.1, AT1G19730.1, AT1G11530.1, AT1G59730.1, AT1G69880.1, AT5G39950.1	YCR083W_mRNA, YGR209C_mRNA, YLR043C_mRNA
OG0000228	AT4G14300.1, AT2G33410.1, AT5G47620.4	YOL123W_mRNA
OG0000230	AT5G39040.1	YPL270W_mRNA, YLR188W_mRNA
OG0000230	AT5G58270.1, AT4G28630.1, AT4G28620.1	YMR301C_mRNA
OG0000238	AT2G26140.1, AT5G53170.1	YPR024W_mRNA
OG0000238	AT1G07510.1, AT2G29080.1	YER017C_mRNA, YMR089C_mRNA
OG0000239	AT3G19980.1, AT1G50370.1	YDL047W_mRNA
OG0000239	AT5G55260.2, AT4G26720.1	YDR075W_mRNA
OG0000239	AT3G58500.1, AT2G42500.1	YDL134C_mRNA, YDL188C_mRNA
OG0000239	AT1G59830.1, AT1G10430.1, AT1G69960.1	YNR032W_mRNA
OG0000241	AT1G51660.1, AT3G21220.1, AT3G06230.1, AT1G73500.1, AT1G18350.1, AT1G32320.1, AT5G40440.1, AT4G26070.2, AT4G29810.2, AT5G56580.1	YPL140C_mRNA, YOR231W_mRNA, YJL128C_mRNA, YDL159W_mRNA
OG0000242	AT4G32660.1, AT3G53570.1, AT4G24740.1, AT1G36627.1	YLL019C_mRNA
OG0000243	AT1G69220.1	YAR019C_mRNA
OG0000243	AT3G15220.1, AT1G53165.3, AT4G14480.1	YDR523C_mRNA
OG0000245	AT2G19480.1, AT5G56950.1, AT4G26110.1, AT3G13782.1	YKR048C_mRNA
OG0000246	AT3G06483.1	YGL059W_mRNA, YIL042C_mRNA
OG0000255	AT1G73700.1, AT2G34360.1, AT5G52450.1, AT1G15160.1, AT1G15150.1, AT1G15170.1, AT1G15180.1, AT1G71140.1, AT1G64820.1, AT1G66780.1, AT1G66760.2, AT2G04040.1, AT2G04070.1, AT2G04050.1, AT2G04066.1, AT2G04080.1, AT2G04090.1, AT2G04100.1	YHR032W_mRNA, YDR338C_mRNA
OG0000256	AT4G38640.1, AT1G25500.2	YOR161C_mRNA
OG0000257	AT1G64550.1	YFR009W_mRNA
OG0000257	AT5G60790.1	YER036C_mRNA
OG0000258	AT5G11670.1, AT5G25880.1, AT1G79750.1, AT2G19900.1, AT4G00570.1, AT2G13560.1	YKL029C_mRNA
OG0000259	AT5G14180.1, AT2G15230.1	YKL140W_mRNA
OG0000260	AT2G28520.1, AT4G39080.1, AT2G21410.1	YMR054W_mRNA, YOR270C_mRNA
OG0000261	AT5G07340.2, AT5G61790.1	YAL058W_mRNA
OG0000267	AT5G49310.1, AT4G16143.1, AT1G02690.2, AT3G06720.1, AT4G02150.1, AT3G05720.1, AT1G09270.1, AT5G49305.1, AT5G52000.1, AT1G32880.1	YNL189W_mRNA
OG0000268	AT5G16880.1, AT1G06210.1, AT2G38410.1, AT5G01760.1, AT3G08790.1, AT4G32760.2, AT5G63640.1, AT1G21380.1, AT1G76970.1	YDR358W_mRNA, YHR108W_mRNA
OG0000283	AT1G51640.1, AT4G31540.1, AT5G52340.1, AT5G03540.3, AT5G52350.1, AT2G28640.1, AT1G07725.1, AT2G28650.1, AT5G59730.1, AT3G09520.1, AT3G09530.1, AT3G55150.1, AT2G39380.1, AT5G13150.1, AT5G13990.1, AT1G07000.1, AT5G58430.1, AT3G29400.1, AT5G61010.1, AT5G50380.1, AT1G72470.1, AT3G14090.1, AT1G54090.1	YJL085W_mRNA
OG0000284	AT5G42190.1, AT1G75950.1, AT2G25700.1, AT1G20140.1, AT4G34210.1, AT4G34470.1, AT3G21850.1, AT3G21830.1, AT3G21840.1, AT3G21860.1, AT3G60010.1, AT3G53060.1, AT3G60020.1, AT2G03170.1, AT3G25650.1, AT2G03160.1, AT1G10230.1, AT2G20160.1, AT2G03190.1	YDR328C_mRNA
OG0000285	AT1G14610.1, AT1G27160.1	YGR094W_mRNA
OG0000286	AT4G35570.1, AT2G17560.1, AT1G20696.2, AT1G20693.1, AT2G34450.2	YPR052C_mRNA
OG0000288	AT4G35260.1, AT2G17130.1, AT4G35650.1, AT1G32480.1	YNL037C_mRNA
OG0000288	AT5G03290.1, AT3G09810.1	YOR136W_mRNA
OG0000296	AT1G50010.1, AT1G04820.1, AT4G14960.2, AT1G64740.1, AT5G19770.1, AT5G19780.1	YML085C_mRNA, YML124C_mRNA
OG0000299	AT1G63160.1	YOL094C_mRNA
OG0000299	AT1G77470.1	YNL290W_mRNA
OG0000299	AT1G21690.3	YJR068W_mRNA
OG0000300	AT3G52940.1	YGL012W_mRNA, YNL280C_mRNA
OG0000301	AT4G27740.1, AT4G27745.1, AT3G08990.1, AT3G55890.1, AT2G40110.1, AT3G11230.2, AT5G53940.1	YBL049W_mRNA
OG0000303	AT5G56290.1	YMR018W_mRNA, YDR244W_mRNA
OG0000310	AT5G14300.1, AT3G27280.1, AT5G40770.1	YGR132C_mRNA
OG0000310	AT2G20530.1, AT4G28510.1, AT1G03860.1, AT5G44140.1	YGR231C_mRNA
OG0000312	AT3G28970.1, AT3G12760.1, AT1G15860.3	YLR128W_mRNA
OG0000313	AT5G21105.1, AT5G21100.1, AT4G39830.1, AT5G01050.1, AT5G01040.1, AT3G09220.1, AT5G09360.1, AT5G48100.1, AT2G30210.1, AT5G07130.1, AT2G40370.1, AT5G05390.1, AT2G38080.1, AT5G01190.1, AT5G58910.2, AT5G03260.1, AT5G60020.1, AT2G29130.1, AT1G18140.1, AT2G46570.1	YMR058W_mRNA, YFL041W_mRNA, YDR506C_mRNA
OG0000315	AT1G47830.1	YJR058C_mRNA
OG0000315	AT2G17380.1, AT4G35410.2	YLR170C_mRNA
OG0000316	AT4G39870.1, AT2G05590.2	YPL196W_mRNA
OG0000317	AT2G47980.1	YIL026C_mRNA
OG0000318	AT3G25220.1, AT5G48580.1	YDR519W_mRNA
OG0000318	AT5G64350.1	YNL135C_mRNA
OG0000319	AT5G18230.4	YIL038C_mRNA, YPR072W_mRNA
OG0000339	AT1G02120.1	YLR072W_mRNA, YFL042C_mRNA
OG0000340	AT1G50440.1, AT2G22120.2, AT1G11020.1	YIL030C_mRNA
OG0000343	AT4G10590.1, AT4G10570.1, AT1G32850.1, AT2G40930.1, AT5G22030.2	YJL197W_mRNA
OG0000344	AT2G41090.1	YBR109C_mRNA
OG0000359	AT4G02690.1, AT1G03070.1, AT3G63310.1, AT4G14730.1, AT4G15470.1	YNL305C_mRNA
OG0000363	AT5G48700.1, AT5G48710.1, AT5G55856.1, AT5G55855.2, AT2G32765.1, AT5G55170.1, AT5G55160.2, AT4G26840.1	YDR510W_mRNA
OG0000364	AT3G22880.1	YER179W_mRNA
OG0000364	AT5G20850.1	YER095W_mRNA
OG0000365	AT3G02760.1	YPR033C_mRNA
OG0000369	AT5G61530.1	YPL115C_mRNA, YOR134W_mRNA, YDR389W_mRNA
OG0000378	AT5G66590.1, AT2G19980.1, AT2G19970.1, AT2G19990.1, AT1G01310.1, AT5G02730.1, AT3G09590.1, AT4G31470.1, AT5G57625.1, AT4G25790.1, AT4G30320.1, AT4G25780.1, AT4G33730.1, AT3G19690.1, AT2G14580.1, AT2G14610.1, AT1G50060.1, AT1G50050.1, AT4G07820.1, AT4G33720.1, AT4G33710.1, AT5G26130.1	YKR013W_mRNA, YJL079C_mRNA, YJL078C_mRNA
OG0000379	AT1G20065.2, AT3G25940.1	YJR063W_mRNA
OG0000381	AT5G26740.1, AT3G05940.1, AT4G38360.2, AT1G77220.1, AT1G23070.1	YKR051W_mRNA
OG0000382	AT1G68100.1	YIL023C_mRNA
OG0000383	AT1G74030.1, AT2G29560.1, AT2G36530.1	YMR323W_mRNA, YOR393W_mRNA, YPL281C_mRNA, YHR174W_mRNA, YGR254W_mRNA
OG0000384	AT5G67380.1, AT3G50000.1, AT2G23080.1, AT2G23070.1	YOR061W_mRNA, YIL035C_mRNA
OG0000387	AT5G06290.1, AT3G11630.1	YML028W_mRNA, YDR453C_mRNA
OG0000388	AT4G09320.1, AT5G63310.1	YKL067W_mRNA
OG0000389	AT4G21540.1, AT4G21534.1	YOR171C_mRNA, YLR260W_mRNA
OG0000400	AT2G31200.1, AT2G16700.1, AT4G34970.1, AT4G25590.1, AT5G52360.1, AT1G01750.2, AT4G00680.2, AT3G46000.2, AT3G45990.1, AT3G46010.2, AT5G59890.1, AT5G59880.1	YLL050C_mRNA
OG0000402	AT5G41580.1, AT1G08910.1	YOR156C_mRNA, YDR409W_mRNA
OG0000403	AT2G20560.1, AT4G28480.1, AT3G08910.1, AT5G01390.1, AT1G10350.1, AT1G59725.1, AT3G47940.1, AT5G25530.1	YNL007C_mRNA
OG0000404	AT1G80830.1, AT1G15960.1	YOL122C_mRNA, YLR034C_mRNA, YHR050W_mRNA
OG0000405	AT3G52560.4, AT2G36060.2, AT1G70660.1, AT1G70650.2, AT1G23260.1	YGL087C_mRNA
OG0000406	AT2G43420.1, AT2G26260.1, AT1G47290.2	YGL001C_mRNA
OG0000407	AT2G36900.1, AT5G50440.1	YLR078C_mRNA
OG0000408	AT3G10550.1, AT5G04540.1	YJR110W_mRNA
OG0000409	AT3G14740.2	YPR031W_mRNA
OG0000410	AT5G20430.1, AT5G20440.1	YFL034C-B_mRNA
OG0000410	AT4G19045.1, AT5G45550.1	YIL106W_mRNA
OG0000419	AT3G10850.1	YDR272W_mRNA, YOR040W_mRNA
OG0000421	AT3G05740.1, AT1G10930.1, AT1G31360.3	YMR190C_mRNA
OG0000422	AT3G26340.1, AT1G13060.2	YPR103W_mRNA
OG0000423	AT5G10960.1, AT1G80780.3, AT2G32070.1, AT1G15920.1, AT5G22250.1, AT3G44260.1	YNR052C_mRNA
OG0000424	AT1G49760.1, AT2G15500.1, AT4G34110.1, AT2G23350.1, AT1G22760.1, AT1G71770.1, AT2G36660.1	YER165W_mRNA
OG0000425	AT4G04800.1, AT4G21860.1, AT4G04810.1, AT4G04830.1, AT4G21850.1, AT4G21830.1, AT4G21840.1, AT4G04840.1	YCL033C_mRNA
OG0000426	AT4G31860.1, AT2G25070.1	YER089C_mRNA, YBL056W_mRNA
OG0000429	AT4G38260.1	YGR127W_mRNA
OG0000431	AT5G35980.1	YJL141C_mRNA
OG0000432	AT5G66130.1	YER173W_mRNA
OG0000445	AT1G02740.1, AT4G37280.1	YPR023C_mRNA
OG0000446	AT5G50490.1, AT5G27910.1, AT5G50470.1, AT5G50480.1, AT5G38140.1, AT1G08970.1, AT1G54830.1, AT1G56170.1, AT3G48590.1, AT5G63470.1	YOR358W_mRNA
OG0000448	AT1G12390.1, AT1G12340.1, AT1G62880.1, AT4G12090.1, AT3G12180.1	YGL054C_mRNA, YBR210W_mRNA
OG0000449	AT1G54080.2, AT1G17370.1, AT3G14100.1	YNL016W_mRNA
OG0000450	AT4G39120.2, AT1G31190.1, AT3G02870.1	YHR046C_mRNA, YDR287W_mRNA
OG0000453	AT1G54390.2	YNL097C_mRNA, YHR090C_mRNA, YOR064C_mRNA
OG0000454	AT5G02250.1	YMR287C_mRNA
OG0000454	AT2G17510.2	YOL021C_mRNA
OG0000454	AT1G77680.1	YDR293C_mRNA
OG0000455	AT2G04030.1, AT3G07770.1, AT4G24190.1, AT5G56010.1, AT5G56030.2, AT5G56000.1, AT5G52640.1	YMR186W_mRNA, YPL240C_mRNA
